Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
DKFZp564I083	215164_at	-2.444573099	1.39636E-08	gb:AL049279.1 /DB_XREF=gi:4500035 /FEA=mRNA /CNT=6 /TID=Hs.202685.0 /TIER=ConsEnd /STK=0 /UG=Hs.202685 /UG_TITLE=Homo sapiens mRNA; cDNA DKFZp564I083 (from clone DKFZp564I083) /DEF=Homo sapiens mRNA; cDNA DKFZp564I083 (from clone DKFZp564I083).
FOXO1A	202723_s_at	-1.262082974	3.76868E-06	gb:AW117498 /DB_XREF=gi:6086082 /DB_XREF=xd92e10.x1 /CLONE=IMAGE:2605098 /FEA=FLmRNA /CNT=145 /TID=Hs.170133.0 /TIER=Stack /STK=20 /UG=Hs.170133 /LL=2308 /UG_GENE=FOXO1A /UG_TITLE=forkhead box O1A (rhabdomyosarcoma) /FL=gb:NM_002015.2 gb:AF032885.1 gb:U02310.1
FHIT	206492_at	-2.160859187	3.53014E-15	gb:NM_002012.1 /DB_XREF=gi:4503718 /GEN=FHIT /FEA=FLmRNA /CNT=12 /TID=Hs.77252.0 /TIER=FL /STK=3 /UG=Hs.77252 /LL=2272 /DEF=Homo sapiens fragile histidine triad gene (FHIT), mRNA. /PROD=fragile histidine triad gene /FL=gb:NM_002012.1 gb:U46922.1
MYH10	212372_at	-0.9906148	3.71184E-08	gb:AK026977.1 /DB_XREF=gi:10439970 /FEA=mRNA /CNT=202 /TID=Hs.296842.0 /TIER=Stack /STK=46 /UG=Hs.296842 /UG_TITLE=Homo sapiens, clone IMAGE:3357927, mRNA, partial cds /DEF=Homo sapiens cDNA: FLJ23324 fis, clone HEP12482, highly similar to HUMMYOHCB Human nonmuscle myosin heavy chain-B (MYH10) mRNA.
SPTBN1	215918_s_at	-1.475006783	2.20527E-11	gb:AA131826 /DB_XREF=gi:1693379 /DB_XREF=zl37f06.s1 /CLONE=IMAGE:504131 /FEA=DNA /CNT=2 /TID=Hs.107164.4 /TIER=ConsEnd /STK=0 /UG=Hs.107164 /LL=6711 /UG_GENE=SPTBN1 /UG_TITLE=spectrin, beta, non-erythrocytic 1
LIG4	206235_at	-1.202015818	5.91833E-08	gb:NM_002312.1 /DB_XREF=gi:4504996 /GEN=LIG4 /FEA=FLmRNA /CNT=15 /TID=Hs.166091.0 /TIER=FL /STK=0 /UG=Hs.166091 /LL=3981 /DEF=Homo sapiens ligase IV, DNA, ATP-dependent (LIG4), mRNA. /PROD=DNA ligase IV /FL=gb:NM_002312.1
NPR1	204648_at	-1.195885911	3.07645E-06	gb:NM_000906.1 /DB_XREF=gi:4505434 /GEN=NPR1 /FEA=FLmRNA /CNT=111 /TID=Hs.167382.0 /TIER=FL+Stack /STK=27 /UG=Hs.167382 /LL=4881 /DEF=Homo sapiens natriuretic peptide receptor Aguanylate cyclase A (atrionatriuretic peptide receptor A) (NPR1), mRNA. /PROD=natriuretic peptide receptor Aguanylate cyclaseA (atrionatriuretic peptide receptor A) /FL=gb:NM_000906.1
PRKCH	206099_at	-1.080292001	1.11742E-06	gb:NM_006255.1 /DB_XREF=gi:5453971 /GEN=PRKCH /FEA=FLmRNA /CNT=17 /TID=Hs.315366.0 /TIER=FL /STK=0 /UG=Hs.315366 /LL=5583 /DEF=Homo sapiens protein kinase C, eta (PRKCH), mRNA. /PROD=protein kinase C, eta /FL=gb:NM_006255.1 gb:M55284.1
PARD3 (qb92h04)	210094_s_at	-1.589493062	2.34388E-10	gb:AF196186.1 /DB_XREF=gi:13491611 /FEA=FLmRNA /CNT=23 /TID=Hs.72249.1 /TIER=FL+Stack /STK=20 /UG=Hs.72249 /LL=56288 /UG_GENE=PAR3 /DEF=Homo sapiens atypical PKC isotype-specific interacting protein short variant mRNA, complete cds. /PROD=atypical PKC isotype-specific interactingprotein short variant /FL=gb:AF196186.1
KIAA0959 (RGL1)	209568_s_at	-0.731421969	0.000176538	gb:AF186779.1 /DB_XREF=gi:7682470 /GEN=RGL /FEA=FLmRNA /CNT=82 /TID=Hs.79219.1 /TIER=FL+Stack /STK=19 /UG=Hs.79219 /LL=23179 /DEF=Homo sapiens RGL protein (RGL) mRNA, complete cds. /PROD=RGL protein /FL=gb:AF186779.1
TERF2	203611_at	-0.241166935	0.355355289	gb:NM_005652.1 /DB_XREF=gi:5032168 /GEN=TERF2 /FEA=FLmRNA /CNT=86 /TID=Hs.100030.0 /TIER=FL /STK=5 /UG=Hs.100030 /LL=7014 /DEF=Homo sapiens telomeric repeat binding factor 2 (TERF2), mRNA. /PROD=telomeric repeat binding factor 2 /FL=gb:AF002999.1 gb:NM_005652.1
ITPR1	203710_at	-0.72206902	0.001656473	gb:NM_002222.1 /DB_XREF=gi:10835022 /GEN=ITPR1 /FEA=FLmRNA /CNT=97 /TID=Hs.198443.0 /TIER=FL+Stack /STK=25 /UG=Hs.198443 /LL=3708 /DEF=Homo sapiens inositol 1,4,5-triphosphate receptor, type 1 (ITPR1), mRNA. /PROD=inositol 1,4,5-triphosphate receptor, type 1 /FL=gb:D26070.1 gb:NM_002222.1
PIK3C2B	204484_at	-0.225891907	0.417294927	gb:NM_002646.1 /DB_XREF=gi:11136637 /GEN=PIK3C2B /FEA=FLmRNA /CNT=58 /TID=Hs.132463.0 /TIER=FL+Stack /STK=29 /UG=Hs.132463 /LL=5287 /DEF=Homo sapiens phosphoinositide-3-kinase, class 2, beta polypeptide (PIK3C2B), mRNA. /PROD=phosphoinositide-3-kinase, class 2, betapolypeptide /FL=gb:NM_002646.1
MYLK	202555_s_at	-2.007436928	3.03754E-10	gb:NM_005965.1 /DB_XREF=gi:5174600 /GEN=MYLK /FEA=FLmRNA /CNT=195 /TID=Hs.211582.0 /TIER=FL+Stack /STK=83 /UG=Hs.211582 /LL=4638 /DEF=Homo sapiens myosin, light polypeptide kinase (MYLK), mRNA. /PROD=myosin, light polypeptide kinase /FL=gb:AB037663.1 gb:AF069601.2 gb:NM_005965.1
SPTAN1	208611_s_at	-1.072465948	5.45323E-12	gb:U83867.1 /DB_XREF=gi:1805279 /FEA=FLmRNA /CNT=412 /TID=Hs.77196.0 /TIER=FL /STK=0 /UG=Hs.77196 /LL=6709 /UG_GENE=SPTAN1 /DEF=Human alpha II spectrin mRNA, complete cds. /PROD=alpha II spectrin /FL=gb:NM_003127.1 gb:J05243.1 gb:U83867.1
Cosmid TN62 (TNFSF3)	207339_s_at	-0.624134462	0.043504	gb:NM_002341.1 /DB_XREF=gi:4505034 /GEN=LTB /FEA=FLmRNA /CNT=8 /TID=Hs.890.0 /TIER=FL /STK=2 /UG=Hs.890 /LL=4050 /DEF=Homo sapiens lymphotoxin beta (TNF superfamily, member 3) (LTB), transcript variant 1, mRNA. /PROD=lymphotoxin-beta isoform a /FL=gb:NM_002341.1 gb:L11015.1
ITPR3	201188_s_at	-1.667963352	8.3211E-13	gb:D26351.1 /DB_XREF=gi:450470 /FEA=FLmRNA /CNT=255 /TID=Hs.77515.0 /TIER=FL /STK=0 /UG=Hs.77515 /LL=3710 /UG_GENE=ITPR3 /DEF=Human mRNA for type 3 inositol 1,4,5-trisphosphate receptor, complete cds. /PROD=human type 3 inositol 1,4,5-trisphosphatereceptor /FL=gb:NM_002224.1 gb:D26351.1 gb:U01062.1
POU2AF1	205267_at	-0.69591241	0.025510066	gb:NM_006235.1 /DB_XREF=gi:5453933 /GEN=POU2AF1 /FEA=FLmRNA /CNT=46 /TID=Hs.2407.0 /TIER=FL+Stack /STK=14 /UG=Hs.2407 /LL=5450 /DEF=Homo sapiens POU domain, class 2, associating factor 1 (POU2AF1), mRNA. /PROD=POU domain, class 2, associating factor 1 /FL=gb:NM_006235.1
MADH1	210993_s_at	-3.368531445	5.19398E-12	gb:U54826.1 /DB_XREF=gi:1332713 /FEA=FLmRNA /CNT=4 /TID=Hs.79067.1 /TIER=FL /STK=0 /UG=Hs.79067 /LL=4086 /UG_GENE=MADH1 /DEF=Human mad-related protein MADR1 mRNA, complete cds. /PROD=mad-related protein MADR1 /FL=gb:U59912.1 gb:U54826.1
SMARCA4	212520_s_at	-0.97677478	1.01693E-08	gb:AI684141 /DB_XREF=gi:4895435 /DB_XREF=tx79f11.x1 /CLONE=IMAGE:2275821 /FEA=EST /CNT=141 /TID=Hs.78202.1 /TIER=Stack /STK=32 /UG=Hs.78202 /LL=6597 /UG_GENE=SMARCA4 /UG_TITLE=SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
HLA-DQB1	209480_at	-0.378398956	0.661531493	gb:M16276.1 /DB_XREF=gi:188397 /GEN=HLA-DRB2 /FEA=FLmRNA /CNT=99 /TID=Hs.73931.1 /TIER=FL+Stack /STK=9 /UG=Hs.73931 /LL=3119 /UG_TITLE=major histocompatibility complex, class II, DQ beta 1 /DEF=Human MHC class II HLA-DR2-Dw12 mRNA DQw1-beta, complete cds. /FL=gb:NM_002123.1 gb:M16276.1 gb:M60028.1 gb:M17564.1 gb:M81141.1 gb:M81140.1
KIAA0250	201794_s_at	-0.180793128	0.198515005	gb:NM_014837.1 /DB_XREF=gi:7662023 /GEN=KIAA0250 /FEA=FLmRNA /CNT=188 /TID=Hs.15087.0 /TIER=FL+Stack /STK=47 /UG=Hs.15087 /LL=9887 /DEF=Homo sapiens KIAA0250 gene product (KIAA0250), mRNA. /PROD=KIAA0250 gene product /FL=gb:NM_014837.1 gb:D87437.1
APP (Amyloid A4)	214953_s_at	-1.115754474	6.60431E-05	gb:X06989.1 /DB_XREF=gi:28720 /FEA=mRNA /CNT=8 /TID=Hs.177486.2 /TIER=ConsEnd /STK=0 /UG=Hs.177486 /LL=351 /UG_GENE=APP /UG_TITLE=amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease) /DEF=Human mRNA for amyloid A4(751) protein.
MADH1	227798_at	-2.935743119	1.39288E-08	gb:AU146891 /DB_XREF=gi:11008412 /DB_XREF=AU146891 /CLONE=HEMBB1001795 /FEA=EST /CNT=30 /TID=Hs.322710.0 /TIER=Stack /STK=22 /UG=Hs.322710 /UG_TITLE=ESTs
LARGE	215543_s_at	-1.556382648	3.04756E-07	gb:AB011181.2 /DB_XREF=gi:6683718 /GEN=KIAA0609 /FEA=mRNA /CNT=3 /TID=Hs.25220.1 /TIER=ConsEnd /STK=0 /UG=Hs.25220 /LL=9215 /DEF=Homo sapiens mRNA for KIAA0609 protein, partial cds. /PROD=KIAA0609 protein
ZNF45	207304_at	-0.531372451	0.014406606	gb:NM_003425.1 /DB_XREF=gi:4508028 /GEN=ZNF45 /FEA=FLmRNA /CNT=6 /TID=Hs.41728.0 /TIER=FL /STK=0 /UG=Hs.41728 /LL=7596 /DEF=Homo sapiens zinc finger protein 45 (a Kruppel-associated box (KRAB) domain polypeptide) (ZNF45), mRNA. /PROD=zinc finger protein 45 (a Kruppel-associated box(KRAB) domain polypeptide) /FL=gb:L75847.1 gb:NM_003425.1
DBN1	217025_s_at	-0.983319024	1.32316E-06	gb:AL110225.1 /DB_XREF=gi:5817161 /GEN=DKFZp434D064 /FEA=mRNA /CNT=1 /TID=Hs.89434.1 /TIER=ConsEnd /STK=0 /UG=Hs.89434 /LL=1627 /DEF=Homo sapiens mRNA; cDNA DKFZp434D064 (from clone DKFZp434D064); partial cds. /PROD=hypothetical protein
KIAA0212	203279_at	-0.793648139	3.41474E-09	gb:NM_014674.1 /DB_XREF=gi:7662001 /GEN=KIAA0212 /FEA=FLmRNA /CNT=103 /TID=Hs.154332.0 /TIER=FL+Stack /STK=21 /UG=Hs.154332 /LL=9695 /DEF=Homo sapiens KIAA0212 gene product (KIAA0212), mRNA. /PROD=KIAA0212 gene product /FL=gb:D86967.1 gb:NM_014674.1
ALOX5	204446_s_at	-2.237948475	1.03069E-10	gb:NM_000698.1 /DB_XREF=gi:4502056 /GEN=ALOX5 /FEA=FLmRNA /CNT=78 /TID=Hs.89499.0 /TIER=FL+Stack /STK=8 /UG=Hs.89499 /LL=240 /DEF=Homo sapiens arachidonate 5-lipoxygenase (ALOX5), mRNA. /PROD=arachidonate 5-lipoxygenase /FL=gb:NM_000698.1 gb:J03600.1 gb:J03571.1
KIAA0093	213012_at	-0.175791657	0.524138429	gb:D42055.1 /DB_XREF=gi:577312 /GEN=KIAA0093 /FEA=mRNA /CNT=93 /TID=Hs.1565.0 /TIER=Stack /STK=29 /UG=Hs.1565 /LL=4734 /UG_TITLE=neural precursor cell expressed, developmentally down-regulated 4 /DEF=Human mRNA for KIAA0093 gene, partial cds.
Chromosome 1 PAC	207826_s_at	-2.720379333	4.00939E-07	gb:NM_002167.1 /DB_XREF=gi:10835060 /GEN=ID3 /FEA=FLmRNA /CNT=3 /TID=Hs.76884.0 /TIER=FL /STK=0 /UG=Hs.76884 /LL=3399 /DEF=Homo sapiens inhibitor of DNA binding 3, dominant negative helix-loop-helix protein (ID3), mRNA. /PROD=inhibitor of DNA binding 3, dominant negativehelix-loop-helix protein /FL=gb:NM_002167.1
cDNA wg66h09	207971_s_at	-0.402219454	0.003024465	gb:NM_015147.1 /DB_XREF=gi:13124755 /GEN=KIAA0582 /FEA=FLmRNA /CNT=3 /TID=Hs.79507.0 /TIER=FL /STK=0 /UG=Hs.79507 /LL=23177 /DEF=Homo sapiens KIAA0582 protein (KIAA0582), mRNA. /PROD=KIAA0582 protein /FL=gb:BC004873.1 gb:BC002982.1 gb:NM_015147.1
VAMP5	204929_s_at	-0.323119476	0.10523592	gb:NM_006634.1 /DB_XREF=gi:5730111 /GEN=VAMP5 /FEA=FLmRNA /CNT=48 /TID=Hs.74669.0 /TIER=FL+Stack /STK=15 /UG=Hs.74669 /LL=10791 /DEF=Homo sapiens vesicle-associated membrane protein 5 (myobrevin) (VAMP5), mRNA. /PROD=vesicle-associated membrane protein 5(myobrevin) /FL=gb:NM_006634.1 gb:AF054825.1 gb:AF151025.1 gb:AF077197.1
cDNA YY38E04	213766_x_at	-0.99807009	0.000217517	gb:N36926 /DB_XREF=gi:1158068 /DB_XREF=yy38e04.s1 /CLONE=IMAGE:273534 /FEA=EST /CNT=25 /TID=Hs.296361.2 /TIER=Stack /STK=22 /UG=Hs.296361 /LL=3769 /UG_GENE=KCNJ13 /UG_TITLE=potassium inwardly-rectifying channel,subfamily J, member 13
NEDDL4	212445_s_at	-0.791957728	4.56582E-05	gb:AI357376 /DB_XREF=gi:4108997 /DB_XREF=qy13a06.x1 /CLONE=IMAGE:2011858 /FEA=mRNA /CNT=169 /TID=Hs.12017.1 /TIER=Stack /STK=19 /UG=Hs.12017 /LL=23327 /UG_GENE=KIAA0439 /UG_TITLE=homolog of yeast ubiquitin-protein ligase Rsp5; potential epithelial sodium channel regulator
LDOC1	204454_at	-0.224591664	0.482524024	gb:NM_012317.1 /DB_XREF=gi:6912479 /GEN=LDOC1 /FEA=FLmRNA /CNT=63 /TID=Hs.45231.0 /TIER=FL+Stack /STK=22 /UG=Hs.45231 /LL=23641 /DEF=Homo sapiens leucine zipper, down-regulated in cancer 1 (LDOC1), mRNA. /PROD=leucine zipper, down-regulated in cancer 1 /FL=gb:NM_012317.1 gb:AB019527.1 gb:BC003104.1
FGFR1	211535_s_at	-1.380786954	1.5681E-10	gb:M60485.1 /DB_XREF=gi:182560 /FEA=FLmRNA /CNT=1 /TID=Hs.748.6 /TIER=FL /STK=0 /UG=Hs.748 /LL=2260 /UG_GENE=FGFR1 /DEF=Human fibroblast growth factor receptor mRNA, complete cds. /PROD=fibroblast growth factor receptor /FL=gb:M60485.1
HLA-DQB1	211654_x_at	-0.308600192	0.351706056	gb:M17565.1 /DB_XREF=gi:188188 /GEN=HLA-DQB1 /FEA=FLmRNA /CNT=1 /TID=HsAffx.900419.369 /TIER=FL /STK=0 /DEF=Human MHC class II DQ-beta associated with DRw6, DQw1 protein, complete cds. /FL=gb:M17565.1
LGALS1	201105_at	3.410195625	3.56649E-16	gb:NM_002305.2 /DB_XREF=gi:6006015 /GEN=LGALS1 /FEA=FLmRNA /CNT=487 /TID=Hs.227751.0 /TIER=FL+Stack /STK=226 /UG=Hs.227751 /LL=3956 /DEF=Homo sapiens lectin, galactoside-binding, soluble, 1 (galectin 1) (LGALS1), mRNA. /PROD=beta-galactosidase binding lectin precursor /FL=gb:NM_002305.2 gb:BC001693.1 gb:J04456.1
cDNAqf71b11	200872_at	2.303215827	3.75827E-18	gb:NM_002966.1 /DB_XREF=gi:4506760 /GEN=S100A10 /FEA=FLmRNA /CNT=382 /TID=Hs.119301.0 /TIER=FL+Stack /STK=181 /UG=Hs.119301 /LL=6281 /DEF=Homo sapiens S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)) (S100A10), mRNA. /PROD=S100 calcium-binding protein A10 /FL=gb:M81457.1 gb:M38591.1 gb:NM_002966.1
AHNAK	212992_at	0.194003933	0.420820516	gb:AI935123 /DB_XREF=gi:5673993 /DB_XREF=wp13h09.x1 /CLONE=IMAGE:2464769 /FEA=EST /CNT=86 /TID=Hs.57548.0 /TIER=Stack /STK=47 /UG=Hs.57548 /UG_TITLE=ESTs
NKG2D	205821_at	1.639294412	1.10668E-08	gb:NM_007360.1 /DB_XREF=gi:6679051 /GEN=D12S2489E /FEA=FLmRNA /CNT=24 /TID=Hs.74085.0 /TIER=FL /STK=0 /UG=Hs.74085 /LL=22914 /DEF=Homo sapiens DNA segment on chromosome 12 (unique) 2489 expressed sequence (D12S2489E), mRNA. /PROD=NKG2-D type II integral membrane protein /FL=gb:AF260135.1 gb:AF260136.1 gb:NM_007360.1
CCNA1	205899_at	2.725713218	1.18395E-08	gb:NM_003914.1 /DB_XREF=gi:4502610 /GEN=CCNA1 /FEA=FLmRNA /CNT=39 /TID=Hs.79378.0 /TIER=FL+Stack /STK=23 /UG=Hs.79378 /LL=8900 /DEF=Homo sapiens cyclin A1 (CCNA1), mRNA. /PROD=cyclin A1 /FL=gb:NM_003914.1 gb:U66838.1
CD44	212063_at	1.177711101	2.94547E-10	gb:BE903880 /DB_XREF=gi:10395551 /DB_XREF=601494678F1 /CLONE=IMAGE:3896970 /FEA=EST /CNT=245 /TID=Hs.323950.2 /TIER=Stack /STK=104 /UG=Hs.323950 /LL=7552 /UG_GENE=ZNF6 /UG_TITLE=zinc finger protein 6 (CMPX1)
PMX1 (PHOX1)	226695_at	-0.273207166	0.260110668	gb:AA775472 /DB_XREF=gi:2834806 /DB_XREF=zf29b06.s1 /CLONE=IMAGE:378323 /FEA=EST /CNT=60 /TID=Hs.9071.2 /TIER=Stack /STK=47 /UG=Hs.9071 /LL=10424 /UG_GENE=PMBP /UG_TITLE=progesterone membrane binding protein
KIAA0027	213395_at	0.894090997	2.22537E-05	gb:AL022327 /DB_XREF=gi:5304851 /FEA=mRNA /CNT=58 /TID=Hs.74518.0 /TIER=Stack /STK=24 /UG=Hs.74518 /LL=23209 /UG_GENE=KIAA0027 /UG_TITLE=KIAA0027 protein /DEF=Human DNA sequence from clone RP3-355C18 on chromosome 22q13.3 Contains the KIAA0027 gene, ESTs, STSs, GSSs and seven putative CpG islands
cDNA tn15f08cDNA	203781_at	1.585327643	2.67026E-13	gb:NM_004891.1 /DB_XREF=gi:4759047 /GEN=C2ORF1 /FEA=FLmRNA /CNT=104 /TID=Hs.14454.0 /TIER=FL /STK=0 /UG=Hs.14454 /LL=9553 /DEF=Homo sapiens chromosome 2 open reading frame 1 (C2ORF1), mRNA. /PROD=chromosome 2 open reading frame 1 /FL=gb:NM_004891.1 gb:AF047440.1
cDNA zd69b10	203186_s_at	1.812345151	2.89662E-15	gb:NM_002961.2 /DB_XREF=gi:9845514 /GEN=S100A4 /FEA=FLmRNA /CNT=158 /TID=Hs.81256.0 /TIER=FL+Stack /STK=85 /UG=Hs.81256 /LL=6275 /DEF=Homo sapiens S100 calcium-binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog) (S100A4), transcript variant 1, mRNA. /PROD=S100 calcium-binding protein A4 /FL=gb:NM_019554.1 gb:NM_002961.2
HOXA9	214651_s_at	3.577210442	4.00183E-06	gb:U41813.1 /DB_XREF=gi:1184168 /GEN=HOXA9 /FEA=FLmRNA /CNT=3 /TID=Hs.127428.2 /TIER=ConsEnd /STK=0 /UG=Hs.127428 /LL=3205 /DEF=Human class I homeoprotein (HOXA9) mRNA, partial cds. /PROD=HOXA9 /FL=gb:NM_002142.1
CD44	204490_s_at	1.006366969	1.09882E-05	gb:M24915.1 /DB_XREF=gi:180196 /FEA=FLmRNA /CNT=56 /TID=Hs.169610.0 /TIER=FL /STK=5 /UG=Hs.169610 /LL=960 /UG_GENE=CD44 /UG_TITLE=CD44 antigen (homing function and Indian blood group system) /DEF=Human CDw44 antigen, complete cds. /FL=gb:U40373.1 gb:NM_000610.1 gb:M59040.1 gb:M24915.1
CD44	204489_s_at	0.699904219	0.00128117	gb:NM_000610.1 /DB_XREF=gi:10835162 /GEN=CD44 /FEA=FLmRNA /CNT=56 /TID=Hs.169610.0 /TIER=FL /STK=1 /UG=Hs.169610 /LL=960 /DEF=Homo sapiens CD44 antigen (homing function and Indian blood group system) (CD44), mRNA. /PROD=CD44 antigen (homing function and Indian bloodgroup system) /FL=gb:U40373.1 gb:NM_000610.1 gb:M59040.1 gb:M24915.1
Chromosome 7 Clone	213823_at	0.646589661	0.029421521	gb:H94842 /DB_XREF=gi:1102475 /DB_XREF=yu57a03.s1 /CLONE=IMAGE:230188 /FEA=EST /CNT=36 /TID=Hs.17882.0 /TIER=Stack /STK=22 /UG=Hs.17882 /UG_TITLE=ESTs
ANXA1	201012_at	1.939072048	4.41976E-08	gb:NM_000700.1 /DB_XREF=gi:4502100 /GEN=ANXA1 /FEA=FLmRNA /CNT=457 /TID=Hs.78225.0 /TIER=FL+Stack /STK=162 /UG=Hs.78225 /LL=301 /DEF=Homo sapiens annexin A1 (ANXA1), mRNA. /PROD=annexin I /FL=gb:BC001275.1 gb:NM_000700.1
Chromosome X Clone	205504_at	0.384011278	0.051790236	gb:NM_000061.1 /DB_XREF=gi:4557376 /GEN=BTK /FEA=FLmRNA /CNT=49 /TID=Hs.159494.0 /TIER=FL /STK=0 /UG=Hs.159494 /LL=695 /DEF=Homo sapiens Bruton agammaglobulinemia tyrosine kinase (BTK), mRNA. /PROD=Bruton agammaglobulinemia tyrosine kinase /FL=gb:AF153758.1 gb:AF153757.1 gb:AF153756.1 gb:AF153760.1 gb:AF153759.1 gb:AF153761.1 gb:AF153762.1 gb:AF153364.1 gb:NM_000061.1
PTPRC (CD45)	212588_at	1.175791754	2.9742E-10	gb:Y00062.1 /DB_XREF=gi:34275 /FEA=mRNA /CNT=145 /TID=Hs.170121.1 /TIER=Stack /STK=18 /UG=Hs.170121 /LL=5788 /UG_GENE=PTPRC /UG_TITLE=protein tyrosine phosphatase, receptor type, C /DEF=Human mRNA for T200 leukocyte common antigen (CD45, LC-A).
CD44	212014_x_at	0.648347204	0.002602935	gb:AI493245 /DB_XREF=gi:4394248 /DB_XREF=ti30d08.x1 /CLONE=IMAGE:2131983 /FEA=mRNA /CNT=274 /TID=Hs.169610.3 /TIER=Stack /STK=55 /UG=Hs.169610 /LL=960 /UG_GENE=CD44 /UG_TITLE=CD44 antigen (homing function and Indian blood group system)
PTPRC (CD45)	207238_s_at	1.049340758	1.72855E-06	gb:NM_002838.1 /DB_XREF=gi:4506306 /GEN=PTPRC /FEA=FLmRNA /CNT=5 /TID=Hs.170121.0 /TIER=FL /STK=0 /UG=Hs.170121 /LL=5788 /DEF=Homo sapiens protein tyrosine phosphatase, receptor type, C (PTPRC), mRNA. /PROD=protein tyrosine phosphatase, receptor type, C /FL=gb:NM_002838.1
