GeneSymbol	Accession	LocusLink
MALT1	NM_006785	10892
MAP2K1	NM_002755	5604
MAP2K1IP1	NM_021970	8649
MAP2K2	NM_030662	5605
MAP2K3	NM_002756	5606
MAP2K4	NM_003010	6416
MAP2K5	NM_002757	5607
MAP2K6	NM_002758	5608
MAP2K7	NM_145185	5609
MAP3K1	XM_042066	4214
MAP3K10	NM_002446	4294
MAP3K11	NM_002419	4296
MAP3K12	NM_006301	7786
MAP3K13	NM_004721	9175
MAP3K14	NM_003954	9020
MAP3K2	NM_006609	10746
MAP3K3	NM_002401	4215
MAP3K4	NM_005922	4216
MAP3K5	NM_005923	4217
MAP3K6	NM_004672	9064
MAP3K7	NM_003188	6885
MAP3K8	NM_005204	1326
MAP3K9	XM_027237	4293
MAP4K1	NM_007181	11184
MAP4K2	NM_004579	5871
MAP4K3	NM_003618	8491
MAP4K4	NM_004834	9448
MAP4K5	NM_006575	11183
MAPK1	NM_002745	5594
MAPK10	NM_002753	5602
MAPK11	NM_002751	5600
MAPK12	NM_002969	6300
MAPK13	NM_002754	5603
MAPK14	NM_001315	1432
MAPK3	NM_002746	5595
MAPK4	NM_002747	5596
MAPK6	NM_002748	5597
MAPK7	NM_002749	5598
MAPK8	NM_002750	5599
MAPK8IP1	NM_005456	9479
MAPK8IP2	NM_012324	23542
MAPK8IP3	NM_015133	23162
MAPK9	NM_002752	5601
MAPKAPK2	NM_004759	9261
MAPKAPK3	NM_004635	7867
MAPKAPK5	NM_003668	8550
MARK1	NM_018650	4139
MARK2	NM_004954	2011
MARK3	NM_002376	4140
MARKL1	NM_031417	57787
MAST205	NM_015112	23139
MATK	NM_002378	4145
MBIP	NM_016586	51562
MELK	NM_014791	9833
MERTK	NM_006343	10461
MET	NM_000245	4233
MGC16169	NM_033115	93627
MGC22688	NM_145001	202374
MGC26597	NM_152700	206426
MGC33182	NM_145203	122011
MGC42105	NM_153361	167359
MGC43306	XM_291304	169436
MGC45428	NM_152619	166614
MGC46424	NM_173492	138429
MGC4796	NM_032017	83931
MGC5601	NM_025247	80724
MGC8407	NM_024046	79012
MIDORI	NM_020778	57538
MINK	NM_015716	50488
MKNK1	NM_003684	8569
MKNK2	NM_017572	2872
MOS	NM_005372	4342
MPP1	NM_002436	4354
MPP2	NM_005374	4355
MPP3	NM_001932	4356
MPZL1	NM_003953	9019
MRC2	NM_006039	9902
MST1R	NM_002447	4486
MST4	NM_016542	51765
MUSK	NM_005592	4593
MVD	NM_002461	4597
MVK	NM_000431	4598
MYLK	NM_005965	4638
MYLK2	NM_033118	85366
MYO3A	NM_017433	53904
MYO3B	NM_138995	14069
NAGK	NM_017567	55577
NBEA	NM_015678	26960
NBP	NM_025233	80347
NEK1	XM_291107	4750
NEK11	NM_024800	79858
NEK2	NM_002497	4751
NEK3	NM_002498	4752
NEK4	NM_003157	6787
NEK6	NM_014397	10783
NEK7	NM_133494	140609
NEK8	NM_178170	284086
NEK9	NM_033116	91754
NLK	NM_016231	51701
NME1	NM_000269	4830
NME2	NM_002512	4831
NME3	NM_002513	4832
NME4	NM_005009	4833
NME5	NM_003551	8382
NME6	NM_005793	10201
NME7	NM_013330	29922
NPR1	NM_000906	4881
NPR2	NM_000907	4882
NRBP	NM_013392	29959
NRG3	XM_166086	10718
NTRK1	NM_002529	4914
NTRK2	NM_006180	4915
NTRK3	NM_002530	4916
NYD-SP25	NM_033516	89882
OSR1	NM_005109	9943
P15RS	NM_018170	55197
PACE-1	NM_020423	57147
PACSIN1	NM_020804	29993
PAG	NM_018440	55824
PAK1	NM_002576	5058
PAK2	NM_002577	5062
PAK3	NM_002578	5063
PAK4	NM_005884	10298
PAK6	NM_020168	56924
PAK7	NM_020341	57144
PANK1	NM_138316	53354
PANK3	NM_024594	79646
PANK4	NM_018216	55229
PAPSS1	NM_005443	9061
PAPSS2	NM_004670	9060
PASK	NM_015148	23178
PCK1	NM_002591	5105
PCK2	NM_004563	5106
PCTK1	NM_006201	5127
PCTK2	NM_002595	5128
PCTK3	NM_002596	5129
PDGFRA	NM_006206	5156
PDGFRB	NM_002609	5159
PDK1	NM_002610	5163
PDK2	NM_002611	5164
PDK3	NM_005391	5165
PDK4	NM_002612	5166
PDPK1	NM_002613	5170
PDXK	NM_003681	8566
PFKFB1	NM_002625	5207
PFKFB2	NM_006212	5208
PFKFB3	NM_004566	5209
PFKFB4	NM_004567	5210
PFKL	NM_002626	5211
PFKM	NM_000289	5213
PFKP	NM_002627	5214
PFTK1	NM_012395	5218
PGK1	NM_000291	5230
PGK2	NM_138733	5232
PHKA1	NM_002637	5255
PHKA2	NM_000292	5256
PHKG1	NM_006213	5260
PHKG2	NM_000294	5261
PI4K2B	NM_018323	55300
PI4KII	NM_018425	55361
PIK3C2A	NM_002645	5286
PIK3C2B	NM_002646	5287
PIK3C2G	NM_004570	5288
PIK3CA	NM_006218	5290
PIK3CB	NM_006219	5291
PIK3CG	NM_002649	5294
PIK3R2	NM_005027	5296
PIK3R3	NM_003629	8503
PIK3R4	NM_014602	30849
PIK4CA	NM_002650	5297
PIK4CB	NM_002651	5298
PIM1	NM_002648	5292
PIM2	NM_006875	11040
PINK1	NM_032409	65018
PIP5K1A	NM_003557	8394
PIP5K2A	NM_005028	5305
PIP5K2B	NM_003559	8396
PIP5K2C	NM_024779	79837
PITPNM3	NM_031220	83394
PKE	NM_173575	282974
PKIA	NM_006823	5569
PKIB	NM_032471	5570
PKLR	NM_000298	5313
PKM2	NM_002654	5315
PKMYT1	NM_004203	9088
PKNBETA	NM_013355	29941
PLK	NM_005030	5347
PMSCL2	NM_002685	5394
PMVK	NM_006556	10654
PNKP	NM_007254	11284
PPP1R1B	NM_032192	84152
PPP2CA	NM_002715	5515
PPP2CB	NM_004156	5516
PPP4C	NM_002720	5531
PRKAA1	NM_006251	5562
PRKAA2	NM_006252	5563
PRKACA	NM_002730	5566
PRKACB	NM_002731	5567
PRKACG	NM_002732	5568
PRKAG1	NM_002733	5571
PRKAG3	NM_017431	53632
PRKAR1A	NM_002734	5573
PRKAR2A	NM_004157	5576
PRKAR2B	NM_002736	5577
PRKCA	NM_002737	5578
PRKCABP	NM_012407	9463
PRKCB1	NM_002738	5579
PRKCD	NM_006254	5580
PRKCE	NM_005400	5581
PRKCG	NM_002739	5582
PRKCH	NM_006255	5583
PRKCI	NM_002740	5584
PRKCL1	NM_002741	5585
PRKCL2	NM_006256	5586
PRKCM	NM_002742	5587
PRKCN	NM_005813	23683
PRKCQ	NM_006257	5588
PRKCSH	NM_002743	5589
PRKCZ	NM_002744	5590
PRKD2	NM_016457	25865
PRKDC	NM_006904	5591
PRKG1	NM_006258	5592
PRKG2	NM_006259	5593
PRKR	NM_002759	5610
PRKRA	NM_003690	8575
PRKWNK1	NM_018979	65125
PRKWNK2	NM_006648	65268
PRKWNK3	NM_020922	65267
PRKWNK4	NM_032387	65266
PRKX	NM_005044	5613
PRKY	NM_002760	5616
PRPF4B	NM_003913	8899
PRPS1	NM_002764	5631
PRPS2	NM_002765	5634
PRPSAP1	NM_002766	5635
PRPSAP2	NM_002767	5636
PSK	NM_016151	51677
PSKH1	NM_006742	5681
PSKH2	NM_033126	85481
PTK2	NM_005607	5747
PTK2B	NM_004103	2185
PTK6	NM_005975	5753
PTK7	NM_002821	5754
PTK9	NM_002822	5756
PTK9L	NM_007284	11344
PTPN5	NM_032781	84867
PTPRG	NM_002841	5793
PTPRJ	NM_002843	5795
PTPRR	NM_002849	5801
PTPRT	NM_007050	11122
PXK	NM_017771	54899
PYCS	NM_002860	5832
RAC1	NM_006908	5879
RAF1	NM_002880	5894
RAGE	NM_014226	5891
RASGRF2	NM_006909	5924
RBSK	NM_022128	64080
RET	NM_000323	5979
RFP	NM_006510	5987
RHOK	NM_002929	6011
RIOK1	NM_031480	83732
RIOK3	NM_003831	8780
RIPK1	NM_003804	8737
RIPK2	NM_003821	8767
RIPK3	NM_006871	11035
RNASEL	NM_021133	6041
ROCK1	NM_005406	6093
ROCK2	NM_004850	9475
ROR1	NM_005012	4919
ROR2	NM_004560	4920
ROS1	NM_002944	6098
RP2	NM_006915	6102
RPS6KA1	NM_002953	6195
RPS6KA2	NM_021135	6196
RPS6KA3	NM_004586	6197
RPS6KA4	NM_003942	8986
RPS6KA5	NM_004755	9252
RPS6KA6	NM_014496	27330
RPS6KB1	NM_003161	6198
RPS6KB2	NM_003952	6199
RPS6KC1	NM_012424	26750
RPS6KL1	NM_031464	83694
RYK	NM_002958	6259
SAST	XM_032034	22983
SCAP1	NM_003726	8631
SCYL1	NM_020680	57410
SEPHS1	NM_012247	22929
SGK	NM_005627	6446
SGK2	NM_016276	10110
SGKL	NM_013257	23678
SHC1	NM_003029	6464
SIK2	NM_015191	23235
SLK	NM_014720	9748
SMG1	NM_014006	23049
SNARK	NM_030952	81788
SNF1LK	NM_173354	150094
SNK	NM_006622	10769
SNRK	NM_017719	54861
SOCS1	NM_003745	8651
SOCS5	NM_014011	9655
SPA17	NM_017425	53340
SPEC2	NM_020240	56990
SPHK1	NM_021972	8877
SPHK2	NM_020126	56848
SPS2	NM_012248	22928
SQSTM1	NM_003900	8878
SRC	NM_005417	6714
SRMS	NM_080823	6725
SRPK1	NM_003137	6732
SRPK2	NM_182691	6733
SSH3BP1	NM_005470	10006
SSTK	NM_032037	83983
STK10	NM_005990	6793
STK11	NM_000455	6794
STK16	NM_003691	8576
STK17A	NM_004760	9263
STK17B	NM_004226	9262
STK18	NM_014264	10733
STK19	NM_004197	8859
STK22B	NM_053006	23617
STK22C	NM_052841	81629
STK22D	NM_032028	83942
STK23	NM_014370	26576
STK24	NM_003576	8428
STK25	NM_006374	10494
STK29	NM_003957	9024
STK3	NM_006281	6788
STK31	NM_031414	56164
STK33	NM_030906	65975
STK35	NM_080836	140901
STK36	NM_015690	27148
STK38	NM_007271	11329
STK38L	NM_015000	23012
STK39	NM_013233	27347
STK4	NM_006282	6789
STK6	NM_003600	6790
SYK	NM_003177	6850
TAF1	NM_004606	6872
TAF1L	NM_153809	138474
TAO1	NM_004783	9344
TBK1	NM_013254	29110
TEC	NM_003215	7006
TEK	NM_000459	7010
TESK1	NM_006285	7016
TESK2	NM_007170	10420
TEX14	NM_031272	56155
TGFBR1	NM_004612	7046
TGFBR2	NM_003242	7048
TIE	NM_005424	7075
TJP2	NM_004817	9414
TK1	NM_003258	7083
TK2	NM_004614	7084
TLK1	NM_012290	9874
TLK2	NM_006852	11011
TLR1	NM_003263	7096
TLR3	NM_003265	7098
TLR4	NM_003266	7099
TLR6	NM_006068	10333
TNFRSF10A	NM_003844	8797
TNK1	NM_003985	8711
TOPK	NM_018492	55872
TPK1	NM_022445	27010
TRAD	NM_007064	11139
TRB2	NM_021643	28951
TRIM	NM_016388	50852
TRIO	NM_007118	7204
TRPM6	NM_017662	140803
TRPM7	NM_017672	54822
TSKS	NM_021733	60385
TTBK1	XM_166453	84630
TTBK2	NM_173500	146057
TTK	NM_003318	7272
TTN	NM_133378	7273
TXK	NM_003328	7294
TXNDC3	NM_016616	51314
TYK2	NM_003331	7297
TYRO3	NM_006293	7301
UCK1	NM_031432	83549
UGP2	NM_006759	7360
ULK1	NM_003565	8408
ULK2	NM_014683	9706
UMP-CMPK	NM_016308	51727
UMPK	NM_012474	7371
URKL1	NM_017859	54963
VRK1	NM_003384	7443
VRK2	NM_006296	7444
VRK3	NM_016440	51231
WEE1	NM_003390	7465
WIF1	NM_007191	11197
XYLB	NM_005108	9942
YES1	NM_005433	7525
YWHAH	NM_003405	7533
YWHAQ	NM_006826	10971
ZAK	NM_016653	51776
ZAP70	NM_001079	7535
