Probe Set ID	Symbol	Gene Title	Entrez ID	Location
216747_at	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	323	4p14-p13
216748_at	PYHIN1	pyrin and HIN domain family, member 1	149628	1q23.1
216831_s_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	8q22
216892_at	IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	3500	14q32.33
216972_at	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	6677	7q31.3
217369_at	IGHG1 /// IGHV4-31	immunoglobulin heavy constant gamma 1 (G1m marker) /// immunoglobulin   heavy variable 4-31	3500	14q32.33
218323_at	RHOT1	ras homolog gene family, member T1	55288	17q11.2
218352_at	RCBTB1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	55213	13q14
218490_s_at	ZNF302	zinc finger protein 302	55900	19q13.11
219067_s_at	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	54780	10q26.13
219527_at	MOSC2	MOCO sulphurase C-terminal domain containing 2	54996	1q41
220011_at	C1orf135	chromosome 1 open reading frame 135	79000	1p36.11
220094_s_at	CCDC90A	coiled-coil domain containing 90A	63933	6p24.3-p23
220420_at	CPLX3 /// LMAN1L	lectin, mannose-binding, 1 like /// complexin 3	594855 ///79748	15q24.1
220511_s_at	DLC1	deleted in liver cancer 1	10395	8p22
220906_at	---	---	---	---
220925_at	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	60560	9q21.33
220936_s_at	H2AFJ	H2A histone family, member J	55766	12p12
221313_at	GPR52	G protein-coupled receptor 52	9293	1q24
221371_at	TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	8995	1q23
221552_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3
221847_at	---	Full-length cDNA clone CS0DE005YD08 of Placenta of Homo sapiens (human)	---	---
221948_s_at	KLHL22	Kelch-like 22 (Drosophila)	84861	22q11.21
222108_at	AMIGO2	adhesion molecule with Ig-like domain 2	347902	12q13.11
222203_s_at	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	57665	2p24.2
32540_at	PPP3CC	Protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform	5533	8p21.3
45288_at	ABHD6	abhydrolase domain containing 6	57406	3p14.3
64432_at	C12orf47	chromosome 12 open reading frame 47	51275	12q24.12
