UniGene ID	Gene name	Symbol	GISTs with KIT mutation	GISTs with PDGFRA mutation†	p value	Function
Hs.20709	tetraspan 5	TSPAN-5	1.99	0.92	< 0.01	cell adhesion
Hs.5378	spondin 1, (f-spondin) extracellular matrix protein	SPON1	3.11	40.85	< 0.01	cell adhesion
Hs.24395	small inducible cytokine subfamily B (Cys-X-Cys), member 14 (BRAK)	SCYB14	1.11	3.95	< 0.01	response to biotic stimulus
Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10	SCYB10	1.77	9.83	0.009	response to biotic stimulus
Hs.20315	interferon-induced protein with tetratricopeptide repeats 1	IFIT1	1.82	8.87	0.007	response to biotic stimulus
Hs.155530	interferon, gamma-inducible protein 16	IFI16	0.54	1.55	0.007	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
Hs.227457	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	APOBEC2	1.6	5.83	0.008	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
Hs.14453	interferon consensus sequence binding protein 1	ICSBP1	1.84	4.34	0.007	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
Hs.76494	proline arginine-rich end leucine-rich repeat protein	PRELP	1.68	5.95	0.007	cell organization and biogenesis
Hs.76506	lymphocyte cytosolic protein 1 (L-plastin)	LCP1	0.38	1.09	0.007	cell organization and biogenesis
Hs.10432	KIAA0878 protein	KIAA0878	0.47	1.2	< 0.01	cell organization and biogenesis
Hs.108705	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	PPP2R1B	0.84	3.9	0.007	phosphorus metabolism
Hs.42676	KIAA0781 protein	KIAA0781	1.11	2.23	0.007	phosphorus metabolism
Hs.223025	RAB31, member RAS oncogene family	RAB31	0.99	2.38	0.007	transport
Hs.108923	RAB38, member RAS oncogene family	RAB38	1.27	3.44	0.008	transport
Hs.125359	Thy-1 cell surface antigen	THY1	0.68	6.82	< 0.01	others
Hs.277014	hypothetical gene FLJ13072	FLJ13072	0.73	1.54	0.007	others
Hs.39384	four jointed box 1 (Drosophila)	FJX1	1.51	5.6	0.007	others
Hs.239138	pre-B-cell colony-enhancing factor	PBEF	0.37	0.77	0.007	others
Hs.4909	dickkopf homolog 3 (Xenopus laevis)	DKK3	0.44	1.04	< 0.01	others
Hs.1104	bone morphogenetic protein 5	BMP5	0.88	2.96	< 0.01	others
Hs.118787	transforming growth factor, beta-induced, 68kD	TGFBI	1.84	13.47	0.007	others
Hs.75360	carboxypeptidase E	CPE	2.47	12.52	< 0.01	others
Hs.64639	glioma pathogenesis-related protein	RTVP1	3.74	9.84	< 0.01	others
Hs.7358	hypothetical protein FLJ13110	FLJ13110	2.28	8.18	0.007	others
Hs.173717	phosphatidic acid phosphatase type 2B	PPAP2B	0.98	2.8	< 0.01	others
Hs.174030	a disintegrin and metalloproteinase domain 28	ADAM28	1.4	6.79	0.007	others
Hs.54443	chemokine (C-C motif) receptor 5	CCR5	1.52	3.07	< 0.01	others
Hs.56874	heat shock 27kD protein family, member 7 (cardiovascular)	HSPB7	1.29	2.92	0.007	others
Hs.154567	supervillin	SVIL	1.86	0.63	0.007	others
