Protein/gene	Accession number	Change  between passages	Function
BENE1	U17077	0.5	Functionally unclassified proteins
HLA-DR antigen-associated invariant subunit1	X00497	0.3	Immune system proteins
T-cell receptor variable region	M21626	0.4	Immune system proteins
CDC7-related kinase1	AF015592	0.4	Intracellular transducerseffectorsmodulators
C-yes protooncogene (YES1)1	M15990	0.4	Intracellular transducerseffectorsmodulators
B-lymphocyte germinal center kinase (GC kinase)1	U07349	0.4	Intracellular transducerseffectorsmodulators
Smoothened, GX	U84401	0.5	Intracellular transducerseffectorsmodulators
Calmegin	D86322	0.4	Intracellular transducerseffectorsmodulators
Caveolin-1	Z18951 S49856	0.5	Intracellular transducerseffectorsmodulators
Serine kinase SRPK2	U88666	0.5	Intracellular transducerseffectorsmodulators
Serine/threonine protein phosphatase 6 (PP6)	X92972	0.5	Intracellular transducerseffectorsmodulators
ATP synthase coupling factor 6 mitochondrial precursor (F6)	M37104	0.4	Membrane channels and transporters
Deoxycytidine kinase1	M60527	0.4	Metabolism
Betaine-homocysteine S-methyltransferase	U50929	0.5	Metabolism
Ubiquitin thiolesterase X-linked fat facets protein related (FAF-X), USP9, ubiquitin-specific processing protease, deubiquitinating enzyme, DFFRX + ubiquitin thiolesterase Y-linked fat facets protein related (FAF-Y), USP10, DFFRY	X98296 + Y13618	0.2	Protein turnover
MMP2, 72 kDa gelatinase A, 72 kDa type IV collagenase precursor (CLG4A), TBE-1	J03210, J05471	0.5	Protein turnover
Hepatocyte growth factor-like protein (HGF activator-like protein), hyauronan-binding protein (PHBP)1	D49742, S83182	0.5	Protein turnover
PC8 precursor	U33849	0.3	Protein turnover
G-rich sequence factor 1 (GRSF1)	U07231	0.4	RNA procession, turnover and transport
Chitinase precursor	U58514	0.4	Stress response proteins
CRM1 protein	Y08614	0.5	Trafficking-targeting proteins
Transcription IFN regulatory factor 6 (IRF6)1	AF027292	0.5	Trafficking-targeting proteins
Transcription factor Spi-B	X66079	0.3	Trafficking-targeting proteins
