GeneSymbol	Number	Gene Description	Gbm/MmRatio	Frequency	Pvalue
ERBB3	AA664212	Erythroblasticleukemiaviraloncogenehomolog3(avian)	14	2	0.00083
RAGE	N77779	Renaltumorantigen	0.48	1	0.00083
RYK	T77810	Receptor-liketyrosinekinase	0.27	—	0.00083
TYROS	BM665421	Proteintyrosinekinase	4	2	0.00083
FGFR4	AA446994	Fibroblastgrowthfactorreceptor4	0.18	1	0.00083
GPR4	AI492409	Gprotein-coupledreceptor4	0.15	—	0.0026
GPR17	R44664	Gprotein-coupledreceptor17	45	—	0.0026
P2RY5	R91539	PurinergicreceptorP2Y,G-proteincoupled5	0.36	1	0.0026
FZD4	AA677200	Frizzledhomolog4(Drosophila)	0.13	2	0.0026
CCRL2	AI288845	Chemokine(C-Cmotif)receptor-like1	8	1	0.0026
AGTRL1	R58969	AngiotensinIIreceptor-like1	21	1	0.0026
FZD7	H71474	Frizzledhomolog7(Drosophila)	0.12	2	0.0026
GPR153	AA777493	Gprotein-coupledreceptor153	3	2	0.0026
MGC21621	W52061	MAS-relatedGPR,memberF	0.041	4	0.0026
RAMP1	BE262882	Receptor(Calcitoniun)activitymodifyingprotein1	19	1	0.0026
ARL7	N35301	ADP-ribosylationfactor-like4C	12	1	0.0044
ARF4L	AA878652	ADP-ribosylationfactor-like4D	0.082	1	0.0044
RAB9A	H98534	MemberRasoncogenefamily	2	—	0.0044
RAB31	AA432084	MemberRasoncogenefamily	2	1	0.0044
RAB33A	AI360342	MemberRasoncogenefamily	6	1	0.0044
RRAS2	R21415	RelatedRasviraloncogenehomolog2	0.21	2	0.0044
RASD1	BM674708	Rasdexamethasone-induced1	19	—	0.0044
ARHN	AI027909	RhofamilyGTPase2	13	1	0.0044
RALB	W15297	v-RalsimianleukaemiaviraloncogenehomologB(Ras  related;GTPbindingprotein)	2	2	0.0044
PLK1	AA629262	POLO-likekinase1(Drosophila)	4	4	0.011
RIPK1	AA426324	Receptor(TNFRSF)-interactingserine-threoninekinase1	0.63	2	0.011
NEK6	AA463188	NeverinmitosisgeneA-relatedkinase6	4	4	0.011
PRKCN	AA417816	ProteinkinaseD3	0.37	—	0.011
PRKACB	AA459980	Proteinkinase,cAMP-dependent,catalyticb	5	2	0.011
RAGE	N77779	Renaltumorantigen	0.48	1	0.011
PRKCM	N53380	ProteinkinaseD1	5	—	0.011
PRKCD	AA496360	ProteinkinaseCd	0.39	1	0.011
PRKCH	AA128274	ProteinkinaseCZ	0.19	1	0.011
CYP1B1	AA448157	CytochromeP450,family1,subfamilyB,polypeptide1	0.093	—	0.036
CYP4Z1	H21977	CytochromeP450,family4,subfamilyZ,polypeptide1	0.22	—	0.036
CYB5	R92281	CytochromeB5,typeA(microsomal)	0.33	3	0.036
CYP4B1	AA291484	CytochromeP450,family4,subfamilyB,polypeptide1	0.028	—	0.036
CYP3A5	BF062953	CytochromeP450,family3,subfamilyA,polypeptide5	0.13	—	0.036
