Probe name	GenBank	Gene ID	Gene Symbol	Gene Names
1371311_at	AI009817	289217		succinate dehydrogenase complex, subunit C
1370242_at	AA848284	124323	Rps23	ribosomal protein S23
1398761_at	NM_031099	81763	Rpl5	ribosomal protein L5
1398774_at	NM_022699	64640	Rpl30	ribosomal protein L30
1388296_at	BF281388	294282	Rps18	ribosomal protein S18
1371344_at	AI177054	499133	LOC499133	NA
1398917_at	BF281221	297755	Rpl7	ribosomal protein L7
1388343_at	AI575943	361385	Ndufb7_predicted	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7 (predicted)
1372241_at	AI411388	25502	Oaz1	ornithine decarboxylase antizyme 1
1367678_at	NM_130428	157074	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)
1374816_at	AI103939	363091		similar to hypothetical protein FLJ30973
1367819_at	NM_013177	25721	Got2	glutamate oxaloacetate transaminase 2
1388160_a_at	AI171793	94173	Idh3B	isocitrate dehydrogenase 3 (NAD+) beta
1375336_at	AI237389	311039	Galnt13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13
1367597_at	NM_031706	65136	Rps8	ribosomal protein S8
1388414_at	AI410498	595134	LOC595134	NA
1368988_at	AW520914	29209	Casq2	calsequestrin 2
1392530_at	AI409545	NA	NA	NA
1388110_at	X61043	171361	Eef1a1	eukaryotic translation elongation factor 1 alpha 1
1371316_at	AI177362	29752	Fau	Finkel-Biskis-Reilly murine sarcoma virusubiquitously expressed
1388318_at	BI279760	24644	Pgk1	phosphoglycerate kinase 1
1388570_at	AI232494	361365	Polr2c_predicted	polymerase (RNA) II (DNA directed) polypeptide C (predicted)
1377499_a_at	BF420810	292905	Hrc	histidine rich calcium binding protein
1370678_s_at	D00688	29253	Maoa	monoamine oxidase A
1368566_a_at	AA964381	64539		MIPP65 protein
1398754_at	NM_031687	64156	Uba52	ubiquitin A-52 residue ribosomal protein fusion product 1
1375349_at	BI295776	NA	NA	NA
1371319_at	BI278308	290364	Itm2b	integral membrane protein 2B
1371933_at	AI228039	64183	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
1367603_at	NM_022922	24849	Tpi1	triosephosphate isomerase 1
1387957_a_at	AF255888	84357	Sh3kbp1	SH3-domain kinase binding protein 1
1367641_at	NM_017050	24786	Sod1	superoxide dismutase 1
1369931_at	NM_053297	25630	Pkm2	pyruvate kinase, muscle
1388489_at	AA875107	NA	NA	NA
1388358_at	AW252650	292845	ETFB	electron-transfer-flavoprotein, beta polypeptide
1367560_at	NM_022402	64205	Arbp	acidic ribosomal phosphoprotein P0
1371577_at	AI171362	301458		NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa
1372475_at	AI410877	298575	Pink1_predicted	PTEN induced putative kinase 1 (predicted)
1386871_at	NM_017165	29328	Gpx4	glutathione peroxidase 4
1371102_x_at	X05080	24440	Hbb	hemoglobin beta chain complex
1388364_at	BG381650	295923	Ndufs3_predicted	NADH dehydrogenase (ubiquinone) Fe-S protein 3 (predicted)
1387019_at	NM_080481	140608	Atp5i	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e
1371312_at	AA799736	316643	Chchd2_predicted	coiled-coil-helix-coiled-coil-helix domain containing 2 (predicted)
1398775_at	NM_053982	117053	Rps15a	ribosomal protein S15a
1370982_at	BI275633	24701	Pygm	muscle glycogen phosphorylase
1371377_at	BG668512	305202	LOC305202	NA
1388327_at	AI232357	294362	RGD1309529_predicted	similar to DNA segment, Chr 10, ERATO Doi 214, expressed (predicted)
1398872_at	BE107613	161477	Rps13	ribosomal protein S13
1371318_at	BG666872	140655	Rps16	ribosomal protein S16
1371305_at	AI409193	296580	LOC296580	NA
1371320_at	BF282337	290364	Itm2b	integral membrane protein 2B
1388362_at	BM390197	314759	LOC314759	NA
1367685_at	NM_031113	81777	Rps27a	ribosomal protein S27a
AFFX-r2-Ec-bioD-3_at	AFFX-R2-EC-BIOD-3	NA	NA	NA
1371313_at	AI172199	499523	LOC499523	NA
1367764_at	NM_012923	25405	Ccng1	cyclin G1
1398885_at	AA925327	29282	Rpl23	ribosomal protein L23
1370237_at	AA799574	113965	Hadhsc	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
1373920_at	AI175534	316085	RGD1307844_predicted	similar to 106 kDa O-GlcNAc transferase-interacting protein (predicted)
1367639_a_at	U92700	83789	Rps2	ribosomal protein S2
1375632_at	H35210	502741	LOC502741	NA
1386858_at	NM_031101	81765	Rpl13	ribosomal protein L13
1388372_at	AW914118	296709	Rpl35	ribosomal protein L35
1367799_at	NM_012660	24799	Stnl	statin-like
1371761_at	AI013910	362041	Rpl34_predicted	ribosomal protein L34 (predicted)
1388294_at	AI176608	363061	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein
AFFX_Rat_beta-actin_3_at	AFFX_RAT_BETA-ACTIN_3	81822	Actb	actin, beta
1375516_at	AA891171	293130	Ndufc2_predicted	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2 (predicted)
1370296_at	M34728	25541	Scp2	sterol carrier protein 2
1398760_at	NM_021264	57809	Rpl35a	ribosomal protein L35a
1386898_at	NM_012966	25462	Hspe1	heat shock 10 kDa protein 1
1376789_at	AI410679	291926	RGD1305801_predicted	similar to Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (predicted)
1367663_at	NM_017264	29630	Psme1	protease (prosome, macropain) 28 subunit, alpha
1371330_at	BI284252	362631	Rpl11_predicted	ribosomal protein L11 (predicted)
1370939_at	D90109	25288	Acsl1	acyl-CoA synthetase long-chain family member 1
1373915_at	AI044427	308405	Dm15_predicted	dystrophia myotonica kinase, B15 (predicted)
1371355_at	BI280270	296658	Ndufa8_predicted	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8 (predicted)
1375411_at	BI277002	299643	Ndufa7_predicted	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a) (predicted)
1389066_at	BI274408	140666	Dscr1l1	Down syndrome critical region gene 1-like 1
1367578_at	NM_017169	29338	Prdx2	peroxiredoxin 2
1370180_at	AA891213	94267	Nudt4	nudix (nucleoside diphosphate linked moiety X)-type motif 4
1386894_at	NM_022229	63868	Hspd1	heat shock protein 1 (chaperonin)
1398827_at	NM_013087	25621	Cd81	CD 81 antigen
1370866_at	AA944073	124440	Rpl41	ribosomal protein L41
1373987_at	AI410448	56817	Kcnip2	Kv channel-interacting protein 2
1367766_at	NM_031833	83782	Nme2	expressed in non-metastatic cells 2
1371954_at	BF290193	301509	LOC301509	NA
1367623_at	NM_031102	81766	Rpl18	ribosomal protein L18
1367588_a_at	NM_022179	25060	Hk3	hexokinase 3
1372737_at	BF395095	498587	LOC498587	NA
1390019_at	BM390456	117056		H3 histone, family 3B
1367679_at	NM_013069	25599	Cd74	CD74 antigen (invariant polpypeptide of major histocompatibility class II antigen-associated)
1367596_at	NM_013224	27139	Rps26	ribosomal protein S26
1398882_at	BI282255	25538	Rps5	ribosomal protein S5
1383162_at	AI008646	NA	NA	NA
1375119_at	BI284798	25489	Nedd4a	neural precursor cell expressed, developmentally down-regulated gene 4A
1386891_at	NM_017236	29542	Pbp	phosphatidylethanolamine binding protein
1372296_at	AA800892	498066	LOC498066	NA
1379243_at	AA819547	315167	Ndufa6_predicted	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6 (B14) (predicted)
1373193_at	BE108670	NA	NA	NA
1370109_s_at	NM_033539	29652	Eef1a2	eukaryotic translation elongation factor 1 alpha 2
1367709_at	NM_017125	29186	Cd63	CD63 antigen
1371642_at	AI169170	303831	Eif4a2_predicted	eukaryotic translation initiation factor 4A2 (predicted)
