Gene Function	Gene Symbol	Gene Description	Accession Number	Expression
DNA metabolism	ELL3	elongation factor RNA polymerase II-like 3	AA464143	Positive
DNA metabolism	ZCCHC7	Homo sapiens zinc finger, CCHC domain containing 7	AI214389	Positive
DNA metabolism	PMS2L2	Post-meiotic segregation increased 2-like 2	AA437275	Positive
DNA metabolism	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	N30428	Positive
Apoptosis	PAWR	PRKC, apoptosis, WT1, regulator	H99430	Positive
Apoptosis	BIK	BCL2-interacting killer (apoptosis-inducing)	AI347538	Positive
Misclellaneous	CNR1	cannabinoid receptor 1 (brain)	R13505	Positive
Misclellaneous	BMP7	bone morphogenetic protein 7 (osteogenic protein 1)	W73473	Positive
Misclellaneous	BICD1	Bicaudal D homolog 1 (Drosophila)	AA504478	Positive
Misclellaneous	METAP2	methionyl aminopeptidase 2	AA487589, AA283030, H10307	Positive
Misclellaneous	DD5	progestin induced protein	AA960842	Positive
Misclellaneous	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	AA670438	Positive
Misclellaneous	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2	AA425345	Positive
Misclellaneous	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2 (phafin 2)	AA886792	Positive
Misclellaneous	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	AA283023	Positive
Misclellaneous	OSBPL10	oxysterol binding protein-like 10	AA486183, H03146	Positive
Misclellaneous	PXK	PX domain containing serine/threonine kinase	AA876354	Positive
Misclellaneous	SPRED2	sprouty-related, EVH1 domain containing 2	AA204873	Positive
Misclellaneous	SFRS5	splicing factor, arginine/serine-rich 5	T86006	Positive
Misclellaneous	LRMP	lymphoid-restricted membrane protein	AA456895	Positive
Misclellaneous	PRKCE	protein kinase C, epsilon	AA194068	Positive
Misclellaneous	FNBP1	formin binding protein 1	H93604	Positive
Misclellaneous	SOXN	putative sulfhydryl oxidase	H08427	Positive
Misclellaneous	RRM2B	ribonucleotide reductase M2 B (TP53 inducible)	AA425014	Positive
Misclellaneous	RDH13	retinol dehydrogenase 13 (all-trans and 9-cis)	AA488884	Positive
Misclellaneous	SYPL	synaptophysin-like protein	AA427447	Positive
Misclellaneous	PAIP2	polyadenylate-binding protein-interacting protein 2	AA053129	Positive
Misclellaneous	MPPE1	metallo phosphoesterase	AA478854	Positive
Misclellaneous	DTNBP1	dystrobrevin binding protein 1	AA620896	Positive
Misclellaneous	HSPC049	HSPC049 protein	R14977	Positive
Misclellaneous	C7orf23	chromosome 7 open reading frame 23	W48646	Positive
Misclellaneous	DKFZP434C171	DKFZP434C171 protein	H04771	Positive
Misclellaneous	FLJ35954	hypothetical protein FLJ35954	R66533	Positive
Misclellaneous	KIAA0922	KIAA0922 protein	AA465338	Positive
Misclellaneous	KIAA1892	KIAA1892 protein	H79705	Positive
Misclellaneous	LOC152485	hypothetical protein LOC152485	N23340	Positive
Misclellaneous	LOC152485	hypothetical protein LOC152485	AA169444	Positive
Misclellaneous	MGC9084	hypothetical protein MGC9084	N74574	Positive
Misclellaneous		Homo sapiens, clone MGC:10240 IMAGE:3913592, mRNA, complete cds	AA931428	Positive
Misclellaneous		Homo sapiens, clone IMAGE:4815142, mRNA	AA962213	Positive
Misclellaneous		Homo sapiens mRNA; cDNA DKFZp761M0223 (from clone DKFZp761M0223)	W95409	Positive
Misclellaneous		Homo sapiens EST from clone 112590, full insert		Positive
Misclellaneous		Homo sapiens cDNA clone IMAGE:3453987, partial cds	H96647	Positive
Misclellaneous		ESTs	H94035	Positive
Misclellaneous		ESTs	AI222779	Positive
Misclellaneous		ESTs	AA417746	Positive
Misclellaneous		ESTs	AA490586	Positive
Misclellaneous		ESTs	AA448672	Positive
Tumor suppressor	CAV1	caveolin 1, caveolae protein, 22kDa	AA487560	Negative
Tumor suppressor	JDP2	jun dimerization protein 2	AA443659	Negative
Tumor suppressor	DAPK1	Death associated protein kinase-1	N34470	Negative
DNA metabolism	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	H53133	Negative
Cell adhesion	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)	R22412	Negative
Cytoskeleton	COL4A2	collagen, type IV, alpha 2	AA430540	Negative
Cytoskeleton	MYO10	Myosin X	N21461	Negative
Cytoskeleton	PM5	pM5 protein homology to conserved regions of the collagenase gene family	AA025160	Negative
Cytoskeleton	PAK1	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)	R15832	Negative
Miscellaneous	CCR1	chemokine (C-C motif) receptor 1	AA036881, AA436473, AA148574	Negative
Miscellaneous	KIFC3	kinesin family member C3	AA436460	Negative
Miscellaneous	HOXB6	homeo box B6	AA610066	Negative
Miscellaneous	GRCA	likely ortholog of mouse gene rich cluster, A gene	AA478761	Negative
Miscellaneous	GPM6B	glycoprotein M6B	AA284329	Negative
Miscellaneous	NAV1	neuron navigator 1	AA043878	Negative
Miscellaneous	nexilin	likely ortholog of rat F-actin binding protein nexilin	AA126195	Negative
Miscellaneous	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)	H91680	Negative
Miscellaneous	RASGRP4	RAS guanyl releasing protein 4	AA923524	Negative
Miscellaneous	RPN1	ribophorin I	AA961071	Negative
Miscellaneous	SLC22A1L	solute carrier family 22 (organic cation transporter), member 1-like	AA405116	Negative
Miscellaneous	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	AI268473	Negative
Miscellaneous	GLT25D2	glycosyltransferase 25 domain containing 2	H08862	Negative
Miscellaneous	C1orf38	chromosome 1 open reading frame 38	N93440	Negative
Miscellaneous	C22orf5	chromosome 22 open reading frame 5	AI074169	Negative
Miscellaneous	FLJ12438	hypothetical protein FLJ12438	T49282	Negative
Miscellaneous	LOC285074	hypothetical protein LOC285074	N68492	Negative
Miscellaneous	LOC285431	hypothetical protein LOC285431	AA496790	Negative
Miscellaneous	LOC51334	mesenchymal stem cell protein DSC54	R63841	Negative
Miscellaneous	MGC14376	hypothetical protein MGC14376	AA454584	Negative
Miscellaneous		ESTs	AA917324	Negative
Miscellaneous		ESTs	N74073	Negative
Miscellaneous		Homo sapiens cDNA FLJ10010 fis, clone HEMBA1000302.	N29326	Negative
Miscellaneous		Homo sapiens, clone IMAGE:5110701, mRNA	AA904638	Negative
Miscellaneous		Homo sapiens mRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)	W93688	Negative
