UGCluster	Symbol	Name	GOabr
Hs.443826	MGC4399	mitochondrial carrier protein	binding|membrane|mitochondrial inner membrane|transport
Hs.5476	MCSC	mitochondrial Ca2+-dependent solute carrier	binding|calcium ion binding|membrane|mitochondrial inner membrane|transport
Hs.263925	NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	NA
Hs.435541	TBCD	tubulin-specific chaperone d	beta-tubulin folding|co-chaperonin activity|cytosol|microtubule|protein folding
Hs.443260	C20orf20	chromosome 20 open reading frame 20	NA
Hs.9880	PPIH	peptidyl prolyl isomerase H (cyclophilin H)	chaperone activity|cyclosporin A binding|isomerase activity|nuclear mRNA splicing, via spliceosome|peptidyl-prolyl cis-trans isomerase activity|protein complex assembly|protein folding|snRNP protein-nucleus import|spliceosome complex
Hs.103833	FLJ23469	hypothetical protein FLJ23469	catalytic activity|metabolism
Hs.412433	AIP	aryl hydrocarbon receptor interacting protein	cytoplasm|protein folding|signal transducer activity|transcription coactivator activity|transcription factor binding
Hs.112058	SIVA	CD27-binding (Siva) protein	apoptosis|defense response|induction of apoptosis by extracellular signals|receptor signaling protein activity
Hs.18799	FLOT2	flotillin 2	cell adhesion|epidermis development|flotillin complex|integral to membrane|plasma membrane|protein binding
Hs.433506	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	Arp2/3 protein complex|cell motility|structural constituent of cytoskeleton
Hs.79385		Human clone 23574 mRNA sequence	NA
Hs.512586	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	ATP binding|development|helicase activity
Hs.81848	RAD21	RAD21 homolog (S. pombe)	apoptosis|cell cycle|chromosome organization and biogenesis (sensu Eukarya)|chromosome segregation|double-strand break repair|meiotic recombination|mitosis|nuclear chromosome|protein binding
Hs.295866	DKFZP434N1923	hypothetical protein DKFZp434N1923	kinase activity
Hs.433328		neuronal protein 17.3	NADH dehydrogenase activity|integral to membrane|mitochondrion|oxidoreductase activity
Hs.30174	SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa	nucleus|regulation of transcription, DNA-dependent|transcription factor activity|transcription from Pol II promoter|transcription initiation from Pol III promoter
Hs.432121	PRDX2	peroxiredoxin 2	cytoplasm|electron transporter activity|oxidoreductase activity|peroxidase activity|response to oxidative stress|thioredoxin peroxidase activity
Hs.365207	THRAP5	thyroid hormone receptor associated protein 5	RNA polymerase II transcription mediator activity|androgen receptor signaling pathway|ligand-dependent nuclear receptor transcription coactivator activity|mediator complex|nucleus|nucleus|receptor activity|receptor activity|regulation of transcription from Pol II promoter|thyroid hormone receptor binding|transcription coactivator activity|transcription cofactor activity|transcription from Pol II promoter|transcription initiation from Pol II promoter|transcriptional activator activity|vitamin D receptor binding
Hs.19673	MAF1	homolog of yeast MAF1	NA
Hs.271614	C14orf122	chromosome 14 open reading frame 122	molecular_function unknown
Hs.29203	GBL	G protein beta subunit-like	NA
Hs.15977	NDUFB9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22kDa	NA
Hs.10824	LRP16	LRP16 protein	NA
Hs.8015	USP21	ubiquitin specific protease 21	cellular_component unknown|cysteine-type endopeptidase activity|hydrolase activity|protein modification|ubiquitin thiolesterase activity|ubiquitin-dependent protein catabolism
Hs.194143	BRCA1	breast cancer 1, early onset	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator|cell cycle checkpoint|damaged DNA binding|extracellular space|gamma-tubulin ring complex|intracellular|negative regulation of cell cycle|negative regulation of centriole replication|nucleus|positive regulation of DNA repair|protein binding|regulation of apoptosis|regulation of cell proliferation|regulation of transcription from Pol II promoter|regulation of transcription from Pol III promoter|transcription coactivator activity|transcription factor complex|transcriptional activator activity|tubulin binding|zinc ion binding
Hs.96055	E2F1	E2F transcription factor 1	G1 phase of mitotic cell cycle|apoptosis|negative regulation of transcription from Pol II promoter|nucleus|regulation of cell cycle|regulation of transcription, DNA-dependent|transcription corepressor activity|transcription factor activity|transcription factor complex
Hs.49932	C21orf45	chromosome 21 open reading frame 45	biological_process unknown|cellular_component unknown|molecular_function unknown
Hs.529909	HIST1H2BG	histone 1, H2bg	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.323445	C9orf75	chromosome 9 open reading frame 75	NA
Hs.438550	KIAA0056	KIAA0056 protein	NA
Hs.181163	HMGN2	high-mobility group nucleosomal binding domain 2	DNA binding|chromatin|establishment and/or maintenance of chromatin architecture|nucleus|regulation of transcription, DNA-dependent
Hs.30212	TRIP15	thyroid receptor interacting protein 15	cytoplasm|protein binding|signal transducer activity|signal transduction|signalosome complex|transcription from Pol II promoter
Hs.153850	CHTF18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)	ATP binding|DNA binding|DNA replication|DNA replication factor C complex|nucleotide binding
Hs.528694	MCM8	MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)	ATP binding|DNA binding|DNA replication|DNA replication initiation|DNA-dependent ATPase activity|cell cycle|nucleotide binding|regulation of transcription, DNA-dependent
Hs.301005	H2AFV	H2A histone family, member V	NA
Hs.232400	HNRPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	NA
Hs.460184	MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	ATP binding|ATP binding|DNA binding|DNA replication|DNA replication initiation|DNA-dependent ATPase activity|nucleotide binding|nucleus|nucleus|regulation of transcription, DNA-dependent
Hs.69360	KIF2C	kinesin family member 2C	ATP binding|cell proliferation|centromeric DNA binding|chromosome, pericentric region|kinesin complex|microtubule motor activity|mitosis|nucleus
Hs.196769	CHC1	chromosome condensation 1	DNA packaging|G1/S transition of mitotic cell cycle|Ran guanyl-nucleotide exchange factor activity|cell cycle|chromatin binding|condensed nuclear chromosome|histone binding|mitotic spindle assembly|negative regulation of mitosis|nuclear chromatin|nucleus|regulation of S phase of mitotic cell cycle
Hs.408219	BCL7B	B-cell CLL/lymphoma 7B	actin binding|biological_process unknown|cellular_component unknown
Hs.23642	HSU79266	protein predicted by clone 23627	NA
Hs.409582	LOC286257	hypothetical protein LOC286257	NA
Hs.289007	FLJ10803	hypothetical protein FLJ10803	NA
Hs.38178	KLIP1	KSHV latent nuclear antigen interacting protein 1	NA
Hs.89525	HDGF	hepatoma-derived growth factor (high-mobility group protein 1-like)	cell proliferation|cytoplasm|extracellular space|growth factor activity|heparin binding|signal transduction
Hs.78996	PCNA	proliferating cell nuclear antigen	DNA binding|DNA polymerase processivity factor activity|DNA repair|DNA replication|cell proliferation|delta-DNA polymerase cofactor complex|nucleus|regulation of DNA replication|regulation of cell cycle
Hs.433180	Pfs2	DNA replication complex GINS protein PSF2	DNA replication|nucleus
Hs.30035	SFRS10	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	RNA binding|nuclear mRNA splicing, via spliceosome|nucleus|pre-mRNA splicing factor activity
Hs.444082	EZH2	enhancer of zeste homolog 2 (Drosophila)	DNA binding|nucleus
Hs.79078	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	cell cycle|kinetochore|mitosis|mitotic checkpoint|nucleus
Hs.374378	CKS1B	CDC28 protein kinase regulatory subunit 1B	cell proliferation|regulation of cyclin dependent protein kinase activity
Hs.66196	NTHL1	nth endonuclease III-like 1 (E. coli)	DNA N-glycosylase activity|DNA binding|DNA-(apurinic or apyrimidinic site) lyase activity|base-excision repair|carbohydrate metabolism|endonuclease activity|hydrolase activity, acting on glycosyl bonds|lyase activity|nucleotide-excision repair, DNA incision, 5-to lesion|nucleus
Hs.301266	TCOF1	Treacher Collins-Franceschetti syndrome 1	nucleolus|skeletal development|transport|transporter activity
Hs.59729	LOC56920	semaphorin sem2	development
Hs.439548	FLJ22875	hypothetical protein FLJ22875	NA
Hs.306791	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	DNA replication|DNA-directed DNA polymerase activity|nucleus|transferase activity
Hs.77171	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	ATP binding|DNA binding|DNA replication|DNA replication initiation|DNA-dependent ATPase activity|nucleus|regulation of cell cycle|regulation of transcription, DNA-dependent
Hs.367676	DUT	dUTP pyrophosphatase	DNA replication|dUTP diphosphatase activity|dUTP metabolism|hydrolase activity|magnesium ion binding|mitochondrion|nucleotide metabolism|nucleus
Hs.153752	CDC25B	cell division cycle 25B	M phase of mitotic cell cycle|cytokinesis|hydrolase activity|intracellular|intracellular|mitosis|positive regulation of cell proliferation|protein amino acid dephosphorylation|protein-tyrosine-phosphatase activity|protein-tyrosine-phosphatase activity|regulation of cell cycle
Hs.405925	DDA3	differential display and activated by p53	NA
Hs.79018	CHAF1A	chromatin assembly factor 1, subunit A (p150)	DNA repair|DNA replication|DNA replication-dependent nucleosome assembly|cell cycle|chromatin assembly complex|chromatin binding|histone-specific chaperone activity|nucleus|protein complex assembly|regulation of transcription, DNA-dependent
Hs.30114	CDCA3	cell division cycle associated 3	biological_process unknown|cellular_component unknown|molecular_function unknown
Hs.126714	MHC2TA	MHC class II transactivator	NA
Hs.18616	MTB	more than blood homolog	NA
Hs.442658	AURKB	aurora kinase B	ATP binding|cell cycle|protein amino acid phosphorylation|protein serine/threonine kinase activity|transferase activity
Hs.59461	DKFZP434C245	DKFZP434C245 protein	NA
Hs.25292	JUNB	jun B proto-oncogene	RNA polymerase II transcription factor activity|chromatin|nucleus|regulation of transcription from Pol II promoter|transcription coactivator activity|transcription corepressor activity|transcription factor activity
Hs.434886	CDCA5	cell division cycle associated 5	NA
Hs.103106	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	RNA binding|U6 snRNA binding|nuclear mRNA splicing, via spliceosome|nucleus|pre-mRNA splicing factor activity|small nucleolar ribonucleoprotein complex
Hs.438720	MCM7	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	ATP binding|DNA binding|DNA replication|DNA replication initiation|DNA-dependent ATPase activity|cell cycle|chromatin|nucleotide binding|nucleus|regulation of transcription, DNA-dependent
Hs.279413	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	3-5 exonuclease activity|DNA binding|DNA repair|DNA replication|delta DNA polymerase activity|hydrolase activity|nucleotide binding|nucleus|response to UV|transferase activity
Hs.445098	DEPDC1	DEP domain containing 1	intracellular signaling cascade
Hs.512656	PSPH	phosphoserine phosphatase	L-serine biosynthesis|hydrolase activity|magnesium ion binding|metabolism|phosphoserine phosphatase activity
Hs.147097	H2AFX	H2A histone family, member X	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.226390	RRM2	ribonucleotide reductase M2 polypeptide	DNA replication|cytoplasm|deoxyribonucleoside diphosphate metabolism|oxidoreductase activity|ribonucleoside-diphosphate reductase activity
Hs.446554	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	ATP binding|DNA repair|DNA-dependent ATPase activity|damaged DNA binding|meiotic recombination|mitotic recombination|nucleus|protein binding|protein homooligomerization activity
Hs.115474	RFC3	replication factor C (activator 1) 3, 38kDa	DNA binding|DNA replication|DNA replication factor C complex|DNA strand elongation|DNA-directed DNA polymerase activity|delta-DNA polymerase cofactor complex|enzyme activator activity|nucleotide binding|nucleus
Hs.35120	RFC4	replication factor C (activator 1) 4, 37kDa	ATP binding|DNA binding|DNA replication|DNA replication factor C complex|DNA strand elongation|delta-DNA polymerase cofactor complex|nucleotide binding|nucleus
Hs.156346	TOP2A	topoisomerase (DNA) II alpha 170kDa	NA
Hs.77695	DLG7	discs, large homolog 7 (Drosophila)	cell-cell signaling|cellular_component unknown|molecular_function unknown
Hs.329989	PLK1	polo-like kinase 1 (Drosophila)	ATP binding|mitosis|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of cell cycle|transferase activity
Hs.350966	PTTG1	pituitary tumor-transforming 1	DNA metabolism|DNA repair|DNA replication and chromosome cycle|cell growth and/or maintenance|cell growth and/or maintenance|chromosome segregation|cysteine protease inhibitor activity|cytoplasm|cytoplasm|mitosis|nucleus|nucleus|protein binding|spermatogenesis|transcription factor activity|transcription from Pol II promoter
Hs.9329	TPX2	TPX2, microtubule-associated protein homolog (Xenopus laevis)	ATP binding|GTP binding|cell proliferation|mitosis|nucleus|spindle
Hs.1608	RPA3	replication protein A3, 14kDa	DNA repair|DNA replication|DNA replication factor A complex|nucleic acid binding|nucleus|single-stranded DNA binding
Hs.250822	STK6	serine/threonine kinase 6	ATP binding|cell cycle|mitosis|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|spindle|transferase activity
Hs.94542	ALKBH	alkB, alkylation repair homolog (E. coli)	DNA dealkylation
Hs.194698	CCNB2	cyclin B2	cytokinesis|mitosis|nucleus|regulation of cell cycle
Hs.14559	C10orf3	chromosome 10 open reading frame 3	NA
Hs.48855	CDCA8	cell division cycle associated 8	NA
Hs.91728	PMSCL1	polymyositis/scleroderma autoantigen 1, 75kDa	3-5-exoribonuclease activity|RNA binding|exonuclease activity|hydrolase activity|immune response|nuclear exosome (RNase complex)|nucleolus|rRNA processing
Hs.479302	FOXM1	forkhead box M1	RNA polymerase II transcription factor activity|nucleus|regulation of transcription, DNA-dependent|response to oxidative stress|transcription factor activity|transcription from Pol II promoter
Hs.339665	NA	MRNA similar to RIKEN cDNA 2700049P18 gene (cDNA clone MGC:57827 IMAGE:6064384), complete cds	NA
Hs.85137	CCNA2	cyclin A2	cytokinesis|mitosis|mitotic G2 checkpoint|nucleus|regulation of cyclin dependent protein kinase activity
Hs.272822	RUVBL1	RuvB-like 1 (E. coli)	ATP binding|DNA helicase activity|DNA recombination|hydrolase activity|nucleotide binding|nucleus|regulation of transcription from Pol II promoter|spermatogenesis|transcription
Hs.91417	TOPBP1	topoisomerase (DNA) II binding protein	DNA metabolism|DNA replication and chromosome cycle|isomerase activity|nucleus|protein C-terminus binding
Hs.278544	ACAT2	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	cytoplasm|lipid metabolism
Hs.93002	UBE2C	ubiquitin-conjugating enzyme E2C	cell cycle|cyclin catabolism|cytokinesis|ligase activity|mitosis|positive regulation of cell proliferation|ubiquitin conjugating enzyme activity|ubiquitin cycle|ubiquitin-dependent protein catabolism|ubiquitin-protein ligase activity|ubiquitin-protein ligase activity
Hs.50758	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	ATP binding|ATP-binding cassette (ABC) transporter activity|DNA supercoiling activity|cell cycle|chromosome organization and biogenesis (sensu Eukarya)|condensin complex|cytoplasm|membrane|mitosis|mitotic chromosome condensation|mitotic chromosome segregation|nucleus|protein heterodimerization activity|transport
Hs.1594	CENPA	centromere protein A, 17kDa	DNA binding|chromatin binding|chromosome organization and biogenesis (sensu Eukarya)|chromosome organization and biogenesis (sensu Eukarya)|chromosome, pericentric region|nucleosome|nucleosome assembly|nucleus|nucleus
Hs.82906	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	cytokinesis|mitosis|regulation of cell cycle|spindle|ubiquitin-dependent protein catabolism
Hs.178695	MAPK13	mitogen-activated protein kinase 13	ATP binding|MAP kinase activity|MP kinase activity|antimicrobial humoral response (sensu Vertebrata)|cell cycle|protein amino acid phosphorylation|protein kinase cascade|protein serine/threonine kinase activity|regulation of translation|response to stress|signal transduction|transferase activity
Hs.242721	SLC22A3	solute carrier family 22 (extraneuronal monoamine transporter), member 3	integral to plasma membrane|ion transport|ion transporter activity|membrane fraction|organic cation transport|organic cation transporter activity
Hs.81892	KIAA0101	KIAA0101 gene product	NA
Hs.298646	ATAD2	ATPase family, AAA domain containing 2	NA
Hs.164457	TK1	thymidine kinase 1, soluble	ATP binding|DNA metabolism|cytoplasm|kinase activity|thymidine kinase activity|transferase activity
Hs.152759	ASK	activator of S phase kinase	intracellular|kinase activity|nucleic acid binding|zinc ion binding
Hs.108106	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	DNA binding|regulation of transcription, DNA-dependent
Hs.104019	TACC3	transforming, acidic coiled-coil containing protein 3	cell growth and/or maintenance
Hs.179718	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	anti-apoptosis|chromatin|development|nucleus|regulation of cell cycle|regulation of transcription, DNA-dependent|transcription factor activity|transcription from Pol II promoter
Hs.187628	FLJ32535	butyrophilin 3	NA
Hs.510265	NUCKS	nuclear ubiquitous casein kinase and cyclin-dependent kinase substrate	nucleus
Hs.54089	BARD1	BRCA1 associated RING domain 1	nucleus
Hs.5199	HSPC150	HSPC150 protein similar to ubiquitin-conjugating enzyme	ligase activity|ubiquitin conjugating enzyme activity|ubiquitin cycle|ubiquitin-protein ligase activity
Hs.334562	CDC2	cell division cycle 2, G1 to S and G2 to M	ATP binding|cyclin-dependent protein kinase activity|cytokinesis|mitosis|nucleus|protein amino acid phosphorylation|transferase activity|traversing start control point of mitotic cell cycle
Hs.11355	TMPO	thymopoietin	DNA binding|chromosome|integral to membrane|lamin binding|nuclear membrane
Hs.94865	TEAD4	TEA domain family member 4	nucleus|regulation of transcription, DNA-dependent|transcription factor activity
Hs.388004	AHCY	S-adenosylhomocysteine hydrolase	adenosylhomocysteinase activity|cytoplasm|hydrolase activity|one-carbon compound metabolism
Hs.75066	TSN	translin	DNA binding|DNA recombination|nucleus
Hs.512716	XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	ATP binding|DNA recombination|DNA repair|DNA-dependent ATPase activity|damaged DNA binding|nucleus
Hs.31854	KLP1	K562 cell-derived leucine-zipper-like protein 1	N-acetyltransferase activity|nucleus|transcription initiation|transcriptional activator activity
Hs.523940	NA	CDNA: FLJ22685 fis, clone HSI10917	NA
Hs.159087	RAD23B	RAD23 homolog B (S. cerevisiae)	nucleotide-excision repair|nucleus|single-stranded DNA binding
Hs.434953	HMGB2	high-mobility group box 2	NA
Hs.173255	SNRPA	small nuclear ribonucleoprotein polypeptide A	RNA binding|snRNP U1|spliceosome complex
Hs.20830	KIFC1	kinesin family member C1	ATP binding|microtubule associated complex|microtubule motor activity|mitotic chromosome segregation
Hs.104741	TOPK	T-LAK cell-originated protein kinase	ATP binding|ATP binding|cellular_component unknown|mitosis|protein amino acid phosphorylation|protein amino acid phosphorylation|protein kinase activity|protein serine/threonine kinase activity|transferase activity
Hs.153704	NEK2	NIMA (never in mitosis gene a)-related kinase 2	ATP binding|centrosome|cytokinesis|meiosis|nucleus|protein amino acid phosphorylation|protein serine/threonine kinase activity|regulation of mitosis|transferase activity
Hs.279905	NUSAP1	nucleolar and spindle associated protein 1	nucleus
Hs.75238	CHAF1B	chromatin assembly factor 1, subunit B (p60)	DNA repair|DNA replication|DNA replication-dependent nucleosome assembly|G-protein coupled receptor protein signaling pathway|cell cycle|chromatin assembly complex|chromatin binding|heterotrimeric G-protein complex|histone-specific chaperone activity|nucleus|protein complex assembly|regulation of transcription, DNA-dependent|signal transducer activity
Hs.226117	H1F0	H1 histone family, member 0	DNA binding|chromosome|chromosome organization and biogenesis (sensu Eukarya)|nucleosome|nucleosome assembly|nucleus
Hs.93728	PBX2	pre-B-cell leukemia transcription factor 2	anterior compartment specification|carbon utilization by fixation of carbon dioxide|nucleus|posterior compartment specification|regulation of transcription, DNA-dependent|ribulose bisphosphate carboxylase complex|ribulose-bisphosphate carboxylase activity|transcription factor activity
Hs.157148	MGC13204	hypothetical protein MGC13204	NA
Hs.528384	SLC29A2	solute carrier family 29 (nucleoside transporters), member 2	cell proliferation|integral to plasma membrane|membrane|nucleobase, nucleoside, nucleotide and nucleic acid metabolism|nucleolus|nucleoside transport|nucleoside transporter activity|nucleoside transporter activity|transport
Hs.179565	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	ATP binding|DNA binding|DNA replication|DNA replication initiation|DNA-dependent ATPase activity|alpha DNA polymerase:primase complex|cell cycle|nucleus|regulation of transcription, DNA-dependent
Hs.2314	MBL2	mannose-binding lectin (protein C) 2, soluble (opsonic defect)	antigen binding|complement activation, classical pathway|extracellular space|heterophilic cell adhesion|immune response|mannose binding|membrane|sugar binding
Hs.448003	LOC200895	hypothetical protein LOC200895	dihydrofolate reductase activity|glycine biosynthesis|nucleotide biosynthesis
Hs.528307	CIT	citron (rho-interacting, serine/threonine kinase 21)	ATP binding|intracellular|intracellular signaling cascade|protein amino acid phosphorylation|protein serine/threonine kinase activity|small GTPase regulatory/interacting protein activity
Hs.77204	CENPF	centromere protein F, 350/400ka (mitosin)	DNA replication and chromosome cycle|kinetochore|nucleus|regulation of mitosis|spindle
Hs.334828	FLJ10719	hypothetical protein FLJ10719	NA
Hs.294088	GAJ	GAJ protein	NA
Hs.78019	24432	hypothetical protein 24432	NA
Hs.8217	STAG2	stromal antigen 2	NA
Hs.133122	ZDHHC12	zinc finger, DHHC domain containing 12	integral to membrane|metal ion binding
Hs.293636	SHMT1	serine hydroxymethyltransferase 1 (soluble)	L-serine catabolism|cytosol|glycine hydroxymethyltransferase activity|glycine metabolism|one-carbon compound metabolism|transferase activity
Hs.49760	ORC6L	origin recognition complex, subunit 6 homolog-like (yeast)	DNA binding|DNA replication|nucleus
Hs.294584	LTB4DH	leukotriene B4 12-hydroxydehydrogenase	alcohol dehydrogenase activity, zinc-dependent|cytoplasm|leukotriene metabolism|oxidoreductase activity|zinc ion binding
Hs.434102	HMGB1	high-mobility group box 1	DNA unwinding|chromatin|nuclear chromosome|regulation of transcription, DNA-dependent|single-stranded DNA binding
Hs.152707	GBAS	glioblastoma amplified sequence	mitochondrion
Hs.118064	NA	CDNA clone IMAGE:4099512, partial cds	NA
Hs.110713	DEK	DEK oncogene (DNA binding)	DNA binding|GTP binding|RNA binding|SRP-dependent cotranslational membrane targeting|cell growth and/or maintenance|histone binding|nucleus|regulation of transcription from Pol II promoter|signal recognition particle|signal transduction|specific RNA polymerase II transcription factor activity|viral genome replication
Hs.183803	TRAP1	heat shock protein 75	ATP binding|chaperone activity|mitochondrion|protein folding|tumor necrosis factor receptor binding
Hs.118725	SEPHS2	selenophosphate synthetase 2	ATP binding|catalytic activity|cellular_component unknown|selenide, water dikinase activity|selenocysteine biosynthesis|transferase activity
Hs.444619	DXS9879E	DNA segment on chromosome X (unique) 9879 expressed sequence	biological_process unknown|cellular_component unknown|molecular_function unknown
