Affymetrix Probeset ID	HUGO Symbol	Transcript ID	RefSeq Protein ID
238996_x_at	ALDOA	AK098778 /// AK301993 /// BC004333 /// BC010660 /// BC012880 /// BC013614 /// BC015888 /// BC016800 /// CR536528 /// CR541880 /// CR590693 /// CR620834 /// ENST00000338110 /// ENST00000395240 /// ENST00000395248 /// ENST00000412304 /// ENST00000436540 /// GENSCAN00000009807 /// M11560 /// NM_000034 /// NM_001127617 /// NM_184041 /// NM_184043 /// uc002dvw.1 /// uc002dvx.1 /// uc002dvy.1 /// uc002dvz.1 /// uc002dwa.1 /// uc002dwb.1 /// uc002dwc.1 /// uc002dwd.1	NP_000025 /// NP_001121089 /// NP_908930 /// NP_908932
217871_s_at	MIF	BC000447 /// BC007676 /// BC008914 /// BC013976 /// BC022414 /// BC051440 /// BC053376 /// CR456520 /// ENST00000215754 /// L10612 /// M25639 /// NM_002415 /// uc002zyq.1 /// uc002zyr.1	NP_002406
208002_s_at	ACOT7	AB074415 /// AB074416 /// AB074417 /// AB074418 /// AB074419 /// AK289572 /// AK290097 /// AK291583 /// AK292202 /// AK300831 /// BC017365 /// D88894 /// ENST00000361521 /// ENST00000377842 /// ENST00000377845 /// ENST00000377855 /// ENST00000377860 /// ENST00000418124 /// NM_007274 /// NM_181864 /// NM_181865 /// NM_181866 /// U91316 /// uc001amq.1 /// uc001amr.1 /// uc001ams.1 /// uc001amt.1 /// uc001amu.1 /// uc001amv.1	NP_009205 /// NP_863654 /// NP_863655 /// NP_863656
218163_at	MCTS1	AB034206 /// AK294834 /// AY364258 /// BC001013 /// BC095461 /// ENST00000371315 /// ENST00000371317 /// NM_001137554 /// NM_014060 /// uc004esx.1	NP_001131026 /// NP_054779
201896_s_at	PSRC1	AF223000 /// AF447874 /// BC056909 /// CR624502 /// ENST00000369903 /// ENST00000369904 /// ENST00000369907 /// ENST00000369909 /// ENST00000409138 /// ENST00000409267 /// ENST00000438534 /// NM_001005290 /// NM_001032290 /// NM_001032291 /// NM_032636 /// uc001dxb.1 /// uc001dxc.1 /// uc001dxd.1 /// uc001dxe.1 /// uc001dxf.1 /// uc001dxg.1 /// uc001dxh.1 /// uc001dxi.1 /// uc001dxj.1	NP_001005290 /// NP_001027461 /// NP_001027462 /// NP_116025
216088_s_at	PSMA7	AF022815 /// AK127210 /// BC001895 /// BC004427 /// BT007165 /// ENST00000370858 /// ENST00000370861 /// ENST00000370873 /// ENST00000395567 /// GENSCAN00000046440 /// NM_002792 /// uc002ybx.1 /// uc002yby.1	NP_002783
222608_s_at	ANLN	AK094574 /// BC034692 /// BC070066 /// ENST00000265748 /// ENST00000396068 /// NM_018685 /// uc003tff.1 /// uc003tfg.1	NP_061155
212639_x_at	TUBA1B	AF081484 /// AF141347 /// AK091494 /// AK094717 /// AK289354 /// AK289483 /// AK293337 /// AK298838 /// BC000431 /// BC000696 /// BC001128 /// BC001805 /// BC006379 /// BC006468 /// BC006481 /// BC008330 /// BC008659 /// BC009314 /// BC009509 /// BC009512 /// BC009513 /// BC010494 /// BC011572 /// BC015883 /// BC017004 /// BC021063 /// BC021564 /// BC030820 /// BC050637 /// BC071904 /// DQ400107 /// ENST00000301071 /// ENST00000336023 /// GENSCAN00000060251 /// K00558 /// NM_006009 /// NM_006082 /// uc001rtk.1 /// uc001rtl.1 /// uc001rtm.1 /// uc001rtn.1 /// uc001rto.1 /// uc001rtp.1 /// uc001rtr.1	NP_006073
223234_at	MAD2L2	AF072933 /// AF080398 /// AF139365 /// AF157482 /// AK094316 /// BC015244 /// ENST00000235310 /// ENST00000376667 /// ENST00000376669 /// ENST00000376672 /// ENST00000376692 /// ENST00000445656 /// ENST00000456915 /// GENSCAN00000030645 /// NM_001127325 /// NM_006341 /// uc001asp.1 /// uc001asq.1	NP_001120797 /// NP_006332
208308_s_at	GPI	AF187554 /// AK025421 /// AK129884 /// AK293446 /// AK294396 /// AK301103 /// BC004982 /// BC006342 /// BX641158 /// ENST00000356487 /// ENST00000414931 /// ENST00000415930 /// K03515 /// NM_000175 /// uc002nvf.1 /// uc002nvg.1 /// uc002nvi.1	NP_000166
209251_x_at	TUBA1C	AK293589 /// BC004949 /// BC005946 /// BC011790 /// BC019298 /// BC021088 /// BC033064 /// BC051297 /// BC063036 /// CR624182 /// ENST00000301072 /// ENST00000321665 /// GENSCAN00000052401 /// NM_032704 /// uc001rts.1 /// uc001rtt.1	NP_116093
217943_s_at	MAP7D1	AB033013 /// AK095939 /// BC015885 /// BC106053 /// ENST00000316156 /// ENST00000373148 /// ENST00000373150 /// ENST00000373151 /// ENST00000373153 /// NM_018067 /// uc001bzz.1 /// uc001caa.1 /// uc001cab.1 /// uc001cac.1 /// uc001cad.1	NP_060537
202887_s_at	DDIT4	AF335324 /// BC000708 /// BC007714 /// BC015236 /// CR622434 /// ENST00000307365 /// NM_019058 /// uc001jsx.1	NP_061931
201849_at	BNIP3	AF002697 /// AK130264 /// BC067818 /// ENST00000368636 /// NM_004052 /// uc001lku.1 /// uc001lkv.1	NP_004043
218586_at	C20orf20	AB085682 /// BC009889 /// BC014235 /// BC018841 /// ENST00000370487 /// NM_018270 /// uc002ydi.1	NP_060740
218507_at	HIG2	AF144755 /// BC008573 /// ENST00000257696 /// ENST00000435296 /// NM_001098786 /// NM_013332 /// uc003vne.1	NP_001092256 /// NP_037464
217398_x_at	GAPDH	AB062273 /// AF261085 /// BC001601 /// BC004109 /// BC009081 /// BC013310 /// BC013852 /// BC014085 /// BC023632 /// BC025925 /// BC026907 /// BC029618 /// BC078673 /// BC083511 /// CR593586 /// CR603770 /// CR606107 /// ENST00000229239 /// ENST00000396856 /// ENST00000396858 /// ENST00000396859 /// ENST00000396861 /// ENST00000458000 /// M33197 /// NM_002046 /// uc001qop.1 /// uc001qoq.1 /// uc001qor.1 /// uc001qos.1 /// uc001qot.1 /// uc001qou.1 /// uc001qov.1 /// uc001qow.1 /// uc001qox.1	NP_002037
218049_s_at	MRPL13	AB049640 /// AF112214 /// AK307322 /// BC009190 /// BC021744 /// ENST00000306185 /// NM_014078 /// uc003ypa.1	NP_054797
217720_at	CHCHD2	BC003079 /// BC015639 /// BC066331 /// BC071985 /// BC100275 /// ENST00000395422 /// NM_016139 /// uc003tsa.1	NP_057223
217785_s_at	YKT6	AB451317 /// AK299158 /// BC007319 /// BT007078 /// CR456989 /// ENST00000223369 /// ENST00000421621 /// ENST00000447123 /// NM_006555 /// U95735 /// uc003tkm.1	NP_006546
201695_s_at	NP	AF116670 /// AK098544 /// AK126154 /// BC106074 /// ENST00000361505 /// NM_000270 /// uc001vxm.1 /// uc001vxn.1 /// uc001vxo.1	NP_000261
221676_s_at	CORO1C	AB030656 /// AK096363 /// AK316065 /// AL162070 /// BC002342 /// ENST00000261401 /// ENST00000420959 /// NM_014325 /// uc001tnj.1	NP_055140
203484_at	SEC61G	AF086539 /// BC009480 /// ENST00000352861 /// ENST00000395535 /// ENST00000415949 /// NM_001012456 /// NM_014302 /// uc003tqf.1 /// uc003tqg.1	NP_001012474 /// NP_055117
227337_at	ANKRD37	AK127395 /// AK303243 /// AY296056 /// BC088376 /// ENST00000335174 /// NM_181726 /// uc003ixm.1	NP_859077
219121_s_at	ESRP1	BC067098 /// BC099916 /// BX641160 /// ENST00000358397 /// ENST00000399267 /// ENST00000423620 /// ENST00000433389 /// ENST00000454170 /// NM_001034915 /// NM_001122825 /// NM_001122826 /// NM_001122827 /// NM_017697 /// uc003ygq.1 /// uc003ygr.1 /// uc003ygs.1 /// uc003ygt.1 /// uc003ygu.1 /// uc003ygv.1 /// uc003ygw.1	NP_001030087 /// NP_001116297 /// NP_001116298 /// NP_001116299 /// NP_060167
201037_at	PFKP	AK092597 /// AK128373 /// AK129843 /// AK130767 /// AK291841 /// AK309692 /// BC002536 /// BC029138 /// BC043156 /// D25328 /// ENST00000381072 /// ENST00000381075 /// ENST00000381085 /// ENST00000381125 /// ENST00000397834 /// M64784 /// NM_002627 /// uc001igp.1 /// uc001igq.1	NP_002618
219493_at	SHCBP1	BC030699 /// ENST00000303383 /// NM_024745 /// uc002eec.1	NP_079021
210074_at	CTSL2	AB001928 /// AF070448 /// AY358641 /// BC023504 /// BC067289 /// BC110512 /// ENST00000259470 /// NM_001333 /// uc004awt.1 /// uc004awu.1	NP_001324
218755_at	KIF20A	AF070672 /// AF153329 /// AK296879 /// BC012999 /// ENST00000394894 /// NM_005733 /// uc003lcj.1 /// uc003lck.1	NP_005724
221020_s_at	SLC25A32	AF283645 /// BC021893 /// ENST00000297578 /// NM_030780 /// uc003yll.1	NP_110407
218235_s_at	UTP11L	AF151852 /// AK023587 /// AK291900 /// AK308377 /// BC005182 /// ENST00000373014 /// GENSCAN00000018015 /// NM_016037 /// uc001ccn.1 /// uc001cco.1	NP_057121
202235_at	SLC16A1	ENST00000369626 /// NM_003051 /// uc001ecx.1 /// uc001ecy.1	NP_003042
218027_at	MRPL15	BC000891 /// CR533531 /// ENST00000260102 /// GENSCAN00000027687 /// NM_014175 /// uc003xsa.1	NP_054894
218355_at	KIF4A	AF071592 /// ENST00000374403 /// NM_012310 /// uc004dyg.1	NP_036442
215084_s_at	LRRC42	AK090881 /// BC013101 /// ENST00000319223 /// ENST00000371370 /// GENSCAN00000039450 /// NM_052940 /// uc001cwj.1 /// uc001cwk.1 /// uc001cwl.1	NP_443172
200738_s_at	PGK1	AB062432 /// AK295182 /// AK301740 /// AK303848 /// BC023234 /// BC103752 /// BC104837 /// BC113568 /// ENST00000373316 /// ENST00000442431 /// ENST00000444876 /// ENST00000450919 /// NM_000291 /// uc004ecz.1 /// uc004foj.1	NP_000282
202934_at	HK2	BC064369 /// CR749202 /// ENST00000290573 /// ENST00000409174 /// NM_000189 /// uc002snd.1	NP_000180
204348_s_at	AK3L1	AK309057 /// BC016180 /// BC040224 /// BC066944 /// BC146653 /// ENST00000294419 /// ENST00000327299 /// ENST00000395334 /// NM_001005353 /// NM_013410 /// NM_203464 /// uc001dby.1 /// uc001dbz.1 /// uc001dca.1	NP_001005353 /// NP_037542 /// NP_982289
205199_at	CA9	BC014950 /// ENST00000378357 /// NM_001216 /// uc003zxo.1 /// uc003zxp.1	NP_001207
