CloneID	UnigeneID	AccessionNo.	Gene	TranscriptName	Locus	LocusID
666707	Hs.4257	AA233892	EDG3	endothelialdifferentiationsphingolipidG-protein-coupledreceptor	9,q22.1	1903
1032798	Hs.116250	AA628431	GABRA2	gamma-aminobutyricacid(GABA)Areceptor,alpha2	4,p12	NA
898305	Hs.439671	AA598830	NBL1	neuroblastomasuppressionoftumorigenicity1	1,p36.13	4681
310138	Hs.44481	N98485	FOXF2	forkheadboxF2	6,p25.3	2295
1551893	Hs.194680	AA922800	WISP1	WNT1induciblesignalingpathwayprotein1	8,q24.22	8840
213502	Hs.443057	H70124	CD53	CD53antigen	1,p13.3	963
1855534	Hs.404514	AI306126	NA	transcribedsequences	10,q11.22	NA
1739598	Hs.132992	AI140253	ABCG5	ATP-bindingcassettesub-familyG(WHITE)	2,p21	64240
1569397	Hs.22907	AA973634	LOC283824	hypotheticalproteinLOC283824	16,p12.3	NA
346860	Hs.384944	W78148	SOD2	superoxidedismutase2mitochondrial	6,q25.3	6648
1759290	Hs.341073	AI219094	ChGn	chondroitinbeta14N-acetylgalactosaminyltransferase	8,p21.3	55790
743054	Hs.511904	AA406081	EIF4A2	eukaryotictranslationinitiationfactor4Aisoform2	3,q27.3	1974
380890	Hs.356216	AA056118	FLJ20202	FLJ20202protein	1,p12	54855
111437	Hs.15200	T83209	LOC64744	hypotheticalproteinAL133206	1,p34.2	NA
753034	Hs.35841	AA436459	NFIX	nuclearfactorI/X(CCAAT-bindingtranscriptionfactor)	19,p13.2	4784
784593	Hs.6838	AA443302	ARHE	rashomologgenefamilymemberE	2,q23.3	390
915245	Hs.101307	AA578919	SLC14A1	solutecarrierfamily14(ureatransporter)member1(Kiddbloodgroup)	18,q12.3	6563
280989	Hs.101307	N47685	SLC14A1	solutecarrierfamily14(ureatransporter)member1(Kiddbloodgroup)	18,q12.3	6563
50562	Hs.283683	H16793	C8orf4	chromosome8openreadingframe4	8,p11.21	56892
141806	Hs.211600	R70479	TNFAIP3	tumornecrosisfactoralpha-inducedprotein3	6,q23.3	7128
310406	Hs.512234	N98591	IL6	interleukin6(interferonbeta2)	7,p15.3	3569
770670	Hs.211600	AA433807	TNFAIP3	tumornecrosisfactoralpha-inducedprotein3	6,q23.3	7128
1601601	Hs.1349	AA995402	CSF2	colonystimulatingfactor2(granulocyte-macrophage)	5,q23.3	1437
153340	Hs.75765	R47771	CXCL2	chemokine(C-X-Cmotif)ligand2	4,q13.3	2920
324437	Hs.789	W46900	CXCL1	chemokine(C-X-Cmotif)ligand1(melanomagrowthstimulatingactivityalpha)	4,q13.3	2919
2577230	Hs.98998	AW075585	TNC	tenascinC(hexabrachion)	9,q33.1	3371
768638	Hs.118747	AA425352	SLC15A2	solutecarrierfamily15(H /peptidetransporter)member2	3,q21.1	6565
269815	Hs.28792	N27159	INHBA	inhibinbetaA(activinA	7,p14.1	3624
1855896	Hs.240951	AI263890	NKD2	nakedcuticlehomolog2(Drosophila)	5,p15.33	85409
796170	Hs.360628	AA461086	PDE5A	phosphodiesterase5A,cGMP-specific	4,q26	401154
153025	Hs.2250	R50018	LIF	leukemiainhibitoryfactor(cholinergicdifferentiationfactor)	22,q12.2	3976
1892897	Hs.89983	AI278088	MASP1	mannan-bindinglectinserineprotease1(C4/C2activatingcomponentofRa-reactivefactor)	3,q27.3	5648
986643	Hs.86172	AA548667	PRRX2	pairedrelatedhomeobox2	9,q34.11	51450
346861	Hs.64896	W78156	NPL	N-acetylneuraminatepyruvatelyase(dihydrodipicolinatesynthase)	1,q25.3	80896
1652111	NA	AI023924	NA	NA	3,q27.3	NA
220376	Hs.240443	H86813	TncRNA	trophoblast-derivednoncodingRNA	11,q13.1	NA
143322	Hs.367688	R74357	NA	CloneIMAGE:4794726mRNA	7,p21.1	NA
173674	Hs.514556	H22445	NPTX1	neuronalpentraxinI	17,q25.3	NA
146622	Hs.1104	R79952	BMP5	bonemorphogeneticprotein5	6,p12.1	653
565075	Hs.25590	AA126561	STC1	stanniocalcin1	8,p21.2	6781
753062	Hs.15476	AA436473	DEF6	differentiallyexpressedinFDCP6homolog(mouse)	6,p21.31	50619
23185	Hs.98998	R39239	TNC	tenascinC(hexabrachion)	9,q33.1	3371
810213	Hs.82112	AA464525	IL1R1	interleukin1receptortypeI	2,q11.2	3554
753071	Hs.82101	AA436565	PHLDA1	pleckstrinhomology-likedomainfamilyA	12,q21.2	22822
768561	Hs.303649	AA425102	CCL2	chemokine(C-Cmotif)ligand2	17,q11.2	6347
786657	Hs.154654	AA451886	CYP1B1	cytochromeP450family1	2,p22.2	1545
121637	Hs.288300	T97554	FLJ23231	hypotheticalproteinFLJ23231	1,p34.3	80149
25194	Hs.25318	R39044	RAB27B	RAB27BmemberRASoncogenefamily	18,q21.2	5874
144012	Hs.271721	R76896	NA	CloneIMAGE:4179986mRNA	5,p13.2	NA
199648	Hs.295131	R96609	AKR1C1	aldo-ketoreductasefamily1memberC1(dihydrodioldehydrogenase1;20-alpha(3-alpha)-hydroxysteroiddehydrogenase)	10,p15.1	1645
1704093	Hs.411308	AI148164	GALNTL2	UDP-N-acetyl-alpha-D-galactosamine:polypeptideN-acetylgalactosaminyltransferase-like2	3,p25.1	117248
448417	Hs.334174	AA777555	TNFRSF19	tumornecrosisfactorreceptorsuperfamilymember19	13,q12.12	55504
1558642	Hs.297405	AA976544	MLPH	melanophilin	2,q37.3	79083
283329	Hs.252451	N51438	SEMA3A	semadomainimmunoglobulindomain(Ig)	7,q21.11	10371
202243	NA	H52411	GPC5	glypican5	13,q31.3	NA
138265	Hs.82112	R56687	IL1R1	interleukin1receptortypeI	NA	3554
666707	Hs.4257	AA233892	EDG3	endothelialdifferentiationsphingolipidG-protein-coupledreceptor	9,q22.1	1903
1032798	Hs.116250	AA628431	GABRA2	gamma-aminobutyricacid(GABA)Areceptor,alpha2	4,p12	NA
898305	Hs.439671	AA598830	NBL1	neuroblastomasuppressionoftumorigenicity1	1,p36.13	4681
310138	Hs.44481	N98485	FOXF2	forkheadboxF2	6,p25.3	2295
1551893	Hs.194680	AA922800	WISP1	WNT1induciblesignalingpathwayprotein1	8,q24.22	8840
213502	Hs.443057	H70124	CD53	CD53antigen	1,p13.3	963
1855534	Hs.404514	AI306126	NA	transcribedsequences	10,q11.22	NA
1739598	Hs.132992	AI140253	ABCG5	ATP-bindingcassettesub-familyG(WHITE)	2,p21	64240
1569397	Hs.22907	AA973634	LOC283824	hypotheticalproteinLOC283824	16,p12.3	NA
346860	Hs.384944	W78148	SOD2	superoxidedismutase2mitochondrial	6,q25.3	6648
1759290	Hs.341073	AI219094	ChGn	chondroitinbeta14N-acetylgalactosaminyltransferase	8,p21.3	55790
743054	Hs.511904	AA406081	EIF4A2	eukaryotictranslationinitiationfactor4Aisoform2	3,q27.3	1974
380890	Hs.356216	AA056118	FLJ20202	FLJ20202protein	1,p12	54855
111437	Hs.15200	T83209	LOC64744	hypotheticalproteinAL133206	1,p34.2	NA
753034	Hs.35841	AA436459	NFIX	nuclearfactorI/X(CCAAT-bindingtranscriptionfactor)	19,p13.2	4784
784593	Hs.6838	AA443302	ARHE	rashomologgenefamilymemberE	2,q23.3	390
1456405	Hs.444471	AA862985	KYNU	kynureninase(L-kynureninehydrolase)	2,q22.2	8942
206907	Hs.418271	R98695	MEG3	maternallyexpressed3	14	55384
731337	Hs.128907	AA416782	OTP	orthopediahomolog(Drosophila)	5,q14.1	23440
487371	Hs.403933	AA046488	FBXO32	F-boxprotein32	8,q24.13	114907
214858	Hs.4980	H73914	LDB2	LIMdomainbinding2	4,p15.32	9079
210820	Hs.379848	H66282	FLJ34154	hypotheticalproteinFLJ34154	12,q24.13	283450
119982	Hs.100686	AI732256	BCMP11	breastcancermembraneprotein11	7,p21.1	155465
145310	Hs.22404	R77783	PRSS12	protease,serine,12(neurotrypsin,motopsin)	4,q26	NA
470546	Hs.111779	AA031596	SPARC	secretedproteinacidic	NA	6678
770462	Hs.78068	AA427724	CPZ	carboxypeptidaseZ	4,p16.1	8532
48631	Hs.440497	H14383	KCNAB2	potassiumvoltage-gatedchannelshaker-relatedsubfamily	1,p36.31	8514
296140	Hs.38516	N74350	MGC15887	hypotheticalgenesupportedbyBC009447	1,q42.2	375061
147192	Hs.87606	R80408	NA	transcribedsequencewithweaksimilaritytoproteinpir:B34087(H.sapiens)B34087hypotheticalprotein	7,q21.3	NA
328868	Hs.306278	W40475	CD44	CD44antigen(homingfunctionandIndianbloodgroupsystem)	11,p13	960
147744	Hs.106070	R81336	CDKN1C	cyclin-dependentkinaseinhibitor1C(p57Kip2)	11,p15.4	1028
502664	Hs.35861	AA125792	RIS1	Ras-inducedsenescence1	3,p21.31	25907
136317	Hs.284232	R34121	KIAA0720	putativeNFkBactivatingprotein	1,p36.31	57449
113856	Hs.371468	T77237	CCND1	cyclinD1(PRAD1:parathyroidadenomatosis1)	11,q13.3	595
857612	Hs.351558	AA782333	HSPB6	heatshockproteinalpha-crystallin-related	19,q13.12	126393
1474987	NA	AA857364	NA	NA	11,p13	NA
135454	Hs.24553	R32753	FLJ12541	stimulatedbyretinoicacidgene6	15,q24.1	64220
78353	Hs.438737	T56221	MT1F	metallothionein1F(functional)	16,q12.2	4494
491742	Hs.36688	AA150491	WFDC1	WAPfour-disulfidecoredomain1	16,q24.1	58189
627939	Hs.83577	AA195959	CSRP3	cysteineandglycine-richprotein3(cardiacLIMprotein)	11,p15.1	8048
357031	Hs.407546	W92764	TNFAIP6	tumornecrosisfactoralpha-inducedprotein6	2,q23.3	7130
1473690	Hs.102336	AA916728	ARHGAP8	RhoGTPaseactivatingprotein8	22,q13.31	23779
841281	Hs.530381	AA486843	NA	CDNAcloneIMAGE:5092935partialcds	NA	NA
413080	NA	AA707789	NA	NA	NA	NA
1564300	Hs.187199	AA973283	PRO1073	PRO1073protein	NA	29005
506664	Hs.446403	AA708905	WASF2	WASproteinfamilymember2	1,p36.11	10163
1438607	Hs.369522	AA907808	KIAA1838	KIAA1838	6,q27	NA
940994	Hs.105316	AA492238	NA	transcribedsequences	7,p21.1	NA
783115	Hs.187694	AA467747	LMAN1L	lectinmannose-binding	15,q24.1	79748
1625478	Hs.502697	AA994711	FLJ10052	hypotheticalproteinFLJ10052	1	55061
487287	Hs.76640	AA040567	RGC32	responsegenetocomplement32	13,q14.11	28984
207274	Hs.251664	H59614	IGF2	insulin-likegrowthfactor2(somatomedinA)	11,p15.5	NA
666138	Hs.201800	AA233552	GARNL3	GTPaseactivatingRANGAPdomain-like3	9,q33.3	84253
1551201	Hs.148074	AA933730	PKP3	plakophilin3	11,p15.5	11187
78148	Hs.384944	T60269	SOD2	superoxidedismutase2mitochondrial	6,q25.3	6648
255794	Hs.49658	N27761	KIAA0495	KIAA0495	1,p36.32	57212
417592	Hs.193852	W89004	ABCC2	ATP-bindingcassettesub-familyC(CFTR/MRP)	10,q24.2	1244
230013	Hs.220864	H68170	CHD2	chromodomainhelicaseDNAbindingprotein2	15,q26.1	NA
1207263	Hs.291277	AA657881	MGC17330	HGFLgene	22,q12.2	NA
1610097	Hs.188032	AI000650	NA	hypotheticalLOC389185	3,q27.3	NA
1602209	Hs.356036	AA962541	SIAT4A	sialyltransferase4A(beta-galactosidealpha-2,3-sialyltransferase)	8,q24.22	389688
547247	Hs.25590	AA085318	STC1	stanniocalcin1	8,p21.2	6781
197737	Hs.464971	R93701	PIK3C3	phosphoinositide-3-kinase,class3	18,q12.3	NA
506504	NA	AA708613	NA	NA	9,q33.1	NA
844955	Hs.150549	AA773544	KIAA1893	Gprotein-regulatedinducerofneuriteoutgrowth1	5,q35.2	114787
128911	Hs.272165	R10685	FANCC	fanconianemia,complementationgroupC	9,q22.32	NA
1694201	Hs.56280	AI091881	NA	CloneIMAGE:5165100mRNA	NA	NA
110503	Hs.480710	T82817	FLJ10378	FLJ10378protein	4,q28.2	NA
1931537	Hs.156737	AI350724	NA	transcribedsequences	1,p36.12	NA
743197	Hs.529034	AA400006	NA	hypotheticalgenesupportedbyAK001829	18,q23	NA
1929165	Hs.171806	AI312851	NA	transcribedsequencewithstrongsimilaritytoproteinsp:P14651(H.sapiens)HXB3_HUMANHomeoboxproteinHox-B3	17,q21.32	NA
2027488	Hs.440835	AI356319	SF1	splicingfactor1	11,q13.1	7536
1911877	Hs.409967	AI278745	NA	transcribedsequences	4,q35.2	NA
1911099	Hs.271387	AI268937	CCL8	chemokine(C-Cmotif)ligand8	17,q11.2	6355
45542	Hs.512226	H08560	IGFBP5	insulin-likegrowthfactorbindingprotein5	2,q35	3488
1535004	Hs.514900	AA918420	NA	hypotheticalLOC388480	18,q21.33	388480
366950	Hs.251754	AA026192	SLPI	secretoryleukocyteproteaseinhibitor(antileukoproteinase)	20,q13.12	6590
44477	Hs.109225	H07071	VCAM1	vascularcelladhesionmolecule1	1,p21.2	7412
1472735	Hs.418241	AA872383	MT2A	metallothionein2A	16,q12.2	4502
162077	Hs.82101	H25689	PHLDA1	pleckstrinhomology-likedomainfamilyA		22822
1734754	Hs.46458	AI183964	LEPREL2	leprecan-like2	12,p13.31	10536
711918	Hs.79033	AA282134	QPCT	glutaminyl-peptidecyclotransferase(glutaminylcyclase)	2,p22.2	25797
321580	Hs.448805	W32884	GPRC5B	Gprotein-coupledreceptorfamilyC	16,p12.3	51704
345656	Hs.83623	W72068	XIST	X(inactive)-specifictranscript	X,q13.2	NA
953921	Hs.443572	AA551546	SLC22A5	Solutecarrierfamily22(organiccationtransporter),member5	5,q23.3	NA
726086	Hs.438231	AA293402	TFPI2	tissuefactorpathwayinhibitor2	7,q21.3	7980
712570	Hs.454832	AA281504	NA	similartoForminbindingprotein2(srGAP2)	NA	391156
1471826	Hs.293464	AA873341	PBEF1	pre-B-cellcolonyenhancingfactor1	NA	10135
753663	Hs.47668	AA478606	MDS006	x006protein	17,p13.1	56985
26442	Hs.150956	R12464	EXTL1	exostoses(multiple)-like1	1,p36.11	2134
123577	NA	R00832	NA	NA	NA	NA
46355	Hs.27191	H09933	LOC57146	promethin	16,p12.3	57146
1637116	Hs.444471	AI050819	KYNU	kynureninase(L-kynureninehydrolase)	2,q22.2	8942
48285	Hs.385634	H11660	LOC90139	tetraspaninsimiliartouroplakin1	11,p11.2	90139
753973	Hs.86998	AA478950	NFAT5	nuclearfactorofactivatedT-cells5tonicity-responsive	16,q22.1	10725
1606287	Hs.24040	AA989521	KCNK3	potassiumchannelsubfamilyK	2,p23.3	3777
767641	Hs.446179	AA418293	LSM8	LSM8homologU6smallnuclearRNAassociated(S.cerevisiae)	NA	51691
840708	Hs.384944	AA487750	SOD2	superoxidedismutase2mitochondrial	6,q25.3	6648
322016	Hs.89404	W37289	MSX2	mshhomeoboxhomolog2(Drosophila)	5,q35.2	4488
2014382	Hs.361748	AI362029	NR2F1	nuclearreceptorsubfamily2groupF	NA	7025
308478	Hs.5855	N95578	NA	MRNA;cDNADKFZp434D0818(fromcloneDKFZp434D0818)	5,p15.33	NA
324674	Hs.29444	W47106	NID67	putativesmallmembraneproteinNID67	5,q33.1	85027
429235	Hs.191406	AA007305	RHOBTB3	rho-relatedBTBdomaincontaining3	5,q15	NA
490755	Hs.6829	AA133167	KIAA1644	KIAA1644protein	22,q13.31	85352
137456	NA	R38300	NA	NA	NA	NA
470159	Hs.154654	AA029776	CYP1B1	cytochromeP450family1	2,p22.2	1545
33603	Hs.306382	R19521	MGC35048	hypotheticalproteinMGC35048	16,p12.3	124152
1703455	Hs.75794	AI161252	EDG2	endothelialdifferentiationlysophosphatidicacidG-protein-coupledreceptor	9,q31.3	1902
32609	NA	R43734	LAMA4	laminin,alpha4	6,q21	NA
249526	Hs.458336	H84368	POPDC3	popeyedomaincontaining3	6,q21	64208
130057	Hs.155223	R20779	STC2	stanniocalcin2	5,q35.1	8614
2238788	Hs.356225	AI636699	GOLGIN-67	golgin-67	15,q14	390568
296095	Hs.79353	N73611	TFDP1	transcriptionfactorDp-1	NA	7027
743971	Hs.524809	AA634556	RSN	restin(Reed-Steinbergcell-expressedintermediatefilament-associatedprotein)	12,q24.31	NA
633045	Hs.63984	AA160651	CDH13	cadherin13H-cadherin(heart)	16,q23.3	1012
785723	Hs.445857	AA449611	PRSS12	protease,serine,12(neurotrypsin,motopsin)	4,q26	NA
124781	NA	R01118	SQLE	squaleneepoxidase	NA	NA
1895046	Hs.150011	AI291719	ETV1	etsvariantgene1	7,p21.2	2115
198559	Hs.136102	R94720	KIAA0853	KIAA0853	13,q14.13	23091
297392	Hs.374950	N80129	MT1X	metallothionein1X	16,q12.2	4501
361668	Hs.124189	W96187	SCN8A	sodiumchannelvoltagegated	NA	6334
1555212	NA	AA931406	NA	NA	NA	NA
898677	NA	AA494443	NA	NA	NA	NA
80823	Hs.401964	AI820502	ID2B	inhibitorofDNAbinding2B,dominantnegativehelix-loop-helixprotein	3,p14.2	NA
731241	Hs.248267	AA416693	MPST	mercaptopyruvatesulfurtransferase	22,q12.3	4357
768271	Hs.6651	AA424813	VAMP4	vesicle-associatedmembraneprotein4	NA	8674
263815	Hs.403933	H99761	FBXO32	F-boxprotein32	8,q24.13	114907
852577	Hs.113418	AA663092	NA	LOC441801	NA	NA
1849451	Hs.194665	AI248069	DNA2L	DNA2DNAreplicationhelicase2-like(yeast)	10,q21.3	1763
2314305	Hs.106070	AI676118	CDKN1C	cyclin-dependentkinaseinhibitor1C(p57Kip2)	11,p15.4	1028
434768	Hs.9914	AA701860	FST	follistatin	5,q11.2	10468
151430	Hs.306278	H03494	CD44	CD44antigen(homingfunctionandIndianbloodgroupsystem)	11,p13	960
1914249	Hs.404810	AI310113	TRIM50A	tripartitemotif-containing50A	7,q11.23	135892
594630	Hs.17144	AA171606	DHRS3	dehydrogenase/reductase(SDRfamily)member3	1,p36.21	9249
1536727	Hs.99196	AA923696	MGC11324	hypotheticalproteinMGC11324	4,q21.23	84803
742928	Hs.269546	AA405932	FLJ40298	hypotheticalproteinFLJ40298	2,p16.2	129852
731240	Hs.408177	AA416817	EFA6R	ADP-ribosylationfactorguaninenucleotidefactor6	8	23362
364436	Hs.405933	AA022885	PITPNC1	phosphatidylinositoltransferproteincytoplasmic1	17,q24.2	26207
454317	Hs.489302	AA677165	NA	similartoZinc-alpha-2-glycoproteinprecursor(Zn-alpha-2-glycoprotein)(Zn-alpha-2-GP)	7,q22.1	NA
745469	Hs.414454	AA625968	VIK	vav-1interactingKruppel-likeprotein	7,q22.1	79027
247194		N54036	NA	NA	NA	NA
592243	Hs.2012	AA155640	TCN1	transcobalaminI(vitaminB12bindingproteinRbinderfamily)	11,q12.1	6947
1642634	Hs.437009	AI023804	POLG2	polymerase(DNAdirected)gamma2	17,q24.1	11232
788285	Hs.211202	AA450009	EDNRA	endothelinreceptortypeA	4,q31.22	1909
280843	Hs.46730	N47522	FBI4	FBI4protein	4,q21.23	404201
825343	Hs.38516	AA504497	MGC15887	hypotheticalgenesupportedbyBC009447	1,q42.2	375061
379589	Hs.207407	AA778005	PRDC	proteinrelatedtoDANandcerberus	1,q43	64388
810724	Hs.76095	AA457705	IER3	immediateearlyresponse3	6,p21.33	8870
281908	Hs.114599	N51859	COL8A1	collagentypeVIII	3,q12.1	1295
898328	Hs.165263	AA598840	PHC2	polyhomeotic-like2(Drosophila)	1,p35.1	1912
452676	Hs.122359	AA779225	CACNA1H	calciumchannelvoltage-dependent	16,p13.3	8912
841641	Hs.371468	AA487486	CCND1	cyclinD1(PRAD1:parathyroidadenomatosis1)	11,q13.3	595
384968	Hs.59203	AA708696	NA	transcribedsequences	7,p21.1	NA
1602305	Hs.437046	AA987316	TULP3	tubbylikeprotein3	12,p13.33	7289
1900939	Hs.444548	AI302616	NP_220	NP220nuclearprotein	2,p13.2	27332
969650	Hs.7934	AA663609	SCAMP5	secretorycarriermembraneprotein5	15,q24.2	192683
376064	Hs.351133	AA040380	MGC35558	hypotheticalproteinMGC35558	11,q24.3	219833
110436	Hs.15550	T84357	NA	CloneIMAGE:110436mRNAsequence	6,p24.3	NA
288899	Hs.48589	N62629	ZNF228	zincfingerprotein228	19,q13.31	7771
1607229	Hs.16611	AI014441	TPD52L1	tumorproteinD52-like1	6,q22.31	7164
487794	Hs.24192	AA043349	SYNPO2	synaptopodin2	4,q26	171024
435824	Hs.289293	AA701521	INM01	hypotheticalproteinINM01	8,p23.3	157695
269332	Hs.75081	N26688	APC	adenomatosispolyposiscoli	5,q22.2	324
271110	Hs.286221	N34457	ARF1	ADP-ribosylationfactor1	NA	375
1574257	Hs.13205	AA937150	B3GTL	beta3-glycosyltransferase-like	13,q12.3	145173
1762301	Hs.122011	AI206024	NA	transcribedlocus,moderatelysimilartoXP_517454.1similartohypotheticalproteinMGC45438[Pantroglodytes]	4,q35.1	NA
359855	Hs.58650	AA010728	MART2	melanomaantigenrecognizedbyTcells2	1,q32.2	55733
525926	Hs.82109	AA074511	SDC1	syndecan1	2,p24.1	6382
1472847	Hs.7557	AA872767	FKBP5	FK506bindingprotein5	6,p21.31	2289
683361	Hs.385985	AA214510	NIN	ninein(GSK3Binteractingprotein)	14,q22.1	51199
840683	Hs.448589	AA486364	ANKRD1	ankyrinrepeatdomain1(cardiacmuscle)	10,q23.31	27063
745126	NA	AA626373	NA	NA	2,p25.3	NA
450532	Hs.105633	AA704230	WINS1	WINS1proteinwithDrosophilaLines(Lin)homologousdomain	15,q26.3	55180
1950040	NA	AI335588	NA	similartoOlfactoryreceptor2AE1	NA	NA
1553469	Hs.130988	AA962159	DYRK1B	dual-specificitytyrosine-(Y)-phosphorylationregulatedkinase1B	19,q13.2	9149
429926	Hs.75081	AA033863	APC	adenomatosispolyposiscoli	5,q22.2	324
726391	Hs.349470	AA293803	SNCG	synucleingamma(breastcancer-specificprotein1)	10,q23.2	6623
1620415	NA	AA992278	NA	NA	NA	NA
1942253	Hs.281207	AI203225	NA	hypotheticalLOC400236	14,q32.11	400236
344432	Hs.81874	W73474	MGST2	microsomalglutathioneS-transferase2	4,q31.1	4258
880747	Hs.284135	AA468776	MGC3036	LOC442643	NA	401432
35147	Hs.387400	R25481	LASS6	LAG1longevityassurancehomolog6(S.cerevisiae)	2,q24.3	253782
1522983	Hs.130074	AA909636	NA	similartoF4N2.10	9,q34.3	NA
454039	Hs.7482	AA779327	RBM19	RNAbindingmotifprotein19	12	9904
1572724	Hs.23363	AA969814	PGM2	phosphoglucomutase2	4,p14	55276
878588	Hs.7337	AA775246	TMEM19	transmembraneprotein19	12,q21.1	55266
66852	NA	T64982	NA	NA	NA	NA
823696	Hs.20315	AA489640	IFIT1	interferon-inducedproteinwithtetratricopeptiderepeats1	10,q23.31	3434
1055707	Hs.530456	AA628113	NA	transcribedsequences	1,q21.1	NA
436051	NA	AA700024	NA	NA	3,p24.3	NA
1570466	Hs.192262	AA932065	NA	transcribedsequences	17,q25.3	NA
195853	Hs.529274	R92205	NA	transcribedsequencewithmoderatesimilaritytoproteinsp:P00722(E.coli)BGAL_ECOLIBeta-galactosidase	2,q24.3	NA
241801	Hs.41829	H93081	NA	transcribedsequences	11,p14.3	NA
486279	Hs.436019	AA043944	EVI1	ecotropicviralintegrationsite1	3,q26.2	2122
1520782	Hs.435510	AA910933	LOC283130	hypotheticalproteinLOC283130	11,q13.1	283130
1565428	NA	AA932939	NOTCH2NL	notchhomolog2(Drosophila)N-terminallike	NA	NA
1590208	Hs.437460	AA947607	FLJ10385	hypotheticalproteinFLJ10385	NA	55135
757463	Hs.98945	AA437245	NA	CloneIMAGE:5744200mRNA	14,q24.2	NA
384886	Hs.121001	AA708832	MGC21881	hypotheticalproteinMGC21881	NA	389741
345262	Hs.266470	W72881	PCDHB2	protocadherinbeta2	5,q31.3	56133
