Symbol	Locus	Gene name	Further Description
CFTR	7q31.2	Cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (subfamily C, member 7)	Chromophobe RCC-specific
CKMT1	15q15	Creatine kinase, mitochondrial 1 (ubiquitous)	Chromophobe RCC-specific
TMX4	20p12	Hypothetical protein DJ971N18.2	Chromophobe RCC-specific
EPS8	12q23-q24	Epidermal growth factor receptor pathway substrate8	Chromophobe RCC-specific
FU32724	6q26	Hypothetical protein FLJ32724	Chromophobe RCC-specific
FOXI1	5q34	Forkhead box 11	Chromophobe RCC-specific
GADD45G	9q22.1-q22.2	Growth arrest and DNA-damage-inducible, gamma	Chromophobe RCC-specific
IDH3A	15q25.1-q25.2	Isocitrate dehydrogenase 3 (NAD+) alpha	Chromophobe RCC-specific
KIAA0429	8p22	KIAA0429 gene product	Chromophobe RCC-specific
KIF13B	8p21.1	Kinesin family member 13B	Chromophobe RCC-specific
KIT	4q11-q12	V-kit Hardy–Zuckerman 4 feline sarcoma viral oncogene homolog	Chromophobe RCC-specific
KLK1	19q13.3	Kallikrein 1, renal/pancreas/salivary	Chromophobe RCC-specific
LOC51635	14q22.3	CGI-86 protein	Chromophobe RCC-specific
LOC51760	16p13.13	B/K protein	Chromophobe RCC-specific
MGC5576	12q13.1	Hypothetical protein MGC5576	Chromophobe RCC-specific
NCALD	8q22-q23	Neurocalcin delta	Chromophobe RCC-specific
PARVB	22q13.2-q13.33	Parvin, beta	Chromophobe RCC-specific
PIB5PA	22q11.2-q13.2	Phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A	Chromophobe RCC-specific
PKIA	8q21.11	Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	Chromophobe RCC-specific
PLCL2	3p24.3	Phospholipase C-like 2	Chromophobe RCC-specific
PPFIBP2	1lp15.3	PTPRF interacting protein, binding protein 2 (liprin beta 2)	Chromophobe RCC-specific
PPP2R5A	1q41	Protein phosphatase 2, regulatory subunit B (B56), alpha isoform	Chromophobe RCC-specific
PRKCD	3p21.31	Protein kinase C, delta	Chromophobe RCC-specific
PVALB	22q13.1	Parvalbumin	Chromophobe RCC-specific
SC5DL	11q23.3	Sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, fungal)-like	Chromophobe RCC-specific
SDC2	8q22-q23	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	Chromophobe RCC-specific
SLAC2-B	11q23.1	SLAC2-B	Chromophobe RCC-specific
SLC16A7	12q13	Solute carrier family 16 (monocarboxylic acid transporters), member 7	Chromophobe RCC-specific
ST14	11q24-q25	Suppression of tumorigenicity 14 (colon carcinoma, matriptase, epithin)	Chromophobe RCC-specific
SYNGR3	16pter	Synaptogyrin 3	Chromophobe RCC-specific
TBC1D1	4p14	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	Chromophobe RCC-specific
TM4SF9	4q23	Tetraspan 5	Chromophobe RCC-specific
TRIM2	4q31.23	Tripartite motif-containing 2	Chromophobe RCC-specific
None		AL050204: Homo sapiens mRNA; cDNA DKFZp586F1223 (from clone DKFZp586F1223)	Chromophobe RCC-specific
None		AL080078: Homo sapiens mRNA; cDNA DKFZp564D1462 (from clone DKFZp564D1462)	Chromophobe RCC-specific
