rank according to univariate p value	p value	FoldChange (>1 in mt)	Probe set	Description	Gene symbol	Entrez Gene ID	Coeffic	Cytoband
168	0.0021	1.45	218084_x_at	FXYD domain containing ion transport regulator 5	FXYD5	53827	1	19q12-q13.1
89	0.0011	-1.78	203987_at	frizzled homolog 6 (Drosophila)	FZD6	8323	-1	8q22.3-q23.1
821	0.01	1.53	205278_at	glutamate decarboxylase 1 (brain, 67kDa)	GAD1	2571	1	2q31
556	0.01	1.32	212256_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)	GALNT10	55568	1	5q33.2
32	0.0003	1.38	217787_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2)	GALNT2	2590	1	1q41-q42
709	0.01	1.32	218313_s_at	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	GALNT7	51809	1	4q31.1
1067	0.02	-1.58	205280_at	glycine receptor, beta	GLRB	2743	-1	4q31.3
1322	0.03	-1.49	205279_s_at	glycine receptor, beta	GLRB	2743	-1	4q31.3
393	0.01	1.33	206662_at	glutaredoxin (thioltransferase)	GLRX	2745	1	5q14
1346	0.03	1.35	209276_s_at	glutaredoxin (thioltransferase)	GLRX	2745	1	5q14
423	0.01	1.36	204875_s_at	GDP-mannose 4,6-dehydratase	GMDS	2762	1	6p25
950	0.02	1.40	220108_at	guanine nucleotide binding protein (G protein), alpha 14	GNA14	9630	1	9q21
28	0.0003	1.82	217771_at	golgi phosphoprotein 2	GOLPH2	51280	1	9q21.33
356	0.00	1.48	204983_s_at	glypican 4	GPC4	2239	1	Xq26.1
144	0.0017	1.62	204984_at	glypican 4	GPC4	2239	1	Xq26.1
1343	0.03	2.15	206204_at	growth factor receptor-bound protein 14	GRB14	2888	1	2q22-q24
1009	0.02	-1.34	210761_s_at	growth factor receptor-bound protein 7	GRB7	2886	-1	17q12
321	0.0044	1.54	200824_at	glutathione S-transferase pi	GSTP1	2950	1	11q13
1137	0.02	-1.36	204237_at	GULP, engulfment adaptor PTB domain containing 1	GULP1	51454	-1	2q32.3-q33
1902	0.04	-1.34	204235_s_at	GULP, engulfment adaptor PTB domain containing 1	GULP1	51454	-1	2q32.3-q33
1471	0.03	-1.31	213548_s_at	hypothetical protein H41	H41	55573	-1	3q22.1
250	0.0033	-1.41	209526_s_at	hepatoma-derived growth factor, related protein 3	HDGFRP3	50810	-1	15q25.2
930	0.02	-1.31	216693_x_at	hepatoma-derived growth factor, related protein 3	HDGFRP3	50810	-1	15q25.2
1730	0.04	-1.49	214469_at	histone 1, H2ae	HIST1H2AE	3012	-1	6p22.2-p21.1
621	0.01	-1.62	207156_at	histone 1, H2ag	HIST1H2AG	8969	-1	6p22.1
1206	0.02	-1.66	206110_at	histone 1, H3h	HIST1H3H	3109	-1	---
1646	0.04	-1.45	218280_x_at	histone 2, H2aa	HIST2H2AA	8337	-1	1q21.2
1555	0.03	-1.44	214290_s_at	histone 2, H2aa	HIST2H2AA	8337	-1	1q21.2
1763	0.04	-1.46	202708_s_at	histone 2, H2be	HIST2H2BE	8349	-1	1q21-q23
582	0.01	-1.70	221582_at	histone 3, H2a	HIST3H2A	92815	-1	1q42.13
820	0.01	1.31	208729_x_at	major histocompatibility complex, class I, B	HLA-B	3106	1	6p21.3
1382	0.03	1.34	217478_s_at	major histocompatibility complex, class II, DM alpha	HLA-DMA	3108	1	6p21.3
891	0.02	1.32	215536_at	major histocompatibility complex, class II, DQ beta 2	HLA-DQB2	3120	1	6p21
476	0.01	2.23	204607_at	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	HMGCS2	3158	1	1p13-p12
1172	0.02	-1.41	213793_s_at	homer homolog 1 (Drosophila)	HOMER1	9456	-1	5q14.2
354	0.0049	-1.75	211548_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	3248	-1	4q34-q35
537	0.01	-1.74	203914_x_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	3248	-1	4q34-q35
1290	0.03	-1.53	203913_s_at	hydroxyprostaglandin dehydrogenase 15-(NAD)	HPGD	3248	-1	4q34-q35
336	0.0047	-1.32	205543_at	heat shock 70kDa protein 4-like	HSPA4L	22824	-1	4q28
297	0.0039	1.39	213418_at	heat shock 70kDa protein 6 (HSP70B)	HSPA6	3310	1	1q23
247	0.0033	1.36	202638_s_at	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	ICAM1	3383	1	19p13.3-p13.2
487	0.01	1.34	213931_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein /// inhibitor of DNA binding 2B, dominant negative helix-loop-helix protein	ID2 /// ID2B	3398	1	2p25 /// 3p14.2
1757	0.04	-1.36	209292_at	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	ID4	3400	-1	6p22-p21
10	0.0001	-1.34	211406_at	immediate early response 3 interacting protein 1	IER3IP1	51124	-1	18q12
208	0.0027	1.35	202421_at	immunoglobulin superfamily, member 3	IGSF3	3321	1	1p13
1788	0.04	1.35	203474_at	IQ motif containing GTPase activating protein 2	IQGAP2	10788	1	5q13.3
34	0.0003	-1.63	209185_s_at	insulin receptor substrate 2	IRS2	8660	-1	13q34
202	0.0026	-1.49	209184_s_at	insulin receptor substrate 2	IRS2	8660	-1	13q34
1258	0.02	1.36	204017_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	KDELR3	11015	1	22q13.1
1927	0.04	1.41	214295_at	KIAA0485 protein	KIAA0485	57235	1	---
1454	0.03	1.32	213478_at	kazrin	KIAA1026	23254	1	1p36.21
342	0.0047	1.55	212325_at	KIAA1102 protein	KIAA1102	22998	1	4p13
151	0.0018	1.70	212327_at	KIAA1102 protein	KIAA1102	22998	1	4p13
167	0.0021	1.71	212328_at	KIAA1102 protein	KIAA1102	22998	1	4p13
827	0.01	1.39	202962_at	kinesin family member 13B	KIF13B	23303	1	8p12
1116	0.02	1.49	221841_s_at	Kruppel-like factor 4 (gut)	KLF4	9314	1	9q31
1469	0.03	1.75	209016_s_at	keratin 7	KRT7	3855	1	12q12-q13
417	0.01	-1.46	201030_x_at	lactate dehydrogenase B	LDHB	3945	-1	12p12.2-p12.1
558	0.01	-1.44	213564_x_at	lactate dehydrogenase B	LDHB	3945	-1	12p12.2-p12.1
1151	0.02	1.42	221558_s_at	lymphoid enhancer-binding factor 1	LEF1	51176	1	4q23-q25
495	0.01	1.37	208949_s_at	lectin, galactoside-binding, soluble, 3 (galectin 3) /// galectin-3 internal gene	LGALS3 /// GALIG	3958	1	14q21-q22
529	0.01	1.37	210732_s_at	lectin, galactoside-binding, soluble, 8 (galectin 8)	LGALS8	3964	1	1q42-q43
119	0.0014	1.32	203236_s_at	lectin, galactoside-binding, soluble, 9 (galectin 9)	LGALS9	3965	1	17q11.2
923	0.02	-1.38	221194_s_at	PTD016 protein	LOC51136	51136	-1	17q23.1
219	0.0028	1.47	214791_at	hypothetical protein BC004921	LOC93349	93349	1	2q37.1
949	0.02	1.32	216250_s_at	leupaxin	LPXN	9404	1	11q12.1
244	0.0032	1.97	219759_at	leukocyte-derived arginine aminopeptidase	LRAP	64167	1	5q15
258	0.0034	3.23	202018_s_at	lactotransferrin	LTF	4057	1	3p21.31
1533	0.03	1.39	205668_at	lymphocyte antigen 75	LY75	4065	1	2q24
715	0.01	-1.35	36711_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MAFF	23764	-1	22q13.1
341	0.0047	1.44	218918_at	mannosidase, alpha, class 1C, member 1	MAN1C1	57134	1	1p35
1160	0.02	-1.40	203510_at	met proto-oncogene (hepatocyte growth factor receptor)	MET	4233	-1	7q31
24	0.0002	-1.70	214051_at	hypothetical protein MGC39900	MGC39900	286527	-1	Xq22.2
933	0.02	-1.38	203414_at	monocyte to macrophage differentiation-associated	MMD	23531	-1	17q
60	0.0006	-1.32	203565_s_at	menage a trois 1 (CAK assembly factor)	MNAT1	4331	-1	14q23
1908	0.04	1.37	210319_x_at	msh homeo box homolog 2 (Drosophila)	MSX2	4488	1	5q34-q35
1050	0.02	-1.42	212859_x_at	metallothionein 1E (functional)	MT1E	4493	-1	16q13
172	0.0021	1.84	213693_s_at	mucin 1, transmembrane	MUC1	4582	1	1q21
260	0.0034	1.90	207847_s_at	mucin 1, transmembrane	MUC1	4582	1	1q21
16	0.0001	-1.78	202431_s_at	v-myc myelocytomatosis viral oncogene homolog (avian)	MYC	4609	-1	8q24.21
1451	0.03	1.36	201976_s_at	myosin X	MYO10	4651	1	5p15.1-p14.3
1538	0.03	1.71	214440_at	N-acetyltransferase 1 (arylamine N-acetyltransferase)	NAT1	9	1	8p23.1-p21.3
2127	0.05	1.32	202149_at	neural precursor cell expressed, developmentally down-regulated 9	NEDD9	4739	1	6p25-p24
82	0.0010	-1.57	217963_s_at	nerve growth factor receptor (TNFRSF16) associated protein 1	NGFRAP1	27018	-1	Xq22.2
117	0.0014	2.01	209706_at	NK3 transcription factor related, locus 1 (Drosophila)	NKX3-1	4824	1	8p21
8	0.0001	1.36	212377_s_at	Notch homolog 2 (Drosophila)	NOTCH2	4853	1	1p13-p11
327	0.0045	1.37	213462_at	neuronal PAS domain protein 2	NPAS2	4862	1	2q11.2
561	0.01	1.41	39549_at	neuronal PAS domain protein 2	NPAS2	4862	1	2q11.2
372	0.01	1.60	204972_at	2-5-oligoadenylate synthetase 2, 69/71kDa	OAS2	4939	1	12q24.2
436	0.01	1.34	222075_s_at	ornithine decarboxylase antizyme 3	OAZ3	51686	1	1q21.3
762	0.01	-1.68	218730_s_at	osteoglycin (osteoinductive factor, mimecan)	OGN	4969	-1	9q22
13	0.0001	-1.33	211212_s_at	origin recognition complex, subunit 5-like (yeast)	ORC5L	5001	-1	7q22.1
1472	0.03	-1.41	206825_at	oxytocin receptor	OXTR	5021	-1	3p25
798	0.01	1.36	202336_s_at	peptidylglycine alpha-amidating monooxygenase	PAM	5066	1	5q14-q21
551	0.01	1.39	214130_s_at	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	9659	1	1q12
236	0.0031	1.41	214129_at	Phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	9659	1	1q12
265	0.0035	1.74	219630_at	PDZK1 interacting protein 1	PDZK1IP1	10158	1	1p33
325	0.0045	-1.91	209242_at	paternally expressed 3	PEG3	5178	-1	19q13.4
1666	0.04	1.38	217744_s_at	PERP, TP53 apoptosis effector	PERP	64065	1	6q24
184	0.0024	-1.32	205361_s_at	prefoldin 4	PFDN4	5203	-1	20q13.2
309	0.0041	-1.37	210976_s_at	phosphofructokinase, muscle	PFKM	5213	-1	12q13.3
9	0.0001	-1.73	204992_s_at	profilin 2	PFN2	5217	-1	3q25.1-q25.2
1884	0.04	-1.33	221521_s_at	DNA replication complex GINS protein PSF2	Pfs2	51659	-1	16q24.1
273	0.0036	-1.31	205078_at	phosphatidylinositol glycan, class F	PIGF	5281	-1	2p21-p16
2004	0.05	1.34	212240_s_at	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1	5295	1	5q13.1
467	0.01	1.39	212249_at	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1	5295	1	5q13.1
20	0.0002	1.47	202743_at	phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	PIK3R3	8503	1	1p34.1
59	0.0006	1.54	208502_s_at	paired-like homeodomain transcription factor 1	PITX1	5307	1	5q31
530	0.01	1.63	203649_s_at	phospholipase A2, group IIA (platelets, synovial fluid)	PLA2G2A	5320	1	1p35
736	0.01	1.73	201860_s_at	plasminogen activator, tissue	PLAT	5327	1	8p12
779	0.01	-1.57	203895_at	phospholipase C, beta 4	PLCB4	5332	-1	20p12
201	0.0026	-1.51	204939_s_at	phospholamban	PLN	5350	-1	6q22.1
299	0.0040	-1.31	204940_at	phospholamban	PLN	5350	-1	6q22.1
150	0.0018	-1.66	202620_s_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	PLOD2	5352	-1	3q23-q24
267	0.0035	-1.58	202619_s_at	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	PLOD2	5352	-1	3q23-q24
534	0.01	1.35	210139_s_at	peripheral myelin protein 22	PMP22	5376	1	17p12-p11.2
482	0.01	1.34	212841_s_at	PTPRF interacting protein, binding protein 2 (liprin beta 2)	PPFIBP2	8495	1	11p15.4
183	0.0024	-1.51	204566_at	protein phosphatase 1D magnesium-dependent, delta isoform	PPM1D	8493	-1	17q23.2
306	0.0041	1.43	218273_s_at	protein phosphatase 2C, magnesium-dependent, catalytic subunit	PPM2C	54704	1	8q22.1
90	0.0011	1.32	207291_at	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	PRRG4	79056	1	11p13
1748	0.04	1.57	203354_s_at	pleckstrin and Sec7 domain containing 3	PSD3	23362	1	8pter-p23.3
1328	0.03	1.59	218613_at	pleckstrin and Sec7 domain containing 3	PSD3	23362	1	8pter-p23.3
1514	0.03	1.72	203355_s_at	pleckstrin and Sec7 domain containing 3	PSD3	23362	1	8pter-p23.3
230	0.0030	-1.33	205961_s_at	PC4 and SFRS1 interacting protein 1	PSIP1	11168	-1	9p22.3
414	0.01	-1.35	202353_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	PSMD12	5718	-1	17q24.2
85	0.0010	1.63	221666_s_at	PYD and CARD domain containing	PYCARD	29108	1	16p12-p11.2
110	0.0013	1.44	201482_at	quiescin Q6	QSCN6	5768	1	1q24
1370	0.03	-1.39	200607_s_at	RAD21 homolog (S. pombe)	RAD21	5885	-1	8q24
745	0.01	-1.33	209849_s_at	RAD51 homolog C (S. cerevisiae)	RAD51C	5889	-1	17q22-q23
2084	0.05	-1.42	204916_at	receptor (calcitonin) activity modifying protein 1	RAMP1	10267	-1	2q36-q37.1
86	0.0011	1.70	204070_at	retinoic acid receptor responder (tazarotene induced) 3	RARRES3	5920	1	11q23
2130	0.05	1.33	209488_s_at	RNA binding protein with multiple splicing	RBPMS	11030	1	8p12-p11
862	0.02	1.50	205645_at	RALBP1 associated Eps domain containing 2	REPS2	9185	1	Xp22.2-p22.13
803	0.01	1.41	205879_x_at	ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	RET	5979	1	10q11.2
1419	0.03	-1.37	214519_s_at	relaxin 2	RLN2	6019	-1	9p24.1
4	0.0000	-1.34	219138_at	ribosomal protein L14	RPL14	9045	-1	3p22-p21.2
87	0.0011	-1.31	221943_x_at	Ribosomal protein L38	RPL38	6169	-1	17q23-q25
319	0.0043	-1.43	211578_s_at	ribosomal protein S6 kinase, 70kDa, polypeptide 1	RPS6KB1	6198	-1	17q23.1
1077	0.02	-1.34	221523_s_at	Ras-related GTP binding D	RRAGD	58528	-1	6q15-q16
196	0.0026	-1.40	208456_s_at	related RAS viral (r-ras) oncogene homolog 2	RRAS2	22800	-1	11p15.2
516	0.01	-1.40	212590_at	related RAS viral (r-ras) oncogene homolog 2	RRAS2	22800	-1	11p15.2
729	0.01	1.38	41644_at	SAM and SH3 domain containing 1	SASH1	23328	1	6q24.3
719	0.01	1.45	213236_at	SAM and SH3 domain containing 1	SASH1	23328	1	6q24.3
37	0.0003	4.47	206799_at	secretoglobin, family 1D, member 2	SCGB1D2	10647	1	11q13
6	0.0001	5.19	206378_at	secretoglobin, family 2A, member 2	SCGB2A2	4250	1	11q13
1128	0.02	-1.41	212589_at	Sterol carrier protein 2	SCP2	22800	-1	11p15.2
1742	0.04	-1.43	212154_at	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	SDC2	6383	-1	8q22-q23
1456	0.03	1.53	202376_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	SERPINA3	12	1	14q32.1
207	0.0027	-1.71	204688_at	sarcoglycan, epsilon	SGCE	8910	-1	7q21-q22
290	0.0039	1.39	222258_s_at	SH3-domain binding protein 4	SH3BP4	23677	1	2q37.1-q37.2
511	0.01	1.40	213308_at	SH3 and multiple ankyrin repeat domains 2	SHANK2	22941	1	11q13.3-q13.4
72	0.0009	1.35	221041_s_at	solute carrier family 17 (anion/sugar transporter), member 5	SLC17A5	26503	1	6q14-q15
1259	0.02	1.31	218788_s_at	SET and MYND domain containing 3	SMYD3	64754	1	1q44
1254	0.02	-1.36	208078_s_at	SNF1-like kinase /// SNF1-like kinase	SNF1LK	150094	-1	21q22.3
1207	0.02	-1.32	205573_s_at	sorting nexin 7	SNX7	51375	-1	1p21.3
701	0.01	1.34	203509_at	sortilin-related receptor, L(DLR class) A repeats-containing	SORL1	6653	1	11q23.2-q24.2
248	0.0033	-1.79	219109_at	sperm associated antigen 16	SPAG16	79582	-1	2q34
35	0.0003	1.35	203128_at	serine palmitoyltransferase, long chain base subunit 2	SPTLC2	9517	1	14q24.3-q31
533	0.01	-1.41	213562_s_at	squalene epoxidase	SQLE	6713	-1	8q24.1
753	0.01	-1.36	208920_at	sorcin	SRI	6717	-1	7q21.1
479	0.01	1.47	202286_s_at	tumor-associated calcium signal transducer 2	TACSTD2	4070	1	1p32-p31
986	0.02	1.37	204654_s_at	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	TFAP2A	7020	1	6p24
449	0.01	1.31	203888_at	thrombomodulin	THBD	7056	1	20p11.2
1233	0.02	1.36	203887_s_at	thrombomodulin	THBD	7056	1	20p11.2
998	0.02	1.43	203221_at	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	TLE1	7088	1	9q21.32
758	0.01	1.35	204137_at	transmembrane 7 superfamily member 1 (upregulated in kidney)	TM7SF1	7107	1	1q42-q43
1656	0.04	1.70	220177_s_at	transmembrane protease, serine 3	TMPRSS3	64699	1	21q22.3
892	0.02	1.45	214329_x_at	Tumor necrosis factor (ligand) superfamily, member 10 /// Tumor necrosis factor (ligand) superfamily, member 10	TNFSF10	8743	1	3q26
967	0.02	1.58	202687_s_at	tumor necrosis factor (ligand) superfamily, member 10 /// tumor necrosis factor (ligand) superfamily, member 10	TNFSF10	8743	1	3q26
