Probeset ID	RefSeq Transcript ID(GeneBank Accession)	Gene Symbol	Gene Title	Signal Log Ratio	control siRNA_signal	nm23-H1 siRNA_Signal
205417_s_at	NM_004393	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	-1.7	6497.6	2234.4
209194_at	NM_004344	CETN2	centrin, EF-hand protein, 2	-1.7	3486.1	957.4
212206_s_at	NM_012412 /// NM_138635 /// NM_201436 /// NM_201516 /// NM_201517	H2AFV	H2A histone family, member V	-1.7	3176.3	965
217678_at	NM_014331	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	-1.7	4225.9	1147.7
228098_s_at	NM_013262	MYLIP	myosin regulatory light chain interacting protein	-1.7	720.5	289.3
205905_s_at	NM_000247 /// NM_005931 /// XM_001124652	MICA /// MICB	MHC class I polypeptide-related sequence A /// MHC class I polypeptide-related sequence B	-1.6	2990.3	1000.1
208926_at	NM_000434	NEU1	sialidase 1 (lysosomal sialidase)	-1.6	1499.7	509.7
212101_at	NM_012316	KPNA6	karyopherin alpha 6 (importin alpha 7)	-1.6	3066.1	1069.1
212103_at	NM_012316	KPNA6	karyopherin alpha 6 (importin alpha 7)	-1.6	1409.9	539.3
212128_s_at	NM_004393	DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	-1.6	705.1	256.3
212897_at	NM_015076	CDC2L6	cell division cycle 2-like 6 (CDK8-like)	-1.6	1168.4	504
213073_at	NM_015346	ZFYVE26	zinc finger, FYVE domain containing 26	-1.6	1639.6	565.2
213254_at	NM_001024843 /// NM_015088	TNRC6B	trinucleotide repeat containing 6B	-1.6	616.8	285.9
216028_at	---	DKFZP564C152	DKFZP564C152 protein	-1.6	873.6	277.2
219931_s_at	NM_021633	KLHL12	kelch-like 12 (Drosophila)	-1.6	581.1	268.1
227418_at	NM_032424	KIAA1826	KIAA1826	-1.6	1645.2	564
230502_s_at	---	LOC149832	Hypothetical protein LOC149832	-1.6	1153	426.6
201201_at	NM_000100	CSTB	cystatin B (stefin B)	-1.5	15151.6	5489.9
202128_at	NM_001039479	KIAA0317	KIAA0317	-1.5	2009.5	554.4
204643_s_at	NM_006375 /// NM_182314	ENOX2	ecto-NOX disulfide-thiol exchanger 2	-1.5	727.5	282.8
212205_at	NM_012412 /// NM_138635 /// NM_201436 /// NM_201516 /// NM_201517	H2AFV	H2A histone family, member V	-1.5	8132.6	2401.8
212593_s_at	NM_014456 /// NM_145341	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	-1.5	1452.4	327.2
214663_at	NM_015375 /// NM_199462	RIPK5	receptor interacting protein kinase 5	-1.5	708.5	276.3
223852_s_at	NM_032017	STK40	serine/threonine kinase 40	-1.5	1216.9	440.4
224560_at	NM_003255 /// XM_001132362	TIMP2	TIMP metallopeptidase inhibitor 2	-1.5	6517.3	2375.6
224880_at	NM_005402	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	-1.5	4571.8	1699.7
225445_at	NM_173569 /// XM_376679 /// XM_379933 /// XM_939098	---	Transcribed locus	-1.5	1286.5	472.4
226607_at	NM_001009984 /// XM_045421 /// XM_944675 /// XM_944678 /// XM_944681 /// XM_944684	C20orf194	chromosome 20 open reading frame 194	-1.5	811.7	265.2
226976_at	NM_012316	KPNA6	karyopherin alpha 6 (importin alpha 7)	-1.5	1669.4	531.7
227547_at	---	---	Transcribed locus	-1.5	2821.2	1005.8
227833_s_at	NM_052897	MBD6	methyl-CpG binding domain protein 6	-1.5	2008.6	910.8
229349_at	NM_001004317	LIN28B	lin-28 homolog B (C. elegans)	-1.5	4369.6	1598.3
238029_s_at	NM_152527	SLC16A14	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)	-1.5	1308.9	526
239710_at	---	---	Transcribed locus	-1.5	766.7	279.2
37943_at	NM_015346	ZFYVE26	zinc finger, FYVE domain containing 26	-1.5	1469.9	666.7
201603_at	NM_002480	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A	-1.4	1784.9	710.9
201868_s_at	NM_005647	TBL1X	transducin (beta)-like 1X-linked	-1.4	666	363.8
202271_at	NM_015176	FBXO28	F-box protein 28	-1.4	1250.2	566.6
202616_s_at	NM_004992	MECP2	methyl CpG binding protein 2 (Rett syndrome)	-1.4	805.7	269.4
203810_at	NM_007034	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	-1.4	2199.6	745.6
205433_at	NM_000055	BCHE	butyrylcholinesterase	-1.4	896.3	356.5
205851_at	NM_005793	NME6	non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)	-1.4	1376.5	575.7
206636_at	NM_006506	RASA2	RAS p21 protein activator 2	-1.4	1640.6	656.1
209232_s_at	NM_032486	DCTN5	dynactin 5 (p25)	-1.4	877.5	289.5
209390_at	NM_000368 /// NM_001008567	TSC1	tuberous sclerosis 1	-1.4	1262.7	655.9
209921_at	NM_014331	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	-1.4	3070	1076.7
210293_s_at	NM_006363 /// NM_032985 /// NM_032986	SEC23B	Sec23 homolog B (S. cerevisiae)	-1.4	1942.5	539.9
212111_at	NM_177424	STX12	syntaxin 12	-1.4	2155.9	659.6
212112_s_at	NM_177424	STX12	syntaxin 12	-1.4	2908.8	1230.7
212482_at	NM_022780	RMND5A	required for meiotic nuclear division 5 homolog A (S. cerevisiae)	-1.4	1345.4	484.2
212737_at	NM_000405	GM2A	GM2 ganglioside activator	-1.4	1964.4	852.6
212738_at	NM_032900	ARHGAP19	Rho GTPase activating protein 19	-1.4	1861.3	731.5
218464_s_at	NM_001077498 /// NM_018182	C17orf63	chromosome 17 open reading frame 63	-1.4	2424.7	1068.7
221064_s_at	NM_023076	C16orf28	chromosome 16 open reading frame 28	-1.4	1027.6	393.7
223155_at	NM_032124	HDHD2	haloacid dehalogenase-like hydrolase domain containing 2	-1.4	2206.2	530
223940_x_at	NR_002819	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	-1.4	10699.8	3947.5
224777_s_at	NM_002572	PAFAH1B2	platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa	-1.4	6155.9	2069.2
224985_at	NM_002524	---	Homo sapiens, clone IMAGE:3446533, mRNA	-1.4	5439	2204.5
225009_at	NM_178818 /// NM_181521	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	-1.4	2121.5	727.3
225098_at	NM_005759 /// XM_001126750	ABI2	abl interactor 2	-1.4	7613.9	2694.3
225356_at	---	---	Transcribed locus	-1.4	1060.9	386.9
225923_at	---	---	CDNA FLJ41394 fis, clone BRCAN2026197	-1.4	1316.6	531.2
225926_at	NM_006370	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.4	889.6	308.2
226392_at	---	---	CDNA: FLJ21652 fis, clone COL08582	-1.4	2860.4	1010.2
226760_at	NM_015884	LOC203411	hypothetical protein LOC203411	-1.4	3631	1458.3
226817_at	NM_004949 /// NM_024422	DSC2	desmocollin 2	-1.4	644.1	272.5
226892_at	NM_015652	C10orf12	chromosome 10 open reading frame 12	-1.4	692.8	329
227084_at	NM_001390 /// NM_001391 /// NM_001392 /// NM_032975 /// NM_032978 /// NM_032979 /// NM_032980 /// NM_032981	DTNA	dystrobrevin, alpha	-1.4	2446.3	817.7
227531_at	---	---	CDNA clone IMAGE:5267398	-1.4	858.7	321.8
228031_at	NM_001039199 /// NM_024331	C20orf121	chromosome 20 open reading frame 121	-1.4	1577.8	608.8
228046_at	NM_178835	LOC152485	Hypothetical protein LOC152485	-1.4	1064.3	481.6
229145_at	NM_173473	C10orf104	chromosome 10 open reading frame 104	-1.4	869.2	371.3
230669_at	NM_006506	RASA2	RAS p21 protein activator 2	-1.4	4061.2	1518.6
238842_at	---	---	---	-1.4	587.4	312.2
243042_at	NM_198549	FAM73A	family with sequence similarity 73, member A	-1.4	791.3	323.6
37577_at	NM_032900	ARHGAP19	Rho GTPase activating protein 19	-1.4	1285.5	482.2
202883_s_at	NM_002716 /// NM_181699	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	-1.3	1598.8	539.2
204710_s_at	NM_001033518 /// NM_001033519 /// NM_001033520 /// NM_015610 /// NM_016003	WIPI2	WD repeat domain, phosphoinositide interacting 2	-1.3	4316.6	1600.5
208107_s_at	NM_030941	LOC81691	exonuclease NEF-sp	-1.3	1266.6	519.2
208825_x_at	NM_000984 /// NM_001093758 /// NM_001101668 /// XM_001133897 /// XM_001134037 /// XM_930113 /// XM_941396	hCG_16001 /// hCG_2001000 /// RPL23A	ribosomal protein L23a /// similar to ribosomal protein L23A /// ribosomal protein L23a-like	-1.3	3850.6	1767.3
208834_x_at	NM_000984 /// NM_001093758 /// NM_001101668 /// XM_001133897 /// XM_001134037 /// XM_930113 /// XM_941396	hCG_16001 /// hCG_2001000 /// RPL23A	ribosomal protein L23a /// similar to ribosomal protein L23A /// ribosomal protein L23a-like	-1.3	4646.6	2075.5
212092_at	NM_001040152 /// NM_015068	PEG10	paternally expressed 10	-1.3	4862.5	2054
212215_at	NM_001042385 /// NM_001042386 /// NM_006036	PREPL	prolyl endopeptidase-like	-1.3	1723.4	689.1
213234_at	NM_020853	KIAA1467	KIAA1467	-1.3	676.3	342.7
213405_at	NM_020673	RAB22A	RAB22A, member RAS oncogene family	-1.3	1120.4	486.5
215215_s_at	NM_030941	LOC81691	exonuclease NEF-sp	-1.3	827.4	358.9
218361_at	NM_018178	GOLPH3L	golgi phosphoprotein 3-like	-1.3	1735.6	778.6
218437_s_at	NM_020347	LZTFL1	leucine zipper transcription factor-like 1	-1.3	1450.8	627.7
218455_at	NM_021100 /// NM_181679	NFS1	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	-1.3	1878.3	748.8
218511_s_at	NM_018129	PNPO	pyridoxamine 5-phosphate oxidase	-1.3	1927.1	914.4
218653_at	NM_014252	SLC25A15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	-1.3	1536.9	592.5
219007_at	NM_198887	NUP43	nucleoporin 43kDa	-1.3	3401.8	1178.2
221524_s_at	NM_021244	RRAGD	Ras-related GTP binding D	-1.3	1536.4	429.6
221895_at	NM_152581	MOSPD2	motile sperm domain containing 2	-1.3	2302.9	920.7
222641_s_at	NM_001077498 /// NM_018182	C17orf63	chromosome 17 open reading frame 63	-1.3	4129.9	1353.4
223677_at	NM_031482	ATG10	ATG10 autophagy related 10 homolog (S. cerevisiae)	-1.3	1388.4	635.9
223977_s_at	NM_031416	C18orf2	chromosome 18 open reading frame 2	-1.3	1455.4	582.6
225252_at	NM_080725	SRXN1	sulfiredoxin 1 homolog (S. cerevisiae)	-1.3	4658.9	2406.8
225652_at	---	---	CDNA FLJ37981 fis, clone CTONG2010566	-1.3	1829.7	758.3
225723_at	NM_138493	C6orf129	chromosome 6 open reading frame 129	-1.3	4838.5	1874.8
226041_at	NM_198990	NAPE-PLD	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	-1.3	831.2	328
226370_at	NM_030624	KLHL15	kelch-like 15 (Drosophila)	-1.3	3850.6	1767.3
226529_at	NM_018374	TMEM106B	transmembrane protein 106B	-1.3	4646.6	2075.5
226751_at	NM_015463	C2orf32	chromosome 2 open reading frame 32	-1.3	1219.4	663.1
226842_at	---	LOC90110	hypothetical protein LOC90110	-1.3	804.9	451.3
226850_at	NM_182760	SUMF1	sulfatase modifying factor 1	-1.3	1299.9	681.9
226962_at	NM_194314	ZBTB41	zinc finger and BTB domain containing 41	-1.3	857.4	274
229017_s_at	NM_015375 /// NM_199462	RIPK5	receptor interacting protein kinase 5	-1.3	742.4	290.4
229418_at	NM_001077498 /// NM_018182	C17orf63	chromosome 17 open reading frame 63	-1.3	1068.2	449.7
229711_s_at	---	MGC5370	hypothetical protein MGC5370	-1.3	1407.2	388.4
230298_at	NM_203406	LOC153364	similar to metallo-beta-lactamase superfamily protein	-1.3	1225.7	510.8
238722_x_at	NM_198990	NAPE-PLD	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	-1.3	747.6	277.1
238768_at	NM_001013649	LOC388969	hypothetical LOC388969	-1.3	1172.9	462.5
238787_at	---	---	CDNA FLJ36663 fis, clone UTERU2002826	-1.3	683.5	253.5
238964_at	---	---	Transcribed locus	-1.3	1234.4	357.3
242828_at	NM_018086	FIGN	Fidgetin	-1.3	2870.3	1108.8
200866_s_at	NM_001042465 /// NM_001042466 /// NM_002778	PSAP	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	-1.2	4218.6	1771.8
201602_s_at	NM_002480	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A	-1.2	1190.8	484
201625_s_at	NM_005542 /// NM_198336 /// NM_198337	INSIG1	insulin induced gene 1	-1.2	1658.9	674.5
201626_at	NM_005542 /// NM_198336 /// NM_198337	INSIG1	insulin induced gene 1	-1.2	6748.4	2969.3
202455_at	NM_001015053 /// NM_005474	HDAC5	histone deacetylase 5	-1.2	816.3	306.1
202594_at	NM_015344	LEPROTL1	leptin receptor overlapping transcript-like 1	-1.2	1895.4	696.1
202963_at	NM_000449 /// NM_001025603	RFX5	regulatory factor X, 5 (influences HLA class II expression)	-1.2	3714.6	1523.4
203743_s_at	NM_003211	TDG	thymine-DNA glycosylase	-1.2	2600.4	1191.3
203811_s_at	NM_007034	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	-1.2	1426.9	578.5
204126_s_at	NM_003504	CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	-1.2	1841.6	741.9
204820_s_at	NM_006994 /// NM_007047 /// NM_197974	BTN3A2 /// BTN3A3	butyrophilin, subfamily 3, member A3 /// butyrophilin, subfamily 3, member A2	-1.2	2095.5	984.7
204837_at	NM_015458	MTMR9	myotubularin related protein 9	-1.2	1361.9	447.4
205741_s_at	NM_001390 /// NM_001391 /// NM_001392 /// NM_032975 /// NM_032978 /// NM_032979 /// NM_032980 /// NM_032981	DTNA	dystrobrevin, alpha	-1.2	1423.7	587.4
205882_x_at	NM_001121 /// NM_016824 /// NM_019903	ADD3	adducin 3 (gamma)	-1.2	771.9	297.3
205904_at	NM_000247 /// XM_001124652	MICA	MHC class I polypeptide-related sequence A	-1.2	2348.2	949.8
209318_x_at	NM_001080951 /// NM_001080952 /// NM_001080953 /// NM_001080954 /// NM_001080955 /// NM_001080956 /// NM_002656 /// NM_006718	PLAGL1	pleiomorphic adenoma gene-like 1	-1.2	726.5	297.5
209531_at	NM_001513 /// NM_145870 /// NM_145871	GSTZ1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)	-1.2	580.4	273.8
209846_s_at	NM_007047	BTN3A2	butyrophilin, subfamily 3, member A2	-1.2	1372.1	590.7
210145_at	NM_024420	PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	-1.2	953.3	350.8
212043_at	NM_006464	TGOLN2	trans-golgi network protein 2	-1.2	3188.3	1353.2
212217_at	NM_001042385 /// NM_001042386 /// NM_006036	PREPL	prolyl endopeptidase-like	-1.2	1782.4	928.6
212613_at	NM_007047	BTN3A2	butyrophilin, subfamily 3, member A2	-1.2	1062.9	393.4
212919_at	NM_152624	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)	-1.2	5240.4	2318.9
213489_at	NM_014268	MAPRE2	Microtubule-associated protein, RP/EB family, member 2	-1.2	1184.4	515.8
213532_at	---	ADAM17	ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)	-1.2	2122.3	914.6
213702_x_at	NM_004315 /// NM_177924	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	-1.2	3276.3	1729.4
216064_s_at	NM_000027	AGA	aspartylglucosaminidase	-1.2	741.3	279.3
217993_s_at	NM_013283 /// NM_182796	MAT2B	methionine adenosyltransferase II, beta	-1.2	5495	2525.7
218224_at	NM_006029	PNMA1	paraneoplastic antigen MA1	-1.2	4710.9	2139.8
218669_at	NM_021183	RAP2C	RAP2C, member of RAS oncogene family	-1.2	2117.1	1001.8
219467_at	NM_017676	ZH2C2	zinc finger, H2C2 domain containing	-1.2	958.9	340
221543_s_at	NM_001003790 /// NM_001003791 /// NM_007175	ERLIN2	ER lipid raft associated 2	-1.2	956.2	462.3
222653_at	NM_018129	PNPO	pyridoxamine 5-phosphate oxidase	-1.2	1486.9	492.2
224435_at	NM_032333	C10orf58	chromosome 10 open reading frame 58	-1.2	1373.7	656.4
224568_x_at	NR_002819	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	-1.2	5481.5	2435.6
224938_at	---	---	CDNA FLJ10976 fis, clone PLACE1001399	-1.2	2073	877.7
225928_at	NM_006370	VTI1B	vesicle transport through interaction with t-SNAREs homolog 1B (yeast)	-1.2	670.9	371
225935_at	---	---	CDNA clone IMAGE:4816860	-1.2	1642.2	766.4
226183_at	---	---	MRNA; cDNA DKFZp686L15210 (from clone DKFZp686L15210)	-1.2	1017.5	378.4
226820_at	NM_152493	FLJ25476	FLJ25476 protein	-1.2	1147.2	764.5
226970_at	NM_203301	FBXO33	F-box protein 33	-1.2	862.5	429.2
227069_at	---	---	CDNA clone IMAGE:4816860	-1.2	1503.4	485.4
227623_at	---	---	CDNA FLJ30478 fis, clone BRAWH1000167	-1.2	874.6	436
228334_x_at	NM_001040157	KIAA1712	KIAA1712	-1.2	750.9	364.9
228456_s_at	---	LOC149832	hypothetical protein LOC149832	-1.2	744.3	470.5
229908_s_at	NM_023076	---	CDNA: FLJ21189 fis, clone CAS11887	-1.2	784.3	315.4
229986_at	XM_926480 /// XM_931320 /// XM_936239 /// XM_942740	ZNF717	zinc finger protein 717	-1.2	527.9	286.8
230788_at	NM_001491 /// NM_145649 /// NM_145655	GCNT2	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	-1.2	682.2	355.3
231579_s_at	NM_003255 /// XM_001132362	TIMP2	TIMP metallopeptidase inhibitor 2	-1.2	7608.9	3278.3
232431_at	---	---	Glucocorticoid receptor alpha mRNA, variant 3 UTR	-1.2	767.5	300.3
235507_at	NM_052937	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	-1.2	479.8	313.3
235611_at	NM_001077199 /// NM_139168	---	---	-1.2	336.1	265
235727_at	NM_017658	KLHL28	kelch-like 28 (Drosophila)	-1.2	967.6	424.8
236458_at	---	---	Transcribed locus	-1.2	711.8	295.6
200871_s_at	NM_001042465 /// NM_001042466 /// NM_002778	PSAP	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	-1.1	8571.3	3304.5
201130_s_at	NM_004360	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	-1.1	831.2	328
201131_s_at	NM_004360	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	-1.1	954	435.1
201627_s_at	NM_005542 /// NM_198336 /// NM_198337	INSIG1	insulin induced gene 1	-1.1	4532.4	2082.2
201775_s_at	NM_014774	KIAA0494	KIAA0494	-1.1	1188.4	526.6
201865_x_at	NM_000176 /// NM_001018074 /// NM_001018075 /// NM_001018076 /// NM_001018077 /// NM_001020825 /// NM_001024094	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	-1.1	5083.2	2364.2
202020_s_at	NM_006055	LANCL1	LanC lantibiotic synthetase component C-like 1 (bacterial)	-1.1	4452.3	2113.3
202117_at	NM_004308	ARHGAP1	Rho GTPase activating protein 1	-1.1	1619.7	834.6
202536_at	NM_014043	CHMP2B	chromatin modifying protein 2B	-1.1	2317.1	1089.6
202537_s_at	NM_014043	CHMP2B	chromatin modifying protein 2B	-1.1	2209.1	1040.7
202562_s_at	NM_007176	C14orf1	chromosome 14 open reading frame 1	-1.1	3284.4	1507.4
202886_s_at	NM_002716 /// NM_181699	PPP2R1B	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	-1.1	1082.2	518.2
203653_s_at	NM_004645	COIL	coilin	-1.1	3035.2	1572.2
204148_s_at	NM_007155 /// NM_012230 /// NM_152992 /// XM_001130779	POMZP3 /// ZP3	zona pellucida glycoprotein 3 (sperm receptor) /// POM (POM121 homolog, rat) and ZP3 fusion	-1.1	932.2	470.3
204332_s_at	NM_000027	AGA	aspartylglucosaminidase	-1.1	1388.2	680.1
205171_at	NM_002830	PTPN4	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	-1.1	573.9	307.3
206147_x_at	NM_006089	SCML2	sex comb on midleg-like 2 (Drosophila)	-1.1	2635.9	1276.4
207266_x_at	NM_002897 /// NM_016836 /// NM_016839	RBMS1	RNA binding motif, single stranded interacting protein 1	-1.1	5561.2	2534.4
207974_s_at	NM_006930 /// NM_170679	SKP1A	S-phase kinase-associated protein 1A (p19A)	-1.1	10933.5	4907.8
208316_s_at	NM_000276 /// NM_001587	OCRL	oculocerebrorenal syndrome of Lowe	-1.1	502.4	312.5
209770_at	NM_007048	BTN3A1	butyrophilin, subfamily 3, member A1	-1.1	922.9	417.9
209815_at	NM_000264 /// NM_001083602 /// NM_001083603 /// NM_001083604 /// NM_001083605 /// NM_001083606 /// NM_001083607	PTCH1	patched homolog 1 (Drosophila)	-1.1	3031.3	1456
210015_s_at	NM_001039538 /// NM_002374 /// NM_031845 /// NM_031847	MAP2	microtubule-associated protein 2	-1.1	657.5	396.4
210230_at	---	---	CDNA: FLJ23438 fis, clone HRC13275	-1.1	3340.9	1572.4
210980_s_at	NM_004315 /// NM_177924	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	-1.1	1231.5	590.1
211458_s_at	NM_031412	GABARAPL1 /// GABARAPL3	GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3	-1.1	1523.4	673.9
211671_s_at	NM_000176 /// NM_001018074 /// NM_001018075 /// NM_001018076 /// NM_001018077 /// NM_001020825 /// NM_001024094	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	-1.1	3946.6	1763.7
211979_at	NM_020960	GPR107	G protein-coupled receptor 107	-1.1	657.5	396.4
212040_at	NM_006464	TGOLN2	trans-golgi network protein 2	-1.1	1443.8	627.3
212094_at	NM_001040152 /// NM_015068	PEG10	paternally expressed 10	-1.1	22438.2	10830.7
212979_s_at	NM_014719 /// XM_936710	KIAA0738	KIAA0738 gene product	-1.1	1172.2	540.6
213084_x_at	NM_000984 /// NM_001093758 /// NM_001101668 /// XM_001133897 /// XM_001134037 /// XM_930113 /// XM_941396	hCG_16001 /// hCG_2001000 /// RPL23A	ribosomal protein L23a /// similar to ribosomal protein L23A /// ribosomal protein L23a-like	-1.1	3946.6	1763.7
213238_at	NM_020453	ATP10D	ATPase, Class V, type 10D	-1.1	823.2	320.2
213243_at	NM_015243 /// NM_017890 /// NM_152564 /// NM_181661	VPS13B	vacuolar protein sorting 13 homolog B (yeast)	-1.1	1535.8	728.4
214383_x_at	NM_057161	KLHDC3	kelch domain containing 3	-1.1	1166.2	447.3
214724_at	NM_001037954 /// NM_033425	DIXDC1	DIX domain containing 1	-1.1	1700.2	845
214948_s_at	NM_007114	TMF1	TATA element modulatory factor 1	-1.1	3873.6	1663.2
214949_at	---	---	CDNA FLJ31919 fis, clone NT2RP7004964	-1.1	3502.3	1622
217047_s_at	NM_001015045 /// NM_014883	FAM13A1	family with sequence similarity 13, member A1	-1.1	954.3	606
217760_at	NM_017583	TRIM44	tripartite motif-containing 44	-1.1	1543.6	753.3
217852_s_at	NM_018184	ARL8B	ADP-ribosylation factor-like 8B	-1.1	6455.2	2942.9
218122_s_at	NM_021627	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2	-1.1	1305.6	599.3
218371_s_at	NM_001042414 /// NM_018282 /// NR_003272	PSPC1	paraspeckle component 1	-1.1	756.1	402.2
218579_s_at	NM_021931	DHX35	DEAH (Asp-Glu-Ala-His) box polypeptide 35	-1.1	656.2	365
218676_s_at	NM_021213	PCTP	phosphatidylcholine transfer protein	-1.1	1076.8	313.9
218751_s_at	NM_001013415 /// NM_018315 /// NM_033632	FBXW7	F-box and WD repeat domain containing 7	-1.1	391.7	344.4
218769_s_at	NM_023039	ANKRA2	ankyrin repeat, family A (RFXANK-like), 2	-1.1	1082.8	893.9
219024_at	NM_001001974 /// NM_021622	PLEKHA1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1	-1.1	1875.5	625.8
