Ref seq	locus link	Gene  symbol	cytoband	kb middle position	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	ref seq best correlated clone	p-value ttest best correlated clone (in S)	median class (poor)	median class (good)	% class (poor) UP	% class (good) UP	% class (poor) DOWN	% class (good) DOWN
NM_013260	29115	HCNGP	17q24.3	71195	5.96E-02	-3.97E-02	6.46E-04	6.25E-01	1.21E-08	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_007292	51	ACOX1,ACOX,MGC1198,PALMCOX	17q24.3	71470	9.77E-02	-5.38E-02	1.16E-03	4.67E-01	5.89E-05	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_015971	51081	MRPS7,MRP-S,RP-S7,RPMS7,MRP-S7	17q24.3	70772	2.29E-02	-9.40E-02	2.09E-03	5.10E-01	8.78E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_006937	6613	SMT3H2,HSMT3,SMT3B,SUMO-2	17q24.3	70683	9.46E-03	-9.82E-02	2.88E-03	5.27E-01	3.98E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_006356	10476	ATP5H,ATPQ,ATP5JD	17q24.3	70551	-7.77E-03	-9.50E-02	6.61E-03	5.16E-01	6.53E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AJ224864	11314	CMRF-35H,IRC1,IRC2,IRp60,CMRF35H,CMRF35H9,CMRF-35-H9	17q24.3	69983	3.79E-02	-1.29E-01	6.68E-03	6.48E-02	5.99E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
AA824321		0	17q24.3	71470	-4.38E-02	1.05E-01	1.24E-02	1.24E-01	3.14E-01	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_005324	3021	H3F3B,H3.3B	17q24.3	71286	-2.22E-02	-1.64E-01	1.36E-02	6.33E-01	6.73E-09	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
U79458	23558	WBP2	17q24.3	71358	6.06E-02	-1.00E-02	1.47E-02	5.34E-01	2.71E-06	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
BC013311	64978	MRPL38,RPML3,MRP-L3,HSPC262,MGC4810	17q24.3	71428	8.10E-02	3.23E-03	1.90E-02	5.03E-01	1.25E-05	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_001545	3396	ICT1,DS-1	17q24.3	70525	2.25E-02	-4.29E-02	3.32E-02	3.33E-01	5.53E-03	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AB032965	57513	CASKIN2,FLJ21609,KIAA1139	17q24.3	71016	8.67E-02	6.25E-03	3.90E-02	4.30E-01	2.52E-04	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AF331643	201266	SLC39A11,C17orf26	17q24.3	68377	1.90E-02	-2.03E-02	4.50E-02	1.68E-01	1.72E-01	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
D63876	23163	GGA3,KIAA0154	17q24.3	70757	2.95E-02	-2.62E-02	4.67E-02	4.11E-01	4.96E-04	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_002876	5889	RAD51C,RAD51L2	17q24.3	70217	-3.21E-02	-9.37E-02	4.70E-02	2.09E-01	8.64E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_004035	51	ACOX1,ACOX,MGC1198,PALMCOX	17q24.3	71470	5.66E-02	-9.29E-03	4.95E-02	4.46E-01	1.39E-04	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AI698198		0	17q24.3	70267	-4.55E-02	3.99E-02	5.55E-02	-6.87E-02	5.78E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AL137521	54868	FLJ20255	17q24.3	70316	6.12E-02	-2.20E-02	5.73E-02	3.47E-01	3.78E-03	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AA843926		0	17q24.3	70564	-1.51E-01	-1.09E-01	6.08E-02	-6.71E-02	5.86E-01	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_017728	54868	FLJ20255	17q24.3	70316	5.20E-02	-5.95E-03	7.82E-02	3.04E-01	1.16E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AK094466	283989	LOC283989	17q24.3	71028	-2.62E-02	-1.04E-01	8.81E-02	2.65E-01	2.88E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004524	3993	LLGL2,HGL	17q24.3	71067	-5.84E-02	-1.38E-01	1.14E-01	3.92E-01	9.32E-04	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_018653	55890	GPRC5C,RAIG3,RAIG-3	17q24.3	69948	-7.99E-02	-9.21E-02	1.51E-01	1.38E-01	2.61E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_000999	6169	RPL38	17q24.3	69715	5.28E-02	-2.76E-02	1.73E-01	4.28E-01	2.67E-04	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
D79998	23510	KCTD2,KIAA0176	17q24.3	70564	-4.20E-02	1.32E-02	2.07E-01	2.97E-01	1.38E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AB037802	9382	COG1,LDLB,KIAA1381,DKFZP762L1710	17q24.3	68708	9.59E-03	-5.35E-02	2.24E-01	4.76E-01	4.04E-05	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AA481491	4680	CEACAM6	17q24.3	70051	2.78E-02	5.26E-02	2.78E-01	9.33E-02	4.49E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
AL050187	11328	FKBP9	17q24.3	70653	-5.50E-02	-6.49E-03	2.92E-01	-7.84E-02	5.25E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_000213	3691	ITGB4	17q24.3	71247	7.12E-02	1.53E-03	2.98E-01	1.81E-02	8.84E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_015654	26151	DKFZP564C103	17q24.3	70281	4.20E-02	-3.61E-02	4.05E-01	3.62E-01	2.41E-03	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_004252	9368	SLC9A3R1,EBP50,NHERF	17q24.3	70267	-1.31E-01	-1.01E-01	4.47E-01	2.47E-01	4.27E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AF319952	94015	TTYH2,MGC4837	17q24.3	69746	-1.69E-02	-4.73E-02	4.92E-01	1.74E-01	1.56E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_013289	3811	KIR3DL1,KIR,CL-2,NKB1,AMB11,CL-11,NKAT3,NKB1B,CD158E1,KIR3DS1,CD158E1/2	17q24.3	71192	2.90E-02	2.88E-02	6.05E-01	-4.44E-02	7.19E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
BC040661	6854	SYN2,SYNII,SYNIIa,SYNIIb	17q24.3	67903	-5.63E-02	-2.82E-02	6.70E-01	-1.87E-02	8.80E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
AK022297	7275	TUB	17q24.3	68806	-1.93E-02	-3.04E-02	7.17E-01	3.16E-02	7.98E-01	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
BC012195	7415	VCP	17q24.3	70316	-6.29E-02	-6.42E-02	7.25E-01	-1.29E-01	2.95E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_014595	30833	NT5C,DNT,cdN,DNT1,P5N2,PN-I,PN-II,UMPH2,dNT-1	17q24.3	70639	-5.92E-02	-3.51E-02	7.28E-01	3.28E-01	6.24E-03	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AF331643	201266	SLC39A11,C17orf26	17q24.3	68377	-1.13E-01	-1.41E-01	7.42E-01	2.03E-01	9.68E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AI761644	9456	HOMER1	17q24.3	71067	-3.03E-02	4.06E-02	8.68E-01	9.61E-02	4.36E-01	RP11-478P5	6.44E-03	2.05E-01	5.14E-02	2.95E+01	8.33E+00	0	4.17E+00
NM_014738	9772	KIAA0195	17q24.3	70986	1.58E-02	4.79E-02	8.74E-01	3.76E-01	1.59E-03	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_004110	2232	FDXR,ADXR	17q24.3	70375	-1.23E-01	-7.49E-02	8.90E-01	2.48E-01	4.12E-02	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AA897419	10746	MAP3K2	17q24.3	70605	1.38E-02	-5.48E-03	9.05E-01	2.30E-03	9.85E-01	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_001168	332	BIRC5,API4,EPR-1	17q25.1	73727	1.94E-01	-3.85E-01	7.74E-11	6.78E-01	2.15E-10	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_003258	7083	TK1	17q25.1	73688	1.14E-01	-2.74E-01	2.90E-10	6.80E-01	1.84E-10	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
AF070621	85458	DIXDC1,KIAA1735	17q25.1	71646	-1.12E-01	6.28E-02	1.95E-05	-2.68E-01	2.71E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_004762	9267	PSCD1,B2-1,SEC7,D17S811E,CYTOHESIN-1	17q25.1	74236	4.05E-02	-1.12E-01	1.69E-04	5.53E-01	1.03E-06	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_007267	11322	EVER1,EV1,TMC6,EVIN1,LAK-4P	17q25.1	73629	1.64E-02	-1.30E-01	1.90E-04	5.32E-01	2.96E-06	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_017456	9267	PSCD1,B2-1,SEC7,D17S811E,CYTOHESIN-1	17q25.1	74236	3.90E-02	-8.74E-02	2.56E-04	5.67E-01	4.55E-07	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_003255	7077	TIMP2	17q25.1	74398	1.60E-02	-1.53E-01	7.78E-04	2.33E-01	5.57E-02	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
BC025951	9489	PGS1,DKFZP762M186	17q25.1	73909	4.88E-02	-7.81E-02	6.78E-03	6.03E-01	5.18E-08	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
NM_018695	55914	ERBB2IP,ERBIN	17q25.1	74236	-4.47E-02	2.65E-02	7.25E-03	-2.18E-02	8.60E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_014230	6730	SRP68	17q25.1	71563	4.85E-02	-3.63E-02	9.49E-03	6.22E-01	1.51E-08	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_006640	10801	MSF,MSF1,SEPT9,SINT1,PNUTL4,AF17q25,KIAA0991	17q25.1	72899	5.01E-02	-3.36E-02	3.54E-02	5.96E-01	8.44E-08	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_002766	5635	PRPSAP1,PAP39	17q25.1	71840	6.67E-02	-5.72E-02	4.98E-02	5.98E-01	7.04E-08	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AL122077	8632	DNAH17,DNEL2	17q25.1	73967	-4.80E-02	-9.13E-02	5.51E-02	1.45E-01	2.37E-01	RP11-141D15	1.77E-04	1.12E-01	-6.53E-03	1.59E+01	0	0	0
AB011157	23210	PTDSR,PSR,PTDSR1,KIAA0585	17q25.1	72227	3.72E-02	-4.04E-02	6.16E-02	3.89E-01	1.04E-03	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_004710	9144	SYNGR2	17q25.1	73678	-4.53E-02	-8.55E-02	7.75E-02	5.46E-01	1.48E-06	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
BC045819	124512	LOC124512	17q25.1	72238	4.98E-03	-3.75E-02	8.74E-02	5.39E-01	2.11E-06	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_018996	57690	KIAA1582,FLJ20015	17q25.1	73585	-5.71E-02	6.65E-02	1.20E-01	2.76E-01	2.27E-02	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_005567	3959	LGALS3BP,90K,MAC-2-BP	17q25.1	74483	3.32E-02	-9.48E-02	1.24E-01	3.75E-01	1.64E-03	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AB040886	57602	USP36,FLJ12851,KIAA1453	17q25.1	74322	7.40E-02	-6.22E-02	1.25E-01	3.78E-01	1.50E-03	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
AK002117	10672	GNA13	17q25.1	72685	2.05E-02	-3.23E-02	1.30E-01	3.07E-01	1.09E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_001088	15	AANAT,SNAT,AA-NAT	17q25.1	71977	2.95E-02	9.63E-03	2.53E-01	-5.79E-02	6.39E-01	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
NM_003016	6427	SFRS2,SC35,PR264,SC-35,SRp30b	17q25.1	72243	2.82E-02	-1.53E-02	2.67E-01	2.92E-01	1.58E-02	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
AK024578	83643	CCDC3,DKFZP761F241	17q25.1	74398	-9.52E-02	-4.34E-02	3.18E-01	-1.11E-01	3.69E-01	RP11-398J5	2.45E-03	2.43E-02	-3.88E-02	9.09E+00	0	0	0
NM_003003	6397	SEC14L1,SEC14L	17q25.1	72685	3.95E-03	-2.52E-02	6.14E-01	3.04E-01	1.16E-02	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
AB028990	23265	EXOC7,EXO70,Exo70p,YJL085W,KIAA1067	17q25.1	71600	6.82E-04	-1.80E-02	6.86E-01	5.56E-01	8.63E-07	RP11-87G24	1.89E-02	8.12E-02	-6.00E-04	1.14E+01	4.17E+00	0	4.17E+00
NM_006456	10610	SIAT7B,STHM,SIAT7,ST6GalNAII	17q25.1	72083	-8.26E-02	-1.21E-01	7.94E-01	3.93E-01	9.22E-04	RP11-147L13	1.74E-02	7.05E-02	3.25E-03	2.27E+01	0	0	0
AL122043	140688	C20orf112,dJ1184F4.2,DKFZP566G1424	17q25.1	72083	-1.93E-02	-2.85E-02	9.09E-01	1.96E-01	1.09E-01	RP11-283E7	1.98E-02	7.38E-02	1.23E-03	1.82E+01	0	0	0
NM_007217	11235	PDCD10,TFAR15,MGC1212,MGC24477	3q26.1	168910	5.88E-02	-9.21E-02	1.16E-02	3.63E-01	2.34E-03	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AI300111	2634	GBP2	3q26.1	168910	3.11E-03	-3.08E-02	1.69E-01	-1.78E-02	8.85E-01	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_005025	5274	SERPINI1,PI12,neuroserpin	3q26.1	168981	-2.47E-01	-1.99E-01	3.72E-01	1.24E-01	3.15E-01	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
NM_000055	590	BCHE,E1,CHE1	3q26.1	167006	2.78E-02	2.90E-03	5.71E-01	1.85E-01	1.30E-01	RP11-816J6	5.65E-03	1.43E-02	-6.74E-02	4.55E+00	0	0	0
AL080213		0	3q26.2	171004	-9.07E-02	4.30E-02	1.07E-03	-2.59E-01	3.32E-02	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
U68494	7779	SLC30A1	3q26.2	172212	-1.28E-01	5.24E-02	3.32E-03	-2.87E-01	1.75E-02	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
AK097936	387840	DUSP16	3q26.2	171577	-8.19E-02	7.03E-02	3.63E-03	-3.11E-01	9.77E-03	RP11-119E13	1.33E-03	1.43E-01	9.80E-02	1.82E+01	0	0	0
AL050021	6541	SLC7A1,ERR,ATRC1,CAT-1,HCAT1,REC1L	3q26.2	171262	1.17E-01	-8.35E-02	4.18E-03	1.83E-01	1.35E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_002740	5584	PRKCI,PKCI,DXS1179E	3q26.2	171465	6.69E-02	-4.27E-02	5.35E-03	5.57E-01	8.08E-07	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
NM_014373	26996	GPR160,GPCR1,GPCR150	3q26.2	171262	-1.43E-01	-1.59E-02	5.94E-02	-1.54E-01	2.11E-01	RP11-71G7	7.02E-04	5.98E-02	-1.79E-02	2.27E+00	0	0	0
NM_005414	6498	SKIL,SNO	3q26.2	171577	1.44E-02	-7.18E-02	3.35E-01	2.69E-01	2.63E-02	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
NM_003002	6392	SDHD,PGL,CBT1,PGL1,SDH4	3q26.2	170910	-2.41E-02	-5.98E-02	3.88E-01	1.94E-01	1.13E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AB011123	23043	TNIK,KIAA0551	3q26.2	172462	-1.18E-02	-4.95E-02	3.91E-01	-1.34E-02	9.14E-01	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_020390	56648	EIF5A2,EIF-5A2,eIF5AII	3q26.2	172099	-3.59E-02	-8.48E-03	5.46E-01	-1.78E-01	1.47E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_003262	7095	TLOC1,HTP1,Dtrp1,SEC62	3q26.2	171182	-6.50E-02	-7.60E-02	7.97E-01	-2.86E-02	8.17E-01	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_005397	5420	PODXL,PCLP,Gp200	3q26.2	171004	-2.11E-02	8.24E-03	8.78E-01	3.31E-01	5.81E-03	RP11-816J6	5.65E-03	1.43E-02	-6.74E-02	4.55E+00	0	0	0
NM_018098	1894	ECT2,FLJ10461	3q26.31	173987	1.57E-01	-8.80E-02	7.33E-06	6.63E-01	7.56E-10	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
NM_018098	1894	ECT2,FLJ10461	3q26.31	173987	4.42E-02	-1.21E-01	1.01E-04	5.28E-01	3.66E-06	RP11-71G7	7.02E-04	5.98E-02	-1.79E-02	2.27E+00	0	0	0
BC012204	64778	FAD104	3q26.31	173421	9.33E-02	-1.11E-01	1.45E-04	2.91E-01	1.61E-02	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AL157482	64778	FAD104,FLJ23399,DKFZp762K137	3q26.31	173421	8.49E-02	-4.08E-02	1.03E-03	5.08E-01	9.74E-06	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
NM_014932	22871	NLGN1,KIAA1070,MGC45115	3q26.31	175144	-9.26E-02	-7.25E-03	4.68E-02	-9.76E-02	4.28E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_002662	5337	PLD1	3q26.31	172906	3.85E-02	-4.06E-02	6.22E-02	2.43E-01	4.62E-02	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
AI828075	8370	HIST2H4	3q26.31	173421	-6.38E-02	-1.94E-01	6.34E-02	1.42E-01	2.47E-01	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
AB037784	57552	KIAA1363	3q26.31	173871	-3.31E-02	-2.20E-02	2.93E-01	1.96E-01	1.09E-01	RP11-569P10	4.01E-04	-2.03E-02	-1.02E-01	2.27E+00	0	0	0
AL049365	399665	MGC50853	3q26.31	172906	-1.22E-01	-4.73E-02	3.44E-01	3.23E-02	7.94E-01	RP11-163H6	4.33E-03	1.05E-01	2.84E-02	1.36E+01	0	0	0
BC042589		0	3q26.31	174216	-1.13E-01	-1.55E-01	3.59E-01	-1.93E-03	9.88E-01	RP11-110C15	4.59E-03	5.77E-02	6.15E-03	2.27E+00	0	0	0
NM_003810	8743	TNFSF10,TL2,APO2L,TRAIL,Apo-2L	3q26.31	173715	-9.78E-02	-9.76E-02	8.27E-01	-7.18E-02	5.61E-01	RP11-65J14	2.01E-03	8.08E-02	1.98E-02	9.09E+00	0	0	4.17E+00
NM_006218	5290	PIK3CA	3q26.32	180417	-3.02E-03	6.99E-03	4.23E-01	4.48E-01	1.29E-04	RP11-534H15	6.30E-04	3.32E-02	-5.10E-02	6.82E+00	0	0	0
