probeset	GeneSymbol	Gene Title	UniGene ID	Entrez Gene	cluster group
241905_at	PIK3C2A	Phosphoinositide-3-kinase, class 2, alpha polypeptide	Hs.175343	5286	a
241837_at	ARID5B	AT rich interactive domain 5B (MRF1-like)	Hs.535297	84159	a
242268_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	Hs.309288	10659	a
242476_at		Transcribed locus, strongly similar to XP_520590.1 PREDICTED: similar to hypothetical protein FLJ30435 [Pan troglodytes]	Hs.130729	---	a
242673_at		---	---	---	a
242865_at	SDFR1	Stromal cell derived factor receptor 1	Hs.187866	27020	a
242920_at	KIAA0999	KIAA0999 protein	Hs.558467	23387	a
243109_at	MCTP2	Multiple C2-domains with two transmembrane regions 2	Hs.33368	55784	a
243149_at	EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	Hs.467084	8672	a
243315_at		Transcribed locus, moderately similar to NP_008195.1 NADH dehydrogenase subunit 4 [Pan troglodytes]	Hs.233383	---	a
243509_at	BTG1	B-cell translocation gene 1, anti-proliferative	Hs.255935	694	a
243546_at	SESN3	Sestrin 3	Hs.120633	143686	a
243791_at		Transcribed locus	Hs.291993	---	a
243993_at	PCTK2	PCTAIRE protein kinase 2	Hs.506415	5128	a
244015_at	EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	Hs.467084	8672	a
244267_at	SATB1	Special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNAs)	Hs.517717	6304	a
244414_at	MAML2	Mastermind-like 2 (Drosophila)	Hs.428214	84441	a
1552626_a_at	DKFZP566N034	hypothetical protein DKFZp566N034	Hs.369471	81615	b
1554242_a_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	Hs.21016	1690	b
1554741_s_at	FGF7;FLJ30435	fibroblast growth factor 7 (keratinocyte growth factor) /// hypothetical protein FLJ30435	Hs.122006	2252 /// 387628	b
1556183_at		MRNA; cDNA DKFZp434J1630 (from clone DKFZp434J1630)	Hs.105323	---	b
1556402_at		LOC441500	Hs.252040	441501	b
1558438_a_at		Immunoglobulin epsilon chain	Hs.145288	---	b
1558828_s_at	LOC401212	hypothetical gene supported by BX640700	Hs.558920	401212	b
1559065_a_at	CLEC4G	C-type lectin superfamily 4, member G	Hs.220649	339390	b
1560049_at		Hypothetical gene supported by BC046381	Hs.434466	439950	b
1562019_at	LOC284958	hypothetical protein LOC284958	---	284958	b
1562020_s_at	LOC284958	hypothetical protein LOC284958	---	284958	b
200606_at	DSP	desmoplakin	Hs.519873	1832	b
201110_s_at	THBS1	thrombospondin 1	Hs.164226	7057	b
201286_at	SDC1	syndecan 1	Hs.224607	6382	b
201287_s_at	SDC1	syndecan 1	Hs.224607	6382	b
201387_s_at	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	Hs.518731	7345	b
202018_s_at	LTF	lactotransferrin	Hs.565960	4057	b
202768_at	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	Hs.75678	2354	b
202350_s_at	MATN2	matrilin 2	Hs.189445	4147	b
202376_at	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	Hs.534293	12	b
202421_at	IGSF3	immunoglobulin superfamily, member 3	Hs.171057	3321	b
202437_s_at	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1	Hs.154654	1545	b
203881_s_at	DMD	dystrophin (muscular dystrophy, Duchenne and Becker types)	Hs.495912	1756	b
204201_s_at	PTPN13	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)	Hs.436142	5783	b
204260_at	CHGB	chromogranin B (secretogranin 1)	Hs.516874	1114	b
204748_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	Hs.196384	5743	b
204777_s_at	MAL	mal, T-cell differentiation protein	Hs.80395	4118	b
204995_at	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	Hs.500015	8851	b
205110_s_at	FGF13	fibroblast growth factor 13	Hs.6540	2258	b
205229_s_at	COCH	coagulation factor C homolog, cochlin (Limulus polyphemus)	Hs.21016	1690	b
205476_at	CCL20	chemokine (C-C motif) ligand 20	Hs.75498	6364	b
205207_at	IL6	interleukin 6 (interferon, beta 2)	Hs.512234	3569	b
205266_at	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	Hs.2250	3976	b
205347_s_at	TMSL8	thymosin-like 8	Hs.56145	11013	b
205544_s_at	CR2	complement component (3d/Epstein Barr virus) receptor 2	Hs.445757	1380	b
205554_s_at	DNASE1L3	deoxyribonuclease I-like 3	Hs.476453	1776	b
205676_at	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	Hs.524528	1594	b
205755_at	ITIH3	inter-alpha (globulin) inhibitor H3	Hs.76716	3699	b
205780_at	BIK	BCL2-interacting killer (apoptosis-inducing)	Hs.475055	638	b
205901_at	PNOC	prepronociceptin	Hs.88218	5368	b
205903_s_at	KCNN3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	Hs.490765	3782	b
206023_at	NMU	neuromedin U	Hs.418367	10874	b
206641_at	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	Hs.2556	608	b
206002_at	GPR64	G protein-coupled receptor 64	Hs.146978	10149	b
206291_at	NTS	neurotensin	Hs.80962	4922	b
206172_at	IL13RA2	interleukin 13 receptor, alpha 2	Hs.336046	3598	b
206211_at	SELE	selectin E (endothelial adhesion molecule 1)	Hs.89546	6401	b
206478_at	KIAA0125	KIAA0125	Hs.395486	9834	b
206759_at	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23A)	Hs.465778	2208	b
206760_s_at	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23A)	Hs.465778	2208	b
207509_s_at	LAIR2	leukocyte-associated Ig-like receptor 2	Hs.43803	3904	b
207900_at	CCL17	chemokine (C-C motif) ligand 17	Hs.546294	6361	b
207861_at	CCL22	chemokine (C-C motif) ligand 22	Hs.534347	6367	b
207995_s_at	CLEC4M	C-type lectin domain family 4, member M	Hs.421437	10332	b
209189_at	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	Hs.25647	2353	b
209582_s_at	CD200	CD200 antigen	Hs.79015	4345	b
209988_s_at	ASCL1	achaete-scute complex-like 1 (Drosophila)	Hs.524672	429	b
210258_at	RGS13	regulator of G-protein signalling 13	Hs.497220	6003	b
210387_at	HIST1H2BG	histone 1, H2bg	Hs.352109	8339	b
210439_at	ICOS	inducible T-cell co-stimulator	Hs.56247	29851	b
210674_s_at	PCDHA9;PCDHAC2;PCDHAC1;PCDHA13;PCDHA12;PCDHA11;PCDHA10;PCDHA8;PCDHA7;PCDHA6;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA1	protocadherin alpha 9 /// protocadherin alpha subfamily C, 2 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha 13 /// protocadherin alpha 12 /// protocadherin alpha 11 /// protocadherin alpha 10 /// protocadherin alpha 8 /// protocadherin alpha 7 /// protocadherin alpha 6 /// protocadherin alpha 5 /// protocadherin alpha 4 /// protocadherin alpha 3 /// protocadherin alpha 2 /// protocadherin alpha 1	Hs.199343	56134 /// 56135 /// 56136 /// 56137 /// 56138 /// 56139 /// 56140 /// 56141 /// 56142 /// 56143 /// 56144 /// 56145 /// 56146 /// 56147 /// 9752	b
212190_at	SERPINE2	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	Hs.38449	5270	b
212364_at	MYO1B	myosin IB	Hs.439620	4430	b
212942_s_at	KIAA1199	KIAA1199	Hs.459088	57214	b
213438_at	NFASC	neurofascin	Hs.13349	23114	b
213664_at	SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	Hs.444915	6505	b
213906_at	MYBL1	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	Hs.445898	4603	b
214461_at	LBP	lipopolysaccharide binding protein	Hs.154078	3929	b
214469_at	HIST1H2AE	histone 1, H2ae	Hs.121017	3012	b
215214_at	IGLV325	immunoglobulin lambda variable 3-25	---	28793	b
215565_at	DTNB	dystrobrevin, beta	Hs.307720	1838	b
216005_at	TNC	Tenascin C (hexabrachion)	Hs.143250	3371	b
215779_s_at	HIST1H2BG	histone 1, H2bg	Hs.352109	8339	b
216517_at	IGKC;LOC339562	immunoglobulin kappa constant /// similar to Ig kappa chain	Hs.449972	339562 /// 3514	b
216829_at		IG light chain V-region, VK gene	Hs.560823	---	b
217080_s_at	HOMER2	homer homolog 2 (Drosophila)	Hs.93564	9455	b
217469_at		Immunoglobulin epsilon chain	Hs.145288	---	b
218541_s_at	C8orf4	chromosome 8 open reading frame 4	Hs.283683	56892	b
219517_at	ELL3	elongation factor RNA polymerase II-like 3	Hs.558550	80237	b
219518_s_at	ELL3	elongation factor RNA polymerase II-like 3	Hs.558550	80237	b
219440_at	RAI2	retinoic acid induced 2	Hs.446680	10742	b
219463_at	C20orf103	chromosome 20 open reading frame 103	Hs.22920	24141	b
219836_at	ZBED2	zinc finger, BED-type containing 2	Hs.136912	79413	b
219841_at	AICDA	activation-induced cytidine deaminase	Hs.149342	57379	b
219888_at	SPAG4	sperm associated antigen 4	Hs.123159	6676	b
220108_at	GNA14	guanine nucleotide binding protein (G protein), alpha 14	Hs.126715	9630	b
220234_at	CA8	carbonic anhydrase VIII	Hs.491813	767	b
220306_at	FAM46C	family with sequence similarity 46, member C	Hs.356216	54855	b
221530_s_at	BHLHB3	basic helix-loop-helix domain containing, class B, 3	Hs.177841	79365	b
222073_at	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	Hs.471525	1285	b
222281_s_at		---	---	---	b
223235_s_at	SMOC2	SPARC related modular calcium binding 2	Hs.487200	64094	b
223565_at	PACAP	proapoptotic caspase adaptor protein	Hs.409563	51237	b
223435_s_at	PCDHA9;PCDHAC2;PCDHAC1;PCDHA13;PCDHA12;PCDHA11;PCDHA10;PCDHA8;PCDHA7;PCDHA6;PCDHA5;PCDHA4;PCDHA3;PCDHA2;PCDHA1	protocadherin alpha 9 /// protocadherin alpha subfamily C, 2 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha 13 /// protocadherin alpha 12 /// protocadherin alpha 11 /// protocadherin alpha 10 /// protocadherin alpha 8 /// protocadherin alpha 7 /// protocadherin alpha 6 /// protocadherin alpha 5 /// protocadherin alpha 4 /// protocadherin alpha 3 /// protocadherin alpha 2 /// protocadherin alpha 1	Hs.199343	56134 /// 56135 /// 56136 /// 56137 /// 56138 /// 56139 /// 56140 /// 56141 /// 56142 /// 56143 /// 56144 /// 56145 /// 56146 /// 56147 /// 9752	b
223503_at	DKFZP566N034	hypothetical protein DKFZp566N034	Hs.369471	81615	b
223710_at	CCL26	chemokine (C-C motif) ligand 26	Hs.131342	10344	b
223842_s_at	SCARA3	scavenger receptor class A, member 3	Hs.128856	51435	b
223843_at	SCARA3	scavenger receptor class A, member 3	Hs.128856	51435	b
224404_s_at	FCRL5	Fc receptor-like 5 /// Fc receptor-like 5	Hs.415950	83416	b
224499_s_at	AICDA	activation-induced cytidine deaminase /// activation-induced cytidine deaminase	Hs.149342	57379	b
225207_at	PDK4	pyruvate dehydrogenase kinase, isoenzyme 4	Hs.8364	5166	b
225491_at	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2	Hs.502338	6506	b
225809_at	DKFZP564O0823	DKFZP564O0823 protein	Hs.105460	25849	b
226029_at	VANGL2	vang-like 2 (van gogh, Drosophila)	Hs.99477	57216	b
226248_s_at	KIAA1324	KIAA1324	Hs.262811	57535	b
226558_at	MGC27019	Hypothetical protein MGC27019	Hs.446582	150483	b
226913_s_at	SOX8	SRY (sex determining region Y)-box 8	Hs.243678	30812	b
226930_at	FNDC1	fibronectin type III domain containing 1	Hs.520525	84624	b
227524_at		Transcribed locus	Hs.9012	---	b
227742_at	CLIC6	chloride intracellular channel 6	Hs.473695	54102	b
228108_at		CDNA FLJ30761 fis, clone FEBRA2000538	Hs.19339	---	b
228367_at	ALPK2	alpha-kinase 2	Hs.275998	115701	b
228377_at	KLHL14	kelch-like 14 (Drosophila)	Hs.446164	57565	b
228708_at		Clone 25194 mRNA sequence	Hs.25318	---	b
229147_at	RASSF6	Ras association (RalGDS/AF-6) domain family 6	Hs.529677	166824	b
229902_at	LOC285682	hypothetical protein LOC285682	---	285682	b
229623_at		Similar to hypothetical protein LOC231503	Hs.507676	441027	b
230109_at	PDE7B	phosphodiesterase 7B	Hs.126980	27115	b
230372_at	HAS2	Hyaluronan synthase 2	Hs.159226	3037	b
230791_at	NFIB	Nuclear factor I/B	Hs.370359	4781	b
231148_at	IGFL2	insulin growth factor-like family member 2	Hs.99376	147920	b
231496_at	FCAMR	Fc receptor, IgA, IgM, high affinity	Hs.145519	83953	b
232935_at	LHFP	TRAFs and NIK-associated protein	Hs.507798	10186	b
233271_at	LOC255326	Hypothetical protein LOC255326	Hs.314437	255326	b
233969_at	IGLC2	Immunoglobulin lambda light chain /// Immunoglobulin lambda constant 1 (Mcg marker)	Hs.449567 /// Hs.449585	3538	b
235278_at	C20orf133	chromosome 20 open reading frame 133	Hs.552739	140733	b
235965_at	DKFZP434B0335	DKFZP434B0335 protein	Hs.511979	25851	b
236099_at		Transcribed locus	Hs.158951	---	b
237625_s_at	IGKC	Immunoglobulin kappa variable 1-5	Hs.449621	3514	b
237802_at	XKR4	X Kell blood group precursor-related family, member 4	Hs.130197	114786	b
238559_at		CDNA clone IMAGE:5266242	Hs.187018	---	b
238924_at	LOC255326	Hypothetical protein LOC255326	Hs.314437	255326	b
239082_at		CDNA clone IMAGE:5311370	Hs.438803	---	b
240038_at	ELL2	Elongation factor, RNA polymerase II, 2	Hs.192221	22936	b
240118_at	TXNDC11	Thioredoxin domain containing 11	Hs.313847	51061	b
240744_at	CPA5	carboxypeptidase A5	Hs.436058	93979	b
241272_at	TNC	Tenascin C (hexabrachion)	Hs.143250	3371	b
241897_at	RBPMS	RNA binding protein with multiple splicing	Hs.334587	11030	b
242020_s_at	ZBP1	Z-DNA binding protein 1	Hs.302123	81030	b
242868_at	EPAS1	Endothelial PAS domain protein 1	Hs.468410	2034	b
243296_at	PBEF1	Pre-B-cell colony enhancing factor 1	Hs.489615	10135	b
243810_at		Transcribed locus	Hs.567989	---	b
1554273_a_at	LRAP	leukocyte-derived arginine aminopeptidase	Hs.482910	64167	c
1559410_at		Transcribed locus	Hs.490920	---	c
1560503_a_at	TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	Hs.519880	7020	c
1560573_at	LOC387895	hypothetical gene supported by BC040060	Hs.534660	387895	c
1568780_at		Hypothetical LOC497257	Hs.322761	389634	c
201909_at	RPS4Y1	ribosomal protein S4, Y-linked 1	Hs.282376	6192	c
202203_s_at	AMFR	autocrine motility factor receptor	Hs.295137	267	c
203029_s_at	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	Hs.490789	5799	c
203030_s_at	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	Hs.490789	5799	c
203498_at	DSCR1L1	Down syndrome critical region gene 1-like 1	Hs.440168	10231	c
203638_s_at	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	Hs.533683	2263	c
203641_s_at	COBLL1	COBL-like 1	Hs.470457	22837	c
203642_s_at	COBLL1	COBL-like 1	Hs.470457	22837	c
204086_at	PRAME	preferentially expressed antigen in melanoma	Hs.30743	23532	c
204148_s_at	ZP3;POMZP3	zona pellucida glycoprotein 3 (sperm receptor) /// POM (POM121 homolog, rat) and ZP3 fusion	Hs.558420	22932 /// 7784	c
204154_at	CDO1	cysteine dioxygenase, type I	Hs.442378	1036	c
203695_s_at	DFNA5	deafness, autosomal dominant 5	Hs.520708	1687	c
203819_s_at	IMP3	IGF-II mRNA-binding protein 3	Hs.432616	10643	c
203820_s_at	IMP3	IGF-II mRNA-binding protein 3	Hs.432616	10643	c
204409_s_at	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	Hs.461178	9086	c
204410_at	EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	Hs.461178	9086	c
204784_s_at	MLF1	myeloid leukemia factor 1	Hs.85195	4291	c
205000_at	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Hs.99120	8653	c
205001_s_at	DDX3Y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Hs.99120	8653	c
205048_s_at	PSPH	phosphoserine phosphatase	Hs.512656	5723	c
205268_s_at	ADD2	adducin 2 (beta)	Hs.188528	119	c
205624_at	CPA3	carboxypeptidase A3 (mast cell)	Hs.646	1359	c
205794_s_at	NOVA1	neuro-oncological ventral antigen 1	Hs.211225	4857	c
206110_at	HIST1H3H	histone 1, H3h	Hs.70937	8357	c
206310_at	SPINK2	serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	Hs.98243	6691	c
206546_at	SYCP2	synaptonemal complex protein 2	Hs.202676	10388	c
206700_s_at	SMCY	Smcy homolog, Y-linked (mouse)	Hs.80358	8284	c
206729_at	TNFRSF8	tumor necrosis factor receptor superfamily, member 8	Hs.1314	943	c
206942_s_at	PMCH	pro-melanin-concentrating hormone	Hs.2182	5367	c
207840_at	CD160	CD160 antigen	Hs.488237	11126	c
208195_at	TTN	titin	Hs.134602	7273	c
209863_s_at	TP73L	tumor protein p73-like	Hs.137569	8626	c
209815_at	PTCH	patched homolog (Drosophila)	Hs.494538	5727	c
209995_s_at	TCL1A	T-cell leukemia/lymphoma 1A /// T-cell leukemia/lymphoma 1A	Hs.2484	8115	c
210432_s_at	SCN3A	sodium channel, voltage-gated, type III, alpha	Hs.435274	6328	c
210643_at	TNFSF11	tumor necrosis factor (ligand) superfamily, member 11	Hs.333791	8600	c
210910_s_at	ZP3;POMZP3	zona pellucida glycoprotein 3 (sperm receptor) /// POM (POM121 homolog, rat) and ZP3 fusion	Hs.558420	22932 /// 7784	c
212092_at	PEG10	paternally expressed 10	Hs.147492	23089	c
212094_at	PEG10	paternally expressed 10	Hs.147492	23089	c
213150_at	HOXA10	homeo box A10	Hs.110637	3206	c
213245_at	ADCY1	adenylate cyclase 1 (brain)	Hs.192215	107	c
213395_at	MLC1	megalencephalic leukoencephalopathy with subcortical cysts 1	Hs.517729	23209	c
213484_at		Clone 23700 mRNA sequence	Hs.66187	---	c
213435_at	SATB2	SATB family member 2	Hs.516617	23314	c
214081_at	PLXDC1	plexin domain containing 1	Hs.125036	57125	c
213943_at	TWIST1	twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)	Hs.66744	7291	c
214131_at	CYorf15B	chromosome Y open reading frame 15B	Hs.145010	84663	c
214639_s_at	HOXA1	homeo box A1	Hs.67397	3198	c
217422_s_at	CD22;MAG	CD22 antigen /// myelin associated glycoprotein	Hs.262150	4099 /// 933	c
217744_s_at	PERP	PERP, TP53 apoptosis effector	Hs.520421	64065	c
