UNIQID	GenBank ID	UniGene ID	Gene Description
31835	AF054825	Hs.74669	vesicle-associated membrane protein 5 (myobrevin)
23895	M11147	Hs.111334	ferritin, light polypeptide
26924	AF217974	Hs.96657	hyothetical protein
26958	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
27885	X02530	Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10
27956	M11147	Hs.111334	ferritin, light polypeptide
29093	M12807	Hs.17483	CD4 antigen (p55)
32625	X02530	Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10
34224		Hs.369051	ESTs, Weakly similar to VAM5_HUMAN VESICULE-ASSOCIATED MEMBRANE PROTEIN 5 (VAMP-5) (MYOBREVIN) (HSPC191) [H.sapiens]
15968	D00244	Hs.77274	plasminogen activator, urokinase
16257	M11147	Hs.111334	ferritin, light polypeptide
17905	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
25182	X02530	Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10
26895	M11147	Hs.111334	ferritin, light polypeptide
26896	M11147	Hs.111334	ferritin, light polypeptide
26931	X06256	Hs.149609	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
28685	S57235	Hs.246381	CD68 antigen
16137	S57235	Hs.246381	CD68 antigen
16248	U12255	Hs.111903	Fc fragment of IgG, receptor, transporter, alpha
16502	X59812	Hs.82568	cytochrome P450, subfamily XXVIIA (steroid 27-hydroxylase, cerebrotendinous xanthomatosis), polypeptide 1
27463	X02530	Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10
27468	M55542	Hs.62661	guanylate binding protein 1, interferon-inducible, 67kD
29225		NA	NA
26087	L78440	Hs.80642	signal transducer and activator of transcription 4
26445	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
27022	U12255	Hs.111903	Fc fragment of IgG, receptor, transporter, alpha
17915	J03278	Hs.76144	platelet-derived growth factor receptor, beta polypeptide
19337	X02530	Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10
27843	M11147	Hs.111334	ferritin, light polypeptide
29600	AK024855	Hs.181301	cathepsin S
30439	X02530	Hs.2248	small inducible cytokine subfamily B (Cys-X-Cys), member 10
16512	X56841	Hs.89643	transketolase (Wernicke-Korsakoff syndrome)
17877		NA	NA
28385	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
28556	D00244	Hs.77274	plasminogen activator, urokinase
31334		NA	NA
16442		NA	NA
16956	U73531	Hs.34526	G protein-coupled receptor
17024	X57352	Hs.182241	interferon induced transmembrane protein 3 (1-8U)
26932	X06256	Hs.149609	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
29542		NA	NA
32646	D10925	Hs.301921	chemokine (C-C motif) receptor 1
17650	U19713	Hs.76364	allograft inflammatory factor 1
25974	L25286	Hs.83164	collagen, type XV, alpha 1
26614	M15395	Hs.83968	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)
27860	AF013249	Hs.115808	leukocyte-associated Ig-like receptor 1
28586	M59807	Hs.943	natural killer cell transcript 4
34272		NA	NA
17347	X57352	Hs.182241	interferon induced transmembrane protein 3 (1-8U)
17765	X06256	Hs.149609	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)
19311	X04011	Hs.88974	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
26438	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
32128	AF004230	Hs.204040	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
34365	M11147	Hs.111334	ferritin, light polypeptide
15851	NM_002982	Hs.303649	small inducible cytokine A2 (monocyte chemotactic protein 1)
16034	M59807	Hs.943	natural killer cell transcript 4
16092	D13666	Hs.136348	osteoblast specific factor 2 (fasciclin I-like)
17842	X67016	Hs.252189	syndecan 4 (amphiglycan, ryudocan)
19376	M59807	Hs.943	natural killer cell transcript 4
24783	M59807	Hs.943	natural killer cell transcript 4
27223	U91985	Hs.105658	DNA fragmentation factor, 45 kD, alpha polypeptide
16816	X12451	Hs.78056	cathepsin L
17213	X04011	Hs.88974	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
17590	X56841	Hs.89643	transketolase (Wernicke-Korsakoff syndrome)
23898	U83461	Hs.24030	solute carrier family 31 (copper transporters), member 2
26585	AF025532	Hs.67846	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4
27098	X56841	Hs.89643	transketolase (Wernicke-Korsakoff syndrome)
27732	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
34273	M77693	Hs.28491	spermidine/spermine N1-acetyltransferase
16465	M15395	Hs.83968	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)
23921	M11147	Hs.111334	ferritin, light polypeptide
24273	X56841	Hs.89643	transketolase (Wernicke-Korsakoff syndrome)
27077	X56841	Hs.89643	transketolase (Wernicke-Korsakoff syndrome)
27149	K03000	Hs.76392	aldehyde dehydrogenase 1 family, member A1
27567	NM_005953	Hs.118786	metallothionein 2A
28076	U20158	Hs.2488	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)
28909	M59941	Hs.285401	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
33293		NA	NA
33958		Hs.122983	ESTs
34294	X56841	Hs.89643	transketolase (Wernicke-Korsakoff syndrome)
34818	U83461	Hs.24030	solute carrier family 31 (copper transporters), member 2
15955	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
16616	X98050	NA	NA
17235	AF046888	Hs.54673	tumor necrosis factor (ligand) superfamily, member 13
17351	M11886	Hs.277477	major histocompatibility complex, class I, C
17838	X72012	Hs.76753	endoglin (Osler-Rendu-Weber syndrome 1)
17914	NM_001780	Hs.76294	CD63 antigen (melanoma 1 antigen)
19329	U03754	Hs.181244	major histocompatibility complex, class I, A
19342	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
24925		Hs.122983	ESTs
25192	M31951	NA	NA
26440	Y10659	Hs.285115	interleukin 13 receptor, alpha 1
26901	U03754	Hs.181244	major histocompatibility complex, class I, A
27356	X57351	Hs.174195	interferon induced transmembrane protein 2 (1-8D)
27589	X57351	Hs.174195	interferon induced transmembrane protein 2 (1-8D)
27784	M28205	Hs.77961	major histocompatibility complex, class I, B
28719	U19713	Hs.76364	allograft inflammatory factor 1
30388		NA	NA
32665	M21121	Hs.241392	small inducible cytokine A5 (RANTES)
16916	M68956	Hs.75607	myristoylated alanine-rich protein kinase C substrate
17078	U03754	Hs.181244	major histocompatibility complex, class I, A
17299	M28205	Hs.77961	major histocompatibility complex, class I, B
24211	M11147	Hs.111334	ferritin, light polypeptide
24722	M11147	Hs.111334	ferritin, light polypeptide
26700	M57888	NA	NA
27460		NA	NA
28850	X12451	Hs.78056	cathepsin L
29179		NA	NA
30476	U08137	Hs.2007	tumor necrosis factor (ligand) superfamily, member 6
30481	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
30548	M68956	Hs.75607	myristoylated alanine-rich protein kinase C substrate
32667	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
34226	U77396	Hs.76507	LPS-induced TNF-alpha factor
34464	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
16877	NM_006288	Hs.125359	Thy-1 cell surface antigen
17469	M21121	Hs.241392	small inducible cytokine A5 (RANTES)
17942	M21121	Hs.241392	small inducible cytokine A5 (RANTES)
25151	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
25980	M92357	Hs.101382	tumor necrosis factor, alpha-induced protein 2
27571	U03754	Hs.181244	major histocompatibility complex, class I, A
27572	U03754	Hs.181244	major histocompatibility complex, class I, A
27958	X84700	Hs.3107	CD97 antigen
28725	U09278	Hs.418	fibroblast activation protein, alpha
30479	M21121	Hs.241392	small inducible cytokine A5 (RANTES)
32614	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
33708	Z48810	Hs.74122	caspase 4, apoptosis-related cysteine protease
16010	U20938	Hs.1602	dihydropyrimidine dehydrogenase
16927	Z48810	Hs.74122	caspase 4, apoptosis-related cysteine protease
17407	AF013249	Hs.115808	leukocyte-associated Ig-like receptor 1
17527	M23197	Hs.83731	CD33 antigen (gp67)
19341	M21121	Hs.241392	small inducible cytokine A5 (RANTES)
24399	M97935	Hs.21486	signal transducer and activator of transcription 1, 91kD
27267	X15804	Hs.119000	actinin, alpha 1
28564	X67016	Hs.252189	syndecan 4 (amphiglycan, ryudocan)
29577	AF181985	Hs.12040	STE20-like kinase
34762	M28205	Hs.77961	major histocompatibility complex, class I, B
16126	U23942	Hs.226213	cytochrome P450, 51 (lanosterol 14-alpha-demethylase)
16959	M87507	Hs.2490	caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)
16983	M61715	Hs.374466	tryptophanyl-tRNA synthetase
17015	J04164	Hs.146360	interferon induced transmembrane protein 1 (9-27)
17663	X76104	Hs.153924	death-associated protein kinase 1
17703	U70451	Hs.82116	myeloid differentiation primary response gene (88)
17706	M61715	Hs.374466	tryptophanyl-tRNA synthetase
17865	NM_003749	Hs.143648	insulin receptor substrate 2
19352	J04164	Hs.146360	interferon induced transmembrane protein 1 (9-27)
24094	NM_001780	Hs.76294	CD63 antigen (melanoma 1 antigen)
24433		NA	NA
26399	NM_002406	Hs.151513	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
26571	AF246221	Hs.239625	integral membrane protein 2B
27456	M61715	Hs.374466	tryptophanyl-tRNA synthetase
27487	J04164	Hs.146360	interferon induced transmembrane protein 1 (9-27)
27520	AK026463	Hs.75415	beta-2-microglobulin
27559	U03754	Hs.181244	major histocompatibility complex, class I, A
27892	AF013249	Hs.115808	leukocyte-associated Ig-like receptor 1
28516	U20938	Hs.1602	dihydropyrimidine dehydrogenase
30785	AF044309	Hs.118958	syntaxin 11
30959	M11146	Hs.62954	ferritin, heavy polypeptide 1
31421	U03754	Hs.181244	major histocompatibility complex, class I, A
34236	BC000597	Hs.118126	protective protein for beta-galactosidase (galactosialidosis)
34308	U03754	Hs.181244	major histocompatibility complex, class I, A
16626	Y00285	Hs.76473	insulin-like growth factor 2 receptor
16763	AK026463	Hs.75415	beta-2-microglobulin
16820	U90143	Hs.87497	butyrophilin, subfamily 3, member A2
16865	X57351	Hs.174195	interferon induced transmembrane protein 2 (1-8D)
17048	NM_001780	Hs.76294	CD63 antigen (melanoma 1 antigen)
17053	X82200	Hs.318501	tripartite motif-containing 22
17543	U20158	Hs.2488	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)
24405	X14454	Hs.80645	interferon regulatory factor 1
24487	M11146	Hs.62954	ferritin, heavy polypeptide 1
25112	M37435	Hs.173894	colony stimulating factor 1 (macrophage)
26387	AF246221	Hs.239625	integral membrane protein 2B
26500	AF246221	Hs.239625	integral membrane protein 2B
26722	U70321	Hs.279899	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)
27455	U70451	Hs.82116	myeloid differentiation primary response gene (88)
27947	M32800	Hs.73885	HLA-G histocompatibility antigen, class I, G
28599	X14454	Hs.80645	interferon regulatory factor 1
28869	J04164	Hs.146360	interferon induced transmembrane protein 1 (9-27)
29181	M16006	Hs.82085	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1
29780		NA	NA
30761	AF044309	Hs.118958	syntaxin 11
31563		NA	NA
33480	BC006345	Hs.150101	lysosomal-associated membrane protein 1
16048	U70451	Hs.82116	myeloid differentiation primary response gene (88)
16161	U31628	Hs.12503	interleukin 15 receptor, alpha
16403	M24283	Hs.168383	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
16848	X76104	Hs.153924	death-associated protein kinase 1
17007	J04164	Hs.146360	interferon induced transmembrane protein 1 (9-27)
17449	M32800	Hs.73885	HLA-G histocompatibility antigen, class I, G
24720	NM_002800	Hs.9280	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)
26103		NA	NA
26545	AF084523	Hs.5710	cellular repressor of E1A-stimulated genes
27029	NM_002800	Hs.9280	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)
29167	M61715	Hs.374466	tryptophanyl-tRNA synthetase
29345		NA	NA
31820	NM_018052	Hs.5894	hypothetical protein FLJ10305
31845	U31628	Hs.12503	interleukin 15 receptor, alpha
15862	NM_002801	Hs.9661	proteasome (prosome, macropain) subunit, beta type, 10
16046	U31628	Hs.12503	interleukin 15 receptor, alpha
17334	AB000520	Hs.105052	adaptor protein with pleckstrin homology and src homology 2 domains
17586		NA	NA
17811	M33680	Hs.54457	CD81 antigen (target of antiproliferative antibody 1)
22176	NM_018052	Hs.5894	hypothetical protein FLJ10305
24268	M24283	Hs.168383	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
24395	J03909	Hs.14623	interferon, gamma-inducible protein 30
24642	Z22936	Hs.502	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
26546	AF084523	Hs.5710	cellular repressor of E1A-stimulated genes
27211	M24283	Hs.168383	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
27366		NA	NA
28421	NM_002801	Hs.9661	proteasome (prosome, macropain) subunit, beta type, 10
29222		NA	NA
29636	NM_005194	Hs.99029	CCAAT/enhancer binding protein (C/EBP), beta
30151	L21204	Hs.352018	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
30428	X56794	Hs.169610	CD44 antigen (homing function and Indian blood group system)
31575	D14696	Hs.111894	lysosomal-associated protein transmembrane 4 alpha
17108	Y00433	Hs.76686	glutathione peroxidase 1
17234	J03909	Hs.14623	interferon, gamma-inducible protein 30
24807	D10704	Hs.77221	choline kinase
26036	AK023917	Hs.168232	hypothetical protein FLJ13855
26115	AF031141	Hs.169895	ubiquitin-conjugating enzyme E2L 6
28750	M24283	Hs.168383	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
28755	M11886	Hs.277477	major histocompatibility complex, class I, C
29209	L34587	Hs.184693	transcription elongation factor B (SIII), polypeptide 1 (15kD, elongin C)
29221		NA	NA
