t-value	Parametric p-value	% CV support	Average ratios in the High-risk group	Average ratios in the Low-risk group	Unique id	Description	Clone	UG cluster	Gene symbol	Map
3.61	0.000638	73	1.502	1.195	165965	solute carrier family 26 (sulfate transporter), member 2	1424624	Hs.29981	SLC26A2	5q31-q34
3.58	0.000713	66	1.497	1.154	165392	HT021	2155623	Hs.47166	HT021	3p14.3
5.88	p < 0.000001	100	1.494	1.119	163537	pyruvate dehydrogenase phosphatase	1819282	Hs.22265	PDP	8q21.3
3.95	0.000216	100	1.492	1.116	163411	hypothetical protein MGC35169	389369	Hs.112238	MGC35169	13q33.3
3.8	0.000351	100	1.488	1.062	165323	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	3139163	Hs.196384	PTGS2	1q25.2-q25.3
3.89	0.000266	100	1.473	1.189	162894	Homo sapiens cDNA FLJ11481 fis, clone HEMBA1001803, mRNA sequence	2512249	Hs.135159		1
4.61	0.000025	100	1.442	1.075	164580	potassium inwardly-rectifying channel, subfamily J, member 15	2910715	Hs.17287	KCNJ15	21q22.2
4.28	0.000076	100	1.439	1.089	169567	Incyte EST	93820
3.98	0.000203	100	1.436	0.854	160721	activating transcription factor 3	1888594	Hs.460	ATF3	1q32.3
3.96	0.000213	100	1.434	1.171	161218	CAMP-specific phosphodiesterase 8B1 [Homo sapiens], mRNA sequence	1684787	Hs.78106		5
3.56	0.000772	53	1.432	1.209	160334	ATPase, Class II, type 9A	1942046	Hs.406434	ATP9A	20q13.11-13.2
3.93	0.000239	100	1.432	1.157	162921	Unnamed protein product [Homo sapiens], mRNA sequence	2929840	Hs.26612		11
3.69	0.000498	97	1.424	0.962	166148	secreted frizzled-related protein 5	2846057	Hs.279565	SFRP5	10q24.1
4.1	0.000138	100	1.424	1.109	167406	hypothetical gene supported by AF038182; BC009203	2450712	Hs.25925	LOC90355	5q21.1
4.15	0.000113	100	1.421	1.139	164605	ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	3144229	Hs.118923		3
3.5	0.000911	39	1.413	1.162	161226	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	2183648	Hs.108931	MPP6	7p15
4.59	0.000025	100	1.407	1.144	165861	cAMP responsive element binding protein 1	2291535	Hs.79194	CREB1	2q34
4.17	0.000105	100	1.406	1.128	165797	solute carrier family 4, sodium bicarbonate cotransporter, member 7	3034487	Hs.132904	SLC4A7	3p22
3.73	0.000441	100	1.403	1.131	165484	KIAA0998 protein	2820853	Hs.131525	KIAA0998	14q24.3
4.23	0.000097	100	1.394	1.068	168419	ESTs, Moderately similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	2429438	Hs.112993		9
3.65	0.000577	90	1.393	1.069	165222	ESTs	2247386	Hs.61119		1
3.5	0.00091	44	1.387	1.1	166302	aryl hydrocarbon receptor nuclear translocator	2220137	Hs.166172	ARNT	1q21
4.63	0.000023	100	1.387	0.987	165339	Link guanine nucleotide exchange factor II	3095705	Hs.118562	Link-GEFII	17q21.1
3.49	0.000943	39	1.385	1.121	162623	BCL2-antagonist/killer 1	2055687	Hs.93213	BAK1	6p21.3
4.15	0.000117	100	1.385	1.117	160957	protein kinase, AMP-activated, alpha 2 catalytic subunit	2507648	Hs.2329	PRKAA2	1p31
3.62	0.000626	83	1.383	1.129	163197	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	2344817	Hs.119944		2
3.81	0.000348	100	1.382	1.038	165735	homeo box B5	888813	Hs.22554	HOXB5	17q21.3
3.79	0.000398	100	1.377	1.087	163999	Rac GTPase activating protein 1	2453203	Hs.23900	RACGAP1	12q13.12
3.63	0.000607	88	1.376	1.083	168658	hypothetical protein FLJ10871	308427	Hs.15562	FLJ10871	8p12
3.88	0.000274	100	1.372	1.152	160566	carbonyl reductase 3	1638756	Hs.154510	CBR3	21q22.2
4.77	0.000013	100	1.368	1.024	162589	nerve growth factor receptor (TNFR superfamily, member 16)	1211137	Hs.1827	NGFR	17q21-q22
3.57	0.000737	58	1.363	1.091	160761	lamin A/C	1819552	Hs.377973	LMNA	1q21.2-q21.3
4.26	0.000077	100	1.363	0.983	165337	Homo sapiens cDNA FLJ33628 fis, clone BRAMY2022445, mRNA sequence	2960859	Hs.31835		10
3.54	0.000816	59	1.359	1.163	161205	microtubule-associated protein, RP/EB family, member 2	2355543	Hs.78335	MAPRE2	18q12.1
3.91	0.00025	100	1.359	1.053	166494	chromosome 14 open reading frame 35	2046439	Hs.285280	C14orf35	14q22.2
3.72	0.00046	98	1.356	1.067	168622	hypothetical protein DKFZp564D172	1969294	Hs.25307	DKFZP564 D172	5q14.3
4.99	0.000006	100	1.35	0.858	165347	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	1957596	Hs.298469	ACE	17q23
3.5	0.000926	34	1.345	1.092	168950	REMOVED_FROM_DATABASE	91090
3.48	0.000968	29	1.344	1.103	165079	tumor necrosis factor receptor superfamily, member 11a, activator of NFKB	2405354	Hs.114676	TNFRSF11 A	18q22.1
3.5	0.000922	42	1.343	1.078	169318	protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	284124	Hs.28219	PPP2R3A	3q22.2
3.56	0.000765	56	1.34	1.107	164774	serine protease inhibitor, Kazal type 4	1626232	Hs.129778	SPINK4	9p13.2
3.58	0.000728	61	1.34	1.079	164817	cyclin T1	2928577	Hs.279906	CCNT1	12pter-qter
3.97	0.000207	100	1.33	0.994	167636	sal-like 2 (Drosophila)	2805762	Hs.79971	SALL2	14q11.1-q12
3.48	0.000955	36	1.315	1.127	161901	FSH primary response (LRPR1 homolog, rat) 1	2542561	Hs.123122	FSHPRH1	Xq22
4.23	0.000088	100	1.315	1	166327	EST	278282	Hs.408920		5
3.98	0.000213	100	1.305	1.027	167836	ESTs	2955163
3.97	0.000203	100	1.304	0.991	165362	ESTs	3220149	Hs.30385		10
3.66	0.000558	90	1.303	1.064	168227	ESTs	2752829	Hs.368011		9
3.98	0.000198	100	1.299	1.061	163213	Incyte EST	1753033
4.43	0.000044	100	1.292	1.035	161648	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor	2766358	Hs.159396	PAMCI	12
3.48	0.000978	32	1.289	1.088	164746	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	1888940	Hs.71622	SMARCD3	7q35-q36
4.55	0.000032	100	1.286	0.932	165543	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	1758055	Hs.278611	GALNT3	2q24-q31
4	0.000183	100	1.284	0.99	161471	KIAA0753 gene product	2498968	Hs.28070	KIAA0753	17p13.2
3.71	0.000471	100	1.278	1.033	169586	transmembrane receptor Unc5H2	2954801	Hs.183918	UNC5H2	10q22.1
3.54	0.000807	56	1.271	0.989	166804	Incyte EST	2054426
3.87	0.000285	100	1.271	1.058	168141	ESTs, Weakly similar to A55479 CDK6 inhibitor p18 -human [H.sapiens]	2568547	Hs.374311		3
3.8	0.000359	100	1.268	1.08	164019	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)	2815133	Hs.271923	GALNT4	12q21.3-q22
3.74	0.000432	100	1.265	0.992	166330	BMX non-receptor tyrosine kinase	1655995	Hs.27372	BMX	Xp22.2
3.78	0.000377	100	1.256	1.043	165334	ESTs	3117985	Hs.72010		22
3.73	0.000457	98	1.253	0.999	166120	matrilin 3	1611445	Hs.278461	MATN3	2p24-p23
3.74	0.000436	100	1.249	0.868	166488	likely ortholog of mouse Shc SH2-domain binding protein 1	2779749	Hs.123253	SHCBP1	16q11.2
3.6	0.000666	81	1.244	1.049	163399	Incyte EST	3044614
4.28	0.000074	100	1.244	0.916	166519	contactin 1	2291546	Hs.143434	CNTN1	12q11-q12
4.5	0.000033	100	1.237	1.027	167250	TGFB-induced factor 2 (TALE family homeobox)	1599532	Hs.94785	TGIF2	20q11.2-q12
3.67	0.00054	88	1.23	0.98	165152	ESTs	3409234	Hs.87935		5
3.52	0.000848	51	1.228	1.038	163025	ESTs	1683245	Hs.128321		6
3.51	0.000915	36	1.221	1.024	164729	hypothetical protein FLJ10474	1867172	Hs.41793	FLJ10474	4q35.1
3.99	0.000192	100	1.216	0.974	165734	gamma-aminobutyric acid (GABA) A receptor, gamma 3	1535355	Hs.104133	GABRG3	15q11-q13
4.51	0.000035	100	1.213	0.96	166305	integrin, alpha 8	3085610	Hs.91296	ITGA8	10p13
3.94	0.000235	100	1.209	0.949	166111	SH3-domain GRB2-like 3	94000	Hs.80315	SH3GL3	15q24
3.83	0.00032	100	1.207	1.027	169669	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2	2253906	Hs.173135	DYRK2	12q14.2
4.91	0.000009	100	1.201	0.753	164370	early growth response 1	1705208	Hs.326035	EGR1	5q31.1
4.37	0.000054	100	1.193	0.969	167074	related RAS viral (r-ras) oncogene homolog	1886886	Hs.9651	RRAS	19q13.3-qter
3.49	0.000953	41	1.188	0.973	165391	ESTs	2817185	Hs.131257		7
3.99	0.000195	100	1.181	0.95	166484	chromodomain helicase DNA binding protein 5	2736350	Hs.45207	CHD5	20q12
3.79	0.000366	100	1.179	0.953	168451	ESTs	3254319	Hs.371883		13
-3.64	0.000596	92	1.177	1.811	162001	beta-2-microglobulin	3681722	Hs.48516	B2M	15q21-q22.2
4.08	0.00014	100	1.171	0.954	166808	ESTs, Weakly similar to hypothetical protein FLJ20958 [Homo sapiens] [H.sapiens]	1220258	Hs.25661		6
3.86	0.000287	100	1.155	0.944	164255	hypothetical protein FLJ14054	2494291	Hs.13528	FLJ14054	5p13.3
3.54	0.000797	59	1.137	0.916	166232	SKI-like	2935554	Hs.38783	SKIL	3q26
4.45	0.000041	100	1.126	0.904	165290	potassium large conductance calcium-activated channel, subfamily M beta member 3	2728225	Hs.276973	KCNMB3	3q26.3-q27
-3.6	0.000672	81	1.063	1.582	161612	integral membrane protein 2B	3096030	Hs.239625	ITM2B	13q14.3
3.54	0.000805	49	1.058	0.907	163359	ESTs, Weakly similar to hypothetical protein FLJ20489 [Homo sapiens] [H.sapiens]	3099581	Hs.98484		3
3.74	0.000431	100	1.056	0.837	166546	Homo sapiens cDNA FLJ20848 fis, clone ADKA01732, mRNA sequence	2243733	Hs.325825		16
3.99	0.000192	100	1.052	0.855	165089	MAX dimerization protein 1	68892	Hs.379930	MAD	2p13-p12
4.55	0.000028	100	0.993	0.807	166781	sperm associated antigen 9	2004896	Hs.129872	SPAG9	17q21.33
-4.29	0.000069	100	0.992	1.186	163108	citron (rho-interacting, serine/threonine kinase 21)	2839995	Hs.15767	CIT	12q
4.03	0.000166	100	0.976	0.758	160978	insulin-like growth factor binding protein 5	2212182	Hs.416739	IGFBP5	2q33-q36
-3.61	0.000644	80	0.97	1.111	162394	KIAA0143 protein	1739863	Hs.84087	KIAA0143	8q24.22
-3.51	0.000881	44	0.964	1.172	165793	peroxisomal biogenesis factor 7	2722756	Hs.79993	PEX7	6q21-q22.2
-4.38	0.000051	100	0.955	1.28	165775	ecotropic viral integration site 2A	511738	Hs.70499	EVI2A	17q11.2
-3.88	0.000271	100	0.955	1.371	160674	cellular repressor of E1A-stimulated genes	2791206	Hs.5710	CREG	1q24
-4.01	0.000179	100	0.945	1.109	160475	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	2288241	Hs.79089	SEMA4D	9q22-q31
3.52	0.000886	47	0.926	0.766	166379	ESTs, Weakly similar to hypothetical protein FLJ20378 [Homo sapiens] [H.sapiens]	1782392	Hs.10745		1
-3.72	0.000461	98	0.91	1.156	167500	Nijmegen breakage syndrome 1 (nibrin)	1801931	Hs.25812	NBS1	8q21-q24
-4.83	0.000015	100	0.909	1.107	162930	WD repeat endosomal protein	1732419	Hs.109778	KIAA1449	3p21.33
-4.15	0.000114	100	0.904	1.113	166728	collagen, type XVIII, alpha 1	1665141	Hs.78409	COL18A1	21q22.3
-3.87	0.000285	100	0.903	1.132	166900	likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein	429577	Hs.44208	FLJ23153	7q21.12
-4.06	0.000149	100	0.902	1.165	161672	membrane-bound transcription factor protease, site 2	1302425	Hs.350970	MBTPS2	Xp22.1-p22.2
-3.98	0.000195	100	0.899	1.059	162386	cullin 4A	1997406	Hs.183874	CUL4A	13q34
-3.57	0.000743	63	0.899	1.138	162940	Homo sapiens EST from clone 491476, full insert, mRNA sequence	2135464	Hs.433668		21
3.8	0.000356	100	0.897	0.743	166331	Arg/Abl-interacting protein ArgBP2	1495766	Hs.379795	ARGBP2	4q35.1
-3.72	0.000474	98	0.893	1.177	159812	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	1806071	Hs.50964	CEACAM1	19q13.2
-3.77	0.000394	100	0.888	1.147	165535	Homo sapiens, clone IMAGE:5264735, mRNA, mRNA sequence	1987975	Hs.184592		12
-3.54	0.000805	54	0.882	1.092	168801	glycoprotein Ib (platelet), alpha polypeptide	160805	Hs.1472	GP1BA	17pter-p12
-3.47	0.000987	36	0.882	1.12	163419	calmin (calponin-like, transmembrane)	1464613	Hs.406099	CLMN	14q32.2
4.59	0.000027	100	0.878	0.653	166559	hypothetical protein MGC23280	1921856	Hs.5163	MGC23280	17q11.1
-4.52	0.000032	100	0.873	1.122	169387	intersectin 2	817836	Hs.166184	ITSN2	2pter-p25.1
-3.68	0.000527	97	0.872	1.219	159918	myeloid differentiation primary response gene (88)	1879114	Hs.82116	MYD88	3p22
-3.64	0.000612	86	0.871	1.009	160427	transient receptor potential cation channel, subfamily C, member 3	2279645	Hs.150981	TRPC3	4q27
-4.74	0.000015	100	0.867	1.087	161382	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	3751844	Hs.109646	NDUFB6	9p13.3
-3.52	0.000864	51	0.867	1.092	160281	ubiquitin specific protease 15	639098	Hs.23168	USP15	12q14
-3.48	0.000965	46	0.864	0.971	163056	hypothetical protein DKFZp564A176	1354558	Hs.432329	DKFZp564A 176	3q21.2
-3.48	0.000969	34	0.863	1.092	163271	signal peptidase 12kDa	374570	Hs.11125	SPC12	3p21.31
-3.84	0.000308	100	0.861	1.15	162942	mitogen-activated protein kinase kinase kinase kinase 4	1306496	Hs.3628	MAP4K4	2q11.2-q12
-3.61	0.000686	80	0.861	1.068	167785	immunoglobulin mu binding protein 2	1920719	Hs.1521	IGHMBP2	11q13.2-q13.4
-3.48	0.000973	37	0.858	1.038	162744	programmed cell death 5	2095728	Hs.166468	PDCD5	19q12-q13.1
-3.6	0.00067	76	0.853	1.027	162111	mitochondrial ribosomal protein L40	2060066	Hs.19500	MRPL40	22q11.21
-4.41	0.000047	100	0.852	1.011	163054	VAMP (vesicle-associated membrane protein)-associated protein B and C	2469612	Hs.182625	VAPB	20q13
-3.84	0.000313	100	0.852	0.99	162908	RAB21, member RAS oncogene family	2597109	Hs.184627	RAB21	12q15
-3.76	0.000399	100	0.852	1.018	162336	likely ortholog of mouse membrane bound C2 domain containing protein	1995174	Hs.8309	MBC2	12q13.13
-3.94	0.000223	100	0.85	0.974	168666	methyl-CpG binding domain protein 1	1922017	Hs.6211	MBD1	18q21
-3.52	0.00085	47	0.85	1.466	167207	flavin containing monooxygenase 3	2590673	Hs.80876	FMO3	1q23-q25
-3.68	0.000511	97	0.848	1.012	163102	hypothetical protein BC015139	2069305	Hs.422113	LOC118472	10q26.3
-4.31	0.000066	100	0.845	1.097	168428	runt-related transcription factor 3	885297	Hs.170019	RUNX3	1p36
-3.97	0.000207	100	0.842	1.189	164839	ubiquitin specific protease 9, X chromosome (fat facets-like Drosophila)	1001245	Hs.77578	USP9X	Xp11.4
3.87	0.000283	100	0.841	0.725	169566	RAP1, GTPase activating protein 1	1439934	Hs.433797	RAP1GA1	1p36.1-p35
-3.5	0.000908	37	0.838	1.095	167539	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa	1984615	Hs.109760	NDUFB3	2q31.3
-3.94	0.000227	100	0.837	1.073	165780	KIAA0107 gene product	1438533	Hs.23488	KIAA0107	3p14.3
-3.5	0.000919	44	0.829	1.05	160545	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	645344	Hs.201676	MPHOSPH1 0	2p12
-3.49	0.000948	34	0.828	1.128	160199	translocase of outer mitochondrial membrane 20 (yeast) homolog	664060	Hs.75187	TOMM20-PENDI	1q42
-3.73	0.00044	100	0.827	1.03	160227	oxidase (cytochrome c) assembly 1-like	2055587	Hs.151134	OXA1L	14q11.2
-3.56	0.000746	58	0.821	1.093	168290	coagulation factor X	946822	Hs.47913	F10	13q34
-3.56	0.000753	63	0.821	1.164	167054	ESTs	767388	Hs.122155		6
-3.6	0.000666	71	0.816	0.988	160186	5-methyltetrahydrofolate-homocysteine methyltransferase	485914	Hs.82283	MTR	1q43
-4.07	0.000183	100	0.815	1.297	167707	aspartoacylase (aminoacylase 2, Canavan disease)	4343069	Hs.32042	ASPA	17pter-p13
-3.81	0.000356	100	0.811	0.992	162646	EBNA1 binding protein 2	1959830	Hs.346868	EBNA1BP2	1p35-p33
-4.47	0.000037	100	0.81	0.997	160754	biotinidase	1623592	Hs.78885	BTD	3p25
-4.29	0.00007	100	0.808	0.965	169117	lysophospholipase I	1811857	Hs.12540	LYPLA1	8q11.23
-3.89	0.000265	100	0.805	1.001	161046	chromodomain helicase DNA binding protein 1-like	2661518	Hs.14570	CHD1L	1q12
-3.52	0.000878	42	0.804	0.94	166939	CCAAT-box-binding transcription factor	1392419	Hs.184760	CBF2	2p23.1
-4.19	0.000099	100	0.8	0.898	162710	EST, Weakly similar to S10889 proline-rich protein -human [H.sapiens]	2258254	Hs.415040
-3.87	0.000286	100	0.799	0.933	169639	seven in absentia homolog 1 (Drosophila)	1994664	Hs.295923	SIAH1	16q12
-3.72	0.000457	100	0.799	0.983	165888	FLN29 gene product	267589	Hs.5148	FLN29	12q
-3.7	0.000491	100	0.799	1.146	163736	2,3-cyclic nucleotide 3 phosphodiesterase	2506280
-3.61	0.000656	75	0.799	0.941	159824	non-POU domain containing, octamer-binding	1900191	Hs.172207	NONO	Xq13.1
-3.48	0.000998	39	0.799	1.051	165789	ATP-binding cassette, sub-family B (MDR/TAP), member 10	1725719	Hs.1710	ABCB10	1q42
-3.82	0.000334	100	0.79	0.962	167517	flavin containing monooxygenase 4	2462342	Hs.2664	FMO4	1q23-q25
-3.64	0.00058	88	0.79	0.958	164758	SET domain and mariner transposase fusion gene	1690669	Hs.265855	SETMAR	3p26.2
-4.38	0.000052	100	0.788	0.977	162542	methyl-CpG binding domain protein 1	819925	Hs.6211	MBD1	18q21
-3.62	0.000634	78	0.786	0.926	162904	Notch homolog 2 (Drosophila)	1820127	Hs.8121	NOTCH2	1p13-p11
-4.1	0.000131	100	0.785	0.946	167151	SFRS protein kinase 1	392166	Hs.75761	SRPK1	6p21.3-p21.2
-4.92	0.000008	100	0.784	1.029	163758	Homo sapiens mRNA; cDNA DKFZp434E0626 (from clone DKFZp434E0626), mRNA sequence	2253707	Hs.30957		12
-3.73	0.000437	100	0.782	0.966	166011	tumor protein p53-binding protein	659473	Hs.179982	TP53BPL	9p21
-3.53	0.000826	47	0.782	1.05	166680	cyclin G1	1684890	Hs.79101	CCNG1	5q32-q34
-3.94	0.000224	100	0.78	0.932	162963	Homo sapiens cDNA FLJ11842 fis, clone HEMBA1006652, weakly similar to 60S RIBOSOMAL PROTEIN L7, mRNA sequence	1910895	Hs.406481		6
-3.5	0.000898	34	0.776	1.116	162187	solute carrier family 16 (monocarboxylic acid transporters), member 1	733668	Hs.75231	SLC16A1	1p12
-3.78	0.000375	100	0.771	1.079	160267	succinate dehydrogenase complex, subunit D, integral membrane protein	1773452	Hs.168289	SDHD	11q23
-3.53	0.000818	56	0.768	0.91	169219	tubulin, beta, 5	1724809	Hs.110837	TUBB5	19p13.3
-3.5	0.000897	42	0.767	0.937	164654	tetratricopeptide repeat domain 3	1871722	Hs.118174	TTC3	21q22.2
-3.97	0.000201	100	0.765	1.302	168236	inter-alpha (globulin) inhibitor, H2 polypeptide	167134	Hs.75285	ITIH2	10p15
-3.48	0.000969	37	0.764	0.882	167661	ectonucleotide pyrophosphatase/phosphodiesterase 3	1807264	Hs.264750	ENPP3	6q22
-3.96	0.000211	100	0.763	1.13	169311	acid sphingomyelinase-like phosphodiesterase	1695477	Hs.42945	ASM3A	6
-3.58	0.000721	71	0.762	1.006	162115	unr-interacting protein	2110	Hs.3727	UNRIP	12p12.3
-3.48	0.000967	37	0.758	1.032	161547	tubulin-specific chaperone a	3086871	Hs.433254	TBCA	5q13.3
-4.17	0.000104	100	0.752	0.914	164728	vesicle transport-related protein	1304678	Hs.27023	RA410	14q12
-3.6	0.000658	71	0.752	1.171	164816	solute carrier family 35 (UDP-galactose transporter), member 2	1701726	Hs.21899	SLC35A2	Xp11.23-p11.22
-4.66	0.000019	100	0.748	0.928	165838	transmembrane 4 superfamily member 2	1986737	Hs.82749	TM4SF2	Xq11.4
-3.49	0.000952	37	0.747	0.934	160253	heterogeneous nuclear ribonucleoprotein H1 (H)	818917	Hs.245710	HNRPH1	5q35.3
-4.89	0.000009	100	0.746	0.981	164846	Homo sapiens cDNA FLJ11174 fis, clone PLACE1007367, mRNA sequence	2922560	Hs.24359		1
-3.52	0.000855	42	0.746	1.093	167413	microsomal triglyceride transfer protein (large polypeptide, 88kDa)	1427623	Hs.195799	MTP	4q24
-3.88	0.000278	100	0.743	0.856	160859	SEC63 protein	1857856	Hs.31575	SEC63L	6q21
-3.61	0.000648	81	0.743	0.953	163935	KIAA0254 gene product	1712973	Hs.76906	KIAA0254	11q25
-3.79	0.000367	100	0.742	0.904	163824	uracil-DNA glycosylase	1405652	Hs.78853	UNG	12q23-q24.1
-3.71	0.000477	95	0.741	1.336	164998	carbamoyl-phosphate synthetase 1, mitochondrial	1633340	Hs.50966	CPS1	2q35
-4.03	0.000167	100	0.74	0.87	162508	KIAA0710 gene product	2328327	Hs.273397	KIAA0710	12q13.2-q13.3
