Probe set	Common name	GeneBank	Description
210140_at	CST7	AF031824	cystatin F (leukocystatin)
209993_at	ABCB1	AF016535	ATP-binding cassette, sub-family B (MDR/TAP), member 1
209813_x_at	TRGV9	M16768	T-cell receptor (V-J-C) precursor; Human T-cell receptor gamma chain VJCI-CII-CIII region mRNA, complete cds.
208983_s_at	PECAM1	M37780	platelet/endothelial cell adhesion molecule (CD31 antigen)
208982_at	PECAM1	AW574504	UI-HF-BK0-aab-h-05-0-UI.s1 NIH_MGC_36 Homo sapiens cDNA clone IMAGE:3053409 3, mRNA sequence.
207979_s_at	CD8B1	NM_004931	CD8 antigen, beta polypeptide 1 (p37)
207840_at	CD160	NM_007053	CD160 antigen
207795_s_at	KLRD1	AB009597	killer cell lectin-like receptor subfamily D, member 1
207723_s_at	KLRC3	NM_002261	synonyms: NKG2E, NKG2-E; isoform NKG2-E is encoded by transcript variant NKG2-E; go_component: integral to membrane [goid 0016021] [evidence IEA]; go_function: transmembrane receptor activity [goid 0004888] [evidence TAS] [pmid 9683661]; go_function: lectin [goid 0005530] [evidence IEA]; go_function: sugar binding [goid 0005529] [evidence IEA]; go_process: cellular defense response [goid 0006968] [evidence TAS] [pmid 9683661]; go_process: heterophilic cell adhesion [goid 0007157] [evidence IEA]; Homo sapiens killer cell lectin-like receptor subfamily C, member 3 (KLRC3), transcript variant NKG2-E, mRNA.
207314_x_at	KIR2DL3	NM_006737	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1
207001_x_at	DSIPI	NM_004089	delta sleep inducing peptide, immunoreactor
206914_at	CRTAM	NM_019604	class-I MHC-restricted T cell associated molecule
206785_s_at	KLRC1	NM_002260	killer cell lectin-like receptor subfamily C, member 2
206666_at	GZMK	NM_002104	granzyme K (serine protease, granzyme 3; tryptase II)
206366_x_at	XCL1	U23772	chemokine (C motif) ligand 1
206365_at	XCL1	NM_002995	chemokine (C motif) ligand 1
206267_s_at	MATK	NM_002378	megakaryocyte-associated tyrosine kinase
206118_at	STAT4	NM_003151	signal transducer and activator of transcription 4
205821_at	KLRK1	NM_007360	killer cell lectin-like receptor subfamily K, member 1
205758_at	CD8A	AW006735	CD8 antigen, alpha polypeptide (p32)
205495_s_at	GNLY	NM_006433	granulysin
205336_at	PVALB	NM_002854	parvalbumin
204655_at	CCL5	NM_002985	chemokine (C-C motif) ligand 5
204011_at	SPRY2	NM_005842	sprouty homolog 2 (Drosophila)
203413_at	NELL2	NM_006159	NEL-like 2 (chicken)
202806_at	DBN1	NM_004395	drebrin 1
202196_s_at	DKK3	NM_013253	dickkopf homolog 3 (Xenopus laevis)
201506_at	TGFBI	NM_000358	transforming growth factor, beta-induced, 68kDa
201161_s_at	CSDA	NM_003651	cold shock domain protein A
201160_s_at	CSDA	AL556190	cold shock domain protein A
1555938_x_at	VIM	AI520969	Vimentin
1555759_a_at	CCL5	AF043341	chemokine (C-C motif) ligand 5
1555691_a_at	KLRK1	AF439512	killer cell lectin-like receptor subfamily K, member 1
1405_i_at	CCL5	M21121	chemokine (C-C motif) ligand 5
