List No.	Probe Set	FC(C)	P(C)	FC(T)	P(T)	Gene Symbol	Gene ID	Unigene	Chromosome	Description
541	205946_at	-6	0.03	-14	0.006	VIPR2	7434	Hs.490817	7q36.3	vasoactive intestinal peptide receptor 2
542	214515_at	-5	0.03	-3	0.02	OR1E1	8387	Hs.278485	17p13.3	olfactory receptor, family 1, subfamily E, member 1
543	220665_at	-5	0.03	-4	0.05	LUZP4	51213	Hs.242183	Xq24	HOM-TES-85 tumor antigen
544	202990_at	-4	0.03	-3	0.04	PYGL	5836	Hs.282417	14q21-q22	phosphorylase, glycogen; liver
545	216464_x_at	-4	0.03	-4	0.03	GPR44	11251	Hs.299567	11q12-q13.3	G protein-coupled receptor 44
546	216719_s_at	-4	0.03	-10	0.007	RAB11FIP4	84440	Hs.406788	4q25	RAB11 family interacting protein 4 (class II)
547	202081_at	-3	0.03	-2	0.05	IER2	9592	Hs.501629	19p13.13	immediate early response 2
548	202552_s_at	-3	0.03	-19	0.0000009	CRIM1	51232	Hs.332847	2p21	cysteine-rich motor neuron 1
549	202704_at	-3	0.03	-6	0.002	TOB1	10140	Hs.531550	17q21	transducer of ERBB2, 1
550	210540_s_at	-3	0.03	-3	0.03	B4GALT4	8702	Hs.13225	3q13.3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
551	213056_at	-3	0.03	-5	0.04	FRMD4B	23150	Hs.371681	3p14.2	GRP1-binding protein GRSP1
552	214905_at	-3	0.03	-6	0.02	LOC145899	145899	Hs.459035	15q24.2	hypothetical protein LOC145899
553	217252_at	-3	0.03	-3	0.02	OSIL	54211			oxidative stress induced like
554	202192_s_at	-2	0.03	-2	0.03	GAS7	8522	Hs.462214	17p13.1	growth arrest-specific 7
555	202822_at	-2	0.03	-2	0.04	LPP	4026	Hs.444362	3q27-q28	LIM domain containing preferred translocation partner in lipoma
556	204872_at	-2	0.03	-21	0.002	TLE4	7091	Hs.444213	9q21.32	transducin-like enhancer of split 4
557	205233_s_at	-2	0.03	-2	0.02	PAFAH2	5051	Hs.477083	1p34.3	platelet-activating factor acetylhydrolase 2, 40kDa
558	206658_at	-2	0.03	-2	0.01	UPK3B	80761	Hs.488861	7q11.2	uroplakin 3B
559	207395_at	-2	0.03	-2	0.03	BTN1A1	696	Hs.153058	6p22.1	butyrophilin, subfamily 1, member A1
560	209535_s_at	-2	0.03	-2	0.03	AKAP13	11214	Hs.459211	15q24-q25	A kinase (PRKA) anchor protein 13
561	210734_x_at	-2	0.03	-2	0.03	MAX	4149	Hs.285354	14q23	MAX protein
562	210894_s_at	-2	0.03	-1	0.003	CEP2	11190	Hs.443976	20q11.22-q12	centrosomal protein 2
563	212067_s_at	-2	0.03	-2	0.005	C1R	715	Hs.524224	12p13	complement component 1, r subcomponent
564	215337_at	-2	0.03	-3	0.02	THRAP4	9862	Hs.462983	17q21.2	thyroid hormone receptor associated protein 4
565	221493_at	-2	0.03	-8	0.0004	TSPYL	7259	Hs.458358	6q22-q23	TSPY-like 1
566	200025_s_at	-1	0.03	-2	0.04	RPL27	6155	Hs.514196	17q21.1-q21.2	ribosomal protein L27
567	217689_at	-1	0.03	-2	0.05	PTPN1	5770	Hs.417549	20q13.1-q13.2	protein tyrosine phosphatase, non-receptor type 1
568	212822_at	-9	0.04	-7	0.02	HEG	57493	Hs.477420	3q21.2	HEG homolog
569	219601_s_at	-8	0.04	-7	0.02	C10orf12	26148	Hs.14555	10q24.2	chromosome 10 open reading frame 12
570	202393_s_at	-7	0.04	-10	0.03	TIEG	7071	Hs.435001	8q22.2	TGFB inducible early growth response
571	218499_at	-7	0.04	-7	0.007	MST4	51765	Hs.444247	Xq26.2	Mst3 and SOK1-related kinase
572	215879_at	-6	0.04	-16	0.002	ITGB1	3688	Hs.429052	10p11.2	integrin, beta 1
573	210450_at	-5	0.04	-10	0.01	LOC90925	90925	Hs.81221	14q32.33	hypothetical protein LOC90925
574	214216_s_at	-5	0.04	-5	0.03	KIAA0217	23185	Hs.498455	10p15.3	KIAA0217
575	214270_s_at	-5	0.04	-4	0.03	MAPRE3	22924	Hs.515860	2p23.3-p23.1	microtubule-associated protein, RP/EB family, member 3
576	221389_at	-4	0.04	-11	0.001	PLA2G2E	30814	Hs.272372	1p36.13	phospholipase A2, group IIE
577	222126_at	-4	0.04	-2	0.03	IRS3L	3668	Hs.521083	7q22.1	HIV-1 Rev binding protein-like
578	204041_at	-3	0.04	-15	0.01	MAOB	4129	Hs.46732	Xp11.23	monoamine oxidase B
579	210002_at	-3	0.04	-5	0.004	GATA6	2627	Hs.514746	18q11.1-q11.2	GATA binding protein 6
580	214725_at	-3	0.04	-5	0.02	RPESP	157869	Hs.439040	8q13.3	RPE-spondin
581	215816_at	-3	0.04	-4	0.05	IGLL2	3544		22q11.2	immunoglobulin lambda-like polypeptide 2
582	216577_at	-3	0.04	-2	0.005	RPS11P1	128718		20p12.2	ribosomal protein S11, pseudogene 1
583	219948_x_at	-3	0.04	-7	0.03	FLJ21934	79799	Hs.122583	4q13.3	hypothetical protein FLJ21934
584	220913_at	-3	0.04	-5	0.01	MGRN1	23295	Hs.526494	16p13.3	Hypothetical protein FLJ21497
585	200732_s_at	-2	0.04	-12	0.01	PTP4A1	7803	Hs.227777	6q12	protein tyrosine phosphatase type IVA, member 1
586	201020_at	-2	0.04	-3	0.02	YWHAH	7533	Hs.226755	22q12.3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein
587	201409_s_at	-2	0.04	-3	0.009	PPP1CB	5500	Hs.468018	2p23	protein phosphatase 1, catalytic subunit, beta isoform
588	201738_at	-2	0.04	-6	0.002	GC20	10289	Hs.315230	3p21.33	translation factor sui1 homolog
589	202378_s_at	-2	0.04	-2	0.04	LEPROT	54741	Hs.23581	1p31.3	leptin receptor gene-related protein
590	203139_at	-2	0.04	-5	0.0007	DAPK1	1612	Hs.380277	9q34.1	death-associated protein kinase 1
591	204934_s_at	-2	0.04	-3	0.04	HPN	3249	Hs.182385	19q11-q13.2	hepsin (transmembrane protease, serine 1)
592	207585_s_at	-2	0.04	-2	0.02	RPL36AL	6166	Hs.444749	11p15.1	ribosomal protein L36a-like
593	207825_s_at	-2	0.04	-4	0.007	GHRHR	2692	Hs.767	7p14	growth hormone releasing hormone receptor
594	210090_at	-2	0.04	-2	0.02	ARC	23237	Hs.40888	8q24.3	activity-regulated cytoskeleton-associated protein
595	210276_s_at	-2	0.04	-2	0.02	HRIHFB2122	11078	Hs.533030	22q13.1	Tara-like protein
596	212071_s_at	-2	0.04	-3	0.002	SPTBN1	6711	Hs.503178	2p21	spectrin, beta, non-erythrocytic 1
597	213946_s_at	-2	0.04	-2	0.04	KIAA0657	23363	Hs.526594	2q36.1	KIAA0657 protein
598	215577_at	-2	0.04	-2	0.007	UBE2E1	7324	Hs.164853	3p24.2-p24.1	ubiquitin-conjugating enzyme E2E 1
599	216033_s_at	-2	0.04	-2	0.02	FYN	2534	Hs.390567	6q21	FYN oncogene related to SRC, FGR, YES
600	217029_at	-2	0.04	-2	0.02	BAX	581	Hs.159428	19q13.3-q13.4	BCL2-associated X protein
601	217160_at	-2	0.04	-2	0.03	TSPY	7258	Hs.458252	Yp11.2	testis specific protein, Y-linked 1
602	219614_s_at	-2	0.04	-6	0.03	SLC6A20	54716	Hs.413095	3p21.3	solute carrier family 6, member 20
603	200945_s_at	-1	0.04	-3	0.01	SEC31L1	22872	Hs.370024	4q21.3	SEC31-like 1 (S. cerevisiae)
604	209018_s_at	-1	0.04	-2	0.02	PINK1	65018	Hs.389171	1p36	PTEN induced putative kinase 1
605	209808_x_at	-1	0.04	-2	0.03	ING1	3621	Hs.46700	13q34	inhibitor of growth family, member 1
606	217999_s_at	-10	0.05	-7	0.04	PHLDA1	22822	Hs.82101	12q15	pleckstrin homology-like domain, family A, member 1
607	207182_at	-4	0.05	-3	0.03	GABRA6	2559	Hs.90791	5q34	gamma-aminobutyric acid (GABA) A receptor, alpha 6
608	217721_at	-4	0.05	-2	0.03	CDC10	989	Hs.191346	7p14.3-p14.1	CDC10 cell division cycle 10 homolog (S. cerevisiae)
609	220648_at	-4	0.05	-9	0.003	ADARB2	105	Hs.369716	10p15.3	adenosine deaminase, RNA-specific, B2
610	210986_s_at	-3	0.05	-3	0.04	TPM1	7168	Hs.133892	15q22.1	tropomyosin 1 (alpha)
611	211008_s_at	-3	0.05	-5	0.01	UBE2I	7329	Hs.302903	16p13.3	ubiquitin-conjugating enzyme E2I
612	213376_at	-3	0.05	-7	0.0006	ZBTB1	22890	Hs.400802	14q23.3	zinc finger and BTB domain containing 1
613	215345_x_at	-3	0.05	-5	0.02	LOC442533		Hs.373504	7	similar to T-cell receptor gamma chain V region PT-gamma-1/2 precursor
614	221463_at	-3	0.05	-12	0.002	CCL24	6369	Hs.247838	7q11.23	chemokine (C-C motif) ligand 24
615	200741_s_at	-2	0.05	-4	0.002	RPS27	6232	Hs.504517	1q21	ribosomal protein S27 (metallopanstimulin 1)
616	202265_at	-2	0.05	-2	0.009	BMI1	648	Hs.380403	10p11.23	B lymphoma Mo-MLV insertion region (mouse)
617	207641_at	-2	0.05	-2	0.02	TNFRSF13B	23495	Hs.158341	17p11.2	tumor necrosis factor receptor superfamily, member 13B
618	209075_s_at	-2	0.05	-3	0.01	ISCU	23479	Hs.350702	12q24.1	iron-sulfur cluster assembly enzyme
619	213991_s_at	-2	0.05	-4	0.01	HS3ST1	9957	Hs.507348	4p16	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
