Symbol	Gene name	GenBank accession no.	Fold change	Function
EFNB2	Ephrin-B2	AI765533	-3.2	Cell motility
MDK	Midkine (NEGF2)	X55110	-14.6	Cell motility
SEMA3C	Semaphorin 3C/formerly semaphorin E	AB000220	-28.8	Cell motility
SEMA7A	Semaphorin 7A/formerly semaphorin L	AF030698	-5.8	Cell motility
DKFZp56411922	Adlican	AL049946	-2.5	ECM
CRTL1	Cartilage-linking protein 1	U43328	-83.6	ECM
CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	X15998	-204.5	ECM
COL8A1	Collagen, type VIII, alpha 1	X57527	-7.1	ECM
COL15A1	Collagen, type XV, alpha 1	L25286	-59.4	ECM
COL16A1	Collagen, type XVI, alpha 1	M92642	-5.5	ECM
EFEMP1	EGF-containing fibulin-like ECM protein 1	U03877	-9.5	ECM
ELN	Elastin (SVAS, WBS)	X52896	-39.9	ECM
FBN1	Fibrillin 1 (MFS1)	X63556	-4.2	ECM
FMOD	Fibromodulin	U05291	-5.6	ECM
FN1	Fibronectin 1	X02761	-2.9	ECM
FBLN1	Fibulin 1	U01244	-13.8	ECM
HSPG2	Heparan sulfate proteoglycan 2 (perlecan)	M85289	-4.1	ECM
HAS2	Hyaluronan synthase 2	U54804	-163.3	ECM
LAMA2	Laminin, alpha2 (merosin)	Z26653	-10.1	ECM
LAMA4	Laminin, alpha4	S78569	-6	ECM
LTBP1	Latent transforming growth factor beta binding protein 1	M34057	-48	ECM
LTBP2	Latent transforming growth factor beta binding protein 2	Z37976	-11.5	ECM
LUM	Lumican	U21128	-52.8	ECM
MAGP2	Microfibril-associated glycoprotein-2	U37283	-17.1	ECM
MFAP4	Microfibrillar-associated protein 4	L38486	-10.6	ECM
SGCD	Sarcoglycan, delta (35DAG)	X95191	-30.1	ECM
SPP1	Secreted phosphoprotein 1 (osteopontin, BSP1, ETA-1)	AF052124	-10.2	ECM
SULF1	Sulfatase 1	AB029000	-73.3	ECM
THBS1	Thrombospondin 1	X14787	-23.5	ECM
ADAMTS2	A disintegrin-like and metalloprotease with thrombospondin type 1 motif 2	AJ003125	-19.6	Proteolysis
CPE	Carboxypeptidase E	X51405	-8.3	Proteolysis
C1R	Complement component 1, r subcomponent	M14058	-5.3	Proteolysis
C1S	Complement component 1, s subcomponent	J04080	-4.3	Proteolysis
RECK	Reversion-inducing-cysteine-rich protein with kazal motifs	D50406	-11.5	Proteolysis
SERPING1	Serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor) 1	X54486	-8.5	Proteolysis
TFP12	Tissue factor pathway inhibitor 2 (PP5)	D29992	-29.6	Proteolysis
TIMP1	Tissue inhibitor of metalloproteinase 1 (EPA, CLG1)	D11139	-2.9	Proteolysis
ACVR2	Activin A receptor II	D31770	-3.3	Membrane receptors
F2RL1	Coagulation factor II (thrombin) receptor-like I (PAR2)	U67058	-9.2	Membrane receptors
EDNRA	Endothelin receptor type A	D11151	-9.3	Membrane receptors
FZD1	Frizzled homolog 1	AB017363	-4.4	Membrane receptors
FZD7	Frizzled homolog 7	AB017365	-3.4	Membrane receptors
GPR51	G protein-coupled receptor 51	AF056085	-6.8	Membrane receptors
IL1R1	Interleukin 1 receptor 1	M27492	-2.5	Membrane receptors
PLXNA2	Plexin A2	AB007932	-4	Membrane receptors
PLXND1	Plexin D1	AB014520	-2.9	Membrane receptors
PTGER2	Prostaglandin E receptor 2 (subtype EP2), 53kDa	U19487	-4.3	Membrane receptors
ADCY9	Adenylate cyclase 9	AF036927	-3.3	Signal transduction
BDKRB2	Bradykinin receptor B2	M88714	-4	Signal transduction
CBLB	cas-Br-M (murine) ecotropic retroviral transforming sequence b	U26710	-4.7	Signal transduction
CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	L33930	-134.4	Signal transduction
CRABP2	Cellular retinoic acid binding protein 2	M97815	-27.8	Signal transduction
DAB2	Disabled homolog 2, mitogen-responsive phosphoprotein	U53446	-2.7	Signal transduction
DOK1	Docking protein 1 (p62dok)	U70987	-2.8	Signal transduction
DOK5	Docking protein 5	AL050069	-11.2	Signal transduction
EFS	Embryonal Fyn-associated substrate	AB001466	-8.2	Signal transduction
GS3955	GS3955 protein	D87119	-11.1	Signal transduction
HCK	Hemopoietic cell kinase	M16592	-3.3	Signal transduction
QK1	Homolog of mouse quaking QK1 (KH domain RNA binding protein)	AL031781	-4.7	Signal transduction
INHBB	Inhibin, beta B (activin AB beta polypeptide)	M31682	-51.4	Signal transduction
MRAS	Muscle Ras oncogene homolog	AF043938	-3.4	Signal transduction
NEK7	NIMA (never in mitosis gene a)-related kinase 7	AL080111	-2.8	Signal transduction
PFTK1	PFTAIRE protein kinase 1	AB020641	-3.9	Signal transduction
PDE4B	Phosphodiesterase 4B, cAMP-specific (PDE4 dunce homolog)	L20971	-17.8	Signal transduction
PTN	Pleiotrophin (HBGF8, NEGF1)	M57399	-8.4	Signal transduction
PENK	Preproenkephalin	J00123	-33.1	Signal transduction
PTGS2	Prostaglandin-endoperoxide synthase 2 (PGG/HS, COX2)	U04636	-97.8	Signal transduction
PRKG1	Protein kinase, cGMP-dependent 1	Y07512	-4.5	Signal transduction
PRKCM	Protein kinase C, mu	X75756	-3.1	Signal transduction
PTPRN	Protein tyrosine phosphatase, receptor type, N	L18983	-3	Signal transduction
RAB3B	RAB3B, member RAS oncogene family	M28214	-2.6	Signal transduction
ARHB	Ras homolog gene family, B (RhoB)	M12174	-6.2	Signal transduction
ARHE	Ras homolog gene family, E (RhoE)	S82240	-3.7	Signal transduction
RAC2	Ras-related C3 botulinum toxin substrate 2 (rho family, small GTPBP Rac2)	M64595	-6.5	Signal transduction
ROR1	Receptor tyrosine kinase-like orphan receptor 1	M97675	-2.8	Signal transduction
P164RHOGEF	Rho-specific guanine-nucleotide exchange factor	AB002335	-5.1	Signal transduction
TESK1	Testis-specific kinase 1	D50863	-2.3	Signal transduction
TSPAN-2	Tetraspan 2	AI924594	-5	Signal transduction
TOB1	Transducer of ERBB2, 1	D38305	-2.9	Signal transduction
TGFBR1	Transforming growth factor, beta receptor 1 (ALK-5)	L11695	-3.4	Signal transduction
RALA	v-Ral simian leukemia viral oncogene homolog A (Ras related)	M29893	-3.4	Signal transduction
WASF3	WAS protein family, 3 (brush-1)	S69790	-6.1	Signal transduction
WNT2	Wingless-type MMTV integration site 2	X07876	-14.9	Signal transduction
WNT5A	Wingless-type MMTV integration site 5A	L20861	-7.7	Signal transduction
BHLHB2	Basic helix-loop-helix class B, 2 (DEC1)	AB004066	-4.5	Transcription factors
CUTL1	Cut-like 1, CCAAT displacement protein	L12579	-3.9	Transcription factors
CKTSF1B1	Cysteine knot superfamily, 1, BMP antagonist 1 (gremlin/Drm)	AF045800	-5.5	Transcription factors
CRIP1	Cysteine-rich protein 1 (intestinal)	AI017574	-54.7	Transcription factors
FOXD1	Forkhead box D1	U59831	-4.2	Transcription factors
LDB2	LIM domain binding 2	AF052389	-9.4	Transcription factors
LITAF	Lipopolysaccharide-induced TNF factor	AF010312	-4.4	Transcription factors
NOTCH3	Notch homolog 3	U97669	-19.8	Transcription factors
STAT1	Signal transducer and activator of transcription 1	M97935	-5.1	Transcription factors
TCF7	Transcription factor 7 (T-cell specific, HMG-box)	X59871	-4.7	Transcription factors
TCF21	Transcription factor 21	AF047419	-9.6	Transcription factors
CCND2	Cyclin D2	D13639	-9	Cell cycle and growth
DTR	Diphtheria toxin receptor (HBEGF)	M60278	-10.4	Cell cycle and growth
GAS1	Growth arrest-specific 1	L13698	-6.1	Cell cycle and growth
GAS6	Growth arrest-specific 6	L13720	-6	Cell cycle and growth
IGFBP3	Insulin-like growth factor binding protein 3	M35878	-9.3	Cell cycle and growth
IGFBP4	Insulin-like growth factor binding protein 4	M62403	-4.5	Cell cycle and growth
IGFBP5	Insulin-like growth factor binding protein 5	L27560	-60.6	Cell cycle and growth
IGFBP7	Insulin-like growth factor binding protein 7 (MAC25)	L19182	-4.3	Cell cycle and growth
NRG1	Neuregulin 1	M94167	-5.2	Cell cycle and growth
NTF3	Neurotrophin 3	X53655	-10	Cell cycle and growth
SFRP1	Secreted frizzled-related protein 1	AF056087	-5.2	Cell cycle and growth
FGF2	Fibroblast growth factor 2 (basic)	M27968	-3.4	Cell cycle and growth
FGF5	Fibroblast growth factor 5	M37825	-7	Cell cycle and growth
FGF7	Fibroblast growth factor 7 (KGF)	S81661	-32.7	Cell cycle and growth
TNFRSF6	Tumor necrosis factor receptor superfamily, member 6	X63717	-2.6	Apoptosis
TNFA1P3	Tumor necrosis factor, alpha-induced protein 3	M59465	-5.1	Apoptosis
