ID	GenBank ID	UniGene ID	Description
32530	NM_022487	Hs.28891	severe combined immunodeficiency, type a (Athabascan)
32586	X64643	Hs.301927	c6.1A
15908	U13737	Hs.74552	caspase 3, apoptosis-related cysteine protease
16103	X97335	Hs.78921	A kinase (PRKA) anchor protein 1
16314	X52222	Hs.99987	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
16346	AL117513	Hs.22583	DKFZP434K2235 protein
16517	M18112	Hs.177766	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
16629	X68560	Hs.154295	Sp3 transcription factor
16746	L20298	Hs.179881	core-binding factor, beta subunit
16926	AF022224	Hs.41714	BCL2-associated athanogene
16977	U28369	Hs.82222	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
16984	AF098269	Hs.8944	procollagen C-endopeptidase enhancer 2
17079	X04098	Hs.14376	actin, gamma 1
17168	U01877	Hs.25272	E1A binding protein p300
17198	K02581	Hs.105097	thymidine kinase 1, soluble
17217	X05360	Hs.334562	cell division cycle 2, G1 to S and G2 to M
17362	NM_002577	Hs.284275	p21 (CDKN1A)-activated kinase 2
17509	AF022224	Hs.41714	BCL2-associated athanogene
17705	D79993	Hs.132853	KIAA0171 gene product
17716			LC_17716
17783	U10564	Hs.75188	WEE1+ homolog (S. pombe)
20238	M10277
20239	M10277
20247	M10277
22130	BC009443	Hs.101448	metastasis associated 1
24005	NM_001101	Hs.288061	actin, beta
24231	L10284	Hs.155560	calnexin
24303	AB014561	Hs.65238	ring finger protein 40
24350	D79993	Hs.132853	KIAA0171 gene product
24452	X53505	Hs.339696	ribosomal protein S12
24463	AJ238098	Hs.42438	Sm protein F
24761	U51166	Hs.173824	thymine-DNA glycosylase
24823	M18112	Hs.177766	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
24840	M22632	Hs.170197	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
24888	AB015318	Hs.343244	adaptor-related protein complex 1, gamma 2 subunit
25162	AK002102	Hs.339833	hypothetical protein FLJ11240
26010	U69268	Hs.75253	isocitrate dehydrogenase 3 (NAD+) gamma
26174	AF110647	Hs.28707	signal sequence receptor, gamma (translocon-associated protein gamma)
26950	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
27088	M28212	Hs.5636	RAB6A, member RAS oncogene family
27094	L23959	Hs.79353	transcription factor Dp-1
27118	NM_002577	Hs.284275	p21 (CDKN1A)-activated kinase 2
27234	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
27290			LC_27290
27353	AF156965	Hs.250773	signal sequence receptor, alpha (translocon-associated protein alpha)
27452	U28369	Hs.82222	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B
27566	X02812	Hs.1103	transforming growth factor, beta 1 (Camurati-Engelmann disease)
27655	Z25535	Hs.211608	nucleoporin 153kD
27741	M32294	Hs.16488	calreticulin
27808			LC_27808
28194	M18112	Hs.177766	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
28220	X68560	Hs.154295	Sp3 transcription factor
28465	U13737	Hs.74552	caspase 3, apoptosis-related cysteine protease
28528	Z15005	Hs.75573	centromere protein E (312kD)
28631	U40462	Hs.54452	zinc finger protein, subfamily 1A, 1 (Ikaros)
28690	AF039703	Hs.356442	histone deacetylase 3
28741	U27460	Hs.77837	UDP-glucose pyrophosphorylase 2
28978	X05360	Hs.334562	cell division cycle 2, G1 to S and G2 to M
28989	L20298	Hs.179881	core-binding factor, beta subunit
28990	X05360	Hs.334562	cell division cycle 2, G1 to S and G2 to M
29133	M31328	Hs.71642	guanine nucleotide binding protein (G protein), beta polypeptide 3
29142	NM_000548	Hs.90303	tuberous sclerosis 2
29166	U73824	Hs.183684	eukaryotic translation initiation factor 4 gamma, 2
29219	D63875	Hs.173288	likely ortholog of mouse TPR-containing, SH2-binding phosphoprotein
29459	Z25535	Hs.211608	nucleoporin 153kD
29536	U27460	Hs.77837	UDP-glucose pyrophosphorylase 2
29897	AK001379	Hs.121028	hypothetical protein FLJ10517
30024	X05360	Hs.334562	cell division cycle 2, G1 to S and G2 to M
30209	BC002904	Hs.124	gene predicted from cDNA with a complete coding sequence
30238	U13737	Hs.74552	caspase 3, apoptosis-related cysteine protease
30330	NM_005573	Hs.89497	lamin B1
30442	X58957	Hs.159494	Bruton agammaglobulinemia tyrosine kinase
30566	U25182	Hs.83383	peroxiredoxin 4
30642	X16663	Hs.14601	hematopoietic cell-specific Lyn substrate 1
30765	X79234	Hs.179943	ribosomal protein L11
31011	AL050277	Hs.107476	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g
31046	D83986	Hs.77171	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)
31331	Z15005	Hs.75573	centromere protein E (312kD)
31604			LC_31604
31638			LC_31638
31670	BC000320	Hs.5790	hypothetical protein dJ37E16.5
31792	BC009443	Hs.101448	metastasis associated 1
31794	M77198	Hs.326445	v-akt murine thymoma viral oncogene homolog 2
31796	BC009443	Hs.101448	metastasis associated 1
32091	U20979	Hs.79018	chromatin assembly factor 1, subunit A (p150)
32346	S74221	Hs.8024	IK cytokine, down-regulator of HLA II
32532	D42046	Hs.194665	DNA2 DNA replication helicase 2-like (yeast)
32699	AF274048	Hs.108106	ubiquitin-like, containing PHD and RING finger domains, 1
32825		Hs.149500	ESTs
32896	AF156965	Hs.250773	signal sequence receptor, alpha (translocon-associated protein alpha)
33108	Z25535	Hs.211608	nucleoporin 153kD
33357	NM_002577	Hs.284275	p21 (CDKN1A)-activated kinase 2
34267			LC_34267
34643	D13630	Hs.155291	basic leucine-zipper protein BZAP45
34788	Z21507	Hs.223241	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
34806			LC_34806
34827	X57398	Hs.227823	pM5 protein
34866	AL136565	Hs.20594	hypothetical protein FLJ20203
15861	J02902	Hs.173902	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform
15878	S74221	Hs.8024	IK cytokine, down-regulator of HLA II
15879	S74221	Hs.8024	IK cytokine, down-regulator of HLA II
15910	S57501	Hs.183994	protein phosphatase 1, catalytic subunit, alpha isoform
15934	AF044076	Hs.46700	inhibitor of growth family, member 1
15941			LC_15941
15942	S57501	Hs.183994	protein phosphatase 1, catalytic subunit, alpha isoform
15943	M64929	Hs.179574	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform
15976	X13293	Hs.179718	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
15997	Z15005	Hs.75573	centromere protein E (312kD)
16060	U51004	Hs.256697	histidine triad nucleotide binding protein 1
16121	J03250	Hs.317	topoisomerase (DNA) I
16149	AF039703	Hs.356442	histone deacetylase 3
16289	U14973	Hs.539	ribosomal protein S29
16292	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
16312	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
16327	AF001433	Hs.13495	requiem, apoptosis response zinc finger gene
16376	U47077	Hs.155637	protein kinase, DNA-activated, catalytic polypeptide
16451	X63692	Hs.77462	DNA (cytosine-5-)-methyltransferase 1
16513	M32110	Hs.15243	nucleolar protein 1 (120kD)
16555	D83987	Hs.57101	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
16559	U73477	Hs.285013	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
16668	NM_001641	Hs.73722	APEX nuclease (multifunctional DNA repair enzyme)
16709	AF010313	Hs.343911	etoposide-induced mRNA
16742	Y08614	Hs.79090	exportin 1 (CRM1 homolog, yeast)
16755	U14973	Hs.539	ribosomal protein S29
16765	L22253	Hs.184167	splicing factor, arginine/serine-rich 7 (35kD)
16882	J03198	Hs.73799	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
16889	U15782	Hs.180034	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kD
16948	M13194	Hs.59544	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
16951	X68836	Hs.77502	methionine adenosyltransferase II, alpha
16954	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
16960	AF031385	Hs.8867	cysteine-rich, angiogenic inducer, 61
16975	L38951	Hs.180446	karyopherin (importin) beta 1
17011	NM_005348	Hs.289088	heat shock 90kD protein 1, alpha
17058	J05032	Hs.80758	aspartyl-tRNA synthetase
17064	NM_001126	Hs.90011	adenylosuccinate synthase
17088			LC_17088
17091	U28946	Hs.3248	mutS homolog 6 (E. coli)
17095	X16064	Hs.279860	tumor protein, translationally-controlled 1
17107	U14967	Hs.350077	ribosomal protein L21
17157			LC_17157
17229	U78525	Hs.57783	eukaryotic translation initiation factor 3, subunit 9 (eta, 116kD)
17261	NM_000485	Hs.28914	adenine phosphoribosyltransferase
17286	D38502	Hs.292996	postmeiotic segregation increased 2-like 2
17307	AF024636	Hs.168913	serine/threonine kinase 24 (STE20 homolog, yeast)
17318	NM_005343	Hs.37003	v-Ha-ras Harvey rat sarcoma viral oncogene homolog
17323	D10656	Hs.343220	v-crk sarcoma virus CT10 oncogene homolog (avian)
17335	AB009356	Hs.7510	mitogen-activated protein kinase kinase kinase 7
17352	X66899	Hs.129953	Ewing sarcoma breakpoint region 1
17384	U69126	Hs.91142	KH-type splicing regulatory protein (FUSE binding protein 2)
17481	AF072880	Hs.187991	SOCS box-containing WD protein SWiP-1
17498	AF005043	Hs.91390	poly (ADP-ribose) glycohydrolase
17591	M32110	Hs.15243	nucleolar protein 1 (120kD)
17615	NM_001641	Hs.73722	APEX nuclease (multifunctional DNA repair enzyme)
17674	U15782	Hs.180034	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kD
17691	AB005043	Hs.50640	JAK binding protein
17731	AF010313	Hs.343911	etoposide-induced mRNA
17777	X52222	Hs.99987	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
17781	X65372	Hs.172550	polypyrimidine tract binding protein 1
17798	U21914	Hs.367729	survival of motor neuron 2, centromeric
17808	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
17815	NM_001320	Hs.165843	casein kinase 2, beta polypeptide
17846	M83738	Hs.147663	protein tyrosine phosphatase, non-receptor type 9
17852	X56597	Hs.99853	fibrillarin
17860	Y12556	Hs.6061	protein kinase, AMP-activated, beta 1 non-catalytic subunit
17951	X66899	Hs.129953	Ewing sarcoma breakpoint region 1
19351	NM_005348	Hs.289088	heat shock 90kD protein 1, alpha
23824	Z21507	Hs.223241	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
23826			LC_23826
23834
23871		Hs.170880	ESTs
23907	M84711	Hs.77039	ribosomal protein S3A
23909			LC_23909
23945			LC_23945
23958			LC_23958
24009	BC004531	Hs.6455	RuvB-like 2 (E. coli)
24030			LC_24030
24032	AL136565	Hs.20594	hypothetical protein FLJ20203
24041	M13194	Hs.59544	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
24205	M84711	Hs.77039	ribosomal protein S3A
24220	M17886	Hs.177592	ribosomal protein, large, P1
24238	AF047472	Hs.40323	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
24280			LC_24280
24285	AK001379	Hs.121028	hypothetical protein FLJ10517
24348		Hs.265592	ESTs, Weakly similar to PC4259 ferritin associated protein [H.sapiens]
24384			LC_24384
24412	L38951	Hs.180446	karyopherin (importin) beta 1
24432			LC_24432
24500	M22538	Hs.51299	NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD)
24502	AK022950	Hs.284137	hypothetical protein FLJ12888
24507
24575	D14878	Hs.82043	D123 gene product
24598	AB028986	Hs.12064	ubiquitin specific protease 22
24674	AB028956	Hs.12144	KIAA1033 protein
24704	M58458	Hs.108124	ribosomal protein S4, X-linked
24712	U13737	Hs.74552	caspase 3, apoptosis-related cysteine protease
24713	NM_005573	Hs.89497	lamin B1
24725	L47345	Hs.155202	transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)
24736	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
24753	L20298	Hs.179881	core-binding factor, beta subunit
24771	X63692	Hs.77462	DNA (cytosine-5-)-methyltransferase 1
24825	D50405	Hs.88556	histone deacetylase 1
24833	AK001507	Hs.44143	polybromo 1
24842		Hs.356471	ESTs, Moderately similar to C10H_HUMAN CDC10 PROTEIN HOMOLOG [H.sapiens]
24856	AJ010953	Hs.106778	ATPase, Ca++ transporting, type 2C, member 1
24870	NM_004208	Hs.18720	programmed cell death 8 (apoptosis-inducing factor)
24874	NM_004965	Hs.251064	high-mobility group (nonhistone chromosomal) protein 14
24875	X04098	Hs.14376	actin, gamma 1
24902	AF189722	Hs.104741	T-LAK cell-originated protein kinase
24946	L26050	Hs.81548	2,4-dienoyl CoA reductase 1, mitochondrial
24961	AJ000258	Hs.86041	CGG triplet repeat binding protein 1
25125		Hs.298149	ESTs
26015	M22632	Hs.170197	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
26091	S79522	Hs.3297	ribosomal protein S27a
26096	M63573	Hs.699	peptidylprolyl isomerase B (cyclophilin B)
26121			LC_26121
26147	X81900	Hs.74823	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1 (7.5kD, MWFE)
26163	NM_014248	Hs.279919	ring-box 1
26226			LC_26226
26317	U78723	Hs.16085	putative G-protein coupled receptor
26537	AF201950	Hs.9774	synovial sarcoma translocation gene on chromosome 18-like 2
26586	AF006012	Hs.118640	dishevelled, dsh homolog 2 (Drosophila)
26692			LC_26692
26929	U14973	Hs.539	ribosomal protein S29
26933	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
26935	Y12059	Hs.278675	bromodomain-containing 4
26946	NM_004618	Hs.91175	topoisomerase (DNA) III alpha
26982	X65372	Hs.172550	polypyrimidine tract binding protein 1
27019	J04031	Hs.172665	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
27054	S75174	Hs.108371	E2F transcription factor 4, p107/p130-binding
27056	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
27129	U73477	Hs.285013	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
27132	NM_001320	Hs.165843	casein kinase 2, beta polypeptide
27238	AF010313	Hs.343911	etoposide-induced mRNA
27269	U14973	Hs.539	ribosomal protein S29
27273	L22253	Hs.184167	splicing factor, arginine/serine-rich 7 (35kD)
27282	AF195141	Hs.8148	selenoprotein T
27285	L22253	Hs.184167	splicing factor, arginine/serine-rich 7 (35kD)
27318	U89896	Hs.181390	casein kinase 1, gamma 2
27327	X56597	Hs.99853	fibrillarin
27330	M37104	Hs.73851	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
27372	J03198	Hs.73799	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
27425	M13194	Hs.59544	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
27453	D79993	Hs.132853	KIAA0171 gene product
27479	D21090	Hs.178658	RAD23 homolog B (S. cerevisiae)
27485	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
27497	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
27500	X04098	Hs.14376	actin, gamma 1
27530	NM_001126	Hs.90011	adenylosuccinate synthase
27541	NM_001126	Hs.90011	adenylosuccinate synthase
27577	X16064	Hs.279860	tumor protein, translationally-controlled 1
27595	X74794	Hs.154443	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)
27677	U78525	Hs.57783	eukaryotic translation initiation factor 3, subunit 9 (eta, 116kD)
27714	D14878	Hs.82043	D123 gene product
27751			LC_27751
27805	D10656	Hs.343220	v-crk sarcoma virus CT10 oncogene homolog (avian)
27833	NM_002577	Hs.284275	p21 (CDKN1A)-activated kinase 2
27850	AF010313	Hs.343911	etoposide-induced mRNA
27851	AF010313	Hs.343911	etoposide-induced mRNA
27936	M13194	Hs.59544	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)
27976	L13738	Hs.153937	activated p21cdc42Hs kinase
27996	AF072880	Hs.187991	SOCS box-containing WD protein SWiP-1
28016	AF005043	Hs.91390	poly (ADP-ribose) glycohydrolase
28019	X64643	Hs.301927	c6.1A
28042			LC_28042
28052	NM_005573	Hs.89497	lamin B1
28055			LC_28055
28087			LC_28087
28097	L38951	Hs.180446	karyopherin (importin) beta 1
28135	M36820	Hs.75765	GRO2 oncogene
28137	U09825	Hs.1287	tripartite motif-containing 26
28186	X63692	Hs.77462	DNA (cytosine-5-)-methyltransferase 1
28193	M32110	Hs.15243	nucleolar protein 1 (120kD)
28206	D83987	Hs.57101	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
28218	L07548	Hs.334707	aminoacylase 1
28337	AF097996	Hs.2903	protein phosphatase 4 (formerly X), catalytic subunit
28345	X00737	Hs.75514	nucleoside phosphorylase
28346	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
28351	J03198	Hs.73799	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
28357	X00737	Hs.75514	nucleoside phosphorylase
28358	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
28363	J03198	Hs.73799	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
28376	AF001433	Hs.13495	requiem, apoptosis response zinc finger gene
28386	NM_006342	Hs.104019	transforming, acidic coiled-coil containing protein 3
28413			LC_28413
28422	J02902	Hs.173902	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform
28452	L26050	Hs.81548	2,4-dienoyl CoA reductase 1, mitochondrial
28453	NM_004156	Hs.80350	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
28492	AF044076	Hs.46700	inhibitor of growth family, member 1
28540	U14680	Hs.194143	breast cancer 1, early onset
28550	X13293	Hs.179718	v-myb myeloblastosis viral oncogene homolog (avian)-like 2
28572	M93651	Hs.145279	SET translocation (myeloid leukemia-associated)
28624	U21914	Hs.367729	survival of motor neuron 2, centromeric
28649	X92972	Hs.80324	protein phosphatase 6, catalytic subunit
28668	J03250	Hs.317	topoisomerase (DNA) I
28669	U32986	Hs.108327	damage-specific DNA binding protein 1 (127kD)
28671	M31899	Hs.77929	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)
28711	U47077	Hs.155637	protein kinase, DNA-activated, catalytic polypeptide
28806	AF043294	Hs.98658	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)
28818	AF024636	Hs.168913	serine/threonine kinase 24 (STE20 homolog, yeast)
28838			LC_28838
28881	M87339	Hs.35120	replication factor C (activator 1) 4 (37kD)
28921	X66899	Hs.129953	Ewing sarcoma breakpoint region 1
28940	NM_006342	Hs.104019	transforming, acidic coiled-coil containing protein 3
28980	L37042	Hs.283738	casein kinase 1, alpha 1
29119	NM_002074	Hs.215595	guanine nucleotide binding protein (G protein), beta polypeptide 1
29125	X04076	Hs.76359	catalase
29131	M63488	Hs.84318	replication protein A1 (70kD)
29149	X04076	Hs.76359	catalase
29288	X70944	Hs.180610	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
29292	K00065	Hs.75428	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))
29314			LC_29314
29321			LC_29321
29347			LC_29347
29413	AF071593	Hs.110457	Wolf-Hirschhorn syndrome candidate 1
29538	U05040	Hs.118962	far upstream element (FUSE) binding protein 1
29572	U14417	Hs.106185	ral guanine nucleotide dissociation stimulator
29598			LC_29598
29645	NM_014248	Hs.279919	ring-box 1
29652	AF047472	Hs.40323	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
29659	M37400	Hs.597	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)
29777	D83987	Hs.57101	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
29781	D87717	Hs.172652	KIAA0013 gene product
29820	AF195765	Hs.126774	RA-regulated nuclear matrix-associated protein
29834	AK023090	Hs.288932	hypothetical protein FLJ13194
29855			LC_29855
29890	D83987	Hs.57101	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
29899	AF117756	Hs.108319	thyroid hormone receptor-associated protein, 150 kDa subunit
30057	BC007384	Hs.140309	hypothetical protein BC007384
30094	AF113536	Hs.6406	MO25 protein
30119	X92972	Hs.80324	protein phosphatase 6, catalytic subunit
30124	AF097996	Hs.2903	protein phosphatase 4 (formerly X), catalytic subunit
30142	AF108138	Hs.112160	DNA helicase homolog PIF1
30157	U19769	Hs.77204	centromere protein F (350/400kD, mitosin)
30195	AF005043	Hs.91390	poly (ADP-ribose) glycohydrolase
30216	AK023419	Hs.372777	Homo sapiens cDNA FLJ13357 fis, clone PLACE1000061, weakly similar to Human ribosomal protein L37a mRNA sequence
30334	AK001379	Hs.121028	hypothetical protein FLJ10517
30364			LC_30364
30372	D13635	Hs.155287	ubiquitin-protein isopeptide ligase (E3)
30378	AF274048	Hs.108106	ubiquitin-like, containing PHD and RING finger domains, 1
30390	AF047472	Hs.40323	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
30477	U12597	Hs.200526	TNF receptor-associated factor 2
30500	X80230	Hs.150423	cyclin-dependent kinase 9 (CDC2-related kinase)
30543	X70944	Hs.180610	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
30555		Hs.202650	ESTs
30558	L43631	Hs.23978	scaffold attachment factor B
30608	X52897	Hs.2055	ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)
30640		Hs.29169	heat shock 27 kDa associated protein
30657	X05360	Hs.334562	cell division cycle 2, G1 to S and G2 to M
30660	AF148457	Hs.74111	RNA binding protein (autoantigenic, hnRNP-associated with lethal yellow)
30716	D12686	Hs.211568	eukaryotic translation initiation factor 4 gamma, 1
30742	D23661	Hs.337445	ribosomal protein L37
30755	AB029024	Hs.95220	oxidative-stress responsive 1
30814	Y13936	Hs.17883	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
30863	U77665	Hs.139120	ribonuclease P (30kD)
30944	M33519	Hs.274348	HLA-B associated transcript 3
30982	AF061729	Hs.108973	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit
30983	NM_002629	Hs.181013	phosphoglycerate mutase 1 (brain)
31036	J04973	Hs.173554	ubiquinol-cytochrome c reductase core protein II
31049			LC_31049
31050			LC_31050
31056			LC_31056
31080	U20979	Hs.79018	chromatin assembly factor 1, subunit A (p150)
31096			LC_31096
31104			LC_31104
31221	X55885	Hs.78040	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
31396	U34683	Hs.82327	glutathione synthetase
31414	D38550	Hs.1189	E2F transcription factor 3
31436	J04031	Hs.172665	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
31439	L40027	Hs.118890	glycogen synthase kinase 3 alpha
31440	U47077	Hs.155637	protein kinase, DNA-activated, catalytic polypeptide
31442			LC_31442
31446	NM_002131	Hs.139800	high-mobility group (nonhistone chromosomal) protein isoforms I and Y
31566	NM_016480	Hs.108548	PABP-interacting protein 2
31570	L09159	Hs.77273	ras homolog gene family, member A
31574	D21090	Hs.178658	RAD23 homolog B (S. cerevisiae)
31590		Hs.356471	ESTs, Moderately similar to C10H_HUMAN CDC10 PROTEIN HOMOLOG [H.sapiens]
31634		Hs.272095	ESTs, Weakly similar to T02670 probable thromboxane A2 receptor isoform beta [H.sapiens]
31671	AF225424	Hs.238839	N-terminal kinase-like
31697	AB028996	Hs.181326	myotubularin related protein 2
31732	M17887	Hs.351937	ribosomal protein, large P2
31770		Hs.35580	Homo sapiens cDNA FLJ31102 fis, clone IMR322000010
31774	AL117563	Hs.301210	Homo sapiens mRNA; cDNA DKFZp564F2072 (from clone DKFZp564F2072)
31813	M17887	Hs.351937	ribosomal protein, large P2
31822	AL136635	Hs.300816	RAB1B, member RAS oncogene family
31840	AF005043	Hs.91390	poly (ADP-ribose) glycohydrolase
31898	D13630	Hs.155291	basic leucine-zipper protein BZAP45
31988	AK000749	Hs.52184	hypothetical protein FLJ20618
32000	AB006624	Hs.14912	KIAA0286 protein
32177	AF010313	Hs.343911	etoposide-induced mRNA
32193	M60527	Hs.709	deoxycytidine kinase
32258	D87717	Hs.172652	KIAA0013 gene product
32381	U21914	Hs.367729	survival of motor neuron 2, centromeric
32393
32475	NM_001641	Hs.73722	APEX nuclease (multifunctional DNA repair enzyme)
32602	BC008647	Hs.102480	hypothetical protein BC008647
