Probe Set	FC(S)	P(S)	FC(T)	P(T)	Gene	Gene ID	Unigene	Chromosome	Description
208925_at	6	0.005	5	0.04	C3orf4	56650	Hs.107393	3p11-q11	chromosome 3 open reading frame 4
217088_s_at	6	0.005	3	0.04	NCR1	9437	Hs.97084	19q13.42	natural cytotoxicity triggering receptor 1
214297_at	5	0.005	8	0.05	CSPG4	1464	Hs.513044	15q23	chondroitin sulfate proteoglycan 4
221836_s_at	4	0.005	3	0.02	T1	83696	Hs.26814	8q24.3	Tularik gene 1
201678_s_at	2	0.005	2	0.003	DC12	56941	Hs.458320	3q21.3	DC12 protein
209912_s_at	7	0.006	6	0.04	KIAA0415	9907	Hs.487393	7p22.2	KIAA0415 gene product
209699_x_at	5	0.006	2	0.04	AKR1C2	1646	Hs.460260	10p15-p14	aldo-keto reductase family 1, member C1
209289_at	4	0.006	3	0.01	NFIB	4781	Hs.370359	9p24.1	nuclear factor I/B
210690_at	15	0.007	4	0.04	KLRC4	8302	Hs.268510	12p13.2-p12.3	killer cell lectin-like receptor subfamily C, member 4
214714_at	5	0.007	6	0.008	ZNF394	84124	Hs.386324	7q22.1	zinc finger protein 394
200633_at	3	0.007	3	0.007	UBB	7314	Hs.356190	2p16	ribosomal protein S27a
201618_x_at	2	0.007	3	0.003	GPAA1	8733	Hs.4742	8q24.3	GPAA1P anchor attachment protein 1 homolog (yeast)
202145_at	3	0.008	3	0.02	LY6E	4061	Hs.521903	8q24.3	lymphocyte antigen 6 complex, locus E
213689_x_at	29	0.009	8	0.0005	RPL5	6125	Hs.180946	1p22.1	ribosomal protein L5
203661_s_at	11	0.01	4	0.03	TMOD1	7111	Hs.404289	9q22.3	tropomodulin 1
204355_at	10	0.01	7	0.03	DHX30	22907	Hs.517948	3p21.31	DEAH (Asp-Glu-Ala-His) box polypeptide 30
201650_at	7	0.01	8	0.01	KRT19	3880	Hs.514167	17q21.2	keratin 19
203071_at	6	0.01	8	0.003	SEMA3B	7869	Hs.82222	3p21.3	sema domain, Ig domain, short basic domain, secreted, 3B
208727_s_at	4	0.01	3	0.04	CDC42	998	Hs.467637	1p36.1	cell division cycle 42 (GTP binding protein, 25kDa)
214070_s_at	4	0.01	5	0.007	ATP10B	23120	Hs.109358	5q34	ATPase, Class V, type 10B
217434_at	3	0.01	3	0.009	MC2R	4158	Hs.248144	18p11.2	melanocortin 2 receptor (adrenocorticotropic hormone)
203502_at	2	0.01	2	0.01	BPGM	669	Hs.198365	7q31-q34	2,3-bisphosphoglycerate mutase
218429_s_at	2	0.01	2	0.002	FLJ11286	55337	Hs.175120	19p13.2	hypothetical protein FLJ11286
210427_x_at	1	0.01	2	0.003	ANXA2	302	Hs.511605	15q21-q22	annexin A2
201155_s_at	13	0.02	9	0.008	MFN2	9927	Hs.376681	1p36.21	mitofusin 2
203595_s_at	10	0.02	7	0.01	IFIT5	24138	Hs.252839	10q23.32	interferon-induced protein with tetratricopeptide repeats 5
200075_s_at	4	0.02	4	0.001	GUK1	2987	Hs.376933	1q32-q41	guanylate kinase 1
209840_s_at	4	0.02	3	0.01	LRRN3	54674	Hs.3781	7q31.1	leucine rich repeat neuronal 3
210493_s_at	4	0.02	4	0.003	MFAP3L	9848	Hs.178121	4q32.3	KIAA0626 gene product
208949_s_at	3	0.02	2	0.02	LGALS3	3958	Hs.531081	14q21-q22	lectin, galactoside-binding, soluble, 3 (galectin 3)
215001_s_at	3	0.02	2	0.02	GLUL	2752	Hs.518525	1q31	glutamate-ammonia ligase (glutamine synthase)
217213_at	3	0.02	2	0.005	SLC6A2	6530	Hs.78036	16q12.2	solute carrier family 6, member 2
218120_s_at	3	0.02	2	0.01	HMOX2	3163	Hs.284279	16p13.3	heme oxygenase (decycling) 2
219369_s_at	3	0.02	5	0.002	OTUB2	78990	Hs.278815	14q32.13	OTU domain, ubiquitin aldehyde binding 2
207059_at	2	0.02	1	0.02	PAX9	5083	Hs.132576	14q12-q13	paired box gene 9
213851_at	2	0.02	2	0.03	MGC52022	375346	Hs.528411	3p21.31	Similar to RIKEN cDNA 1810038N08 gene
215186_at	2	0.02	2	0.03	KIAA0984	23329	Hs.192492	12q14.1	KIAA0984 protein
210335_at	13	0.03	54	0.001	PAMCI	9182	Hs.527881	12q21.32	peptidylglycine alpha-amidating monooxygenase COOH-terminal interactor
217995_at	12	0.03	10	0.03	SQRDL	58472	Hs.511251	15q15	sulfide quinone reductase-like (yeast)
200646_s_at	5	0.03	7	0.001	NUCB1	4924	Hs.515524	19q13.2-q13.4	nucleobindin 1
222098_s_at	5	0.03	4	0.01	ZNF42	7593	Hs.399810	19q13.2-q13.4	zinc finger protein 42
216359_at	4	0.03	2	0.02	MUC7	4589	Hs.103944	4q13-q21	mucin 7, salivary
201820_at	3	0.03	4	0.04	KRT5	3852	Hs.433845	12q12-q13	keratin 4
202385_s_at	3	0.03	3	0.05	TCOF1	6949	Hs.519672	5q32-q33.1	Treacher Collins-Franceschetti syndrome 1
201861_s_at	2	0.03	3	0.004	LRRFIP1	9208	Hs.471779	2q37.3	leucine rich repeat (in FLII) interacting protein 1
204942_s_at	2	0.03	4	0.01	ALDH3B2	222	Hs.87539	11q13	aldehyde dehydrogenase 3 family, member B2
209008_x_at	2	0.03	3	0.005	KRT8	3856	Hs.533782	12q13	keratin 8
214213_x_at	2	0.03	2	0.03	LMNA	4000	Hs.491359	1q21.2-q21.3	lamin A/C
219084_at	2	0.03	3	0.006	NSD1	64324	Hs.208961	5q35.3	nuclear receptor binding SET domain protein 1
209929_s_at	4	0.04	5	0.03	IKBKG	8517	Hs.43505	Xq28	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma
210953_at	4	0.04	5	0.03	KIAA0669	9819	Hs.52526	3q25.1	KIAA0669 gene product
214853_s_at	4	0.04	3	0.005	SHC1	6464	Hs.433795	1q21	SHC transforming protein 1
220160_s_at	4	0.04	4	0.004	KPTN	11133	Hs.25441	19q13.33	kaptin (actin binding protein)
201786_s_at	3	0.04	3	0.02	ADAR	103	Hs.12341	1q21.1-q21.2	adenosine deaminase, RNA-specific
201849_at	3	0.04	3	0.02	BNIP3	664	Hs.144873	10q26.3	BCL2/adenovirus E1B 19kDa interacting protein 3
205931_s_at	3	0.04	4	0.03	CREB5	9586	Hs.437075	7p15	cAMP responsive element binding protein 5
211129_x_at	3	0.04	3	0.03	EDA	1896	Hs.105407	Xq12-q13.1	ectodermal dysplasia 1, anhidrotic
214603_at	3	0.04	2	0.03	MAGEA2	4101	Hs.36980	Xq28	melanoma antigen, family A, 3
203365_s_at	2	0.04	4	0.01	MMP15	4324	Hs.80343	16q13-q21	matrix metalloproteinase 15 (membrane-inserted)
206288_at	2	0.04	5	0.02	PGGT1B	5229	Hs.254006	5q23.1	protein geranylgeranyltransferase type I, beta subunit
211729_x_at	2	0.04	3	0.007	BLVRA	644	Hs.488143	7p14-CEN	biliverdin reductase A
206876_at	6	0.05	5	0.008	SIM1	6492	Hs.534129	6q16.3-q21	single-minded homolog 1 (Drosophila)
208942_s_at	3	0.05	3	0.01	TLOC1	7095	Hs.529591	3q26.2-q27	translocation protein 1
210253_at	3	0.05	13	0.02	HTATIP2	10553	Hs.90753	11p15.1	HIV-1 Tat interactive protein 2, 30kDa
200666_s_at	2	0.05	2	0.006	DNAJB1	3337	Hs.515210	19p13.2	DnaJ (Hsp40) homolog, subfamily B, member 1
200923_at	2	0.05	3	0.01	LGALS3BP	3959	Hs.514535	17q25	lectin, galactoside-binding, soluble, 3 binding protein
211139_s_at	2	0.05	2	0.04	NAB1	4664	Hs.107474	2q32.3-q33	NGFI-A binding protein 1 (EGR1 binding protein 1)
215994_x_at	2	0.05	2	0.02	KIAA0676	23061	Hs.155829	5q35.3	KIAA0676 protein
202712_s_at	1	0.05	4	0.008	CKMT1	1159	Hs.425633	15q15	creatine kinase, mitochondrial 1 (ubiquitous)
