Gene Name	Gene Description	Gene Symbol	Chromosomal Location	Tumor Group	P-value	Fold Change
1441081_a_at	RIKEN cDNA 1110038B12 gene	1110038B12Rik	chr17 B1	C and D	9.882E-05	6.18
1435842_at	RIKEN cDNA 1110038O08 gene	1110038O08Rik	chr5 B1	C and D	0.001639	5.07
1435987_x_at	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110059G02 product:unclassifiable, full insert sequence	1110059G02Rik	chr15 D1	C and D	5.539E-09	-24.55
1430291_at	RIKEN cDNA 1110060D06 gene	1110060D06Rik	chr14 D1	C	6.16E-04	-12.22
1438511_a_at	RIKEN cDNA A130038J17 gene	1190002H23Rik	chr14 D3	C and D	3.054E-06	-30.20
1424509_at	Hypothetical protein MGC48079	1190003K14Rik	chr7 A3	C and D	6.707E-11	-79.89
1424524_at	RIKEN cDNA 1200002N14 gene	1200002N14Rik	chr10 C1	D	0.002957	-32.57
1452714_at	RIKEN cDNA 1200003E16 gene	1200003E16Rik	chr2 C1.1	C	3.48E-06	-14.65
1418395_at	RIKEN cDNA 1300013J15 gene	1300013J15Rik	chr11 B2	D	0.0002868	38.58
1428332_at	RIKEN cDNA 1500004A08 gene	1500004A08Rik	chr11 A1	D	0.0002144	2.39
1442886_at	RIKEN cDNA 1500010G04 gene	1500010G04Rik	chr6 B2.3	C and D	1.216E-06	8.15
1455010_at	RIKEN cDNA 1500012F01 gene	1500012F01Rik	chr2 H3	C and D	1.342E-05	6.02
1432494_a_at	Expressed sequence AU019868	1700019E19Rik	chr12 D2	C	7.00E-05	-5.85
1436150_at	RIKEN cDNA 1700066J24 gene	1700066J24Rik	chr4 A5	C and D	8.217E-06	-17.50
1441589_at	RIKEN cDNA 1700091G21 gene	1700091G21Rik	chr11 D	C and D	7.754E-05	-24.24
1436419_a_at	RIKEN cDNA 1700097N02 gene	1700097N02Rik	---	D	0.00152	7.25
1418004_a_at	RIKEN cDNA 1810009M01 gene	1810009M01Rik	chr6 B2.3	C and D	2.214E-06	-38.74
1428550_at	RIKEN cDNA 1810015A11 gene	1810015A11Rik	chr16 B1	D	8.441E-06	6.56
1417797_a_at	RIKEN cDNA 1810019J16 gene	1810019J16Rik	chr4 D3	C and D	0.0001171	-53.14
1448038_at	RIKEN cDNA 1810021B22 gene	1810021B22Rik	chr15 E3	C	2.30E-04	-10.20
1430612_at	RIKEN cDNA 1810033B17 gene	1810033B17Rik	chr8 A1	C and D	5.368E-05	-68.64
1436918_at	Transcribed locus	1810038L18Rik	chr10 D2	C	4.95E-05	3.15
1424039_at	RIKEN cDNA 1810045K07 gene	1810045K07Rik	chr8 A3	C and D	3.29E-09	-12.25
1458963_at	RIKEN cDNA 1810054D07 gene	1810054D07Rik	chr4 C3	C and D	0.0007108	-7.48
1440283_at	Hypothetical gene supported by AK007907	1810059H22Rik	chr5	C	4.22E-03	10.18
1429061_at	RIKEN cDNA 1810063B05 gene	1810063B05Rik	chr8 E2	C and D	0.0003567	3.52
1436631_at	catenin alpha 1	2010010M04Rik	chr18 B2	D	1.154E-05	-9.70
1439512_at	RIKEN cDNA 2010015L04 gene	2010015L04Rik	chr4 E2	C and D	5.609E-07	-13.37
1447896_s_at	RIKEN cDNA 2010109N14 gene	2010109N14Rik	chr3 G1	C and D	1.664E-06	6.26
1434152_at	RIKEN cDNA 2210421G13 gene	2210421G13Rik /// LOC193676	chr15 E1	C and D	4.821E-05	-174.40
1436040_at	RIKEN cDNA 2310005L22 gene	2310005L22Rik	chr4 D3	D	8.448E-06	7.20
1448552_s_at	RIKEN cDNA 2310028N02 gene	2310028N02Rik	chr1 H6	C and D	0.003165	6.03
1428288_at	Basic transcription element binding protein 1	2310051E17Rik	chr19 B	D	8.994E-05	2.31
1451304_at	RIKEN cDNA 2310076O21 gene	2310076O21Rik	chr7 B3	C and D	5.897E-05	7.92
1424882_a_at	RIKEN cDNA B930019K04 gene	2510015F01Rik	chr14 B	C and D	0.001346	6.06
1456361_at	RIKEN cDNA 2600003E23 gene	2600003E23Rik	chr5 B1	D	0.003792	9.06
1437717_x_at	RIKEN cDNA 2610005L07 gene	2610005L07Rik /// LOC546041	chr8 A1.3	C and D	6.366E-05	5.12
1454933_at	RIKEN cDNA 2610027C15 gene	2610027C15Rik	chr4 D2.2	D	5.008E-05	-4.55
1452606_at	RIKEN cDNA 2610034E18 gene	2610034E18Rik	chr3 F1	C and D	1.191E-08	51.55
1452731_x_at	RIKEN cDNA 2610042L04 gene	2610042L04Rik	chr14 A1	C	2.86E-04	-6.73
1435381_at	RIKEN cDNA 2610110G12 gene	2610110G12Rik	chr17 B3	C and D	1.764E-08	-74.67
1446296_at	RIKEN cDNA 2610528E23 gene	2610528E23Rik	chr16 C1.1	C	2.84E-03	15.13
1428122_s_at	RIKEN cDNA 2610528K11 gene	2610528K11Rik	chr2 B	C and D	1.022E-05	-22.42
1429248_at	RIKEN cDNA 2810002N01 gene	2810002N01Rik	chr12 F2	D	0.001358	4.39
1425830_a_at	RIKEN cDNA 2810452K22 gene	2810452K22Rik	chr12 F2	D	0.0005913	7.26
1452980_at	Mus musculus 16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630053J03 product:unknown EST, full insert sequence	2810468N07Rik	chr17	D	0.002652	-3.83
1429068_at	RIKEN cDNA A430035B10 gene	2810488G03Rik	chr6 A1	C and D	2.35E-06	-20.94
1434451_at	RIKEN cDNA 2900016G23 gene	2900016G23Rik	chr13 A5	C	9.00E-05	-73.95
1429089_s_at	RIKEN cDNA 2900026A02 gene	2900026A02Rik	chr5 F	D	7.298E-06	48.37
1432646_a_at	RIKEN cDNA 2900097C17 gene	2900097C17Rik	chr2 H1	C and D	0.0001951	5.91
1449946_a_at	RIKEN cDNA 3110024A21 gene	3110024A21Rik	chr4 D3	C and D	2.173E-08	5.06
1430940_at	Transmembrane protein 16F	3110045A19Rik	chr15 F1	D	0.0007096	-3.81
1428418_s_at	RIKEN cDNA 3110050N22 gene	3110050N22Rik	chr3 A1	C	4.26E-03	-12.11
1437121_at	RIKEN cDNA 4432409M07 gene	4432409M07Rik	chr17 E1.1	D	0.0002207	-10.20
1452092_at	RIKEN cDNA 4631426J05 gene	4631426J05Rik	chr7 F4	D	0.001371	-3.37
1440402_at	RIKEN cDNA 4831426I19 gene	4831426I19Rik	chr12 E	D	0.004968	-2.85
1434725_at	RIKEN cDNA 4921521N14 gene	4921521N14Rik	chr16 B4	C and D	1.024E-10	-99.50
1447836_x_at	RIKEN cDNA 4921525O09 gene	4921525O09Rik	chr13 B1	D	0.0001622	19.59
1453122_at	RIKEN cDNA 4921533L14 gene	4921533L14Rik	chr1 A5	C and D	0.0003046	-15.14
1429682_at	RIKEN cDNA 4930431B09 gene	4930431B09Rik	chr3 F2.2	C and D	7.191E-07	-457.90
1431321_at	purinergic receptor P2X, ligand-gated ion channel, 3	4930513E20Rik	chr2 D	D	0.003103	-3.66
1431759_at	RIKEN cDNA 1700009F06 gene	4930529C04Rik	chr3 F1	C	2.63E-05	26.17
1430147_a_at	RIKEN cDNA 4930553M18 gene	4930553M18Rik	chr9 A3	C and D	0.0008863	6.38
1446597_at	vaccinia related kinase 2	4930563B10Rik	chr9 A3	C and D	0.0005737	16.34
1453265_at	RIKEN cDNA 4930579C15 gene	4930579C15Rik	chr4 C5	D	0.0001001	13.79
1435116_at	RIKEN cDNA 4933403G14 gene	4933403G14Rik	chr8 E2	D	0.003002	-4.06
1454799_at	Transcribed sequences	4933408F15	chr5 E4	C and D	6.581E-08	9.76
1427067_at	RIKEN cDNA 4933439F18 gene	4933439F18Rik	chr11 B2	C and D	1.232E-05	7.39
1428663_at	RIKEN cDNA 5133401H06 gene	5133401H06Rik	chr3 G3	C and D	1.637E-05	-44.96
1440231_at	RIKEN cDNA 5330427D05 gene	5330427D05Rik	chr3 E3	C	8.69E-04	-6.21
1453768_a_at	RIKEN cDNA 5430432M24 gene	5430432M24Rik	chr2 G3	C	1.96E-03	5.86
1447774_x_at	RIKEN cDNA 5730469M10 gene	5730469M10Rik	chr14 B	D	0.0003638	4.31
1452754_at	RIKEN cDNA 5730592L21 gene	5730592L21Rik	chr15 E3	C and D	2.164E-09	-15.60
1430379_at	RIKEN cDNA 5830411K21 gene	5830411K21Rik	chr2 B	C	6.33E-04	3.51
1418776_at	Expressed sequence C77576	5830443L24Rik	chr5 E5	C and D	2.058E-05	-90.17
1418580_at	RIKEN cDNA 5830458K16 gene	5830458K16Rik	chr16 B1	C and D	2.677E-06	-73.37
1433110_at	Potassium voltage-gated channel, subfamily Q, member 5	5830474E16Rik	chr1 A5	C and D	1.9E-08	5.45
1443153_at	RIKEN cDNA 6030460N08 gene	6030460N08Rik	chr12 E	C and D	3.163E-06	-6.79
1441972_at	RIKEN cDNA 6230424C14 gene	6230424C14Rik	chr13	C and D	4.231E-09	-39.29
1452277_at	RIKEN cDNA 6330406P08 gene	6330406P08Rik	chr11 E1	C and D	0.0002582	-12.15
1457254_x_at	RIKEN cDNA 6330442E10 gene	6330442E10Rik /// LOC432460	chr12 C3 /// chr10 B3	C and D	0.001434	3.77
1455885_at	RIKEN cDNA 6530401C20 gene	6530401C20Rik	chr5 G2	C and D	1.352E-05	5.24
1433962_at	RIKEN cDNA 6720458F09 gene	6720458F09Rik	chr12 F1	D	0.0006033	5.84
1437598_at	RIKEN cDNA 7330412A13 gene	7330412A13Rik	chr16 B4	C and D	1.754E-07	-16.62
1424226_at	RIKEN cDNA 9030617O03 gene	9030617O03Rik	chr12 E	D	3.392E-05	3.09
1452008_at	RIKEN cDNA 9130422G05 gene	9130422G05Rik	chr4 C3	C and D	7.443E-05	-4.55
1447564_x_at	RIKEN cDNA 9230101H05 gene	9230101H05Rik	chr9 A2	D	0.000745	-11.97
1428535_at	RIKEN cDNA 9430020K01 gene	9430020K01Rik	chr18 A1	C	6.25E-04	6.28
1455909_at	RIKEN cDNA 9530002K18 gene	9530002K18Rik	chr18 B3	C	4.06E-03	15.88
1437245_at	Transcribed locus	9930117H01Rik	chr3 F1	C and D	1.348E-07	-34.68
1435695_a_at	RIKEN cDNA A030007L17 gene	A030007L17Rik	chr6 B3	D	0.0001508	3.64
1459302_at	6 days neonate skin cDNA, RIKEN full-length enriched library, clone:A030007N12 product:unknown EST, full insert sequence	A030007N12Rik	chr15 F3	D	0.004957	10.16
1444482_at	RIKEN cDNA A130078K24 gene	A130078K24Rik	chr14 D2	C	3.31E-03	-7.91
1439808_at	Opioid receptor, mu 1	A130090K04Rik	chr10 A1	D	5.646E-07	-58.93
1427608_a_at	RIKEN cDNA A130095M15 gene	A130095M15Rik	chr13 A2	C and D	2.803E-07	-49.51
1452982_at	RIKEN cDNA A330103N21 gene	A330103N21Rik	chr7 C	C and D	0.000221	-4.13
1437216_at	RIKEN cDNA A430106J12 gene	A430106J12Rik	chr11 A3.3	D	0.00107	-9.38
1445450_x_at	Hypothetical protein A530021J07	A530021J07	chr7 D2	C and D	0.0004538	10.40
1427655_a_at	RIKEN cDNA A630038E17 gene	A630038E17Rik	chr14 C1	C and D	7.119E-07	-118.00
1440162_x_at	Hypothetical protein A630043P06	A630043P06	chr13 A1	C and D	8.548E-05	4.53
1433939_at	Hypothetical protein A730046J16	A730046J16	chr1 B	C and D	0.0002367	3.41
1435229_at	RIKEN cDNA A930008A22 gene	A930008A22Rik	chr9 B	C and D	0.0007365	-21.42
1455428_at	RIKEN cDNA A930008G19 gene	A930008G19Rik	chr7 F3	C	2.37E-03	12.89
1455531_at	RIKEN cDNA A930031D07 gene	A930031D07Rik	chr1 E4	C and D	4.247E-06	-33.65
1454628_at	RIKEN cDNA A930037G23 gene	A930037G23Rik	chr6 F3	D	1.113E-05	-2.23
1449150_at	RIKEN cDNA A930040G15 gene	A930040G15Rik	chr6 B2.3	C and D	0.0003807	-11.39
1458448_at	expressed sequence AA408296	AA408296	chr1 H6	C and D	0.0001356	11.70
1434046_at	Similar to Normal mucosa of esophagus specific gene 1 protein	AA467197	chr2 E5	C and D	0.0006788	-25.85
1460417_at	cDNA sequence AB041803	AB041803	chr6 A3.3	C	6.13E-07	-10.95
1419758_at	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	Abcb1a	chr5 A1	C	1.92E-04	-10.80
1416863_at	abhydrolase domain containing 8	Abhd8	chr8 C1	D	0.0003074	-8.76
1427054_s_at	ABI gene family, member 3 (NESH) binding protein	Abi3bp	chr16 C1.1	C and D	1.005E-05	-33.36
1429390_at	acid phosphatase-like 2	Acpl2	chr9 E3.3	D	0.001317	-7.17
1419173_at	aminoacylase 1	Acy1	chr9 F1	C and D	0.0001061	8.46
1417976_at	adenosine deaminase	Ada	chr2 H3	C and D	2.301E-06	-11.17
1420748_a_at	adenosine deaminase, tRNA-specific 1	Adat1	chr8 D3	D	0.003781	11.60
1416077_at	adrenomedullin	Adm	chr7 E3	D	0.003159	2.85
1416645_a_at	albumin 1	Afp	chr5 E1	C and D	0.000345	-42.62
1434287_at	1-acylglycerol-3-phosphate O-acyltransferase 5	Agpat5	chr8 A3	C and D	0.003971	6.57
1432385_a_at	ATP/GTP binding protein 1	Agtpbp1	chr13 B2	D	0.004536	4.51
1452217_at	AHNAK nucleoprotein (desmoyokin)	Ahnak	chr19 A	D	0.0003626	-5.51
1434387_at	expressed sequence AI429612	AI429612	chr17 A3.3	C	3.81E-03	-3.67
1435280_at	expressed sequence AI452195	AI452195	chr13 D2.2	C	4.63E-03	-6.94
1457035_at	expressed sequence AI607873	AI607873	chr1 H3	C and D	2.942E-08	-42.80
1435710_at	expressed sequence AI661384	AI661384	chr18 E4	C and D	6.139E-07	-40.63
1437397_at	expressed sequence AI987712	AI987712	chr15 A1	C and D	6.791E-08	-24.77
1420679_a_at	RIKEN cDNA A730010A20 gene	Aig1	chr10 A2	C	8.37E-05	-11.92
1426942_at	absent in melanoma 1	Aim1	chr10 B2	D	0.0003754	-10.89
1430781_at	Adenylate kinase 7	Ak7	chr12 F1	C	5.02E-03	-8.59
1419706_a_at	A kinase (PRKA) anchor protein (gravin) 12	Akap12	chr10 A1	C and D	7.651E-07	16.26
1435879_at	Thymoma viral proto-oncogene 3	Akt3	chr1 H4-H6	D	0.0006342	3.01
1437467_at	Activated leukocyte cell adhesion molecule	Alcam	chr16 B5	C and D	5.115E-05	-18.08
1417765_a_at	Amylase 1, salivary	Amy1	chr3 F3	C and D	0.0006225	-108.30
1417130_s_at	angiopoietin-like 4	Angptl4	chr17 B1	C	2.91E-03	6.22
1419091_a_at	annexin A2	Anxa2	chr9 D	C and D	1.346E-07	-33.12
1421223_a_at	annexin A4	Anxa4	chr6 D1	D	0.00052	-4.20
1455735_at	adaptor-related protein complex AP-1, sigma 3	Ap1s3	chr1 C4	C and D	0.0002275	6.45
1417889_at	apolipoprotein B editing complex 2	Apobec2	chr17 C	C	3.61E-04	9.78
1432466_a_at	apolipoprotein E	Apoe	chr7 A2	C	1.11E-03	-10.79
1427442_a_at	Amyloid beta (A4) precursor protein	App	chr16 C3-qter	C and D	1.396E-06	-89.56
1422008_a_at	aquaporin 3	Aqp3	chr4 A5	C and D	1.25E-05	-28.08
1426534_a_at	ADP-ribosylation factor GTPase activating protein 3	Arfgap3	chr15 E3	C and D	8.278E-06	-10.77
1428368_at	Rho GTPase activating protein 21	Arhgap21	chr2 A3	D	0.001651	-16.14
1435694_at	RIKEN cDNA 4933432P15 gene	Arhgap26	chr18 B3	D	0.000437	-3.23
1454745_at	RIKEN cDNA B130017I01 gene	Arhgap29	chr3 G1	D	0.0006201	4.92
1417704_a_at	amelogenin X chromosome	Arhgap6	chrX F5	C and D	2.736E-06	-54.98
1431429_a_at	ADP-ribosylation factor-like 4	Arl4	chr12 A3	D	0.0002591	3.80
1454788_at	ADP-ribosylation factor-like 7	Arl7	chr1 D	C and D	1.472E-05	-27.83
1456739_x_at	armadillo repeat containing, X-linked 2	Armcx2	chrX E3	C and D	4.161E-05	-53.59
1424373_at	armadillo repeat containing, X-linked 3	Armcx3	chrX E3	C and D	1.283E-07	-19.46
1429688_at	Aryl hydrocarbon receptor nuclear translocator-like 2	Arntl2	chr6 G3	C and D	2.833E-07	25.48
1450855_at	Armadillo repeat gene deleted in velo-cardio-facial syndrome	Arvcf	chr16 A3	C	3.63E-03	6.73
1428444_at	ankyrin repeat and SOCS box-containing protein 2	Asb2	chr12 E	C	1.46E-03	2.70
1425274_at	aspartate-beta-hydroxylase	Asph	chr4 A1	D	4.586E-06	12.79
1456382_at	ATPase family, AAA domain containing 1	Atad1	chr19 C3	C and D	0.0001608	5.52
1447272_s_at	ATPase, class V, type 10A	Atp10a	chr7 B5	D	1.87E-05	-36.94
1456388_at	ATPase, class VI, type 11A	Atp11a	chr8 A2	D	0.0002929	-18.81
1437164_x_at	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	Atp5o	chr16 C4	C and D	1.741E-05	6.39
1417632_at	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	Atp6v0a1	chr11 D	C and D	8.234E-06	-23.50
1454984_at	RIKEN cDNA A230075M04 gene	AW061234	chr15 A1	D	0.000227	-21.52
1438035_at	expressed sequence AW061290	AW061290	chr17 E3	C and D	9.023E-05	-37.69
1451127_at	expressed sequence AW146242	AW146242	chr6 B3	C	1.15E-03	-14.37
1447788_s_at	expressed sequence AW212607	AW212607	chr2 H1	C	6.84E-04	2.17
1433823_at	expressed sequence AW456874	AW456874	chr13 A5	D	0.0009237	2.68
1433453_a_at	expressed sequence AW539457	AW539457	chr2 E2	D	0.003424	-7.10
1452419_at	RIKEN cDNA B130016L12 gene	B130016L12Rik	chr13 A1	C	2.28E-03	4.07
1430000_at	RIKEN cDNA 2010300G19 gene	B230117O15Rik	chr4 A1	C and D	0.0006204	5.58
1447665_at	Transcribed sequences	B230217C06Rik	chr4 A5	C	1.80E-03	-6.11
1457270_at	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230343A10 product:unknown EST, full insert sequence	B230343A10Rik	chr11 B3	D	4.329E-06	-12.84
1418736_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3	B3galt3	chr3 E1	C and D	1.156E-07	-139.00
1441529_at	RIKEN cDNA 9130230N09 gene	B3gnt1	chr11 A3.2	C and D	0.004692	5.45
1460329_at	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	B4galt6	chr18 A2	C	3.71E-04	-11.47
1442999_at	Mus musculus 10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930036G03 product:unknown EST, full insert sequence	B930036G03Rik	chr12 F1	C and D	2.085E-06	10.40
1449311_at	BTB and CNC homology 1	Bach1	chr16 C3.3	D	0.0001845	3.70
1437667_a_at	BTB and CNC homology 2	Bach2	chr4	C and D	9.992E-06	6.14
1423948_at	Bcl2-associated athanogene 2	Bag2	chr1 B	C and D	2.687E-08	7.11
1452628_at	RIKEN cDNA 2810002N01 gene	Bag5	chr12	D	0.001529	4.43
1423753_at	BMP and activin membrane-bound inhibitor, homolog	Bambi	chr18 A1	C and D	0.001445	13.61
1428572_at	brain abundant, membrane attached signal protein 1	Basp1	chr15 B1	C and D	1.853E-09	-39.85
1419908_at	expressed sequence BB219290	BB219290	chr1 H3	C and D	0.003828	5.54
1424459_at	cDNA sequence BC005662	BC005662	chr13 C1	C	3.84E-03	2.10
1426734_at	cDNA sequence BC022623	BC022623	chr16 B2	C and D	1.446E-06	13.26
1424940_s_at	cDNA sequence BC022687	BC022687	chr12 F1	D	0.003105	7.96
1452480_at	cDNA sequence BC024760	BC024760	chr2 G1	C and D	2.637E-05	-8.86
1426880_at	CDNA sequence BC026657	BC026657	chr2 A3	C and D	1.974E-07	-16.42
1436397_at	cDNA sequence BC027057	BC027057	chr13 B1	D	0.000414	-6.03
1441340_at	cDNA sequence BC027174	BC027174	chr11 A3.1	C and D	0.000295	8.43
1460027_at	cDNA sequence BC061194	BC061194	chr2 A3	C and D	6.289E-06	-57.73
1434960_at	cDNA sequence BC066223	BC066223	chrX D	C and D	4.486E-07	-77.85
1440503_at	B-cell receptor-associated protein 29	Bcap29	12 A3	D	4.931E-05	9.63
1450871_a_at	branched chain aminotransferase 1, cytosolic	Bcat1	chr6 G3	C and D	8.21E-09	11.19
1457072_at	B-cell CLL/lymphoma 11A (zinc finger protein)	Bcl11a	chr11 A3.2	C and D	5.523E-05	4.71
1450339_a_at	B-cell leukemia/lymphoma 11B	Bcl11b	chr12 F1	C	5.07E-06	-36.27
1426191_a_at	Bcl2-like 1	Bcl2l1(Bcl-xl)	chr2 H1	C and D	0.004004	535.50
1418133_at	B-cell leukemia/lymphoma 3	Bcl3	chr7 A2	D	0.0002999	-15.00
1428207_at	B-cell CLL/lymphoma 7A	Bcl7a	chr5 F	C and D	0.001497	5.41
1418734_at	Histocompatibility 2, Q region locus 1	BE136769	chr17	C and D	3.663E-06	-55.16
1437548_at	bicaudal D homolog 1	Bicd1	chr6 G3	C	3.88E-03	-4.50
1451386_at	biliverdin reductase B (flavin reductase (NADPH))	Blvrb	chr7 A3	D	1.657E-06	33.56
1418764_a_at	bisphosphate 3-nucleotidase 1	Bpnt1	chr1 H4	C and D	7.617E-05	12.50
1456351_at	Bromodomain containing 8	Brd8	chr18 B1	C and D	0.001977	11.58
1456886_at	Brain protein 44-like	Brp44l	chr12 F1	D	0.001029	4.15
1420632_a_at	Bernardinelli-Seip congenital lipodystrophy 2 homolog	Bscl2	chr19 A	C and D	1.547E-09	-19.69
1457568_at	Mus musculus 0 day neonate cerebellum cDNA, RIKEN full-length enriched library, clone:C230004L04 product:unknown EST, full insert sequence	C230004L04	chr5 E3	C	8.35E-04	2.95
1438125_at	RIKEN cDNA E430014B02 gene	C230085N15Rik	chr17C	C and D	0.0002213	-14.39
1423954_at	complement component 3	C3	chr17 E1-E3	C and D	0.000164	-217.10
1423914_at	RIKEN cDNA C630004H02 gene	C630004H02Rik	chr11 E2	C and D	4.588E-05	-26.39
1435084_at	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730049O14 product:unknown EST, full insert sequence	C730049O14Rik	chr18 A2	C	1.96E-05	-8.47
1441600_at	2 days neonate thymus thymic cells cDNA, RIKEN full-length enriched library, clone:C920021A13 product:unknown EST, full insert sequence	C920021A13	chr12 A1.2	C and D	0.0001193	-43.08
1422710_a_at	calcium channel, voltage-dependent, T type, alpha 1H subunit	Cacna1h	chr17 A3.3	C and D	4.918E-09	-66.34
1420442_at	Similar to Voltage-dependent L-type calcium channel alpha-1S subunit (Voltage-gated calcium channel alpha subunit Cav1.1) (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle ...	Cacna1s /// LOC545361	chr1 F	C and D	7.478E-08	-59.23
1448656_at	calcium channel, voltage-dependent, beta 3 subunit	Cacnb3	chr15 F1	C and D	2.795E-06	-29.67
1440857_at	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Cad	chr5 B1	C	1.11E-03	6.03
1419691_at	cathelicidin antimicrobial peptide	Camp	chr9 F2	C and D	6.659E-07	-840.30
1427692_a_at	calcium/calmodulin-dependent serine protein kinase	Cask	chrX A1.1	D	8.653E-05	-13.64
1449265_at	caspase 1	Casp1	chr9 A1|9 1.0 cM	D	0.0009116	-25.43
1449591_at	caspase 4, apoptosis-related cysteine protease	Casp11	chr9 A1	C and D	1.866E-07	-34.19
1426062_a_at	caspase 7	Casp7	chr19 D2	D	0.0004053	-6.51
1445123_at	chromobox homolog 1	Cbx1	chr11 D	C and D	0.001257	11.71
1418126_at	chemokine (C-C motif) ligand 5	Ccl5(RANTES)	chr11 C	C and D	1.263E-09	-367.50
1417936_at	chemokine (C-C motif) ligand 9	Ccl9	chr11 C	D	0.0004183	-9.24
1448698_at	cyclin D1	Ccnd1	chr7 F5	D	1.44E-05	6.08
1416122_at	cyclin D2	Ccnd2	chr6 F3	C and D	0.0001711	-12.13
1421186_at	chemokine (C-C motif) receptor 2	Ccr2	chr9 F	C and D	6.648E-08	-78.33
1423466_at	chemokine (C-C motif) receptor 7	Ccr7	chr11 D	D	0.001967	3.63
1417597_at	CD28 antigen	Cd28	chr1 C1-C3	C and D	0.0005544	-10.90
1422828_at	CD3 antigen, delta polypeptide	Cd3d	chr9 A5.2	C and D	3.537E-11	-346.20
1422105_at	CD3 antigen, epsilon polypeptide	Cd3e	chr9 A5.2	C and D	0.0002492	-38.64
1419178_at	CD3 antigen, gamma polypeptide	Cd3g	chr9 A5.2	C and D	2.584E-06	-39.18
1452483_a_at	CD44 antigen	Cd44	chr2 E2	D	0.002376	-3.71
