Probe Set ID (Hu6800)	Gene Title	Fold Change	q-value (%)	Gene Symbol
L14542_at	killer cell lectin-like receptor subfamily C, member 3	0.49	2.12	KLRC3
M61916_at	laminin, beta 1	2.99	1.16	LAMB1
M55210_at	laminin, gamma 1 (formerly LAMB2)	2.08	1.16	LAMC1
J04456_at	lectin, galactoside-binding, soluble, 1 (galectin 1)	2.14	1.16	LGALS1
X61118_rna1_at	LIM domain only 2 (rhombotin-like 1)	2.16	1.16	LMO2
U21128_at	lumican	5.51	1.16	LUM
M21119_s_at	lysozyme (renal amyloidosis)	2.86	1.16	LYZ
X53331_at	matrix Gla protein	3.29	1.16	MGP
U67963_at	monoglyceride lipase	0.47	1.16	MGLL
M13577_at	myelin basic protein	0.42	9.39	MBP
U29195_at	neuronal pentraxin II	2.69	1.16	NPTX2
X75918_at	nuclear receptor subfamily 4, group A, member 2	2.78	1.16	NR4A2
U48250_at	oligodendrocyte lineage transcription factor 2	0.42	1.16	OLIG2
M63623_at	oligodendrocyte myelin glycoprotein	0.28	1.16	OMG
D13666_s_at	periostin, osteoblast specific factor	5.20	1.16	POSTN
V00572_at	phosphoglycerate kinase 1	2.01	1.16	PGK1
U02020_at	pre-B-cell colony enhancing factor 1	2.46	1.16	PBEF1
X64810_at	proprotein convertase subtilisin/kexin type 1	2.20	1.16	PCSK1
X17042_at	proteoglycan 1, secretory granule	2.33	1.16	PRG1
U52969_at	Purkinje cell protein 4	0.38	5.09	PCP4
U20758_rna1_at	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	2.72	1.16	SPP1
J03764_at	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	3.11	1.16	SERPINE1
X07834_at	superoxide dismutase 2, mitochondrial	2.00	4.19	SOD2
X65965_s_at	superoxide dismutase 2, mitochondrial	2.66	1.16	SOD2
U61374_at	sushi-repeat-containing protein, X-linked	2.02	1.16	SRPX
D21267_at	synaptosomal-associated protein, 25kDa	0.42	7.71	SNAP25
S54005_s_at	thymosin, beta 10	2.36	1.16	TMSB10
L27476_at	tight junction protein 2 (zona occludens 2)	0.46	6.93	TJP2
M95787_at	transgelin	2.02	1.16	TAGLN
U61234_at	tubulin-specific chaperone c	2.02	6.02	TBCC
J04111_at	v-jun sarcoma virus 17 oncogene homolog (avian)	2.45	1.16	JUN
D76435_at	Zic family member 1 (odd-paired homolog, Drosophila)	0.42	7.71	ZIC1
