Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
AK004608	heat shock protein 8	Hspa8	-2.9 ± 0.5	N.C.	N.C.	-1.8 ± 0.4	19
AK007419	RIKEN cDNA 1810010G06 gene	1810010G06Rik	N.C.	N.C.	N.C.	-1.6 ± 0.4	20
BC011273	ATP-binding cassette, sub-family D (ALD), member 1	Abcd1	-1.7 ± 0.4	N.C.	N.C.	N.C.	21
BC021880	amiloride binding protein 1 (amine oxidase, copper-containing)	Abp1	-1.7 ± 0.4	N.C.	N.C.	N.C.	22
BI665568	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	Smc4l1	-1.7 ± 0.5	N.C.	N.C.	N.C.	23
NM_008566	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	Mcm5	N.C.	N.C.	N.C.	-1.6 ± 0.4	24
NM_009012	RAD50 homolog (S. cerevisiae)	Rad50	-1.5 ± 0.4	N.C.	N.C.	N.C.	25
NM_018817	Swi/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	Smarcal1	-1.5 ± 0.4	N.C.	N.C.	N.C.	26
NM_021050	cystic fibrosis transmembrane conductance regulator homolog	Cftr	N.C.	N.C.	-1.6 ± 0.4	N.C.	27
NM_130454	RecQ protein-like 5	Recql5	-1.5 ± 0.4	N.C.	N.C.	N.C.	28
AK014872	solute carrier organic anion transporter family, member 6d1	Slco6d1	N.C.	-2.8 ± 0.4	N.C.	N.C.	29
BB749143	glutamate receptor, ionotropic, AMPA2 (alpha 2)	Gria2	N.C.	-5.3 ± 0.4	N.C.	N.C.	30
BI737842	gap junction membrane channel protein alpha 9	Gja9	N.C.	-8.5 ± 0.7	N.C.	N.C.	31
AW045978	potassium voltage-gated channel, Shal-related family, member 3	Kcnd3	N.C.	-1.7 ± 0.4	N.C.	N.C.	32
BE946786	sodium channel, voltage-gated, type II, alpha 1	Scn2a1	N.C.	-2.2 ± 0.4	N.C.	N.C.	33
BB075484	Glutamate receptor, ionotropic, kainate 2 (beta 2)	Grik2	N.C.	-2.6 ± 0.4	N.C.	N.C.	34
AV336506	glutamate receptor, ionotropic, AMPA4 (alpha 4)	Gria4	N.C.	-2.8 ± 0.4	N.C.	N.C.	35
AW557538	Potassium voltage-gated channel, Shal-related family, member 2	Kcnd2	N.C.	-2.6 ± 0.4	N.C.	N.C.	36
BB540579	solute carrier family 35, member F1	Slc35f1	N.C.	-1.9 ± 0.4	N.C.	N.C.	37
BB183674	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	Slc24a3	N.C.	-1.9 ± 0.4	N.C.	N.C.	38
AV133559	Potassium channel, subfamily T, member 2	Kcnt2	N.C.	-3.6 ± 0.4	N.C.	N.C.	39
AI596194	solute carrier family 36 (proton/amino acid symporter), member 2	Slc36a2	-1.5 ± 0.4	N.C.	N.C.	N.C.	40
AI648846	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	Slc6a6	-1.5 ± 0.4	N.C.	N.C.	N.C.	41
AK015878	solute carrier family 31, member 2	Slc31a2	-1.8 ± 0.4	N.C.	N.C.	N.C.	42
AV024403	solute carrier organic anion transporter family, member 4C1	Slco4c1	-2.3 ± 0.4	N.C.	-1.6 ± 0.4	N.C.	43
AV273256	potassium channel tetramerisation domain containing 7	Kctd7	-3.5 ± 0.5	N.C.	N.C.	N.C.	44
BB160619	solute carrier family 12, member 6	Slc12a6	-1.7 ± 0.4	N.C.	N.C.	N.C.	45
BB414515	solute carrier family 2 (facilitated glucose transporter), member 3	Slc2a3	N.C.	N.C.	-1.5 ± 0.4	N.C.	46
BB448377	solute carrier family 4 (anion exchanger), member 1	Slc4a1	N.C.	N.C.	-1.8 ± 0.5	N.C.	47
BB475037	Solute carrier family 25, member 27	Slc25a27	-2.1 ± 0.4	N.C.	N.C.	N.C.	48
BB553107	solute carrier organic anion transporter family, member 2b1	Slco2b1	-1.8 ± 0.4	N.C.	N.C.	N.C.	49
BB667457	potassium channel tetramerisation domain containing 12b	Kctd12b	-2.6 ± 0.4	N.C.	N.C.	N.C.	50
BB811412	solute carrier family 45, member 4	Slc45a4	N.C.	N.C.	-1.7 ± 0.4	N.C.	51
BE133664	solute carrier family 4 (anion exchanger), member 1, adaptor protein	Slc4a1ap	-1.9 ± 0.4	N.C.	N.C.	N.C.	52
BE686667	solute carrier organic anion transporter family, member 5A1	Slco5a1	-2.5 ± 0.7	N.C.	N.C.	N.C.	53
BG066984	solute carrier family 38, member 5	Slc38a5	N.C.	N.C.	-1.7 ± 0.4	-1.8 ± 0.4	54
BG069589	potassium inwardly-rectifying channel, subfamily K, member 6	Kcnk6	-1.5 ± 0.4	N.C.	N.C.	N.C.	55
BG076025	Potassium channel, subfamily K, member 2	Kcnk2	-3.2 ± 0.5	N.C.	N.C.	N.C.	56
BM248133	Tumor-suppressing subchromosomal transferable fragment 8	Kcnq1	-2.1 ± 0.4	N.C.	N.C.	N.C.	57
BM250411	solute carrier family 39 (zinc transporter), member 10	Slc39a10	-1.5 ± 0.4	N.C.	N.C.	N.C.	58
NM_080852	solute carrier family 7 (cationic amino acid transporter, y+ system), member 12	Slc7a12	N.C.	-2.6 ± 0.4	N.C.	N.C.	59
NM_008426	potassium inwardly-rectifying channel, subfamily J, member 3	Kcnj3	N.C.	-1.7 ± 0.4	N.C.	N.C.	60
NM_133184	solute carrier family 5, member 4a	Slc5a4a	N.C.	-2.2 ± 0.4	N.C.	N.C.	61
NM_010605	potassium inwardly-rectifying channel, subfamily J, member 5	Kcnj5	N.C.	-1.8 ± 0.5	N.C.	N.C.	62
NM_008049	ferritin light chain 1 /// ferritin light chain 2 /// similar to Ferritin light chain 1 (Ferritin L subunit 1) /// similar to Ferritin light chain 1 (Ferritin L subunit 1) /// similar to Ferritin light chain 1 (Ferritin L subunit 1) /// similar to Ferritin light chain 1 (Ferritin L subunit 1) /// similar to Ferritin light chain 1 (Ferritin L subunit 1) /// similar to Ferritin light chain 1 (Ferritin L subunit 1)	Ftl1 /// Ftl2 /// LOC544951 /// LOC634386 /// LOC665937 /// LOC666673 /// LOC669088 /// LOC675170	N.C.	-1.7 ± 0.4	N.C.	N.C.	63
NM_020495	solute carrier organic anion transporter family, member 1b2	Slco1b2	N.C.	-4.0 ± 0.4	N.C.	N.C.	64
BB118542	solute carrier family 26, member 3	Slc26a3	N.C.	-3.3 ± 0.5	N.C.	N.C.	65
AF216832	gap junction membrane channel protein alpha 4	Gja4	N.C.	N.C.	-1.8 ± 0.4	N.C.	66
AK009318	potassium channel tetramerisation domain containing 2	Kctd2	-1.5 ± 0.4	N.C.	N.C.	N.C.	67
AK012071	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	Slc37a3	-1.5 ± 0.4	N.C.	N.C.	N.C.	68
AK017918	solute carrier family 36 (proton/amino acid symporter), member 1	Slc36a1	-1.5 ± 0.4	N.C.	N.C.	N.C.	69
BB129409	solute carrier family 6 (neurotransmitter transporter), member 15	Slc6a15	-1.6 ± 0.4	N.C.	N.C.	N.C.	70
BB320416	solute carrier family 35, member B4	Slc35b4	-1.5 ± 0.4	N.C.	N.C.	N.C.	71
BB357585	solute carrier family 1 (glial high affinity glutamate transporter), member 3	Slc1a3	-1.9 ± 0.4	N.C.	-1.6 ± 0.4	N.C.	72
BB778934	solute carrier family 35, member A5	Slc35a5	-1.6 ± 0.4	N.C.	N.C.	N.C.	73
BC018167	solute carrier family 25 (mitochondrial deoxynucleotide carrier), member 19	Slc25a19	-1.7 ± 0.4	N.C.	N.C.	N.C.	74
M63801	gap junction membrane channel protein alpha 1	Gja1	N.C.	N.C.	-1.7 ± 0.4	N.C.	75
NM_007885	solute carrier family 26 (sulfate transporter), member 2	Slc26a2	N.C.	N.C.	N.C.	-1.5 ± 0.4	76
NM_011867	solute carrier family 26, member 4	Slc26a4	N.C.	-2.3 ± 0.4	-1.9 ± 0.4	N.C.	77
NM_017394	solute carrier family 7 (cationic amino acid transporter, y+ system), member 10	Slc7a10	-1.7 ± 0.4	N.C.	N.C.	N.C.	78
NM_021520	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2 /// similar to solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	Slc28a2 /// LOC381417	N.C.	N.C.	-4.4 ± 0.5	N.C.	79
NM_026228	solute carrier family 39 (metal ion transporter), member 8	Slc39a8	N.C.	N.C.	N.C.	-1.5 ± 0.4	80
AI790337	Aquaporin 6	Aqp6	N.C.	-1.8 ± 0.4	N.C.	N.C.	80
AV338037	calcium channel, voltage-dependent, gamma subunit 7	Cacng7	N.C.	-1.9 ± 0.4	N.C.	N.C.	143
BB193413	aquaporin 4	Aqp4	-1.6 ± 0.4	N.C.	N.C.	N.C.	602
BE951842	sodium channel, voltage-gated, type III, beta	Scn3b	-2.9 ± 0.4	N.C.	-2.4 ± 0.4	-3.2 ± 0.4	814
BG069383	Calcium channel, voltage-dependent, beta 2 subunit	Cacnb2	-2.0 ± 0.4	N.C.	N.C.	N.C.	855
AV280658	transmembrane channel-like gene family 1	Tmc1	N.C.	-2.1 ± 0.4	N.C.	N.C.	1098
AI552141	ATP-binding cassette, sub-family F (GCN20), member 3	Abcf3	-1.7 ± 0.3	N.C.	N.C.	N.C.	1210
BB655734	sodium channel, voltage-gated, type VII, alpha	Scn7a	-2.1 ± 0.4	N.C.	-1.7 ± 0.4	-2.1 ± 0.4	1448
NM_009781	calcium channel, voltage-dependent, L type, alpha 1C subunit	Cacna1c	-1.7 ± 0.4	N.C.	-1.5 ± 0.4	N.C.	1780
NM_026536	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s	Atp5s	-1.5 ± 0.4	N.C.	N.C.	N.C.	1894
BM230211	zinc finger protein 422, related sequence 1		-1.5 ± 0.4	N.C.	N.C.	N.C.	948
BM240056	TBC1 domain family, member 5	Tbc1d5	-2.4 ± 0.4	-2.8 ± 0.4	N.C.	N.C.	955
BM204661	PHD finger protein 21A	Bhc80	-1.7 ± 0.4	N.C.	N.C.	N.C.	934
BM211194	similar to Zinc finger protein 267 (Zinc finger protein HZF2)	LOC434178	-4.3 ± 0.4	N.C.	N.C.	N.C.	939
BM220786	zinc finger, FYVE domain containing 16	Zfyve16	-2.2 ± 0.4	N.C.	N.C.	N.C.	945
BB096886	sodium channel, voltage-gated, type III, alpha	Scn3a	-1.6 ± 0.4	N.C.	-1.9 ± 0.4	-2.0 ± 0.4	562
BB426020	transient receptor potential cation channel, subfamily C, member 4	Trpc4	N.C.	-2.3 ± 0.5	N.C.	N.C.	22
BB377721	transient receptor potential cation channel, subfamily M, member 3	Trpm3	N.C.	-3.0 ± 0.6	N.C.	N.C.	254
