GenBank ID	Gene symbol	Fold change a	E2F3-binding site b	Function
NM_001949	E2F3	0.430575	+	Cell cycle progression, cell division, differentiation
BU663337	MT1B	0.414323	N/A	Unknown
AA812462	HIST1H2BG	0.407574	N/A	Nucleosome assembly, chromosome organization
BQ278502	PTTG1	0.406299	+	Apoptosis, growth, proliferation
NM_012112	TPX2	0.402954	N/A	Proliferation
AK095855	NUCKS	0.401606	N/A	Cell cycle progression
BX103578		0.399611	N/A	Unknown
BC065180	LOC144501	0.393538	N/A	Structural function
CR604810	CCNA2	0.3922	+	Apoptosis, cell cycle progression, mitosis
AK124859	RBPMS	0.388624	+	RNA processing
NM_032582	USP32	0.38744	+	Ubiquitination
BX102654	HIST1H4B	0.379975	N/A	Nucleosome assembly, chromosome organization
AK093924	MT1X	0.377946	+	Colony formation
CA310244	HIST1H2BN	0.374179	+	Nucleosome assembly, chromosome organization
AY358648	KIAA0101	0.372645	N/A	DNA repair, apoptosis, cell cycle progression
BQ215664	MAD2L1	0.371986	+	Cell cycle, mitosis, cell division
BF983642	HIST1H2BJ	0.361401	+	Nucleosome assembly, chromosome organization
BU902638	HIST1H3E	0.34296	N/A	Nucleosome assembly, chromosome organization
BQ051491	HIST1H3D	0.328437	+	Nucleosome assembly, chromosome organization
AK123010	RRM2	0.324822	-	DNA replication, deoxyribonucleoside diphosphate metabolism
NM_002296	LBR	0.289468	+	Nucleic acid binding, lamin binding
BQ940876	HIST1H1C	0.288456	+	Nucleosome assembly, chromosome organization
NM_003246	THBS1	0.240058	+	Adhesion, apoptosis, chemotaxis
NM_003246	THBS1	0.228862	+	Adhesion, apoptosis, chemotaxis
