HGNC Identifier	Description	Foldchange EB/ MK	Ensembl ID
C1orf38	ICB-1beta (Basement membrane-induced gene). [Source:SPTREMBL;Acc:Q9NS90]	7.481603028	ENSG00000130775
C20orf46	c20orf46	7.341658478	ENSG00000125895
GNA12	Guanine nucleotide-binding protein, alpha-12 subunit (G alpha 12). [Source:SWISSPROT;Acc:Q03113]	7.3243372	ENSG00000146535
BST2	Bone marrow stromal antigen 2 (BST-2). [Source:SWISSPROT;Acc:Q10589]	7.249980109	ENSG00000130303
ANXA1	Annexin A1 (Annexin I) (Lipocortin I) (Calpactin II) (Chromobindin 9) (P35) (Phospholipase A2 inhibitory protein). [Source:SWISSPROT;Acc:P04083]	7.127351064	ENSG00000135046
GCHFR	GTP cyclohydrolase I feedback regulatory protein (P35). [Source:SWISSPROT;Acc:P30047]	7.066553331	ENSG00000137880
HMBS	Porphobilinogen deaminase (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase) (PBG-D). [Source:SWISSPROT;Acc:P08397]	6.960637262	ENSG00000149397
CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	6.923527757	ENSG00000162545
FECH	Ferrochelatase, mitochondrial precursor (EC 4.99.1.1) (Protoheme ferro-lyase) (Heme synthetase). [Source:SWISSPROT;Acc:P22830]	6.855735418	ENSG00000066926
AQP2	Aquaporin-CD (AQP-CD) (Water channel protein for renal collecting duct) (ADH water channel) (Aquaporin 2) (Collecting duct water channel protein) (WCH-CD). [Source:SWISSPROT;Acc:P41181]	6.683468375	ENSG00000167580
RASD1	Dexamethasone-induced Ras-related protein 1 (Activator of G-protein signaling 1). [Source:SWISSPROT;Acc:Q9Y272]	6.57838367	ENSG00000108551
AKR1C3	Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (Chlordecone reductase) (EC 1.1.1.225) (CDR) (3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.50) (3-alpha-HSD) (Dihydrodiol dehydrogenase 4) (DD4) (HAKRA). [Source:SWISSPROT;Acc:P17516]	6.565348138	ENSG00000196139
IFI30	Gamma-interferon inducible lysosomal thiol reductase precursor (Gamma-interferon-inducible protein IP-30). [Source:SWISSPROT;Acc:P13284]	6.520905505	ENSG00000105648
IGFBP4	Insulin-like growth factor binding protein 4 precursor (IGFBP-4) (IBP-4) (IGF-binding protein 4). [Source:SWISSPROT;Acc:P22692]	6.312143749	ENSG00000141753
SLC6A9	Sodium- and chloride-dependent glycine transporter 1 (GlyT1) (GlyT-1). [Source:SWISSPROT;Acc:P48067]	6.227440581	ENSG00000117413
ERMAP	erythroblast membrane-associated protein; erythroid membrane-associated protein. [Source:RefSeq;Acc:NM_018538]	6.148552242	ENSG00000164010
TUBB6	tubulin beta MGC4083. [Source:RefSeq;Acc:NM_032525]	6.061450239	ENSG00000176014
BAT4	Protein BAT4 (HLA-B-associated transcript 4) (G5). [Source:SWISSPROT;Acc:O95872]	6.036208149	ENSG00000096153
DHRS3	dehydrogenase/reductase (SDR family) member 3; short-chain dehydrogenase/reductase 1. [Source:RefSeq;Acc:NM_004753]	5.974160905	ENSG00000162496
MST1 protein	DJ1182A14.3 (Similar to MST1 (Macrophage stimulating 1 (Hepatocyte growth factor-like))). [Source:SPTREMBL;Acc:Q9H1V4]	5.958867605	ENSG00000186301
HBQ1	Hemoglobin theta-1 chain. [Source:SWISSPROT;Acc:P09105]	5.95212452	ENSG00000086506
SLC2A1	Solute carrier family 2, facilitated glucose transporter, member 1 (Glucose transporter type 1, erythrocyte/brain) (HepG2 glucose transporter). [Source:SWISSPROT;Acc:P11166]	5.905003732	ENSG00000117394
PAK1	Serine/threonine-protein kinase PAK 1 (EC 2.7.1.37) (p21-activated kinase 1) (PAK-1) (P65-PAK) (Alpha-PAK). [Source:SWISSPROT;Acc:Q13153]	5.873219019	ENSG00000149269
MUC1	Mucin 1 precursor (MUC-1) (Polymorphic epithelial mucin) (PEM) (PEMT) (Episialin) (Tumor-associated mucin) (Carcinoma-associated mucin) (Tumor-associated epithelial membrane antigen) (EMA) (H23AG) (Peanut- reactive urinary mucin) (PUM) (Breast carcinoma-associated antigen DF3) (CD227 antigen). [Source:SWISSPROT;Acc:P15941]	5.813686791	ENSG00000185499
KCNH6	Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go related gene potassium channel 2) (Ether-a-go-go related protein 2) (Eag related protein 2) (KV11.2). [Source:SWISSPROT;Acc:Q9H252]	5.654602027	ENSG00000173826
SDC4	Syndecan-4 precursor (Amphiglycan) (SYND4) (Ryudocan core protein). [Source:SWISSPROT;Acc:P31431]	5.584232449	ENSG00000124145
COPEB	Core promoter element-binding protein (Kruppel-like factor 6) (B-cell derived protein 1) (Proto-oncogene BCD1) (Transcription factor Zf9) (GC-rich sites binding factor GBF). [Source:SWISSPROT;Acc:Q99612]	5.482657074	ENSG00000067082
GLRX	Glutaredoxin-1 (Thioltransferase-1) (TTase-1). (GLRX)	5.443011659	ENSG00000173221
CRHBP	Corticotropin-releasing factor binding protein precursor (CRF-binding protein) (CRF-BP) (Corticotropin-releasing hormone-binding protein) (CRH-BP). [Source:SWISSPROT;Acc:P24387]	5.293072599	ENSG00000145708
PPP2R5B	Serine/threonine protein phosphatase 2A, 56 kDa regulatory subunit, beta isoform (PP2A, B subunit, B beta isoform) (PP2A, B subunit, B56 beta isoform) (PP2A, B subunit, PR61 beta isoform) (PP2A, B subunit, R5 beta isoform). [Source:SWISSPROT;Acc:Q15173]	5.212701241	ENSG00000068971
KLF1	Erythroid krueppel-like transcription factor (EKLF) (Erythroid transcription factor). [Source:SWISSPROT;Acc:Q13351]	5.146160337	ENSG00000105610
RPS6KL1	ribosomal protein S6 kinase-like 1. [Source:RefSeq;Acc:NM_031464]	4.986163019	ENSG00000198208
AMID	apoptosis-inducing factor (AIF)-homologous mitochondrion-associated inducer of death; p53-responsive gene 3. [Source:RefSeq;Acc:NM_032797]	4.955580468	ENSG00000042286
C1orf198	c1orf198	4.86714953	ENSG00000119280
OSBPL6	Oxysterol binding protein-related protein 6 (OSBP-related protein 6) (ORP-6). [Source:SWISSPROT;Acc:Q9BZF3]	4.860787294	ENSG00000079156
TPSG1	Tryptase gamma precursor (EC 3.4.21.-) (Transmembrane tryptase). [Source:SWISSPROT;Acc:Q9NRR2]	4.837541054	ENSG00000116176
OSM	Oncostatin M precursor (OSM). [Source:SWISSPROT;Acc:P13725]	4.820084145	ENSG00000099985
CD320	CD320 antigen precursor (8D6 antigen) (FDC-signaling molecule 8D6) (FDC-SM-8D6). [Source:Uniprot/SWISSPROT;Acc:Q9NPF0]	4.787856569	ENSG00000167775
RRAGD	Ras-related GTP binding D; Rag D protein. [Source:RefSeq;Acc:NM_021244]	4.656155866	ENSG00000025039
RXRA	Retinoic acid receptor RXR-alpha. [Source:SWISSPROT;Acc:P19793]	4.571543178	ENSG00000186350
ANK1	Ankyrin 1 (Erythrocyte ankyrin) (Ankyrin R). [Source:SWISSPROT;Acc:P16157]	4.554511583	ENSG00000029534
MCOLN3	mucolipin 3. [Source:RefSeq;Acc:NM_018298]	4.490704528	ENSG00000055732
USH1C	Harmonin (Usher syndrome 1C protein) (Autoimmune enteropathy-related antigen AIE-75) (Antigen NY-CO-38/NY-CO-37) (PDZ-73 protein). [Source:SWISSPROT;Acc:Q9Y6N9]	4.385767525	ENSG00000006611
NP_056496.1	B9 protein; likely ortholog of mouse endothelial precursor protein B9. [Source:RefSeq;Acc:NM_015681]	4.385189699	ENSG00000108641
NP_060895.1	phosphatidylinositol 4-kinase type II. [Source:RefSeq;Acc:NM_018425]	4.382246203	ENSG00000043822
APOC1	Apolipoprotein C-I precursor (Apo-CI). [Source:SWISSPROT;Acc:P02654]	4.327828579	ENSG00000130208
VAT1	Synaptic vesicle membrane protein VAT-1 homolog. [Source:SWISSPROT;Acc:Q99536]	4.290584271	ENSG00000108828
GPT	Alanine aminotransferase (EC 2.6.1.2) (Glutamic--pyruvic transaminase) (GPT) (Glutamic--alanine transaminase). [Source:SWISSPROT;Acc:P24298]	4.232153276	ENSG00000167701
PSAT1	Phosphoserine aminotransferase (EC 2.6.1.52) (PSAT). [Source:SWISSPROT;Acc:Q9Y617]	4.201526366	ENSG00000135069
TMEM2	transmembrane protein 2. [Source:RefSeq;Acc:NM_013390]	4.181895931	ENSG00000135048
ANXA2	Annexin A2 (Annexin II) (Lipocortin II) (Calpactin I heavy chain) (Chromobindin 8) (P36) (Protein I) (Placental anticoagulant protein IV) (PAP-IV). [Source:SWISSPROT;Acc:P07355]	4.171011767	ENSG00000182718
PGLYRP3	Peptidoglycan recognition protein I-alpha precursor (Peptidoglycan recognition protein intermediate alpha) (PGRP-I-alpha) (PGLYRPIalpha). [Source:SWISSPROT;Acc:Q96LB9]	4.080343119	ENSG00000159527
AKR1C2	Aldo-keto reductase family 1 member C2 (EC 1.1.1.-) (Trans-1,2- dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Dihydrodiol dehydrogenase 2) (DD2). [Source:SWISSPROT;Acc:P52895]	4.07091043	ENSG00000151632
USP24	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.1.2.15) (Ubiquitin thiolesterase 24) (Ubiquitin-specific processing protease 24) (Deubiquitinating enzyme 24) (Fragment). [Source:SWISSPROT;Acc:Q9UPU5]	4.057158396	ENSG00000162402
CYB561	Cytochrome b561 (Cytochrome b-561).	4.05596833	ENSG00000008283
GYPC	Glycophorin C (PAS-2) (Glycoprotein beta) (GLPC) (Glycoconnectin) (Sialoglycoprotein D) (Glycophorin D) (GPD). [Source:SWISSPROT;Acc:P04921]	4.041302778	ENSG00000136732
AVPI1	vasopressin-induced protein, 32kDa; vasopressin-induced transcript. [Source:RefSeq;Acc:NM_021732]	4.011564407	ENSG00000119986
ID2	DNA-binding protein inhibitor ID-2. [Source:SWISSPROT;Acc:Q02363]	3.93190001	ENSG00000115738
GLTP	Glycolipid transfer protein (GLTP). [Source:SWISSPROT;Acc:Q9NZD2]	3.870456928	ENSG00000139433
CHPT1	choline phosphotransferase 1; cholinephosphotransferase 1 alpha; cholinephosphotransferase 1. [Source:RefSeq;Acc:NM_020244]	3.785731703	ENSG00000111666
SLC29A1	Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type). [Source:SWISSPROT;Acc:Q99808]	3.784589938	ENSG00000112759
CSTF2T	Cleavage stimulation factor, 64 kDa subunit, tau variant (CSTF 64 kDa subunit, tau variant) (CF-1 64 kDa subunit, tau variant) (TauCstF-64)	3.767558851	ENSG00000177613
METAP2	Methionine aminopeptidase 2 (EC 3.4.11.18) (MetAP 2) (Peptidase M 2) (Initiation factor 2 associated 67 kDa glycoprotein) (p67) (p67eIF2). [Source:SWISSPROT;Acc:P50579]	3.762661596	ENSG00000111142
HZF2	Zinc finger protein 267 (Zinc finger protein HZF2). [Source:SWISSPROT;Acc:Q14586]	3.738080838	ENSG00000167411
EGFL8	EGF-like domain-containing protein 8 precursor (Epidermal growth factor-like protein 8) (Multiple EGF-like domain protein 8) (Vascular endothelial-statin 2) (VE-statin-2).	3.708825622	ENSG00000168452
CCNE1	G1/S-specific cyclin E1. [Source:SWISSPROT;Acc:P24864]	3.635439977	ENSG00000105173
ACSBG1	lipidosin; bubblegum; very long-chain acyl-CoA synthetase. [Source:RefSeq;Acc:NM_015162]	3.582268791	ENSG00000103740
PIK3R2	Phosphatidylinositol 3-kinase regulatory beta subunit (PI3-kinase p85-beta subunit) (PtdIns-3-kinase p85-beta). [Source:SWISSPROT;Acc:O00459]	3.546635729	ENSG00000105647
GCLC	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (Gamma- glutamylcysteine synthetase) (Gamma-ECS) (GCS heavy chain). [Source:SWISSPROT;Acc:P48506]	3.53133621	ENSG00000001084
MYO1D	Myosin Id. [Source:SWISSPROT;Acc:O94832]	3.516534406	ENSG00000176658
S100A6	Calcyclin (Prolactin receptor associated protein) (PRA) (Growth factor-inducible protein 2A9) (S100 calcium-binding protein A6) (MLN 4). [Source:SWISSPROT;Acc:P06703]	3.486779885	ENSG00000197956
RABL5	RAB, member RAS oncogene family-like 5; RAB, member of RAS oncogene family-like 5. [Source:RefSeq;Acc:NM_022777]	3.46374774	ENSG00000128581
SLC19A1	Folate transporter 1 (Placental folate transporter) (FOLT) (Reduced folate carrier protein) (RFC) (Intestinal folate carrier) (IFC-1). [Source:SWISSPROT;Acc:P41440]	3.451833624	ENSG00000173638
ABCC5	Multidrug resistance-associated protein 5 (Multi-specific organic anion tranporter-C) (MOAT-C) (pABC11) (SMRP). [Source:SWISSPROT;Acc:O15440]	3.443178297	ENSG00000114770
C16orf67	C16orf67 protein	3.426462286	ENSG00000131797
C1QDC1	C1q domain containing 1 isoform L. [Source:RefSeq;Acc:NM_023925]	3.423307146	ENSG00000110888
ANKRD26	ankyrin repeat domain 26	3.401037675	ENSG00000107890
SPHK1	Sphingosine kinase 1 (EC 2.7.1.-) (SK 1) (SPK 1). [Source:SWISSPROT;Acc:Q9NYA1]	3.358267285	ENSG00000176170
TSTA3	GDP-L-fucose synthetase (EC 1.1.1.271) (FX protein) (Red cell NADP(H)- binding protein) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4- reductase). [Source:SWISSPROT;Acc:Q13630]	3.334958593	ENSG00000104522
HIRA	HIRA protein (TUP1 like enhancer of split protein 1). [Source:SWISSPROT;Acc:P54198]	3.328472849	ENSG00000100084
GALNT6	polypeptide N-acetylgalactosaminyltransferase 6; UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6; protein-UDP acetylgalactosaminyltransferase 6; GalNAc transferase 6; GalNAc-T6. [Source:RefSeq;Acc:NM_007210]	3.318928638	ENSG00000139629
RSC1A1	regulatory solute carrier protein, family 1, member 1. [Source:RefSeq;Acc:NM_006511]	3.28351482	ENSG00000197312
CISH	Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Suppressor of cytokine signaling) (SOCS) (G18). [Source:SWISSPROT;Acc:Q9NSE2]	3.269721879	ENSG00000114737
KALRN	serine/threonine kinase with Dbl- and pleckstrin homology domain. [Source:RefSeq;Acc:NM_007064]	3.242761235	ENSG00000160145
CDC42EP4	Cdc42 effector protein 4 (Binder of Rho GTPase 4). [Source:SWISSPROT;Acc:Q9H3Q1]	3.225225976	ENSG00000179604
BLVRA	Biliverdin reductase A precursor (EC 1.3.1.24) (Biliverdin-IX alpha- reductase). [Source:SWISSPROT;Acc:P53004]	3.215482056	ENSG00000106605
BBS4	Bardet-Biedl syndrome 4 protein. [Source:SWISSPROT;Acc:Q96RK4]	3.192442387	ENSG00000140463
SLC12A4	Solute carrier family 12 member 4 (Electroneutral potassium-chloride cotransporter 1) (Erythroid K-Cl cotransporter 1) (hKCC1). [Source:SWISSPROT;Acc:Q9UP95]	3.188417524	ENSG00000124067
LOH11CR2A	Loss of heterozygosity 11 chromosomal region 2 gene A protein (Breast cancer suppressor candidate 1) (BCSC-1). [Source:SWISSPROT;Acc:O00534]	3.180184761	ENSG00000110002
AMMECR1	AMME syndrome candidate gene 1 protein. [Source:SWISSPROT;Acc:Q9Y4X0]	3.157752959	ENSG00000101935
PDE4A	cAMP-specific 3,5-cyclic phosphodiesterase 4A (EC 3.1.4.17) (DPDE2) (PDE46). [Source:SWISSPROT;Acc:P27815]	3.132384208	ENSG00000065989
SLC2A6	Solute carrier family 2, facilitated glucose transporter, member 6 (Glucose transporter type 6) (Glucose transporter type 9). [Source:SWISSPROT;Acc:Q9UGQ3]	3.130348436	ENSG00000160326
VIL2	Ezrin (p81) (Cytovillin) (Villin 2). [Source:SWISSPROT;Acc:P15311]	3.127200994	ENSG00000092820
REXO2	Oligoribonuclease, mitochondrial precursor (EC 3.1.-.-) (Small fragment nuclease) (CGI-114). [Source:SWISSPROT;Acc:Q9Y3B8]	3.111797542	ENSG00000076043
PPT2	Palmitoyl-protein thioesterase 2 precursor (EC 3.1.2.22) (Palmitoyl- protein hydrolase 2) (PPT-2) (G14). [Source:SWISSPROT;Acc:Q9UMR5]	3.111280027	ENSG00000168452
FABP3	Fatty acid-binding protein, heart (H-FABP) (Muscle fatty acid-binding protein) (M-FABP) (Mammary-derived growth inhibitor) (MDGI). [Source:SWISSPROT;Acc:P05413]	3.104759712	ENSG00000121769
MAPK1	Mitogen-activated protein kinase 1 (EC 2.7.1.37) (Extracellular signal-regulated kinase 2) (ERK-2) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2) (p42-MAPK) (ERT1). [Source:SWISSPROT;Acc:P28482]	3.095884065	ENSG00000100030
CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2; carbohydrate (chondroitin 6/keratan) sulfotransferase 2. [Source:RefSeq;Acc:NM_004267]	3.055307884	ENSG00000175040
C20orf97	Neuronal cell death inducible putative kinase (SKIP3). [Source:SWISSPROT;Acc:Q96RU7]	3.048065506	ENSG00000101255
BSG	Basigin precursor (Leukocyte activation antigen M6) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (5F7) (CD147 antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (OK blood group antigen). [Source:SWISSPROT;Acc:P35613]	3.033343486	ENSG00000172270
ECT2	ECT2 protein (Epithelial cell transforming sequence 2 oncogene). [Source:SWISSPROT;Acc:Q9H8V3]	2.996146025	ENSG00000114346
MFHAS1	malignant fibrous histiocytoma amplified sequence 1; MFH-amplified sequences with leucine-rich tandem repeats 1. [Source:RefSeq;Acc:NM_004225]	2.995352553	ENSG00000147324
HDAC7A	Histone deacetylase 7a (HD7a). [Source:SWISSPROT;Acc:Q8WUI4]	2.98667498	ENSG00000061273
TGIF	5-TG-3 interacting factor (Homeobox protein TGIF). [Source:SWISSPROT;Acc:Q15583]	2.979727525	ENSG00000177426
ZFP36L2	Butyrate response factor 2 (TIS11D protein) (EGF-response factor 2) (ERF-2). [Source:SWISSPROT;Acc:P47974]	2.977907216	ENSG00000152518
CD36	Platelet glycoprotein IV (GPIV) (GPIIIB) (CD36 antigen) (PAS IV) (PAS-4 protein). [Source:SWISSPROT;Acc:P16671]	2.947503369	ENSG00000135218
PISD	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Contains: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]. [Source:SWISSPROT;Acc:Q9UG56]	2.945222853	ENSG00000100141
FAIM2	Fas apoptotic inhibitory molecule 2 (Lifeguard protein). [Source:SWISSPROT;Acc:Q9BWQ8]	2.934641179	ENSG00000135472
EPOR	Erythropoietin receptor precursor (EPO-R). [Source:SWISSPROT;Acc:P19235]	2.912003832	ENSG00000187266
TST	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese). [Source:SWISSPROT;Acc:Q16762]	2.887572585	ENSG00000128311
