Gene symbol	Description	Accession no.	SAM score	Fold change	Function
EXTL1	Tumor suppressor EXT-like protein	NM_001440	3.59	2	Cell growth and/or maintenance
NFKB2	Nuclear factor of ? light polypeptide gene enhancer in B-cells 2 (p49/p100)	NM_002502	3.04	2.04	Cell growth and/or maintenance
PPAP2B	Phosphatidic acid phosphatase 2b	NM_003713	3.99	2.02	Cell growth and/or maintenance
JUN	V-jun avian sarcoma virus 17 oncogene homolog	NM_002228	3.76	5.26	Cell growth and/or maintenance
INHA	Inhibin A	NM_002191	3.32	1.81	Cell growth and/or maintenance
SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	NM_002394	2.29	2.32	Cell growth and/or maintenance
ARHE	Ras homolog gene family, member E (RhoE)	NM_005168	3.27	2.54	Signal transduction
MAPK6	Mitogen-activated protein kinase 6/ERK3	NM_002748	3.46	1.7	Signal transduction
LTB	Lymphotoxin ?	NM_002341	3.55	3.09	Signal transduction
EDN1	Endothelin 1	NM_001955	3.51	2.53	Signal transduction
PPP2R2C	Protein phosphatase 2, regulatory subunit B ? isoform	XM_029744	2.76	1.61	Signal transduction
CAPN5	Calpain5	NM_004055	2.54	1.81	Signal transduction
MAP2K3	MAP kinase kinase 3b	NM_145110	2.38	2.1	Signal transduction
PLCB4	Phospholipase C, ? 4	NM_000933	2.62	1.91	Signal transduction
RAB6A	RAB6A, member RAS oncogene family	NM_002869	2.58	1.52	Signal transduction
NR2F1	Nuclear receptor subfamily 2, group F, member 1	NM_005654	2.48	1.75	Signal transduction
TBL3	Transducin ?-like 3	NM_006453	2.29	1.87	Signal transduction
PPP1R3A	Protein phosphatase 1, regulatory (inhibitor) subunit 3A	XM_054777	2.24	1.68	Signal transduction
ARHGDIA	Rho GDP dissociation inhibitor ? (RhoDHIA)	NM_004309	4.12	3.2	Cell adhesion
CLSTN1	KIAA0911 protein	NM_014944	3.72	2	Cell adhesion
LAMP2	Lysosomal-associated membrane protein 2	NM_002294	2.98	2.44	Cell adhesion
PVRL3	Nectin 3	NM_015480	2.72	2.41	Cell adhesion
PVRL2	Poliovirus receptor-related 2 (herpes virus entry mediator B)	NM_002856	2.66	2.39	Cell adhesion
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	NM_001681	2.36	1.58	Cell adhesion
MLLT4	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4	NM_005936	2.33	1.97	Cell adhesion
VEL1	Vertebrate LIN7 homolog 1, Tax interaction protein 33	NM_004664	2.88	2.54	Cell adhesion
BTG1	B-cell translocation gene 1, antiproliferative	NM_001731	3.58	2.02	Regulation of cell proliferation
PMP22	Peripheral myelin protein 22	NM_000304	3.52	2.01	Regulation of cell proliferation
HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	NM_004712	3.06	1.84	Regulation of cell proliferation
LRPAP1	Low density lipoprotein-related protein-associated protein 1	NM_002337	3.6	1.96	Regulation of cell proliferation
IGF2	Insulin-like growth factor 2 (somatomedin A)	NM_000612	3.09	3.22	Regulation of cell proliferation
DYRK1A	Serine-threonine protein kinase (MNBH)	NM_101395	2.49	1.91	Regulation of cell proliferation
TOB2	Transducer of ERBB2, 2	NM_016272	2.37	1.84	Regulation of cell proliferation
GIP2	Interferon-stimulated protein, 15 kDa (ISG15)	NM_005101	2.78	2.9	Cell-cell signaling
CHERP	Protein with polyglutamine repeat; calcium (ca2+) homeostasis endoplasmic reticulum protein	NM_006387	5.98	2.92	Cell-cell signaling
MPHOSPH10	M-phase phosphoprotein 10	NM_005791	3.09	1.76	Cell-cell signaling
SLBP	Hairpin binding protein, histone (HBP)	NM_006527	2.5	2.25	Cell-cell signaling
GJA7	Gap junction protein, ? 7, 45kD (connexin 45)	NM_005497	2.54	2.39	Intercellular junction assembly
ATP7B	ATPase, Cu++ transporting, ? polypeptide (Wilson disease)	NM_000053	4.1	6.14	Transport
ATP6IP1	ATPase, H+ transporting, lysosomal, subunit 1	NM_001183	3.76	1.8	Transport
SLC16A1	Monocarboxylate transporter 1 (SLC16A1)	NM_003051	3.07	1.65	Transport
ATP6V0C	ATPase, H+ transporting, lysosomal (vacuolar proton pump)	NM_001694	3.04	1.5	Transport
GTF3C1	General transcription factor IIIC, polypeptide 1 (? subunit)	NM_001520	3.9	1.83	Transport
TLOC1	Translocation protein 1	NM_003262	3.13	2.17	Transport
NAPG	N-ethylmaleimide-sensitive factor attachment protein, ?	NM_003826	2.29	2.32	Transport
ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	NM_000689	3.89	5.2	Metabolism
AUP1	Ancient ubiquitous protein 1	AF100754	3.71	1.72	Metabolism
ATP1A1	ATPase, Na+/K+ transporting, ? 1 polypeptide	NM_000701	3.28	1.5	Metabolism
AGPAT2	Lysophosphatidic acid acyltransferase	NM_006412	2.52	3.07	Metabolism
RBM12	Putative brain nuclearly-targeted protein	AB018308	3.77	1.96	RNA binding
EIF2S1	Translation initiation factor eIF-2?	NM_004094	2.93	1.67	RNA binding
FMR1	Fragile X mental retardation 1	NM_002024	2.32	2.06	RNA binding
PLOD3	Procollagen-lysine 2-oxoglutarate 5-dioxygenase	NM_001084	3.66	2.35	Protein modification
PTPRU	Receptor protein tyrosine phosphatase hPTP-J precursor	NM_005704	3.37	1.73	Protein modification
WFDC2	WAP four-disulfide core domain 2	NM_006103	2.54	2.49	Proteolysis and peptidolysis
C1S	Complement component 1, s subcomponent	NM_001734	2.5	3.3	Proteolysis and peptidolysis
PSMD13	Proteasome (prosome, macropain) 26S subunit	NM_002817	2.62	1.66	Proteolysis and peptidolysis
PRSS8	Prostasin	NM_002773	2.4	1.73	Proteolysis and peptidolysis
VIL2	Vilin2	NM_003379	3.11	2.07	Cytoskeletal anchoring
SDC3	Syndecan 3 (N-syndecan)	AB007937	2.26	2.04	Cytoskeletal anchoring
PLEC1	Plectin 1	NM_000445	2.25	1.75	Cytoskeletal anchoring
SERPINE2	Plasminogen activator inhibitor type 1 member	NM_006216	2.6	3.67	Regulation of cell migration
SERPINH2	Collagen binding protein 2	NM_001235	2.98	2.08	Heat shock protein activity
HSPH1	Heat shock Mr 105,000 (HSP105B)	NM_006644	2.85	3.65	Heat shock protein activity
DNAJB1	Heat shock Mr 40,000 protein 1 (HSPF1)	NM_006145	3.1	2.19	Heat shock protein activity
HSPA6	Heat shock Mr 70,000 protein 6 (HSP70B?)	NM_002155	2.49	2.29	Heat shock protein activity
TFF3	Trefoil factor 3 (intestinal)	NM_003226	2.51	2.51	Defense response
HIST1H1C	H1 histone family, member 2 (H1F2)	NM_005319	2.47	3.62	Nucleosome assembly
HMOX1	Heme oxygenase (decycling) 1	NM_002133	2.41	2.42	Others
CDR2	Cerebellar degeneration-related protein 2	BC017503	2.97	2.2	Others
A2LP	Ataxin 2 related protein	NM_007245	2.94	2.04	Others
PCOLN3	Procollagen (type III) N-endopeptidase	NM_002768	2.83	1.55	Others
RNF13	Ring finger protein 13	NM_007282	2.43	1.96	Others
IER2	Immediate early protein (ETR101)	NM_004907	2.91	2.8	Others
HCA58	Hepatocellular carcinoma-associated antigen 58	AF220416	2.43	2.15	Others
