Category	GeneBank	Symbol	Description	Fold change	P
Protein kinases	AV693403	HIPK3	Homeodomain-interacting protein kinase 3	>1.29	0.03164
Protein kinases	BF222823	AKAP13	A kinase (PRKA) anchor protein 13	<2.14	2.10E-02
Protein kinases	M68956	MARCKS	Myristoylated alanine-rich protein kinase C substrate	<1.51	3.30E-02
Protein kinases	BF246499	YWHAB	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide	<1.41	4.60E-02
Miscellaneous	AF322916	UACA	Uveal autoantigen	>2.15	0.00088
Miscellaneous	NM_016217	HECA	Headcase homologue (Drosophila)	>2.13	0.0093
Miscellaneous	NM_005479	FRAT1	Frequently rearranged in advanced T-cell lymphomas	>1.95	0.04359
Miscellaneous	NM_005585	SMAD6	SMAD, mothers against DPP homologue 6	>1.86	0.03904
Miscellaneous	N79004	SIX1	Sine oculis homeobox homologue 1 (Drosophila)	>1.86	0.03568
Miscellaneous	N64780	ASXL1	Additional sex combs like 1 (Drosophila)	>1.84	0.0325
Miscellaneous	AI492369	SOCS7	Suppressor of cytokine signalling 7	>1.78	0.00604
Miscellaneous	AK025298	AUTS2	Autism susceptibility candidate 2	>1.75	0.01359
Miscellaneous	FLJ14681	FLJ14681	Hypothetical protein FLJ14681	>1.59	0.0421
Miscellaneous	AB011126	FNBP1	Formin-binding protein 1	>1.44	0.02386
Miscellaneous	NM_007027	TOPBP1	Topoisomerase (DNA) II-binding protein	>1.4	0.0268
Miscellaneous	AL050164	CDYL	Chromodomain protein, Y-like	>1.35	0.02724
Miscellaneous	NM_014315	KLHDC2	Kelch domain containing 2	>1.35	0.02605
Miscellaneous	BF116183	ETEA	Expressed in T-cells and eosinophils in atopic dermatitis	<2.16	2.50E-02
Miscellaneous	NM_001561	TNFRSF9	Tumour necrosis factor receptor superfamily, member 9	<2.02	4.70E-02
Miscellaneous	NM_004731	SLC16A7	Solute carrier family 16	<1.9	3.70E-02
Miscellaneous	AI860431	PSMD1	Proteasome (macropain) 26S subunit, non-ATPase	<1.80	3.40E-02
Miscellaneous	NM_012470	TNPO3	Transportin 3	<1.8	3.40E-03
Miscellaneous	U72069	TNPO1	Transportin 1	<1.68	1.70E-02
Miscellaneous	BF515894	SLC38A1	Solute carrier family 38A1	<1.63	7.80E-03
Miscellaneous	L06147	GOLGA2	Golgi autoantigen, golgin subfamily a, 2	<1.62	3.30E-02
Miscellaneous	NM_012197	RABGAP1	RAB GTPase activating protein 1	<1.57	9.50E-04
Miscellaneous	NM_000484	APP	Amyloid beta (A4) precursor protein	<1.26	1.40E-02
