Gene symbol	Chromosomal location	Gene name	Cell line	Fold change
HGF	7q21.1	hepatocyte growth factor (hepapoietin A; scatter factor)	NCI-H929	-10.61
HMOX1	22q12|22q13.1	heme oxygenase (decycling) 1	MM1	-49.4
HSPA1A	6p21.3	heat shock 70kDa protein 1A	MM1	-29.3
HSPA1B	6p21.3	heat shock 70kDa protein 1B	MM1	-14.8
HSPA6	1q23	heat shock 70kDa protein 6 (HSP70B)	MM1	-169.0
HSPH1	13q12.3	heat shock 105kDa/110kDa protein 1	MM1	-6.0
IDH1	2q33.3	isocitrate dehydrogenase 1 (NADP+), soluble	MM1	-4.7
IFRD1	7q22-q31	interferon-related developmental regulator 1	MM1	-5.8
IGJ	4q21	Immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	NCI-H929	-6.95
INHBE	12q13.3	inhibin, beta E	MM1	-26.8
KIAA1466	7q33	KIAA1466 gene	MM1	-6.7
LAPTM5	1p34	lysosomal associated multispanning membrane protein 5	U266	-4.7
LRP2BP	4q35.1	LRP2 binding protein	MM1	-51.7
LSAMP	3q13.2-q21	limbic system-associated membrane protein	U266	-7.5
MAF	16q22-q23	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	U266	-6.6
MAFF	22q13.1	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MM1	-8.1
MAP1B	5q13	Microtubule-associated protein 1B	MM1	-5.5
MARS	12q13.2	Methionine-tRNA synthetase	MM1	-8.6
MGC11256	22p13	hypothetical protein MGC11256	MM1	-5.6
MGC4504	15q15.1	hypothetical protein MGC4504	MM1	-25.9
MMP16	8q21	matrix metallopeptidase 16 (membrane-inserted)	MM1	-5.6
MYC	8q24.12-q24.13	v-myc myelocytomatosis viral oncogene homolog (avian)	NCI-H929	-8.11
OKL38	16q23.3	pregnancy-induced growth inhibitor	MM1	-8.4
OLR1	12p13.2-p12.3	oxidised low density lipoprotein (lectin-like) receptor 1	U266	-12.5
P2RX5	17p13.3	purinergic receptor P2X, ligand-gated ion channel, 5	NCI-H929	-13.76
PACAP	5q23-5q31	proapoptotic caspase adaptor protein	MM1	-5.1
PGM3	6q14.1-q15	Phosphoglucomutase 3	MM1	-7.3
PHGDH	1p12	phosphoglycerate dehydrogenase	MM1	-5.6
PKD1	16p13.3	Hypothetical protein LOC339047	MM1	-41.3
PLEKHA9	12q	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 9	MM1	-6.0
PLTP	20q12-q13.1	phospholipid transfer protein	NCI-H929	-4.68
PPARGC1A	4p15.1	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	MM1	-19.1
PPFIBP1	12p11.23-p11.22	PTPRF interacting protein, binding protein 1 (liprin beta 1)	MM1	-8.2
PPP1R15A	19q13.2	protein phosphatase 1, regulatory (inhibitor) subunit 15A	MM1	-10.8
PSAT1	9q21.2	phosphoserine aminotransferase 1	MM1	-4.4
PTPRC	1q31-q32	protein tyrosine phosphatase, receptor type, C	U266	-6.0
RFPL2	22q12.3	ret finger protein-like 2	MM1	-5.4
RGS16	1q25-q31	regulator of G-protein signalling 16	MM1	-6.5
RPS19	19q13.2	ribosomal protein S19	NCI-H929	-7.87
RPS6KA2	6q27	ribosomal protein S6 kinase, 90kDa, polypeptide 2	MM1	-5.5
RRM2	2p25-p24	ribonucleotide reductase M2 polypeptide	U266	-7.2
SEC24D	4q26	SEC24 related gene family, member D (S. cerevisiae)	MM1	-97.6
SERPINH1	11q13.5	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	MM1	-35.0
SHMT2	12q12-q14	serine hydroxymethyltransferase 2 (mitochondrial)	MM1	-4.5
SLC1A4	2p15-p13	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	MM1	-4.2
SLC3A2	11q13	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	MM1	-8.3
SLC5A3	21q22.12	solute carrier family 5 (inositol transporters), member 3	MM1	-4.3
SLC6A15	12q21.3	solute carrier family 6, member 15	NCI-H929	-17.42
SLC7A11	4q28-q32	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	MM1	-14.9
SLCO4C1	5q21.2	solute carrier organic anion transporter family, member 4C1	MM1	-5.7
STCH	21q11.1|21q11	stress 70 protein chaperone, microsome-associated, 60kDa	MM1	-4.3
STK39	2q24.3	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	U266	-5.1
SYT11	1q21.2	synaptotagmin XI	MM1	-4.6
THBS1	15q15	thrombospondin 1	U266	-11.8
TIMM44	19p13.3-p13.2	translocase of inner mitochondrial membrane 44 homolog (yeast)	MM1	-6.2
TncRNA	11q13.1	Trophoblast-derived noncoding RNA	MM1	-9.2
TNFRSF17	16p13.1	tumor necrosis factor receptor superfamily, member 17	NCI-H929	-5.34
TNRC9	16q12.1	trinucleotide repeat containing 9	U266	-22.2
TPP1	11p15	tripeptidyl peptidase I	MM1	-36.4
TRA1	12q24.2-q24.3	tumor rejection antigen (gp96) 1	MM1	-6.3
TRIB3	20p13-p12.2	tribbles homolog 3 (Drosophila)	MM1	-8.3
TSHR	14q31	thyroid stimulating hormone receptor	NCI-H929	-50.24
TXNDC5	6p24.3	thioredoxin domain containing 5	NCI-H929	-6.11
UFM1	13q13.3	ubiquitin-fold modifier 1	MM1	-4.9
USH2A	1q41	Usher syndrome 2A (autosomal recessive, mild)	U266	-8.6
WARS	14q32.31	tryptophanyl-tRNA synthetase	MM1	-7.3
ZNF42	19q13.2-q13.4	zinc finger protein 42 (myeloid-specific retinoic acid-responsive)	MM1	-6.1
208301_at			MM1	-15.8
216189_at		Homo sapiens, clone IMAGE:3344506	MM1	-7.0
ABCE1	4q31	ATP-binding cassette, sub-family E (OABP), member 1	NCI-H929	-6.1
ABHD14A	3p21.1	abhydrolase domain containing 14A	U266	-4.8
ADCY7	16q12-q13	adenylate cyclase 7	NCI-H929	-5.7
AIM2	1q22	absent in melanoma 2	U266	-5.5
AK1	9q34.1	adenylate kinase 1	MM1	-4.4
AKAP2	9q31-q33	A kinase (PRKA) anchor protein 2	U266	-5.6
ANK3	10q21	ankyrin 3, node of Ranvier (ankyrin G)	NCI-H929	-17.7
ANKRD15	9p24.3	ankyrin repeat domain 15	U266	-6.8
APOBEC3B	22q13.1-q13.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	U266	-5.0
APOBEC3G	22q13.1-q13.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	U266	-12.5
ARHGDIB	12p12.3	Rho GDP dissociation inhibitor (GDI) beta	NCI-H929	-16.5
ARTS-1	5q15	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	U266	-6.4
ATF3	1q32.3	activating transcription factor 3	MM1	-10.0
ATF4	22q13.1	activating transcription factor 4 (tax-responsive enhancer element B67)	MM1	-4.9
ATIC	2q35	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	NCI-H929	-6.3
AUTS2	7q11.22	autism susceptibility candidate 2	NCI-H929	-5.6
AVEN	15q13.1	apoptosis, caspase activation inhibitor	NCI-H929	-6.2
BAG3	10q25.2-q26.2	BCL2-associated athanogene 3	MM1	-8.4
BCL2	18q21.33|18q21.3	B-cell CLL/lymphoma 2	NCI-H929	-6.9
BCL2L1	20q11.21	BCL2-like 1	U266	-6.5
BLNK	10q23.2-q23.33	B-cell linker	U266	-4.9
C11orf41	11p13	chromosome 11 open reading frame 41	NCI-H929	-7.7
C13orf18	13q14.13	chromosome 13 open reading frame 18	MM1	-9.5
C1orf121	1q44	chromosome 1 open reading frame 121	NCI-H929	-5.5
C1orf33	1p36.13	chromosome 1 open reading frame 33	NCI-H929	-9.5
C1orf34	1p32.3	chromosome 1 open reading frame 34	U266	-6.0
C20orf42	20p12.3	chromosome 20 open reading frame 42	NCI-H929	-13.9
C4orf9	4p16.3	chromosome 4 open reading frame 9	NCI-H929	-5.4
C6orf32	6p22.3-p21.32	chromosome 6 open reading frame 32	U266	-9.0
CALR	19p13.3-p13.2	Calreticulin	NCI-H929	-9.8
CAPN2	1q41-q42	calpain 2, (m/II) large subunit	NCI-H929	-4.7
CBS	21q22.3	cystathionine-beta-synthase	MM1	-5.5
CBX4	17q25.3	chromobox homolog 4 (Pc class homolog, Drosophila)	MM1	-6.3
CCND1	11q13	cyclin D1	U266	-17.2
CCND2	12p13	cyclin D2	MM1, U266	-6.4, -5.5
CCPG1	15q21.1	cell cycle progression 1	MM1	-5.4
CCR1	3p21	chemokine (C-C motif) receptor 1	U266, NCI-H929	-30.6, -13.2
CCR2	3p21	chemokine (C-C motif) receptor 2	U266	-6.1
CD180	5q12	CD180 antigen	U266	-10.2
CD28	2q33	CD28 antigen (Tp44)	U266, NCI-H929	-8.5, -12.3
CD44	11p13	CD44 antigen (homing function and Indian blood group system)	U266	-8.4
CD48	1q21.3-q22	CD48 antigen (B-cell membrane protein)	MM1, U266	-9.6, -5.7
CD52	1p36	CD52 antigen (CAMPATH-1 antigen)	U266	-16.1
CDK5R1	17q11.2	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	MM1	-8.8
CDKN1B	12p13.1-p12	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	NCI-H929	-6.4
CEACAM1	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	U266	-5.7
CEBPB	20q13.1	CCAAT/enhancer binding protein (C/EBP), beta	MM1	-15.5
CEBPG	19q13.11	CCAAT/enhancer binding protein (C/EBP), gamma	MM1	-4.9
CFLAR	2q33-q34	CASP8 and FADD-like apoptosis regulator	MM1, U266, NCI-H929	-8.8, -6.4, -4.7
CGI-115	1q41	CGI-115 protein	NCI-H929	-8.8
CLEC2B	12p13-p12	C-type lectin domain family 2, member B	NCI-H929	-11.2
CLEC7A	12p13.2-p12.3	C-type lectin domain family 7, member A	U266	-11.7
CLIC2	Xq28	chloride intracellular channel 2	MM1	-17.1
CLK1	2q33	CDC-like kinase 1	MM1	-7.5
CNIH3	1q42.12	cornichon homolog 3 (Drosophila)	U266	-7.6
CNTN6	3p26-p25	contactin 6	U266	-8.7
CRLF2	Xp22.3; Yp11.3	cytokine receptor-like factor 2	U266	-8.2
CRSP6	11q14	cofactor required for Sp1 transcriptional activation, subunit 6, 77kDa	NCI-H929	-5.9
CTBP2	10q26.13	C-terminal binding protein 2	NCI-H929	-7.1
CTH	1p31.1	cystathionase (cystathionine gamma-lyase)	MM1	-5.2
CTPS	1p34.1	CTP synthase	NCI-H929	-4.5
CTSC	11q14.1-q14.3	cathepsin C	NCI-H929	-6.1
CTSH	15q24-q25	cathepsin H	U266	-4.9
CUGBP2	10p13	CUG triplet repeat, RNA binding protein 2	U266, NCI-H929	-5.2, -6.7
CUL1	7q36.1	cullin 1	NCI-H929	-5.2
DCC	18q21.3	deleted in colorectal carcinoma	U266	-7.3
DCPS	11q24.2	decapping enzyme, scavenger	U266	-6.8
DDIT3	12q13.1-q13.2	DNA-damage-inducible transcript 3	MM1	-9.1
DDX17	22q13.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	U266	-10.7
DEPDC6	8q24.12	DEP domain containing 6	NCI-H929	-11.0
DFFB	1p36.3	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)	NCI-H929	-8.0
DKFZP434C171	5q33.1	DKFZP434C171 protein	NCI-H929	-6.9
DKFZP564J102	4q35.1	DKFZP564J102 protein	MM1, NCI-H929	-6.1, -9.7
DNAJB1	19p13.2	DnaJ (Hsp40) homolog, subfamily B, member 1	MM1	-12.0
DNAJB4	1p31.1	DnaJ (Hsp40) homolog, subfamily B, member 4	MM1	-9.6
DNAJB9	7q31|14q24.2-q24.3	DnaJ (Hsp40) homolog, subfamily B, member 9	MM1	-23.8
DNAJC15	13q14.1	DnaJ (Hsp40) homolog, subfamily C, member 15	U266	-17.9
DOCK10	2q36.3	dedicator of cytokinesis 10	NCI-H929	-14.5
DUSP6	12q22-q23	dual specificity phosphatase 6	NCI-H929	-16.2
EHD3	2p21	EH-domain containing 3	U266	-6.2
EIF4G2	11p15	eukaryotic translation initiation factor 4 gamma, 2	NCI-H929	-6.1
EIF5	14q32.32	eukaryotic translation initiation factor 5	NCI-H929	-5.5
EIF5A	17p13-p12	Eukaryotic translation initiation factor 5A	NCI-H929	-5.2
ELAC2	17p11.2	elaC homolog 2 (E. coli)	NCI-H929	-10.2
ELF1	13q13	E74-like factor 1 (ets domain transcription factor)	NCI-H929	-5.9
ELOVL6	4q25	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	NCI-H929	-5.0
EMP3	19q13.3	epithelial membrane protein 3	U266	-6.3
ERO1LB	1q42.2-q43	ERO1-like beta (S. cerevisiae)	MM1	-10.4
EYA2	20q13.1	eyes absent homolog 2 (Drosophila)	U266	-8.4
FABP5	8q21.13	fatty acid binding protein 5 (psoriasis-associated)	NCI-H929	-5.4
FAIM	3q22.3	Fas apoptotic inhibitory molecule	NCI-H929	-5.9
FAM70A	Xq24	family with sequence similarity 70, member A	U266	-8.4
FAS	10q24.1	Fas (TNF receptor superfamily, member 6)	NCI-H929	-5.3
FGFR3	4p16.3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)	NCI-H929	-24.6
FKBP4	12p13.33	FK506 binding protein 4, 59kDa	MM1	-5.7
FLI1	11q24.1-q24.3	Friend leukemia virus integration 1	U266	-5.9
FLJ10292	12p13.2	mago-nashi homolog	NCI-H929	-5.6
FLJ10847	17p11.2	hypothetical protein FLJ10847	MM1, U266, NCI-H929	-16.9, -20.2, -5.9
FMNL1	17q21	formin-like 1	U266, NCI-H929	-11.7, -8.0
GADD45A	1p31.2-p31.1	growth arrest and DNA-damage-inducible, alpha	MM1	-5.6
GALNAC4S-6ST	10q26	B cell RAG associated protein	NCI-H929	-5.5
GALNT14	2p23.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14	U266, NCI-H929	-9.6, -7.9
GAS2	11p14.3-p15.2	growth arrest-specific 2	NCI-H929	-8.8
GBA	1q21	glucosidase, beta; acid (includes glucosylceramidase)	U266	-6.6
GJA1	6q21-q23.2	gap junction protein, alpha 1, 43kDa (connexin 43)	NCI-H929	-7.0
GPM6B	Xp22.2	glycoprotein M6B	NCI-H929	-5.7
GSTO1	10q25.1	glutathione S-transferase omega 1	NCI-H929	-4.4
GTF3A	13q12.3-q13.1	general transcription factor IIIA	NCI-H929	-5.0
GTSE1	22q13.2-q13.3	G-2 and S-phase expressed 1	U266	-13.4
GUCY1A3	4q31.3-q33|4q31.1-q31.2	guanylate cyclase 1, soluble, alpha 3	NCI-H929	-7.5
HBB	11p15.5	hemoglobin, beta	U266	-5.4
HBD	11p15.5	hemoglobin, delta	U266	-6.0
HBG1	11p15.5	hemoglobin, gamma A	U266	-54.3
HDGF	1q21-q23	Hepatoma-derived growth factor (high-mobility group protein 1-like)	U266, NCI-H929	-5.1, -7.6
HERPUD1	16q12.2-q13	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	MM1	-5.9
HGF	7q21.1	hepatocyte growth factor (hepapoietin A; scatter factor)	NCI-H929	-12.7
HLA-DRA	6p21.3	major histocompatibility complex, class II, DR alpha	U266	-6.5
HMOX1	22q12|22q13.1	heme oxygenase (decycling) 1	MM1	-32.6
HNRPAB	5q35.3	heterogeneous nuclear ribonucleoprotein A/B	NCI-H929	-6.5
HOMER3	19p13.11	homer homolog 3 (Drosophila)	U266	-9.5
HSPA1A	6p21.3	heat shock 70kDa protein 1A	MM1	-22.2
HSPA1B	6p21.3	heat shock 70kDa protein 1B	MM1	-10.7
HSPA5	9q33-q34.1	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	MM1	-6.3
HSPA6	1q23	heat shock 70kDa protein 6 (HSP70B)	MM1	-245.1
HSPA9B	5q31.1	heat shock 70kDa protein 9B (mortalin-2)	MM1	-4.7
HSPC111	5q35.2	hypothetical protein HSPC111	NCI-H929	-7.5
HSPD1	2q33.1	heat shock 60kDa protein 1 (chaperonin)	MM1	-6.4
HSPE1	2q33.1	heat shock 10kDa protein 1 (chaperonin 10)	MM1	-7.5
HSPH1	13q12.3	heat shock 105kDa/110kDa protein 1	MM1, NCI-H929	-31.4, -10.4
IGKC	2p12	immunoglobulin kappa constant	U266	-10.9
IGSF4	11q23.2	immunoglobulin superfamily, member 4	U266	-14.4
IL21R	16p11	interleukin 21 receptor	MM1	-10.3
IL2RG	Xq13.1	interleukin 2 receptor, gamma (severe combined immunodeficiency)	NCI-H929	-6.1
IL6R	1q21	interleukin 6 receptor	U266	-13.5
INHBE	12q13.3	inhibin, beta E	MM1	-46.8
INPP5D	2q36-q37	inositol polyphosphate-5-phosphatase, 145kDa	U266	-5.4
IQGAP2	5q13.3	IQ motif containing GTPase activating protein 2	NCI-H929	-5.2
IRAK1	Xq28	interleukin-1 receptor-associated kinase 1	NCI-H929	-37.3
ISG20	15q26	interferon stimulated exonuclease gene 20kDa	U266	-17.4
ITGB1BP3	19p13.3	integrin beta 1 binding protein 3	U266	-14.5
ITGB5	3q21.2	Integrin, beta 5	NCI-H929	-24.7
ITGB7	12q13.13	integrin, beta 7	U266, NCI-H929	-8.8, -5.5
KCNK1	1q42-q43	potassium channel, subfamily K, member 1	U266, NCI-H929	-10.1, -4.7
KCNN3	1q21.3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	U266	-36.4
KIAA0090	1p36.13	KIAA0090	NCI-H929	-11.3
KIAA0368	9q31.3	KIAA0368	U266, NCI-H929	-6.8, -7.1
KLHL21	1p36.31	kelch-like 21 (Drosophila)	MM1	-5.7
LAPTM5	1p34	lysosomal associated multispanning membrane protein 5	U266	-10.8
LARP1	5q33.2	La ribonucleoprotein domain family, member 1	NCI-H929	-4.8
LOC391427	2q13	similar to Ig kappa chain precursor V region (orphon V108) - human  (fragment)	NCI-H929	-11.5
LOC56902	2p14	putatative 28 kDa protein	NCI-H929	-14.1
LRMP	12p12.1	lymphoid-restricted membrane protein	U266	-12.7
LRP8	1p34	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NCI-H929	-6.3
LRRC41	1p34.1	leucine rich repeat containing 41	NCI-H929	-6.7
LSAMP	3q13.2-q21	limbic system-associated membrane protein	U266	-34.3
LY9	1q21.3-q22	lymphocyte antigen 9	MM1, NCI-H929	-37.3, -16.5
LY96	8q21.11	lymphocyte antigen 96	U266	-8.0
MAF	16q22-q23	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	U266, NCI-H929	-34.3, -36.4
MAFF	22q13.1	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	MM1	-13.0
MAGEH1	Xp11.22	melanoma antigen family H, 1	MM1	-5.8
MAP4K1	19q13.1-q13.4	mitogen-activated protein kinase kinase kinase kinase 1	U266, NCI-H929	-27.1, -20.4
MAPK13	6p21.31	mitogen-activated protein kinase 13	NCI-H929	-9.3
MBP	18q23	myelin basic protein	MM1	-6.4
MFNG	22q12	manic fringe homolog (Drosophila)	NCI-H929	-8.2
MGAT3	22q13.1	Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	NCI-H929	-7.6
MGC10986	17q23.3	hypothetical protein MGC10986	NCI-H929	-10.4
MGC11256	22p13	hypothetical protein MGC11256	MM1	-4.6
MGC3036	7q31-q35	hypothetical protein MGC3036	NCI-H929	-6.1
MGC3731	22q13.1	hypothetical protein MGC3731	NCI-H929	-10.0
MGC4504	15q15.1	hypothetical protein MGC4504	MM1	-8.9
MRPL3	3q21-q23	mitochondrial ribosomal protein L3	NCI-H929	-5.1
MTCBP-1	2p25.2	membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1	NCI-H929	-4.5
MYB	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)	NCI-H929	-6.2
MYBL2	20q13.1	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	U266	-6.6
MYC	8q24.12-q24.13	v-myc myelocytomatosis viral oncogene homolog (avian)	NCI-H929	-24.4
MYCL1	1p34.2	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)	U266	-10.0
MYCN	2p24.1	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	NCI-H929	-6.8
MYL2	12q23-q24.3	myosin, light polypeptide 2, regulatory, cardiac, slow	U266	-9.0
MYOM2	8p23.3	myomesin (M-protein) 2, 165kDa	NCI-H929	-9.0
NFE2L1	17q21.3	nuclear factor (erythroid-derived 2)-like 1	MM1	-5.6
NFIC	19p13.3	nuclear factor I/C (CCAAT-binding transcription factor)	NCI-H929	-9.3
NMU	4q12	neuromedin U	U266	-5.8
NOL5A	20p13	nucleolar protein 5A (56kDa with KKE/D repeat)	NCI-H929	-5.2
NSMAF	8q12-q13	neutral sphingomyelinase (N-SMase) activation associated factor	NCI-H929	-5.5
NUDT1	7p22	nudix (nucleoside diphosphate linked moiety X)-type motif 1	U266	-12.3
NUP210	3p25.2-p25.1	nucleoporin 210kDa	U266	-5.8
OGT	Xq13	O-linked N-acetylglucosamine (GlcNAc) transferase	MM1	-7.4
OLR1	12p13.2-p12.3	oxidised low density lipoprotein (lectin-like) receptor 1	U266	-14.5
OSBPL1A	18q11.1	oxysterol binding protein-like 1A	MM1	-5.0
P2RX5	17p13.3	purinergic receptor P2X, ligand-gated ion channel, 5	U266, NCI-H929	-9.8, -11.8
PACAP	5q23-5q31	proapoptotic caspase adaptor protein	MM1, U266, NCI-H929	-106.4, -16.8, -39.0
PAK1IP1	6p24.1	PAK1 interacting protein 1	NCI-H929	-9.7
PBX1	1q23	pre-B-cell leukemia transcription factor 1	U266	-14.4
PDE4D	5q12	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	NCI-H929	-7.0
PDIA3	15q15	protein disulfide isomerase family A, member 3	MM1	-4.8
PDIA4	7q35	protein disulfide isomerase family A, member 4	MM1	-5.6
PDZK1	1q21	PDZ domain containing 1	U266	-4.1
PFKP	10p15.3-p15.2	phosphofructokinase, platelet	NCI-H929	-4.7
PHACTR2	6q24.2	phosphatase and actin regulator 2	NCI-H929	-7.8
PHF11	13q14.2	PHD finger protein 11	NCI-H929	-6.8
PITPNC1	17q24.2	phosphatidylinositol transfer protein, cytoplasmic 1	NCI-H929	-5.3
PKD1	16p13.3	Hypothetical protein LOC339047	MM1	-20.1
PLA2G4B	15q11.2-q21.3	phospholipase A2, group IVB (cytosolic)	MM1	-8.4
PLK1	16p12.1	polo-like kinase 1 (Drosophila)	U266	-4.3
PMAIP1	18q21.32	phorbol-12-myristate-13-acetate-induced protein 1	U266	-12.0
POU2AF1	11q23.1	POU domain, class 2, associating factor 1	U266, NCI-H929	-15.6, -19.9
PPFIBP1	12p11.23-p11.22	PTPRF interacting protein, binding protein 1 (liprin beta 1)	MM1	-31.7
PPIF	10q22-q23	peptidylprolyl isomerase F (cyclophilin F)	NCI-H929	-11.2
PPP1R15A	19q13.2	protein phosphatase 1, regulatory (inhibitor) subunit 15A	MM1	-10.3
PPP1R16B	20q11.23	protein phosphatase 1, regulatory (inhibitor) subunit 16B	U266	-4.6
PPRC1	10q24.32	peroxisome proliferative activated receptor, gamma, coactivator-related 1	NCI-H929	-5.3
PRKCBP1	20q13.12	protein kinase C binding protein 1	U266, NCI-H929	-7.9, -9.7
PRSS7	21q21|21q21.1	protease, serine, 7 (enterokinase)	U266	-5.0
PRTN3	19p13.3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	NCI-H929	-36.2
PSAT1	9q21.2	phosphoserine aminotransferase 1	MM1	-5.6
PSCDBP	2q11.2	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	U266, NCI-H929	-10.8, -13.7
PSMB10	16q22.1	proteasome (prosome, macropain) subunit, beta type, 10	NCI-H929	-25.9
PSPH	7p15.2-p15.1	phosphoserine phosphatase	MM1	-6.9
PTPRC	1q31-q32	protein tyrosine phosphatase, receptor type, C	U266	-24.4
PUS1	12q24.33	pseudouridylate synthase 1	NCI-H929	-27.0
QPCT	2p22.2	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	U266, NCI-H929	-8.8, -15.4
RAI17	10q22.3	retinoic acid induced 17	NCI-H929	-6.7
