Fold change	Acession number	gene symbol	gene
2.056227653	NM_001025137	Ier5	immediate early response 5
2.056227653	NM_001037767	Arpc5l	actin related protein 2/3 complex, subunit 5-like
2.063366359	ENSRNOT00000012597	Cdk6	cyclin-dependent kinase 6
2.063366359	---	---	---
2.063366359	NM_012991	Npap60	nuclear pore associated protein
2.063366359	NM_031335	Polr2f	polymerase (RNA) II (DNA directed) polypeptide F
2.063366359	ENSRNOT00000021804	Polr3g	polymerase (RNA) III (DNA directed) polypeptide G
2.063366359	NM_012963	Hmgb1	high mobility group box 1
2.063366359	NM_001105926	Dhx37	DEAH (Asp-Glu-Ala-His) box polypeptide 37
2.063366359	NM_023989	Senp2	SUMO/sentrin specific peptidase 2
2.063366359	ENSRNOT00000045570	Msh3	mutS homolog 3 (E. coli)
2.063366359	NM_001107289	Lsm5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)
2.063366359	NM_001106775	Nup37	nucleoporin 37
2.070529848	NM_001033927	Ola1	Obg-like ATPase 1
2.070529848	---	---	---
2.070529848	BC089999	Sdccag1	serologically defined colon cancer antigen 1
2.070529848	BC168165	Nsbp1	nucleosome binding protein 1
2.070529848	NM_001107174	Rbbp5	retinoblastoma binding protein 5
2.070529848	---	---	---
2.070529848	NM_138976	Mfn1	mitofusin 1
2.070529848	NM_001108246	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked
2.070529848	NM_001106392	Hs3st5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5
2.070529848	NM_001009413	Krcc1	lysine-rich coiled-coil 1
2.070529848	NM_022595	Pdap1	PDGFA associated protein 1
2.070529848	BC089824	Cpsf4	cleavage and polyadenylation specific factor 4
2.070529848	NM_001007747	Pomgnt1	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase
2.077718207	ENSRNOT00000050289	Lsm6	LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)
2.077718207	BC168189	Tnxb	tenascin XB
2.077718207	NM_001077200	Fam38a	family with sequence similarity 38, member A
2.077718207	NM_001106753	Cpsf2	cleavage and polyadenylation specific factor 2
2.077718207	NM_001106782	Mrpl42	mitochondrial ribosomal protein L42
2.077718207	NM_001106924	Cab39	calcium binding protein 39
2.077718207	NM_001107393	Diap1	diaphanous homolog 1 (Drosophila)
2.077718207	NM_199387	Mterfd1	MTERF domain containing 1
2.077718207	XR_007046	LOC691257	similar to Zinc finger protein 267 (Zinc finger protein HZF2)
2.077718207	NM_017327	Gnao1	guanine nucleotide binding protein, alpha O
2.077718207	ENSRNOT00000021996  //  ENSRNOT00000021996	Arpc5l  // RGD1560362	actin related protein 2/3 complex, subunit 5-like  // similar to actin related protein 2/3 complex, subunit 5-like
2.077718207	XM_001058720	LOC680752	hypothetical protein LOC680752
2.077718207	---	---	---
2.084931522	NM_053326	Pdlim5	PDZ and LIM domain 5
2.084931522	NM_001107705	Wdr3	WD repeat domain 3
2.084931522	---	---	---
2.084931522	---	---	---
2.084931522	---	---	---
2.084931522	NM_001039196	Slc39a13	solute carrier family 39 (metal ion transporter), member 13
2.084931522	---	---	---
2.084931522	ENSRNOT00000020752	Pign	phosphatidylinositol glycan, class N
2.084931522	NM_001025117	Ehbp1l1	EH domain binding protein 1-like 1
2.084931522	NM_001106643	Rars2	arginyl-tRNA synthetase 2, mitochondrial
2.084931522	NM_001007660	Ccdc82	coiled-coil domain containing 82
2.084931522	NM_001107864	Smarcad1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
2.084931522	---	---	---
2.084931522	NM_001109468	Polr3g	polymerase (RNA) III (DNA directed) polypeptide G
2.084931522	ENSRNOT00000042614	Snrpe	small nuclear ribonucleoprotein E
2.084931522	ENSRNOT00000018739	Gfod1	glucose-fructose oxidoreductase domain containing 1
2.084931522	NM_001107185	Tpr	translocated promoter region
2.09216988	ENSRNOT00000005126	Dhx15	DEAH (Asp-Glu-Ala-His) box polypeptide 15
2.09216988	U33472	Stk10	serine/threonine kinase 10
2.09216988	NM_001077641	Plcb1	phospholipase C, beta 1
2.09216988	NM_080776	Mmp16	matrix metallopeptidase 16
2.09216988	NM_153629	Hspa4	heat shock protein 4
2.09216988	NM_012603	Myc	myelocytomatosis oncogene
2.09216988	NM_001031653	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D
2.09216988	NM_001108704	Ddef2	development and differentiation enhancing factor 2
2.09216988	NM_001126095	Srp9	signal recognition particle 9
2.09216988	NM_001034928	Immt	inner membrane protein, mitochondrial
2.09216988	NM_001105834	Mrpl45	mitochondrial ribosomal protein L45
2.099433367	NM_001024876	Nsmce2	non-SMC element 2, MMS21 homolog (S. cerevisiae)
2.099433367	ENSRNOT00000024122	Nol7	nucleolar protein 7
2.099433367	XM_573394	Setd8	SET domain containing (lysine methyltransferase) 8
2.099433367	NM_001013153	Ubtd1	ubiquitin domain containing 1
2.099433367	NM_001105806	Tmem93	transmembrane protein 93
2.099433367	NM_001111295	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.099433367	NM_001106674	RGD1305274	similar to RIKEN cDNA 2010305A19
2.099433367	NM_057114	Prdx1	peroxiredoxin 1
2.099433367	ENSRNOT00000026742	Dph3	DPH3, KTI11 homolog (S. cerevisiae)
2.099433367	NM_001013235	Scoc	short coiled-coil protein
2.099433367	NM_001025563	Pus1	pseudouridine synthase 1
2.099433367	NM_001039033	Actl6a	actin-like 6A
2.099433367	ENSRNOT00000003494	Taf1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor
2.099433367	ENSRNOT00000030746	Pop1	processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae)
2.099433367	---	---	---
2.106722072	NM_001109647	LOC691729	similar to spermatogenesis associated 5-like 1
2.106722072	NM_138864	Ccdc5	coiled-coil domain containing 5
2.106722072	NM_001038595	Dnaja3	DnaJ (Hsp40) homolog, subfamily A, member 3
2.106722072	NM_001035232	Slc19a1	solute carrier family 19 (sodium/hydrogen exchanger), member 1
2.106722072	NM_001107984	Pdik1l	PDLIM1 interacting kinase 1 like
2.106722072	NM_001047850	Thoc1	THO complex 1
2.106722072	NM_133528	Mobkl3	MOB1, Mps One Binder kinase activator-like 3 (yeast)
2.106722072	NM_181365	Kcnip4	Kv channel interacting protein 4
2.106722072	NM_001106647	Bag1	Bcl2-associated athanogene 1
2.106722072	NM_001108440	Brd7	bromodomain containing 7
2.106722072	NM_001107879	Rybp	RING1 and YY1 binding protein
2.106722072	BC166509	LOC100158225	hypothetical protein LOC100158225
2.114036081	ENSRNOT00000019189	Kif2a	kinesin family member 2A
2.114036081	XM_221745	RGD1561853	similar to SET domain-containing protein
2.114036081	---	---	---
2.114036081	NM_173125	Pdlim7	PDZ and LIM domain 7
2.114036081	NM_133561	Brp44l	brain protein 44-like
2.114036081	AY363227	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.114036081	ENSRNOT00000001583	Rrp1b	ribosomal RNA processing 1 homolog B (S. cerevisiae)
2.114036081	ENSRNOT00000022249	Fam92a1	family with sequence similarity 92, member A1
2.114036081	NM_001108546	Ythdf3	YTH domain family 3
2.114036081	NM_001013897	LOC293103	similar to RIKEN cDNA 0610007P06
2.121375483	XM_001062637	LOC680231	similar to chromodomain helicase DNA binding protein 9
2.121375483	ENSRNOT00000023550	Tmem131	transmembrane protein 131
2.121375483	NM_001107390	Tcerg1	transcription elongation regulator 1 (CA150)
2.121375483	NM_198750	Cry1	cryptochrome 1 (photolyase-like)
2.121375483	NM_001039035	Sfrs7	splicing factor, arginine/serine-rich 7
2.121375483	NM_001111295	Hnrnpa3	heterogeneous nuclear ribonucleoprotein A3
2.121375483	NM_021835	Jun	Jun oncogene
2.121375483	BC089824	Cpsf4	cleavage and polyadenylation specific factor 4
2.121375483	ENSRNOT00000032618	Upf3b	UPF3 regulator of nonsense transcripts homolog B (yeast)
2.121375483	NM_001005886	Dagla	diacylglycerol lipase, alpha
2.121375483	ENSRNOT00000045719	LOC688000	similar to ubiquitin-conjugating enzyme E2-like
2.121375483	NM_001044304	Eid3	EP300 interacting inhibitor of differentiation 3
2.121375483	NM_032614	Glrx3	glutaredoxin 3
2.121375483	NM_001025740	Rrm2	ribonucleotide reductase M2
2.121375483	NM_001100510	Osgep	O-sialoglycoprotein endopeptidase
2.128740365	NM_173306	Lama3	laminin, alpha 3
2.128740365	NM_001108431	Dtwd2	DTW domain containing 2
2.128740365	NM_001011901	Hsph1	heat shock 105kDa/110kDa protein 1
2.128740365	NM_053974	Eif4e	eukaryotic translation initiation factor 4E
2.128740365	BC079251	Fam110a	family with sequence similarity 110, member A
2.128740365	NM_001004238	Rab21	RAB21, member RAS oncogene family
2.128740365	---	---	---
2.128740365	ENSRNOT00000013017	Dmxl2	Dmx-like 2
2.128740365	NM_001107928	Ubap2	ubiquitin-associated protein 2
2.128740365	NM_032072	Nae1	NEDD8 activating enzyme E1 subunit 1
2.128740365	NM_001014212	RGD1309784	similar to ribosomal protein L24-like; 60S ribosomal protein L30 isolog; my024 protein; homolog of yeast ribosomal like protein 24
2.128740365	NM_022593	Tceb1	transcription elongation factor B (SIII), polypeptide 1
2.128740365	ENSRNOT00000049785	Hist1h2bm	histone cluster 1, H2bm
2.128740365	NM_001108871	Kctd9	potassium channel tetramerisation domain containing 9
2.128740365	ENSRNOT00000002382  //  ENSRNOT00000002382	Polr2h_predicted  // Polr2h	polymerase (RNA) II (DNA directed) polypeptide H (predicted)  // polymerase (RNA) II (DNA directed) polypeptide H
2.128740365	XR_007759	RGD1564159	similar to eukaryotic translation elongation factor 1 epsilon 1
2.128740365	NM_001008313	Cbx3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
2.128740365	ENSRNOT00000020984	Ddx20	DEAD (Asp-Glu-Ala-Asp) box polypeptide 20
2.128740365	ENSRNOT00000042614	Snrpe	small nuclear ribonucleoprotein E
2.136130816	NM_031642	Klf6	Kruppel-like factor 6
2.136130816	ENSRNOT00000015665	Parvb	parvin, beta
2.136130816	NM_053912	Pscd3	pleckstrin homology, Sec7 and coiled-coil domains 3
2.136130816	NM_001012180	Bbs7	Bardet-Biedl syndrome 7
2.136130816	NM_001126275	Ccm2	cerebral cavernous malformation 2
2.136130816	NM_031618	Nckap1	NCK-associated protein 1
2.136130816	NM_001108121	Kbtbd3	kelch repeat and BTB (POZ) domain containing 3
2.136130816	NM_001024903	Sertad2	SERTA domain containing 2
2.136130816	NM_031588	Nrg1	neuregulin 1
2.136130816	NM_001014215	Cenpq	centromere protein Q
2.136130816	ENSRNOT00000017409	RGD1565840	similar to Dendritic cell protein GA17
2.136130816	NM_021856	Clock	circadian locomoter output cycles kaput
2.143546925	NM_001107003	Rapgef6	Rap guanine nucleotide exchange factor (GEF) 6
2.143546925	ENSRNOT00000018936	Riok1	RIO kinase 1 (yeast)
2.143546925	ENSRNOT00000025782	Eif3c	eukaryotic translation initiation factor 3, subunit C
2.143546925	NM_001083624	Pds5a	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae)
2.143546925	NM_001006959	RGD1359460	MMR_HSR1 domain containing protein RGD1359460
2.143546925	NM_212520	Tomm40	translocase of outer mitochondrial membrane 40 homolog (yeast)
2.143546925	NM_001106190	RGD1311055	similar to HSPC037 protein
2.143546925	NM_001013960	LOC302640	similar to acyl-CoA thioesterase
2.143546925	NM_001008313	Cbx3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
2.143546925	NM_172224	Impa2	inositol (myo)-1(or 4)-monophosphatase 2
2.143546925	NM_001114402	RGD1308101	similar to hypothetical protein FLJ20276
2.143546925	NM_017123	Areg	amphiregulin
2.150988781	NM_001109225	RGD1560157	similar to hypothetical protein LOC168850
2.150988781	NM_001009271	Nt5dc2	5-nucleotidase domain containing 2
2.150988781	ENSRNOT00000039322	LOC689656	hypothetical protein LOC689656
2.150988781	BC079256	RGD1311358	similar to RIKEN cDNA 2410017P07
2.150988781	NM_001004072	Pdha1	pyruvate dehydrogenase E1 alpha 1
2.150988781	ENSRNOT00000002094	Chac2	ChaC, cation transport regulator homolog 2 (E. coli)
2.150988781	NM_001004072	Pdha1	pyruvate dehydrogenase E1 alpha 1
2.150988781	NM_001039009	Zdhhc21	zinc finger, DHHC domain containing 21
2.150988781	ENSRNOT00000020600	LOC681086	similar to Phosphatidylinositol-glycan biosynthesis, class F protein (PIG-F)
2.150988781	NM_177481	Slco3a1	solute carrier organic anion transporter family, member 3a1
2.150988781	NM_001107364	Sfmbt2	Scm-like with four mbt domains 2
2.150988781	NM_001106412	Mrps30	mitochondrial ribosomal protein S30
2.150988781	NM_001107959	Atpaf1	ATP synthase mitochondrial F1 complex assembly factor 1
2.150988781	NM_001107450	Clca5	chloride channel calcium activated 5
2.150988781	ENSRNOT00000021366	Ube3a	ubiquitin protein ligase E3A
2.150988781	NM_001047867	Mtap	methylthioadenosine phosphorylase
2.158456473	NM_212518	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7
2.158456473	NM_013106	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3
2.158456473	ENSRNOT00000003432	Alkbh8	alkB, alkylation repair homolog 8 (E. coli)
2.158456473	NM_001025709	Pdcl3	phosducin-like 3
2.158456473	NM_001014040	Tars2	threonyl-tRNA synthetase 2, mitochondrial (putative)
2.158456473	NM_001037352	Eif6	eukaryotic translation initiation factor 6
2.158456473	ENSRNOT00000018849	Ncoa7	nuclear receptor coactivator 7
2.158456473	NM_001029917	Memo1	mediator of cell motility 1
2.158456473	ENSRNOT00000054751	Btaf1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, (Mot1 homolog, S. cerevisiae)
2.158456473	ENSRNOT00000018790	Eif4e	eukaryotic translation initiation factor 4E
2.158456473	NM_022246	Rad50	RAD50 homolog (S. cerevisiae)
2.158456473	ENSRNOT00000015828	Cbx3	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
2.158456473	NM_053894	Jdp2	Jun dimerization protein 2
2.158456473	NM_001107575	Taf6l	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor
2.165950091	NM_001108518	Nat11	N-acetyltransferase 11
2.165950091	NM_001107420	Rbmxrtl	RNA binding motif protein, X chromosome retrogene-like
2.165950091	NM_001106970	Tmem32	transmembrane protein 32
2.165950091	NM_001012174	Fkbp5	FK506 binding protein 5
2.165950091	NM_001044270	Tuba1b	tubulin, alpha 1B
2.165950091	ENSRNOT00000004533	RGD1563952	similar to Mospd2 protein
2.165950091	BC161982	Ankrd49	ankyrin repeat domain 49
2.165950091	NM_001079886	Cuedc2	CUE domain containing 2
2.165950091	NM_053309	Homer2	homer homolog 2 (Drosophila)
2.165950091	XR_006273	LOC685707	similar to neuron navigator 1
2.165950091	NM_001107584	Ranbp6	RAN binding protein 6
2.165950091	NM_001025127	Rufy3	RUN and FYVE domain containing 3
2.165950091	XR_007098	LOC298314	similar to solute carrier family 25, member 5
2.165950091	NM_001012504	Set	SET translocation
2.173469725	NM_001010963	Zc3h15	zinc finger CCCH-type containing 15
2.173469725	ENSRNOT00000006402	Eny2	enhancer of yellow 2 homolog (Drosophila)
2.173469725	NM_030863	Msn	moesin
2.173469725	NM_001106309	Zfp511	zinc finger protein 511
2.173469725	NM_001107376	Me2	malic enzyme 2, NAD(+)-dependent, mitochondrial
2.173469725	---	---	---
2.173469725	ENSRNOT00000047689	LOC309957	similar to myocyte enhancer factor 2C
2.173469725	NM_001024801	Zw10	ZW10 homolog (Drosophila), centromere/kinetochore protein
2.173469725	NM_001105782	Mrpl55	mitochondrial ribosomal protein L55
2.173469725	NM_001029900	Mrpl12	mitochondrial ribosomal protein L12
2.173469725	NM_134335	Myo9a	myosin IXA
2.181015465	ENSRNOT00000041296	Mef2c	myocyte enhancer factor 2C
2.181015465	NM_031657	Grk6	G protein-coupled receptor kinase 6
2.181015465	NM_022799	Nucks1	nuclear casein kinase and cyclin-dependent kinase substrate 1
2.181015465	NM_012915	Atpif1	ATPase inhibitory factor 1
2.181015465	NM_001007007	Rnaseh2b	ribonuclease H2, subunit B
2.181015465	NM_001107733	Cobll1	Cobl-like 1
2.181015465	---	---	---
2.181015465	NM_001012154	Tbrg4	transforming growth factor beta regulated gene 4
2.181015465	NM_053518	Lyst	lysosomal trafficking regulator
2.181015465	NM_021262	Acp1	acid phosphatase 1, soluble
2.181015465	NM_001106181	Dus2l	dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae)
2.181015465	NM_001033704	Xylb	xylulokinase homolog (H. influenzae)
2.181015465	NM_001108978	Pik3cd	phosphatidylinositol 3-kinase catalytic delta polypeptide
2.181015465	NM_001100630	Ints2	integrator complex subunit 2
2.188587403	ENSRNOT00000019916	Glipr2	GLI pathogenesis-related 2
2.188587403	NM_001109569	Wdr74	WD repeat domain 74
2.188587403	NM_001014055	Tmem209	transmembrane protein 209
2.188587403	NM_001127534	Nle1	notchless homolog 1 (Drosophila)
2.188587403	ENSRNOT00000035875	Ahctf1	AT hook containing transcription factor 1
2.188587403	NM_138911	Stip1	stress-induced phosphoprotein 1
2.188587403	---	---	---
2.188587403	NM_001014002	Rbm13	RNA binding motif protein 13
2.188587403	ENSRNOT00000056808	Qser1	glutamine and serine rich 1
2.188587403	NM_001109124	Ccdc112	coiled-coil domain containing 112
2.196185628	NM_134351	Mat2a	methionine adenosyltransferase II, alpha
2.196185628	NM_001013870	Trmt1	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)
2.196185628	ENSRNOT00000039311	RGD1560873	similar to RIKEN cDNA E230015L20 gene
2.196185628	NM_001008876	Rsl1d1	ribosomal L1 domain containing 1
2.196185628	ENSRNOT00000057650	LOC679999	similar to TGF beta-inducible nuclear protein 1 (L-name-related protein 42) (LNR42)
2.196185628	ENSRNOT00000021140	Mar-02	methionine-tRNA synthetase 2 (mitochondrial)
2.196185628	NM_001009642	Pop4	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)
2.196185628	NM_001106347	RGD1306839	similar to RIKEN cDNA 5033414D02
2.196185628	NM_182819	Cox7b	cytochrome c oxidase subunit VIIb
2.203810232	NM_199378	Cfdp1	craniofacial development protein 1
2.203810232	NM_134351	Mat2a	methionine adenosyltransferase II, alpha
2.203810232	NM_001039034	Wdr5	WD repeat domain 5
2.203810232	NM_001039027	Wdr18	WD repeat domain 18
2.203810232	NM_021262	Acp1	acid phosphatase 1, soluble
2.203810232	NM_001106736	Fkbp3	FK506 binding protein 3
2.203810232	ENSRNOT00000014770	Dusp7	dual specificity phosphatase 7
