Affymetrix ID	P-value	Gene Symbol	Genbank	RANK Survival	Location bp
220690_s_at	0.0247	DHRS7B	NM_015510	NA	chr17:20970850-21035193(+)
215498_s_at	0.0158	MAP2K3	AA780381	NA	chr17:21142253-21159118(+)
207667_s_at	0.00743	MAP2K3	NM_002756	NA	chr17:21135374-21158870(+)
NA	NA	NA	NA	NA	centromer
204534_at	0.0367	VTN	NM_000638	NA	chr17:23718433-23721414(-)
1557170_at	0.0421	NEK8	AI073943	NA	chr17:24089270-24093910(+)
201294_s_at	0.00888	WSB1	N24643	NA	chr17:22645266-22665051(+)
210561_s_at	0.00212	WSB1	AL110243	NA	chr17:22645233-22664022(+)
227501_at	0.0228	WSB1	AI377135	NA	chr17:22645918-22646741(+)
201296_s_at	0.0057	WSB1	NM_015626	NA	chr17:22645266-22664784(+)
235252_at	0.0228	KSR	AI090141	NA	chr17:22977047-22977588(+)
223592_s_at	0.0247	RNF135	BC005084	NA	chr17:26322167-26351051(+)
212279_at	0.0228	MAC30	BE779865	NA	chr17:23670256-23679531(+)
212281_s_at	0.012	MAC30	BF038366	1641	chr17:23670256-23679531(+)
212282_at	0.0197	MAC30	BF038366	NA	chr17:23670256-23679531(+)
201207_at	0.0057	TNFAIP1	NM_021137	NA	chr17:23686974-23698160(+)
225374_at	0.0473	C17orf32	BG110004	NA	chr17:23708797-23713496(+)
229182_at	0.0281	C17orf32	H97168	NA	chr17:23713931-23714831(+)
202022_at	0.00318	ALDOC	NM_005165	NA	chr17:23924266-23927989(-)
201350_at	0.0142	FLOT2	NM_004475	NA	chr17:24230484-24240192(-)
202039_at	0.00743	TIAF1	NM_004740	NA	chr17:24424665-24425454(-)
204630_s_at	0.0324	GOSR1	NM_004871	NA	chr17:25828567-25873737(+)
218715_at	0.0247	C17orf40	NM_018428	NA	chr17:27214306-27252801(-)
230314_at	0.00196	NA	AW014557	NA	chr17:27478984-27479584(+)
228980_at	0.012	RFFL	AI760772	NA	chr17:30360246-30360907(-)
205392_s_at	0.0473	CCL14	NM_004166	NA	chr17:31334805-31352699(-)
221937_at	0.00226	AP1GBP1	AI472320	NA	chr17:32949126-32950570(-)
232387_at	0.0473	AP1GBP1	AK025700	NA	chr17:32952046-32988023(-)
226638_at	0.0158	ARHGAP23	AV701292	NA	chr17:33920717-33922154(+)
200888_s_at	0.0176	RPL23	NM_000978	NA	chr17:34259868-34262886(-)
212050_at	0.0367	WIRE	AK026913	NA	chr17:35666216-35692581(+)
203968_s_at	0.0158	CDC6	NM_001254	NA	chr17:35697805-35711996(+)
203967_at	0.0142	CDC6	U77949	NA	chr17:35697672-35712539(+)
201291_s_at	0.0247	TOP2A	AU159942	NA	chr17:35660693-35827676(-)
201292_at	0.0421	TOP2A	AL561834	NA	chr17:35660693-35827676(-)
206337_at	0.0367	CCR7	NM_001838	NA	chr17:35963581-35975250(-)
234631_at	0.0142	KRTAP4-8	AJ406940	NA	chr17:36526962-36527850(-)
207642_at	0.0158	HCRT	NM_001524	NA	chr17:37589604-37590996(-)
208991_at	0.0324	STAT3	AA634272	NA	chr17:37720396-37794049(-)
225289_at	0.0247	STAT3	AI139252	NA	chr17:37718868-37720767(-)
205829_at	0.0176	HSD17B1	NM_000413	NA	chr17:37957608-37960757(+)
203249_at	0.0197	EZH1	AB002386	2742	chr17:38105814-38136460(-)
204531_s_at	0.0281	BRCA1	NM_007295	1662	chr17:38449844-38530657(-)
211851_x_at	0.0104	BRCA1	AF005068	NA	chr17:38451221-38530831(-)
1552303_a_at	0.0176	TMEM106A	NM_145041	NA	chr17:38719420-38727581(+)
211603_s_at	0.0281	ETV4	U35622	248	chr17:38960738-38963075(-)
228563_at	0.0158	GJA7	BE504215	NA	chr17:40235928-40236966(-)
228776_at	0.0247	GJA7	AA430014	NA	chr17:40231343-40235949(-)
222039_at	0.0176	LOC146909	AA292789	2448	chr17:40357342-40358123(-)
219413_at	0.0197	ACBD4	NM_024722	NA	chr17:40568580-40577324(+)
202815_s_at	0.0281	HEXIM1	NM_006460	NA	chr17:40581652-40585246(+)
202814_s_at	0.0473	HEXIM1	AW193511	NA	chr17:40581625-40585294(+)
1568987_at	0.0057	MGC57346	BC012843	NA	chr17:41055064-41071107(+)
224330_s_at	0.0473	MRPL27	AB049647	NA	chr17:45800251-45805536(-)
235041_at	0.00743	GOSR2	AW005457	NA	chr17:42367784-42369331(+)
1554772_at	0.0197	C17orf57	BC036407	NA	chr17:42756349-42873674(+)
208974_x_at	0.0104	KPNB1	BC003572	1213	chr17:43082329-43115045(+)
213507_s_at	0.0473	KPNB1	BG249565	NA	chr17:43114852-43115483(+)
213573_at	0.0197	KPNB1	AA861608	NA	chr17:43116562-43117166(+)
213574_s_at	0.00743	KPNB1	AA861608	NA	chr17:43116562-43117166(+)
213803_at	0.0176	KPNB1	BG545463	NA	chr17:43116130-43116713(+)
224671_at	0.00212	MRPL10	AL571373	NA	chr17:43255638-43263873(-)
208972_s_at	0.0047	ATP5G1	AL080089	NA	chr17:44325157-44328232(+)
200659_s_at	0.000848	PHB	NM_002634	NA	chr17:44836419-44847241(-)
200658_s_at	0.00212	PHB	AL560017	NA	chr17:44836414-44847246(-)
234464_s_at	0.00196	EME1	AK021607	2193	chr17:45812119-45813817(+)
222231_s_at	0.00318	PRO1855	AK025328	NA	chr17:45813599-45829913(-)
208161_s_at	0.0158	ABCC3	NM_020037	NA	chr17:46067227-46124061(+)
211717_at	0.00374	ANKRD40	BC005853	NA	chr17:46127218-46131820(-)
208835_s_at	0.0247	CROP	AW089673	1754	chr17:46151963-46185950(+)
229193_at	0.0281	CROP	AA005430	NA	chr17:46185864-46186609(+)
220044_x_at	0.00888	CROP	NM_016424	NA	chr17:46151991-46184914(+)
203804_s_at	0.00374	CROP	NM_006107	NA	chr17:46182860-46184999(+)
201577_at	0.000144	NME1	NM_000269	2748	chr17:46585943-46594394(+)
201268_at	0.00212	NME2	NM_002512	NA	chr17:46598811-46604103(+)
203721_s_at	0.00743	WDR50	NM_016001	NA	chr17:46692909-46730289(+)
223550_s_at	0.0057	CA10	AF288385	NA	chr17:47062673-47592367(-)
220889_s_at	0.0421	CA10	NM_020178	NA	chr17:47063129-47591950(-)
1553211_at	0.0197	ANKFN1	NM_153228	NA	chr17:51585835-51915006(+)
218217_at	0.0176	SCPEP1	NM_021626	NA	chr17:52410488-52439123(+)
210625_s_at	0.00167	AKAP1	U34074	NA	chr17:52529086-52546930(+)
201674_s_at	0.00661	AKAP1	BC000729	NA	chr17:52517620-52552930(+)
201675_at	0.0197	AKAP1	NM_003488	NA	chr17:52517659-52553608(+)
243579_at	0.0197	MSI2	BF029215	NA	chr17:52689110-52694554(+)
225238_at	0.00661	MSI2	BF435123	NA	chr17:53048354-53115252(+)
225237_s_at	0.0158	MSI2	BF435123	NA	chr17:53048354-53115252(+)
225240_s_at	0.0158	MSI2	BE220026	NA	chr17:53048354-53115252(+)
223156_at	0.00374	MRPS23	BC000242	NA	chr17:53271913-53282398(-)
227164_at	0.012	SFRS1	AL521786	966	chr17:53433282-53434855(-)
208863_s_at	0.00226	SFRS1	M72709	1712	chr17:53436167-53439592(-)
211784_s_at	0.00226	SFRS1	BC006181	NA	chr17:53435862-53437832(-)
201742_x_at	0.0281	SFRS1	NM_006924	NA	chr17:53437216-53439621(-)
1555820_a_at	0.000315	FLJ20345	BC010061	NA	chr17:53637802-53651600(-)
218630_at	0.0142	FLJ20345	NM_017777	NA	chr17:53637802-53648606(-)
201483_s_at	0.0013	SUPT4H1	BC002802	NA	chr17:53778284-53784556(-)
206066_s_at	0.00212	RAD51C	NM_002876	NA	chr17:54124988-54127694(+)
209849_s_at	0.000443	RAD51C	AF029669	NA	chr17:54124962-54166689(+)
228273_at	0.0176	FLJ11029	BG165011	NA	chr17:54636998-54640015(+)
218514_at	0.00318	C17orf71	NM_018149	NA	chr17:54643004-54647376(+)
222574_s_at	0.0176	DHX40	BF431360	NA	chr17:55006010-55040701(+)
218277_s_at	0.0104	DHX40	NM_024612	NA	chr17:55018334-55040484(+)
218732_at	0.00318	BIT1	NM_016077	NA	chr17:55129450-55139638(-)
221326_s_at	0.0324	TUBD1	NM_016261	NA	chr17:55292465-55323145(-)
204171_at	0.0473	RPS6KB1	NM_003161	NA	chr17:55325307-55379669(+)
1557121_s_at	0.00743	ABC1	BU631635	NA	chr17:55473507-55475141(-)
204566_at	0.0247	PPM1D	NM_003620	NA	chr17:56032355-56096629(+)
209503_s_at	0.0281	PSMC5	AF035309	NA	chr17:56832302-56840769(+)
205993_s_at	0.0247	TBX2	NM_005994	NA	chr17:56832302-56840769(+)
221703_at	0.00318	BRIP1	AF360549	2598	chr17:57114767-57295537(-)
224308_s_at	0.00101	INTS2	AL136800	NA	chr17:57297513-57360159(-)
201987_at	0.00888	THRAP1	AI984051	NA	chr17:57374752-57497425(-)
224748_at	0.0176	WDR68	AK025925	NA	chr17:59023546-59025360(+)
221069_s_at	0.0176	CCDC44	NM_016360	NA	chr17:59038378-59039456(+)
217814_at	0.00226	CCDC47	NM_020198	NA	chr17:59176343-59204668(-)
218103_at	0.0367	FTSJ3	NM_017647	NA	chr17:59250527-59255999(-)
204683_at	0.0421	ICAM2	NM_000873	NA	chr17:59433688-59437839(-)
205811_at	0.0158	POLG2	NM_007215	NA	chr17:59904366-59923604(-)
225705_at	0.012	CCDC45	AI697340	NA	chr17:59959281-59964526(+)
205596_s_at	0.00888	SMURF2	AY014180	NA	chr17:59971945-60088648(-)
222696_at	0.00212	AXIN2	BF684446	NA	chr17:60955147-60985289(-)
221970_s_at	0.00374	NOL11	AU158148	2318	chr17:63163617-63170732(+)
231953_at	0.0247	FALZ	AK027184	NA	chr17:63252242-63410954 (+)
211762_s_at	0.00212	KPNA2	BC005978	614	chr17:63462313-63473205(+)
201088_at	0.00279	KPNA2	NM_002266	1236	chr17:63462310-63473420(+)
202029_x_at	0.0104	RPL38	NM_000999	NA	chr17:69711444-69717612(+)
1558166_at	0.0142	MGC16275	BM824870	NA	chr17:69717729-69721055(-)
230907_at	0.0158	GPRC5C	AK000249	NA	chr17:69947477-69958314(+)
1553043_a_at	0.0247	CD300LF	NM_139018	NA	chr17:70202048-70212553(-)
204382_at	0.00743	NAT9	NM_015654	NA	chr17:70278283-70284031(-)
204868_at	0.00743	ICT1	NM_001545	1079	chr17:70520375-70528950(+)
210149_s_at	0.0197	ATP5H	AF061735	NA	chr17:70546554-70554650(-)
219096_at	0.0158	ARMC7	NM_024585	NA	chr17:70617834-70637918(+)
217755_at	0.0281	HN1	NM_016185	NA	chr17:70643675-70662190(-)
213881_x_at	0.0104	SUMO2	AI971724	NA	chr17:70675421-70675875(-)
208739_x_at	0.0228	SUMO2	L76416	NA	chr17:70675936-70690538(-)
218014_at	0.00196	PCNT1	NM_024844	435	chr17:70713381-70743447(+)
217932_at	0.00661	MRPS7	NM_015971	901	chr17:70769395-70773734(+)
223222_at	0.0197	SLC25A19	BC001075	118	chr17:70780669-70794478(-)
225879_at	0.0247	TSEN54	BF345244	607	chr17:71024204-71032410(+)
1558304_s_at	0.00167	TSEN54	BI905836	184	chr17:71023383-71032411(+)
225103_at	0.012	MRPL38	BE855557	NA	chr17:71406320-71418118(-)
224607_s_at	0.00318	SRP68	BG398597	NA	chr17:71546461-71580321(-)
218141_at	0.0228	UBE2O	NM_022066	NA	chr17:71897491-71907293(-)
224603_at	0.000189	SIAT7B	AL519192	NA	chr17:72065449-72073025(+)
212723_at	0.00279	PTDSR	AK021780	141	chr17:72226128-72234349(-)
212722_s_at	0.00226	PTDSR	AK021780	495	chr17:72226128-72234349(-)
200753_x_at	0.0176	SFRS2	BE866585	388	chr17:71896311-72245012(-)
214882_s_at	0.00743	SFRS2	BG254869	757	chr17:72241794-72244993(-)
200754_x_at	0.0324	SFRS2	NM_003016	863	chr17:72241800-72244992(-)
202084_s_at	0.0473	SEC14L1	NM_003003	NA	chr17:72648617-72724774(+)
1556435_at	0.0421	LOC400622	BC040189	NA	chr17:73035802-73044268(+)
1554408_a_at	0.00661	TK1	BC007986	1311	chr17:73681768-73694707(-)
202338_at	0.0176	TK1	NM_003258	1607	chr17:73721967-73731300(+)
202094_at	0.0367	BIRC5	AA648913	NA	chr17:73721918-73733310(+)
202095_s_at	0.000286	BIRC5	NM_001168	2452	chr17:73721944-73732372(+)
210334_x_at	0.000189	BIRC5	AB028869	NA	chr17:73721967-73731300(+)
226473_at	0.000189	CBX2	BE514414	NA	chr17:75373580-75376375(+)
201303_at	0.0228	DDX48	NM_014740	1972	chr17:75723652-75735533(-)
204293_at	0.0473	SGSH	NM_000199	NA	chr17:75797709-75808710(-)
205294_at	0.00226	BAIAP2	NM_017450	NA	chr17:76623557-76698907(+)
225967_s_at	0.00888	LOC284184	BF683512	240	chr17:76827634-76829676(+)
230448_at	0.0228	MGC15523	AI869717	1353	chr17:76839272-76839898(-)
234972_at	0.0158	LOC339231	BE746724	NA	chr17:77258622-77261229(-)
203931_s_at	0.000286	MRPL12	NM_002949	373	chr17:77280806-77284951(+)
218275_at	0.0197	SLC25A10	NM_012140	NA	chr17:77289839-77298451(+)
200656_s_at	0.0247	P4HB	NM_000918	1396	chr17:77394779-77411662(-)
226320_at	0.00101	THOC4	AF047002	NA	chr17:77439013-77442720(-)
226319_s_at	0.0013	THOC4	AF047002	NA	chr17:77439013-77442720(-)
226414_s_at	0.000315	ANAPC11	BG180679	2761	chr17:77442907-77451422(+)
202148_s_at	0.00743	PYCR1	NM_006907	375	chr17:77483560-77487992(-)
217782_s_at	0.0247	GPS1	NM_004127	NA	chr17:77603060-77608635(+)
217912_at	0.0047	DUS1L	NM_022156	292	chr17:77609041-77616969 (-)
226224_at	0.0367	FOXK2	AI798846	NA	chr17:78153747-78155767(+)
218496_at	0.0433	RNASEH1	BG534527	NA	chr2:3086043-3099300 (-)
218781_at	0.00936	SMC6L1	NM_024624	NA	chr2:17710147-17798551(-)
228286_at	0.00936	FLJ40869	AK025489		chr2:17826317-17829997(+)
235441_at	0.0433	ADCY3	BF217471		chr2:24906751-24907621(+)
222980_at	0.0373	RAB10	AL136650		chr2:26110478-26213782(+)
232590_at	0.0373	HADHA	AK025919		chr2:26272772-26274051(+)
225695_at	0.0373	C2orf18	BG497776	NA	chr2:26856188-26857598(+)
211028_s_at	0.0433	KHK	BC006233	NA	chr2:27163177-27176340(+)
212429_s_at	0.029	GTF3C2	AW194657	NA	chr2:27402222-27405794(-)
204366_s_at	0.0373	GTF3C2	NM_001521	NA	chr2:27402227-27419950(-)
221011_s_at	0.0373	LBH	NM_030915	NA	chr2:30307901-30336393(+)
226161_at	0.00936	SLC30A6	BF793552	NA	chr2:32301943-32328682(+)
224635_s_at	0.0433	BIRC6	AI017106	NA	chr2:32435818-32697455(+)
233093_s_at	0.0433	BIRC6	AK023788	NA	chr2:32603329-32697447(+)
228495_at	0.00936	FLJ38348	AI880633	NA	chr2:37178838-37179890(+)
213420_at	0.0373	DHX57	AA100250	NA	chr2:38878375-38906618(-)
212780_at	0.0373	SOS1	AA700167	NA	chr2:39064427-39201600(-)
