Gene Symbol	Fold Change	Gene Title	Chromosomal Location	Affymetrix Probeset ID
GOLGA1	2.76	golgi autoantigen, golgin subfamily a, 1	9q34.11	228174_at
TM7SF3	2.76	transmembrane 7 superfamily member 3	12q11-q12	226478_at
EZH2	2.74	enhancer of zeste homolog 2 (Drosophila)	7q35-q36	203358_s_at
FLJ12377	2.72	hypothetical protein FLJ12377	2q33.1	220576_at
LOC339324	2.71	hypothetical protein LOC339324	19q13.13	1558700_s_at
VRK2	2.7	vaccinia related kinase 2	2p16-p15	205126_at
ACTA2	2.7	actin, alpha 2, smooth muscle, aorta	10q23.3	200974_at
FCGR3A	2.7	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)	1q23	204007_at
NDE1	2.69	nudE nuclear distribution gene E homolog 1 (A. nidulans)	16p13.11	227249_at
TTK	2.69	TTK protein kinase	6q13-q21	204822_at
LOC146909	2.69	hypothetical protein LOC146909	17q21.31	222039_at
PCNA	2.68	proliferating cell nuclear antigen	20pter-p12	201202_at
MDA5	2.67	melanoma differentiation associated protein-5	2p24.3-q24.3	219209_at
SDCCAG8	2.67	serologically defined colon cancer antigen 8	1q43-q44	212607_at
PRO2000	2.65	PRO2000 protein	8q24.13	218782_s_at
NA	2.65	Homo sapiens, clone IMAGE:5285034, mRNA	20q13.13	229899_s_at
NA	2.64	Homo sapiens transcribed sequences	NA	240558_at
MGC33864	2.63	ADP-ribosylation-like factor 6-interacting protein 6	2q24.1	225707_at
EIF5A2	2.63	eukaryotic translation initiation factor 5A2	3q26.2	235296_at
DLG7	2.62	discs, large homolog 7 (Drosophila)	14q22.2	203764_at
CDCA7	2.62	cell division cycle associated 7 /// cell division cycle associated 7	2q31 /// 2q31	224428_s_at
TFRC	2.61	transferrin receptor (p90, CD71)	3q26.2-qter	207332_s_at
KIAA1913	2.6	KIAA1913	6q23.1	234994_at
CHN1	2.59	chimerin (chimaerin) 1	2q31-q32.1	212624_s_at
FUSIP1	2.59	FUS interacting protein (serine-arginine rich) 1	1p36.11	225348_at
ARHGAP8	2.59	Rho GTPase activating protein 8	22q13.31	37117_at
LOC255743	2.58	hypothetical protein LOC255743	4q25	225911_at
ASK	2.57	activator of S phase kinase	7q21.3	204244_s_at
POLG	2.57	polymerase (DNA directed), gamma	15q25	213007_at
SMC4L1	2.56	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3q26.1	201663_s_at
CHEK1	2.56	CHK1 checkpoint homolog (S. pombe)	11q24-q24	205394_at
NA	2.55	Homo sapiens cDNA FLJ39602 fis, clone SKNSH2005061.	NA	1558105_a_at
UHRF1	2.55	ubiquitin-like, containing PHD and RING finger domains, 1	19p13.3	225655_at
GZMA	2.52	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	5q11-q12	205488_at
HDGFRP3	2.52	hepatoma-derived growth factor, related protein 3	15q11.2	209524_at
MGC22805	2.51	hypothetical protein MGC22805	10q23.31-q23.32	238439_at
NFE2L3	2.5	nuclear factor (erythroid-derived 2)-like 3	7p15-p14	236471_at
DOCK4	2.48	dedicator of cytokinesis 4	7q31.1	205003_at
PMSCL1	2.48	polymyositis/scleroderma autoantigen 1, 75kDa	4q27	213226_at
C12orf5	2.47	chromosome 12 open reading frame 5	12p13.3	219099_at
NA	2.47	Homo sapiens cDNA: FLJ21592 fis, clone COL07036	NA	226534_at
NA	2.46	Homo sapiens, clone IMAGE:4798349, mRNA	NA	231576_at
HELLS	2.44	helicase, lymphoid-specific	10q24.2	223556_at
RAN	2.44	RAN, member RAS oncogene family	6p21	200749_at
MDS010	2.44	x 010 protein	3q13.33	222681_at
MCM4	2.43	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	8q11.2	222036_s_at
SMC4L1	2.42	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3q26.1	201664_at
NA	2.42	Homo sapiens cDNA FLJ40697 fis, clone THYMU2025406	NA	235203_at
GNLY	2.4	granulysin	2p12-q11	205495_s_at
TM7SF1	2.4	transmembrane 7 superfamily member 1 (upregulated in kidney)	1q42-q43	231944_at
TFRC	2.4	transferrin receptor (p90, CD71)	3q26.2-qter	208691_at
IDH1	2.4	isocitrate dehydrogenase 1 (NADP+), soluble	2q33.3	1555037_a_at
SYNPO2	2.39	synaptopodin 2	4q27	225721_at
VEZATIN	2.38	transmembrane protein vezatin	12q23.1	223089_at
NA	2.38	Homo sapiens mRNA; cDNA DKFZp686H2244 (from clone DKFZp686H2244)	NA	232174_at
RBBP8	2.37	retinoblastoma binding protein 8	18q11.2	203344_s_at
FLJ10493	2.37	hypothetical protein FLJ10493	9q31.3	222735_at
FZD7	2.35	frizzled homolog 7 (Drosophila)	2q33	203705_s_at
ZBED3	2.35	zinc finger, BED domain containing 3	5q14.1	235109_at
TWSG1	2.35	twisted gastrulation homolog 1 (Drosophila)	18p11.3	225406_at
NA	2.34	Homo sapiens transcribed sequences	NA	241769_at
NA	2.34	Homo sapiens transcribed sequences	NA	236752_at
PDCD1LG1	2.33	programmed cell death 1 ligand 1	9p24	227458_at
FLJ11752	2.33	hypothetical protein FLJ11752	1q23.3	226337_at
IL15	2.33	interleukin 15	4q31	205992_s_at
FCGR1A	2.32	Fc fragment of IgG, high affinity Ia, receptor for (CD64)	1q21.2-q21.3	214511_x_at
DKFZP434D193	2.32	DKFZP434D193 protein	2q24.1	226503_at
NA	2.31	Homo sapiens cDNA FLJ33420 fis, clone BRACE2020028.	NA	228191_at
SDCCAG8	2.31	serologically defined colon cancer antigen 8	1q43-q44	212609_s_at
TM7SF3	2.31	transmembrane 7 superfamily member 3	12q11-q12	217974_at
MANEA	2.31	mannosidase, endo-alpha	6q16.2	222805_at
COL1A1	2.31	collagen, type I, alpha 1	17q21.3-q22.1	202310_s_at
COL5A1	2.31	collagen, type V, alpha 1	9q34.2-q34.3	212489_at
KPNB3	2.3	karyopherin (importin) beta 3	13q32.2	211953_s_at
AF15Q14	2.3	AF15q14 protein	15q14	228323_at
KIAA0635	2.3	KIAA0635 gene product	4q12	206003_at
NA	2.29	Homo sapiens mRNA; cDNA DKFZp686F12218 (from clone DKFZp686F12218)	NA	226311_at
RFC3	2.28	replication factor C (activator 1) 3, 38kDa	13q12.3-q13	204127_at
KLHL5	2.28	kelch-like 5 (Drosophila)	4p14	232297_at
COL1A2	2.27	collagen, type I, alpha 2	7q22.1	202403_s_at
ARNT2	2.27	aryl-hydrocarbon receptor nuclear translocator 2	15q24	202986_at
NA	2.27	NA	NA	217371_s_at
CENPE	2.27	centromere protein E, 312kDa	4q24-q25	205046_at
GZMH	2.27	granzyme H (cathepsin G-like 2, protein h-CCPX)	14q11.2	210321_at
TFEC	2.27	transcription factor EC	7q31.2	206715_at
SPARC	2.26	secreted protein, acidic, cysteine-rich (osteonectin)	5q31.3-q32	212667_at
SULF1	2.26	sulfatase 1	8q13.2	212354_at
CKAP4	2.25	cytoskeleton-associated protein 4	12q24.11	200998_s_at
CDC7	2.25	CDC7 cell division cycle 7 (S. cerevisiae)	1p22	204510_at
DKFZP434D193	2.25	DKFZP434D193 protein	2q24.1	214700_x_at
LOC339324	2.25	hypothetical protein LOC339324	19q13.13	228920_at
FLJ21901	2.25	hypothetical protein FLJ21901	2q31	219002_at
ID2	2.25	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	2p25	201566_x_at
GBP1	2.24	guanylate binding protein 1, interferon-inducible, 67kDa	1p22.2	202270_at
IFNG	2.24	interferon, gamma /// interferon, gamma	12q14 /// 12q14	210354_at
CCT6A	2.24	chaperonin containing TCP1, subunit 6A (zeta 1)	7p11.2	201326_at
FLJ20060	2.23	hypothetical protein FLJ20060	9p22.1	218602_s_at
ZNF84	2.23	zinc finger protein 84 (HPF2)	12q24.33	204453_at
FLJ10539	2.23	hypothetical protein FLJ10539	3p14.2	213194_at
ARL6IP2	2.23	ADP-ribosylation-like factor 6 interacting protein 2	2p22.3	235848_x_at
TNFRSF6	2.23	tumor necrosis factor receptor superfamily, member 6	10q24.1	215719_x_at
CTSC	2.22	cathepsin C	11q14.1-q14.3	225646_at
SSX2IP	2.22	synovial sarcoma, X breakpoint 2 interacting protein	NA	203017_s_at
ID2	2.22	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	2p25	201565_s_at
QDPR	2.22	quinoid dihydropteridine reductase	4p15.31	209123_at
BST2	2.2	bone marrow stromal cell antigen 2	19p13.2	201641_at
HDGFRP3	2.2	hepatoma-derived growth factor, related protein 3	15q11.2	216693_x_at
NUPL1	2.2	nucleoporin like 1	13q12.13	225047_at
CDH11	2.19	cadherin 11, type 2, OB-cadherin (osteoblast)	16q22.1	207173_x_at
CTSC	2.18	cathepsin C	11q14.1-q14.3	225647_s_at
ARL6IP2	2.18	ADP-ribosylation-like factor 6 interacting protein 2	2p22.3	222700_at
ITGAV	2.18	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	2q31-q32	202351_at
NA	2.18	Homo sapiens, Similar to diaphanous homolog 3 (Drosophila), clone IMAGE:5277415, mRNA	13q21.1	229097_at
NA	2.17	Homo sapiens cDNA FLJ39602 fis, clone SKNSH2005061.	NA	226550_at
SR140	2.16	U2-associated SR140 protein	3q23	212060_at
FGF2	2.16	fibroblast growth factor 2 (basic)	4q26-q27	204422_s_at
FLJ20035	2.16	hypothetical protein FLJ20035	4q32.3	218986_s_at
NA	2.15	Homo sapiens cDNA clone MGC:24034 IMAGE:4281701, complete cds	NA	1553979_at
NA	2.15	Homo sapiens transcribed sequence with weak similarity to protein sp:P39195 (H.sapiens) ALU8_HUMAN Alu subfamily SX sequence contamination warning entry	NA	244778_x_at
HDGFRP3	2.14	hepatoma-derived growth factor, related protein 3	15q11.2	209526_s_at
FLJ10719	2.13	hypothetical protein FLJ10719	15q25-q26	213008_at
NA	2.13	Homo sapiens cDNA FLJ43391 fis, clone OCBBF2007478	NA	241410_at
MINPP1	2.12	multiple inositol polyphosphate histidine phosphatase, 1	10q23	209585_s_at
ZNF131	2.12	zinc finger protein 131 (clone pHZ-10)	5p12-p11	214741_at
HSPC049	2.11	HSPC049 protein	7q33	222799_at
RCN2	2.11	reticulocalbin 2, EF-hand calcium binding domain	15q23	201486_at
NA	2.11	Homo sapiens transcribed sequences	NA	242273_at
IDH1	2.11	isocitrate dehydrogenase 1 (NADP+), soluble	2q33.3	201193_at
ADH5	2.11	alcohol dehydrogenase 5 (class III), chi polypeptide	4q21-q25	208848_at
FLJ21924	2.1	hypothetical protein FLJ21924	11p13	226265_at
FCGR2A	2.1	Fc fragment of IgG, low affinity IIa, receptor for (CD32)	1q23	203561_at
SCML1	2.08	sex comb on midleg-like 1 (Drosophila)	Xp22.2-p22.1	218793_s_at
NA	2.08	Homo sapiens transcribed sequences	NA	242759_at
TTF2	2.08	transcription termination factor, RNA polymerase II	1p22	204407_at
LAMC1	2.06	laminin, gamma 1 (formerly LAMB2)	1q31	200771_at
CASK	2.06	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	Xp11.4	211208_s_at
TIA1	2.06	TIA1 cytotoxic granule-associated RNA binding protein	2p13	201448_at
ZNF195	2.05	zinc finger protein 195	11p15.5	204234_s_at
E2F3	2.05	E2F transcription factor 3	6p22	203693_s_at
FLJ10407	2.05	hypothetical protein FLJ10407	1p32.3	234672_s_at
KIAA0974	2.04	KIAA0974 mRNA	10q22.2	213092_x_at
UNG	2.03	uracil-DNA glycosylase	12q23-q24.1	202330_s_at
DOCK7	2.03	dedicator of cytokinesis 7	1p32.1	225384_at
SMC1L1	2.02	SMC1 structural maintenance of chromosomes 1-like 1 (yeast)	Xp11.22-p11.21	201589_at
NA	2.02	Homo sapiens transcribed sequence with weak similarity to protein ref:NP_055301.1	NA	243252_at
		(H.sapiens) neuronal thread protein [Homo sapiens]
NA	2.01	Homo sapiens transcribed sequences	NA	242673_at
FKBP5	2.01	FK506 binding protein 5	6p21.3-21.2	224840_at
CD14	2	CD14 antigen	5q22-q32	201743_at
CBX3	2	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	7p15.2	230998_at
RBMX	2	RNA binding motif protein, X-linked	Xq26	225310_at
FLJ31051	1.99	hypothetical protein FLJ31051	12q23.1	236249_at
IGSF6	1.99	immunoglobulin superfamily, member 6	16p12-p13	206420_at
VEZATIN	1.99	transmembrane protein vezatin	12q23.1	223675_s_at
VANGL2	1.98	vang-like 2 (van gogh, Drosophila)	1q22-q23	226029_at
NAP1L1	1.98	nucleosome assembly protein 1-like 1	12q21.1	208753_s_at
FLJ11259	1.97	hypothetical protein FLJ11259	12q23.3	218627_at
INPP4A	1.96	inositol polyphosphate-4-phosphatase, type I, 107kDa	2q11.2	204552_at
TNFRSF10B	1.96	tumor necrosis factor receptor superfamily, member 10b	8p22-p21	209295_at
HIVEP1	1.95	human immunodeficiency virus type I enhancer binding protein 1	6p24-p22.3	204512_at
LOC157697	1.95	hypothetical protein LOC157697	8p23.3	227017_at
NA	1.94	Homo sapiens cDNA FLJ31089 fis, clone IMR321000092.	NA	227077_at
NA	1.94	Homo sapiens, clone IMAGE:5736845, mRNA	NA	238807_at
INPP4A	1.94	inositol polyphosphate-4-phosphatase, type I, 107kDa	2q11.2	227087_at
LOC92906	1.93	hypothetical protein BC008217	2p22.3	225385_s_at
SR140	1.93	U2-associated SR140 protein	3q23	212058_at
CTL1	1.92	choline transporter-like protein 1	9q31.2	224595_at
MPHOSPH9	1.92	M-phase phosphoprotein 9	12q24.31	206205_at
POLE2	1.91	polymerase (DNA directed), epsilon 2 (p59 subunit)	14q21-q22	205909_at
MCFP	1.91	mitochondrial carrier family protein	7q21.13	227012_at
EFNB2	1.91	ephrin-B2	13q33	202668_at
WDHD1	1.9	WD repeat and HMG-box DNA binding protein 1	14q22.2	216228_s_at
CLASP1	1.9	cytoplasmic linker associated protein 1	2q14.2-q14.3	212752_at
DLEU2	1.89	deleted in lymphocytic leukemia, 2	13q14.3	1556821_x_at
CGI-77	1.89	CGI-77 protein	8q21.3	222825_at
SOCS2	1.88	suppressor of cytokine signaling 2	12q	203373_at
NA	1.87	Homo sapiens full length insert cDNA clone YQ50C11	NA	1560869_a_at
ZNF92	1.86	zinc finger protein 92 (HTF12)	7q11.21	235170_at
SFXN1	1.85	sideroflexin 1	NA	230069_at
NFYB	1.85	nuclear transcription factor Y, beta	12q22-q23	218128_at
MTR	1.84	5-methyltetrahydrofolate-homocysteine methyltransferase	1q43	203774_at
MN7	1.84	D15F37 (pseudogene)	15q11-q13	217317_s_at
CENPJ	1.84	centromere protein J	13q12.13	223513_at
NA	1.84	Homo sapiens mRNA; cDNA DKFZp686E16168 (from clone DKFZp686E16168)	NA	1558250_s_at
VEZATIN	1.84	transmembrane protein vezatin	12q23.1	223090_x_at
TRIPIN	1.83	tripin	2q33.2	230165_at
NA	1.83	Homo sapiens mRNA; cDNA DKFZp547N074 (from clone DKFZp547N074)	NA	215062_at
ZNF267	1.83	zinc finger protein 267	16p11.2	219540_at
CCNF	1.83	cyclin F	16p13.3	204826_at
NA	1.83	Homo sapiens mRNA; cDNA DKFZp434G0972 (from clone DKFZp434G0972)	NA	226797_at
PMS1	1.82	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	2q31-q33	213677_s_at
M11S1	1.82	membrane component, chromosome 11, surface marker 1	11p13	225340_s_at
DPYSL2	1.82	dihydropyrimidinase-like 2	8p22-p21	200762_at
ARTS-1	1.81	type 1 tumor necrosis factor receptor shedding aminopeptidase regulator	5q15	209788_s_at
