Gene Symbol	GenBank ID	Functional Category
Scotin-pending	NM_025858	Apoptosis – 14 Genes
Stk17b	NM_133810	Apoptosis – 14 Genes
Stk4	W77521	Apoptosis – 14 Genes
Trp53inp1	NM_021897	Apoptosis – 14 Genes
Ccl19	NM_011888	Chemotaxis – 8 Genes
Ccl22	NM_009137	Chemotaxis – 8 Genes
Ccl4	NM_013652	Chemotaxis – 8 Genes
Ccl6	NM_009139	Chemotaxis – 8 Genes
Ccr2	NM_009915	Chemotaxis – 8 Genes
Cxcl13	NM_018866	Chemotaxis – 8 Genes
Cxcr4	NM_009911	Chemotaxis – 8 Genes
S100a8	NM_013650	Chemotaxis – 8 Genes
1200013B08Rik	NM_028773	Signal – 47 Genes
2410118I19Rik	AK004869	Signal – 47 Genes
2610207I05Rik	AK011909	Signal – 47 Genes
Adcy7	NM_007406	Signal – 47 Genes
AI325941	BF181435	Signal – 47 Genes
Arhh	AK017885	Signal – 47 Genes
Cd37	NM_007645	Signal – 47 Genes
Cd53	NM_007651	Signal – 47 Genes
Cd97	NM_011925	Signal – 47 Genes
Clecsf12	NM_020008	Signal – 47 Genes
Clecsf5	NM_021364	Signal – 47 Genes
Clk3	AF033565	Signal – 47 Genes
Coro1a	NM_009898	Signal – 47 Genes
D530020C15Rik	BC027196	Signal – 47 Genes
Dgkz	BC014860	Signal – 47 Genes
Dok2	NM_010071	Signal – 47 Genes
E430019B13Rik	AA881918	Signal – 47 Genes
G431001E03Rik	AA387272	Signal – 47 Genes
Gnb2-rs1	NM_008143	Signal – 47 Genes
Gpcr25	NM_008152	Signal – 47 Genes
Gprk6	NM_011938	Signal – 47 Genes
Hck	NM_010407	Signal – 47 Genes
Iigp-pending	NM_021792	Signal – 47 Genes
Il2rg	NM_013563	Signal – 47 Genes
Il4ra	NM_010557	Signal – 47 Genes
Jak1	BC031297	Signal – 47 Genes
Lck	BC011474	Signal – 47 Genes
Lcp2	BC006948	Signal – 47 Genes
Lyn	BC031547	Signal – 47 Genes
Lypla1	BF160555	Signal – 47 Genes
Map3k1	AF117340	Signal – 47 Genes
Map4k1	BC005433	Signal – 47 Genes
Mbc2	BC011482	Signal – 47 Genes
P2y5	AK011967	Signal – 47 Genes
Pilra	AJ400844	Signal – 47 Genes
Pip5k2a	AK012196	Signal – 47 Genes
Ptpn2	NM_008977	Signal – 47 Genes
Ptpn8	NM_008979	Signal – 47 Genes
Ptprc	NM_011210	Signal – 47 Genes
Ptprcap	NM_016933	Signal – 47 Genes
Rac2	NM_009008	Signal – 47 Genes
Stat1	NM_009283	Signal – 47 Genes
Stat3	BC003806	Signal – 47 Genes
Stat4	NM_011487	Signal – 47 Genes
Stk10	NM_009288	Signal – 47 Genes
Syk	NM_011518	Signal – 47 Genes
Tln	NM_011602	Signal – 47 Genes
