Fold Change	Primary Name	Accession code	Description	P-value
2.41	1110030H18Rik	AK082744	RIKEN cDNA 1110030H18 gene (1110030H18Rik), mRNA	2.76E-04
2.4	Boc	NM_172506	Biregional cell adhesion molecule-related/down-regulated by oncogenes (Cdon) binding protein, mRNA (cDNA clone IMAGE:4458630)	3.05E-06
2.38	Cyp4a10	X71478	Cytochrome P450, family 4, subfamily a, polypeptide 10, mRNA (cDNA clone MGC:18335 IMAGE:4242518)	5.69E-07
2.37	Slc16a10	NM_028247	Solute carrier family 16 (monocarboxylic acid transporters), member 10, mRNA (cDNA clone MGC:60866 IMAGE:30046388)	3.55E-11
2.37	Erbb2	null	RECEPTOR PROTEIN-TYROSINE KINASE ERBB-2 (EC 2.7.1.112) (P185ERBB2) (NEU PROTO-ONCOGENE) (C-ERBB-2) (FRAGMENTS). [Source:SWISSPROT;Acc:P70424] [ENSMUST00000050921]	8.14E-09
2.34	Atp6v0a4	NM_080467	ATPase, H+ transporting, lysosomal V0 subunit A isoform 4 (Atp6v0a4), mRNA	3.21E-12
2.32	A930001C03Rik	BC051549	Synaptotagmin XII (Syt12), mRNA	4.35E-13
2.31	Mapk10	NM_009158	Mitogen activated protein kinase 10 (Mapk10), mRNA	2.47E-04
2.31	Nudt16	NM_029385	Nudix (nucleoside diphosphate linked moiety X)-type motif 16 (Nudt16), mRNA	3.73E-10
2.3	Lrfn1	NM_030562	Leucine rich repeat and fibronectin type III domain containing 1, mRNA (cDNA clone MGC:7599 IMAGE:3494023)	1.00E-07
2.27	AB114826	NM_198884	CDNA sequence AB114826 (AB114826), mRNA	3.40E-20
2.26	Ercc4	NM_015769	Excision repair cross-complementing rodent repair deficiency, complementation group 4, mRNA (cDNA clone MGC:30522 IMAGE:4911382)	8.69E-04
2.25	TC966269	null	AB049639 mitochondrial ribosomal protein L11 (L11mt) {Mus musculus}, complete [TC966269]	2.92E-25
2.25	Olfr1030	NM_146588	Olfactory receptor 1030 (Olfr1030), mRNA	5.73E-06
2.24	Als2cr15	NM_027407	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 15, mRNA (cDNA clone MGC:90771 IMAGE:30355976)	4.13E-06
2.23	Epim	NM_007941	Epimorphin (Epim), mRNA	2.35E-04
2.23	Scn1b	NM_011322	Sodium channel, voltage-gated, type I, beta, mRNA (cDNA clone MGC:18389 IMAGE:3672893)	1.42E-09
2.16	Crkl	NM_007764	V-crk sarcoma virus CT10 oncogene homolog (avian)-like, mRNA (cDNA clone IMAGE:5355496)	5.25E-04
2.16	Gpr175	NM_011906	G protein-coupled receptor 175, mRNA (cDNA clone MGC:36786 IMAGE:5363085)	3.37E-07
2.15	Dcun1d3	NM_173408	CDNA sequence BC030335, mRNA (cDNA clone MGC:40975 IMAGE:5401034)	2.01E-07
2.15	Clnk	NM_013748	cytokine-dependent hematopoietic cell linker	5.01E-05
2.14	5430432M24Rik	NM_028666	RIKEN cDNA 5430432M24 gene (5430432M24Rik), transcript variant 2, mRNA	6.12E-07
2.13	Tmcc2	NM_178874	MKIAA0481 protein	2.31E-04
2.09	Chrnb1	NM_009601	Cholinergic receptor, nicotinic, beta polypeptide 1 (muscle), mRNA (cDNA clone MGC:28277 IMAGE:4009493)	2.38E-05
2.08	Otog	NM_013624	Otogelin (Otog), mRNA	2.95E-04
2.08	Ascl2	NM_008554	Achaete-scute complex homolog-like 2 (Drosophila), mRNA (cDNA clone MGC:28478 IMAGE:4163833)	9.24E-09
2.07	Mast4	AK081750	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130073N23 product:RIKEN cDNA 4930420O11 gene, full insert sequence.	5.22E-09
2.06	Tbl2	AK047090	Transducin (beta)-like 2, mRNA (cDNA clone MGC:35984 IMAGE:5051833)	8.13E-10
2.06	Tcn2	NM_015749	Transcobalamin 2, mRNA (cDNA clone MGC:5750 IMAGE:3601531)	9.37E-06
2.06	3-Mar	NM_177115	Membrane-associated ring finger (C3HC4) 3 (March3), mRNA	2.67E-04
2.05	Pctk2	AK078325	PCTAIRE-motif protein kinase 2 (Pctk2), mRNA	2.92E-04
2.03	Nsdhl	NM_010941	NAD(P) dependent steroid dehydrogenase-like, mRNA (cDNA clone MGC:28204 IMAGE:3989811)	5.27E-04
2.03	Ubash3a	NM_177823	Ubiquitin associated and SH3 domain containing, A (Ubash3a), mRNA	2.65E-05
2.03	2600005N12Rik	NM_197995	Mus musculus RIKEN cDNA 2600005N12 gene (2600005N12Rik), mRNA [NM_197995]	2.98E-16
1.99	Got1l1	AK006984	RIKEN cDNA 1700083M11 gene (1700083M11Rik), mRNA	2.80E-04
1.99	Tmbim1	NM_027154	Transmembrane BAX inhibitor motif containing 1 (Tmbim1), mRNA	8.57E-04
1.99	Clasp1	AK006534	CLIP-associating protein CLASP1	1.10E-05
1.98	Arid5a	NM_145996	AT rich interactive domain 5A (Mrf1 like) (Arid5a), mRNA	2.79E-05
1.98	Bahd1	AK129243	Bromo adjacent homology domain containing 1, mRNA (cDNA clone MGC:117747 IMAGE:30848279)	1.65E-06
1.97	Galr2	NM_010254	Galanin receptor 2 (Galr2), mRNA	5.45E-05
1.97	Capn1	NM_007600	Calpain 1, mRNA (cDNA clone MGC:13886 IMAGE:4218148)	5.26E-15
1.97	Lrrc15	BC050245	Leucine rich repeat containing 15 (Lrrc15), mRNA	1.93E-10
1.97	Bcl2l14	NM_025778	Bcl2-like 14 (apoptosis facilitator), mRNA (cDNA clone MGC:38086 IMAGE:5253808)	3.52E-05
1.96	Galnt6	NM_172451	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (Galnt6), mRNA	1.07E-13
1.96	2210008N01Rik	AK008679	Mus musculus adult male stomach cDNA, RIKEN full-length enriched library, clone:2210008N01 product:unclassifiable, full insert sequence.	1.64E-04
1.96	Ltb4r2	NM_020490	Leukotriene B4 receptor 2 (Ltb4r2), mRNA	2.40E-09
1.96	Hspa1a	NM_010479	Heat shock protein (hsp68) mRNA, clone MHS213	1.65E-08
1.95	Trim8	BC024694	Tripartite motif protein 8, mRNA (cDNA clone IMAGE:3668270)	5.74E-06
1.95	Dusp18	NM_173745	Dual specificity phosphatase 18, mRNA (cDNA clone MGC:28218 IMAGE:3990751)	1.45E-05
1.95	A730011L01Rik	NM_177394	RIKEN cDNA A730011L01 gene, mRNA (cDNA clone MGC:67465 IMAGE:5697870)	9.98E-05
1.94	App	M18373	Amyloid beta (A4) precursor protein, mRNA (cDNA clone IMAGE:3486773)	5.31E-08
1.92	TC1035264	null	Unknown	1.15E-04
1.9	Txnl4	NM_025299	Thioredoxin-like 4, mRNA (cDNA clone MGC:35779 IMAGE:3662554)	2.73E-17
1.89	Bag3	AJ250687	Bcl-2-binding protein BIS (Bis)	2.03E-11
1.89	Dnajc1	AK014639	10 days neonate skin cDNA, RIKEN full-length enriched library, clone:4733401K02 product:unclassifiable, full insert sequence	5.22E-04
1.87	Msx1	NM_010835	Homeo box, msh-like 1, mRNA (cDNA clone MGC:25404 IMAGE:4923403)	3.47E-06
1.86	Rnf157	AK122571	MKIAA1917 protein	3.58E-08
1.85	Ptch2	NM_008958	Patched homolog 2 (Ptch2), mRNA	1.18E-10
1.84	Gzmm	NM_008504	Granzyme M (lymphocyte met-ase 1) (Gzmm), mRNA	5.10E-06
1.83	Cd151	CF586046	CD151 antigen, mRNA (cDNA clone MGC:5773 IMAGE:3500850)	2.13E-10
1.83	H1fx	BU511373	H1 histone family, member X (H1fx), mRNA	6.15E-07
1.82	Onecut2	NM_194268	One cut domain, family member 2, mRNA (cDNA clone MGC:124203 IMAGE:40046651)	3.46E-04
1.82	AK037823	AK037823	Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130052M04 product:hypothetical protein, full insert sequence.	2.13E-05
1.82	Mesp2	NM_008589	Mesoderm posterior 2 (Mesp2), mRNA	3.65E-08
1.8	Cad	BC053097	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase (Cad), mRNA	6.79E-07
1.8	2310038K02Rik	NM_146186	Mus musculus RIKEN cDNA 2310038K02 gene (2310038K02Rik), mRNA [NM_146186]	1.19E-08
1.8	Plec1	AK046755	Plectin 1 (Plec1), transcript variant 1, mRNA	1.33E-10
1.8	Wdsub1	BC050792	WD repeat, SAM and U-box domain containing 1 (Wdsub1), mRNA	1.73E-04
1.78	Dcbld2	NM_028523	Strain ICR endothelial and smooth muscle cell-derived neuropilin-like protein (Esdn)	1.80E-06
1.78	Slc19a1	NM_031196	Solute carrier family 19 (sodium/hydrogen exchanger), member 1, mRNA (cDNA clone MGC:18428 IMAGE:4239690)	1.81E-04
1.77	BC033915	BC033915	CDNA sequence BC033915, mRNA (cDNA clone IMAGE:1264225)	2.80E-07
1.77	Brp17	NM_019999	brain protein 17	2.62E-04
1.77	2610001E17Rik	NM_026439	RIKEN cDNA 2610001E17 gene (2610001E17Rik), mRNA	3.43E-04
1.76	Atpbd3	NM_145582	CDNA sequence BC005752 (BC005752), mRNA	9.13E-05
1.75	Ttll1	NM_178869	Mus musculus tubulin tyrosine ligase-like 1 (Ttll1), mRNA.	8.76E-05
1.75	Tnfaip2	NM_009396	Tumor necrosis factor, alpha-induced protein 2, mRNA (cDNA clone IMAGE:3709243)	4.89E-09
1.74	Fcgbp	BC026653	Fc fragment of IgG binding protein, mRNA (cDNA clone IMAGE:4219548)	1.09E-09
1.73	Acta1	NM_009606	Actin, alpha 1, skeletal muscle, mRNA (cDNA clone MGC:18923 IMAGE:3587657)	6.77E-05
1.73	Unc13d	AK011827	PREDICTED: Mus musculus unc-13 homolog D (C. elegans) (Unc13d), mRNA	1.99E-13
1.73	Tapbp	NM_009318	Tapasin (TPN gene)	8.67E-09
1.71	Ubtd1	NM_145500	Ubiquitin domain containing 1 (Ubtd1), mRNA	8.99E-09
1.71	C87436	NM_146170	Expressed sequence C87436 (C87436), mRNA	2.27E-06
1.71	Katnal1	NM_153572	Katanin p60 subunit A-like 1 (Katnal1), mRNA	1.23E-04
1.71	Syn1	NM_013680	Synapsin I, mRNA (cDNA clone MGC:35985 IMAGE:5368098)	4.02E-05
1.71	Mllt1	NM_022328	Myeloid/lymphoid or mixed lineage-leukemia translocation to 1 homolog (Drosophila) (Mllt1), mRNA	1.93E-06
1.7	Wdr7	AK122304	MKIAA0541 protein	1.31E-06
1.7	Btg2	NM_007570	B-cell translocation gene 2, anti-proliferative (Btg2), mRNA	1.17E-06
1.7	Taf7l	NM_028958	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor (Taf7l), mRNA	1.28E-05
1.69	Hspa1a	NM_010479	Heat shock protein (hsp68) mRNA, clone MHS213	2.67E-05
1.68	Des	NM_010043	Desmin, mRNA (cDNA clone MGC:25641 IMAGE:4219280)	1.14E-13
1.68	Klhdc5	BC037084	Kelch domain containing 5, mRNA (cDNA clone IMAGE:5101372)	4.36E-11
1.68	BC054101	BC054101	CDNA clone MGC:61032 IMAGE:30024827	5.82E-04
1.67	Ap3b2	AY528675	Adaptor-related protein complex 3, beta 2 subunit, mRNA (cDNA clone IMAGE:5364848)	6.56E-07
1.66	1700023F06Rik	AK006273	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700023F06 product:hypothetical protein, full insert sequence	8.58E-05
1.66	Abhd1	NM_021304	Abhydrolase domain containing 1, mRNA (cDNA clone MGC:19172 IMAGE:4224364)	2.12E-11
1.66	TC1010427	null	BC009655 ribosomal protein L3 {Mus musculus}, partial (45%) [TC1010427]	2.61E-04
1.66	Bmp1	NM_009755	(clone MKT3) bone morphogenetic protein 1 (BMP-1)	1.95E-04
1.66	Flnc	BC052186	Filamin C, gamma (actin binding protein 280), mRNA (cDNA clone IMAGE:6824907)	5.96E-04
1.66	Hdac11	NM_144919	Histone deacetylase 11 (Hdac11), mRNA	6.18E-04
1.66	Col2a1	NM_031163	Procollagen, type II, alpha 1, mRNA (cDNA clone IMAGE:4506267)	2.81E-09
1.65	Pex6	NM_145488	Peroxisomal biogenesis factor 6 (Pex6), mRNA	7.46E-04
1.65	Als2cl	NM_146228	ALS2 C-terminal like (Als2cl), mRNA	3.11E-06
1.65	Rhog	NM_019566	Ras homolog gene family, member G (Rhog), mRNA	1.02E-06
1.65	C1qtnf4	NM_026161	C1q and tumor necrosis factor related protein 4, mRNA (cDNA clone MGC:28041 IMAGE:3668760)	1.38E-04
1.64	Aps	NM_018825	adaptor protein with pleckstrin homology and src	3.59E-07
1.64	Loxl1	NM_010729	Lysyl oxidase-like 1, mRNA (cDNA clone MGC:46960 IMAGE:5251968)	2.55E-06
1.64	C230098O21Rik	AK082735	Leucine zipper, putative tumor suppressor 1 (Lzts1), mRNA	1.89E-07
1.63	4930427A07Rik	NM_134041	RIKEN cDNA 4930427A07 gene, mRNA (cDNA clone IMAGE:4188064)	3.19E-04
1.63	BC025600	NM_146162	CDNA sequence BC025600 (BC025600), mRNA	3.26E-08
1.63	Tsp50	NM_146227	testes-specific protease 50	3.49E-04
1.63	Slc29a4	NM_146257	Solute carrier family 29 (nucleoside transporters), member 4 (Slc29a4), mRNA	2.65E-07
1.63	Gm672	NM_201354	NF-IL6 3UTR-specific binding protein (Nbf) mRNA, partial sequence	3.61E-04
1.62	2310035K24Rik	NM_027129	RIKEN cDNA 2310035K24 gene (2310035K24Rik), mRNA	4.59E-07
1.62	Hspb2	NM_024441	Heat shock protein 2 (Hspb2), mRNA	1.48E-05
1.62	2410104I19Rik	AK013342	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810454F19 product:hypothetical protein, full insert sequence.	8.30E-04
1.62	Cd40	NM_170701	CD40 antigen (Cd40), transcript variant 5, mRNA	1.13E-09
1.62	BC053460	BC059855	CDNA sequence BC053460, mRNA (cDNA clone IMAGE:6411827)	5.04E-06
1.61	Chi3l3	NM_009892	Chitinase 3-like 3 (Chi3l3), mRNA	4.49E-06
1.61	Msn	NM_010833	Moesin (Msn), mRNA	1.09E-06
1.61	Trpm4	NM_175130	Transient receptor potential cation channel, subfamily M, member 4, mRNA (cDNA clone MGC:106240 IMAGE:4225167)	2.49E-04
1.61	Zfp707	BC026404	RIKEN cDNA 1500031N24 gene, mRNA (cDNA clone IMAGE:4210825)	1.36E-08
1.61	Pctk1	NM_011049	PCTAIRE-motif protein kinase 1, mRNA (cDNA clone MGC:18746 IMAGE:4006745)	1.97E-04
1.61	Trub1	NM_029839	TruB pseudouridine (psi) synthase homolog 1 (E. coli) (Trub1), transcript variant 2, mRNA	6.01E-04
1.61	Alox5	BC049768	Arachidonate 5-lipoxygenase (Alox5), mRNA	4.74E-04
1.61	Tmprss2	NM_015775	Transmembrane protease, serine 2, mRNA (cDNA clone MGC:6821 IMAGE:2648878)	3.86E-04
1.61	Mobkl2a	AK030481	PREDICTED: Mus musculus RIKEN cDNA 5330417K06 gene (5330417K06Rik), mRNA	2.16E-04
1.6	Jund1	NM_010592	Jun proto-oncogene related gene d1, mRNA (cDNA clone MGC:6245 IMAGE:3583807)	8.44E-06
1.59	Slc5a5	NM_053248	Solute carrier family 5 (sodium iodide symporter), member 5 (Slc5a5), mRNA	1.28E-04
1.59	Hdlbp	NM_133808	High density lipoprotein (HDL) binding protein, mRNA (cDNA clone MGC:36446 IMAGE:5354293)	2.37E-04
1.59	Bloc1s3	NM_177692	Biogenesis of lysosome-related organelles complex-1, subunit 3, mRNA (cDNA clone IMAGE:5064328)	2.01E-06
1.59	2610041B18Rik	NM_027264	RIKEN cDNA 2610041B18 gene, mRNA (cDNA clone MGC:66626 IMAGE:6827768)	4.67E-04
1.58	Jak3	NM_010589	Insulin-like 3 (Insl3), mRNA	3.47E-05
1.58	2400003C14Rik	NM_028018	RIKEN cDNA 2400003C14 gene, mRNA (cDNA clone MGC:6464 IMAGE:2631157)	4.94E-04
1.58	Rgs11	AK019054	Regulator of G-protein signaling 11, mRNA (cDNA clone MGC:30599 IMAGE:3666182)	6.74E-05
1.58	Nckipsd	NM_030729	NCK interacting protein with SH3 domain (Nckipsd), mRNA	1.81E-05
1.58	Sncaip	AK017012	Synuclein, alpha interacting protein (synphilin) (Sncaip), mRNA	5.70E-04
1.57	9430057O19Rik	AK034894	RIKEN cDNA 9430057O19 gene, mRNA (cDNA clone MGC:67138 IMAGE:6813901)	2.05E-06
1.57	Oplah	NM_153122	5-oxoprolinase (ATP-hydrolysing) (Oplah), mRNA	2.84E-04
1.57	4933413J09Rik	AK016807	PREDICTED: hypothetical protein LOC71106 [Mus musculus], mRNA sequence	9.86E-04
1.57	Alox12	NM_007440	Arachidonate 12-lipoxygenase (Alox12), mRNA	5.19E-04
1.57	Bai2	NM_173071	Brain-specific angiogenesis inhibitor 2, mRNA (cDNA clone MGC:66520 IMAGE:5705854)	7.56E-05
1.57	Lnk	NM_008507	Linker of T-cell receptor pathways, mRNA (cDNA clone MGC:11404 IMAGE:3709861)	8.36E-04
1.57	Rnf41	NM_026259	Ring finger protein 41 (Rnf41), mRNA	6.30E-10
1.57	Ms4a10	NM_023529	Membrane-spanning 4-domains, subfamily A, member 10 (Ms4a10), mRNA	3.27E-04
1.56	4930417P05Rik	XM_131829	PREDICTED: hypothetical protein LOC76866 [Mus musculus], mRNA sequence	1.59E-05
1.56	H2-Ab1	NM_207105	Histocompatibility 2, class II antigen A, beta 1, mRNA (cDNA clone MGC:6297 IMAGE:2651058)	1.28E-04
1.55	2310028H24Rik	AK009522	Adult male testis cDNA, RIKEN full-length enriched library, clone:1700066J24	6.48E-05
			product:hypothetical protein, full insert sequence
1.55	AW124722	XM_139515	PREDICTED: similar to hypothetical protein [Mus musculus], mRNA sequence	1.56E-04
1.55	Mxd4	AK013062	Max dimerization protein 4, mRNA (cDNA clone MGC:19425 IMAGE:3490469)	2.88E-04
1.55	1600014K23Rik	AK005459	PREDICTED: hypothetical protein LOC71996 [Mus musculus], mRNA sequence	5.06E-04
1.54	Ggnbp1	BC054732	gametogenetin binding protein 1	1.98E-04
1.54	Rxra	NM_011305	Retinoid X receptor alpha (Rxra), mRNA	3.71E-07
1.54	Slc35a2	NM_078484	Solute carrier family 35 (UDP-galactose transporter), member 2, mRNA (cDNA clone MGC:46966 IMAGE:4187325)	3.27E-07
1.54	Rnf123	BC057082	Ring finger protein 123 (Rnf123), mRNA	9.79E-09
1.54	NAP107172-1	null	Unknown	7.74E-07
1.54	C1rl	NM_181344	Complement component 1, r subcomponent-like, mRNA (cDNA clone MGC:92956 IMAGE:30627947)	9.98E-04
1.54	Pcbp3	NM_021568	Poly(rC) binding protein 3 (Pcbp3), mRNA	1.71E-05
1.54	Acta2	NM_183274	Mus musculus actin, alpha 2, smooth muscle, aorta (Acta2), mRNA.	1.01E-18
1.54	Serpinb6b	NM_011454	NK13 (Serpinb6b)	3.02E-05
1.53	Dnm2	NM_007871	Dynamin 2, mRNA (cDNA clone MGC:7779 IMAGE:3499181)	4.23E-04
1.53	Nsg1	NM_010942	Neuron specific gene family member 1, mRNA (cDNA clone MGC:11446 IMAGE:3603440)	2.70E-10
1.53	Arc	NM_018790	Activity regulated cytoskeletal-associated protein, mRNA (cDNA clone MGC:27890 IMAGE:3498057)	7.07E-10
1.53	Lpo	NM_080420	Lactoperoxidase (Lpo), mRNA	6.71E-06
1.53	Diap1	NM_007858	Diaphanous homolog 1 (Drosophila) (Diap1), mRNA	1.17E-05
1.53	Wdr32	NM_153167	WD repeat domain 32 (Wdr32), mRNA	6.88E-04
1.53	Wdr68	AK005902	WD repeat domain 68, mRNA (cDNA clone IMAGE:5009594)	5.66E-07
1.53	Zfp282	NM_146175	Zinc finger protein 282 (Zfp282), mRNA	1.97E-08
1.52	Cdkl3	AK046394	Cyclin-dependent kinase-like 3 (Cdkl3), mRNA	1.06E-06
1.52	Rhbdl7	AK032400	Rhomboid, veinlet-like 7 (Drosophila) (Rhbdl7), mRNA	1.43E-04
1.52	Mocos	BC016223	PREDICTED: molybdenum cofactor sulfurase [Mus musculus], mRNA sequence	2.93E-05
1.52	2810055G22Rik	NM_080561	RIKEN cDNA 2810055G22 gene, mRNA (cDNA clone IMAGE:6822422)	1.63E-05
1.52	Pgf	NM_008827	Placental growth factor, mRNA (cDNA clone MGC:11485 IMAGE:2649577)	9.85E-05
1.52	Lats2	AY015062	LATS2B (Lats2) mRNA, complete cds, alternatively spliced	2.92E-11
1.52	Dysf	NM_021469	Dysferlin (Dysf), mRNA	8.94E-04
1.51	Rgs3	NM_019492	Regulator of G-protein signaling 3, mRNA (cDNA clone MGC:27997 IMAGE:3599345)	1.37E-07
1.51	Mus81	NM_027877	MUS81 endonuclease homolog (yeast), mRNA (cDNA clone MGC:36246 IMAGE:5038349)	3.89E-04
1.51	Tex261	AK013971	RIKEN cDNA 4930564N15 gene (4930564N15Rik), mRNA	1.28E-06
1.51	Dgat2	NM_026384	Diacylglycerol O-acyltransferase 2 (Dgat2), mRNA	4.06E-06
1.51	Pak6	XM_111790	PREDICTED: similar to hypothetical protein [Mus musculus], mRNA sequence	2.20E-06
1.51	Myd88	NM_010851	Myeloid differentiation primary response gene 88, mRNA (cDNA clone MGC:5902 IMAGE:3482246)	8.68E-05
1.5	Ranbp10	NM_145824	RAN binding protein 10 (Ranbp10), mRNA	2.96E-08
1.5	Marveld1	NM_183195	MARVEL (membrane-associating) domain containing 1 (Marveld1), mRNA	6.51E-06
1.5	Vegfa	NM_009505	Vascular endothelial growth factor A (Vegfa), transcript variant 2, mRNA	5.00E-19
1.5	Cit	NM_007708	Citron, mRNA (cDNA clone MGC:38411 IMAGE:5346007)	2.70E-04
1.5	Slc5a6	NM_177870	Solute carrier family 5 (sodium-dependent vitamin transporter), member 6, mRNA (cDNA clone MGC:109689 IMAGE:6416422)	6.28E-04
1.5	Man1c1	NM_207237	Mannosidase, alpha, class 1C, member 1, mRNA (cDNA clone IMAGE:5373083)	3.22E-06
1.5	Col2a1	NM_031163	Procollagen, type II, alpha 1, mRNA (cDNA clone IMAGE:4506267)	3.39E-05
-1.5	BC022654	BC022654	Mus musculus, clone IMAGE:4219318, mRNA	8.24E-04
-1.5	Sfrs7	NM_146083	Splicing factor, arginine/serine-rich 7 (Sfrs7), mRNA	2.57E-08
-1.5	2610020O08Rik	NM_025937	RIKEN cDNA 2610020O08 gene, mRNA (cDNA clone MGC:25785 IMAGE:4019392)	3.25E-04
-1.5	Acn9	AK028031	PREDICTED: ACN9 homolog [Mus musculus], mRNA sequence	1.53E-06
-1.51	Pdcl3	NM_026850	Phosducin-like 3, mRNA (cDNA clone MGC:7220 IMAGE:3483084)	2.40E-10
-1.51	Stxbp4	AK043497	Syntaxin binding protein 4, mRNA (cDNA clone MGC:41138 IMAGE:1224878)	5.65E-05
-1.51	Dynlt3	NM_025975	T-complex-associated-testis-expressed 1-like, mRNA (cDNA clone MGC:41029 IMAGE:1332100)	4.17E-05
-1.51	2810457I06Rik	NM_176860	Nims mRNA for NF-E2 induceble megakaryocyte specific protein	2.66E-05
-1.51	Arl4d	NM_031160	ADP-ribosylation factor 4-like (Arf4l), mRNA	4.14E-06
-1.51	8430426H19Rik	NM_178875	Mus musculus RIKEN cDNA 8430426H19 gene (8430426H19Rik), mRNA.	3.89E-06
-1.51	Frmd4a	NM_172475	FERM domain containing 4A, mRNA (cDNA clone MGC:76363 IMAGE:6830456)	9.93E-08
-1.51	0610010O12Rik	BC028765	RIKEN cDNA 0610010O12 gene, mRNA (cDNA clone MGC:41247 IMAGE:1195860)	2.99E-04
-1.51	Mapre1	NM_007896	Microtubule-associated protein, RP/EB family, member 1 (Mapre1), mRNA	3.37E-05
-1.51	Luc7l2	AK053863	LUC7-like 2 (S. cerevisiae) (Luc7l2), mRNA	6.52E-04
-1.51	Plekha2	NM_031257	PH domain-containing adaptor PHAD47 (Phad47)	8.13E-07
-1.51	Hist2h2aa1	NM_013549	Histone 2, H2aa1 (Hist2h2aa1), mRNA	4.26E-08
-1.51	Ccdc18	AK016519	Coiled-coil domain containing 18 (Ccdc18), mRNA	1.87E-09
-1.51	mszf85	AB010343	Mus musculus mRNA for mszf85, partial cds.	3.16E-04
-1.52	Spint2	AK085431	Serine protease inhibitor, Kunitz type 2, mRNA (cDNA clone MGC:31292 IMAGE:4219482)	4.78E-05
