Function	Gene Symbol	Code	Gene	median log2 ratio
Cytoskeleton and cell motility	SYNGR2	AJ002312	Human gene encoding synaptogyrin 2, exons 2 & 3.	-1.564
Signal transduction	ADAM9	D14665	a disintegrin and metalloproteinase domain 9 (meltrin gamma)	1.499
Signal transduction	GNG10	U31383	guanine nucleotide binding protein 10	1.442
Signal transduction	HCK	AL049539	hemopoietic cell kinase	1.496
Signal transduction	PIK4CA	L36151	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	1.095
Signal transduction	UGP2	AW958467	UDP-glucose pyrophosphorylase 2	1.317
Signal transduction	CAV1	AI878826	caveolin 1 caveolae protein, 22kD	1.699
Signal transduction	HRMT1L2	Y10807	HMT1 (hnRNP methyltransferase, S. cerevisiae)-like 2	-1.351
Signal transduction	GNL1	NM_005275	guanine nucleotide binding protein-like 1	-1.233
Cell growth and/or maintenance	EIF3S6	U85947	eukaryotic translation initiation factor 3, subunit 6 (48kD)	1.378
Cell growth and/or maintenance	TARS	M63180	threonyl-tRNA synthetase	1.086
Cell growth and/or maintenance	EEF1D	Z21507	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	-1.239
Cell cycle	PPP1CC	X74008	protein phosphatase 1, catalytic subunit, gamma isoform	1.232
Cell cycle	CDC2	X05360	cell division cycle 2, G1 to S and G2 to M	1.295
Cell cycle	CCNA2	X68303	cyclin A2	1.635
Cell cycle	EXT1	AW960544	exostoses (multiple) 1	1.158
Cell cycle	EMP1	Y07909	epithelial membrane protein 1	1.705
Cell cycle	SFN	AF029081	stratifin	-1.743
Cell adhesion	TPBG	Z29083	5T4 oncofetal trophoblast glycoprotein	1.242
Cell adhesion	CTGF	U14750	connective tissue growth factor	1.192
Cell adhesion	ITGB1	NM_002211	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	1.518
Cell adhesion	NID	NM_002508	nidogen (enactin)	2.176
Cell adhesion	LAMA4	X91171	laminin, alpha 4	1.188
Cell adhesion	CDH13	L34058	cadherin 13,T-cadherin	1.193
Other genes	ALPL	AB011406	alkaline phosphatase, liver/bone/kidney	3.862
Other genes	PRNP	M13667	prion protein (p27-30) (Creutzfeld-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	1.728
Other genes	MALAT-1	AF203815	Human alpha gene sequence.	1.677
Other genes	TRA1	AW905119	tumor rejection antigen (gp96) 1	1.582
Other genes	PGRMC1	AA970835	progesterone binding protein	1.217
Other genes	PSMD14	U86782	26S proteasome-associated pad1 homolog	1.361
Other genes	PSMC6	D78275	proteasome (prosome, macropain) 26S subunit, ATPase, 6	1.302
Other genes	PSMA3	BE379904	proteasome (prosome, macropain) subunit, alpha type, 3	1.856
Other genes	PSMA4	NM_002789	proteasome (prosome, macropain) subunit, alpha type, 4	1.255
Other genes	UBE2E3	AF085362	ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC4/5)	1.176
Other genes	UBL1	U61397	ubiquitin-like 1 (sentrin)	1.575
Other genes	BCAP31	Z31696	accessory proteins BAP31/BAP29	-1.153
Other genes	E2-EPF	AI571293	ubiquitin carrier protein	-1.677
Other genes	USP5	X91349	ubiquitin specific protease 5 (isopeptidase T)	-1.437
