Gene	Probe Set ID	Ratio	95% CI		ZamLog2FC	GioLog2FC
PRKCA	213093_at	2.6	1.7	4.0	-1.4	-4.2
CD14	201743_at	2.6	1.7	3.9	-1.4	-5.6
SELENBP1	214433_s_at	2.5	1.3	4.6	-1.3	-4.3
PHYHIP	205325_at	2.4	1.4	4.3	-1.3	-5.3
CREBL2	201989_s_at	2.4	1.7	3.4	-1.3	-3.6
STAB1	38487_at	2.4	1.8	3.1	-1.3	-3.7
ALDH3A2	202054_s_at	2.4	1.7	3.4	-1.3	-3.6
PDK2	202590_s_at	2.4	1.9	3.0	-1.2	-4
DNASE1L3	205554_s_at	2.4	1.5	3.8	-1.2	-6.7
PRKCA	215195_at	2.3	1.3	4.2	-1.2	-4.2
IGF1	209541_at	2.3	0.6	8.2	-1.2	-3.6
SLC9A3R1	201349_at	2.3	1.5	3.3	-1.2	-4.3
CHAD	206869_at	2.3	1.1	4.8	-1.2	-7.1
MYO7A	211103_at	2.2	1.1	4.6	-1.1	-3.4
CXCL12	203666_at	2.2	1.4	3.4	-1.1	-14.3
RARRES3	204070_at	2.2	1.4	3.3	-1.1	-4.8
---	213183_s_at	2.1	1.4	3.2	-1.1	-5
MAP3K5	203836_s_at	2.1	1.3	3.4	-1.1	-3.1
LMOD1	211562_s_at	2.0	0.8	5.1	-1.0	-5.6
MYO7A	33197_at	1.9	1.5	2.5	-1.0	-3.4
MAP3K5	203837_at	1.9	1.3	2.8	-0.9	-3.1
STAB1	204150_at	1.9	1.5	2.5	-0.9	-3.7
TMOD1	203662_s_at	1.9	0.5	6.9	-0.9	-14.3
ALDH3A2	202053_s_at	1.9	1.1	3.2	-0.9	-3.6
C9orf13	213247_at	1.8	0.6	5.9	-0.9	-10
IGF1	211577_s_at	1.8	1.1	2.9	-0.9	-3.6
---	203070_at	1.8	0.9	3.4	-0.8	-10
BRE	205550_s_at	1.7	1.1	2.7	-0.8	-5.3
COBLL1	215393_s_at	1.7	1.1	2.7	-0.8	-3.8
CREBL2	201988_s_at	1.7	1.1	2.7	-0.8	-3.6
ADH1A	207820_at	1.7	1.1	2.8	-0.8	-25
GPX3	214091_s_at	1.7	1.1	2.5	-0.8	-6.3
GYPC	202947_s_at	1.7	1.2	2.3	-0.8	-3
PDK2	213724_s_at	1.6	0.9	3.1	-0.7	-4
COBLL1	203642_s_at	1.6	1.2	2.2	-0.7	-3.8
CRLF1	206315_at	1.6	0.8	3.0	-0.6	-3
ALDH3B1	205640_at	1.5	0.8	2.9	-0.6	-4.3
GPX3	201348_at	1.5	1.0	2.3	-0.6	-6.3
FGFR1	215404_x_at	1.5	1.1	2.1	-0.6	4.4
ABCC3	214979_at	1.5	0.7	2.9	-0.5	-3.8
TYMS	217684_at	1.4	0.5	3.8	-0.5	4.6
TMOD1	203661_s_at	1.4	0.9	2.3	-0.5	-14.3
---	204486_at	1.4	0.4	4.7	-0.5	-6.3
FBP1	209696_at	1.3	1.0	1.8	-0.4	-4.3
ALDH3A2	210544_s_at	1.3	0.8	1.9	-0.4	-3.6
COBLL1	203641_s_at	1.2	0.8	1.9	-0.3	-3.8
ALDH3B1	211004_s_at	1.2	0.9	1.8	-0.3	-4.3
COBLL1	211032_at	1.2	0.5	3.2	-0.3	-3.8
---	219533_at	1.2	0.4	3.3	-0.3	-5
PRKCA	206923_at	1.2	0.6	2.4	-0.2	-4.2
MYO7A	211104_s_at	1.2	0.6	2.3	-0.2	-3.4
PTGDS	211663_x_at	1.2	0.6	2.3	-0.2	-5.6
PDGFRA	211533_at	1.1	0.5	2.8	-0.2	-5.9
---	208080_at	1.1	0.5	2.2	-0.1	4.7
PDGFRA	215305_at	1.0	0.6	1.8	0.0	-5.9
---	215194_at	1.0	0.7	1.5	0.0	-4.2
