Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	q-value	Sam
200952_s_at	CCND2	Chr:12p13	AI635187	-9.53799	0.44661	0.007222864	cluster5
200953_s_at	CCND2	Chr:12p13	NM_001759	-11.5001	0.35312	0.007222864	cluster5
201416_at	SOX4	Chr:6p22.3	BG528420	-11.5336	0.20533	0.007222864	cluster5
201417_at	SOX4	Chr:6p22.3	AL136179	-12.9863	0.32733	0.007222864	cluster5
201418_s_at	SOX4	Chr:6p22.3	NM_003107	-11.9037	0.22492	0.007222864	cluster5
201422_at	IFI30	Chr:19p13.1	NM_006332	10.09271	4.29317	0.007222864	cluster5
201531_at	ZFP36	Chr:19q13.1	NM_003407	7.422244	2.05369	0.007222864	cluster5
201642_at	IFNGR2	Chr:21q22.11	NM_005534	14.56519	2.41487	0.007222864	cluster5
201700_at	CCND3	Chr:6p21	NM_001760	7.170535	1.52468	0.007222864	cluster5
201850_at	CAPG	Chr:2cen-q24	NM_001747	7.993042	2.29281	0.007222864	cluster5
202265_at	BMI1	Chr:10p11.23	NM_005180	-6.71705	0.52309	0.007222864	cluster5
202431_s_at	MYC	Chr:8q24.12-q24.13	NM_002467	-5.63819	0.48789	0.007222864	cluster5
202443_x_at	NOTCH2	Chr:1p13-p11	AA291203	7.441773	1.62398	0.007222864	cluster5
202445_s_at	NOTCH2	Chr:1p13-p11	NM_024408	9.188199	1.60409	0.007222864	cluster5
202732_at	PKIG	Chr:20q12-q13.1	NM_007066	-8.50922	0.54298	0.007222864	cluster5
203233_at	IL4R	Chr:16p11.2-12.1	NM_000418	7.261545	1.7594	0.007222864	cluster5
204689_at	HHEX	Chr:10q23.33	NM_001529	-7.50782	0.64851	0.007222864	cluster5
204798_at	MYB	Chr:6q22-q23	NM_005375	-9.95545	0.53777	0.007222864	cluster5
205051_s_at	KIT	Chr:4q11-q12	NM_000222	-10.1446	0.26144	0.007222864	cluster5
206848_at	HOXA7	Chr:7p15-p14	NM_006896	-5.82001	0.65702	0.007222864	cluster5
207535_s_at	NFKB2	Chr:10q24	NM_002502	6.377288	2.12356	0.007222864	cluster5
208018_s_at	HCK	Chr:20q11-q12	NM_002110	11.13271	3.38259	0.007222864	cluster5
208666_s_at	ST13	Chr:22q13.2	BE866412	-7.39265	0.6391	0.007222864	cluster5
209083_at	CORO1A	Chr:16p12.1	U34690	6.892547	1.54644	0.007222864	cluster5
209184_s_at	IRS2	Chr:13q34	BF700086	5.384737	1.65014	0.007222864	cluster5
209185_s_at	IRS2	Chr:13q34	AF073310	5.085472	1.62972	0.007222864	cluster5
209906_at	C3AR1	Chr:12p13.31	U62027	7.169835	2.4436	0.007222864	cluster5
210347_s_at	BCL11A	Chr:2p16.1	AF080216	-8.78169	0.55639	0.007222864	cluster5
210457_x_at	HMGA1	Chr:6p21	AF176039	-4.15967	0.64938	0.007222864	cluster5
210756_s_at	NOTCH2	Chr:1p13-p11	AF308601	7.468677	1.77269	0.007222864	cluster5
212377_s_at	NOTCH2	Chr:1p13-p11	AU158495	6.934813	1.6645	0.007222864	cluster5
212501_at	CEBPB	Chr:20q13.1	AL564683	10.12606	2.53915	0.007222864	cluster5
212678_at	NF1	Chr:17q11.2	AW054826	-7.47561	0.65009	0.007222864	cluster5
213394_at	MAPKBP1	Chr:5q31	AI674759	-4.64524	0.52706	0.007222864	cluster5
213668_s_at	SOX4	Chr:6p22.3	AI989477	-11.4895	0.21272	0.007222864	cluster5
215933_s_at	HHEX	Chr:10q23.33	Z21533	-6.02588	0.63742	0.007222864	cluster5
216115_at	NF1	Chr:17q11.2	AK024873	-5.87653	0.62879	0.007222864	cluster5
217192_s_at	PRDM1	Chr:6q21-q22.1	AL022067	6.014375	1.53291	0.007222864	cluster5
218041_x_at	SLC38A2	Chr:12q	NM_018573	-8.72449	0.6391	0.007222864	cluster5
219497_s_at	BCL11A	Chr:2p16.1	NM_022893	-9.99353	0.35396	0.007222864	cluster5
219498_s_at	BCL11A	Chr:2p16.1	NM_018014	-8.97192	0.38682	0.007222864	cluster5
220924_s_at	SLC38A2	Chr:12q	NM_018976	-9.77707	0.6056	0.007222864	cluster5
221654_s_at	USP3	Chr:15q22.3	AF077040	10.68255	1.92063	0.007222864	cluster5
221840_at	PTPRE	Chr:10q26	AA775177	5.572411	1.5554	0.007222864	cluster5
201418_s_at	SOX4	Chr:6p22.3	NM_003107	4.276538	3.14639	4.740828702	cluster6
204069_at	MEIS1	Chr:2p14-p13	NM_002398	4.209676	2.92887	4.740828702	cluster6
204116_at	IL2RG	Chr:xq13.1	NM_000206	-4.55936	0.39175	4.740828702	cluster6
207968_s_at	MEF2C	Chr:5q14	NM_002397	-4.03426	0.35533	4.740828702	cluster6
209083_at	CORO1A	Chr:16p12.1	U34690	-6.95521	0.32373	2.966827144	cluster6
213668_s_at	SOX4	Chr:6p22.3	AI989477	4.090032	3.1861	4.740828702	cluster6
216115_at	NF1	Chr:17q11.2	AK024873	4.753835	1.93567	4.740828702	cluster6
201642_at	IFNGR2	Chr:21q22.11	NM_005534	-4.77351	0.54067	0.313333055	cluster7
201850_at	CAPG	Chr:2cen-q24	NM_001747	-4.49183	0.30606	0.388732722	cluster7
202732_at	PKIG	Chr:20q12-q13.1	NM_007066	4.923196	1.58824	0.255089969	cluster7
203233_at	IL4R	Chr:16p11.2-12.1	NM_000418	-4.56468	0.50859	0.388732722	cluster7
204863_s_at	IL6ST	Chr:5q11	BE856546	4.877512	1.62298	0.255089969	cluster7
207042_at	E2F2	Chr:1p36	NM_004091	9.721735	1.85923	0.089449865	cluster7
208018_s_at	HCK	Chr:20q11-q12	NM_002110	-5.65468	0.26785	0.158036789	cluster7
209083_at	CORO1A	Chr:16p12.1	U34690	-6.70922	0.47431	0.089449865	cluster7
209306_s_at	SWAP70	Chr:11p15	AI139569	-4.01807	0.56548	1.806062597	cluster7
211000_s_at	IL6ST	Chr:5q11	AB015706	5.860073	1.71121	0.089449865	cluster7
219657_s_at	KLF3	Chr:4p14	NM_016531	7.067148	1.95198	0.089449865	cluster7
204863_s_at	IL6ST	Chr:5q11	BE856546	5.548279	1.77356	0.306561517	cluster8
205590_at	RASGRP1	Chr:15q15	NM_005739	5.918742	2.77668	0.176630653	cluster8
207042_at	E2F2	Chr:1p36	NM_004091	6.819491	1.64928	0.176630653	cluster8
211000_s_at	IL6ST	Chr:5q11	AB015706	5.830277	1.69568	0.176630653	cluster8
214447_at	ETS1	Chr:11q23.3	NM_005238	6.030033	1.69862	0.176630653	cluster8
219657_s_at	KLF3	Chr:4p14	NM_016531	4.500476	1.84116	3.252307895	cluster8
200951_s_at	CCND2	Chr:12p13	AW026491	5.291097	1.7826	0.102830729	cluster9
200953_s_at	CCND2	Chr:12p13	NM_001759	4.47096	1.67628	0.36759866	cluster9
201422_at	IFI30	Chr:19p13.1	NM_006332	4.938015	2.06463	0.102830729	cluster9
201531_at	ZFP36	Chr:19q13.1	NM_003407	4.726448	1.86539	0.245419079	cluster9
202265_at	BMI1	Chr:10p11.23	NM_005180	-4.76846	0.4719	0.102830729	cluster9
204116_at	IL2RG	Chr:xq13.1	NM_000206	-4.31171	0.50901	0.180922471	cluster9
208978_at	CRIP2	Chr:14q32.3	U36190	4.879409	1.81256	0.180922471	cluster9
209189_at	FOS	Chr:14q24.3	BC004490	4.216603	1.76474	0.574401096	cluster9
209193_at	PIM1	Chr:6p21.2	M24779	-8.10095	0.30592	0.102830729	cluster9
209905_at	HOXA9	Chr:7p15-p14	AI246769	-6.32229	0.09565	0.102830729	cluster9
211823_s_at	PXN	Chr:12q24.31	D86862	4.700781	1.61585	0.245419079	cluster9
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-5.38935	0.11519	0.102830729	cluster9
219433_at	BCOR	Chr:xp11.4	NM_017745	-4.86166	0.64947	0.102830729	cluster9
200951_s_at	CCND2	Chr:12p13	AW026491	4.867393	1.69205	0.219062889	cluster10
200952_s_at	CCND2	Chr:12p13	AI635187	5.190713	1.78346	0.124421194	cluster10
200953_s_at	CCND2	Chr:12p13	NM_001759	4.29877	1.65182	0.546377649	cluster10
203395_s_at	HES1	Chr:3q28-q29	NM_005524	7.466364	1.50762	0.124421194	cluster10
206589_at	GFI1	Chr:1p22	NM_005263	-5.21149	0.43375	0.124421194	cluster10
207968_s_at	MEF2C	Chr:5q14	NM_002397	6.356303	2.03958	0.124421194	cluster10
209199_s_at	MEF2C	Chr:5q14	N22468	5.51877	2.12818	0.124421194	cluster10
209200_at	MEF2C	Chr:5q14	AL536517	5.765548	2.17029	0.124421194	cluster10
209906_at	C3AR1	Chr:12p13.31	U62027	-7.31845	0.17659	0.124421194	cluster10
210347_s_at	BCL11A	Chr:2p16.1	AF080216	4.197065	1.50257	0.568027044	cluster10
218902_at	NOTCH1	Chr:9q34.3	NM_017617	6.417063	1.84954	0.124421194	cluster10
219480_at	SNAI1	Chr:20q13.1-q13.2	NM_005985	5.075813	1.55671	0.124421194	cluster10
219497_s_at	BCL11A	Chr:2p16.1	NM_022893	4.76718	2.08601	0.219062889	cluster10
219498_s_at	BCL11A	Chr:2p16.1	NM_018014	5.608067	2.34501	0.124421194	cluster10
221221_s_at	KLHL3	Chr:5q31	NM_017415	6.733813	1.75099	0.124421194	cluster10
221234_s_at	BACH2	Chr:6q15	NM_021813	5.994946	2.00163	0.124421194	cluster10
221884_at	EVI1	Chr:3q24-q28	BE466525	5.171483	2.3019	0.124421194	cluster10
200599_s_at	TRA1	Chr:12q24.2-q24.3	NM_003299	6.651869	1.66883	0.110712491	cluster12
200951_s_at	CCND2	Chr:12p13	AW026491	4.592904	1.89648	0.353931271	cluster12
200952_s_at	CCND2	Chr:12p13	AI635187	4.079838	1.94208	0.585204402	cluster12
200953_s_at	CCND2	Chr:12p13	NM_001759	4.387883	1.95396	0.431858493	cluster12
201416_at	SOX4	Chr:6p22.3	BG528420	-4.53662	0.29855	0.238247022	cluster12
202265_at	BMI1	Chr:10p11.23	NM_005180	-5.08567	0.44604	0.110712491	cluster12
202443_x_at	NOTCH2	Chr:1p13-p11	AA291203	-6.64915	0.51677	0.110712491	cluster12
202501_at	MAPRE2	Chr:18q12.2	NM_014268	-5.45786	0.58126	0.110712491	cluster12
204069_at	MEIS1	Chr:2p14-p13	NM_002398	-5.92462	0.17345	0.110712491	cluster12
204249_s_at	LMO2	Chr:11p13	NM_005574	-4.99821	0.58145	0.110712491	cluster12
204629_at	PARVB	Chr:22q13.2-q13.33	NM_013327	-6.38644	0.51925	0.110712491	cluster12
204674_at	LRMP	Chr:12p12.1	NM_006152	-5.07793	0.63754	0.110712491	cluster12
206589_at	GFI1	Chr:1p22	NM_005263	4.441716	1.79821	0.431858493	cluster12
207968_s_at	MEF2C	Chr:5q14	NM_002397	-7.89217	0.29808	0.110712491	cluster12
209189_at	FOS	Chr:14q24.3	BC004490	-4.09637	0.44045	0.353931271	cluster12
209199_s_at	MEF2C	Chr:5q14	N22468	-9.58364	0.21081	0.110712491	cluster12
209200_at	MEF2C	Chr:5q14	AL536517	-7.24102	0.25067	0.110712491	cluster12
209306_s_at	SWAP70	Chr:11p15	AI139569	-6.26392	0.464	0.110712491	cluster12
209307_at	SWAP70	Chr:11p15	AB014540	-5.81859	0.53951	0.110712491	cluster12
209695_at	PTP4A3	Chr:8q24.3	BC003105	-4.29155	0.57386	0.324465386	cluster12
209905_at	HOXA9	Chr:7p15-p14	AI246769	-5.28398	0.11417	0.110712491	cluster12
210457_x_at	HMGA1	Chr:6p21	AF176039	-5.49581	0.4307	0.110712491	cluster12
210756_s_at	NOTCH2	Chr:1p13-p11	AF308601	-7.62464	0.42971	0.110712491	cluster12
211823_s_at	PXN	Chr:12q24.31	D86862	-4.35365	0.50275	0.324465386	cluster12
211825_s_at	EWSR1	Chr:11q24.1-q24.3	AF327066	-4.921	0.62911	0.176502375	cluster12
212377_s_at	NOTCH2	Chr:1p13-p11	AU158495	-6.59577	0.47973	0.110712491	cluster12
212983_at	HRAS	Chr:11p15.5	NM_005343	5.510038	1.54635	0.110712491	cluster12
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-5.80905	0.09689	0.110712491	cluster12
216253_s_at	PARVB	Chr:22q13.2-q13.33	N73272	-6.53787	0.42961	0.110712491	cluster12
216449_x_at	TRA1	Chr:12q24.2-q24.3	AK025862	5.378389	1.80637	0.176502375	cluster12
35974_at	LRMP	Chr:12p12.1	U10485	-4.97137	0.58519	0.110712491	cluster12
37965_at	PARVB	Chr:22q13.2-q13.33	AA181053	-7.4508	0.42599	0.110712491	cluster12
37966_at	PARVB	Chr:22q13.2-q13.33	AA187563	-5.673	0.57502	0.110712491	cluster12
201700_at	CCND3	Chr:6p21	NM_001760	-7.18582	0.53125	0.080713013	cluster13
201850_at	CAPG	Chr:2cen-q24	NM_001747	-10.5081	0.13601	0.080713013	cluster13
202732_at	PKIG	Chr:20q12-q13.1	NM_007066	-5.27976	0.56107	0.080713013	cluster13
203603_s_at	ZFHX1B	Chr:2q22	NM_014795	4.592822	1.51353	0.264066851	cluster13
204069_at	MEIS1	Chr:2p14-p13	NM_002398	-6.7298	0.17043	0.080713013	cluster13
204936_at	MAP4K2	Chr:11q13	NM_004579	7.338926	1.65214	0.080713013	cluster13
206589_at	GFI1	Chr:1p22	NM_005263	5.890629	1.9985	0.080713013	cluster13
208978_at	CRIP2	Chr:14q32.3	U36190	7.985316	2.83633	0.080713013	cluster13
209307_at	SWAP70	Chr:11p15	AB014540	5.474357	1.62647	0.080713013	cluster13
209905_at	HOXA9	Chr:7p15-p14	AI246769	-6.36959	0.0905	0.080713013	cluster13
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-7.09166	0.06595	0.080713013	cluster13
218041_x_at	SLC38A2	Chr:12q	NM_018573	5.484239	1.50101	0.080713013	cluster13
219255_x_at	IL17RB	Chr:3p21.1	NM_018725	11.39733	2.09016	0.080713013	cluster13
221969_at	---	Chr:9p13	BF510692	8.102778	2.14846	0.080713013	cluster13
211105_s_at	NFATC1	Chr:18q23	U80918	-4.39899	0.57741	1.538688484	cluster15
221737_at	GNA12	Chr:7p22-p21	AK024696	-5.83916	0.46807	1.538688484	cluster15
202501_at	MAPRE2	Chr:18q12.2	NM_014268	-6.93054	0.48402	0.447960842	cluster16
203004_s_at	MEF2D	Chr:1q12-q23	NM_005920	5.514254	1.74084	3.696979157	cluster16
203010_at	STAT5A	Chr:17q11.2	NM_003152	-5.16712	0.58648	0.883576306	cluster16
204674_at	LRMP	Chr:12p12.1	NM_006152	5.702659	1.941	0.883576306	cluster16
212549_at	STAT5B	Chr:17q11.2	BE645861	-5.4555	0.63739	0.726305443	cluster16
212550_at	STAT5B	Chr:17q11.2	AI149535	-5.13015	0.6266	0.883576306	cluster16
212676_at	NF1	Chr:17q11.2	AW293356	-4.75152	0.59018	3.696979157	cluster16
217886_at	EPS15	Chr:1p32	BF213575	-5.58008	0.57113	0.447960842	cluster16
217887_s_at	EPS15	Chr:1p32	NM_001981	-4.96347	0.58741	0.883576306	cluster16
35974_at	LRMP	Chr:12p12.1	U10485	5.468785	2.14463	3.696979157	cluster16
