Unigene ID	Symbol	Name	Golub rank	FC	% T/N > 2	Meta-analysis	No of expts	% upregu-lated	% down-regulated	Expression
Hs.4193	LIG-1	Membrane glycoprotein LIG-1	37	1.5	23.81	S	2	100		Upregulated genes in CaP
Hs.74614	TJP1	Tight junction protein 1 (zona occludens 1) (TJP1)	39	1.48	17.07	NS	4	25		Upregulated genes in CaP
Hs.18910	POV1	Prostate cancer over-expressed gene 1 (POV1)	40	1.27	20	S	2	100		Upregulated genes in CaP
Hs.344097	2410016F19	Similar to RIKEN cDNA 2410016F19 gene	41	1.19	2.38	NA				Upregulated genes in CaP
Hs.184298	CDK7	Cyclin-dependent kinase 7 (MO15 homologue, Xenopus laevis, cdk-activating kinase) (CDK7)	42	1.34	17.14	S	3	66.67		Upregulated genes in CaP
Hs.302738	FLJ21425	FLJ21425 fis, clone COL04162	43	1.42	21.43	NA				Upregulated genes in CaP
Hs.11463	UMP-CMPK	UMP-CMP kinase (UMP-CMPK)	44	1.38	19.05	NA				Upregulated genes in CaP
Hs.83190	FASN	Fatty acid synthase (FASN)	45	1.83	45.24	S	4	75		Upregulated genes in CaP
Hs.108708	CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2, beta (CAMKK2)	46	1.34	15	S	3	100		Upregulated genes in CaP
Hs.10247	MEMD	MEMD protein	47	1.52	26.19	S	4	75		Upregulated genes in CaP
Hs.155040	ZNF217	Zinc finger protein 217 (ZNF217)	48	1.49	34.29	S	2	100		Upregulated genes in CaP
Hs.91011	AGR2	Anterior gradient 2 homologue (Xenopus laevis) (AGR2)	49	2.12	41.03	S	2	100		Upregulated genes in CaP
Hs.24743	FLJ20171	Hypothetical protein FLJ20171 (FLJ20171)	51	1.46	19.05	NA				Upregulated genes in CaP
Hs.81934	ACADSB	Acyl-coenzyme A dehydrogenase, short/branched chain (ACADSB)	52	1.63	24.39	S	4	100		Upregulated genes in CaP
Hs.37558	FLJ11149	Hypothetical protein FLJ11149	54	1.49	7.32	S	2	100		Upregulated genes in CaP
Hs.153924	DAPK1	Death-associated protein kinase 1 (DAPK1)	55	1.29	12.82	S	3	66.67		Upregulated genes in CaP
Hs.7101	ANAPC5	Anaphase promoting complex subunit 5 (ANAPC5)	56	1.3	2.38	NA				Upregulated genes in CaP
Hs.1334	MYB	v-myb myeloblastosis viral oncogene homologue (avian) (MYB)	57	1.27	17.07	NS	4	0		Upregulated genes in CaP
Hs.116467	PRAC	PRAC Small nuclear protein PRAC	58	1.63	51.28	NA				Upregulated genes in CaP
Hs.23740	KIAA1598	KIAA1598	59	1.44	11.9	NA				Upregulated genes in CaP
Hs.1560	KIAA0086	KIAA0086	60	1.12	8.33	NS	3	33.33		Upregulated genes in CaP
Hs.296638	PLAB	Prostate differentiation factor (PLAB)	61	2.02	53.13	S	4	75		Upregulated genes in CaP
Hs.35091	LANO	LAP (leucine-rich repeats and PDZ) and no PDZ protein (LANO)	62	1.16	7.14	NA				Upregulated genes in CaP
Hs.177582	SFTPA2	Surfactant, pulmonary-associated protein A2 (SFTPA2)	63	2.38	48.65	NS	2	0		Upregulated genes in CaP
Hs.63302	MTMR3	Myotubularin-related protein 3 (MTMR3)	64	1.19	11.9	S	3	100		Upregulated genes in CaP
Hs.79414	PDEF	Prostate epithelium-specific Ets transcription factor (PDEF)	65	1.79	33.33	NS	2	0		Upregulated genes in CaP
Hs.22791	DKFZp564L1878	DKFZp564L1878	66	1.76	40.48	NA				Upregulated genes in CaP
Hs.170160	RAB2L	RAB2, member RAS oncogene family-like (RAB2L)	67	1.37	17.5	S	3	100		Upregulated genes in CaP
Hs.75212	ODC1	Ornithine decarboxylase 1 (ODC1)	68	1.57	38.46	S	4	75		Upregulated genes in CaP
Hs.79069	CCNG2	Cyclin G2 (CCNG2)	69	1.57	23.81	S	4	75		Upregulated genes in CaP
Hs.28491	SAT	Spermidine/spermine N1-acetyltransferase (SAT)	70	1.59	32.35	S	4	75		Upregulated genes in CaP
Hs.27373	DKFZp564O1763	DKFZp564O1763	71	1.42	25.81	NA				Upregulated genes in CaP
Hs.12330	ENTPD6	Ectonucleoside triphosphate diphosphohydrolase 6 (putative function) (ENTPD6)	72	1.46	19.05	S	4	100		Upregulated genes in CaP
Hs.136271		tq40h04.x1	73	1.26	20.51	NA				Upregulated genes in CaP
Hs.83383	PRDX4	Peroxiredoxin 4 (PRDX4)	74	1.6	28.57	S	4	100		Upregulated genes in CaP
Hs.283558	PRO1855	Hypothetical protein PRO1855 (PRO1855)	75	1.43	4.88	NA				Upregulated genes in CaP
Hs.118893	MG50	Melanoma-associated antigen MG50	76	1.24	11.9	NS	2	0		Upregulated genes in CaP
Hs.15711	KIF13B	KIF13B Kinesin family member 13B	77	1.12	7.14	S	4	50		Upregulated genes in CaP
Hs.348043	FLJ31626 fis	FLJ31626 fis	79	1.18	0	NA				Upregulated genes in CaP
Hs.275163	NME2	Non-metastatic cells 2, protein (NM23B) expressed in (NME2), nuclear gene encoding mitochondrial protein	80	1.24	14.29	S	4	75		Upregulated genes in CaP
Hs.99947	RTN1	Reticulon 1 (RTN1)	81	1.18	14.63	S	3	66.67		Upregulated genes in CaP
Hs.278608	KIAA0052	KIAA0052	82	1.27	19.05	NS	2	0		Upregulated genes in CaP
Hs.57718	CHRNA2	Cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal) (CHRNA2)	83	1.1	6.67	S	2	50		Upregulated genes in CaP
Hs.349516	FLJ25016 fis	FLJ25016 fis	84	1.18	9.52	NA				Upregulated genes in CaP
Hs.75724	COPB2	Coatomer protein complex, subunit beta 2 (beta prime) (COPB2)	85	1.16	2.38	S	4	50		Upregulated genes in CaP
Hs.104696	KIAA1324	KIAA1324 protein	87	1.5	23.81	NA				Upregulated genes in CaP
Hs.75337	KIAA0035	KIAA0035	88	1.24	2.38	S	3	66.67		Upregulated genes in CaP
Hs.13421	KIAA0056	KIAA0056 gene	89	1.58	38.89	S	2	50		Upregulated genes in CaP
Hs.1624	EFNA1	Ephrin-A1 (EFNA1)	90	1.3	13.16	S	3	100		Upregulated genes in CaP
Hs.171995	PSA	KLK3 kallikrein 3, (prostate-specific antigen)	91	1.47	30.95	S	2	100		Upregulated genes in CaP
Hs.75061	MACMARCKS	Macrophage myristoylated alanine-rich C kinase substrate (MACMARCKS)	92	1.25	16.67	S	2	100		Upregulated genes in CaP
Hs.334514	NG22	NG22 protein (NG22)	93	1.13	3.85	NA				Upregulated genes in CaP
Hs.5105	FLJ10569	Hypothetical protein FLJ10569	95	1.12	0	NS	2	0		Upregulated genes in CaP
Hs.252748	KIAA1728	KIAA1728	96	1.14	17.07	NS	2	0		Upregulated genes in CaP
Hs.114366	PYCS	Pyrroline-5-carboxylate synthetase (glutamate gamma-semialdehyde synthetase) (PYCS)	97	1.34	2.38	NS	1	100		Upregulated genes in CaP
Hs.76698	DKFZp434L1621	DKFZp434L1621	99	1.32	9.52	S	2	100		Upregulated genes in CaP
Hs.11223	IDH1	Isocitrate dehydrogenase 1 (NADP+), soluble (IDH1)	100	1.3	9.52	S	2	100		Upregulated genes in CaP
Hs.65114	KRT18	Keratin 18 (KRT18)	101	1.8	41.46	NS	1	100		Upregulated genes in CaP
Hs.1915	FOLH1	Folate hydrolase (prostate-specific membrane antigen) 1 (FOLH1)	102	2.36	52.38	S	4	75		Upregulated genes in CaP
Hs.114765	MLLT2	Myeloid/lymphoid or mixed-lineage leukaemia (trithorax homologue,Drosophila); translocated to, 2 (MLLT2)	103	1.11	2.38	S	2	100		Upregulated genes in CaP
Hs.286124	CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen) (CD24)	105	1.44	19.05	S	4	75		Upregulated genes in CaP
Hs.13456	OASIS	Old astrocyte specifically induced substance (OASIS)	106	1.45	20	S	3	100		Upregulated genes in CaP
Hs.278581	FGFR2	Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson–Weiss syndrome) (FGFR2), transcript variant 10	1	0.53	35.7	S	2		100	Downregulated genes in CaP
Hs.207443	MGC10848	Hypothetical protein MGC10848 (MGC10848)	2	0.68	46.2	NA				Downregulated genes in CaP
Hs.119498	ZRP1	Zyxin related protein ZRP-1	3	0.54	28.2	NA				Downregulated genes in CaP
Hs.301885	FLJ11346 fis	FLJ11346 fis	4	0.41	78.1	NA				Downregulated genes in CaP
Hs.115173	602136629F1	602136629F1	5	0.43	56.1	NA				Downregulated genes in CaP
Hs.80342	KRT15	Keratin 15	6	0.32	66.7	S	2		100	Downregulated genes in CaP
Hs.34853	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	7	0.53	42.9	NS	2		0	Downregulated genes in CaP
Hs.75807	PDLIM1	PDZ and LIM domain 1 (elfin) (PDLIM1)	8	0.59	23.8	S	2		100	Downregulated genes in CaP
Hs.336920	GPX3	GPX3 glutathione peroxidase 3 (plasma)	9	0.65	26.5	S	3		66.67	Downregulated genes in CaP
Hs.171731	SLC14A1	Solute carrier family 14 (urea transporter), member 1 (Kidd blood group) (SLC14A1)	10	0.58	57.7	S	4		100	Downregulated genes in CaP
Hs.336920	GPX3	Glutathione peroxidase 3 (plasma) (GPX3)	11	0.71	10.8	S	3		66.67	Downregulated genes in CaP
Hs.348387	GSTM4	Glutathione S-transferase M4 (GSTM4)	12	0.74	7.1	S	4		100	Downregulated genes in CaP
Hs.275243	S100A6	S100 calcium-binding protein A6 (calcyclin) (S100A6)	13	0.7	15.4	NA				Downregulated genes in CaP
Hs.2463	KIAA0003	KIAA0003	14	0.56	31	S	2		100	Downregulated genes in CaP
Hs.74034	CAV1	CAV1 caveolin 1, caveolae protein, 22 kDa	15	0.6	16.7	NS	4		25	Downregulated genes in CaP
Hs.226795	GSTP1	GSTP1 glutathione S-transferase pi	16	0.61	32.4	S	4		100	Downregulated genes in CaP
Hs.1940	CRYAB	Crystallin, alpha B (CRYAB)	17	0.59	28.6	S	2		50	Downregulated genes in CaP
Hs.170345	FLJ13710	Hypothetical protein FLJ13710 (FLJ13710)	18	0.61	26.2	NA				Downregulated genes in CaP
Hs.117729	KRT14	Keratin 14 (epidermolysis bullosa simplex, Dowling–Meara, Koebner) (KRT14)	19	0.72	39.3	S	3		66.67	Downregulated genes in CaP
Hs.10587	KIAA0353	KIAA0353	20	0.63	45	S	2		100	Downregulated genes in CaP
Hs.80247	CCK	Cholecystokinin (CCK)	21	0.39	71.4	S	4		50	Downregulated genes in CaP
Hs.133015	FLJ30977 fis	FLJ30977 fis	22	0.79	8.1	NA				Downregulated genes in CaP
Hs.21223	CNN1	Calponin 1, basic, smooth muscle (CNN1)	23	0.61	35.7	S	4		100	Downregulated genes in CaP
Hs.2288	VSNL1	Visinin-like 1 (VSNL1)	25	0.69	47.1	NS	4		0	Downregulated genes in CaP
Hs.57548	4309957	4309957	26	0.64	16.7	S	2		100	Downregulated genes in CaP
Hs.88474	PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase) (PTGS1), transcript variant 1	27	0.7	43.3	S	3		100	Downregulated genes in CaP
Hs.58414	FLNC	Filamin C, gamma (actin-binding protein 280) (FLNC)	28	0.58	35.7	S	2		100	Downregulated genes in CaP
Hs.139851	CAV2	Caveolin 2 (CAV2)	29	0.53	30	S	4		100	Downregulated genes in CaP
Hs.284122	WIF1	WNT inhibitory factor 1 (WIF1)	30	0.56	43.2	S	2		100	Downregulated genes in CaP
Hs.82223	3942645	Similar to chordin-like, clone MGC:11264 IMAGE:3942645	31	0.46	41.5	NS	2		0	Downregulated genes in CaP
Hs.234680	FER1L3	fer-1-like 3, myoferlin (C. elegans) (FER1L3)	32	0.76	11.9	S	2		100	Downregulated genes in CaP
Hs.6241	PIK3R1	P13-kinase associated p85	33	0.65	32.4	S	4		100	Downregulated genes in CaP
Hs.301914	DKFZp586K1220	DKFZp586K1220	34	0.55	44.4	S	2		100	Downregulated genes in CaP
Hs.50130	NDN	Necdin homologue (mouse) (NDN)	35	0.72	31	S	4		50	Downregulated genes in CaP
Hs.152944	LOH11CR2A	Loss of heterozygosity, 11, chromosomal region 2, gene A (LOH11CR2A)	36	0.68	14.3	S	2		100	Downregulated genes in CaP
Hs.169965	CHN1	Chimerin (chimaerin) 1 (CHN1)	37	0.63	28.6	NA				Downregulated genes in CaP
Hs.211578	MADH3	MAD, mothers against decapentaplegic homologue 3 (Drosophila) (MADH3)	38	0.86	0	NA				Downregulated genes in CaP
Hs.6059	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2 (EFEMP2)	39	0.76	11.1	S	2		100	Downregulated genes in CaP
Hs.198241	AOC3	Amine oxidase, copper-containing 3 (vascular adhesion protein 1) (AOC3)	40	0.66	22	S	4		100	Downregulated genes in CaP
Hs.7446	Unknown	Unknown mRNA	41	0.8	7.7	S	4		50	Downregulated genes in CaP
Hs.234489	LDHB	Lactate dehydrogenase B	42	0.76	4.8	NA				Downregulated genes in CaP
Hs.621	LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3) (LGALS3)	43	0.78	14.3	NS	3		33.33	Downregulated genes in CaP
Hs.43728	CL683	Weakly similar to glutathione peroxidase 2 (CL683)	44	0.68	25	S	2		50	Downregulated genes in CaP
Hs.1813	SLC18A2	Solute carrier family 18 (vesicular monoamine), member 2 (SLC18A2)	45	0.61	31	S	4		50	Downregulated genes in CaP
Hs.194673	PEA15	Phosphoprotein enriched in astrocytes 15 (PEA15)	46	0.77	2.4	S	3		100	Downregulated genes in CaP
Hs.74471	GJA1	Gap junction protein, alpha 1, 43 kDa (connexin 43) (GJA1)	47	0.67	21.4	S	4		100	Downregulated genes in CaP
Hs.391697	PP5395	Hypothetical protein PP5395	48	0.67	22	NA				Downregulated genes in CaP
Hs.80552	DPT	Dermatopontin (DPT)	49	0.72	30.3	NS	3		100	Downregulated genes in CaP
Hs.79339	LGALS3BP	Lectin, galactoside-binding, soluble, 3 binding protein (LGALS3BP)	50	0.58	38.9	NS	3		100	Downregulated genes in CaP
Hs.50651	JAK1	Janus kinase 1 (a protein tyrosine kinase) (JAK1)	51	0.8	4.8	S	3		100	Downregulated genes in CaP
Hs.155939	INPP5D	Inositol polyphosphate-5-phosphatase, 145 kDa (INPP5D)	52	0.77	14.3	S	4		75	Downregulated genes in CaP
Hs.8022	TU3A	TU3A protein (TU3A)	53	0.63	46.2	S	2		100	Downregulated genes in CaP
Hs.17296	MGC2376	Hypothetical protein MGC2376 (MGC2376)	54	0.75	19.4	NA				Downregulated genes in CaP
Hs.102541	NTN4	Beta-netrin	56	0.61	33.3	S	2		50	Downregulated genes in CaP
Hs.198689	BPAG1	Bullous pemphigoid antigen 1 eA (BPAG1)	57	0.65	57.7	S	4		100	Downregulated genes in CaP
Hs.75297	FGF1	Fibroblast growth factor 1 (acidic) (FGF1), transcript variant 1	58	0.77	23.8	S	4		75	Downregulated genes in CaP
Hs.68877	CYBA	CYBA cytochrome b-245, alpha polypeptide	59	0.73	36.4	S	2		100	Downregulated genes in CaP
Hs.279604	DES	Desmin (DES)	60	0.73	20	S	2		100	Downregulated genes in CaP
Hs.44	PTN	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1) (PTN)	62	0.65	48.1	S	4		75	Downregulated genes in CaP
Hs.241531	PEF	PEF protein with a long N-terminal hydrophobic domain (peflin) (PEF)	64	0.91	0	NS	1		100	Downregulated genes in CaP
Hs.10094	SLC12A4	Solute carrier family 12 (potassium/chloride transporters), member 4 (SLC12A4)	65	0.88	0	S	4		75	Downregulated genes in CaP
Hs.78065	C7	Complement component 7 (C7)	66	0.71	54.5	S	4		100	Downregulated genes in CaP
Hs.288959	FLJ20920	Hypothetical protein FLJ20920 (FLJ20920)	68	0.87	0	NA				Downregulated genes in CaP
Hs.8025	ANGPTL2	Angiopoietin-like 2 (ANGPTL2)	69	0.73	8.8	S	2		100	Downregulated genes in CaP
Hs.76224	EFEMP1	EFEMP1 EGF-containing fibulin-like extracellular matrix protein 1	70	0.56	40	S	3		100	Downregulated genes in CaP
Hs.76067	HSPB1	Heat shock 27 kDa protein 1 (HSPB1)	72	0.55	33.3	S	2		100	Downregulated genes in CaP
Hs.118796	ANXA6	Annexin A6 (ANXA6), transcript variant 1	73	0.8	0	S	3		100	Downregulated genes in CaP
Hs.296398	LAPTMB4	Putative integral membrane protein	74	0.61	24.4	S	2		100	Downregulated genes in CaP
Hs.78979	GLG1	Golgi apparatus protein 1 (GLG1)	75	0.83	0	S	4		75	Downregulated genes in CaP
Hs.9973	FLJ32766 fis	FLJ32766 fis	76	0.73	7.3	NS	1		100	Downregulated genes in CaP
Hs.2025	TGFB3	Transforming growth factor, beta 3 (TGFB3)	77	0.55	40	S	4		100	Downregulated genes in CaP
Hs.153863	MADH6	Smad6	78	0.83	10.8	S	3		66.67	Downregulated genes in CaP
Hs.278613	IFI27	Interferon, alpha-inducible protein 27 (IFI27)	79	0.76	13.8	NS	3		33.33	Downregulated genes in CaP
Hs.6126	FLJ23055 fis	FLJ23055 fis	80	0.87	0	NA				Downregulated genes in CaP
Hs.116774	ITGA1	Integrin, alpha subunit	81	0.74	27.5	S	4		100	Downregulated genes in CaP
Hs.195850	KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling–Meara/Kobner/Weber–Cockayne types) (KRT5)	83	0.49	50	S	2		100	Downregulated genes in CaP
Hs.108080	CSRP1	Cysteine and glycine-rich protein 1 (CSRP1)	84	0.76	19	S	2		100	Downregulated genes in CaP
Hs.75106	CLU	Clusterin (complement lysis inhibitor, SP-40.40, sulphated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J) (CLU)	85	0.6	34.1	S	2		100	Downregulated genes in CaP
Hs.83849	FLII	Flightless I homologue (Drosophila) (FLII)	86	0.86	13.6	NS	4		25	Downregulated genes in CaP
Hs.82193	ESD	Esterase D	88	0.76	4.8	S	4		50	Downregulated genes in CaP
Hs.81665	KIT	v-kit Hardy–Zuckerman 4 feline sarcoma viral oncogene homologue (KIT)	89	0.73	27.8	NS	2		0	Downregulated genes in CaP
Hs.46531	DKFZp434C1915	DKFZp434C1915	90	0.79	11.9	NA				Downregulated genes in CaP
Hs.116122	FLJ25203 fis	FLJ25203 fis	91	0.82	8.1	NA				Downregulated genes in CaP
Hs.279623	SEPX1	Selenoprotein X, 1 (SEPX1)	92	0.82	5.7	NA				Downregulated genes in CaP
Hs.2785	KRT17	Keratin 17 (KRT17)	93	0.55	36.4	S	2		100	Downregulated genes in CaP
Hs.342874	TGFBR3	Transforming growth factor, beta receptor III (betaglycan, 300 kDa) (TGFBR3)	94	0.81	22.7	S	4		100	Downregulated genes in CaP
Hs.25511	TGFB1I1	Transforming growth factor beta 1-induced transcript 1 (TGFB1I1)	95	0.87	60	NA				Downregulated genes in CaP
Hs.8068	HPIP	Haematopoietic PBX-interacting protein (HPIP)	96	0.88	6.7	S	2		100	Downregulated genes in CaP
Hs.55279	SERPINB5	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 5 (SERPINB5)	97	0.4	60.5	S	2		100	Downregulated genes in CaP
Hs.93557	PENK	Proenkephalin (PENK)	99	0.47	71	S	2		100	Downregulated genes in CaP
Hs.109439	OGN	Osteoglycin (osteoinductive factor, mimecan) (OGN), transcript variant 1	100	0.74	20	NS	1		100	Downregulated genes in CaP
Hs.174185	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin) (ENPP2)	102	0.78	22.5	S	4		100	Downregulated genes in CaP
Hs.173159	TACC1	Transforming, acidic coiled-coil containing protein 1 (TACC1)	103	0.79	9.5	S	4		100	Downregulated genes in CaP
Hs.82422	CAPG	Capping protein (actin filament), gelsolin-like (CAPG)	104	0.85	13.3	S	4		50	Downregulated genes in CaP
Hs.788	AKAP12	A kinase (PRKA) anchor protein (gravin) 12 (AKAP12)	105	0.71	19.5	S	4		100	Downregulated genes in CaP
Hs.6196	ILK	ILK Integrin-linked kinase	106	0.83	5.3	S	3		100	Downregulated genes in CaP
