ID probe set	(i)	R-fold	RT–PCR/WB validation	Gene symbol	Dendrog. cluster	Gene name	Function
160127_at	8.0946	1.4119	1.32	Ccng1	7	Cyclin G1	Cell cycle
100471_at	7.4699	1.1506		Sc65	5	Synaptonemal complex protein SC65	Cell cycle
96801_at	6.1153	1.1983	3.48/	Ak1	7	Adenylate kinase 1	Cell cycle
97979_at	4.8991	1.078	8.28	Ppp1r7	8	Protein phosphatase 1, regulatory (inhibitor) subunit 7	Cell cycle
94835_f_at	4.1879	1.0937		Tubb2	8	Tubulin, beta 2	Cell cycle
98007_at	-8.5172	0.8655	-3.25	Rps6ka2	1	Ribosomal protein S6 kinase, polypeptide 2	Cell cycle
98789_at	-6.4161	0.7552	<-50/	Cdkn2a	1	Cyclin-dependent kinase inhibitor 2A	Cell cycle
103443_at	4.517	1.2578	24.25	Aim1	8	Absent in melanoma 1	Cell cycle
98056_at	7.7733	1.2142		Phlda3	7	Pleckstrin homology-like domain, family A, member 3	Apoptosis
97825_at	5.99	1.2694		Perp	7	PERP, TP53 apoptosis effector	Apoptosis
93536_at	5.5117	1.1166	3.48/	Bax	7	Bcl2-associated X protein	Apoptosis
103244_at	9.7467	1.3245	40.76	Scgf	3	Stem cell growth factor	Signaling
94516_f_at	7.7567	1.6528		Penk1	8	Preproenkephalin 1	Signaling
96033_at	6.572	1.1449		Sdc1	5	Syndecan 1	Signaling
160775_at	5.5715	1.0663	1.8	Tulp4	5	Tubby-like protein 4	Signaling
104165_at	4.5468	1.1168		Vnn1	7	Vanin 1	Signaling
101099_at	4.5367	1.2423		Nsg1	8	Neuron-specific gene family member 1	Signaling
102048_at	-12.4459	0.4781	<-50	Crap	1	Cardiac responsive adriamycin protein	Signaling
94362_at	-7.0549	0.6806		Nras	1	Neuroblastoma ras oncogene	Signaling
95150_at	-6.4201	0.8886		Ckip1	1	CK2 interacting protein 1	Signaling
102888_s_at	-5.7871	0.9445	-12.55	Limk1	1	LIM-domain containing, protein kinase	Signaling
103467_g_at	-5.0403	0.9233		Cyhr1	1	Cysteine and histidine rich 1	Signaling
95022_at	-4.9723	0.8697	-2.55	Akap12	1	A kinase (PRKA) anchor protein (gravin) 12	Signaling
160925_at	-4.861	0.8427		Nras	1	Neuroblastoma ras oncogene	Signaling
103241_at	4.5134	1.0719	6.28/	Adcy2	8	Adenylate cyclase 2	cAMP dependent signaling
160564_at	4.4934	1.4063		Lcn2	8	Lipocalin 2	cAMP dependent signaling
98005_at	-5.6256	0.8707	-3.03/	Pkia	1	Protein kinase inhibitor, alpha	cAMP dependent signaling
93866_s_at	12.0263	1.5928	9.85	Mglap	7	Matrix gamma-carboxyglutamate (gla) protein	Development
101593_at	6.6504	1.1607	-3.6	Crip2	5	Cysteine rich protein 2	Development
100065_r_at	6.627	1.6038		Gja1	8	Gap junction membrane channel protein alpha 1	Development
92930_at	5.511	1.1801		Dlx5	8	Distal-less homeobox 5	Development
97487_at	4.8647	1.5727	4.29	Serpine2	8	Serine (or cysteine) proteinase inhibitor, clade E, member 2	Development
92607_at	4.6433	1.6745	9.85	Mest	3	Mesoderm-specific transcript	Development
100584_at	4.2984	1.0744		Anxa4	7	Annexin A4	Development
161030_at	4.2406	1.053		Scx	2	Scleraxis	Development
104419_at	4.774	1.267		Fndc3a	8	Fibronectin type III domain containing 3a	Cell adhesion
100928_at	-9.2224	0.9334	-1.8	Fbln2	1	Fibulin 2	Cell adhesion
100153_at	-5.1773	0.8683		Ncam1	1	Neural cell adhesion molecule 1	Cell adhesion
100484_at	5.5699	1.1878	4.76	Mmp13	8	Matrix metalloproteinase 13	Proteolysis and peptidolysis
93860_i_at	5.4299	1.1103		Ctse	2	Cathepsin E	Proteolysis and peptidolysis
93861_f_at	5.1886	1.1435		Ctse	2		Proteolysis and peptidolysis
102373_at	4.7133	1.1919		Enpep	8	Glutamyl aminopeptidase	Proteolysis and peptidolysis
96920_at	-6.065	0.7733	-10.56	Prss11	1	Protease, serine, 11 (Igf binding)	Proteolysis and peptidolysis
94021_at	4.33	1.0471		Trim11	7	Tripartite motif protein 11	Ubiquitin-related processes
95024_at	4.3184	1.5297	22.63	Usp18	6	Ubiquitin-specific protease 18	Ubiquitin-related processes
92581_at	4.7192	1.0696		Acadm	5	Acetyl-Coenzyme A dehydrogenase, medium chain	Lipid, fatty acid and steroids metabolism
102053_at	4.3103	1.2453		Plscr2	8	Phospholipid scramblase 2	Lipid, fatty acid and steroids metabolism
100127_at	14.3412	1.8938	13.93	Crabp2	7	Cellular retinoic acid binding protein II	Cellular transport and trafficking processes
93466_at	7.7422	1.1317		Sec8	7	SEC8 (S. cerevisiae)	Cellular transport and trafficking processes
104735_at	5.5849	1.516		Kctd12	5	Potassium channel tetramerisation domain containing 12	Cellular transport and trafficking processes
99675_at	5.2615	1.0645		Yif1	8	Yip1 interacting factor homolog (S. cerevisiae)	Cellular transport and trafficking processes
92731_at	5.2607	1.1891		Ptx3	8	Pentaxin-related gene	Cellular transport and trafficking processes
96123_at	5.2234	1.1277		Lbp	8	Lipopolysaccharide binding protein	Cellular transport and trafficking processes
94350_f_at	4.4655	1.2693		Nqo1	5	NAD(P)H dehydrogenase, quinone 1	Cellular transport and trafficking processes
100927_at	4.3847	1.2581		Pltp	7	Phospholipid transfer protein	Cellular transport and trafficking processes
104237_at	4.6137	1.0883		Pcbd2	8	Dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2	Transcription
104361_at	4.1902	1.0642		Zfp637	8	Zinc finger protein 637	Transcription
103483_at	5.0551	1.0883		Ercc5	7	Excision repair cross-complementing rodent repair deficiency, complementation group 5	DNA repair
102399_at	-8.671	0.873	-2.55	Rbpms	1	RNA binding protein gene with multiple splicing	mRNA processing
98624_at	-5.7598	0.9181		Rnpc1	1	RNA-binding region (RNP1, RRM) containing 1	mRNA processing
103888_at	-5.7276	0.8865	-2.55	Rbpms	1	RNA binding protein gene with multiple splicing	mRNA processing
99580_s_at	4.7222	1.1686		Ugt1a6	2	UDP glycosyltransferase 1 family, polypeptide A6	Cellular metabolism
104519_at	4.5499	1.1494		Itih2	8	Inter-alpha trypsin inhibitor, heavy chain 2	Cellular metabolism
96763_at	4.1788	1.1377		Sardh	3	Sarcosine dehydrogenase	Cellular metabolism
99366_at	7.0827	1.3575		E030024M05Rik	7	RIKEN cDNA E030024M05 gene	Unknown
160799_at	6.6148	1.1162		NA	3		Unknown
100717_at	4.9109	1.2068		U90926	3	Putative TNF-resistance-related protein	Unknown
97386_at	4.7324	1.0941		End2	5	ES neuronal differentiation 2	Unknown
95523_at	4.6152	1.2376		6530401D17Rik	7	RIKEN cDNA 6530401D17 gene	Unknown
160989_r_at	4.2878	1.2883		B430320C24Rik	5	RIKEN cDNA B430320C24Rik gene	Unknown
97374_at	4.161	1.0675		2810025M15Rik	7	RIKEN cDNA 2810025M15 gene	Unknown
95480_at	4.1511	1.0672		D11Wsu68e	7	DNA segment, Chr 11, Wayne State University 68, expressed	Unknown
