Permutation P-value	GenBank ID	Symbol	Gene name
0.0057	U33286	CSE1L	Chromosome segregation 1 (yeast homolog)-like
0.0058	AA747290	RPS15A	Ribosomal protein S15a
0.0062	AI148832	KIAA1209	KIAA1209 protein
0.007	S65738	ADF	Destrin (actin depolymerizing factor)
0.007	X53586	ITGA6	Integrin, alpha 6
0.0071	AA447852	PC326	PC326 protein
0.0074	U31906	GOLGA4	Golgi autoantigen, golgin subfamily a, 4
0.0075	AA664213	DKC1	Dyskeratosis congenita 1, dyskerin
0.0079	AI338165	HEF1	Enhancer of filamentation 1 (cas-like docking; Crk-associated substrate related)
0.0082	W74416	LOC51126	N-terminal acetyltransferase complex ard1subunit
0.0083	L13939	AP1B1	Adaptor-related protein complex 1, beta 1 subunit
0.0086	AI344213	CCS	Copper chaperone for superoxide dismutase
0.0092	AI125978	SNX2	Sorting nexin 2
0.0097	H96478		EST
0.0103	X74929	KRT8	Keratin 8
0.0103	U46570	TTC1	Tetratricopeptide repeat domain 1
0.0104	U21242	GTF2A2	General transcription factor IIA, 2 (12 kDa subunit)
0.0105	U92459	GRM8	Glutamate receptor, metabotropic 8
0.0107	AA078295		ESTs
0.0108	W95089	HSPC033	HSPC033 protein
0.0108	D55654	MDH1	Malate dehydrogenase 1, NAD (soluble)
0.011	AA084871	YKT6	SNARE protein
0.0114	AF072860	PRKRA	Protein kinase, interferon-inducible double-stranded RNA-dependent activator
0.0114	M26252	PKM2	Pyruvate kinase, muscle
0.012	AF042081	SH3BGRL	SH3 domain-binding glutamic acid-rich protein like
0.0122	D63881	KIAA0160	KIAA0160 protein
0.0122	AA195740		Homo sapiens mRNA full-length insert cDNA clone EUROIMAGE 41832
0.0123	AI280555	KIAA0860	KIAA0860 protein
0.0124	M36341	ARF4	ADP-ribosylation factor 4
0.0127	C06051	JAK1	Janus kinase 1 (a protein tyrosine kinase)
0.0135	D28473	IARS	Isoleucine-tRNA synthetase
0.0142	R23830		ESTs
0.0142	U51166	TDG	Thymine-DNA glycosylase
0.0143	U09278	FAP	Fibroblast activation protein, alpha
0.0143	AA989386		EST
0.0145	AA128470	DSP	Desmoplakin (DPI, DPII)
0.0152	U01184	FLII	Flightless I (Drosophila) homolog
0.0154	M77698	YY1	YY1 transcription factor
0.016	AI272932	BAG5	BCL2-associated athanogene 5
0.0161	U45879	BIRC2	Baculoviral IAP repeat-containing 2
0.0161	Z35491	BAG1	BCL2-associated athanogene
0.0162	AF016507	CTBP2	C-terminal binding protein 2
0.0167	X89478	HRB	HIV Rev-binding protein
0.0171	X06323	MRPL3	Mitochondrial ribosomal protein L3
0.018	NM_016401	HSPC138	Hypothetical protein
0.0182	M29065	HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1
0.0182	AW245101	E2IG3	Putative nucleotide-binding protein, estradiol-induced
0.021	AA431846	LOC51187	60S ribosomal protein L30 isolog
0.0211	E02628		Polypeptide chain elongation factor 1 alpha
0.0216	U47025	PYGB	Phosphorylase, glycogen; brain
0.0221	AI349804		EST
0.0223	X99584	SMT3H1	SMT3 (suppressor of mif two 3, yeast) homolog 1
0.0224	Z21507	EEF1D	Eucaryotic translation elongation factor 1 delta
0.0225	D13630	KIAA0005	KIAA0005 gene product
0.0226	U24223	PCBP1	poly(rC)-binding protein 1
0.0237	AA315729		FLJ23197
0.0241	AA401318	DKFZP566D193	DKFZP566D193 protein
0.0247	AA524350	LOC51719	MO25 protein
0.025	AB004857	SLC11A2	Solute carrier family 11, member 2
0.0253	AA379042	PUM2	Pumilio (Drosophila) homolog 2
0.0254	U38320	MMP19	Matrix metalloproteinase 19
0.0258	AW779142	HUMAGCGB	Chromosome 3p21.1 gene sequence
0.0262	AA233644	PPP1CC	Protein phosphatase 1, catalytic subunit, gamma isoform
0.027	R39044		Homo sapiens clone 25194 mRNA sequence
0.0271	M58458	RPS4X	Ribosomal protein S4, X-linked
0.0272	H89110		ESTs
0.0274	U47077	PRKDC	Protein kinase, DNA-activated, catalytic polypeptide
0.0276	L40401	ZAP128	Peroxisomal long-chain acyl-coA thioesterase; putative protein
0.0282	AI365683		Homo sapiens PAC clone RP4-751H13 from 7q35–qter
0.0282	AA236252	ASH2L	ash2 (absent, small, or homeotic, Drosophila, homolog)-like
0.0289	D50683	TGFBR2	Transforming growth factor, beta receptor II (70–80 kDa)
0.029	AF039690	SDCCAG8	Serologically defined colon cancer antigen 8
0.029	L19067	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A
0.029	U48734	ACTN4	Actinin, alpha 4
0.0291	M61199	SSFA2	Sperm-specific antigen 2
0.0293	U56637	CAPZA1	Capping protein (actin filament) muscle Z-line, alpha 1
0.0301	AA514818	KIAA0068	KIAA0068 protein
0.0304	M22324	ANPEP	Alanyl (membrane) aminopeptidase
0.0313	AA921921	KIAA0414	KIAA0414 protein
0.0313	N45298	ARHGEF12	Rho guanine exchange factor (GEF) 12
0.0314	X76104	DAPK1	Death-associated protein kinase 1
0.0315	X97630	EMK1	ELKL motif kinase
0.0317	AJ002308	SYNGR2	Synaptogyrin 2
0.0319	D14812	KIAA0026	MORF-related gene X
0.032	AA447019	MAN1B1	Mannosidase, alpha, class 1B, member 1
0.0321	AA357508		Homo sapiens clone 24711 mRNA sequence
0.0327	U96915	SAP18	sin3-associated polypeptide, 18 kDa
0.0329	D10522	MACS	Myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)
0.033	N46856		Homo sapiens cDNA: FLJ23091 fis, clone LNG07220
0.0331	D26125	AKR1C4	Aldo-keto reductase family 1, member C4
0.0337	AI085802	CAV2	Caveolin 2
0.0342	M98252	PLOD	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase
0.0342	H48649	FGG	Fibrinogen, gamma polypeptide
0.0346	AI139231	FBL	Fibrillarin
0.0348	AI289407	ZNF207	Zinc-finger protein 207
0.0352	U54831	TOP2B	Topoisomerase (DNA) II beta (180 kDa)
0.0363	AA281115	UBQLN1	Ubiquilin 1
0.0364	AA249454		ESTs, weakly similar to KIAA0227 [H.sapiens]
0.0366	U89278	EDR2	Early development regulator 2 (homolog of polyhomeotic 2)
0.0367	N41902	CLTH	Clathrin assembly lymphoid-myeloid leukemia gene
0.0367	M24398	PTMS	Parathymosin
0.0376	AA432312	TSPYL	TSPY-like
0.0378	AF006516	SSH3BP1	Spectrin SH3 domain-binding protein 1
0.038	AA706503	EEF1A1	Eucaryotic translation elongation factor 1 alpha 1
0.0384	L41668	GALE	Galactose-4-epimerase, UDP-
0.0389	N95414		ESTs
0.0395	M20472	CLTA	Clathrin, light polypeptide (Lca)
0.0395	D78298	VLCAD	Very-long-chain acyl-CoA dehydrogenase
0.0403	AI078833	TAX1BP1	Tax1 (human T-cell leukemia virus type I)-binding protein 1
0.0409	X89602	HSRTSBETA	rTS beta protein
0.0417	M91029	AMPD2	Adenosine monophosphate deaminase 2 (isoform L)
0.0419	X73478	PPP2R4	Protein phosphatase 2A, regulatory subunit B (PR 53)
0.0419	U09953	RPL9	Ribosomal protein L9
0.0423	U44772	PPT1	Palmitoyl-protein thioesterase 1
0.0423	AI189477	IDH2	Isocitrate dehydrogenase 2 (NADP+), mitochondrial
0.0427	AA973853		Homo sapiens cDNA FLJ20532 fis, clone KAT10877
0.0429	U81504	AP3B1	Adaptor-related protein complex 3, beta 1 subunit
0.0433	D30612	ZNF282	Zinc-finger protein 282
0.0436	AA506972	KIAA0668	KIAA0668 protein
0.0443	AA404724	GPRK7	G-protein-coupled receptor kinase 7
0.0448	AA634090	HNRPA1	Heterogeneous nuclear ribonucleoprotein A1
0.0449	AB001451	SLI	Neuronal Shc adaptor homolog
0.045	U83463	SDCBP	Syndecan-binding protein (syntenin)
0.0458	AL120683	LASS2	LAG1 longevity assurance homolog 2 (S. cerevisiae)
0.0462	H20386	MYG1	MYG1 protein
0.0466	AA477862	KIAA0974	KIAA0974 protein
0.0469	AF075590	BZRP	Benzodiazapine receptor (peripheral)
0.0471	AI092703	FBXW1B	f-box and WD-40 domain protein 1B
0.0471	AA748421	TFR2	Transferrin receptor 2
0.0472	AA639771	MMP12	Matrix metalloproteinase 12 (macrophage elastase)
0.0476	AF052113	Rab14	GTPase Rab14
0.0482	AF007216	SLC4A4	Solute carrier family 4, sodium bicarbonate cotransporter, member 4
0.0485	AA809819	CREG	Cellular repressor of E1A-stimulated genes
0.0489	AI218495		ESTs, moderately similar to integral inner nuclear membrane protein MAN1
0.0492	N80334	DKFZP586O0223	Hypothetical protein
0.0494	AA847660	HEXA	hexosaminidase A (alpha polypeptide)
