Fold	Gene Name	P-value	Common	Genbank	Description
3.958	220540_at	4.30E-11	KCNK15	NM_022358	potassium channel, subfamily K, member 15
4.612	220581_at	4.59E-15	C6orf97	NM_025059	chromosome 6 open reading frame 97
5.192	220584_at	1.27E-11		NM_025094
3.087	220744_s_at	4.40E-09	WDR10	NM_018262	WD repeat domain 10
3.194	221272_s_at	2.36E-07	C1orf21	NM_030806	chromosome 1 open reading frame 21
4.359	221577_x_at	1.05E-12	GDF15	AF003934	growth differentiation factor 15
3.355	221585_at	5.34E-07	CACNG4	BC004504	calcium channel, voltage-dependent, gamma subunit 4
3.345	221765_at	3.27E-13	UGCG	AI378044	UDP-glucose ceramide glucosyltransferase
3.644	221874_at	4.32E-11	KIAA1324	AB037745	maba1
3.316	221946_at	1.39E-10	MGC29761	AU160041	hypothetical protein MGC29761
4.628	222348_at	8.79E-10	KIAA0303	AW971134	KIAA0303 protein
3.249	222379_at	3.43E-06	KCNE4	AI002715	potassium voltage-gated channel, Isk-related family, member 4
3.489	35148_at	9.92E-13		AC_005954
5.131	41660_at	9.11E-22		AL031588
3.002	91826_at	3.43E-08	EPS8L1	AI219073	EPS8-like 1
