Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0438gpr ST vs LT	4578LTSTgpr LT vs ST	4579LTSTgpr ST vs LT	5343gpr LT vs ST	5357gpr ST vs LT	5358gpr LT vs ST	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
BG067717	Shcbp1	Shc SH2-domain binding protein 1	Mm.37801	20419		8	8 A1.1	1.2566	1.1779	1.4842		3.503	0.8069	5	3.589353227	0.278601725	1.981290002	1.449916667	0.731804362	1.253527275
BG071931	Camk1d	calcium/calmodulin-dependent protein kinase ID	Mm.313822	227541		2	2 A1	0.4394	0.6306	0.6376	1.0789	1.4004	1.0869	6	1.889388585	0.529271749	1.974415244	0.878966667	0.445178221	1.253527275
AV088227	2310035M22Rik	RIKEN cDNA 2310035M22 gene	Mm.176695	66949		3	3 E1	0.7489	0.9176	0.6531	0.6118	0.6268	0.5422	6	1.611752854	0.620442518	1.951518911	0.6834	0.350188766	1.473741525
BG074205				NA		NA		1.3413	0.3251	0.3783	1.9875	1.0042	1.534	6	2.325592591	0.42999793	1.939745006	1.095066667	0.564541558	1.473741525
AV060618				NA	M60921 PC3 NGF-inducible anti-proliferative putative:Okayama	NA		0.9008	0.537	0.5102	1.397	1.0802	0.6324	6	1.840050913	0.543463223	1.919520436	0.842933333	0.439137462	1.473741525
AV114755				NA	W78393 EST:embryo:Mus musculus	NA		0.5913	0.7951	0.5867	1.0076	0.524	0.7435	6	1.644390295	0.608128133	1.918064935	0.708033333	0.369139397	1.473741525
BE303267	Arc	activity regulated cytoskeletal-associated protein	Mm.25405	11838		15		0.5957	0.7503	0.4829	0.9381	0.59	0.8766	6	1.641365252	0.609248916	1.912019837	0.7056	0.369033828	1.473741525
AV162459	Ube2c	ubiquitin-conjugating enzyme E2C	Mm.89830	68612		2		1.0935	0.6269	1.094	0.2881	1.5556	0.7873	6	1.949872851	0.512853953	1.909077235	0.907566667	0.475395468	1.473741525
AV140845	2810417H13Rik	RIKEN cDNA 2810417H13 gene	Mm.269025	68026		9	9 C	0.7216	0.367	0.9207		1.1014	0.9388	5	1.64904547	0.606411417	1.90400531	0.772173333	0.40555209	1.473741525
BG068666	Kif23	kinesin family member 23	Mm.259374	71819		9	9 C	1.2047	0.4735	0.8382	0.8914	1.9124	0.5261	6	2.090089966	0.478448304	1.900352278	0.974383333	0.512738267	1.473741525
NA	NA	NA	NA		NA			1.1014	0.6056	0.673	0.5128	0.5823	0.9835	6	1.69382198	0.590380814	1.885760056	0.7431	0.394058617	1.473741525
AA038306	Expi	extracellular proteinase inhibitor	Mm.1650	14038		11	11 C	2.3469	0.8232	1.4445	0.9784	0.9696		5	2.417814497	0.41359666	1.880526021	1.118781667	0.594930171	1.473741525
AV002587				NA	AA207673 EST:kidney:Mus musculus	NA		0.3596	0.8754	1.1456	0.474	0.8696	1.2926	6	1.832628453	0.545664343	1.879732052	0.836133333	0.444815171	1.473741525
BG068799	2610036L13Rik	RIKEN cDNA 2610036L13 gene	Mm.23526	67849		19	19 A	0.6273	0.7315	0.5994	0.677	0.5985	0.4861	6	1.538954801	0.649791663	1.879456803	0.619966667	0.329864813	1.473741525
BG076391	AW610627	expressed sequence AW610627	Mm.27140	235682		9	9 F4	0.7416	0.1622	1.1888	0.8439	2.1896	1.3503	6	2.329498138	0.429277012	1.878721963	1.0794	0.574539512	1.473741525
AW553739	Ttk	Ttk protein kinase	Mm.1904	22137		9	9 E3.1	0.4576	0.5037	0.9704	0.5795	1.1433	1.122	6	1.771692916	0.564431901	1.870669911	0.796083333	0.425560559	1.473741525
AW553287				NA		NA		0.4891	0.7652	1.2365	0.6164	3	1.4679	6	2.959778522	0.337863118	1.868714985	1.262516667	0.675606862	1.473741525
BG075630	2310035M22Rik	RIKEN cDNA 2310035M22 gene	Mm.176695	66949		3	3 E1	0.7514	0.4305	0.6891	0.5612	0.7578	0.6961	6	1.571654835	0.636272022	1.86073688	0.647683333	0.348078947	1.473741525
BE847062	Il10ra	interleukin 10 receptor, alpha	Mm.26658	16154		9		0.7752	0.7706	0.9267	1.4542	0.3378		5	1.720367161	0.581271267	1.8573163	0.826408333	0.444947548	1.473741525
NA	NA	NA	NA		NA			0.8683	0.8303	0.729	0.4831	0.5461	1.5308	6	1.834732114	0.545038697	1.851018648	0.831266667	0.449086057	1.473741525
AV065515	2610318C08Rik	RIKEN cDNA 2610318C08 gene	Mm.45785	70466		2	2 F1	0.77	0.6457	0.5294	0.7178	0.4434	0.788	6	1.574042206	0.63530698	1.842400441	0.64905	0.352284979	1.473741525
AV078307	E130306D19Rik	RIKEN cDNA E130306D19 gene	Mm.331567	230098		4	4 A5	0.3324	0.6873	0.6439	1.0854	0.8723	0.7701	6	1.681641906	0.594656922	1.836757821	0.7319	0.398473872	1.473741525
AA163737	H2-Ob	histocompatibility 2, O region beta locus	Mm.327358	15002		17		0.8742	1.3785	0.8621		0.2938	0.6518	5	1.674607462	0.597154869	1.833185185	0.806541667	0.439967371	1.473741525
BG067904	BC034753	cDNA sequence BC034753	Mm.281749	234258		8	8 B1.3	0.6446	1.2591	1.417	0.1458	1.664	0.686	6	2.085194362	0.479571602	1.832249071	0.969416667	0.529085637	1.473741525
AV103606				NA	AF012709 centromere protein A::Mus musculus	NA		0.3051	0.7657	0.8281	0.8483	0.8433	0.6041	6	1.637600419	0.610649575	1.824462807	0.6991	0.383181283	1.473741525
AV011779				NA	AI426612 EST:macrophage:Mus musculus	NA		1.2906	0.5429	0.8298	0.4597	0.8399	0.5914	6	1.725420806	0.579568762	1.809167407	0.75905	0.419557636	1.473741525
BG075739	Slc29a1	solute carrier family 29 (nucleoside transporters), member 1	Mm.29744	NA		NA		0.9762	0.727	0.8447	0.3561	0.7558	0.5302	6	1.638503322	0.610313075	1.805052209	0.698333333	0.386877083	1.473741525
AV083725	Synj2	synaptojanin 2	Mm.236068	20975		17		0.1904	0.7107	1.1584	0.9349	0.7566	0.8908	6	1.744206983	0.573326451	1.802840839	0.773633333	0.429119042	1.473741525
AA240462	Ccnf	cyclin F	Mm.77695	12449		17		0.39	0.7866	0.6637	0.9334	0.5217	0.7698	6	1.611664788	0.620476421	1.801269387	0.677533333	0.376142146	1.473741525
BG067349	Clecsf9	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 9	Mm.248327	56619		6		1.1718	0.9502	0.9978	0.7247	1.5446	0.0332	6	1.962514518	0.509550371	1.797488108	0.903716667	0.502766423	2.39159809
BG069966	2700050F09Rik	RIKEN cDNA 2700050F09 gene	Mm.203125	72587		5	5 G3	0.886	0.7996	0.8872	0.6358	0.4243	0.4628	6	1.618696831	0.617780909	1.794396769	0.682616667	0.38041568	2.39159809
AV083123				NA	ESTs, Highly similar to Wdr1 protein [M.musculus]	NA		0.7438	0.381	0.7157	0.8758	0.5141	1.1662	6	1.68773854	0.592508837	1.793720374	0.732766667	0.408517781	2.39159809
NA	NA	NA	NA		NA			0.8443	0.8101	0.9476	0.8254	0.231	0.643	6	1.664105896	0.600923296	1.787589186	0.7169	0.401042927	2.39159809
NA	NA	NA	NA		NA			1.0413	1.014	1.2058	0.2034		1.0187	5	1.760289413	0.568088402	1.786802676	0.820495	0.45919732	2.39159809
NA	NA	NA	NA		NA			0.6476	0.504	0.4972	0.9964	0.5587	0.9571	6	1.634255323	0.611899491	1.786006876	0.6935	0.388296377	2.39159809
AV110277	Hnrpu	heterogeneous nuclear ribonucleoprotein U	Mm.2115	51810		1	1 H4	1.7052	0.6971	0.6571	0.8544	0.4895	0.6754	6	1.877982997	0.532486184	1.785385752	0.84645	0.474099224	2.39159809
BG064995	D4Ertd421e	DNA segment, Chr 4, ERATO Doi 421, expressed	Mm.28038	52276		4		0.6529	0.9124	0.975	0.6639	1.3172	0.2344	6	1.778789701	0.562180003	1.779491323	0.792633333	0.445426917	2.39159809
AV095398				NA	AU018671 EST:Mouse eight-cell stage embryo cDNA:Mus musculus	NA		0.6227	0.6008	1.2865	0.4224	0.7552	0.7461	6	1.700156698	0.588181078	1.776076782	0.73895	0.416057463	2.39159809
BG075681		Transcribed sequences	Mm.270331	NA		NA		1.4389	0.2686	0.2531	1.8386	2.025	0.7221	6	2.400612033	0.416560438	1.77217024	1.09105	0.615657557	2.39159809
AV052581	Tm4sf13	transmembrane 4 superfamily member 13	Mm.254663	66109		12	12 A3	0.6936	0.9954	1.0181	0.4263	0.9738	0.346	6	1.702503139	0.58737043	1.772162626	0.7422	0.418810322	2.39159809
BG065826	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	Mm.33773	18005		1		1.1304	0.6714	0.8019	0.6931	2.217	0.4243	6	2.188856516	0.456859549	1.771639766	0.989683333	0.558625603	2.39159809
NA	NA	NA	NA		NA			0.5189	0.8865	1.0287	0.3137	0.6353	1.0755	6	1.704222888	0.586777708	1.770942913	0.7431	0.419606976	2.39159809
AV012581	Anln	anillin, actin binding protein (scraps homolog, Drosophila)	Mm.282751	68743		9	9 A3	1.1857	0.3258	1.0748	0.5767	0.6745	0.6957	6	1.723612364	0.580176855	1.7702534	0.755533333	0.426793889	2.39159809
AV017127	Notch1	Notch gene homolog 1 (Drosophila)	Mm.330072	18128		2		0.6381	0.3635	0.5562	0.7287	0.7694	0.7717	6	1.563699826	0.639508929	1.769167926	0.637933333	0.360583822	2.39159809
BG071915	Ccnb2	cyclin B2	Mm.22592	12442		9	9 D	1.3118	0.6316	0.9341	0.0485	1.3936	0.9379	6	1.919958802	0.520844509	1.764069911	0.87625	0.496720677	2.39159809
BE623181	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		0.1022	1.1676	1.0942	1.1682	0.4271	1.8647	6	2.114749008	0.472869355	1.763695218	0.970666667	0.550359641	2.39159809
AV161802				NA	AA414389 EST:embryo:Mus musculus	NA		0.6616	0.5807	0.9041	0.3321	1.0471	0.6492	6	1.640383689	0.609613475	1.746019459	0.6958	0.398506441	2.39159809
AV043388				NA	AU018455 EST:Mouse eight-cell stage embryo cDNA:Mus musculus	NA		0.7779	1.0815	1.4982	1.0241	0.7344	0.0448	6	1.897450789	0.527022891	1.743160766	0.86015	0.493442726	2.39159809
BG067155	5930433N17Rik	RIKEN cDNA 5930433N17 gene	Mm.16930	NA		NA		1.4475	0.5514	0.6338	1.0252	1.876	0.2041	6	2.100378756	0.476104606	1.741063505	0.956333333	0.549281132	2.39159809
AV109290	Elovl1	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	Mm.282096	54325		4	4 D2.1	0.7489	0.5163	0.582	1.0452	0.3791	0.8191	6	1.622700684	0.616256596	1.733486599	0.681766667	0.393292147	2.39159809
AU040333	Mgl1	macrophage galactose N-acetyl-galactosamine specific lectin 1	Mm.252405	17312		11		0.7309	0.458	1.0512	0.6927	2.1772	0.6037	6	2.127371131	0.470063726	1.720047108	0.952283333	0.553637937	2.39159809
BG074426		Transcribed sequences	Mm.182966					0.5643	0.4724	0.9323	1.5089	2.9347	0.6075	6	2.798320023	0.357357269	1.71731789	1.170016667	0.681304652	2.39159809
