Probe set ID	Gene title	Gene symbol	Ref seq	Fold change	q-value
216248_s_at	Nuclear receptor subfamily 4, group A, member 2	NR4A2	NM_006186	0.49	0.02
208609_s_at	Tenascin XB	TNXB	NM_019105	0.49	0.01
222303_at	Transcribed sequences	NA	NM_005239	0.5	0.01
206707_x_at	Chromosome 6 open reading frame 32	C6orf32	NM_015864	0.5	0.03
203695_s_at	Deafness, autosomal dominant 5	DFNA5	NM_004403	0.53	0.01
210831_s_at	Prostaglandin E receptor 3 (subtype EP3)	PTGER3	NM_000957	0.53	0.02
207980_s_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	CITED2	NM_006079	0.53	0.03
202081_at	Immediate early response 2	IER2	NM_004907	0.54	0.02
213258_at	Tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	TFPI	NM_006287	0.54	0.01
205752_s_at	Glutathione S-transferase M5	GSTM5	NM_000851	0.55	0.01
205111_s_at	Phospholipase C, epsilon 1	PLCE1	NM_016341	0.56	0.04
209211_at	Kruppel-like factor 5 (intestinal)	KLF5	NM_001730	0.57	0.03
209708_at	Monooxygenase, DBH-like 1	MOXD1	NM_015529	0.57	0.03
209894_at	Leptin receptor	LEPR	NM_002303	0.57	0.01
203571_s_at	Chromosome 10 open reading frame 116	C10orf116	NM_006829	0.57	0.01
212706_at	RAS p21 protein activator 4	RASA4	NM_032958	0.58	0.03
203140_at	B-cell CLL/lymphoma 6 (zinc-finger protein 51)	BCL6	NM_001706	0.58	0.01
213933_at	MRNA; cDNA DKFZp586M0723 (from clone DKFZp586M0723)	NA	AL031429	0.59	0.03
213281_at	v-jun sarcoma virus 17 oncogene homolog (avian)	JUN	NM_002228	0.59	0.04
213844_at	Homeo box A5	HOXA5	NM_019102	0.59	0.04
209290_s_at	Nuclear factor I/B	NFIB	NM_005596	0.59	0.03
208747_s_at	Complement component 1, s subcomponent	C1S	NM_001734	0.6	0.03
212642_s_at	Human immunodeficiency virus type I enhancer binding protein 2	HIVEP2	NM_006734	0.6	0.01
212977_at	Chemokine orphan receptor 1	CMKOR1	NM_020311	0.6	0.02
212914_at	Chromobox homolog 7	CBX7	NM_175709	0.6	0.03
222150_s_at	Hypothetical protein LOC54103	LOC54103	AK026696	0.61	0.03
209496_at	Retinoic acid receptor responder (tazarotene induced) 2	RARRES2	NM_002889	0.61	0.03
205325_at	Phytanoyl-CoA hydroxylase-interacting protein	PHYHIP	NM_014759	0.61	0.01
204005_s_at	PRKC, apoptosis, WT1, regulator	PAWR	NM_002583	0.61	0.04
209289_at	Nuclear factor I/B	NFIB	NM_005596	0.61	0.03
210832_x_at	Prostaglandin E receptor 3 (subtype EP3)	PTGER3	NM_000957	0.62	0.04
200800_s_at	Heat shock 70kDa protein 1A	HSPA1A	NM_005345	0.62	0.04
219777_at	Human immune-associated nucleotide 2	hIAN2	NM_024711	0.62	0.03
216321_s_at	Nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	NM_000176	0.62	0.01
221087_s_at	Apolipoprotein L, 3	APOL3	NM_014349	0.63	0.01
213029_at	Nuclear factor I/B	NFIB	NM_005596	0.63	0.03
203837_at	Mitogen-activated protein kinase kinase kinase 5	MAP3K5	NM_005923	0.63	0.04
219157_at	Kelch-like 2, Mayven (Drosophila)	KLHL2	NM_007246	0.63	0.01
204790_at	SMAD, mothers against DPP homolog 7 (Drosophila)	SMAD7	NM_005904	0.63	0.03
212067_s_at	Complement component 1, r subcomponent	C1R	NM_001733	0.64	0.04
204070_at	Retinoic acid receptor responder (tazarotene induced) 3	RARRES3	NM_004585	0.64	0.01
203139_at	Death-associated protein kinase 1	DAPK1	NM_004938	0.64	0.01
211675_s_at	I-mfa domain-containing protein	HIC	NM_199072	0.64	0.01
219549_s_at	Reticulon 3	RTN3	NM_006054	0.65	0.01
208690_s_at	PDZ and LIM domain 1 (elfin)	PDLIM1	NM_020992	0.65	0.04
200790_at	Ornithine decarboxylase 1	ODC1	NM_002539	0.65	0.02
202729_s_at	Latent transforming growth factor beta binding protein 1	LTBP1	NM_000627	0.65	0.03
217738_at	Pre-B-cell colony-enhancing factor 1	PBEF1	NM_005746	0.65	0.03
200632_s_at	N-myc downstream regulated gene 1	NDRG1	NM_006096	0.66	0.01
217739_s_at	Pre-B-cell colony-enhancing factor 1	PBEF1	NM_005746	0.66	0.01
202908_at	Wolfram syndrome 1 (wolframin)	WFS1	NM_006005	0.66	0.03
201753_s_at	Adducin 3 (gamma)	ADD3	NM_016824	0.66	0.04
