GenBank no.	Gene Symbol	Gene name	Fold change	P-val
NM_005987	SPRR1A	Homo sapiens small proline-rich protein 1A	9.1	3.59E-03
NM_014080	DUOX2	Homo sapiens dual oxidase 2	8.8	8.51E-06
NM_021969	NR0B2	Homo sapiens nuclear receptor subfamily 0, group B, member 2	8.8	1.17E-04
NM_198580	SLC27A1	Homo sapiens solute carrier family 27 (fatty acid transporter), member 1	8.5	2.38E-05
NM_002425	MMP10	Homo sapiens matrix metallopeptidase 10 (stromelysin 2)	8.3	1.83E-04
NM_000681	ADRA2A	Homo sapiens adrenergic, alpha-2A-, receptor	8.3	1.49E-03
NM_144569	SPOCD1	Homo sapiens SPOC domain containing 1	8.2	9.01E-04
NM_015385	SORBS1	Homo sapiens sorbin and SH3 domain containing 1, transcript variant 2	8	9.10E-04
NM_002250	KCNN4	Homo sapiens potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	8	3.09E-04
NM_005416	SPRR3	Homo sapiens small proline-rich protein 3	7.9	1.83E-03
NM_000767	CYP2B6	Homo sapiens cytochrome P450, family 2, subfamily B, polypeptide 6	7.8	1.46E-05
NM_000371	TTR	Homo sapiens transthyretin (prealbumin, amyloidosis type I)	7.5	9.46E-04
NM_014286	FREQ	Homo sapiens frequenin homolog (Drosophila)	7.3	1.73E-03
NM_017899	TESC	Homo sapiens tescalcin	7.3	5.08E-04
NM_001853	COL9A3	Homo sapiens collagen, type IX, alpha 3	7.2	2.91E-04
NM_138444	KCTD12	Homo sapiens potassium channel tetramerisation domain containing 12	7.1	4.16E-04
NM_033316	MFI2	Homo sapiens antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5, transcript variant 2	7	1.52E-03
NM_080881	DBN1	Homo sapiens drebrin 1, transcript variant 2	6.9	1.41E-04
NM_145753	PHLDB2	Homo sapiens pleckstrin homology-like domain, family B, member 2	6.6	2.46E-04
NM_145202	PRAP1	Homo sapiens proline-rich acidic protein 1	6.4	2.14E-03
NM_020877	DNAH2	Homo sapiens dynein, axonemal, heavy chain 2	6.3	2.32E-03
NM_016354	SLCO4A1	Homo sapiens solute carrier organic anion transporter family, member 4A1	6	1.43E-03
NM_002845	PTPRM	Homo sapiens protein tyrosine phosphatase, receptor type, M	5.9	2.00E-03
NM_032181	TMEM166	Homo sapiens transmembrane protein 166	5.8	4.52E-04
NM_003102	SOD3	Homo sapiens superoxide dismutase 3, extracellular	5.8	2.01E-03
NM_016235	GPRC5B	Homo sapiens G protein-coupled receptor, family C, group 5, member B	5.7	4.31E-04
NM_133367	PAQR8	Homo sapiens progestin and adipoQ receptor family member VIII	5.6	3.53E-04
NM_020435	GJA12	Homo sapiens gap junction protein, alpha 12, 47kDa	5.5	1.22E-04
NM_000933	PLCB4	Homo sapiens phospholipase C, beta 4, transcript variant 1	5.3	2.56E-03
NM_018986	SH3TC1	Homo sapiens SH3 domain and tetratricopeptide repeats 1	5.2	3.91E-03
NM_152312	GYLTL1B	Homo sapiens glycosyltransferase-like 1B	5.2	1.27E-04
NM_016725	FOLR1	Homo sapiens folate receptor 1 (adult), transcript variant 1	5.1	2.15E-03
NM_007210	GALNT6	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	5.1	1.15E-03
NM_000076	CDKN1C	Homo sapiens cyclin-dependent kinase inhibitor 1C (p57, Kip2)	5.1	3.15E-03
NM_003809	TNFSF12	Homo sapiens tumor necrosis factor (ligand) superfamily, member 12	5.1	1.09E-03
NM_173216	ST6GAL1	Homo sapiens ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	5	3.50E-03
NM_001399	EDA	Homo sapiens ectodysplasin A, transcript variant 1	5	2.89E-03
NM_002499	NEO1	Homo sapiens neogenin homolog 1 (chicken)	4.9	4.13E-04
NM_002182	IL1RAP	Homo sapiens interleukin 1 receptor accessory protein, transcript variant 1	4.9	4.11E-04
NM_181718	ASPHD1	Homo sapiens aspartate beta-hydroxylase domain containing 1	4.8	8.00E-04
NM_001448	GPC4	Homo sapiens glypican 4	4.6	1.24E-03
NM_015198	COBL	Homo sapiens cordon-bleu homolog (mouse)	4.6	1.84E-03
NM_032951	MLXIPL	Homo sapiens MLX interacting protein-like, transcript variant 1	4.6	6.94E-05
NM_004425	ECM1	Homo sapiens extracellular matrix protein 1, transcript variant 1	4.6	1.06E-03
NM_006202	PDE4A	Homo sapiens phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)	4.6	4.61E-05
NM_001910	CTSE	Homo sapiens cathepsin E, transcript variant 1	4.6	1.06E-05
NM_001001522	TAGLN	Homo sapiens transgelin, transcript variant 1	4.5	1.52E-04
NM_172387	NFATC1	Homo sapiens nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1, transcript variant 3	4.5	4.05E-03
NM_004658	RASAL1	Homo sapiens RAS protein activator like 1 (GAP1 like)	4.4	3.97E-04
NM_001793	CDH3	Homo sapiens cadherin 3, type 1, P-cadherin (placental)	4.3	1.27E-03
NM_178335	CCDC50	Homo sapiens coiled-coil domain containing 50, transcript variant 2	4.2	7.14E-04
NM_014867	KBTBD11	Homo sapiens kelch repeat and BTB (POZ) domain containing 11	4.2	9.34E-05
NM_017789	SEMA4C	Homo sapiens sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	4.1	9.96E-05
NM_030582	COL18A1	Homo sapiens collagen, type XVIII, alpha 1, transcript variant 1	4.1	7.77E-05
NM_206836	PECI	Homo sapiens peroxisomal D3,D2-enoyl-CoA isomerase, transcript variant 2	4.1	5.11E-04
NM_017644	KLHL24	Homo sapiens kelch-like 24 (Drosophila)	4	4.06E-04
NM_005012	ROR1	Homo sapiens receptor tyrosine kinase-like orphan receptor 1	4	2.75E-04
NM_002192	INHBA	Homo sapiens inhibin, beta A (activin A, activin AB alpha polypeptide)	4	3.28E-04
NM_019609	CPXM1	Homo sapiens carboxypeptidase X (M14 family), member 1	4	2.84E-03
NM_001910	CTSE	Homo sapiens cathepsin E, transcript variant 1	3.9	3.78E-04
NM_012168	FBXO2	Homo sapiens F-box protein 2	3.8	3.53E-03
NM_006500	MCAM	Homo sapiens melanoma cell adhesion molecule	3.8	1.54E-03
NM_182607	VSIG1	Homo sapiens V-set and immunoglobulin domain containing 1	3.8	3.16E-03
NM_001049	SSTR1	Homo sapiens somatostatin receptor 1	3.8	3.67E-04
NM_022783	DEPDC6	Homo sapiens DEP domain containing 6	3.8	2.29E-03
NM_025163	PIGZ	Homo sapiens phosphatidylinositol glycan anchor biosynthesis, class Z	3.7	5.87E-05
NM_182915	STEAP3	Homo sapiens STEAP family member 3, transcript variant 1	3.7	1.30E-03
NM_018194	HHAT	Homo sapiens hedgehog acyltransferase	3.7	7.53E-04
NM_013272	SLCO3A1	Homo sapiens solute carrier organic anion transporter family, member 3A1	3.6	2.62E-03
NM_212543	B4GALT4	Homo sapiens UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4, transcript variant 1	3.6	1.81E-03
NM_007362	NCBP2	Homo sapiens nuclear cap binding protein subunit 2, 20kDa, transcript variant 1	3.6	5.06E-04
NM_020939	CPNE5	Homo sapiens copine V	3.6	9.36E-04
NM_015490	SEC31B	Homo sapiens SEC31 homolog B (S. cerevisiae)	3.5	1.59E-03
NM_030792	GDPD5	Homo sapiens glycerophosphodiester phosphodiesterase domain containing 5	3.5	1.16E-03
NM_004369	COL6A3	Homo sapiens collagen, type VI, alpha 3, transcript variant 1	3.4	1.74E-04
NM_001040167	LFNG	Homo sapiens LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase, transcript variant 1	3.4	2.27E-04
NM_021784	FOXA2	Homo sapiens forkhead box A2, transcript variant 1	3.4	2.34E-04
NM_014629	ARHGEF10	Homo sapiens Rho guanine nucleotide exchange factor (GEF) 10	3.4	8.18E-04
NM_000156	GAMT	Homo sapiens guanidinoacetate N-methyltransferase, transcript variant 1	3.4	3.49E-04
NM_000898	MAOB	Homo sapiens monoamine oxidase B, nuclear gene encoding mitochondrial protein	3.4	4.50E-04
NM_006206	PDGFRA	Homo sapiens platelet-derived growth factor receptor, alpha polypeptide	3.3	2.94E-04
NM_052839	PANX2	Homo sapiens pannexin 2	3.3	2.15E-04
NM_015642	ZBTB20	Homo sapiens zinc finger and BTB domain containing 20	3.3	1.07E-03
NM_000142	FGFR3	Homo sapiens fibroblast growth factor receptor 3, transcript variant 1	3.3	2.87E-06
NM_002648	PIM1	Homo sapiens pim-1 oncogene	3.2	1.66E-03
NM_001013439	FXR1	Homo sapiens fragile X mental retardation, autosomal homolog 1, transcript variant 3	3.2	4.46E-04
NM_000712	BLVRA	Homo sapiens biliverdin reductase A	3.2	1.12E-05
NM_004370	COL12A1	Homo sapiens collagen, type XII, alpha 1, transcript variant long	3.2	6.42E-04
NM_020817	KIAA1407	Homo sapiens KIAA1407	3.2	4.13E-03
NM_022149	MAGEF1	Homo sapiens melanoma antigen family F, 1	3.2	2.76E-04
NM_174908	CCDC50	Homo sapiens coiled-coil domain containing 50, transcript variant 1	3.2	1.57E-03
NM_007362	NCBP2	Homo sapiens nuclear cap binding protein subunit 2, 20kDa, transcript variant 1	3.2	3.43E-03
NM_133367	PAQR8	Homo sapiens progestin and adipoQ receptor family member VIII	3.1	4.08E-03
NM_001645	APOC1	Homo sapiens apolipoprotein C-I	3.1	2.13E-03
NM_000292	PHKA2	Homo sapiens phosphorylase kinase, alpha 2 (liver)	3.1	9.42E-05
NM_031942	CDCA7	Homo sapiens cell division cycle associated 7, transcript variant 1	3.1	1.43E-04
NM_000165	GJA1	Homo sapiens gap junction protein, alpha 1, 43kDa	3.1	1.10E-03
NM_024549	TECT1	Homo sapiens tectonic 1, transcript variant 3	3	1.33E-03
NM_003741	CHRD	Homo sapiens chordin	3	1.09E-04
NM_001216	CA9	Homo sapiens carbonic anhydrase IX	3	3.23E-03
NM_017898	MOSC2	Homo sapiens MOCO sulphurase C-terminal domain containing 2	3	3.68E-04
NM_001008701	LPHN1	Homo sapiens latrophilin 1, transcript variant 1	3	5.24E-04
NM_001618	PARP1	Homo sapiens poly (ADP-ribose) polymerase family, member 1	3	3.12E-04
NM_031942	CDCA7	Homo sapiens cell division cycle associated 7, transcript variant 1	3	6.89E-05
NM_006200	PCSK5	Homo sapiens proprotein convertase subtilisin/kexin type 5	2.9	1.22E-04
NM_133467	CITED4	Homo sapiens Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	2.9	1.23E-03
NM_207334	FAM43B	Homo sapiens family with sequence similarity 43, member B	2.9	2.68E-03
NM_000393	COL5A2	Homo sapiens collagen, type V, alpha 2	2.9	1.12E-04
NM_002193	INHBB	Homo sapiens inhibin, beta B (activin AB beta polypeptide)	2.9	1.87E-03
NM_005475	SH2B3	Homo sapiens SH2B adaptor protein 3	2.9	2.39E-03
NM_178822	IGSF10	Homo sapiens immunoglobulin superfamily, member 10	2.8	2.11E-03
NM_016270	KLF2	Homo sapiens Kruppel-like factor 2 (lung)	2.8	3.73E-04
NM_000790	DDC	Homo sapiens dopa decarboxylase (aromatic L-amino acid decarboxylase), transcript variant 2	2.8	6.27E-04
NM_020247	CABC1	Homo sapiens chaperone, ABC1 activity of bc1 complex homolog (S.pombe), nuclear gene encoding mitochondrial protein	2.8	4.21E-04
NM_001008493	ENAH	Homo sapiens enabled homolog (Drosophila), transcript variant 1	2.8	1.96E-04
NM_022763	FNDC3B	Homo sapiens fibronectin type III domain containing 3B	2.8	1.42E-03
NM_144575	CAPN13	Homo sapiens calpain 13	2.8	3.90E-03
NM_144601	CMTM3	Homo sapiens CKLF-like MARVEL transmembrane domain containing 3, transcript variant 1	2.8	2.45E-04
NM_002531	NTSR1	Homo sapiens neurotensin receptor 1 (high affinity)	2.8	4.34E-04
NM_002254	KIF3C	Homo sapiens kinesin family member 3C	2.8	1.23E-03
NM_138440	VASN	Homo sapiens vasorin	2.8	9.63E-04
NM_053025	MYLK	Homo sapiens myosin, light chain kinase, transcript variant 1	2.8	3.11E-03
NM_001466	FZD2	Homo sapiens frizzled homolog 2 (Drosophila)	2.7	3.68E-03
NM_006548	IGF2BP2	Homo sapiens insulin-like growth factor 2 mRNA binding protein 2, transcript variant 1	2.7	8.50E-05
NM_183421	FBXO25	Homo sapiens F-box protein 25, transcript variant 1	2.7	1.08E-03
NM_172056	KCNH2	Homo sapiens potassium voltage-gated channel, subfamily H (eag-related), member 2, transcript variant 2	2.7	2.29E-03
NM_018262	IFT122	Homo sapiens intraflagellar transport 122 homolog (Chlamydomonas), transcript variant 3	2.7	1.50E-03
NM_004468	FHL3	Homo sapiens four and a half LIM domains 3	2.7	2.38E-03
NM_001129	AEBP1	Homo sapiens AE binding protein 1	2.7	2.23E-03
NM_198552	FAM89A	Homo sapiens family with sequence similarity 89, member A	2.7	1.40E-03
NM_003707	RUVBL1	Homo sapiens RuvB-like 1 (E. coli)	2.7	3.40E-03
NM_012454	TIAM2	Homo sapiens T-cell lymphoma invasion and metastasis 2, transcript variant 1	2.7	6.93E-04
NM_005356	LCK	Homo sapiens lymphocyte-specific protein tyrosine kinase, transcript variant 2	2.6	1.32E-03
NM_022740	HIPK2	Homo sapiens homeodomain interacting protein kinase 2	2.6	1.16E-03
NM_152414	BHLHB5	Homo sapiens basic helix-loop-helix domain containing, class B, 5	2.6	3.05E-04
NM_000089	COL1A2	Homo sapiens collagen, type I, alpha 2	2.6	2.47E-03
NM_015448		Homo sapiens deleted in a mouse model of primary ciliary dyskinesia	2.6	1.25E-03
NM_004955	SLC29A1	Homo sapiens solute carrier family 29 (nucleoside transporters), member 1, nuclear gene encoding mitochondrial protein, transcript variant 5	2.6	2.88E-04
NM_015268	DNAJC13	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 13	2.6	5.37E-04
NM_004385	VCAN	Homo sapiens versican	2.6	6.93E-04
NM_000272	NPHP1	Homo sapiens nephronophthisis 1 (juvenile), transcript variant 1	2.6	2.42E-05
NM_006232	POLR2H	Homo sapiens polymerase (RNA) II (DNA directed) polypeptide H	2.6	1.24E-04
NM_207332	ERICH1	Homo sapiens glutamate-rich 1	2.6	8.01E-04
NM_000053	ATP7B	Homo sapiens ATPase, Cu++ transporting, beta polypeptide, transcript variant 1	2.6	2.81E-04
NM_015714	G0S2	Homo sapiens G0/G1switch 2	2.6	3.83E-03
NM_003975	SH2D2A	Homo sapiens SH2 domain protein 2A	2.6	2.65E-04
NM_025248	SNIP	Homo sapiens SNAP25-interacting protein	2.6	2.08E-04
NM_014801	PCNXL2	Homo sapiens pecanex-like 2 (Drosophila), transcript variant 1	2.6	2.35E-03
NM_003159	CDKL5	Homo sapiens cyclin-dependent kinase-like 5, transcript variant I	2.6	1.81E-03
NM_020654	SENP7	Homo sapiens SUMO1/sentrin specific peptidase 7, transcript variant 1	2.6	1.39E-04
NM_198329	UBE1DC1	Homo sapiens ubiquitin-activating enzyme E1-domain containing 1, transcript variant 2	2.6	3.66E-04
NM_147175	HS6ST2	Homo sapiens heparan sulfate 6-O-sulfotransferase 2, transcript variant S	2.5	2.60E-03
NM_001004023	DYRK3	Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3, transcript variant 2	2.5	3.50E-03
NM_147780	CTSB	Homo sapiens cathepsin B, transcript variant 2	2.5	7.58E-04
NM_005578	LPP	Homo sapiens LIM domain containing preferred translocation partner in lipoma	2.5	2.09E-03
NM_148170	CTSC	Homo sapiens cathepsin C, transcript variant 2	2.5	3.01E-03
NM_173626	SLC26A11	Homo sapiens solute carrier family 26, member 11	2.5	7.34E-04
NM_016240	SCARA3	Homo sapiens scavenger receptor class A, member 3, transcript variant 1	2.5	2.51E-03
NM_032343	CHCHD6	Homo sapiens coiled-coil-helix-coiled-coil-helix domain containing 6	2.5	1.21E-03
NM_002405	MFNG	Homo sapiens MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	2.5	3.75E-04
NM_013389	NPC1L1	Homo sapiens NPC1 (Niemann-Pick disease, type C1, gene)-like 1	2.5	8.40E-04
NM_000976	RPL12	Homo sapiens ribosomal protein L12	2.5	8.74E-04
NM_000029	AGT	Homo sapiens angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	2.5	3.45E-03
NM_144707	PROM2	Homo sapiens prominin 2	2.5	4.02E-05
NM_020133	AGPAT4	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	2.5	3.42E-03
NM_012241	SIRT5	Homo sapiens sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae), transcript variant 1	2.5	2.52E-04
NM_001080858		Homo sapiens cICK0721Q.2 (60S Ribosomal Protein L12 LIKE protein)	2.5	1.01E-04
NM_032025	EIF2A	Homo sapiens eukaryotic translation initiation factor 2A, 65kDa	2.5	1.30E-03
NM_015103	PLXND1	Homo sapiens plexin D1	2.5	3.20E-03
NM_003875	GMPS	Homo sapiens guanine monophosphate synthetase	2.5	3.63E-04
NM_014431	KIAA1274	Homo sapiens KIAA1274	2.5	1.78E-03
NM_001039570	KREMEN1	Homo sapiens kringle containing transmembrane protein 1, transcript variant 3	2.5	1.18E-04
NM_004861	GAL3ST1	Homo sapiens galactose-3-O-sulfotransferase 1	2.5	1.01E-03
NM_001002259	CAPRIN2	Homo sapiens C1q domain containing 1, transcript variant 1	2.5	1.68E-04
NM_001086	AADAC	Homo sapiens arylacetamide deacetylase (esterase)	2.4	2.92E-03
NM_019895	CLDND1	Homo sapiens claudin domain containing 1, transcript variant 2	2.4	9.16E-04
NM_002872	RAC2	Homo sapiens ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	2.4	3.87E-03
NM_015873	VILL	Homo sapiens villin-like	2.4	3.55E-03
NM_000433	NCF2	Homo sapiens neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	2.4	1.78E-03
NM_015488	PNKD	Homo sapiens paroxysmal nonkinesiogenic dyskinesia, transcript variant 1	2.4	3.49E-03
NM_004155	SERPINB9	Homo sapiens serpin peptidase inhibitor, clade B (ovalbumin), member 9	2.4	9.87E-05
NM_004566	PFKFB3	Homo sapiens 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	2.4	1.27E-03
NM_207310	CCDC74B	Homo sapiens coiled-coil domain containing 74B	2.4	1.45E-03
NM_001042552	TATDN3	Homo sapiens TatD DNase domain containing 3, transcript variant 1	2.4	8.61E-04
NM_004192	ASMTL	Homo sapiens acetylserotonin O-methyltransferase-like	2.4	4.83E-04
NM_016044	FAHD2A	Homo sapiens fumarylacetoacetate hydrolase domain containing 2A	2.4	2.47E-05
NM_032435	KIAA1804	Homo sapiens mixed lineage kinase 4	2.4	1.61E-03
NM_000373	UMPS	Homo sapiens uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	2.4	3.16E-04
NM_020039	ACCN2	Homo sapiens amiloride-sensitive cation channel 2, neuronal, transcript variant 1	2.3	4.19E-04
NM_004578	RAB4A	Homo sapiens RAB4A, member RAS oncogene family	2.3	5.19E-04
NM_145261	DNAJC19	Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 19	2.3	1.26E-04
NM_005578	LPP	Homo sapiens LIM domain containing preferred translocation partner in lipoma	2.3	1.22E-04
NM_000986	RPL24	Homo sapiens ribosomal protein L24	2.3	2.66E-05
NM_014648	DZIP3	Homo sapiens zinc finger DAZ interacting protein 3	2.3	6.94E-04
NM_002492	NDUFB5	Homo sapiens NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa (NDUFB5), nuclear gene encoding mitochondrial protein	2.3	6.97E-04
NM_022757	CCDC14	Homo sapiens coiled-coil domain containing 14	2.3	2.15E-03
NM_001955	EDN1	Homo sapiens endothelin 1	2.3	3.28E-03
NM_024076	KCTD15	Homo sapiens potassium channel tetramerisation domain containing 15	2.3	9.07E-04
NM_013390	TMEM2	Homo sapiens transmembrane protein 2	2.3	5.86E-04
NM_001206	KLF9	Homo sapiens Kruppel-like factor 9	2.3	2.86E-03
NM_006822	RAB40B	Homo sapiens RAB40B, member RAS oncogene family	2.3	1.44E-03
NM_203327	SLC23A2	Homo sapiens solute carrier family 23 (nucleobase transporters), member 2, transcript variant 2	2.3	2.34E-03
NM_001080858		Homo sapiens cICK0721Q.2 (60S Ribosomal Protein L12 LIKE protein)	2.3	3.36E-04
NM_001606	ABCA2	Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 2, transcript variant 1	2.3	3.58E-03
NM_032019	HDAC10	Homo sapiens histone deacetylase 10	2.3	1.32E-03
NM_001622	AHSG	Homo sapiens alpha-2-HS-glycoprotein	2.3	2.28E-03
NM_032088	PCDHGA8	Homo sapiens protocadherin gamma subfamily A, 8, transcript variant 1	2.2	5.39E-04
NM_021627	SENP2	Homo sapiens SUMO1/sentrin/SMT3 specific peptidase 2	2.2	1.87E-03
NM_198490	RAB43	Homo sapiens RAB43, member RAS oncogene family	2.2	7.43E-06
NM_002599	PDE2A	Homo sapiens phosphodiesterase 2A, cGMP-stimulated	2.2	1.31E-03
NM_015000	STK38L	Homo sapiens serine/threonine kinase 38 like	2.2	3.65E-03
NM_006642	SDCCAG8	Homo sapiens serologically defined colon cancer antigen 8	2.2	1.86E-03
NM_030652	EGFL8	Homo sapiens EGF-like-domain, multiple 8	2.2	3.12E-03
NM_015548	DST	Homo sapiens dystonin, transcript variant 1eA	2.2	2.87E-03
NM_138393	REEP6	Homo sapiens receptor accessory protein 6	2.2	2.33E-05
NM_175629	DNMT3A	Homo sapiens DNA (cytosine-5-)-methyltransferase 3 alpha, transcript variant 1	2.2	1.76E-03
NM_012098	ANGPTL2	Homo sapiens angiopoietin-like 2	2.2	8.53E-04
NM_001415	EIF2S3	Homo sapiens eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	2.2	1.05E-03
NM_016733	LIMK2	Homo sapiens LIM domain kinase 2, transcript variant 2b	2.2	2.23E-03
NM_004726	REPS2	Homo sapiens RALBP1 associated Eps domain containing 2, transcript variant 1	2.2	1.18E-03
NM_152904	SPECC1	Homo sapiens sperm antigen with calponin homology and coiled-coil domains 1	2.2	2.43E-03
NM_006548	IGF2BP2	Homo sapiens insulin-like growth factor 2 mRNA binding protein 2, transcript variant 1	2.2	4.01E-03
NM_201575	SEZ6L2	Homo sapiens seizure related 6 homolog (mouse)-like 2, transcript variant 2	2.2	3.16E-04
NM_000532	PCCB	Homo sapiens propionyl Coenzyme A carboxylase, beta polypeptide	2.2	2.68E-03
NM_005044	PRKX	Homo sapiens protein kinase, X-linked	2.2	6.17E-06
NM_000096	CP	Homo sapiens ceruloplasmin (ferroxidase)	2.2	4.54E-04
NM_005557	KRT16	Homo sapiens keratin 16 (focal non-epidermolytic palmoplantar keratoderma)	2.2	3.44E-03
NM_002206	ITGA7	Homo sapiens integrin, alpha 7	2.2	1.03E-03
NM_080927	DCBLD2	Homo sapiens discoidin, CUB and LCCL domain containing 2	2.2	3.53E-04
NM_014812	CEP170	Homo sapiens centrosomal protein 170kDa, transcript variant alpha	2.2	4.01E-04
NM_000210	ITGA6	Homo sapiens integrin, alpha 6, transcript variant 2	2.2	1.88E-03
NM_015179	RRP12	Homo sapiens ribosomal RNA processing 12 homolog (S. cerevisiae)	2.2	3.15E-03
NM_152305	KTELC1	Homo sapiens KTEL (Lys-Tyr-Glu-Leu) containing 1	2.2	1.32E-03
NM_014602	PIK3R4	Homo sapiens phosphoinositide-3-kinase, regulatory subunit 4, p150	2.2	4.46E-04
NM_014904	RAB11FIP2	Homo sapiens RAB11 family interacting protein 2 (class I)	2.2	7.30E-04
NM_013390	TMEM2	Homo sapiens transmembrane protein 2	2.2	4.21E-04
NM_003250	THRA	Homo sapiens thyroid hormone receptor, alpha, transcript variant 2	2.2	2.18E-03
NM_173570	ZDHHC23	Homo sapiens zinc finger, DHHC-type containing 23	2.2	1.34E-04
NM_006834	RAB32	Homo sapiens RAB32, member RAS oncogene family	2.1	1.61E-03
NM_002579	PALM	Homo sapiens paralemmin, transcript variant 1	2.1	3.45E-04
NM_002093	GSK3B	Homo sapiens glycogen synthase kinase 3 beta	2.1	7.10E-05
NM_020747	ZNF608	Homo sapiens zinc finger protein 608	2.1	1.87E-03
NM_004487	GOLGB1	Homo sapiens golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1	2.1	2.23E-05
NM_003262	TLOC1	Homo sapiens translocation protein 1	2.1	1.48E-04
NM_024947	PHC3	Homo sapiens polyhomeotic homolog 3 (Drosophila)	2.1	7.31E-04
NM_020307	CCNL1	Homo sapiens cyclin L1	2.1	3.24E-03
NM_016091	EIF3S6IP	Homo sapiens eukaryotic translation initiation factor 3, subunit 6 interacting protein	2.1	2.63E-03
NM_030912	TRIM8	Homo sapiens tripartite motif-containing 8	2.1	2.97E-03
NM_002577	PAK2	Homo sapiens p21 (CDKN1A)-activated kinase 2	2.1	4.18E-03
NM_022370	ROBO3	Homo sapiens roundabout, axon guidance receptor, homolog 3 (Drosophila)	2.1	3.57E-04
NM_014049	ACAD9	Homo sapiens acyl-Coenzyme A dehydrogenase family, member 9	2.1	6.48E-04
NM_006642	SDCCAG8	Homo sapiens serologically defined colon cancer antigen 8	2.1	4.20E-04
NM_003418	CNBP	Homo sapiens CCHC-type zinc finger, nucleic acid binding protein	2.1	3.34E-03
