Fisher score	Gene symbol	Gene name	Reporter	Accession number
1.649762244	KIAA0889	KIAA0889 protein	H200008973	AK022023
1.648768691	MGC50853	Hypothetical protein MGC50853	H200020465	AL049365
1.648185154	MMAA	Methylmalonic aciduria (cobalamin deficiency) type A	H300004578	NM_172250
1.644958377	TCEAL4	Transcription elongation factor A (SII)-like 4	H200014616	NM_024863
1.636962198	SP23	Synaptosomal-associated protein, 23kDa	H200014279	BC003686
1.633045125	RBBP6	Retinoblastoma binding protein 6	H200003935	NM_032626
1.631546304	FLJ00012	Hypothetical protein FLJ00012	H200002965	AK024423
1.629989283	ZNF462	Zinc finger protein 462	H200002583	AK027866
1.628389973	CREBL2	CAMP responsive element binding protein-like 2	H200002253	NM_001310
1.62659285	PGLYRP2	Peptidoglycan recognition protein 2	H200017607	NM_052890
1.618028689	GOLGIN-67	Golgin-67	H200008633	AF204231
1.605673725	NSDHL	D(P) dependent steroid dehydrogenase-like	H200005262	NM_015922
1.604096521	RUTBC1	RUN and TBC1 domain containing 1	H200001432	AB007857
1.598503441	ZNF38	Zinc finger protein 38	H200002873	AL136865
1.592949426	GPR10	G protein-coupled receptor 10	H200016066	NM_004248
1.587401566	GSTM3	Glutathione S-transferase M3 (brain)	H200000512	NM_000849
1.58501759	FKBP14	FK506 binding protein 14, 22 kDa	H200016546	NM_017946
1.58066766	DNM3	Dynamin 3	H200004239	AL136712
1.576656413	MAGEL2	MAGE-like 2	H200013337	NM_019066
1.573657125	EVC	Ellis van Creveld syndrome	H200017100	NM_014556
1.568902567	C21orf63	Chromosome 21 open reading frame 63	H200003985	NM_058187
1.567498875	ROBO3	Roundabout, axon guidance receptor, homolog 3 (Drosophila)	H200003527	NM_022370
1.563606104	AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	H300000799	NM_152392
1.560948845	DBT	Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease)	H200016424	AK024946
1.559280118	ZNF529	Zinc finger protein 529	H200003768	AK025110
1.554626593	TANC	TPR domain, ankyrin-repeat and coiled-coil-containing	H200016335	AB051515
1.548998031	DR1	Down-regulator of transcription 1, TBP-binding (negative cofactor 2)	H200017761	AK021668
1.548580502	SVIL	Supervillin	H200013978	NM_021738
1.546010151	RAI16	Retinoic acid induced 16	H200009883	NM_022749
1.5451275	G11	Guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	H200000439	NM_002067
1.542598367	WSB1	WD repeat and SOCS box-containing 1	H200014390	NM_015626
1.541349555	FOXK1	Forkhead box K1	H200011352	AK027883
1.540170073	IGFALS	Insulin-like growth factor binding protein, acid labile subunit	H200000222	NM_004970
1.540066081	LOC58486	Transposon-derived Buster1 transposase-like protein gene	H200003557	NM_021211
1.539871254	PHOX2A	Paired-like (aristaless) homeobox 2a	H200017215	NM_005169
1.538109852	EN1	Engrailed homolog 1	H200016771	NM_001426
1.5367584	TIGA1	TIGA1	H300008288	NM_053000
1.534448966	FKBP10	FK506 binding protein 10, 65 kDa	H200000850	NM_021939
1.534353059	PIGL	Phosphatidylinositol glycan, class L	H200016439	AK023469
1.53359671	MGC27466	Hypothetical protein MGC27466	H200013514	BC016016
1.533420508	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	H200014737	NM_000963
1.53256394	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	H200002042	NM_000859
1.531215266	TTC14	Tetratricopeptide repeat domain 14	H200004622	AK055984
1.525431202	COG1	Component of oligomeric golgi complex 1	H200017715	AB037802
1.524414061	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	H200008439	AY028897
1.521196119	MYADML	Myeloid-associated differentiation marker-like	H200016200	AK057470
1.517958454	N2N	Similar to NOTCH2 protein	H200019031	AK022008
1.517757241	PYY2	Peptide YY, 2 (seminalplasmin)	H200007249	NM_021093
1.515386938	LOC57146	Promethin	H200003743	BC015812
1.512602126	FLJ43663	Hypothetical protein FLJ43663	H200015340	AL049991
1.512386342	PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	H200004515	NM_000935
1.512284195	RUFY2	RUN and FYVE domain containing 2	H200013936	NM_017987
1.510440755	KIAA1600	KIAA1600	H200014506	AB046820
1.509646314	STMN3	Stathmin-like 3	H200008845	NM_015894
1.509063813	CENTG3	Centaurin, gamma 3	H200008870	NM_031946
1.506489242	CXCL16	Chemokine (C-X-C motif) ligand 16	H200006939	NM_022059
1.505495325	BIRC2	Baculoviral IAP repeat-containing 2	H200009490	NM_001166
1.503672357	GPR2	Runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	H200017286	NM_016602
1.503580948	SENP7	SUMO1/sentrin specific protease 7	H200004001	AL136599
1.503074439	ADCY3	Adenylate cyclase 3	H200001647	NM_004036
1.502407996	7h3	Hypothetical protein FLJ13511	H200001761	NM_033025
1.500564016	PAQR6	Progestin and adipoQ receptor family member VI	H200015552	NM_024897
1.492841593	DPPA4	Developmental pluripotency associated 4	H200001789	NM_018189
1.491915402	FLJ10916	Hypothetical protein FLJ10916	H200001790	NM_018271
1.489046088	RNF123	Ring finger protein 123	H200016446	AK001120
1.488773461	FLJ10081	Hypothetical protein FLJ10081	H200001511	AY050169
1.48599166	C20orf38	Chromosome 20 open reading frame 38	H200016816	NM_018327
1.484893321	RASGEF1B	RasGEF domain family, member 1B	H200018770	AB014771
1.484497542	ZBTB20	Zinc finger and BTB domain containing 20	H200011366	BC010934
1.483247577	MRGX2	G protein-coupled receptor MRGX2	H200020577	NM_054030
1.482664159	CD164	CD164 antigen, sialomucin	H200004656	NM_006016
1.475475306	PCDH17	Hypothetical protein LOC144997	H200005466	AK001134
1.471288291	LOC84661	Dpy-30-like protein	H200019043	NM_032574
1.471103651	TDE2	Tumor differentially expressed 2	H200013577	AB033079
1.469270267	MGC5306	Hypothetical protein MGC5306	H200017942	NM_024116
1.467052878	INSM1	Insulinoma-associated 1	H200010360	NM_002196
1.465670491	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)	H200013077	AB033056
1.465445738	NR4A1	Nuclear receptor subfamily 4, group A, member 1	H200000291	NM_002135
1.464738675	DLG3	Discs, large homolog 3 (neuroendocrine-dlg, Drosophila)	H200001969	AB033058
1.46384063	PIK4CB	Phosphatidylinositol 4-kinase, catalytic, beta polypeptide	H200021103	AK054691
1.463816658	LOC283981	Hypothetical protein LOC283981	H200009047	AK023454
1.46308103	CACNG8	Calcium channel, voltage-dependent, gamma subunit 8	H200019245	AF288388
1.457171702	COL5A1	Collagen, type V, alpha 1	H200013568	NM_000093
1.455869774	LP12	CHT, leucine rich repeat and PYD containing 12	H200009515	NM_033297
1.454261402	TCF8	Transcription factor 8 (represses interleukin 2 expression)	H200015445	NM_030751
1.452368662	FLJ23825	Hypothetical protein FLJ23825	H200017254	BC018205
1.452264079	ALCAM	Activated leukocyte cell adhesion molecule	H200001892	Y10183
1.451020748	ZNF14	Zinc finger protein 14 (KOX 6)	H200014754	NM_021030
1.450564382	FLJ38993	Hypothetical protein FLJ38993	H200002272	AF070524
1.449977881	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	H300018439	NM_020133
1.449944946	SIRT5	Sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae)	H200001703	NM_031244
1.444143073	RABL2A	RAB, member of RAS oncogene family-like 2A	H300022605	NM_013412
1.444069105	DKFZp434A1	Hypothetical protein DKFZp434A128	H200018877	AL122120
1.441247334	PHACS	1-aminocyclopropane-1-carboxylate synthase	H200012625	NM_032592
1.440864457	RIN1	Ras and Rab interactor 1	H200000270	NM_004292
1.439313266	KIAA0685	KIAA0685	H200009682	NM_014678
1.438066581	RAB27B	RAB27B, member RAS oncogene family	H200020604	AK058130
1.436237876	AOC2	Amine oxidase, copper containing 2 (retina-specific)	H200013380	NM_009590
1.434082117	CDW52	CDW52 antigen (CAMPATH-1 antigen)	H200017212	NM_001803
1.430188445	MAML3	Mastermind-like 3 (Drosophila)	H200009936	AK001604
1.430120728	SFRS11	Splicing factor, arginine/serine-rich 11	H200002006	NM_004768
1.42732773	Lin10	Lin-10 protein homolog	H200019193	NM_025187
1.426654951	PHF3	PHD finger protein 3	H200006575	NM_015153
1.422911594	MYH11	Myosin, heavy polypeptide 11, smooth muscle	H200006501	NM_022844
1.421520191	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	H200015823	NM_000362
1.421023127	CDK5RAP3	CDK5 regulatory subunit associated protein 3	H200002883	NM_025197
1.418243614	ITGB6	Integrin, beta 6	H200005253	AK026736
1.417025433	IMP-3	IGF-II mR-binding protein 3	H200006700	NM_006547
1.41668509	FLJ22457	Hypothetical protein FLJ22457	H200015627	NM_024901
1.416608959	C9orf72	Chromosome 9 open reading frame 72	H200003301	AK001971
1.416159689	WBSCR20C	Williams Beuren syndrome chromosome region 20C	H200019701	NM_032158
1.415961897	SEC31L2	SEC31-like 2 (S. cerevisiae)	H200002773	NM_015490
1.409649104	truncated	Truncated aldo-keto reductase	H200016828	AB037903
1.408848261	AP1S1	Adaptor-related protein complex 1, sigma 1 subunit	H200005250	NM_057089
1.405664103	ANXA4	Annexin A4	H200006455	NM_001153
1.402692885	LEMD3	Integral inner nuclear membrane protein	H200001398	NM_014319
1.399578687	APP	Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	H200008262	NM_000484
1.399243737	SNRPN	SNRPN upstream reading frame	H200005335	U81001
1.397909462	C14orf124	Chromosome 14 open reading frame 124	H200017717	NM_020195
1.397659946	MRPL41	Mitochondrial ribosomal protein L41	H300004461	NM_032477
1.397264359	MGC5356	Hypothetical protein MGC5356	H200014769	NM_024059
1.39636482	AMN	Amnionless homolog (mouse)	H200015578	NM_030943
1.395424579	LOC401152	HCV F-transactivated protein 1	H200008160	AK025703
1.39365349	CFHL1	Complement factor H-related 1	H200013950	NM_005666
1.392831064	RAB6C	RAB6C, member RAS oncogene family	H200019358	NM_032144
1.391676376	ARHGEF18	Rho/rac guanine nucleotide exchange factor (GEF) 18	H200001167	NM_015318
1.387944976	TRIM40	Tripartite motif-containing 40	H300003218	NM_138700
1.387461584	GCNT2	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	H200014430	AK058074
1.383418045	FTL	Ferritin, light polypeptide	H200011749	AF119897
1.382616869	Shax3	Snf7 homologue associated with Alix 3	H200014231	AK000049
1.381438241	GPSM1	G-protein signalling modulator 1 (AGS3-like, C. elegans)	H200015657	AL117478
1.379832639	SLC30A7	Solute carrier family 30 (zinc transporter), member 7	H200014881	AK023089
1.378582155	C16orf5	Chromosome 16 open reading frame 5	H200001489	NM_013399
1.37802544	TRIM22	Tripartite motif-containing 22	H200018907	NM_006074
1.377009566	HLA-F	Major histocompatibility complex, class I, F	H200011688	NM_018950
1.376374352	ANKRA2	Ankyrin repeat, family A (RFXANK-like), 2	H200015645	NM_023039
1.376118331	KIAA0543	KIAA0543 protein	H200010887	AB011115
1.374833022	U2AF1L3	U2(RNU2) small nuclear R auxiliary factor 1-like 3	H300013076	NM_144987
1.374556033	NY-REN-7	NY-REN-7 antigen	H200012629	AB018295
