GO Biological Process	Genbank Acc. N°	Symbol	Name	
Regulation of progression through cell cycle	DB353455	MCM5	Minichromosome maintenance complex component 5	
Regulation of progression through cell cycle	NM_003952	RPS6KB2	Ribosomal protein S6 kinase, 70kDa, polypeptide 2	
Regulation of progression through cell cycle	AF195139	PNN	Pinin, desmosome associated protein	
Regulation of progression through cell cycle	M74093,	CCNE1	Cyclin E1	
Regulation of progression through cell cycle	BG761079			
Regulation of progression through cell cycle	AY561635	KLK10	Kallikrein-related peptidase 10	
Regulation of progression through cell cycle	NM_006191	PA2G4	Proliferation-associated 2G4, 38kDa	
Regulation of progression through cell cycle	NM_138292	ATM	Ataxia telangiectasia mutated	
Regulation of progression through cell cycle	BC007255	PGF	Placental growth factor, vascular endothelial growth factor-related protein	
Regulation of progression through cell cycle	NM_004073	PLK3	Polo-like kinase 3 (Drosophila)	
Regulation of progression through cell cycle	NM_003377	VEGFB	Vascular endothelial growth factor B	
Regulation of progression through cell cycle	DB509863	CCNL2	Cyclin L2	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BC068292	BHLHB2	Basic helix-loop-helix domain containing, class B, 2	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_002509	NKX2-2	NK2 homeobox 2	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AF195139	PNN	Pinin, desmosome associated protein	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_005169	PHOX2A	Paired-like homeobox 2a	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	M74093, BG761079	CCNE1	Cyclin E1	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_006191	PA2G4	Proliferation-associated 2G4, 38kDa	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BC001562	NCOA4	Nuclear receptor coactivator 4	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AJ492196	ZNF248	Zinc finger protein 248	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	CB269721	NRIP1	Nuclear receptor interacting protein 1	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BC007333	ETV5	Ets variant gene 5 (ets-related molecule)	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_018429	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AF317391	BCOR	BCL6 co-repressor	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AF349038	TAF7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_002383	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BC111408	ZNF276	Zinc finger protein 276	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BE748366	PAX8	Paired box 8	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BX385997	SQSTM1	Sequestosome 1	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	DB552558	GCN5L2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	DQ895028	SMAD4	SMAD family member 4	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	CD364918	NR4A1	Nuclear receptor subfamily 4, group A, member 1	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AI584154	CBFA2T3	Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	BC012070	ZBTB7B	Zinc finger and BTB domain containing 7B	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	CT004126	JUN	Jun oncogene	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AL161658	INSM1	Insulinoma-associated 1	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	DB509863	CCNL2	Cyclin L2	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	DB210960	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	DB353455	MCM5	Minichromosome maintenance complex component 5	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	AAH07256	ZNF23	Zinc finger protein 23 (KOX 16)	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_005599	NHLH2	Nescient helix loop helix 2	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_005230	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	NM_138292	ATM	Ataxia telangiectasia mutated	
Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism	DA493585	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	
Transcription	BC068292	BHLHB2	Basic helix-loop-helix domain containing, class B, 2	
Transcription	NM_002509	NKX2-2	NK2 homeobox 2	
Transcription	AF195139	PNN	Pinin, desmosome associated protein	
Transcription	NM_005169	PHOX2A	Paired-like homeobox 2a	
Transcription	M74093, BG761079	CCNE1	Cyclin E1	
Transcription	NM_006191	PA2G4	Proliferation-associated 2G4, 38kDa	
Transcription	BC001562	NCOA4	Nuclear receptor coactivator 4	
Transcription	AJ492196	ZNF248	Zinc finger protein 248	
Transcription	CB269721	NRIP1	Nuclear receptor interacting protein 1	
Transcription	BC007333	ETV5	Ets variant gene 5 (ets-related molecule)	
Transcription	AB209594	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	
Transcription	NM_018429	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	
Transcription	AF317391	BCOR	BCL6 co-repressor	
Transcription	AF349038	TAF7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	
Transcription	NM_002383	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	
Transcription	BC111408	ZNF276	Zinc finger protein 276	
Transcription	BE748366	PAX8	Paired box 8	
Transcription	BX385997	SQSTM1	Sequestosome 1	
Transcription	DB552558	GCN5L2	GCN5 general control of amino-acid synthesis 5-like 2 (yeast)	
Transcription	DQ895028	SMAD4	SMAD family member 4	
Transcription	CD364918	NR4A1	Nuclear receptor subfamily 4, group A, member 1	
Transcription	AI584154	CBFA2T3	Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	
Transcription	BC012070	ZBTB7B	Zinc finger and BTB domain containing 7B	
Transcription	CT004126	JUN	Jun oncogene	
Transcription	AL161658	INSM1	Insulinoma-associated 1	
Transcription	DB509863	CCNL2	Cyclin L2	
Transcription	DB210960	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	
Transcription	DB353455	MCM5	Minichromosome maintenance complex component 5	
Transcription	AAH07256	ZNF23	Zinc finger protein 23 (KOX 16)	
Transcription	NM_005599	NHLH2	Nescient helix loop helix 2	
Transcription	NM_005230	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	
Transcription	NM_138292	ATM	Ataxia telangiectasia mutated	
Transcription	DA493585	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	
