Function	Affymetrix probe ID	GenBank accession no.	Gene	Gene	Expression in APC10.1 (scaled signal)	Log ratio compared to: Normal intestine	Log ratio compared to: Adenoma
Wnttargetgenes	98088_at	X13333	Cd14	CD14 antigen	69	-0.7	-2
Wnttargetgenes	92614_at	M60523	Idb3	inhibitor of DNA binding 3	108	-0.7	-2.4
Wnttargetgenes	98771_at	L25890	Ephb2	Eph receptor B2	29	-0.8	0
Wnttargetgenes	94246_at	J04103	Ets2	E26 avian leukemia oncogene 2, 3 domain	43	-1.8	-2.9
Wnttargetgenes	97546_at	AF072127	Cldn1	claudin 1	1	-2.4	-3.8
Wnttargetgenes	99810_at	X91864	Gpx2-ps1	glutathione peroxidase 2, pseudogene 1	287	-2.5	-2.3
Wnttargetgenes	100149_at	D86726	Mcm6	minichromosome maintenance deficient 6	1	-2.8	-1.2
Wnttargetgenes	98297_at	AF110818	Gpr49	G protein-coupled receptor 49	1	-2.8	-6.7
Wnttargetgenes	92644_s_at	M12848	Myb	myeloblastosis oncogene	9	-4.5	-4.4
Proliferation/apoptosis	160550_i_at	AF035939	Magoh	Mago-nashi homol., proliferation-associated	334	1.2	0.1
Proliferation/apoptosis	100125_at	U43918	Pa2g4	proliferation-associated 2G4, 38kD	114	1.4	0.5
Proliferation/apoptosis	101583_at	M64292	Btg2	B-cell translocation gene 2, antiproliferative	1,074	1.4	1.8
Proliferation/apoptosis	93536_at	L22472	Bax	Bcl2-associated X protein	658	2.6	1.7
Proliferation/apoptosis	97828_at	AF033115	Siva-pending	Cd27 binding protein (proapoptotic)	570	2.7	2.3
Proliferation/apoptosis	103796_at	AF064071	Apaf1	Apoptotic protease activating factor 1	234	0.4	0.7
Proliferation/apoptosis	96858_at	AF100927	Pdcd8	Programmed cell death 8	207	-0.6	-0.2
Proliferation/apoptosis	96008_at	U81052	Dad1	defender against cell death 1	1,514	0.5	0.3
Proliferation/apoptosis	99027_at	L35049	Bcl21	Bcl2-like, Bcl-XL	263	0.6	0.8
Proliferation/apoptosis	160540_at	AF022223	Bag1	Bcl2-associated athanogene 1	133	-0.6	-0.6
Growthfactors/receptors	95545_at	X04480	Igf1	insulin-like growth factor 1	239	3.3	1.3
Growthfactors/receptors	98623_g_at	X71922	Igf2	insulin-like growth factor 2	842	3.1	2.3
Growthfactors/receptors	102224_at	AF056187	Igf1r	insulin-like growth factor 1 receptor	91	0.4	0
Growthfactors/receptors	95117_at	U04710	Igf2r	insulin-like growth factor 2 receptor	243	0.5	0.4
Growthfactors/receptors	98627_at	X81580	Igfbp2	insulin-like growth factor binding protein 2	3,233	7.4	7.2
Growthfactors/receptors	100566_at	L12447	Igfbp5	insulin-like growth factor binding protein 5	1,065	4.1	0.5
Growthfactors/receptors	92629_f_at	D63707	Hdgf	Hepatoma-derived growth factor	987	1.7	1.1
Growthfactors/receptors	93090_at	M23362	Fgfr2	fibroblast growth factor receptor 2	133	0.1	-1
Growthfactors/receptors	92937_at	X59927	Fgfr4	fibroblast growth factor receptor 4	75	3.3	0.4
Growthfactors/receptors	93300_at	X57413	Tgfb2	transforming growth factor, beta 2	105	4.2	3.1
Growthfactors/receptors	93294_at	M70642	Ctgf	connective tissue growth factor	810	6.2	3.4
Angiogenesis/invasion	103520_at	M95200	Vegfa	Vascular endothelial growth factor A	48	-0.2	0.6
Angiogenesis/invasion	94392_f_at	U22516	Ang	Angiogenin	104	0.2	-0.3
Angiogenesis/invasion	100751_at	AF011379	Adam10	A disintegrin and metalloprotease domain 10	98	0.9	-0.2
Angiogenesis/invasion	93507_at	X62622	Timp2	Tissue inhibitor of metalloproteinase 2	86	2.2	0.8
Angiogenesis/invasion	160469_at	M62470	Thbs1	thrombospondin 1	281	2.7	-0.5
Angiogenesis/invasion	93612_at	D86332	Mmp15	Matrix metalloproteinase 15	38	0.8	-0.1
Angiogenesis/invasion	93981_at	J03520	Plat	plasminogen activator, tissue	157	1.8	-3.4
Angiogenesis/invasion	97160_at	X04017	Sparc	Secreted acidic cysteine rich glycoprotein	1,814	4.7	2.8
Tumor-associated antigens	99582_at	M76124	Tacstd1	tumor-ass. Ca++ signal transd. 1 (Ep-CAM)	109	-2.5	-2.2
Tumor-associated antigens	102804_at	X67279	Ceacam1	CEA-related cell adhesion molecule 1	115	-3.9	-4.2
Tumor-associated antigens	160158_at	AI843313	Gpc3	Glypican 3	920	4.3	3.7
Tumor-associated antigens	96703_at	AB029448	Maged1	Melanoma antigen, family D, 1	644	4.3	1.8
