Location	HUGO name	Gene description	Accession	Fold change	P value
1q23.1-q24.1	SLAMF7	SLAM family member 7	AL121985	1.45	0.013051
1q23.2	TIPRL	putative MAPK activating protein	NM_152902	1.81	0.001335
1q23.3	DEDD	death effector domain containing	AK022531	1.52	0.009689
1q23.3	PFDN2	prefoldin 2	NM_012394	1.52	0.00978
1q23.3	LOC257106	Hypothetical protein LOC257106	AI498421	1.35	0.034671
1q23-1q25	MRPS14	mitochondrial ribosomal protein S14	BG254653	2.26	0.022046
1q23-q25	PIGC	phosphatidylinositol glycan, class C	NM_002642	1.34	0.033448
1q23-q25	COPA	coatomer protein complex, subunit alpha	AI621079	1.61	0.005212
1q24	RABGAP1L	RAB GTPase activating protein 1-like	BG107203	2.07	0.017542
1q24.2	MPZL1	myelin protein zero-like 1	NM_024569	1.45	0.004214
1q24.2	SFT2D2	hypothetical protein LOC375035	AL035297	1.88	0.00266
1q24-q25	VAMP4	vesicle-associated membrane protein 4	NM_003762	1.78	0.000604
1q24-q25	CACYBP	calcyclin binding protein	BC005975	1.58	0.038187
1q25	CDC73	hyperparathyroidism 2 (with jaw tumor)	NM_024529	1.9	0.02341
1q25	C1orf21	chromosome 1 open reading frame 21	AL563236	3.8	0.025941
1q25	C1orf19	chromosome 1 open reading frame 19	AF288394	2.06	0.004945
1q25.1	PRDX6	peroxiredoxin 6	NM_004905	1.4	0.007284
1q25.3	ARPC5	actin related protein 2/3 complex, subunit 5, 16kDa	AF017807	1.59	0.042219
1q31.2-q31.3	GLRX2	glutaredoxin 2	NM_016066	1.9	0.041367
1q31.3	C1orf53	similar to Hypothetical protein CBG13135	BI832220	2.17	0.001209
1q31-q42	PSEN2	presenilin 2 (Alzheimer disease 4)	NM_000447	2.17	0.000169
1q32	SNRPE	small nuclear ribonucleoprotein polypeptide E	NM_003094	1.45	0.004901
1q32	MCP	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)	NM_002389	1.77	0.023279
1q32	RNPEP	arginyl aminopeptidase (aminopeptidase B)	NM_020216	1.41	0.017065
1q32	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	W93501	-1.42	0.003996
1q32.1	PPP1R15B	Protein phosphatase 1, regulatory (inhibitor) subunit 15B	BC009873	1.48	0.006546
1q32.1	CAMSAP1L1	KIAA1078 protein	AB029001	1.56	0.034175
1q32.1	RASSF5	Ras association (RalGDS/AF-6) domain family 5	BC004270	1.37	0.014051
1q32.3	ANGEL2	similar to RIKEN cDNA 2610307I21	AI188346	1.61	0.002992
1q32.3	C1orf97	hypothetical protein MGC1480	BC005997	1.84	0.014151
1q32.3	RCOR3	REST corepressor 3	AI023806	1.76	0.001173
1q32-q41	GUK1	guanylate kinase 1	BC006249	1.57	0.018713
1q32-q41	RABIF	RAB interacting factor	NM_002871	1.62	0.026873
1q32-q41	SLC30A1	solute carrier family 30 (zinc transporter), member 1	AI553933	1.66	0.016976
1q41	MOSC2	hypothetical protein FLJ20605	NM_017898	1.49	0.008046
1q41	MGC5618	FLJ43505 protein	BF575213	-1.46	0.017183
1q41	LYPLAL1	lysophospholipase-like 1	AW612657	1.86	0.014932
1q41	BPNT1	3(2), 5-bisphosphate nucleotidase 1	AI439695	1.62	0.038761
1q41-q42.11	SUSD4	hypothetical protein FLJ10052	BC004888	1.24	0.001675
1q41-q44	CHRM3	cholinergic receptor, muscarinic 3	AF279779	1.38	0.0331
1q42	ARF1	ADP-ribosylation factor 1	AA580004	1.57	0.015246
1q42	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	BG165094	1.63	0.015015
1q42	UBE2G1	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)	BG170762	-1.38	0.019296
1q42.1	EGLN1	egl nine homolog 1 (C. elegans)	BC005369	1.55	0.000833
1q42.11-42.3	GNPAT	glyceronephosphate O-acyltransferase	NM_014236	1.36	0.018346
1q42.12	SRP9	signal recognition particle 9kDa	NM_003133	1.42	0.030911
1q42.12	CNIH4	HSPC163 protein	NM_014184	2.61	0.001203
1q42.13	HIST3H2A	histone 3, H2a	BC001193	1.93	0.041481
1q42.13	JMJD4	hypothetical protein FLJ12517	AA582199	1.6	0.021976
1q42.13	C1orf142	SVAP1 protein	AA019893	1.35	0.025119
1q42.13	TRIM11	tripartite motif-containing 11	AI885021	1.59	0.03152
1q42.13	C1orf69	Hypothetical protein LOC200205	BG471870	1.39	0.043858
1q42.2	ARV1	ARV1 homolog (yeast)	AF321442	1.64	0.002686
1q42.2	C1orf57	hypothetical protein MGC13186	BC005102	1.7	0.014807
1q42.2	C1orf31	Chromosome 1 open reading frame 31	AI564054	2.17	0.00862
1q42.3	RBM34	KIAA0117 protein	AA887480	1.76	0.007074
1q42-q43	RAB4A	RAB4A, member RAS oncogene family	BC002438	1.65	0.006067
1q44	ZNF124	zinc finger protein 124 (HZF-16)	NM_003431	1.44	0.001865
1q44	ZNF672	hypothetical protein FLJ22301	BG490634	1.43	0.00825
1q44	FAM36A	family with sequence similarity 36, member A	AA831192	1.8	0.000961
1q44	---	Similar to Zinc finger protein 492	AA343057	-2.03	0.026201
6q23.1	STX7	syntaxin 7	NM_003569	-1.44	0.018797
6q23.1	CTGF	connective tissue growth factor	M92934	-2.39	0.034962
6q23.1-23.3	MOXD1	monooxygenase, DBH-like 1	BC018756	-2.16	0.016558
6q23.3	MAP7	microtubule-associated protein 7	AW242297	-3.48	0.000898
6q23.3	AHI1	Abelson helper integration site	NM_017651	-1.54	0.001034
6q23.3	LOC202451	hypothetical protein LOC202451	AI979261	-2.77	0.011646
6q23-q24	HBS1L	HBS1-like (S. cerevisiae)	AK024258	-1.65	0.020743
6q24	HEBP2	heme binding protein 2	NM_014320	-1.82	0.000276
6q24	PERP	PERP, TP53 apoptosis effector	NM_022121	-3.8	0.000202
6q24.1	GPR126	G protein-coupled receptor 126	AL033377	-5.8	0.018332
6q24.1	C6orf115	chromosome 6 open reading frame 115	AF116682	-1.42	0.037639
6q24.1	C6orf55	chromosome 6 open reading frame 55	BC005937	-2.29	0.004098
6q24.2	AIG1	androgen-induced 1	AF151861	-1.46	0.039966
6q24.2	PHACTR2	Phosphatase and actin regulator 2	AW880875	-2.34	0.006937
6q24.3	STXBP5	syntaxin binding protein 5 (tomosyn)	AI825998	-2.17	0.023365
6q24-q25	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	AB003476	-7.33	0.029916
6q25.1	KATNA1	katanin p60 (ATPase-containing) subunit A 1	NM_007044	-1.47	0.049565
6q25.1	C6orf211	chromosome 6 open reading frame 211	NM_024573	-2.22	0.003885
6q25.1	LRP11	low density lipoprotein receptor-related protein 11	BF696304	-2.71	0.016498
6q25.1	C6orf72	chromosome 6 open reading frame 72	AI948460	-2.04	0.012977
6q25.1-q25.3	TFB1M	transcription factor B1, mitochondrial	AI341648	-1.75	0.025585
6q25.1-q26	SNX9	sorting nexin 9	BF972871	-2.02	0.048079
6q25.3	TAGAP	T-cell activation GTPase activating protein	NM_138810	-1.84	0.001799
6q25.3	GTF2H5	general transcription factor IIH, polypeptide 5	AV701318	-1.65	0.009558
6q25.3	SOD2	superoxide dismutase 2, mitochondrial	W46388	-1.6	0.041395
6q25.3	RSHL2	radial spokehead-like 2	AF353618	-1.41	0.009209
6q25.3-q26	TCP1	t-complex 1	BC000665	-1.84	0.026399
6q27	FGFR1OP	FGFR1 oncogene partner	BC037785	-1.5	0.012496
6q27	PDCD2	programmed cell death 2	NM_002598	-2.09	0.00004
6q27	C6orf120	PHD finger protein 10	BF197222	-2.18	0.000326
8p11.1	TMEM76	hypothetical protein FLJ32731	BF433005	-2.04	0.023147
8p12	PPAPDC1B	HTPAP protein	AF212238	-1.98	0.003751
8p12	KIF13B	kinesin family member 13B	NM_015254	-1.64	0.036358
8p12	PPP2CB	protein phosphatase 2, catalytic subunit, beta isoform	NM_004156	-1.61	0.004342
8p12	TMEM66	hypothetical protein MGC8721	NM_016127	-1.5	0.00112
8p12-p11	DCTN6	dynactin 6	NM_006571	-1.98	0.000635
8p12-p11.2	UBXD6	reproduction 8	D83768	-1.85	0.008521
8p21	PNOC	prepronociceptin	NM_006228	-1.92	0.003356
8p21	TNFRSF10D	tumor necrosis factor receptor superfamily, member 10d	AI738556	-1.84	0.037555
8p21	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a	W65310	-1.65	0.028165
8p21	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	AL132665	-1.59	0.026572
8p21.1	FBXO16	F-box protein 16	BC001237	-2.45	0.027747
8p21.1	ZNF395	zinc finger protein 395	NM_018660	-2.17	0.042847
8p21.1	GSR	glutathione reductase	AI888037	-1.8	0.00012
8p21.1	RC74	related to CPSF subunits 74 kDa	NM_018250	-1.6	0.014328
8p21.1	CCDC25	hypothetical protein FLJ10853	AU160632	-1.52	0.011512
8p21.2	ADAM28	a disintegrin and metalloproteinase domain 28	NM_021778	-11.09	0.000963
8p21.2	SLC25A37	mitochondrial solute carrier protein	BE677761	-2.63	0.000983
8p21.2	PPP2R2A	protein phosphatase 2, regulatory subunit B (PR 52), alpha isoform	NM_002717	-1.62	0.020271
8p21.2-p21.1	LEPROTL1	leptin receptor overlapping transcript-like 1	AF161461	-2.01	0.000013
8p21.3	ChGn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	NM_018371	-2.17	0.011358
8p21.3	C8orf35	hypothetical protein FLJ10569	AA115512	-2.15	0.000543
8p21.3	RHOBTB2	Rho-related BTB domain containing 2	BC034917	-2.13	0.024271
8p21.3	RAI16	retinoic acid induced 16	NM_022749	-2.13	0.010307
8p21.3	R3HCC1	hypothetical protein LOC203069	AI081543	-1.84	0.000008
8p21.3	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	AB002390	-1.73	0.039526
8p21.3	BIN3	bridging integrator 3	AK001289	-1.6	0.006366
8p21.3	PPP3CC	protein phosphatase 3 catalytic subunit, gamma isoform	S46622	-1.54	0.035618
8p21.3-p22	ZDHHC2	zinc finger, DHHC domain containing 2	AK001608	-1.72	0.006046
8p21-p11.2	STC1	stanniocalcin 1	AI300520	-7.67	0.009538
8p22	MTUS1	Mitochondrial tumor suppressor 1	AI732305	-3.63	0.011884
8p22	KIAA1967	KIAA1967	AK022661	-2.5	0.000187
8p22	VPS37A	hepatocellular carcinoma related protein 1	AI866426	-2.08	0.008267
8p22-21.3	CNOT7	CCR4-NOT transcription complex, subunit 7	NM_013354	-1.99	0.000007
8p22-p21	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	AF016266	-2.42	0.001321
8p22-p21.3	PCM1	pericentriolar material 1	AI205598	-1.84	0.035675
8p22-p21.3	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	U47674	-1.42	0.001598
8p22-q11	FNTA	farnesyltransferase, CAAX box, alpha	BG168896	-1.7	0.035503
8p23.1	DKFZp761P0423	hypothetical protein DKFZp761P0423	BF739767	-30.11	0.046086
8p23.1	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	AF070613	-2.01	0.047213
8p23.1	ANGPT2	Angiopoietin 2	BE673677	-1.98	0.036709
8p23.1	MSRA	methionine sulfoxide reductase A	NM_012331	-1.79	0.00774
8p23.1	C8orf6	chromosome 8 open reading frame 6	NM_145656	-1.5	0.017257
8p23.1-p22	FDFT1	farnesyl-diphosphate farnesyltransferase 1	AA872727	-1.87	0.007057
8p23.3	FBXO25	F-box protein 25	AA749085	-1.63	0.032317
8p23-p22	BLK	B lymphoid tyrosine kinase	NM_001715	-4.03	0.019265
13q12	ZNF237	zinc finger protein 237	AI522311	-1.41	0.029417
13q12	MIPEP	mitochondrial intermediate peptidase	NM_005932	-1.65	0.002971
13q12.11	CRYL1	crystallin, lambda 1	NM_015974	-1.62	0.042998
13q12.11	LOC221143	hypothetical protein LOC221143	AI141584	-1.74	0.028645
13q12.11	SAP18	sin3-associated polypeptide, 18kDa	BF593650	-1.6	0.046798
13q12.12	TDRD4	tudor domain containing 4	NM_019038	-1.74	0.007619
13q12.12	CENPJ	centromere protein J	NM_018451	-1.33	0.017495
13q12.13	NUPL1	Nucleoporin like 1	AA769986	1.79	0.044204
13q12.2	RPL21	ribosomal protein L21 /// similar to 60S ribosomal protein L21	AL356414	-1.55	0.015875
13q12.2	MTIF3	mitochondrial translational initiation factor 3	BG529919	-1.81	0.008625
13q12.2	MGC9850	hypothetical protein MGC9850	BE378670	-2.08	0.007258
13q12.2	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	NM_015972	-1.83	0.001162
13q12.3	C13orf12	chromosome 13 open reading frame 12	NM_015932	-1.38	0.007288
13q12.3-q13	CCNA1	cyclin A1	NM_003914	-1.45	0.014379
13q12.3-q13.1	GTF3A	general transcription factor IIIA	NM_002097	-1.64	0.000924
13q12-q13	CG018	hypothetical gene CG018	AL049786	-1.45	0.006808
13q12-q13	EBPL	emopamil binding protein-like	AF243433	-2.52	0.000133
13q13	NBEA	neurobeachin	AI246710	2.16	0.021482
13q13.3	SPG20	spastic paraplegia 20, spartin (Troyer syndrome)	AL139377	-1.86	0.00581
13q13.3	ALG5	asparagine-linked glycosylation 5 homolog	NM_013338	-1.31	0.006967
13q13.3	Ufm1	ubiquitin-fold modifier 1	BC005193	-1.63	0.011294
13q13-q14	KIAA1704	KIAA1704	NM_018559	-2.16	0.008025
13q14	TSC22D1	transforming growth factor beta 1 induced transcript 4	AK027071	-1.94	0.009593
13q14	GTF2F2	general transcription factor IIF, polypeptide 2, 30kDa	BC001771	-1.63	0.017054
13q14.1	DNAJD1	DnaJ (Hsp40) homolog, subfamily D, member 1	NM_013238	-1.74	0.011461
13q14.11	MRPS31	mitochondrial ribosomal protein S31	NM_005830	-2.23	0.002552
13q14.11	KIAA0564	KIAA0564 protein	AK025432	-1.76	0.031615
13q14.13	NEK3	NIMA (never in mitosis gene a)-related kinase 3	AI191920	-1.61	0.026109
13q14.1-q14.2	ESD	esterase D/formylglutathione hydrolase	BC001169	-2.09	0.002165
13q14.2	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	NM_018283	-1.76	0.031081
13q14.2	FNDC3	Fibronectin type III domain containing 3	BF431920	-1.61	0.032597
13q14.2	PHF11	PHD finger protein 11	BF055474	-1.79	0.014682
13q14.3	DLEU1	deleted in lymphocytic leukemia, 1	NM_005887	-2.06	0.018894
13q14.3	FLJ11712	hypothetical protein FLJ11712	NM_024570	-1.74	0.048442
13q14.3	FLJ13639	hypothetical protein FLJ13639	AW194384	-1.53	0.037613
13q14.3	SUGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	NM_006704	-1.79	0.011356
13q21	KLHL1	Kelch-like 1 (Drosophila)	AL833569	-17.78	0.011678
13q21.1-q32	CLN5	ceroid-lipofuscinosis, neuronal 5	AI911687	-1.9	0.026656
13q21.2	TDRD3	tudor domain containing 3	NM_030794	-1.63	0.042843
13q22	MYCBP2	MYC binding protein 2	AK000968	-1.44	0.009762
13q22.2	UCHL3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	NM_006002	-2.06	0.000268
13q22.3	FLJ30046	hypothetical protein FLJ30046	AV730849	-1.54	0.039054
13q31.2-q32.3	STK24	serine/threonine kinase 24 (STE20 homolog, yeast)	AA586774	-1.54	0.014161
13q32	GPC6	Glypican 6	AF339813	-1.44	0.019059
13q32.2	KPNB3	RAN binding protein 5	BC000947	-1.55	0.038613
13q32.3	PHGDHL1	phosphoglycerate dehydrogenase like 1	BC004528	-2.23	0.039906
13q32.3	LOC87769	hypothetical protein BC004360	BC001077	-1.85	0.011142
13q32-q33	TPP2	tripeptidyl peptidase II	BC024905	-2.04	0.030217
13q33.2	DAOA	D-amino acid oxidase activator	AY170470	-1.68	0.049467
13q34	ANKRD10	ankyrin repeat domain 10	W01990	-1.6	0.008115
13q34	DKFZp451A211	DKFZp451A211 protein	BC036906	3.82	0.002703
13q34	LOC283501	hypothetical protein LOC283501	AA921835	-1.76	0.010591
16q12	VPS35	vacuolar protein sorting 35 (yeast)	NM_018206	-1.62	0.038385
16q12.1	PAPD5	PAP associated domain containing 5	AU146704	-1.41	0.006215
16q12.1	SLIC1	Selectin ligand interactor cytoplasmic-1	AI081246	-1.82	0.000412
16q12.2	FTO	fatso	U79260	-1.84	0.001739
16q12.2	CHD9	chromodomain helicase DNA binding protein 9	BF668950	-1.86	0.010684
16q12.2	FLJ20481	hypothetical protein FLJ20481	AU154202	-2.37	0.003824
16q12-q13	PHKB	phosphorylase kinase, beta	NM_000293	-1.73	0.026179
16q12-q13	ADCY7	adenylate cyclase 7	NM_001114	-1.87	0.011336
16q12-q13	CYLD	Cylindromatosis (turban tumor syndrome)	AA555096	-1.78	0.035967
16q13	NIP30	NEFA-interacting nuclear protein NIP30	AF271785	-1.35	0.002691
16q13	KIAA1972	KIAA1972 protein	AI206557	-1.53	0.027676
16q13	NOD27	nucleotide-binding oligomerization domains 27	AA005023	-2.06	0.020074
16q13-q21	CIAPIN1	cytokine induced apoptosis inhibitor 1	BC036316	1.74	0.001253
16q13-q21	POLR2C	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	AI192781	-1.44	0.004153
16q21	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial	NM_002080	-1.38	0.022146
16q21	CETP	cholesteryl ester transfer protein, plasma	NM_000078	-1.44	0.000498
16q21	HSF4	heat shock transcription factor 4	AB029348	-1.56	0.006659
16q21	FLJ21148	hypothetical protein FLJ21148	NM_024860	-1.79	0.018971
16q21	BBS2	Bardet-Biedl syndrome 2	AF342736	-1.65	0.010482
16q21-q23	NOL3	nucleolar protein 3 (apoptosis repressor with CARD domain)	AF064599	-1.29	0.003803
16q22	FHOD1	formin homology 2 domain containing 1	NM_013241	-1.48	0.031114
16q22.1	CKLFSF3	chemokine-like factor super family 3	AY166714	-1.32	0.006857
16q22.1	DDX19B	DEAD (Asp-Glu-Ala-As) box polypeptide 19	AL553254	-1.54	0.000045
16q22.1	TERF2	telomeric repeat binding factor 2	NM_005652	-1.43	0.043545
16q22.1	WWP2	WW domain containing E3 ubiquitin protein ligase 2	AI668780	-1.29	0.006656
16q22.1	FAM65A	family with sequence similarity 65, member A	NM_024519	-1.49	0.001945
16q22.1	RBM35B	RNA binding motif protein 35B	NM_024939	-1.43	0.00186
16q22.1	DPEP2	dipeptidase 2	NM_022355	-1.41	0.003283
16q22.1	DUS2L	dihydrouridine synthase 2-like (SMM1, S. cerevisiae)	NM_017803	-1.52	0.000476
16q22.1	PDF	peptide deformylase-like protein	NM_022341	-1.59	0.003549
16q22.1	TSNAXIP1	translin-associated factor X interacting protein 1	AK027245	-1.35	0.023222
16q22.1	CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	AL519818	-1.5	0.009999
16q22.1	CKLFSF4	chemokine-like factor super family 4	AA191708	-1.36	0.006593
16q22.1	LOC283852	hypothetical protein LOC283852	AA649048	-1.32	0.021427
16q22.1	VPS4A	Vacuolar protein sorting 4A (yeast)	AI949559	-1.35	0.030069
16q22.1	SLC7A6OS	solute carrier family 7, member 6 opposite strand	AK023353	-1.34	0.015894
16q22.1	DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	AC_004531	-1.62	0.001129
16q22.2	NFATC3	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	U85430	-1.39	0.007404
16q22.2	TXNL4B	thioredoxin-like 4B	NM_017853	-2.04	0.020717
16q22.2	LOC146517	hypothetical protein LOC146517	AW299653	-1.78	0.047876
16q22.3-q24.1	GABARAPL2	GABA(A) receptor-associated protein-like 2	AB030710	-1.62	0.004156
