Representative public ID	Gene title	Gene ontology (biological process)	Deleted YY1 cells vs SaOs-2 cells (SLR)	Deleted YY1 cells vs SaOs-2 cells (fold change)
NM_005520	Leptin receptor	Cell adhesion	2.6 D	?6.1
NM_004500	C-type lectin domain family 4, member A	Cell adhesion	4.9 D	?29.9
NM_005112	Chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	Cell adhesion	3.6 D	?12.1
NM_003564	Catenin (cadherin-associated protein), ?-like 1	Cell adhesion	2.7 D	?6.5
NM_005871	Integrin, ?6	Cell adhesion	4.1 D	?17.1
NM_000284	Collagen, type IV, ?3 (Goodpasture antigen) binding protein	Cell adhesion	2.7 D	?6.5
NM_002869	Collagen, type VI, ?1	Cell adhesion	2.6 D	?6.1
NM_003769	Collagen, type XXI, ?1	Cell adhesion	4.3 D	?19.7
NM_003633	Fibronectin type III domain containing 3A	Cell adhesion	2.3 D	?4.9
NM_003795	Lectin, galactoside-binding, soluble, 8 (galectin 8)	Cell adhesion	4.1 D	?17.1
NM_006311	Lectin, mannose-binding, 1	Cell adhesion	2.8 D	?7.0
NM_001509	Laminin, ?1	Cell adhesion	2.0 I	4
NR_002453	Collagen, type XIV, ?1 (undulin)	Cell adhesion	2.6 I	6.1
NM_001841	Integrin-linked kinase	Cell adhesion	1.0 I	2
NM_015478	Cadherin 10, type 2 (T2-cadherin)	Cell adhesion	1.0 I	2
NM_002913	Cadherin 13, H-cadherin (heart)	Cell adhesion	2.9 I	7.5
NM_003465	Cadherin 7, type 2	Cell adhesion	3.7 I	13
NM_005865	C-type lectin domain family 11, member A	Cell adhesion	3.7 I	13
NM_007028	IL 1 receptor-like 2	Cell adhesion	3.8 I	13.9
NM_003299	Heat shock protein 90 kDa ? (GRP94), member 1	Ipoxy	2.2 D	?4.6
NM_006251	Protein kinase, AMP-activated, ? 1 catalytic subunit	Ipoxy	2.3 D	?4.9
NM_001530	Hypoxia-inducible factor 1, ? subunit (basic helix-loop-helix transcription factor)	Ipoxy	2.2 D	?4.6
NM_018046	Angiogenic factor with G patch and FHA domains 1	Angiogenesis	2.8 D	?7.0
NM_016442	Type 1 tumor necrosis factor receptor (TNFR) shedding aminopeptidase regulator	Angiogenesis	4.1 D	?17.1
NM_057175	NMDA receptor regulated 1	Angiogenesis	2.6 D	?6.1
NM_001024628	Neuropilin 1	Angiogenesis	3.5 D	?11.3
NM_002210	Integrin ?V	Angiogenesis	3.3 D	?9.8
NM_001006600	erbb2 interacting protein	Receptor	2.4 D	?5.3
NM_014597	Estrogen receptor binding protein	Receptor	2.4 D	?5.3
NM_018010	Estrogen-related receptor ?-like 1	Receptor	2.5 D	?5.7
NM_000043	Fas (TNFR superfamily, member 6)	Receptor	3.4 D	?10.6
NM_030794	Tudor domain containing 3	Receptor	2.2 D	?4.6
NM_003299	Tumor rejection antigen (gp96) 1	Receptor	2.5 D	?5.7
NM_006765	Tumor suppressor candidate 3	Receptor	2.8 D	?7.0
NM_001401	Endothelial differentiation, lysophosphatidic acid G protein–coupled receptor, 2	Receptor	2.0 D	?4.0
NM_005233	EPH receptor A3	Receptor	2.2 D	?4.6
NM_001963	Epidermal growth factor (?-urogastrone)	Receptor	3.5 D	?11.3
NM_005228	Epidermal growth factor receptor [erythroblastic leukemia viral (v-erb-b) oncogene homologue, avian]	Receptor	2.0 D	?4.0
NM_001423	Epithelial membrane protein 1	Receptor	4.2 I	18.4
NM_002353	Tumor-associated calcium signal transducer 2	Receptor	3.8 I	13.9
NM_002210	Integrin, ?V (vitronectin receptor, ? polypeptide, antigen CD51)	Signal transduction	3.3 D	?9.8
NM_001031812	Casein kinase, ?3	Signal transduction	2.9 D	?7.5
NM_005813	Protein kinase D3	Signal transduction	2.4 D	?5.4
NM_004114	FGF-13	Signal transduction	2.2 D	?4.6
NM_000885	Integrin, ?4 (antigen CD49D, ?4 subunit of VLA-4 receptor)	Signal transduction	2.0 D	?4.0
NM_022740	Homeodomain interacting protein kinase 2	Signal transduction	2.4 D	?5.3
NM_006391	Importin 7	Signal transduction	1.7 D	?3.3
NM_000245	Met proto-oncogene (hepatocyte growth factor receptor)	Signal transduction	5.4 D	?42.2
NM_004447	Epidermal growth factor receptor pathway substrate 8	Signal transduction	2.3 D	?4.9
NM_003999	Oncostatin M receptor	Signal transduction	3.4 D	?10.6
NM_012115	CASP8-associated protein 2	Signal transduction	2.8 D	?7.0
NM_006256	Protein kinase N2	Signal transduction	3.5 D	?11.3
NM_014011	Suppressor of cytokine signaling 5	Signal transduction	1.6 D	?3.0
NM_018098	Epithelial cell transforming sequence 2 oncogene	Signal transduction	2.6 D	?6.1
NM_012419	Regulator of G protein signaling 17	Signal transduction	2.0 D	?4.0
NM_178169	RAS association (RALGDS/AF-6) domain family 3	Signal transduction	2.4 D	?5.3
NM_002731	Protein kinase, cAMP-dependent, catalytic, ?	Signal transduction	2.5 D	?5.7
NM_000623	Bradykinin receptor B2	Signal transduction	2.4 D	?5.3
NM_001146	Angiopoietin 1	Signal transduction	3.0 D	?8.0
NM_002546	TNFR superfamily, member 11B (osteoprotegerin)	Signal transduction	2.3 D	?4.9
NM_013371	IL-19	Signal transduction	3.0 I	8
NM_003541	H4 histone, family 2	Signal transduction	2.1 I	4.1
NM_014326	Death-associated protein kinase 2	Signal transduction	2.6 I	6.1
NM_002353	Tumor-associated calcium signal transducer 2	Signal transduction	3.8 I	13.9
NM_000758	Colony-stimulating factor 2 (granulocyte-macrophage)	Signal transduction	3.6 I	12.1
NM_002507	Nerve growth factor receptor (TNFR superfamily, member 16)	Signal transduction	5.2 I	36.8
