Accession no.	Gene	Description	WT-vehvs.WT-P4	WT-P4vs.PRKO-P4	WT-P4vs.PRKOveh	Functional Category
X58628	Klk13	Klk13	1.84	1.941	1.91	Proteolysis
M13500	Klk5	Klk5	2.85	3.13	2.9	Proteolysis
M81445	Gjb2	Gap junction membrane channel protein ?2	?2.17	?2.73	?3.33	Signal transduction
AW061234		Expressed sequence AW061234	?1.78	?1.56	?1.64	Signal transduction
AW125506		Wayne State University 176, expressed	?1.58	?1.43	?1.58	Signal transduction
AI846023	Arl7	ADP-ribosylation factor-like 7	?1.56	?1.83	?1.91	Signal transduction
X76291	Ihh	Indian hedgehog	1.43	1.58	1.5	Signal transduction
AI840971	Brp17	Brain protein 17	1.46	1.5	1.47	Signal transduction
Y09085	HIF1A	Hypoxia-inducible factor 1, ?-subunit	1.52	1.53	1.58	Signal transduction
AW011791	Map17	Membrane-associated protein 17	1.61	1.8	1.94	Signal transduction
AI847054	Ppap2b	Phosphatidic acid phosphatase type 2B	1.7	1.68	2.01	Signal transduction
AW214298		Hairy/enhancer of split related	1.72	2.31	2.04	Signal transduction
AI152966	C1qdc1	C1q domain containing 1	1.81	2.07	1.92	Signal transduction
X51397	Myd88	Myeloid differentiation primary response gene 88	1.84	2.63	2.55	Signal transduction
AA673486	Bmp2k	BMP2-inducible kinase	2.31	2.24	2.12	Signal transduction
Z29532		Follistatin	2.44	2.29	2.14	Signal transduction
U65747	II13ra2	IL-13 receptor, ?2	2.86	2.77	3.19	Signal transduction
L41352	Areg	Amphiregulin	3.1	3.27	3.04	Signal transduction
X98471	Emp1	Epithelial membrane protein 1	?1.39	?1.37	?1.45	Signal transduction
D89664	Gnmt	Glycine N-methyltransferase	1.46	1.42	1.49	Signal transduction
AW047762	Zdhhc3	Zinc finger, DHHC domain containing 3	1.67	1.55	1.66	Signal transduction
J02700	Enpp1	Ectonucleotide pyrophosphatase/phosphodiesterase 1	2	2.02	2	Signal transduction
AA710564	Npl	N-Acetylneuraminate pyruvate lyase	2.16	3.96	4.01	Signal transduction
X57437	Hdc	Histidine decarboxylase	1.57	4.46	4.25	Signal transduction
X99915	Hmga2	High mobility group AT-hook 2	?2.14	?2.13	?2.17	Transcriptional regulation
AW123564	Hod	Homeobox only domain	1.38	1.65	1.68	Transcriptional regulation
AB000096	Gata2	GATA binding protein 2	1.51	1.71	1.84	Transcriptional regulation
AF053367	Pdlim1	PDZ and LIM domain 1 (elfin)	1.57	1.48	1.5	Transcriptional regulation
Y15163	Cited2	Cbp/p300-interacting transactivator	2.32	2.12	2	Transcriptional regulation
U83148	Nfil3	Nuclear factor, IL-3, regulated	2.49	3.16	2.73	Transcriptional regulation
AW049351	Ank	Progressive ankylosis	1.44	1.48	1.61	Transcriptional regulation
AA874490	Mcoln2	Mucolipin 2	1.44	1.86	1.69	Transcriptional regulation
AF033017		Potassium channel, subfamily K, member 1	1.47	1.51	1.6	Transcriptional regulation
AI854156	Slc2a3	Solute carrier family 2, member 3	1.48	1.84	1.87	Transcriptional regulation
AI843029	Atp6v1b2	ATPase, H+ transporting, V1 subunit B, isoform 2	1.49	1.43	1.43	Transcriptional regulation
AI849070	Stx18	Syntaxin 18	1.49	1.65	1.65	Transcriptional regulation
AV348528	Atp1b1	ATPase, Na+/K+ transporting, ?1 polypeptide	1.78	2.71	2.73	Transcriptional regulation
AI047972	Tm4sf3	Transmembrane 4 superfamily member 3	?2.02	?1.83	?2.26	Unspecified
U30244	Efnb2	Ephrin B2	?1.90	?2.11	?2.44	Unspecified
AW061330	Emb	Embigin	?1.50	?1.57	?1.55	Unspecified
AJ011565	Obrgrp	Leptin receptor gene-related protein	1.37	1.63	1.54	Unspecified
AW047919	Lmo7	LIM domain only 7	1.42	1.61	1.56	Unspecified
AI180784		Expressed sequence AA415817	1.47	1.55	1.47	Unspecified
Z13969	Ckrnt1	Creatine kinase, mitochondrial 1, ubiquitous	1.59	1.84	1.74	Unspecified
U90535		Flavin-containing monooxygenase 5	1.73	1.69	1.65	Unspecified
AW122677	Isg20	Interferon-stimulated protein	1.83	1.84	1.8	Unspecified
AW212475		RIKEN cDNA 1300002F13 gene	2	1.78	2.19	Unspecified
AI854331		RIKEN cDNA A030007L17 gene	2.25	2.74	2.66	Unspecified
