GenBank Acc. no.	Gene symbol	Gene description	Gr. IV: Gr. I Ratio	P	Gr. IV: Gr. II Ratio	P	Gr. IV: N.B. Ratio	P	Function
M91670	E2-EPF	Ubiquitin carrier protein	2.5	0	1.5	0.308	1.5	0.282	Protein degradation
M77349	TGFBI	Transforming growth factor, -induced, Mr68,000	2.7	0.001	4.1	0.001	14.7	0	ECM or ECM-associated proteins
X78565	HXB	Hexabrachion (tenascin C, cytotactin)	2.3	0	1.9	0.068	9.2	0	ECM or ECM-associated proteins
U48959	MYLK	Myosin, light polypeptide kinase	2.8	0.002	2.2	0.219	1	0.693	Cytoskeleton and cytoskeletal organization
U47634	TUBB4	Tubulin, beta, 4	2.3	0.001	1.1	0.809	0.5	0.009	Cytoskeleton and cytoskeletal organization
M61764	TUBG1	Tubulin, gamma 1	2.2	0.006	1.3	0.901	1.5	0.494	Cytoskeleton and cytoskeletal organization
M83216	CALD1	Caldesmon 1	2.1	0.003	2.4	0.087	3.6	0	Cytoskeleton and cytoskeletal organization
X53416	FLNA	Filamin A,  (actin-binding protein-280)	2	0.002	4.2	0.004	9.4	0	Cytoskeleton and cytoskeletal organization
L33930	CD24	CD24 antigen	2.9	0	1.3	0.593	2.2	0.178	Cell adhesion/motility
M30257	VCAM1	Vascular cell adhesion molecule 1	2.4	0.002	1.5	0.277	3.3	0.002	Cell adhesion/motility
Y00339	CA2	Carbonic anhydrase II	4.5	0	4.5	0.001	1.5	0.581	Acid-base homeostasis
L37936	TSFM	Ts translation elongation factor	2.1	0.007	1.7	0.397	2.3	0.021	Mitochondrial proteins
U28386	KPNA2	Karyopherin  2 (RAG cohort 1, importin  1)	2.3	0	2.2	0.004	2.1	0.003	Nuclear transport
D78611	MEST	Mesoderm specific transcript (mouse) homolog	2.1	0.003	2.2	0.043	4.2	0	Unknown function
