DAVIDID	EG	logFC_EG	P.Value_EG	adj.P.Val_EG	ENSID	logFC_ENS	P.Value_ENS	adj.P.Val_ENS	RSID	logFC_RS	P.Value_RS	adj.P.Val_RS	GeneName
153561	85270	1.739740805	2.22E-07	1.09E-05	ENSRNOG00000014973	1.730103397	2.39E-07	1.13E-05	NM_053508	1.722977905	2.23E-07	1.13E-05	TEKTIN 1
161798	171341	1.727148575	1.11E-06	3.35E-05	ENSRNOG00000007743	1.712262203	9.80E-07	3.13E-05	NM_134349	1.731115466	1.05E-06	3.29E-05	MICROSOMAL GLUTATHIONE S-TRANSFERASE 1
201771	29345	1.726409072	6.66E-07	2.43E-05	ENSRNOG00000016831	1.713284155	4.40E-07	1.79E-05	NM_017173	0.917980206	1.76E-05	0.000240641	SERINE (OR CYSTEINE) PROTEINASE INHIBITOR, CLADE H, MEMBER 1
165328	83470	1.703903968	1.56E-09	3.70E-07	ENSRNOG00000010890	1.551415347	5.17E-09	8.19E-07	XM_573814	1.661774069	7.55E-10	2.50E-07	BONE MORPHOGENETIC PROTEIN 1
161574	293820	1.682641329	5.69E-07	2.14E-05	ENSRNOG00000013971	1.657421085	3.67E-07	1.58E-05	NM_198738	1.704755637	5.16E-07	2.00E-05	PHOSPHOSERINE AMINOTRANSFERASE 1
161578	81809	1.68042462	4.60E-08	3.45E-06	ENSRNOG00000002418	1.668414705	3.11E-08	2.64E-06	NM_031131	1.68877442	9.47E-08	6.39E-06	TRANSFORMING GROWTH FACTOR, BETA 2
161534	29740	1.663080686	2.46E-06	5.76E-05	ENSRNOG00000008843	1.650095139	1.67E-06	4.59E-05	NM_017306	1.782072789	1.22E-06	3.67E-05	DODECENOYL-COENZYME A DELTA ISOMERASE
151318	117549	1.659683345	8.48E-08	5.45E-06	ENSRNOG00000002524	1.698877809	4.32E-08	3.42E-06	NM_057201	1.605804086	1.06E-07	6.93E-06	G PROTEIN-COUPLED RECEPTOR 37
161129	81748	1.65810356	1.61E-07	8.76E-06	ENSRNOG00000027520	1.654399634	7.02E-08	4.86E-06	XM_343776	1.71242827	1.14E-07	7.20E-06	PLASTIN 3 (T-ISOFORM)
161390	24212	1.642965159	2.85E-05	0.000342068	ENSRNOG00000007290	1.632744009	2.11E-05	0.000279618	NM_012505	1.644283044	2.90E-05	0.0003569	ATPASE, NA+/K+ TRANSPORTING, ALPHA 2 POLYPEPTIDE
202307	83727	1.641837507	7.42E-07	2.66E-05	ENSRNOG00000007302	1.680354917	3.79E-07	1.60E-05	NM_031825	1.322999586	4.94E-06	9.54E-05	FIBRILLIN 1
202222	81708	1.630260389	1.14E-08	1.50E-06	ENSRNOG00000011419	1.664707313	6.04E-09	9.37E-07	NM_031057	1.430359999	1.01E-08	1.50E-06	ALDEHYDE DEHYDROGENASE FAMILY 6, SUBFAMILY A1
166460	24423	1.589051718	3.38E-08	2.85E-06	ENSRNOG00000029726	1.577149481	4.03E-08	3.33E-06	NM_017014	1.576430591	3.16E-08	3.03E-06	GLUTATHIONE S-TRANSFERASE, MU 1
199467	301575	1.585727919	2.39E-07	1.14E-05	ENSRNOG00000017359	1.562362282	1.56E-07	8.49E-06	NM_001009674	1.604662534	2.02E-07	1.06E-05	INTEGRAL MEMBRANE PROTEIN 2C
168605	361378	1.563379987	1.20E-09	3.37E-07	ENSRNOG00000023910	1.554536686	1.11E-09	3.12E-07	NM_199404	1.444977681	1.57E-10	8.28E-08	MANNOSIDASE 2, ALPHA B1
166458	303772	1.551623829	1.15E-09	3.37E-07	ENSRNOG00000000245	1.573828762	6.21E-10	2.32E-07	NM_198760	1.524029644	2.81E-09	6.26E-07	SOLUTE CARRIER FAMILY 16 (MONOCARBOXYLIC ACID TRANSPORTERS), MEMBER 6
203305	314683	1.551244567	1.72E-08	1.84E-06	ENSRNOG00000007587	1.536495098	1.60E-08	1.70E-06	NM_001017458	1.559563951	2.00E-08	2.34E-06	SIMILAR TO RIKEN CDNA E430026E19
203288	25584	1.533610122	1.64E-05	0.000229908	ENSRNOG00000011800	1.528038713	1.27E-05	0.000198542	NM_013057	1.740534503	1.09E-06	3.36E-05	COAGULATION FACTOR III
151552	315714	1.50201133	3.66E-08	2.97E-06	ENSRNOG00000008680	1.503857574	3.11E-08	2.64E-06	NM_001012125	1.557729069	6.40E-09	1.03E-06	LYSYL OXIDASE-LIKE 1
161117	83720	1.498103221	3.06E-07	1.33E-05	ENSRNOG00000030954	1.478694426	1.89E-07	9.49E-06	NM_031819	1.449566287	1.94E-07	1.03E-05	FAT TUMOR SUPPRESSOR HOMOLOG (DROSOPHILA)
166205	316742	1.497402523	1.66E-06	4.48E-05	ENSRNOG00000015906	1.492554713	1.04E-06	3.24E-05	NM_001015020	1.495782157	2.02E-06	5.20E-05	TG INTERACTING FACTOR
166876	64300	1.494629987	1.56E-07	8.60E-06	ENSRNOG00000005602	1.486539963	1.16E-07	6.94E-06	NM_022508	1.567114072	2.20E-10	1.08E-07	METHYLENETETRAHYDROFOLATE DEHYDROGENASE (NADP+ DEPENDENT), METHENYLTETRAHYDROFOLATE CYCLOHYDROLASE, FORMYLTETRAHYDROFOLATE SYNTHASE
204047	58835	1.493939339	4.44E-05	0.000475999	ENSRNOG00000019328	1.476903624	3.55E-05	0.000415369	NM_031620	1.596323768	3.33E-05	0.000390942	3-PHOSPHOGLYCERATE DEHYDROGENASE
204530	25728	1.480325021	2.44E-05	0.000309074	ENSRNOG00000018454	1.415898435	1.94E-05	0.000265046	NM_138828	1.451378782	2.93E-05	0.000357272	APOLIPOPROTEIN E
161245	29318	1.45551349	2.26E-07	1.10E-05	ENSRNOG00000001239	1.440455859	1.43E-07	7.86E-06	NM_024131	1.481413212	2.10E-07	1.08E-05	D-DOPACHROME TAUTOMERASE
203815	24223	1.429967354	3.57E-08	2.97E-06	ENSRNOG00000017123	1.415646124	2.04E-08	2.03E-06	NM_012512	1.358548003	4.26E-08	3.76E-06	BETA-2 MICROGLOBULIN
198150	25612	1.393933502	1.03E-08	1.43E-06	ENSRNOG00000007546	1.377860305	7.86E-09	1.15E-06	NM_013079	1.392260932	1.04E-08	1.50E-06	ASPARAGINE SYNTHETASE
164492	29186	1.381078071	1.31E-06	3.77E-05	ENSRNOG00000007650	1.700448605	1.18E-07	6.95E-06	NM_017125	1.684312169	1.21E-07	7.55E-06	CD63 ANTIGEN
155338	24791	1.374924835	1.48E-07	8.40E-06	ENSRNOG00000012840	1.35957828	9.99E-08	6.44E-06	NM_012656	1.388098347	3.78E-07	1.59E-05	SECRETED ACIDIC CYSTEINE RICH GLYCOPROTEIN
164458	84407	1.368756575	6.97E-08	4.77E-06	ENSRNOG00000013481	1.355435126	6.43E-08	4.75E-06	XM_341639	1.377846682	6.52E-08	4.85E-06	CADHERIN 11
199852	64315	1.36417638	1.80E-08	1.86E-06	ENSRNOG00000019215	1.349856591	8.99E-09	1.20E-06	NM_022523	1.365860804	2.02E-08	2.34E-06	CD151 ANTIGEN
165555	171413	1.35847343	9.18E-07	2.99E-05	ENSRNOG00000007568	1.365964216	5.59E-07	2.11E-05	NM_134392	1.355348739	7.53E-07	2.60E-05	SPERMATOGENESIS ASSOCIATED 6
163511	54319	1.353662558	7.38E-09	1.12E-06	ENSRNOG00000018524	1.331254419	1.04E-08	1.23E-06	NM_019357	1.365054422	4.40E-09	8.81E-07	VILLIN 2
200986	25314	1.347389045	1.67E-05	0.000233133	ENSRNOG00000008676	1.379736453	6.51E-06	0.00012393	NM_012843	1.071102446	3.86E-05	0.000431612	EPITHELIAL MEMBRANE PROTEIN 1
206886	300901	1.335749987	1.35E-05	0.000197098	ENSRNOG00000030183	1.32580863	1.04E-05	0.000173755	NM_175869	1.313344071	3.33E-05	0.000390534	PROCOLLAGEN LYSINE, 2-OXOGLUTARATE 5-DIOXYGENASE 2
150985	81634	1.326465566	1.51E-06	4.20E-05	ENSRNOG00000004309	1.313009782	1.05E-06	3.26E-05	NM_031005	1.11912407	6.28E-05	0.00062657	ACTININ, ALPHA 1
163855	27080	1.274108955	1.49E-06	4.18E-05	ENSRNOG00000008927	1.265668594	9.92E-07	3.14E-05	NM_013221	1.273514135	1.77E-06	4.77E-05	HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTOR 1
163714	25434	1.272707904	8.00E-08	5.22E-06	ENSRNOG00000015093	1.241637379	1.09E-07	6.80E-06	NM_012946	1.291617171	6.66E-08	4.92E-06	SPARC-LIKE 1 (MAST9, HEVIN)
169054	365548	1.270267397	1.24E-08	1.51E-06	ENSRNOG00000001223	1.258170098	8.26E-09	1.16E-06	NM_001013238	1.276229017	1.55E-08	2.06E-06	PITUITARY TUMOR-TRANSFORMING 1 INTERACTING PROTEIN
166087	310378	1.259076318	2.02E-06	5.14E-05	ENSRNOG00000026842	1.248891219	1.48E-06	4.19E-05	NM_001013157	1.25954646	2.31E-06	5.73E-05	NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE (MAPPED)
163305	290923	1.250607647	5.07E-06	9.84E-05	ENSRNOG00000000108	1.241219633	3.34E-06	7.70E-05	NM_001031641	1.264229634	2.84E-06	6.62E-05	ASPARTYLGLUCOSAMINIDASE
199812	25041	1.250516563	1.49E-06	4.18E-05	ENSRNOG00000001873	1.287235032	1.08E-06	3.31E-05	NM_012721	1.223264441	1.18E-06	3.57E-05	PURINERGIC RECEPTOR P2X-LIKE 1, ORPHAN RECEPTOR
165063	300726	1.241177941	9.61E-07	3.08E-05	ENSRNOG00000015233	1.239257273	5.23E-07	2.00E-05	NM_001009668	1.220427113	1.23E-06	3.68E-05	ELECTRON TRANSFERRING FLAVOPROTEIN, ALPHA POLYPEPTIDE
161751	64322	1.239944878	1.14E-07	6.70E-06	ENSRNOG00000010747	1.233302893	6.90E-08	4.86E-06	NM_022526	0.929056236	8.68E-06	0.000139213	DEATH-ASSOCIATED PROTEIN
206605	89818	1.220355282	1.05E-05	0.000161372	ENSRNOG00000012659	1.25547987	1.13E-05	0.000182712	NM_053555	1.12031164	9.55E-06	0.000148988	VESICLE-ASSOCIATED MEMBRANE PROTEIN 5
165524	29569	1.218410254	2.36E-08	2.28E-06	ENSRNOG00000025001	1.197056864	2.10E-08	2.04E-06	NM_019237	1.22403324	2.21E-08	2.48E-06	PROCOLLAGEN C-PROTEINASE ENHANCER PROTEIN
165480	25165	1.204933486	1.10E-05	0.00016897	ENSRNOG00000004268	1.199698941	6.67E-06	0.000126424	NM_019620	1.202108943	1.55E-05	0.000215401	ZINC FINGER PROTEIN 386 (KRUPPEL-LIKE)
161095	171160	1.200352633	5.01E-07	1.93E-05	ENSRNOG00000024689	1.209492603	4.94E-07	1.93E-05	NM_133621	1.123840274	5.88E-07	2.18E-05	HOMEOBOX ONLY DOMAIN
163981	24851	1.190881883	1.53E-05	0.000217588	ENSRNOG00000018184	1.19393081	1.05E-05	0.00017397	NM_001034070	1.622574005	6.31E-06	0.000113736	TROPOMYOSIN 1, ALPHA
204515	286908	1.189977512	2.46E-06	5.76E-05	ENSRNOG00000013653	1.163934071	1.61E-07	8.52E-06	NM_173125	0.984259639	7.64E-06	0.000129318	PDZ AND LIM DOMAIN 7
151324	78968	1.187817028	3.66E-08	2.97E-06	ENSRNOG00000003463	1.136439967	2.51E-08	2.24E-06	XM_213329	1.181499318	4.32E-08	3.76E-06	STEROL REGULATORY ELEMENT BINDING FACTOR 1
206848	85244	1.1858608	4.51E-07	1.76E-05	ENSRNOG00000010934	1.220660685	3.63E-07	1.58E-05	NM_053482	1.119025392	1.39E-07	8.46E-06	SPERM AUTOANTIGENIC PROTEIN 17
165451	295217	1.177579286	1.60E-08	1.78E-06	ENSRNOG00000013356	1.168460192	1.10E-08	1.29E-06	NM_001025648	1.182669985	1.43E-08	1.92E-06	SNAP-ASSOCIATED PROTEIN
201642	25425	1.164929777	2.80E-07	1.27E-05	ENSRNOG00000014064	1.15913888	2.11E-07	1.03E-05	NM_012939	1.022602537	9.00E-08	6.18E-06	CATHEPSIN H
205629	29175	1.163608835	1.00E-06	3.11E-05	ENSRNOG00000021155	1.16028026	8.44E-07	2.80E-05	NM_031560	1.154486439	1.31E-06	3.84E-05	CATHEPSIN K
161491	85272	1.163081549	1.09E-05	0.000167071	ENSRNOG00000007108	1.159922044	7.29E-06	0.000133786	XM_342591	1.152168158	1.60E-05	0.000221601	BONE MORPHOGENETIC PROTEIN 7
163628	54262	1.155020915	6.25E-06	0.000115004	ENSRNOG00000016675	1.146808722	4.41E-06	9.35E-05	NM_019314	1.150246083	7.48E-06	0.0001285	POTASSIUM INTERMEDIATE/SMALL CONDUCTANCE CALCIUM-ACTIVATED CHANNEL, SUBFAMILY N, MEMBER 2
166808	94172	1.130747738	4.94E-07	1.91E-05	ENSRNOG00000018170	1.123842805	3.82E-07	1.60E-05	NM_053580	1.095459183	3.60E-07	1.54E-05	SOLUTE CARRIER FAMILY 27 (FATTY ACID TRANSPORTER), MEMBER 1
160607	85490	1.129609306	1.45E-06	4.08E-05	ENSRNOG00000008749	1.692949693	9.80E-09	1.20E-06	NM_134452	0.903516853	4.07E-05	0.000447347	COLLAGEN, TYPE V, ALPHA 1
165396	84431	1.128709496	2.04E-06	5.15E-05	ENSRNOG00000010034	1.126716371	1.29E-06	3.78E-05	NM_053407	1.27663151	6.29E-08	4.81E-06	N-ACYLSPHINGOSINE AMIDOHYDROLASE 1
200548	81818	1.123269337	4.61E-08	3.45E-06	ENSRNOG00000018087	1.08477913	5.07E-08	3.93E-06	NM_031140	1.253450093	7.21E-08	5.10E-06	VIMENTIN
203133	25112	1.12004849	7.04E-08	4.77E-06	ENSRNOG00000005615	1.116564546	4.28E-08	3.42E-06	NM_024127	1.046261496	5.81E-07	2.17E-05	GROWTH ARREST AND DNA-DAMAGE-INDUCIBLE 45 ALPHA
151588	83628	1.113530989	1.38E-08	1.59E-06	ENSRNOG00000000047	1.118813511	9.68E-09	1.20E-06	NM_031797	1.1122626	1.81E-08	2.27E-06	KANGAI 1
202084	81632	1.108792762	2.50E-05	0.00031329	ENSRNOG00000002636	1.11716533	1.47E-05	0.000222373	NM_031003	1.081819552	8.55E-05	0.000777626	4-AMINOBUTYRATE AMINOTRANSFERASE
151128	54227	1.107851852	7.43E-05	0.000718428	ENSRNOG00000000991	1.124442989	4.37E-05	0.000480993	NM_019289	1.268635604	3.12E-05	0.000373281	ACTIN RELATED PROTEIN 2/3 COMPLEX, SUBUNIT 1B
166996	170842	1.102360538	1.70E-07	9.06E-06	ENSRNOG00000002828	1.08889175	2.63E-07	1.20E-05	NM_133317	1.100697008	1.56E-07	9.21E-06	TRANSDUCER OF ERBB2, 1
160565	94267	1.099182878	1.10E-07	6.61E-06	ENSRNOG00000009094	1.081330705	1.93E-07	9.64E-06	NM_053598	1.07722821	1.54E-07	9.15E-06	NUDIX (NUCLEOSIDE DIPHOSPHATE LINKED MOIETY X)-TYPE MOTIF 4
152907	361112	1.092254496	1.04E-06	3.21E-05	ENSRNOG00000020078	1.09359583	8.37E-07	2.79E-05	NM_001029920	1.074209568	1.25E-06	3.71E-05	SIMILAR TO HYPOTHETICAL PROTEIN FLJ31737
164534	171396	1.088456381	4.52E-06	9.05E-05	ENSRNOG00000009037	1.081036247	6.38E-06	0.000121746	NM_134378	1.090698717	3.89E-06	8.30E-05	SULFATASE 1
199634	297123	1.083202444	2.85E-07	1.28E-05	ENSRNOG00000005478	1.071556249	1.83E-07	9.37E-06	NM_001007646	1.081553088	3.45E-07	1.53E-05	FK506 BINDING PROTEIN 9
166505	298598	1.081623884	3.38E-06	7.36E-05	ENSRNOG00000008427	1.100063737	1.27E-06	3.75E-05	NM_199096	1.066711608	4.93E-06	9.54E-05	UNKNOWN (PROTEIN FOR MGC:72598)
200256	56759	1.066544724	1.09E-07	6.61E-06	ENSRNOG00000025625	1.061937043	1.26E-07	7.32E-06	NM_020082	1.044918695	1.62E-07	9.28E-06	RIBONUCLEASE, RNASE A FAMILY 4
201487	83534	1.063841631	9.37E-07	3.02E-05	ENSRNOG00000019212	1.061117233	5.24E-07	2.00E-05	NM_031357	1.061219838	1.24E-06	3.71E-05	CEROID-LIPOFUSCINOSIS, NEURONAL 2
159554	305880	1.063136694	5.30E-08	3.83E-06	ENSRNOG00000011592	1.056880365	3.02E-08	2.64E-06	NM_001037777	1.062127255	6.44E-08	4.85E-06	LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 10
161261	308794	1.062648236	9.81E-07	3.11E-05	ENSRNOG00000012301	1.09628463	9.43E-07	3.05E-05	XM_218852	1.027412543	3.22E-06	7.19E-05	SIMILAR TO RIKEN CDNA 1700026D08
163515	25429	1.058827155	1.17E-05	0.000176452	ENSRNOG00000009730	1.134550323	5.87E-06	0.000114909	XM_342218	0.993059271	2.40E-05	0.000310589	CYTOCHROME P450, FAMILY 7, SUBFAMILY B, POLYPEPTIDE 1
151108	25227	1.053872505	3.46E-05	0.000394318	ENSRNOG00000011150	1.108282711	1.82E-05	0.000253741	NM_033443	0.880594246	3.63E-05	0.000414323	ARYLSULFATASE B
163915	83684	1.047658416	2.89E-07	1.28E-05	ENSRNOG00000010694	1.044379385	2.16E-07	1.04E-05	NM_031807	1.049578321	3.15E-07	1.42E-05	TROPHOBLAST GLYCOPROTEIN
161867	24392	1.046099315	9.14E-06	0.000146735	ENSRNOG00000000805	1.072423765	5.79E-06	0.000114106	NM_012567	0.880636739	5.15E-05	0.000541003	GAP JUNCTION MEMBRANE CHANNEL PROTEIN ALPHA 1
202426	114488	1.045165267	2.43E-06	5.72E-05	ENSRNOG00000005387	1.022944898	2.31E-06	5.88E-05	XM_343773	1.060768387	2.40E-06	5.86E-05	RNA BINDING MOTIF PROTEIN 3
164000	60577	1.03890902	4.69E-08	3.48E-06	ENSRNOG00000002305	1.029478769	7.51E-08	5.10E-06	NM_031672	1.040795955	3.81E-08	3.45E-06	SOLUTE CARRIER FAMILY 15 (H+/PEPTIDE TRANSPORTER), MEMBER 2
151288	113956	1.024916844	8.15E-07	2.80E-05	ENSRNOG00000015809	1.057688557	6.01E-07	2.20E-05	NM_133299	1.004100978	1.17E-06	3.54E-05	PEROXISOMAL TRANS-2-ENOYL-COA REDUCTASE
164029	361818	1.022113934	3.14E-06	6.92E-05	ENSRNOG00000001168	1.072426063	2.30E-06	5.87E-05	NM_001012176	0.959413952	9.05E-06	0.000144022	TESTIS SPECIFIC GENE A2
201064	25308	1.019043307	3.61E-07	1.53E-05	ENSRNOG00000001201	1.003928445	4.20E-07	1.73E-05	NM_012838	1.064008699	1.07E-07	6.95E-06	CYSTATIN B
202976	288269	1.018127196	1.57E-06	4.29E-05	ENSRNOG00000021399	1.04236278	2.03E-06	5.36E-05	NM_001008288	1.178855397	4.13E-06	8.65E-05	SIMILAR TO RIKEN CDNA 1110004E09
