Unigene	Gene name	Description	Map	Av. tumor/av. Mucosa	P
Hs.488293	EGFRb	Epidermal growth factor receptor (erythroblastic leukemia  viral (v-erb-b) oncogene homologue, avian)	7p12	0.7427	0.0147
Hs.488293	EGFRb	Epidermal growth factor receptor (erythroblastic leukemia  viral (v-erb-b) oncogene homologue, avian)	7p12	1.1724	0.0933
Hs.488293	EGFRb	Epidermal growth factor receptor (erythroblastic leukemia  viral (v-erb-b) oncogene homologue, avian)	7p12	1.0370	0.5818
Hs.488293	EGFRb	Epidermal growth factor receptor (erythroblastic leukemia	7p12	1.0497	0.6724
Hs.488293	EGFRb	viral (v-erb-b) oncogene homologue, avian) Epidermal growth factor receptor (erythroblastic leukemia viral	7p12	1.0297	0.7796
Hs.249718	EIF4Eb	(v-erb-b) oncogene homologue, avian) Eukaryotic translation initiation factor 4E	4q21-q25	1.0917	0.5827
Hs.76753	ENG{	Endoglin (Osler-Rendu-Weber syndrome 1)	9q33-q34.1	1.7069	<1e-7
Hs.523329	EPHB2x	EPH receptor B2, transcript variant 1	1p36.1-p35	2.0082	0.0001
Hs.437008	EPHB4k	EPH receptor B4	7q22	0.8902	0.2954
Hs.446352	ERBB2b	v-erb-b2 erythroblastic leukemia viral oncogene homologue 2, neuro/glioblastoma-derived oncogene homologue (avian), transcript variant 1	17q21.1	1.179	0.1872
Hs.434059	ETV4	Ets variant gene 4 (E1A enhancer binding protein, E1AF)	17q21	2.0244	<1e-7
Hs.26770	FABP7	Fatty acid binding protein 7, brain	6q22-q23	0.5682	<1e-7
Hs.444552	FLJ12529	Pre-mRNA cleavage factor I, 59 kDa subunit	11q12.2	1.6352	<1e-7
Hs.126057	FRAT1b	Frequently rearranged in advanced T-cell lymphomas, transcript variant 1	10q24.1	1.0079	0.9435
Hs.94234	FZD1b	Frizzled homologue 1 (Drosophila)	7q21	0.8509	0.0884
Hs.292493	G22P1k	Thyroid autoantigen 70 kDa (Ku antigen)	22q13.2-q13.31	0.703	4.90E-05
Hs.292493	G22P1	Thyroid autoantigen 70 kDa (Ku antigen)	22q13.2-q13.31	1.8593	<1e-7
Hs.234896	GMNNb	Geminin, DNA replication inhibitor	6p22.2	1.5305	0.0003
Hs.58561	GPR87{	G protein–coupled receptor 87	3q24	0.5108	<1e-7
Hs.445733	GSK3B{	Glycogen synthase kinase 3 h	3q13.3	1.9103	<1e-7
Hs.116462	HNF4Ac	Hepatocyte nuclear factor 4, a, transcript variant 2	20q12-q13.1	1.7249	0.0002
Hs.530227	HSF1b	Heat shock transcription factor 1	8q24.3	0.8966	0.3072
Hs.487062	IGF2Rb	Insulin-like growth factor 2 receptor	6q26	0.9967	0.9816
Hs.522818	L1CAMb	L1 cell adhesion molecule, transcript variant 2	Xq28	1.1216	0.0601
Hs.125132	LEF1b	Lymphoid enhancer-binding factor 1	4q23-q25	1.164	0.4959
Hs.102267	LOX	Lysyl oxidase	5q23.2	1.6019	8.30E-06
Hs.485968	MAP3K7b	Mitogen-activated protein kinase kinase kinase 7, transcript variant D	6q16.1-q16.3	1.137	0.0983
Hs.507681	MAP3K7IP1	Mitogen-activated protein kinase kinase kinase 7 interacting protein 1	22q13.1	1.4271	0.0002
Hs.549053	MICAb	MHC class I polypeptide-related sequence A	6p21.3	1.2301	0.0131
Hs.80976	MKI67b	Antigen identified by monoclonal antibody Ki-67	10q25-qter	1.2428	0.0904
Hs.195364	MLH1x	MutL homologue 1, colon cancer, nonpolyposis type 2 (Escherichia coli)	3p21.3	0.8917	0.2921
Hs.83169	MMP1k	Matrix metalloproteinase 1 (interstitial collagenase)	11q22.3	0.9556	0.7422
Hs.156519	MSH2b	MutS homologue 2, colon cancer, nonpolyposis type 1 (E. coli)	2p22-p21	1.2519	0.1718
Hs.445052	MSH6b	MutS homologue 6 (E. coli)	2p16	0.7931	0.0074
Hs.202453	MYC{	v-myc myelocytomatosis viral oncogene homologue (avian)	8q24.12-q24.13	5.4948	<1e-7
Hs.25960	MYCNx	v-myc myelocytomatosis viral-related oncogene, neuroblastoma derived (avian)	2p24.1	0.5318	0.0001
Hs.208759	NLKb	Nemo-like kinase	17q11.2	1.3011	0.007
Hs.519452	NPM1{	Nucleophosmin (nucleolar phosphoprotein B23, numatrin)	5q35	3.7391	<1e-7
Hs.515524	NUCB1k	Nucleobindin 1	19q13.2-q13.4	1.942	<1e-7
Hs.147433	PCNA{	Proliferating cell nuclear antigen, transcript variant 2	20pter-p12	3.6092	<1e-7
Hs.549112	PHLDA1{	Pleckstrin homology-like domain, family A, member 1	12q15	2.1962	0.0001
Hs.77274	PLAU	Plasminogen activator, urokinase	10q24	2.0827	0.0001
Hs.485196	PPARDb	Peroxisome proliferative activated receptor, delta, transcript variant 1	6p21.2-p21.1	0.8934	0.0761
Hs.500466	PTENk	Phosphatase and tensin homologue (mutated in multiple advanced cancers 1)	10q23.3	0.6022	<1e-7
Hs.196384	PTGS2k	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1q25.2-q25.3	0.7627	0.271
Hs.43666	PTP4A3k	Protein tyrosine phosphatase type IVA, member 3, transcript variant 2	8q24.3	2.459	<1e-7
Hs.413812	RAC1b	Ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1), transcript variant Rac1	7p22	0.7153	0.0026
Hs.502875	RELAb	v-rel reticuloendotheliosis viral oncogene homologue A, nuclear factor of n light polypeptide gene enhancer in B cells 3, p65 (avian)	11q13	1.0933	0.1077
Hs.170019	RUNX3b	Runt-related transcription factor 3	1p36	0.9194	0.4741
Hs.514913	SERPINB2b	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	18q21.3	1.0481	0.8699
Hs.414795	SERPINE1b	Serine (or cysteine) proteinase inhibitor, clade E	7q21.3-q22	1.1902	0.2752
Hs.213424	SFRP1b	(nexin, plasminogen activator inhibitor type 1), member 1 Secreted frizzled-related protein 1	8p12-p11.1	0.799	0.1974
Hs.936	SLC34A1k	Solute carrier family 34 (sodium phosphate), member 1	5q35	0.9409	0.57
Hs.75862	SMAD4c	SMAD, mothers against DPP homologue 4 (Drosophila)	18q21.1	0.7643	0.0104
Hs.48029	SNAI1k	Snail homologue 1 (Drosophila)	20q13.1-q13.2	0.9292	0.1323
Hs.360174	SNAI2b	Snail homologue 2 (Drosophila)	8q11	0.7397	0.0165
Hs.2316	SOX9{	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	17q24.3-q25.1	1.6483	1.00E-07
Hs.524461	SP1c	Sp1 transcription factor	12q13.1	1.3991	0.0132
Hs.195659	SRCc	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene	20q12-q13	1.1934	0.0793
Hs.437058	STAT5Ac	homologue (avian), transcript variant 2 Signal transducer and activator of transcription 5A	17q11.2	0.303	<1e-7
Hs.23582	TACSTD2x	Tumor-associated calcium signal transducer 2	1p32-p31	1.526	0.0779
Hs.552578	TCF1b	Transcription factor 1, hepatic; LF-B1, hepatic nuclear	12q24.2	1.2816	0.0002
Hs.1103	TGFB1b	factor (HNF1), albumin proximal factor Transforming growth factor, h 1 (Camurati-Engelmann disease)	19q13.1	1.1986	0.0859
Hs.369397	TGFBI{	Transforming growth factor, h-induced, 68 kDa	5q31	4.8397	<1e-7
Hs.494622	TGFBR1k	Transforming growth factor, h receptor I (activin A receptor type II-like kinase, 53 kDa)	9q22	0.9566	0.791
Hs.82028	TGFBR2b	Transforming growth factor, h receptor II (70/80 kDa)	3p22	0.8568	0.2352
Hs.104839	TIMP2b	Tissue inhibitor of metalloproteinase 2	17q25	0.757	0.1109
Hs.104839	TIMP2k	Tissue inhibitor of metalloproteinase 2	17q25	1.7871	<1e-7
Hs.297324	TIMP3	Tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	22q12.3	0.7265	8.70E-06
Hs.197320	TLE1c	Transducin-like enhancer of split 1 [E(sp1) homologue, Drosophila]	9q21.32	1.5402	2.00E-07
Hs.197320	TLE1c	Transducin-like enhancer of split 1 [E(sp1) homologue, Drosophila]	9q21.32	0.4857	5.00E-07
Hs.408312	TP53b	Tumor protein p53 (Li-Fraumeni syndrome)	17p13.1	0.7269	0.0474
Hs.369762	TYMSk	Thymidylate synthetase	18p11.32	1.3628	0.0038
Hs.73793	VEGF	Vascular endothelial growth factor	6p12	1.9404	<1e-7
Hs.284122	WIF1c	WNT inhibitory factor 1	12q14.3	0.7679	0.0056
Hs.492974	WISP1x	WNT1 inducible signaling pathway protein 1, transcript variant 1	8q24.1-q24.3	1.0663	0.4602
Hs.388739	XRCC5b	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand break rejoining; Ku autoantigen, 80 kDa)	2q35	1.0716	0.5546
