Official Symbol	Accession number and gene name	ratio of expression in SPNP vs. normal pancreas	p value
POMZP3	NM_012230       POM (POM121 homolog, rat) and ZP3 fusion	0,07	9,91E-07
OR1E1	NM_003553       Olfactory receptor, family 1, subfamily E, member 1	0,07	5,50E-06
C3	NM_000064       Complement component 3	0,08	1,38E-06
RAMP1	NM_005855       Receptor (G protein-coupled) activity modifying protein 1	0,08	9,59E-07
SNX22	NM_024798       Sorting nexin 22	0,08	7,70E-06
FGL1	NM_004467       Fibrinogen-like 1	0,08	8,64E-06
MT1B	NM_005947       Metallothionein 1B	0,08	1,23E-06
MT1H	NM_005951       Metallothionein 1H	0,08	9,28E-07
SLC43A1	NM_003627       Solute carrier family 43, member 1	0,08	1,55E-05
MGST1	NM_145791       Microsomal glutathione S-transferase 1	0,08	4,12E-05
SOD2	NM_000636       Superoxide dismutase 2, mitochondrial	0,08	3,78E-06
XBP1	NM_005080       X-box binding protein 1	0,08	5,44E-06
C9	NM_001737       Complement component 9	0,08	5,84E-06
KRT18	NM_000224       Keratin 18	0,09	1,79E-05
TRIM54	NM_032546       Tripartite motif-containing 54	0,09	3,92E-05
NK4	NM_004221       Interleukin 32	0,09	2,45E-06
AQP8	NM_001169       Aquaporin 8	0,09	5,65E-06
GATM	NM_001482       Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	0,09	4,91E-05
SERPINA5	NM_000624       Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	0,09	6,53E-06
MT1X	NM_005952       Metallothionein 1X	0,09	1,28E-06
NTE	NM_006702       Patatin-like phospholipase domain containing 6	0,09	1,42E-06
SLC3A1	NM_000341       Solute carrier family 3, member 1	0,09	4,67E-06
MUC6	NM_005961       Mucin 6, oligomeric mucus/gel-forming	0,10	4,09E-07
CXCL12	NM_199168       Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	0,10	0,000214
ZNF206	NM_032805       Zinc finger and SCAN domain containing 10	0,10	7,92E-06
CLU	NM_203339       Clusterin	0,10	5,07E-05
CTRL	NM_001907       Chymotrypsin-like	0,10	4,61E-06
ZNF444	NM_018337       Zinc finger protein 444	0,10	1,19E-05
KRT7	NM_005556       Keratin 7	0,10	8,49E-06
ANPEP	NM_001150       Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	0,10	1,07E-05
CITED4	NM_133467       Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	0,11	4,67E-06
AZGP1	NM_001185       Alpha-2-glycoprotein 1, zinc-binding	0,11	0,000127
SGK	NM_005627       Serum/glucocorticoid regulated kinase 1	0,11	2,64E-05
KRT7	NM_005556       Keratin 7	0,11	3,43E-06
DGKZ	NM_003646       Diacylglycerol kinase, zeta 104kDa	0,11	2,84E-05
SPP1	NM_000582       Secreted phosphoprotein 1	0,11	0,000824
C1S	NM_001734       Complement component 1, s subcomponent	0,11	8,66E-05
IMPA2	NM_014214       Inositol(myo)-1(or 4)-monophosphatase 2	0,12	4,33E-05
SERPINA1	NM_000295       Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	0,12	8,81E-06
TPST2	NM_003595       Tyrosylprotein sulfotransferase 2	0,12	2,65E-05
C1orf24	NM_052966       Family with sequence similarity 129, member A	0,12	4,27E-06
MT1X	NM_005952       Metallothionein 1X	0,12	4,35E-06
C10orf107	NM_173554       Chromosome 10 open reading frame 107	0,12	6,09E-05
MGC17299	NM_144626       Transmembrane protein 125	0,12	9,01E-05
MGC14289	NM_080660       Zinc finger CCCH-type, antiviral 1-like	0,12	2,13E-05
LYZ	NM_000239       Lysozyme (renal amyloidosis)	0,13	2,57E-05
KLK2	NM_005551       Kallikrein-related peptidase 2	0,13	1,74E-05
MOAP1	NM_022151       Modulator of apoptosis 1	0,13	2,80E-05
TNFRSF12A	NM_016639       Tumor necrosis factor receptor superfamily, member 12A	0,13	4,57E-05
GNG4	NM_004485       Guanine nucleotide binding protein (G protein), gamma 4	0,13	4,19E-05
SERPING1	NM_000062       Serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	0,13	0,000137
GPR161	NM_007369       G protein-coupled receptor 161	0,13	3,47E-06
GMNN	NM_015895       Geminin, DNA replication inhibitor	0,13	4,44E-05
SCTR	NM_002980       Secretin receptor	0,14	1,61E-05
EIF4EBP1	NM_004095       Eukaryotic translation initiation factor 4E binding protein 1	0,14	1,40E-05
MGC11242	NM_024320       ATPase family, AAA domain containing 4	0,14	0,000118
CYB5	NM_001914       Cytochrome b5 type A (microsomal)	0,14	8,04E-05
KRT9	NM_000226       Keratin 9 (epidermolytic palmoplantar keratoderma)	0,14	3,68E-06
TMED6	NM_144676       Transmembrane emp24 protein transport domain containing 6	0,14	6,70E-05
GPHB5	NM_145171       Glycoprotein hormone beta 5	0,14	0,000104
EMILIN1	NM_007046       Elastin microfibril interfacer 1	0,14	7,79E-05
RNH1	NM_002939       Ribonuclease/angiogenin inhibitor 1	0,15	2,62E-05
SEL1L	NM_005065       Sel-1 suppressor of lin-12-like (C. elegans)	0,15	5,32E-05
KRTHB4	NM_033045       Keratin 84	0,15	4,87E-05
LFNG	NM_001040167    LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	0,15	0,000349
HPN	NM_182983       Hepsin (transmembrane protease, serine 1)	0,16	3,41E-05
RBPSUHL	NM_014276       Recombination signal binding protein for immunoglobulin kappa J region-like	0,17	3,83E-05
SLC39A5	NM_173596       Solute carrier family 39, member 5	0,18	2,05E-05
MT2A	NM_005953       Metallothionein 2A	0,18	0,000119
CHGA	NM_001275       Chromogranin A (parathyroid secretory protein 1)	0,18	0,000286
PRODH	NM_016335       Proline dehydrogenase (oxidase) 1	0,19	3,76E-05
PRSS21	NM_006799       Protease, serine, 21 (testisin)	0,19	0,000285
DUX4	NM_033178       Double homeobox, 4	0,19	2,26E-05
PTF1A	NM_178161       Pancreas specific transcription factor, 1a	0,19	1,73E-05
CDC42EP1	NM_152243       CDC42 effector protein (Rho GTPase binding) 1	0,19	0,000336
SOD3	NM_003102       Superoxide dismutase 3, extracellular	0,19	3,09E-05
SERPINF1	NM_002615       Serpin peptidase inhibitor, clade F, member 1	0,21	0,00032
KRT8	NM_002273       Keratin 8	0,22	0,00119
GPX2	NM_002083       Glutathione peroxidase 2 (gastrointestinal)	0,24	0,00108
SLC30A2	NM_032513       Solute carrier family 30 (zinc transporter), member 2	0,24	0,00212
AKR7A3	NM_012067       Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	0,25	0,000978
RRBP1	NM_004587       Ribosome binding protein 1 homolog 180kDa (dog)	0,25	0,00174
SLC16A11	NM_153357       Solute carrier family 16, member 11	0,26	0,000288
CGB7	NM_033142       Chorionic gonadotropin, beta polypeptide 7	0,27	0,0022
PYCR1	NM_153824       Pyrroline-5-carboxylate reductase 1	0,27	0,00172
TPSAB1	NM_003294       Tryptase alpha/beta 1	0,27	0,00151
C5	NM_001735       Complement component 5	0,27	0,00216
C20orf28	NM_015417       Sperm flagellar 1	0,28	0,000981
MUC20	NM_152673       Mucin 20, cell surface associated	0,28	0,00107
FOXA2	NM_021784       Forkhead box A2	0,28	0,00834
TCIRG1	NM_006019       T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	0,28	0,00173
IMPDH2	NM_000884       IMP (inosine monophosphate) dehydrogenase 2	0,28	0,000311
RGS1	NM_002922       Regulator of G-protein signaling 1	0,28	0,00177
CYorf15B	NM_032576       Chromosome Y open reading frame 15B	0,29	0,000978
RASSF4	NM_032023       Ras association (RalGDS/AF-6) domain family member 4	0,29	0,00121
IMPDH2	NM_000884       IMP (inosine monophosphate) dehydrogenase 2	0,29	0,00107
CD151	NM_004357       CD151 molecule (Raph blood group)	0,29	0,00189
CHDH	NM_018397       Choline dehydrogenase	0,30	0,00175
ADAMTSL2	NM_014694       ADAMTS-like 2	0,30	0,00243
FOXC1	NM_001453       Forkhead box C1	0,30	0,00242
SPAG4	NM_003116       Sperm associated antigen 4	0,30	0,00233
ADH1C	NM_000669       Alcohol dehydrogenase 1C (class I), gamma polypeptide	0,30	0,0127
SYT3	NM_032298       Synaptotagmin III	0,31	0,00184
ALOX5AP	NM_001629       Arachidonate 5-lipoxygenase-activating protein	0,31	0,0024
KRT19	NM_002276       Keratin 19	0,31	0,0018
SFRP4	NM_003014       Secreted frizzled-related protein 4	0,31	0,00941
COL6A3	NM_004369       Collagen, type VI, alpha 3	0,31	0,00229
TMEM8	NM_021259       Transmembrane protein 8 (five membrane-spanning domains)	0,31	0,0017
CYLN2	NM_003388       CAP-GLY domain containing linker protein 2	0,31	0,00206
CXCL9	NM_002416       Chemokine (C-X-C motif) ligand 9	0,31	0,00216
PPP1R3F	NM_033215       Protein phosphatase 1, regulatory (inhibitor) subunit 3F	0,31	0,00109
ADAMTS7	NM_014272       ADAM metallopeptidase with thrombospondin type 1 motif, 7	0,32	0,0011
CTGF	NM_001901       Connective tissue growth factor	0,32	0,00945
LISCH7	NM_015925       Lipolysis stimulated lipoprotein receptor	0,32	0,00243
HLA-B	NM_005514       Major histocompatibility complex, class I, B	0,32	0,00667
OR1L3	NM_001005234    Olfactory receptor, family 1, subfamily L, member 3	0,32	0,00929
FUT5	NM_002034       Fucosyltransferase 5 (alpha (1,3) fucosyltransferase)	0,32	0,00163
LR8	NM_014020       Transmembrane protein 176B	0,32	0,0033
ODF1	NM_024410       Outer dense fiber of sperm tails 1	0,32	0,00886
TIMP3	NM_000362       TIMP metallopeptidase inhibitor 3	0,32	0,0082
SAH	NM_005622       Acyl-CoA synthetase medium-chain family member 3	0,32	0,00174
FABP5	NM_001444       Fatty acid binding protein 5 (psoriasis-associated)	0,33	0,00852
IPO4	NM_024658       Importin 4	0,33	0,00167
GFER	NM_005262       Growth factor, augmenter of liver regeneration (ERV1 homolog, S. cerevisiae)	0,33	0,00223
ADCY1	NM_021116       Adenylate cyclase 1 (brain)	0,33	0,00228
HLA-DRB3	NM_022555       Major histocompatibility complex, class II, DR beta 3	0,33	0,00946
ILT7	NM_012276       Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4	0,33	0,0021
GPT	NM_005309       Glutamic-pyruvate transaminase (alanine aminotransferase)	0,33	0,00224
HIST1H2BN	NM_003520       Histone cluster 1, H2bn	0,33	0,00241
RPL10L	NM_080746       Ribosomal protein L10-like	0,33	0,00211
KLC2	NM_022822       Kinesin light chain 2	0,33	0,00197
MT1E	NM_175617       Metallothionein 1E	0,33	0,0019
MAT2A	NM_005911       Methionine adenosyltransferase II, alpha	0,33	0,00115
APOC1	NM_001645       Apolipoprotein C-I	0,34	0,0019
DERL3	NM_198440       Der1-like domain family, member 3	0,34	0,00207
SLPI	NM_003064       Secretory leukocyte peptidase inhibitor	0,34	0,00638
KCNAB1	NM_003471       Potassium voltage-gated channel, shaker-related subfamily, beta member 1	0,35	0,00831
C1QG	NM_172369       Complement component 1, q subcomponent, C chain	0,35	0,00622
RNASE4	NM_002937       Angiogenin, ribonuclease, RNase A family, 5	0,35	0,00995
VMD2L1	NM_017682       Bestrophin 2	0,35	0,00813
TMED3	NM_007364       Transmembrane emp24 protein transport domain containing 3	0,35	0,00729
C17orf28	NM_030630       Chromosome 17 open reading frame 28	0,35	0,00164
RAB20	NM_017817       RAB20, member RAS oncogene family	0,35	0,00725
OPN1MW	NM_000513       Opsin 1 (cone pigments), medium-wave-sensitive	0,35	0,0115
SLC17A4	NM_005495       Solute carrier family 17 (sodium phosphate), member 4	0,35	0,0153
RASL10B	NM_033315       RAS-like, family 10, member B	0,36	0,00603
HPS1	NM_000195       Hermansky-Pudlak syndrome 1	0,36	0,00334
NUDT8	NM_181843       Nudix (nucleoside diphosphate linked moiety X)-type motif 8	0,36	0,00879
NANS	NM_018946       N-acetylneuraminic acid synthase (sialic acid synthase)	0,36	0,00699
TXNDC7	NM_005742       Protein disulfide isomerase family A, member 6	0,36	0,0066
PDGFA	NM_002607       Platelet-derived growth factor alpha polypeptide	0,36	0,00618
KLK8	NM_144505       Kallikrein-related peptidase 8	0,36	0,00713
TMP21	NM_006827       Transmembrane emp24-like trafficking protein 10 (yeast)	0,36	0,00722
GPR39	NM_001508       G protein-coupled receptor 39	0,36	0,00514
GPX3	NM_002084       Glutathione peroxidase 3 (plasma)	0,37	0,0102
SERPINB1	NM_030666       Serpin peptidase inhibitor, clade B (ovalbumin), member 1	0,37	0,00211
HOXD3	NM_006898       Homeobox D3	0,37	0,00734
EEF1B2	NM_001959       Eukaryotic translation elongation factor 1 beta 2	0,37	0,00334
PTP4A3	NM_032611       Protein tyrosine phosphatase type IVA, member 3	0,37	0,00685
WBSCR5	NM_032463       Linker for activation of T cells family, member 2	0,37	0,00223
IAPP	NM_000415       Islet amyloid polypeptide	0,37	0,00851
BIRC3	NM_001165       Baculoviral IAP repeat-containing 3	0,37	0,00903
TNFRSF21	NM_014452       Tumor necrosis factor receptor superfamily, member 21	0,37	0,015
PGA5	NM_014224       Pepsinogen 5, group I (pepsinogen A)	0,37	0,00757
RHOD	NM_014578       Ras homolog gene family, member D	0,37	0,00781
RNPEPL1	NM_018226       Arginyl aminopeptidase (aminopeptidase B)-like 1	0,37	0,00243
MLLT6	NM_005937       Myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6	0,38	0,0108
LMAN1L	NM_021819       Lectin, mannose-binding, 1 like	0,38	0,00769
MAP2K6	NM_002758       Mitogen-activated protein kinase kinase 6	0,38	0,00629
WDR20	NM_181302       WD repeat domain 20	0,38	0,00333
FOLR1	NM_016725       Folate receptor 1 (adult)	0,38	0,00343
SOCS3	NM_003955       Suppressor of cytokine signaling 3	0,38	0,0132
MGC11256	NM_024324       Cysteine-rich with EGF-like domains 2	0,38	0,00173
QSCN6	NM_002826       Quiescin Q6 sulfhydryl oxidase 1	0,38	0,00843
TGFBI	NM_000358       Transforming growth factor, beta-induced, 68kDa	0,38	0,0167
MGC24133	NM_174896       Chromosome 1 open reading frame 162	0,38	0,0112
KRN1	NM_005553       Keratin associated protein 5-9	0,38	0,00821
SEN54L	NM_207346       TRNA splicing endonuclease 54 homolog (S. cerevisiae)	0,38	0,00932
HEBP1	NM_015987       Heme binding protein 1	0,38	0,00883
GALNT12	NM_024642       UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12	0,39	0,00994
TMEM89	NM_001008269    Transmembrane protein 89	0,39	0,00699
SLC6A2	NM_001043       Solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	0,39	0,00883
PLEKHG3	NM_015549       Pleckstrin homology domain containing, family G (with RhoGef domain) member 3	0,39	0,00867
MS4A4A	NM_024021       Membrane-spanning 4-domains, subfamily A, member 4	0,39	0,00773
WDR40B	NM_178470       WD repeat domain 40B	0,39	0,0103
BPIL1	NM_025227       Bactericidal/permeability-increasing protein-like 1	0,39	0,00667
PGM3	NM_015599       Phosphoglucomutase 3	0,39	0,00958
PLA2G2A	NM_000300       Phospholipase A2, group IIA (platelets, synovial fluid)	0,39	0,00739
WDR10	NM_018262       Intraflagellar transport 122 homolog (Chlamydomonas)	0,39	0,00244
PITX3	NM_005029       Paired-like homeodomain 3	0,39	0,0156
C1QTNF5	NM_015645       C1q and tumor necrosis factor related protein 5	0,39	0,0117
ERBB3	NM_001982       V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	0,39	0,00834
GRIN2D	NM_000836       Glutamate receptor, ionotropic, N-methyl D-aspartate 2D	0,40	0,00603
SGNE1	NM_003020       Secretogranin V (7B2 protein)	0,40	0,0183
HLA-C	NM_002117       Major histocompatibility complex, class I, C	0,40	0,00718
SEMA3B	NM_004636       Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	0,40	0,00716
GPR152	NM_206997       G protein-coupled receptor 152	0,40	0,00963
P2RX2	NM_174873       Purinergic receptor P2X, ligand-gated ion channel, 2	0,40	0,00897
HNF4G	NM_004133       Hepatocyte nuclear factor 4, gamma	0,40	0,0018
OR52N2	NM_001005174    Olfactory receptor, family 52, subfamily N, member 2	0,40	0,00973
GRIN1	NM_021569       Glutamate receptor, ionotropic, N-methyl D-aspartate 1	0,40	0,011
CHRD	NM_177978       chordin	0,40	0,0112
NOB1P	NM_014062       NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	0,40	0,0117
MKNK2	NM_017572       MAP kinase interacting serine/threonine kinase 2	0,40	0,0111
