Accession	Gene name	Symbol	FC	Molecule type	Function	Expression
NM_010286	Glucocorticoid-induced leucine zipper	Gilz, TSC-22R	2.4	Transcription factor	Transcription regulation, antiapoptosis	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_009320	Solute carrier family 6, member 6	Slc6a6	2.3	Membrane protein	Neurotransmitter transport	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_008597	Matrix Gla protein	MGP, Mglap	2.3	Extracellular	Developmental processes, bone mineralization, TGF-beta pathway	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_008700	NK2 transcription factor related, locus 5	Nkx2-5, Csx	2.3	Transcription factor	Transcription regulation	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_013642	Dual specificity phosphatase 1	Dusp1, mkp-1	2.2	Phosphatase	Cell cycle	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
AK017223	RIKEN cDNA 5133401H06 gene	NA	2.1	Membrane protein	Metabolism	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_010902	Nuclear factor, erythroid derived 2, like 2	Nfe2l2	2.1	Transcription factor	Transcription regulation	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
AF072758	Solute carrier family 27, member 3	Slc27a3	2.1	Mitochondrion	Lipid transport	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_007555	Bone morphogenetic protein 5	Bmp5	2	Extracellular	Developmental processes, TGF-beta pathway	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_010517	Insulin-like growth factor binding protein 4	Igfbp4	2	Extracellular	Cell growth/proliferation	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
AK003535	RIKEN cDNA 1110007F12 gene	NA	2	NA	NA	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_007442	Aristaless 4	Alx4, lst	2	Transcription factor	Transcription regulation	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_019571	Tetraspanin 5	Tm4sf9, NET-4	2	Membrane	Cell growth/proliferation, adhesion, motility	Quantitative change: significant mRNA levels before and after Shh stimulation (fold change>2)
NM_009155	Selenoprotein P, plasma, 1	Sepp1, Se-P	1.7	Extracellular	Cell growth and/or maintenance	Quantitative change: selected genes of interest (fold change<2)
NM_007752	Ceruloplasmin	Cp	1.6	Extracellular	Copper ion transport	Quantitative change: selected genes of interest (fold change<2)
NM_008885	Peripheral myelin protein	Pmp22, Gas-3	1.6	Extracellular, membrane	Neural cell insulation, cell growth/proliferation, cell cycle	Quantitative change: selected genes of interest (fold change<2)
NM_007836	Growth arrest and DNA-damage-inducible 45 alpha	Gadd45a	1.6	Nuclear	Response to DNA damage, cell cycle	Quantitative change: selected genes of interest (fold change<2)
NM_010917	Nidogen 1	Nid1, entactin	1.6	Extracellular	Adhesion	Quantitative change: selected genes of interest (fold change<2)
