Accession no.	Gene name	Gene symbol	Average fold change induced by indicated doses of EE (lg/kg/day) 0.001	Average fold change induced by indicated doses of EE (lg/kg/day) 0.01	Average fold change induced by indicated doses of EE (lg/kg/day) 0.1	Average fold change induced by indicated doses of EE (lg/kg/day) 1	Average fold change induced by indicated doses of EE (lg/kg/day) 10
BI285489	ESTs, Highly similar to myo-inositol 1-phosphate synthase A1 [Mus musculus]		1	1.1	1.1	1.2	1.6
AF081159	Calcium-independent alpha-latrotoxin receptor homolog 3	Cirl3	1.1	1.2	1	1.2	1.6
AI175732	ESTs, Highly similar to vascular endothelial growth factor gene [R.norvegicus]		1.1	1.1	1	1.2	1.6
BM390827	ESTs, some similarity to protein phosphatase 1, regulatory (inhibitor) subunit 3C (Ppp1r3c) [M.musculus]		1	1	1	1.3	1.6
BI284218	Solute carrier family 2,member 1	Slc2a1	1.1	1.1	1.1	1.3	1.6
AI232098	ESTs		1	1.1	1.1	1.1	1.5
NM_053328	Basic helix-loop-helix domain containing, class B2	Bhlhb2	1	1.1	1.2	1	1.5
AI031032	ESTs, similar to fos-related antigen [R.norvegicus]		1.1	1.1	1	1.1	1.5
BI278962	ESTs		1.1	1.1	1	1.2	1.5
BI274344	ESTs		1.1	1.1	1.1	1.3	1.5
AI072892	ESTs, similar to frizzled-related protein (Frzb) [M.musculus]		1.1	1.1	1.2	1.2	1.5
U31884	Dopa decarboxylase	Ddc	-1	-1	-1.1	-1.2	-1.5
NM_024484	Aminolevulinic acid synthase 1	Alas1	1	-1.1	-1.1	1	-1.5
NM_057104	Ectonucleotide pyrophosphatase/phosphodiesterase 2	Enpp2	-1.1	-1.1	-1.1	-1.3	-1.5
BG376982	ESTs, similar to deleted in polyposis 1-like 1 (Dp111) [M.musculus]		-1	-1	1.1	1	-1.5
NM_022392	Growth response protein (CL-6)	LOC64194	1	-1	-1	-1.1	-1.5
NM_080886	Sterol-C4-methyl oxidase-like	Sc4mol	1	-1	-1	-1.2	-1.5
NM_017126	Ferredoxin 1	Fdx1	-1	-1.1	1.1	-1.1	-1.5
NM_017136	Squalene epoxidase	Sqle	-1	-1	-1.1	-1	-1.5
AI235499	ESTs		-1.1	-1.2	-1.1	-1.2	-1.6
NM_053442	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	Slc7a8	-1.1	-1.4	-1.1	-1.1	-1.6
NM_022389	7-dehydrocholesterol reductase	Dhcr7	-1	-1	1	-1.2	-1.6
BF289012	ESTs, Highly similar to hook3 protein [H.sapiens]		-1.1	-1	1	-1.5	-1.7
NM_031509	Glutathione S-transferase, alpha 1	Gsta1	1.1	-1	-1	-1.2	-1.8
AI234860	Phospholipase A2, group 1B	Pla2g1b	-1	-1	-1.1	-1.1	-1.8
AI407337	ESTs, similar to Sushi domain (SCR repeat) [R.norvegicus]+B4		1	-1	-1	-1.2	-1.8
BM390364	ESTs, Weakly similar to JC5567 lamin B receptor [R.norvegicus]		1	-1	1.2	-1.1	-2
AF071495	Scavenger receptor class B, member 1	Scarb1	1.1	1	1.3	-1.1	-2.1
NM_017286	Cytochrome P450, subfamily 11A	Cyp11a	1.2	1.1	1.2	-1	-2.1
NM_031541	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 1	Cd36l1	1	-1.1	1.1	-1.2	-2.2
NM_016998	Carboxypeptidase A1	Cpa1	1.1	-1	1.1	-1.4	-2.9
NM_133516	Seminal vesicle secretion 5	Svs5	1	1.1	-1.1	-1.8	-5.5
NM_031558	Steroidogenic acute regulatory protein	StAR	1	1	1	-1.6	-5.7
NM_012753	Cytochrome P450, subfamily 17	Cyp17	1.1	-1	1.1	-1.4	-6.8
