Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.512807	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	1p35.1-p36.23	0.577306733
Hs.525622	AKT1	v-akt murine thymoma viral oncogene homolog 1	14q32.32	1.605392157
Hs.406461	ALG1	asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase)	16p13.3	2.044315992
Hs.40919	ALG2	asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase), transcript variant 1	9q22.33	1.827402135
Hs.478481	ALG3	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase), transcript variant 1	3q27.1	2.058171745
Hs.211021	AMMECR1	Hypothetical protein LOC286505	Xq22.3	2.217659138
Hs.82927	AMPD2	adenosine monophosphate deaminase 2 (isoform L), transcript variant 2	1p13.3	2.553191489
Hs.501890	AMPD3	adenosine monophosphate deaminase (isoform E)	11p15	2.072595281
Hs.480876	ANAPC10	anaphase promoting complex subunit 10	4q31	2.055555556
Hs.7101	ANAPC5	anaphase promoting complex subunit 5	12q24.31	1.783861671
Hs.529280	ANAPC7	anaphase promoting complex subunit 7	12q24.11	1.733870968
Hs.434219	ANKHD1	ankyrin repeat and KH domain containing 1, transcript variant 2	5q31.2	1.641439206
Hs.284208	ANKRD25	ankyrin repeat domain 25	19p13.2	1.604790419
Hs.62180	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)	7p15-p14	2.367346939
Hs.458747	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	15q22.3-q23	1.738589212
Hs.1239	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	15q25-q26	0.406696209
	ANXA2P1	annexin A2 pseudogene 1 on chromosome 4.	4q21-q31	2.393939394
	ANXA2P3	annexin A2 pseudogene 3 on chromosome 10.	10q21-q22	1.997797357
Hs.480653	ANXA5	annexin A5	4q28-q32	2.507692308
Hs.143102	AOC2	amine oxidase, copper containing 2 (retina-specific), transcript variant 1	17q21	0.508077289
Hs.368794	AP1B1	adaptor-related protein complex 1, beta 1 subunit, transcript variant 2	22q12.2	1.617283951
Hs.343244	AP1G2	adaptor-related protein complex 1, gamma 2 subunit, transcript variant 1	14q11.2	2.482678984
Hs.71040	AP1M1	adaptor-related protein complex 1, mu 1 subunit	19p13.12	1.956521739
Hs.119591	AP2S1	adaptor-related protein complex 2, sigma 1 subunit, transcript variant AP17	19q13.2-q13.3	1.566371681
Hs.532091	AP3B1	adaptor-related protein complex 3, beta 1 subunit	5q14.1	0.65309842
Hs.512815	AP3D1	adaptor-related protein complex 3, delta 1 subunit	19p13.3	1.61300813
Hs.515048	AP4B1	Adaptor-related protein complex 4, beta 1 subunit	1p13.2	1.814113597
Hs.73722	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1, transcript variant 2	14q11.2-q12	2.825870647
Hs.7353	APG4C	APG4 autophagy 4 homolog C (S. cerevisiae)	1p31.3	0.338962606
Hs.511703	APH1B	anterior pharynx defective 1 homolog B (C. elegans)	15q22.2	0.503387181
Hs.435771	API5	apoptosis inhibitor 5	11p12-q12	1.970479705
Hs.491896	APOC4	apolipoprotein C-IV	19q13.2	1.848101266
Hs.474737	APOL3	apolipoprotein L, 3, transcript variant alpha/d	22q13.1	1.738219895
Hs.326561	APOL5	apolipoprotein L, 5	22q12.3	1.986817326
Hs.20158	APTX	aprataxin, transcript variant 2	9p13.3	1.650943396
Hs.54505	AQP6	aquaporin 6, kidney specific, transcript variant 1	12q13	1.758865248
Hs.176658	AQP8	aquaporin 8	16p12	0.249721471
Hs.433291	ARD1	ARD1 homolog, N-acetyltransferase (S. cerevisiae)	Xq28	2.50929368
Hs.3109	ARHGAP4	Rho GTPase activating protein 4	Xq28	1.635514019
Hs.102336	ARHGAP8	Rho GTPase activating protein 8, transcript variant 3	22q13.31	1.506734007
Hs.159161	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	17q25.3	1.934177215
Hs.504877	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	12p12.3	0.409142212
Hs.278186	ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1, transcript variant 3	19q13.13	1.7625
Hs.516954	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11, transcript variant 1	1q21	1.567669173
Hs.516790	ARHGEF2	rho/rac guanine nucleotide exchange factor (GEF) 2	1q21-q22	1.874384236
Hs.497399	ARL10B	ADP-ribosylation factor-like 10B	1q32.1	2.692162417
Hs.470233	ARL5	ADP-ribosylation factor-like 5, transcript variant 2	2q23.3	2.254761905
Hs.9728	ARMCX1	armadillo repeat containing, X-linked 1	Xq21.33-q22.2	0.378801043
Hs.124126	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	7q22.1	1.59602649
Hs.489284	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	7q22.1	1.968446602
Hs.132499	ARPC5L	actin related protein 2/3 complex, subunit 5-like	9q33.3	1.874476987
Hs.6093	ARRDC4	arrestin domain containing 4	15q26.3	0.545934959
Hs.326730	ARVCF	armadillo repeat gene deletes in velocardiofacial syndrome	22q11.21	1.992292871
Hs.125037	ASB6	ankyrin repeat and SOCS box-containing 6, transcript variant 2	9q34.13	1.491255962
Hs.486031	ASCC3	activating signal cointegrator 1 complex subunit 3	6q16	1.8515625
Hs.152475	ASCL2	achaete-scute complex-like 2 (Drosophila)	11p15.5	2.048076923
Hs.446684	ASE-1	CD3-epsilon-associated protein; antisense to ERCC-1	19q13.3	0.534661355
Hs.26516	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	19p13.12	0.41958042
Hs.465985	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	19q13.3	1.961432507
Hs.298351	ASPSCR1	alveolar soft part sarcoma chromosome region, candidate 1	17q25	1.748427673
Hs.370834	ATAD2	ATPase family, AAA domain containing 2	8q24.13	2.018939394
Hs.370834	ATAD2	ATPase family, AAA domain containing 2	8q24.13	2.446540881
Hs.492740	ATF6	Activating transcription factor 6	1q22-q23	0.484574468
Hs.546406	ATF7IP	activating transcription factor 7 interacting protein	12p13.1	1.897660819
Hs.90280	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2q35	2.634615385
Hs.29189	ATP11A	ATPase, Class VI, type 11A	13q34	3.762470309
Hs.501794	ATP13A1	ATPase type 13A1 (ATP13A1), mRNA.	19p13.11	1.752659574
Hs.529609	ATP13A3	ATPase type 13A3	3q29	2.37804878
Hs.546238	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit (ATP5E), nuclear gene encoding mitochondrial protein, mRNA.	20q13.3	2.283687943
Hs.80986	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1 (ATP5G1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	17q21.32	1.586901763
Hs.85539	ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e (ATP5I), nuclear gene encoding mitochondrial protein, mRNA.	4p16.3	1.681050657
Hs.521056	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2 (ATP5J2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	7q22.1	2.176724138
Hs.463074	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	17q21	2.411392405
Hs.78089	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	7q32	2.637992832
Hs.388654	ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 1 (ATP6V1G1), mRNA.	9q32	1.902515723
Hs.216623	ATP8B1	ATPase, Class I, type 8B, member 1	18q21-q22	0.564229249
Hs.460499	ATXN2L	ataxin 2-like (ATXN2L), transcript variant F, mRNA.	16p11	0.346438746
Hs.489603	ATXN7L1	Ataxin 7-like 1	7q22.1	0.4906588
Hs.411480	AUP1	Ancient ubiquitous protein 1	2p13	1.923538231
Hs.512765	AXIN1	axin 1 (AXIN1), transcript variant 2, mRNA.	16p13.3	1.778217822
Hs.474083	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2 (B4GALT2), transcript variant 2, mRNA.	1p34-p33	3.479768786
Hs.455109	B4GALT7	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) (B4GALT7), mRNA.	5q35.2-q35.3	1.818181818
Hs.77873	B7H3	B7 homolog 3 (B7H3), mRNA.	15q23-q24	2.388554217
Hs.504003	BACE1	beta-site APP-cleaving enzyme 1 (BACE1), transcript variant d, mRNA.	11q23.2-q23.3	1.802120141
Hs.194654	BAI1	brain-specific angiogenesis inhibitor 1 (BAI1), mRNA.	8q24	0.578723404
Hs.13261	BAI3	Brain-specific angiogenesis inhibitor 3	6q12	1.806962025
Hs.433759	BANF1	barrier to autointegration factor 1 (BANF1), mRNA.	11q13.1	2.388429752
Hs.283809	BARHL1	BarH-like 1 (Drosophila)	9q34	1.653421634
Hs.254042	BAT1	HLA-B associated transcript 1	6p21.3	2.503472222
Hs.467020	BBC3	BCL2 binding component 3 (BBC3), mRNA.	19q13.3-q13.4	1.529411765
Hs.522817	BCAP31	B-cell receptor-associated protein 31 (BCAP31), mRNA.	Xq28	2.968253968
Hs.516966	BCL2L1	BCL2-like 1 (BCL2L1), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	20q11.21	1.744801512
Hs.469658	BCL2L11	BCL2-like 11 (apoptosis facilitator) (BCL2L11), transcript variant 8, mRNA.	2q13	3.365758755
Hs.303197	BCL7C	B-cell CLL/lymphoma 7C (BCL7C), mRNA.	16p11	1.799472296
Hs.97805	BEAN	PREDICTED: brain expressed, associated with Nedd4 (BEAN), mRNA.	16	0.447946514
Hs.821	BGN	biglycan (BGN), mRNA.	Xq28	3.606271777
Hs.474150	BID	BH3 interacting domain death agonist (BID), transcript variant 2, mRNA.	22q11.1	2.02425876
Hs.68879	BMP4	bone morphogenetic protein 4 (BMP4), transcript variant 3, mRNA.	14q22-q23	2.606741573
Hs.10848	BMS1L	BMS1-like, ribosome assembly protein (yeast) (BMS1L), mRNA.	10q11.21	2.676966292
Hs.334713	BMSC-UbP	bone marrow stromal cell-derived ubiquitin-like, transcript variant 2	15q24.1	1.825783972
Hs.10136	BPHL	biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen) (BPHL), mRNA.	6p25	1.659863946
Hs.529019	BPI	bactericidal/permeability-increasing protein (BPI), mRNA.	20q11.23-q12	2.060052219
Hs.66048	BPY2IP1	BPY2 interacting protein 1 (BPY2IP1), mRNA.	19p13.11	2.11002445
Hs.187763	BRD4	bromodomain containing 4 (BRD4), transcript variant long, mRNA.	19p13.1	1.42248062
Hs.437894	BRD7	bromodomain containing 7 (BRD7), mRNA.	16q12	1.795532646
Hs.410497	BRI3	brain protein I3 (BRI3), mRNA.	7q21.3	1.772932331
Hs.100426	BRMS1	breast cancer metastasis suppressor 1 (BRMS1), mRNA.	11q13-q13.2	2.06360424
Hs.500526	BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae) (BTAF1), mRNA.	10q22-q23	2.109625668
Hs.531614	BTBD14B	BTB (POZ) domain containing 14B (BTBD14B), mRNA.	19p13.13	1.731914894
Hs.517830	BTD	biotinidase (BTD), mRNA.	3p25	1.890243902
	BTF3L2	Basic transcription factor 3, like 2		2.288557214
Hs.255935	BTG1	B-cell translocation gene 1, anti-proliferative (BTG1), mRNA.	12q22	0.631890931
Hs.546502	BTNL9	butyrophilin-like 9 (BTNL9), mRNA.	5q35.3	2.25
Hs.202	BZRP	benzodiazapine receptor (peripheral) (BZRP), transcript variant PBR-S	22q13.31	1.575113809
Hs.355983	BZW1	basic leucine zipper and W2 domains 1 (BZW1), mRNA.	2q33	0.503693754
Hs.420024	C10orf46	Chromosome 10 open reading frame 46	10q26.11	0.571012806
Hs.412842	C10orf7	chromosome 10 open reading frame 7 (C10orf7), mRNA.	10p13	2.25136612
Hs.131715	C13orf10	chromosome 13 open reading frame 10 (C13orf10), mRNA.	13q31.1	2.055825243
Hs.131715	C13orf10	Chromosome 13 open reading frame 10	13q31.1	1.960072595
Hs.268742	C13orf12	chromosome 13 open reading frame 12 (C13orf12), mRNA.	13q12.3	2.76035503
Hs.441926	C13orf24	chromosome 13 open reading frame 24 (C13orf24), mRNA.	13q22.1	1.58854719
Hs.88523	C13orf3	chromosome 13 open reading frame 3 (C13orf3), mRNA.	13q12.11	2.864130435
Hs.343173	C14orf111	chromosome 14 open reading frame 111 (C14orf111), mRNA.	14q24.3	1.690026954
Hs.533878	C14orf114	chromosome 14 open reading frame 114 (C14orf114), mRNA.	14q24.1	0.504355401
Hs.271614	C14orf122	chromosome 14 open reading frame 122 (C14orf122), mRNA.	14q11.2	1.83269962
Hs.283111	C14orf124	chromosome 14 open reading frame 124 (C14orf124), mRNA.	14q11.2	0.346886912
Hs.116029	C14orf153	Chromosome 14 open reading frame 153	14q32.32-q32.33	0.633217993
Hs.510407	C14orf154	chromosome 14 open reading frame 154 , transcript variant 1	14q32.2	1.456743003
Hs.324521	C14orf156	chromosome 14 open reading frame 156 (C14orf156), mRNA.	14q24.3	2.252941176
Hs.131755	C14orf161	Chromosome 14 open reading frame 161	14q32.12	0.515392974
Hs.509916	C14orf169	chromosome 14 open reading frame 169 (C14orf169), mRNA.	14q24.3	1.5
Hs.525610	C14orf172	Chromosome 14 open reading frame 172	14q32.32	1.858995138
Hs.24956	C14orf173	chromosome 14 open reading frame 173 (C14orf173), mRNA.	14q32.33	1.700920245
Hs.7001	C14orf9	chromosome 14 open reading frame 9 (C14orf9), mRNA.	14q11.2	1.727710843
Hs.160565	C15orf24	chromosome 15 open reading frame 24 (C15orf24), mRNA.	15q14	1.550351288
Hs.226016	C15orf5	chromosome 15 open reading frame 5 (C15orf5), mRNA.	15q23-q24	0.533101045
Hs.513261	C16orf34	chromosome 16 open reading frame 34 (C16orf34), mRNA.	16p13.3	2.013245033
Hs.7765	C16orf5	chromosome 16 open reading frame 5 (C16orf5), mRNA.	16p13.3	0.282159624
Hs.514009	C17orf35	chromosome 17 open reading frame 35 (C17orf35), mRNA.	17p11.2	2.147208122
Hs.333526	C17orf37	chromosome 17 open reading frame 37 (C17orf37), mRNA.	17q12	2.2
Hs.334493	C18orf12	Chromosome 18 open reading frame 12	18q21.1	1.905635649
Hs.501114	C18orf23	chromosome 18 open reading frame 23 (C18orf23), mRNA.	18q21.1	2.105150215
Hs.134726	C18orf24	chromosome 18 open reading frame 24 (C18orf24), mRNA.	18q21.1	0.436325678
Hs.529006	C18orf8	Chromosome 18 open reading frame 8	18q11.2	1.894080997
Hs.515003	C19orf6	chromosome 19 open reading frame 6 (C19orf6), mRNA.	19p13.3	1.992647059
Hs.270775	C1orf16	chromosome 1 open reading frame 16 (C1orf16), transcript variant 3, mRNA.	1q25	1.536796537
Hs.10649	C1orf38	chromosome 1 open reading frame 38 (C1orf38), mRNA.	1p35.3	0.53125
Hs.134012	C1QL1	complement component 1, q subcomponent-like 1 (C1QL1), mRNA.	17q21	1.653846154
Hs.31334	C20orf14	chromosome 20 open reading frame 14 (C20orf14), mRNA.	20q13.33	1.764356436
Hs.79625	C20orf149	chromosome 20 open reading frame 149 (C20orf149), mRNA.	20q13.33	2.312312312
Hs.224764	C20orf155	chromosome 20 open reading frame 155 (C20orf155), mRNA.	20p13-p12.3	2.367601246
Hs.266273	C20orf172	chromosome 20 open reading frame 172 (C20orf172), mRNA.	20q11.23	2.467592593
Hs.516853	C20orf194	PREDICTED: chromosome 20 open reading frame 194 (C20orf194), mRNA.	20	0.718129404
Hs.443260	C20orf20	chromosome 20 open reading frame 20 (C20orf20), mRNA.	20q13.33	1.576732673
Hs.472330	C20orf3	chromosome 20 open reading frame 3 (C20orf3), mRNA.	20p11.22-p11.21	1.607223476
Hs.472024	C20orf30	chromosome 20 open reading frame 30 (C20orf30), transcript variant 3	20p12.3	2.111553785
Hs.124638	C20orf39	chromosome 20 open reading frame 39 (C20orf39), mRNA.	20p11.21	1.66568915
Hs.472054	C20orf42	chromosome 20 open reading frame 42 (C20orf42), mRNA.	20p12.3	3.077361564
Hs.517134	C20orf43	chromosome 20 open reading frame 43 (C20orf43), mRNA.	20q13.31	1.824074074
Hs.320823	C20orf72	chromosome 20 open reading frame 72 (C20orf72), mRNA.	20p11.23	2.600628931
Hs.433668	C21orf4	Chromosome 21 open reading frame 4	21q22.11	2.316151203
Hs.351814	C21orf67	chromosome 21 open reading frame 67 (C21orf67), mRNA.	21q22.3	1.495961228
Hs.504628	C2F	C2f protein (C2F), mRNA.	12p13	1.849358974
Hs.516034	C2orf18	chromosome 2 open reading frame 18 (C2orf18), mRNA.	2p23.3	2.222222222
Hs.9527	C2orf28	chromosome 2 open reading frame 28 (C2orf28), transcript variant 2, mRNA.	2p23.3	1.845878136
Hs.30819	C2orf29	chromosome 2 open reading frame 29 (C2orf29), mRNA.	2q11.2	1.780383795
Hs.551523	C3F	putative protein similar to nessy (Drosophila) (C3F), mRNA.	12p13	2.054249548
Hs.377028	C4.4A	GPI-anchored metastasis-associated protein homolog (C4.4A), mRNA.	19q13.31	0.655511811
Hs.99886	C4BPB	complement component 4 binding protein, beta (C4BPB), mRNA.	1q32	2.063559322
Hs.125348	C4orf8	chromosome 4 open reading frame 8 (C4orf8), mRNA.	4p16.3	2.132013201
Hs.414473	C6orf110	Chromosome 6 open reading frame 110	6p21.1	1.889352818
Hs.520287	C6orf111	chromosome 6 open reading frame 111 (C6orf111), mRNA.	6q16.3	1.778032037
Hs.431367	C6orf55	chromosome 6 open reading frame 55 (C6orf55), mRNA.	6q24.1	1.639455782
Hs.512144	C6orf66	chromosome 6 open reading frame 66 (C6orf66), mRNA.	6q16.1	1.728291317
Hs.188757	C6orf69	chromosome 6 open reading frame 69 (C6orf69), mRNA.	6p21.31	1.633906634
Hs.412019	C6orf80	chromosome 6 open reading frame 80 (C6orf80), mRNA.	6q23.1-q24.1	0.569316081
Hs.185675	C6orf93	chromosome 6 open reading frame 93 (C6orf93), mRNA.	6q24.2	1.684759916
Hs.196129	C7orf23	chromosome 7 open reading frame 23 (C7orf23), mRNA.	7q21.1-q21.2	1.850649351
Hs.487511	C7orf26	chromosome 7 open reading frame 26 (C7orf26), mRNA.	7p22.1	0.62642487
Hs.520623	C7orf27	Chromosome 7 open reading frame 27	7p22.3	2.714821764
Hs.372003	C9orf10	chromosome 9 open reading frame 10 (C9orf10), mRNA.	9q22.31	1.985933504
Hs.294147	C9orf111	Chromosome 9 open reading frame 111	9q34.3	3.103896104
Hs.62595	C9orf9	Chromosome 9 open reading frame 9	9q34	0.573076923
Hs.177446	CA5A	carbonic anhydrase VA, mitochondrial (CA5A), nuclear gene encoding mitochondrial protein, mRNA.	16q24.3	0.509446254
Hs.511983	CABYR	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) (CABYR), transcript variant 2, mRNA.	18q11.2	1.607255521
Hs.125116	CACNA1I	Calcium channel, voltage-dependent, alpha 1I subunit	22q13.1	2.017482517
Hs.250712	CACNB3	calcium channel, voltage-dependent, beta 3 subunit (CACNB3), mRNA.	12q13	0.420679887
Hs.467273	CACNG8	calcium channel, voltage-dependent, gamma subunit 8 (CACNG8), mRNA.	19q13.4	1.74137931
Hs.106857	CALB2	calbindin 2, 29kDa (calretinin) (CALB2), transcript variant CALB2c, mRNA.	16q22.2	0.492074674
Hs.515162	CALR	calreticulin (CALR), mRNA.	19p13.3-p13.2	2.469767442
Hs.145156	CAMKV	CaM kinase-like vesicle-associated (CAMKV), mRNA.	3p21.31	1.660416667
Hs.529846	CAMLG	calcium modulating ligand (CAMLG), mRNA.	5q23	1.526431718
Hs.529890	CANX	Calnexin	5q35	0.3735363
Hs.225953	CAPN11	calpain 11 (CAPN11), mRNA.	6p12	1.556886228
Hs.129729	CAPON	C-terminal PDZ domain ligand of neuronal nitric oxide synthase	1q23.3	1.504551365
Hs.514934	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1 (CAPZA1), mRNA.	1p13.2	0.385178408
Hs.432760	CAPZB	capping protein (actin filament) muscle Z-line, beta (CAPZB), mRNA.	1p36.1	1.611764706
Hs.300355	CARD11	caspase recruitment domain family, member 11 (CARD11), mRNA.	7p22	1.76744186
Hs.550529	CARD14	caspase recruitment domain family, member 14, transcript variant 1	17q25	0.713082902
Hs.459857	CARHSP1	calcium regulated heat stable protein 1, 24kDa (CARHSP1), mRNA.	16p13.2	1.783783784
Hs.371416	CARM1	coactivator-associated arginine methyltransferase 1 (CARM1), mRNA.	19p13.2	1.764285714
Hs.495984	CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	Xp11.4	2.295023697
Hs.369736	CASP8	Caspase 8, apoptosis-related cysteine protease	2q33-q34	2.041720991
Hs.432792	CBLL1	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1	7q31.1	1.672161172
Hs.126141	CBLN4	cerebellin 4 precursor (CBLN4), mRNA.	20q13.13-q13.33	0.706078824
Hs.531330	CBWD2	COBW domain containing 2 (CBWD2), mRNA.	2q14.1	2.131280389
Hs.349283	CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5), mRNA.	12q13.13	1.916666667
Hs.227782	CCDC9	coiled-coil domain containing 9 (CCDC9), mRNA.	19q13.32	1.4589309
Hs.515704	CCNL2	cyclin L2 (CCNL2), mRNA.	1p36.33	2.076315789
Hs.285051	CCPG1	cell cycle progression 1 (CCPG1), mRNA.	15q21.1	1.583333333
Hs.546245	CCR5	chemokine (C-C motif) receptor 5 (CCR5), mRNA.	3p21	1.525373134
Hs.46468	CCR6	Chemokine (C-C motif) receptor 6	6q27	0.511096167
Hs.370036	CCR7	chemokine (C-C motif) receptor 7 (CCR7), mRNA.	17q12-q21.2	0.20228229
Hs.189772	CCT2	chaperonin containing TCP1, subunit 2 (beta) (CCT2), mRNA.	12q15	2.370044053
Hs.1600	CCT5	chaperonin containing TCP1, subunit 5 (epsilon) (CCT5), mRNA.	5p15.2	2.355769231
Hs.368149	CCT7	chaperonin containing TCP1, subunit 7 (eta) (CCT7), transcript variant 1	2p13.2	1.810218978
Hs.125113	CCT8	chaperonin containing TCP1, subunit 8 (theta) (CCT8), mRNA.	21q22.11	2.069264069
Hs.488237	CD160	CD160 antigen (CD160), mRNA.	1q21.1	0.509580292
Hs.249217	CD1E	CD1E antigen, e polypeptide (CD1E), mRNA.	1q22-q23	0.514237144
Hs.262150	CD22	CD22 antigen	19q13.1	0.563920984
Hs.551524	CD2BP2	CD2 antigen (cytoplasmic tail) binding protein 2	16p11.2	1.593475533
