Symbol	Genbank	Ratio And	Ratio Est	Ratio Let	Ratio Ana	Ratio Tam	Description	Functional Category
ASS	NM_000050	1.53	1.53	0.64	0.97	0.74	Argininosuccinate synthetase; synonyms	Metabolism
CAPN2	M23254	1.93	1.93	0.56	0.78	0.73	Calpain 2, (m/II) large subunit	Metabolism
CTSD	NM_001909	1.84	2.23	0.55	0.81	1.48	Cathepsin D (lysosomal aspartyl protease)	Metabolism
ELOVL5	AL136939	1.69	1.95	1.19	1.36	0.92	ELOVL family member 5, elongation of long-chain fatty acids	Metabolism
GLA	NM_000169	1.66	1.59	0.94	0.97	0.75	Galactosidase ?	Metabolism
INSIG1	BG292233	1.55	1.65	0.72	0.93	1.14	Insulin-induced gene 1	Metabolism
KLK11	NM_006853	1.96	1.98	1.82	1.47	0.53	Kallikrein 11	Metabolism
MAOA	AA923354	1.83	1.89	0.84	1.32	0.44	Monoamine oxidase A	Metabolism
NT5B	BC001595	1.61	1.99	0.76	0.92	1.09	5?-Nucleotidase, cytosolic II	Metabolism
PPM1E	NM_014906	1.7	1.57	0.56	0.72	1.23	Protein phosphatase 1E (PP2C domain containing)	Metabolism
SLC39A8	AB040120	1.7	2.13	0.51	0.54	0.38	Solute carrier family 39 (zinc transporter), member 8	Metabolism
SLC7A5	AB018009	1.83	1.88	0.69	0.97	0.69	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Metabolism
SPUVE	NM_007173	2.16	2.35	0.76	0.75	0.43	Protease, serine, 23	Metabolism
SULF1	AW043713	1.85	1.77	0.62	0.55	1.04	Sulfatase 1	Metabolism
TFF1	NM_003225	2	2.08	0.72	0.94	0.76	Trefoil factor 1	Metabolism
TST	D87292	1.55	1.62	0.62	0.72	0.97	Thiosulfate sulfurtransferase (rhodanese)	Metabolism
TPD52L1	AF208012	1.62	1.61	0.57	0.76	0.74	Tumor protein D52-like 1	Oncogene
ALEX1	NM_016608	2.23	3.06	0.74	1.26	1.1	ALEX1 protein	Signal transduction
AMFR	AF124145	1.51	1.6	0.73	0.84	0.77	Autocrine motility factor receptor	Signal transduction
CAP2	NM_006366	2.02	2.04	0.88	1.08	0.86	CAP, adenylate cyclase–associated protein 2	Signal transduction
CELSR2	NM_001408	2.06	2.27	0.91	1.1	0.7	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homologue,Drosophila)	Signal transduction
CRABP1	NM_004378	1.98	1.78	0.47	0.76	0.47	Cellular retinoic acid–binding protein 1	Signal transduction
FLJ12428	NM_022783	1.77	1.93	0.65	0.75	0.68	Hypothetical protein FLJ12428	Signal transduction
GREB1	NM_014668	1.62	1.77	0.74	1.07	1.21	GREB1 protein	Signal transduction
Link-GEFII	NM_016339	1.67	1.99	0.62	0.92	1.08	Link guanine nucleotide exchange factor II	Signal transduction
MET	BG170541	1.72	2.33	0.66	0.98	0.85	Met proto-oncogene	Signal transduction
NAB2	BF337329	1.6	1.65	0.69	0.9	0.65	NGFI-A binding protein 2; signal transducer and activator of transcription 6	Signal transduction
NPY1R	NM_000909	2.72	3.37	0.31	0.64	0.44	Neuropeptide Y receptor Y1	Signal transduction
PDZK1	NM_002614	5.31	5.65	0.13	0.47	0.18	PDZ domain containing 1	Signal transduction
RAB31	AF183421	2.33	2.45	0.54	0.61	0.89	RAB31, member RAS oncogene family	Signal transduction
RAP1A	NM_002884	1.53	1.86	0.61	0.79	0.88	RAP1A, member of RAS oncogene family	Signal transduction
SIAH2	U76248	1.6	1.59	0.71	0.97	0.58	Seven in absentia homologue 2	Signal transduction
TIAM1	U90902	2.11	2.31	0.67	0.79	0.72	T-cell lymphoma invasion and metastasis 1	Signal transduction
BPAG1	BG253119	1.51	1.73	0.54	0.81	0.58	Bullous pemphigoid antigen 1, 230/240 kDa	Structural
CAV1	AU147399	1.62	1.88	1	1.13	0.97	Caveolin 1, caveolae protein, 22 kDa	Structural
MGP	NM_000900	3.68	3.84	0.15	0.35	0.19	Matrix Gla protein	Structural
EGR3	NM_004430	2.66	3.17	0.54	0.94	0.29	Early growth response 3	Transcription/translation
INSIG1	BG292233	1.55	1.65	0.72	0.93	1.14	Insulin-induced gene 1	Transcription/translation
MYBL1	AW592266	3.78	3.98	0.77	1.05	0.22	v-myb myeloblastosis viral oncogene homologue (avian)-like 1	Transcription/translation
NAB2	BF337329	1.6	1.65	0.69	0.9	0.65	NGFI-A binding protein 2; signal transducer and activator of transcription 6	Transcription/translation
NRIP1	AI824012	2.13	2.34	0.83	0.85	1.09	Nuclear receptor–interacting protein 1	Transcription/translation
PRRX1	M95929	1.76	1.97	0.77	1.04	0.73	Paired related homeobox 1	Transcription/translation
RHOBTB3	NM_014899	1.53	1.55	0.91	0.89	0.86	Rho-related BTB domain containing 3	Transcription/translation
SOX3	AI824954	1.8	1.78	0.48	0.72	0.38	SRY (sex determining region Y)-box 3	Transcription/translation
TFAP2C	NM_003222	1.51	1.54	1.2	1.14	0.84	Transcription factor AP-2? (activating enhancer binding protein 2?)	Transcription/translation
YBX2	NM_015982	1.55	1.51	0.81	0.93	0.87	Germ cell–specific Y-box–binding protein	Transcription/translation
	NM_030971	1.88	1.97	0.84	1.08	0.69	Similar to rat tricarboxylate carrier-like protein	Transport
CRABP1	NM_004378	1.98	1.78	0.47	0.76	0.47	Cellular retinoic acid–binding protein 1	Transport
MAOA	AA923354	1.83	1.89	0.84	1.32	0.44	Monoamine oxidase A	Transport
RAB31	AF183421	2.33	2.45	0.54	0.61	0.89	RAB31, member of RAS oncogene family	Transport
SLC22A5	NM_003060	1.5	1.55	0.93	0.89	0.79	Solute carrier family 22 (organic cation transporter), member 5	Transport
SLC39A8	AB040120	1.7	2.13	0.51	0.54	0.38	Solute carrier family 39 (zinc transporter), member 8	Transport
SLC7A5	AB018009	1.83	1.88	0.69	0.97	0.69	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Transport
TST	D87292	1.55	1.62	0.62	0.72	0.97	Thiosulfate sulfurtransferase (rhodanese)	Transport
ST7	NM_018412	1.79	1.88	0.71	0.91	1.03	Suppression of tumorigenicity 7	Tumor suppressor
