Symbol	Genbank	Ratio And	Est	Let	Ana	Tam	Description	Functional category
PAPSS2	AW299958	0.52	0.62	1.9	1.22	1.44	3?-Phosphoadenosine 5?-phosphosulfate synthase 2	Metabolism
ARHE	BG054844	0.5	0.5	2.26	1.63	1.23	Ras homologue gene family, member E	Signal transduction
CLU	M25915	0.35	0.39	2.2	1.62	1.43	Clusterin	Signal transduction
EDN1	NM_001955	0.61	0.66	1.37	0.95	1.23	Endothelin 1	Signal transduction
ESR1	AF258450	0.66	0.65	1.21	1.11	0.97	Estrogen receptor 1	Signal transduction
GPR3	U63917	0.61	0.67	1.23	1.16	0.8	G protein–coupled receptor 30	Signal transduction
NQO1	NM_000903	0.64	0.67	1.49	1.27	0.92	NAD(P)H dehydrogenase, quinone 1	Signal transduction
PLAB	AF003934	0.48	0.48	0.96	0.97	1.06	Prostate differentiation factor	Signal transduction
PRKCD	NM_006254	0.52	0.49	1.58	1.43	1.14	Protein kinase C?	Signal transduction
RAI3	NM_003979	0.56	0.59	2.87	1.94	1.13	Retinoic acid–induced 3	Signal transduction
RGS16	U94829	0.65	0.61	1.2	1.14	0.96	Regulator of G-protein signaling 16	Signal transduction
SEMA4C	AI949392	0.56	0.59	1.27	1.17	1.13	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM), and short cytoplasmic domain, (semaphorin) 4C	Signal transduction
SERPINE1	AL574210	0.64	0.67	1.99	1.62	1.02	Serine (or cysteine) proteinase inhibitor, clade E, member 1	Signal transduction
SH3BGRL	NM_003022	0.5	0.6	3.54	2.71	1.38	SH3 domain binding glutamic acid–rich protein like	Signal transduction
SH3BP4	AF015043	0.59	0.64	1.19	1.2	1.3	SH3-domain binding protein 4	Signal transduction
SHANK2	AB028945	0.49	0.58	1.23	1.03	1.46	SH3 and multiple ankyrin repeat domains 2	Signal transduction
SOCS2	NM_003877	0.63	0.62	1.08	1.04	1.43	Suppressor of cytokine signaling 2	Signal transduction
STAT1		0.6	0.67	1.45	1.44	0.91	Homo sapiens transcription factor ISGF-3 mRNA, complete cds	Signal transduction
STC1	AI300520	0.61	0.63	3.65	2.04	0.88	Stanniocalcin 1	Signal transduction
TENS1	NM_022748	0.4	0.44	1.72	1.2	1.22	Tensin-like SH2 domain-containing 1	Signal transduction
TLE1	NM_005077	0.54	0.62	0.87	0.98	1.13	Transducin-like enhancer of split 1 [E(sp1) homologue,Drosophila]	Signal transduction
TMEPAI	NM_020182	0.58	0.57	1.45	1.25	1.21	Transmembrane, prostate androgen–induced RNA	Signal transduction
TXNIP	NM_006472	0.66	0.58	1.75	1.83	1.34	Thioredoxin-interacting protein	Signal transduction
ARHE	BG054844	0.5	0.5	2.26	1.63	1.23	Ras homologue gene family, member E	Structural
CLDN9	AI701514	0.67	0.63	1	1.05	1.15	Claudin 9	Structural
DKFZP564D166	NM_015623	0.58	0.67	1.13	0.96	1.02	Putative ankyrin-repeat–containing protein	Structural
GADD45A	NM_001924	0.56	0.61	1.83	1.34	1.11	Growth arrest and DNA-damage-inducible ?	Structural
KRTHB6	X99142	0.62	0.63	1.05	0.97	1.01	Keratin, hair, basic, 6 (monilethrix)	Structural
LIN7A	NM_004664	0.62	0.62	1.5	1.3	0.94	Lin-7 homologue A (Caenorhabditis elegans)	Structural
MYO1B	BF215996	0.41	0.53	2.09	1.6	1.69	Myosin IB	Structural
SHANK2	AB028945	0.49	0.58	1.23	1.03	1.46	SH3 and multiple ankyrin repeat domains 2	Structural
ATF3	NM_001674	0.45	0.47	1.34	0.95	0.75	Activating transcription factor 3	Transcription/translation
DSIPI	AL110191	0.55	0.54	2.02	1.77	1.43	? Sleep inducing peptide, immunoreactor	Transcription/translation
EDN1	NM_001955	0.61	0.66	1.37	0.95	1.23	Endothelin 1	Transcription/translation
EPAS1	AF052094	0.48	0.41	1.69	1.23	1.29	Endothelial PAS domain protein 1	Transcription/translation
INHBB	NM_002193	0.45	0.44	2.29	1.62	2.35	Inhibin ?B	Transcription/translation
IRF6	NM_006147	0.67	0.65	1.11	1.07	1.08	IFN regulatory factor 6	Transcription/translation
NFKBIA	AI078167	0.64	0.66	1.7	1.16	1.15	Nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor ?	Transcription/translation
SOX4	BG528420	0.6	0.61	1.3	1.09	0.99	SRY (sex determining region Y)-box 4	Transcription/translation
SSBP2	NM_012446	0.55	0.65	1.38	1.28	1.23	ssDNA binding protein 2	Transcription/translation
AKR1C2	U05598	0.64	0.61	1.51	1.22	1.34	Aldo-keto reductase family 1, member C2	Transport
APOD	NM_001647	0.2	0.17	1.53	1.29	0.88	Apolipoprotein D	Transport
ATP9A	AB014511	0.55	0.6	1.71	1.23	1.2	ATPase, class II, type 9A	Transport
CPT1A	BF001714	0.6	0.63	1.17	1.17	1.24	Carnitine palmitoyltransferase 1A (liver)	Transport
SLC24A3	NM_020689	0.64	0.65	1.73	1.43	0.81	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	Transport
