Affy ID	Gene Description	Gene Symbol	Chromosomal Location	Eigengene 1 Score
1426438_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Ddx3y	chrY A1	0.0282700
1450062_a_at	melanoma antigen, family D, 1	Maged1	chrX C3	0.0282800
1422188_s_at	T-cell receptor gamma, variable 4	Tcrg	chr13 10.0 cM	0.0282900
1426197_at	Immunoglobulin heavy chain (J558 family)	Igh-VJ558	NA	0.0283400
1421628_at	interleukin 18 receptor 1	Il18r1	chr1 B	0.0283600
1435381_at	RIKEN cDNA 2610110G12 gene	2610110G12Rik	chr17 B3	0.0286100
1428572_at	brain abundant, membrane attached signal protein 1	Basp1	chr15 B1	0.0286200
1417765_a_at	Amylase 1, salivary	Amy1	chr3 F3	0.0286400
1425226_x_at	T-cell receptor beta, variable 13	Tcrb-V13	chr6 B1	0.0287500
1421855_at	fibrinogen-like protein 2	Fgl2	chr5 A3	0.0287800
1460027_at	cDNA sequence BC061194	BC061194	chr2 A3	0.0288500
1426936_at	hypothetical LOC432650	LOC432650	chr10 A4 /// chr12 B1 /// chr14 E4 /// chr3 C	0.0289300
1418776_at	RIKEN cDNA 5830443L24 gene	5830443L24Rik	chr5 E5	0.0290100
1425005_at	killer cell lectin-like receptor subfamily C, member 1	Klrc1	chr6 G1-2 /// chr6 F3	0.0290400
1416066_at	CD9 antigen	Cd9	chr6 F3	0.0290500
1426174_s_at	expressed sequence AU044919	Ighg	chr12 F1	0.0290800
1427758_x_at	immunoglobulin heavy chain (J558 family)	Igh-VJ558	chr12 F1	0.0291200
1420394_s_at	leukocyte immunoglobulin-like receptor, subfamily B, member 4	Lilrb4	chr10 B3	0.0291400
1420442_at	Similar to Voltage-dependent L-type calcium channel alpha-1S subunit	Cacna1s	chr1 F	0.0293200
1417122_at	Vav 3 oncogene	Vav3	chr3 G1	0.0295100
1424923_at	serine (or cysteine) proteinase inhibitor, clade A, member 3G	Serpina3g	chr12 E	0.0295100
1422710_a_at	calcium channel, voltage-dependent, T type, alpha 1H subunit	Cacna1h	chr17 A3.3	0.0295600
1424394_at	Selenoprotein M	MGI:2149786	NA	0.0297500
1421653_a_at	Immunoglobulin heavy chain (J558 family)	Igh-VJ558	chr12 F2	0.0297600
1448759_at	interleukin 2 receptor, beta chain	Il2rb	chr15 E	0.0297900
1426910_at	PRKC, apoptosis, WT1, regulator	Pawr	NA	0.0303100
1421802_at	Eosinophil-associated, ribonuclease A family, member 1	Ear1	chr14 B	0.0303700
1451951_at	Immunoglobulin kappa chain variable 8	Igk-V8	NA	0.0305200
1415960_at	myeloperoxidase	Mpo	chr11 C	0.0305600
1457666_s_at	interferon activated gene 202B	Ifi202b	chr1 H3	0.0306100
1422411_s_at	Eosinophil-associated, ribonuclease A family, member 1	Ear1	chr14 B	0.0306500
1426161_at	immunoglobulin kappa chain variable region mRNA	NA	NA	0.0307800
1424374_at	GTPase, IMAP family member 4	Gimap4	chr6 B2.3	0.0309000
1426178_at	Immunoglobulin kappa chain variable 8	Igk-C	NA	0.0309400
1425854_x_at	T-cell receptor beta, variable 8.3	Tcrb-V13	chr6 B1	0.0309600
1423954_at	complement component 3	C3	chr17 E1-E3	0.0310600
1425967_a_at	Mast cell protease 4	Mcpt4	chr14 C2	0.0310800
1441811_x_at	RIKEN cDNA 0610011I04 gene	0610011I04Rik	chr6 B2.3	0.0311000
1421408_at	immunoglobulin superfamily, member 6	Igsf6	chr7 F2-F3	0.0312300
1451963_at	Similar to Ig heavy chain V-III region J606	NA	chr12 F1	0.0312300
1419669_at	proteinase 3	Prtn3	chr10 C1	0.0312900
1456739_x_at	armadillo repeat containing, X-linked 2	Armcx2	chrX E3	0.0315500
1426198_at	Immunoglobulin heavy chain 6 (heavy chain of IgM)	IghmAC38.205.12	chr12 F2	0.0315700
1448556_at	Prolactin receptor	Prlr	chr15 A1	0.0316000
1425763_x_at	immunoglobulin heavy chain (J558 family)	Igh-VJ558	chr12 F1	0.0317400
1459725_s_at	demilune cell and parotid protein	Dcpp	chr17 A3.3	0.0318100
1429947_a_at	Z-DNA binding protein 1	Zbp1	chr2 H3	0.0320500
1438031_at	RAS, guanyl releasing protein 3	Rasgrp3	chr17 E2	0.0324900
1423467_at	membrane-spanning 4-domains, subfamily A, member 4B	Ms4a4b	chr19 A	0.0325600
1420407_at	leukotriene B4 receptor 1	Ltb4r1	chr14 C2	0.0325800
1460359_at	armadillo repeat containing, X-linked 3	LOC434247	chr7 F3	0.0328000
1426199_x_at	Immunoglobulin heavy chain 6 (heavy chain of IgM)	IghmAC38.205.12	chr12 F2	0.0328400
1415871_at	transforming growth factor, beta induced	Tgfbi	chr13 38.0 cM	0.0328600
1420492_s_at	Submaxillary gland androgen regulated protein 1	Smr1	chr5 E1 /// chr5 E2	0.0330400
1419135_at	lymphotoxin B	Ltb	chr17 B1	0.0332100
1422828_at	CD3 antigen, delta polypeptide	Cd3d	chr9 A5.2	0.0333700
1425385_a_at	immunoglobulin heavy chain 1a	Igh-1a	chr12 F1	0.0334600
1423909_at	RIKEN cDNA 0610011I04 gene	0610011I04Rik	chr6 B2.3	0.0334900
1416514_a_at	fascin homolog 1	Fscn1	chr5 G2	0.0335400
1456741_s_at	Glycoprotein m6a	Gpm6a	chr8 B3.2	0.0336800
1448291_at	matrix metalloproteinase 9	Mmp9	chr2 H1-H2	0.0336900
1417290_at	leucine-rich alpha-2-glycoprotein 1	Lrg1	chr17 D	0.0337200
1426442_at	Glycoprotein m6a	Gpm6a	chr8 B3.2	0.0342300
1448881_at	haptoglobin	Hp	chr8 D3	0.0344900
1418736_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3	B3galt3	chr3 E1	0.0352600
1449184_at	peptidoglycan recognition protein 1	Pglyrp1	chr7 A3	0.0353300
1426200_at	immunoglobulin kappa chain variable 38	Igk-C	NA	0.0356400
1427856_a_at	Immunoglobulin kappa chain, constant region	Igk-C	NA	0.0358200
1419594_at	cathepsin G	Ctsg	chr14 C2	0.0359300
1450744_at	elongation factor RNA polymerase II 2	Ell2	chr13 C1	0.0359300
1418126_at	chemokine (C-C motif) ligand 5	Ccl5	chr11 C	0.0359500
1427860_at	Ig active kappa chain mRNA V-region mAb B	NA	chr6 C1	0.0363000
1428484_at	oxysterol binding protein-like 3	Osbpl3	chr6 B3	0.0370200
1422812_at	chemokine (C-X-C motif) receptor 6	Cxcr6	chr9 F	0.0372700
1427756_x_at	immunoglobulin heavy chain	Igh-4	chr12	0.0373500
1452574_x_at	Immunoglobulin heavy chain	Igh-VJ558	NA	0.0378900
1453072_at	G protein-coupled receptor 160	Gpr160	chr3 B	0.0381800
1419691_at	cathelicidin antimicrobial peptide	Camp	chr9 F2	0.0385400
1417171_at	IL2-inducible T-cell kinase	Itk	chr11 B1.1	0.0390200
1427747_a_at	lipocalin 2	Lcn2	chr2 A3	0.0393100
1427837_at	immunoglobulin kappa chain variable 32	Igk-V32	chr6 C1	0.0398900
1451962_at	immunoglobulin kappa light chain 17-1A	LOC213481	NA	0.0404200
1419764_at	chitinase 3-like 3	Chi3l3	chr3 F2.3	0.0417300
1427757_at	Immunoglobulin kappa chain variable 8 (V8)	Igk-V21	chr6	0.0418200
1425324_x_at	immunoglobulin heavy chain (J558 family)	Igh-4	chr12	0.0419700
1416579_a_at	tumor-associated calcium signal transducer 1	Tacstd1	chr17 E4	0.0422600
1424305_at	immunoglobulin joining chain	Igj	chr5 E1	0.0432700
1419394_s_at	S100 calcium binding protein A8 (calgranulin A)	S100a8	chr3 F1-F2	0.0435800
1427857_x_at	gene model 460, (NCBI)	Igk-C	NA	0.0442600
1448021_at	Transcribed locus	NA	NA	0.0451500
1436996_x_at	P lysozyme structural	Lzp-s	chr10 D2	0.0458800
1429682_at	RIKEN cDNA 4930431B09 gene	4930431B09Rik	chr3 F2.2	0.0463400
1448756_at	S100 calcium binding protein A9 (calgranulin B)	S100a9	chr3 F1-F2	0.0466500
1425738_at	Ig aberrantly rearranged kappa-chain mRNA V-J2-C-region	LOC243469	chr6 C1	0.0467100
1439426_x_at	P lysozyme structural	Lzp-s	chr10 D2	0.0467700
1426201_at	gene model 1499, (NCBI)	NA	NA	0.0556100
