Affymetrix ID	Fold Induction	Common name	Description
1376011_at	0.606		Similar to mitogen-activated protein kinase kinase kinase 13; leucine zipper-bearing kinase (LOC363848), mRNA
1385637_at	0.607		Similar to polydom protein (LOC313191), mRNA
1377316_at	0.608		Similar to RIKEN cDNA 2410006F12 (LOC298688), mRNA
1395117_at	0.608		Similar to codanin I (LOC311348), mRNA
1381553_at	0.61		Transcribed sequences
1375422_at	0.611		UI-R-AB1-yt-f-08-0-UI.s1 UI-R-AB1 Rattus norvegicus cDNA clone UI-R-AB1-yt-f-08-0-UI 3, mRNA sequence.
1393621_at	0.611	Vkorc1l1	VKORC1-like protein 1
1382040_at	0.612		Similar to Bifunctional aminoacyl-tRNA synthetase (LOC289352), mRNA
1385986_at	0.613		Transcribed sequences
1397273_at	0.614		Transcribed sequence with weak  similarity to protein ref:NP_005442.2 (H.sapiens)  enigma protein; LIM domain protein [Homo sapiens]
1378934_at	0.616		Similar to Ddx19 protein (LOC292022), mRNA
1397285_at	0.617		Transcribed sequences
1386321_s_at	0.617	LOC246273	EST105188 Rat PC-12 cells, untreated Rattus sp. cDNA clone RPCAG66 3 end, mRNA sequence.
1377628_at	0.618		Transcribed sequence with weak  similarity to protein pir:S16864 (M.musculus) S16864 gene E161 protein - mouse
1384267_at	0.619		Similar to p190-B (LOC299012), mRNA
1381077_at	0.62		Transcribed sequences
1398445_at	0.621		Transcribed sequences
1387844_at	0.621	Lasp1	LIM and SH3 protein 1
1398602_at	0.621		Transcribed sequence with moderate similarity to protein sp:Q13257 (H.sapiens) MD21_HUMAN Mitotic spindle assembly checkpoint protein MAD2A
1379787_at	0.621		Similar to Umpk protein (LOC311864), mRNA
1370033_at	0.622	Mlc3	fast myosin alkali light chain
1395881_at	0.624		Transcribed sequences
1395161_at	0.625		Transcribed sequences
1395779_at	0.625		Transcribed sequences
1376967_at	0.626		Transcribed sequences
1396289_at	0.627		Similar to MAM domain containing glycosylphosphatidylinositol anchor 1; glycosyl-phosphatidyl-inositol-MAM (LOC309659), mRNA
1396034_at	0.629		Transcribed sequence with weak  similarity to protein sp:P23141 (H.sapiens) EST1_HUMAN Liver carboxylesterase precursor
1396954_at	0.631		Similar to Reticulon 4 interacting protein 1 (LOC309912), mRNA
1369700_at	0.632	Clcn7	chloride channel 7
1374589_at	0.634		Similar to Vezatin (LOC299738), mRNA
1374451_at	0.634	Hand2	dHand protein
1392362_at	0.636		Transcribed sequences
1385904_at	0.636	Cirbp	cold inducible RNA-binding protein
1396451_at	0.637		UI-R-CA0-bfs-h-08-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bfs-h-08-0-UI 3, mRNA sequence.
1387391_at	0.637	Cdkn1a	cyclin-dependent kinase inhibitor 1A
1393695_at	0.638		Transcribed sequences
1380770_at	0.638		Transcribed sequences
1381146_at	0.638		UI-R-BJ0p-afl-e-10-0-UI.s1 UI-R-BJ0p Rattus norvegicus cDNA clone UI-R-BJ0p-afl-e-10-0-UI 3, mRNA sequence.
1381899_at	0.641		UI-R-BS0-anw-c-10-0-UI.s1 UI-R-BS0 Rattus norvegicus cDNA clone UI-R-BS0-anw-c-10-0-UI 3, mRNA sequence.
1371927_at	0.642		Transcribed sequences
1369580_at	0.642	T2R3	taste receptor
1380766_a_at	0.642		Transcribed sequences
1397757_at	0.644		UI-R-BO0-aif-b-11-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-aif-b-11-0-UI 3, mRNA sequence.
1386215_at	0.645		Similar to GGPP synthase (LOC291211), mRNA
1369320_at	0.645	Cdrap	cartilage derived retinoic acid sensitive protein
1380111_at	0.646		Transcribed sequences
1381850_at	0.647	Mypt1	myosin phosphatase, target subunit 1
1379059_at	0.647		Transcribed sequence with moderate similarity to protein ref:NP_078999.1 (H.sapiens)  hypothetical protein FLJ23471 [Homo sapiens]
1384003_at	0.648		Transcribed sequences
1372690_at	0.649	Ngrh2	Nogo-66 receptor homolog 2
1396055_at	0.649		Similar to alpha 3 type VI collagen isoform 1 precursor; collagen VI, alpha-3 polypeptide (LOC367313), mRNA
1369500_at	0.65	Kcnk1	putative potassium channel TWIK
1369919_at	0.65	Tef	thyrotroph embryonic factor
1368025_at	0.65	Rtp801	HIF-1 responsive RTP801
1393989_at	0.651		UI-R-BX0-are-f-05-0-UI.s1 UI-R-BX0 Rattus norvegicus cDNA clone UI-R-BX0-are-f-05-0-UI 3, mRNA sequence.
1369928_at	0.651	Acta1	actin alpha 1
1371400_at	0.652	Thrsp	thyroid hormone responsive protein
1387396_at	0.652	Hamp	hepcidin antimicrobial peptide
1380883_at	0.653		Transcribed sequences
1396755_at	0.653		UI-R-CA1-bjb-o-18-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bjb-o-18-0-UI 3, mRNA sequence.
1377492_at	0.654		Transcribed sequence with moderate similarity to protein ref:NP_062819.1 (H.sapiens)  candidate mediator of the p53-dependent G2 arrest [Homo sapiens]
1369471_at	0.654	Rnd2	rapostlin
1380762_at	0.655		Transcribed sequences
1395086_at	0.655		Similar to expressed sequence AV312086 (LOC361736), mRNA
1384313_at	0.656		Transcribed sequences
1397809_at	0.657		Transcribed sequences
1397568_at	0.657	LOC362246	hypothetical protein
1391737_at	0.658		Similar to p40-phox (LOC366956), mRNA
1370485_a_at	0.658	Bcl2l1	Bcl2-like 1
1384090_at	0.66		Similar to Phosphatidylinositol-glycan biosynthesis, class O protein (PIG-O) (LOC313341), mRNA
1381396_s_at	0.66	Klf15	Kruppel-like factor 15
1380695_at	0.661		Transcribed sequences
1368889_at	0.661	Vti1a	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)
1370268_at	0.661	Kcna5	potassium voltage-gated channel, shaker-related subfamily, member 5
1368080_at	0.661	Rgc32
1376511_at	0.662		Similar to NOL1R protein; Williams-Beuren syndrome critical region protein 20 (LOC288595), mRNA
1372928_at	0.662		Transcribed sequences
1385006_at	0.663	Atrx	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S.cerevisiae)
1396032_at	0.663		UI-R-CA1-bll-a-03-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bll-a-03-0-UI 3, mRNA sequence.
1367949_at	0.663	Penk-rs	preproenkephalin, related sequence
1395808_at	0.664		UI-R-C2p-oe-e-11-0-UI.s1 UI-R-C2p Rattus norvegicus cDNA clone UI-R-C2p-oe-e-11-0-UI 3, mRNA sequence.
1392861_at	0.665		Transcribed sequences
1372952_at	0.665		Similar to RIKEN cDNA 2310061F22 (LOC292069), mRNA
1370536_at	0.665	Prmt3	protein arginine N-methyltransferase 3(hnRNP methyltransferase S. cerevisiae)-like 3
1386855_at	0.666		Transcribed sequences
1397286_at	0.666	Tcf4	transcription factor 4
1383081_at	0.667		UI-R-DM1-cjz-g-18-0-UI.s1 UI-R-DM1 Rattus norvegicus cDNA clone UI-R-DM1-cjz-g-18-0-UI 3, mRNA sequence.
1391915_at	0.668		Similar to grp75 (LOC295778), mRNA
1383337_at	0.668		Similar to Hypothetical protein KIAA0182 (LOC307913), mRNA
1397630_at	0.668		UI-R-CA0-azy-f-09-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-azy-f-09-0-UI 3, mRNA sequence.
1388179_at	0.669	Acvr2b	activin receptor IIB
1385128_at	0.669		Similar to chromaffin granule ATPase II homolog (LOC289617), mRNA
1377113_at	0.669		Transcribed sequences
1394748_at	0.669		Transcribed sequence with weak  similarity to protein ref:NP_081764.1 (M.musculus)  RIKEN cDNA 5730493B19 [Mus musculus]
1390357_at	0.669		Similar to zinc finger protein 35 (LOC308434), mRNA
1392476_at	0.669		Transcribed sequence with strong similarity to protein ref:NP_003535.1 (H.sapiens)  H4 histone family, member I [Homo sapiens]
1397496_at	0.67		UI-R-BS1-ayy-a-11-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayy-a-11-0-UI 3, mRNA sequence.
1374565_at	0.67	Nek6	NIMA (never in mitosis gene a)-related expressed kinase 6
1394707_at	0.672		Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase
1371266_at	0.673	Afm	unnamed protein product; R.norvegicus (Sprague Dawley) alpha albumin gene.
1393043_at	0.673		Similar to Hypothetical WD-repeat protein CGI-48 (LOC303456), mRNA
1396805_at	0.674		UI-R-CA1-bcr-g-01-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bcr-g-01-0-UI 3, mRNA sequence.
1379272_at	0.676		Similar to Polyadenylate binding protein-interacting protein 1 (LOC365684), mRNA
1376848_at	0.676		Transcribed sequences
1397647_at	0.677		Similar to ornithine transporter (LOC306574), mRNA
1390686_at	0.677		Transcribed sequences
1396637_at	0.678		Transcribed sequences
1382316_at	0.68		UI-R-BS1-azv-f-08-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-azv-f-08-0-UI 3, mRNA sequence.
1387219_at	0.68	Adm	adrenomedullin
1398547_at	0.681		Transcribed sequences
1398336_at	0.681		Similar to RING finger protein 25 (RING finger protein AO7) (LOC301515), mRNA
1370615_at	0.681	LOC286989	UDP-glucuronosyltransferase
1391899_at	0.681		Transcribed sequences
1395338_at	0.681		Similar to leucine rich protein mLRP130 (LOC313867), mRNA
1379935_at	0.682		Similar to Small inducible cytokine A7 precursor (CCL7) (Monocyte chemotactic protein 3) (MCP-3) (Monocyte chemoattractant protein 3) (LOC287561), mRNA
1392769_at	0.682		Transcribed sequences
1368868_at	0.683	Akap12	A kinase (PRKA) anchor protein (gravin) 12
1397966_at	0.684		Transcribed sequences
1379416_at	0.685		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1380202_at	0.685		Transcribed sequences
1381590_at	0.686		Transcribed sequences
1377833_at	0.686		Similar to CG6004-PB (LOC295602), mRNA
1377857_at	0.687		Transcribed sequences
1369236_at	0.688	Prdm4	PR domain containing 4
1375311_at	0.689		Similar to CG17265-PA (LOC309161), mRNA
1382384_at	0.69		Similar to Rassf6 protein (LOC305251), mRNA
1393265_at	0.69		Transcribed sequence with moderate similarity to protein ref:NP_062640.1 (M.musculus)  NS1-associated protein 1-like; RRM RNA binding protein GRY-RBP [Mus musculus]
1376659_at	0.691		Similar to hypothetical protein FLJ12660 (LOC299008), mRNA
1393730_at	0.691		UI-R-CX0-bxk-b-09-0-UI.s1 UI-R-CX0 Rattus norvegicus cDNA clone UI-R-CX0-bxk-b-09-0-UI 3, mRNA sequence.
1393783_at	0.691		UI-R-AD1-zl-c-01-0-UI.s1 UI-R-AD1 Rattus norvegicus cDNA clone UI-R-AD1-zl-c-01-0-UI 3, mRNA sequence.
1367816_at	0.692	GIIg15b	global ischemia induced protein GIIG15B
1391262_at	0.692		Transcribed sequences
1380416_at	0.692	Zfp191	zinc finger protein 191
1375048_at	0.692		EST189063 Normalized rat heart, Bento Soares Rattus sp. cDNA clone RHEAC61 3 end, mRNA sequence.
1391778_at	0.693		Transcribed sequences
1384365_at	0.693		Similar to testis-specific chromodomain Y-like protein (LOC361237), mRNA
1375443_at	0.693		Similar to GTRGEO22 (LOC299601), mRNA
1397780_at	0.694		Transcribed sequences
1380257_at	0.695		Similar to SMC5 structural maintenance of chromosomes 5-like 1 (LOC293967), mRNA
1373045_at	0.695	LOC293497	PDIP1
1367928_at	0.695	Myh6	myosin heavy chain, polypeptide 7
1387681_at	0.695	Ucp3	uncoupling protein 3
1392784_at	0.695	Gas6	growth arrest specific 6
1383013_at	0.696		Similar to Krueppel-like factor 13 (Transcription factor BTEB3) (Basic transcription element binding protein 3) (BTE-binding protein 3) (RANTES factor of late activated T lymphocytes-1) (RFLAT-1) (Transcription factor NSLP1) (Novel  ...
1395803_at	0.696		UI-R-C0-hh-f-10-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-hh-f-10-0-UI 3, mRNA sequence.
1369870_at	0.697	Admr	adrenomedullin receptor
1374632_at	0.698		Similar to mKIAA0585 protein (LOC360665), mRNA
1379767_at	0.698		Transcribed sequences
1389253_at	0.698	Vnn1	vanin 1
1368784_at	0.699	Acf	Apobec-1 complementation factor, APOBEC-1 stimulating protein
1396623_at	0.7		Transcribed sequence with weak  similarity to protein ref:NP_179188.1 (A.thaliana)  unknown protein [Arabidopsis thaliana]
1393510_at	0.7		Transcribed sequence with moderate similarity to protein sp:Q9NX95 (H.sapiens) YE72_HUMAN Hypothetical protein KIAA1472
1385153_at	0.7		Similar to KRAB-containing zinc-finger protein KRAZ2 (LOC304337), mRNA
1391558_at	0.701		Transcribed sequence with weak  similarity to protein sp:P05143 (M.musculus) PRP3_MOUSE PROLINE-RICH PROTEIN MP-3
1383543_at	0.701		Similar to CGI-141 protein; EST AA407874 (LOC362460), mRNA
1397029_at	0.702		Transcribed sequences
1394802_at	0.702	Syt7	synaptotagmin 7
1395078_at	0.703		Transcribed sequence with strong similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1382841_at	0.703		Similar to tumor-suppressing subchromosomal transferable fragment 4 (LOC361682), mRNA
1385372_at	0.703	Fov	foveolin precursor
1386936_at	0.704	Grifin	galectin-related inter-fiber protein
1372306_at	0.705		Similar to HSCO protein (LOC292710), mRNA
1380660_at	0.705		Transcribed sequences
1393126_at	0.705		Similar to ankyrin-repeat PEST sequence and proline-rich region protein (LOC309374), mRNA
1387408_at	0.705	Siah2	seven in absentia 2
1376610_a_at	0.705		Similar to AI428795 protein (LOC304558), mRNA
1370380_s_at	0.705	Nr2f6	nuclear receptor subfamily 2, group F, member 6
1393508_at	0.706		Transcribed sequences
1377727_at	0.706		Similar to chromatin remodeling factor WCRF180 (LOC314126), mRNA
1370922_at	0.706	Ctxn	Neuron-specific cortexin mRNA
1378552_at	0.706		Similar to apoptosis signal-regulating kinase 2 (LOC313022), mRNA
1371138_at	0.707	Trdn	triadin 1
1385541_at	0.707	Hspca	UI-R-A0-ap-h-07-0-UI.s1 UI-R-A0 Rattus norvegicus cDNA clone UI-R-A0-ap-h-07-0-UI 3 similar to gb|J04633|MUSHSP86A Mouse heat shock protein 86 mRNA, complete cds, and 28S ribosomal RNA, partial sequence, mRNA sequence.
1372945_at	0.707		Similar to inhibitor of growth family, member 3 (LOC312154), mRNA
1374085_at	0.708		Similar to Max dimerization protein 4 (LOC360961), mRNA
1393592_at	0.708		Transcribed sequences
1380045_at	0.708		Transcribed sequences
1397113_at	0.709		Similar to component of oligomeric golgi complex 2 (LOC361440), mRNA
1389145_at	0.709		D86683 Rat 21 day old female ovary mRNA PMSG 3h Rattus norvegicus cDNA, mRNA sequence.
1385875_at	0.71		Similar to Gpc6 protein (LOC306163), mRNA
1369830_at	0.71	Prkch	protein kinase C-eta
1367708_a_at	0.71	Fasn	fatty acid synthase
1390813_at	0.71		Similar to RNA-binding protein Musashi2-L (LOC360596), mRNA
1381350_at	0.71	Idb4	inhibitor of DNA binding 4
1372779_at	0.71		Transcribed sequences
1377578_at	0.711		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1394625_at	0.711		Transcribed sequence with moderate similarity to protein ref:NP_060812.1 (H.sapiens)  hypothetical protein FLJ11155 [Homo sapiens]
1384197_at	0.712		Transcribed sequences
1380283_at	0.712		Similar to zinc finger protein (LOC307217), mRNA
1385544_at	0.712		UI-R-Y0-abb-b-02-0-UI.s1 UI-R-Y0 Rattus norvegicus cDNA clone UI-R-Y0-abb-b-02-0-UI 3, mRNA sequence.
1385593_at	0.713		UI-R-C1-kz-e-05-0-UI.s1 UI-R-C1 Rattus norvegicus cDNA clone UI-R-C1-kz-e-05-0-UI 3, mRNA sequence.
1392119_at	0.713		UI-R-CA1-bcn-g-11-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bcn-g-11-0-UI 3, mRNA sequence.
1373525_at	0.713		Transcribed sequences
1393517_at	0.713		UI-R-C4-amc-b-01-0-UI.s1 UI-R-C4 Rattus norvegicus cDNA clone UI-R-C4-amc-b-01-0-UI 3, mRNA sequence.
1371020_at	0.714	LOC266780	RIM binding protein 2
