Pathway name	Pathway Code	Genbank ID	Gene Title	Gene Symbol	5 h CS vs Air                         FC + SEM	8 d CS vs Air            FC + SEM	8 d Air vs 5 h Air            FC + SEM	1.5 mo CS vs Air                         FC + SEM	1.5 mos Air vs 5 h Air            FC + SEM	6 mos CS vs Air                                  FC + SEM	6 mos Air vs 5 h Air  FC + SEM
Phase I	1	NM_021456	carboxylesterase 1	Ces1	N.C.	3.3 + 0.4	N.C.	8.5 + 0.4	N.C.	9.1 + 0.4	N.C.
Phase I	1	AK005217	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	Chst8	N.C.	2.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	BB736240	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	Cox15	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	BB736240	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	Cox15	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_007754	carboxypeptidase D	Cpd	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	BC006732	cytochrome b-561	Cyb561	N.C.	1.6 + 0.3	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	AF332060	cytochrome b5 reductase 3	Cyb5r3	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_009992	cytochrome P450, family 1, subfamily a, polypeptide 1	Cyp1a1	57.7 + 0.4	7.4 + 0.4	N.C.	33.8 + 0.4	N.C.	117.0 + 0.4	N.C.
Phase I	1	BI251808	cytochrome P450, family 1, subfamily b, polypeptide 1	Cyp1b1	19.7 + 0.4	8.5 + 0.4	N.C.	22.3 + 0.4	N.C.	21.7 + 0.4	N.C.
Phase I	1	NM_007812	cytochrome P450, family 2, subfamily a, polypeptide 4 /// cytochrome P450, family 2, subfamily a, polypeptide 5	Cyp2a4 /// Cyp2a5	N.C.	2.6 + 0.5	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.
Phase I	1	AF128849	cytochrome P450, family 2, subfamily b, polypeptide 10	Cyp2b10	N.C.	2.3 + 0.4	-2	1.8 + 0.4	N.C.	N.C.	N.C.
Phase I	1	BF683039	cytochrome P450, family 2, subfamily d, polypeptide 22	Cyp2d22	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.
Phase I	1	NM_021282	cytochrome P450, family 2, subfamily e, polypeptide 1	Cyp2e1	N.C.	N.C.	N.C.	N.C.	N.C.	3.4 + 0.5	N.C.
Phase I	1	AK004699	cytochrome P450, family 2, subfamily s, polypeptide 1	Cyp2s1	1.5 + 0.4	1.7 + 0.4	-1.4	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_018887	cytochrome P450, family 39, subfamily a, polypeptide 1	Cyp39a1	N.C.	N.C.	N.C.	1.5 + 0.3	N.C.	N.C.	N.C.
Phase I	1	AK009445	cytochrome P450, family 4, subfamily f, polypeptide 16 /// similar to cytochrome P450, family 4, subfamily f, polypeptide 16 /// similar to cytochrome P450, family 4, subfamily f, polypeptide 16	Cyp4f16 /// LOC623748 /// LOC677156	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_010145	epoxide hydrolase 1, microsomal	Ephx1	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_016903	esterase 10	Es10	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	BM248597	Esterase D/formylglutathione hydrolase	Esd	4.7 + 0.4	N.C.	N.C.	N.C.	N.C.	1.8 + 0.4	N.C.
Phase I	1	NM_018881	flavin containing monooxygenase 2	Fmo2	N.C.	2.0 + 0.4	N.C.	1.9 + 0.4	N.C.	1.6 + 0.4	N.C.
Phase I	1	NM_008030	flavin containing monooxygenase 3	Fmo3	N.C.	1.7 + 0.4	-1.3	1.9 + 0.4	-1.1	N.C.	N.C.
Phase I	1	BB445684	glucosamine (N-acetyl)-6-sulfatase	Gns	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	AF074926	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	Ndst1	N.C.	2.4 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	AB041034	NADPH oxidase 4	Nox4	N.C.	2.0 + 0.4	-1.3	1.5 + 0.4	2.0 + 0.4	N.C.	N.C.
Phase I	1	BB041555	prenylcysteine oxidase 1	Pcyox1	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	NM_008898	P450 (cytochrome) oxidoreductase	Por	N.C.	2.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	BB541614	spermine oxidase	Smox	4.6 + 0.7	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	AV286265	xanthine dehydrogenase	Xdh	N.C.	2.7 + 0.4	-1.8	1.9 + 0.4	N.C.	N.C.	N.C.
Phase I	1	NM_018871	3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	Ywhag	N.C.	10.9 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Phase I	1	BC025897	zinc binding alcohol dehydrogenase, domain containing 2	Zadh2	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	NM_007423	alpha fetoprotein	Afp	3.9 + 0.5	N.C.	N.C.	N.C.	N.C.	2.0 + 0.4	N.C.
Phase II and Antiox	2	BC027279	biliverdin reductase B (flavin reductase (NADPH))	Blvrb	2.3 + 0.4	N.C.	N.C.	N.C.	N.C.	2.7 + 0.4	N.C.
Phase II and Antiox	2	AV381752	ceruloplasmin	Cp	N.C.	2.3 + 0.5	-1.4	N.C.	N.C.	3.3 + 0.5	N.C.
Phase II and Antiox	2	D43690	ferredoxin 1	Fdx1	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	NM_008049	ferritin light chain 2	Ftl2	N.C.	N.C.	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.
Phase II and Antiox	2	BC019374	glutamate-cysteine ligase, catalytic subunit	Gclc	6.1 + 0.4	N.C.	N.C.	2.1 + 0.4	N.C.	3.0 + 0.4	N.C.
Phase II and Antiox	2	NM_008129	glutamate-cysteine ligase , modifier subunit	Gclm	3.7 + 0.5	N.C.	N.C.	2.1 + 0.4	N.C.	3.7 + 0.4	N.C.
Phase II and Antiox	2	AF276917	glutaredoxin 1 (thioltransferase)	Glrx1	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	AI391218	glutamate-ammonia ligase (glutamine synthase)	Glul	1.7 + 0.4	2.0 + 0.4	-1.6	1.9 + 0.3	N.C.	1.7 + 0.4	N.C.
Phase II and Antiox	2	NM_030677	glutathione peroxidase 2	Gpx2	3.1 + 0.4	N.C.	N.C.	1.8 + 0.4	N.C.	2.9 + 0.4	N.C.
Phase II and Antiox	2	AK019177	glutathione reductase 1	Gsr	3.2 + 0.4	N.C.	N.C.	N.C.	N.C.	1.8 + 0.4	N.C.
Phase II and Antiox	2	NM_008180	glutathione synthetase	Gss	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	1.6 + 0.4	N.C.
Phase II and Antiox	2	NM_008182	glutathione S-transferase, alpha 1 (Ya) /// glutathione S-transferase, alpha 2 (Yc2)	Gsta1 /// Gsta2	N.C.	N.C.	N.C.	2.9 + 0.4	N.C.	N.C.	N.C.
Phase II and Antiox	2	NM_008182	glutathione S-transferase, alpha 2 (Yc2)	Gsta2	13.4 + 0.4	N.C.	N.C.	2.7 + 0.4	-1.3	4.4 + 0.4	N.C.
Phase II and Antiox	2	AI172943	glutathione S-transferase, alpha 3	Gsta3	N.C.	N.C.	1.5 + 0.4	2.7 + 0.4	N.C.	2.3 + 0.4	N.C.
Phase II and Antiox	2	NM_010357	glutathione S-transferase, alpha 4	Gsta4	1.7 + 0.4	N.C.	N.C.	1.6 + 0.4	N.C.	1.5 + 0.4	N.C.
Phase II and Antiox	2	NM_010358	glutathione S-transferase, mu 1	Gstm1	N.C.	N.C.	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.
Phase II and Antiox	2	J03952	glutathione S-transferase, mu 1 /// similar to Glutathione S-transferase Mu 1 (GST class-mu 1) (Glutathione S-transferase GT8.7) (pmGT10) (GST 1-1)	Gstm1 /// LOC433943	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.
Phase II and Antiox	2	NM_010362	glutathione S-transferase omega 1	Gsto1	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	1.6 + 0.4	N.C.
Phase II and Antiox	2	NM_013541	glutathione S-transferase, pi 1	Gstp1	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 + 0.3	N.C.
Phase II and Antiox	2	NM_013820	hexokinase 2	Hk2	3.0 + 0.4	N.C.	-1.5	N.C.	N.C.	1.6 + 0.4	N.C.
Phase II and Antiox	2	NM_010442	heme oxygenase (decycling) 1	Hmox1	26.7 + 0.4	N.C.	N.C.	2.0 + 0.4	N.C.	4.4 + 0.4	N.C.
Phase II and Antiox	2	AK019177	similar to Glutathione reductase, mitochondrial precursor (GR) (GRase)	LOC630729	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	AV066880	microsomal glutathione S-transferase 2	Mgst2	N.C.	N.C.	N.C.	N.C.	N.C.	2.1 + 0.4	N.C.
Phase II and Antiox	2	NM_013602	metallothionein 1	Mt1	6.4 + 0.4	N.C.	N.C.	1.8 + 0.4	N.C.	2.8 + 0.4	N.C.
Phase II and Antiox	2	AA796766	metallothionein 2	Mt2	10.0 + 0.4	N.C.	N.C.	1.5 + 0.4	N.C.	3.7 + 0.4	N.C.
Phase II and Antiox	2	NM_026425	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)	Nat5	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	AV158882	NAD(P)H dehydrogenase, quinone 1	Nqo1	5.7 + 0.4	N.C.	N.C.	4.7 + 0.4	N.C.	11.8 + 0.5	N.C.
Phase II and Antiox	2	NM_011134	paraoxonase 1	Pon1	N.C.	1.6 + 0.4	N.C.	1.9 + 0.3	N.C.	1.6 + 0.4	N.C.
Phase II and Antiox	2	NM_008897	paraoxonase 3	Pon3	N.C.	N.C.	N.C.	1.5 + 0.3	N.C.	N.C.	N.C.
Phase II and Antiox	2	AW319648	peroxiredoxin 6	Prdx6	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.
Phase II and Antiox	2	AK004880	quiescin Q6	Qscn6	2.7 + 0.4	N.C.	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.
Phase II and Antiox	2	NM_019414	selenium binding protein 1	Selenbp1	1.7 + 0.4	2.1 + 0.4	N.C.	2.6 + 0.4	N.C.	1.7 + 0.4	N.C.
Phase II and Antiox	2	BC002066	superoxide dismutase 1, soluble	Sod1	1.5 + 0.4	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	1.5 + 0.4
Phase II and Antiox	2	NM_011435	superoxide dismutase 3, extracellular	Sod3	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	BM210600	sulfiredoxin 1 homolog (S. cerevisiae)	Srxn1	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.
Phase II and Antiox	2	AK002700	sulfotransferase family 1A, phenol-preferring, member 1	Sult1a1	N.C.	1.8 + 0.4	N.C.	2.4 + 0.4	N.C.	1.6 + 0.4	N.C.
Phase II and Antiox	2	BB541054	Sulfotransferase family 5A, member 1, mRNA (cDNA clone MGC:13878 IMAGE:4187578)	Sult5a1	N.C.	N.C.	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.
Phase II and Antiox	2	BB449960	transcobalamin 2	Tcn2	1.6 + 0.4	1.6 + 0.4	-1.1	2.1 + 0.3	N.C.	1.5 + 0.4	N.C.
Phase II and Antiox	2	AV232965	thioredoxin domain containing 9	Txndc9	4.3 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	AF173681	thioredoxin interacting protein	Txnip	2.5 + 0.4	2.2 + 0.4	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.
Phase II and Antiox	2	BI416051	thioredoxin-like 1	Txnl1	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	BB284199	thioredoxin reductase 1	Txnrd1	5.6 + 0.5	1.8 + 0.4	N.C.	2.0 + 0.3	N.C.	2.8 + 0.4	N.C.
Phase II and Antiox	2	NM_009466	UDP-glucose dehydrogenase	Ugdh	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Phase II and Antiox	2	D87867	UDP glucuronosyltransferase 1 family, polypeptide A2 /// UDP glucuronosyltransferase 1 family, polypeptide A6A /// UDP glycosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A7C /// UDP glucuronosyltransferase 1 family, polypeptide A5 /// UDP glucuronosyltransferase 1 family, polypeptide A9 /// UDP glucuronosyltransferase 1 family, polypeptide A6B /// UDP glucuronosyltransferase 1 family, polypeptide A1	Ugt1a2 /// Ugt1a6a	N.C.	1.9 + 0.4	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.
Cell survival	3	AI481869	Abl-interactor 2	Abi2	2.3 + 0.4	N.C.	3.7 + 0.4	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_020581	angiopoietin-like 4	Angptl4	1.8 + 0.4	N.C.	N.C.	3.2 + 0.4	N.C.	2.0 + 0.4	N.C.
Cell survival	3	NM_009704	amphiregulin	Areg	3.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AF309564	ras homolog gene family, member J	Arhj	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BC016230	Bcl2-associated athanogene 2	Bag2	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_013863	Bcl2-associated athanogene 3	Bag3	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AK005534	BCL2-associated athanogene 5	Bag5	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	U10100	Bcl2-like 1	Bcl2l1	2.7 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BI965039	BCL2-associated transcription factor 1	Bclaf1	2.0 + 0.4	N.C.	-1.2	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB373572	Calcium/calmodulin-dependent protein kinase II, delta	Camk2d	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	U70622	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Edg2	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_007913	early growth response 1	Egr1	2.2 + 0.4	N.C.	N.C.	N.C.	2.1 + 0.5	N.C.	N.C.
Cell survival	3	U81983	endothelial PAS domain protein 1	Epas1	N.C.	2.3 + 0.5	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BE688115	fibroblast growth factor 1	Fgf1	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AF020737	fibroblast growth factor 13	Fgf13	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.
Cell survival	3	U49641	fibroblast growth factor binding protein 1	Fgfbp1	2.5 + 0.4	N.C.	N.C.	1.5 + 0.4	N.C.	1.6 + 0.4	N.C.
Cell survival	3	AF024638	fibroblast growth factor receptor 3	Fgfr3	1.5 + 0.4	1.5 + 0.4	N.C.	1.5 + 0.4	2.1 + 0.4	N.C.	1.8 + 0.4
Cell survival	3	AK005502	FMS-like tyrosine kinase 1	Flt1	2.8 + 0.4	1.6 + 0.5	-1.6	N.C.	1.8 + 0.4	N.C.	N.C.
Cell survival	3	AI323512	FMS-like tyrosine kinase 4	Flt4	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB364488	forkhead box O3a	Foxo3a	1.9 + 0.4	2.2 + 0.4	N.C.	1.8 + 0.4	N.C.	1.5 + 0.4	N.C.
Cell survival	3	BE196957	inositol 1,4,5-trisphosphate 3-kinase B	Itpkb	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AV375361	inositol 1,4,5-trisphosphate 3-kinase C	Itpkc	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BQ032637	Janus kinase 1	Jak1	N.C.	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AI481780	mitogen activated protein kinase kinase 3	Map2k3	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_016693	mitogen-activated protein kinase kinase kinase 6	Map3k6	3.0 + 0.5	N.C.	N.C.	3.1 + 0.4	N.C.	1.8 + 0.4	N.C.
Cell survival	3	BC024684	mitogen-activated protein kinase 6	Mapk6	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB546463	Mitogen activated protein kinase 8 interacting protein 1	Mapk8ip1	10.4 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BG918951	MAP kinase-activated protein kinase 2	Mapkapk2	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BC002277	MAP3K12 binding inhibitory protein 1	Mbip	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	M60651	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	Pik3r1	N.C.	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB667459	phosphatidylinositol-3-phosphatase associated protein	Pip3ap	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_008846	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha	Pip5k1a	1.6 + 0.3	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AA239637	phosphatidylinositol transfer protein, alpha	Pitpna	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AK015126	phosphatidylinositol transfer protein, membrane-associated 2	Pitpnm2	7.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_008856	protein kinase C, eta	Prkch	2.1 + 0.4	1.7 + 0.4	N.C.	N.C.	1.8 + 0.4	N.C.	N.C.
Cell survival	3	BI662615	protein tyrosine kinase 9	Ptk9	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AA210264	RAS-related protein-1a	Rap1a	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB217136	RAS, dexamethasone-induced 1	Rasd1	2.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB003229	RasGEF domain family, member 1B	Rasgef1b	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AK005472	Ras association (RalGDS/AF-6) domain family 6	Rassf6	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	NM_007484	ras homolog gene family, member C	Rhoc	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BB380551	Ras homolog gene family, member J	Rhoj	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AF378088	ras homolog gene family, member U	Rhou	2.7 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AV338855	Ras and Rab interactor 3	Rin3	1.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AF302127	receptor-interacting serine-threonine kinase 4	Ripk4	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Cell survival	3	BI658899	SAM and SH3 domain containing 1	Sash1	1.6 + 0.4	N.C.	-1.3	N.C.	N.C.	N.C.	N.C.
Cell survival	3	AI325183	signal transducer and activator of transcription 3	Stat3	1.5 + 0.4	1.7 + 0.4	-1.8	N.C.	1.5 + 0.4	N.C.	N.C.
Cell survival	3	NM_011499	serine/threonine kinase receptor associated protein	Strap	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	BB180412	expressed sequence AI841794	AI841794	N.C.	N.C.	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.
Apoptosis	4	AV118744	apoptosis inhibitor 5	Api5	N.C.	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	BG070296	AXIN1 up-regulated 1	Axud1	5.2 + 0.4	N.C.	-1.1	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	BM228823	baculoviral IAP repeat-containing 6	Birc6	2.0 + 0.4	N.C.	N.C.	N.C.	2.4 + 0.4	N.C.	N.C.
Apoptosis	4	AI481767	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP2	Bnip2	2.1 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	NM_009760	BCL2/adenovirus E1B 19kDa-interacting protein 1, NIP3	Bnip3	1.7 + 0.4	N.C.	N.C.	N.C.	N.C.	1.6 + 0.4	N.C.
Apoptosis	4	NM_007702	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	Cidea	N.C.	N.C.	N.C.	N.C.	N.C.	2.5 + 0.6	N.C.
Apoptosis	4	BB221402	cell death-inducing DFFA-like effector c	Cidec	N.C.	N.C.	N.C.	N.C.	N.C.	1.8 + 0.5	N.C.
Apoptosis	4	NM_007751	cytochrome c oxidase, subunit VIIIb	Cox8b	N.C.	N.C.	N.C.	N.C.	N.C.	2.2 + 0.5	N.C.
Apoptosis	4	BC026671	death associated protein kinase 1	Dapk1	2.6 + 0.4	N.C.	N.C.	1.5 + 0.4	N.C.	1.6 + 0.4	N.C.
Apoptosis	4	AK010701	death effector domain-containing DNA binding protein 2	Dedd2	2.0 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	NM_007987	Fas (TNF receptor superfamily member)	Fas	2.4 + 0.4	1.6 + 0.4	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.
Apoptosis	4	NM_023229	Fas-activated serine/threonine kinase	Fastk	N.C.	3.2 + 1.0	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	NM_007836	growth arrest and DNA-damage-inducible 45 alpha	Gadd45a	2.9 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	AI323528	growth arrest and DNA-damage-inducible 45 beta	Gadd45b	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	AK007410	growth arrest and DNA-damage-inducible 45 gamma	Gadd45g	6.4 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	NM_011051	programmed cell death 6	Pdcd6	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	AJ005074	programmed cell death 6 interacting protein	Pdcd6ip	N.C.	1.6 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	NM_022032	PERP, TP53 apoptosis effector	Perp	N.C.	N.C.	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.
Apoptosis	4	AV173139	serine/threonine kinase 17b (apoptosis-inducing)	Stk17b	1.5 + 0.4	N.C.	N.C.	N.C.	1.6 + 0.4	N.C.	N.C.
Apoptosis	4	BB151477	TAO kinase 1	Taok1	N.C.	4.0 + 0.8	N.C.	N.C.	N.C.	N.C.	N.C.
Apoptosis	4	BM244064	tumor differentially expressed 1	Tde1	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.
Apoptosis	4	BB707122	TCDD-inducible poly(ADP-ribose) polymerase	Tiparp	6.5 + 0.4	N.C.	N.C.	1.6 + 0.4	N.C.	1.6 + 0.4	N.C.
Apoptosis	4	AW495711	transformation related protein 53 inducible nuclear protein 1	Trp53inp1	2.4 + 0.4	N.C.	N.C.	1.7 + 0.4	N.C.	N.C.	N.C.
ECM	5	NM_007403	a disintegrin and metalloprotease domain 8	Adam8	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	1.7 + 0.4	N.C.
ECM	5	D67076	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	Adamts1	1.8 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
ECM	5	AV228731	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 15	Adamts15	3.2 + 0.4	N.C.	N.C.	N.C.	N.C.	2.0 + 0.4	N.C.
ECM	5	BG073461	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 2	Adamts2	1.5 + 0.4	N.C.	N.C.	N.C.	N.C.	N.C.	N.C.
